negatives
"('O95897', 'A2RRP1')"
"('P04083', 'P21980')"
"('O14576', 'P23508')"
"('Q15583', 'Q5T3J3')"
"('O75376', 'P54253')"
"('P57075', 'P0CG48')"
"('Q9NYJ8', 'Q15759')"
"('P61011', 'Q13765')"
"('P62714', 'P56537')"
"('Q04864', 'P34931')"
"('Q92543', 'Q01094')"
"('O00501', 'O95832')"
"('Q29983', 'P62987')"
"('P23921', 'P31350')"
"('P26367', 'O14964')"
"('P30101', 'P11047')"
"('P06400', 'O75569')"
"('Q9NZT1', 'Q15746')"
"('Q8IYT8', 'P24534')"
"('Q8WVD3', 'P57723')"
"('O60262', 'Q01970')"
"('P46777', 'P50914')"
"('P62979', 'P62269')"
"('P24666', 'Q9UHJ3')"
"('Q9Y5K6', 'Q07889')"
"('Q99959', 'O15198')"
"('Q15583', 'O75716')"
"('Q86V81', 'Q13243')"
"('O75023', 'P31995')"
"('P01106', 'O43761')"
"('P67809', 'Q2TAY7')"
"('P63220', 'P62241')"
"('O96017', 'Q9Y294')"
"('Q00610', 'Q12933')"
"('A5PL33', 'P49841')"
"('Q9C000', 'P62195')"
"('P46108', 'Q9UN73')"
"('P27635', 'P83881')"
"('P01112', 'Q9UQ13')"
"('P52907', 'Q13573')"
"('P10070', 'P18146')"
"('P35637', 'Q07817')"
"('Q9NPF5', 'P25440')"
"('Q15834', 'Q7Z2V1')"
"('O95757', 'P05787')"
"('Q15303', 'Q13425')"
"('P62277', 'P46782')"
"('Q969H0', 'P63208')"
"('P01730', 'P02786')"
"('P54727', 'Q9UMX0')"
"('Q9UGY1', 'P04179')"
"('P02458', 'P08758')"
"('P46109', 'P49023')"
"('P98164', 'Q5JY77')"
"('P62993', 'P61254')"
"('O14497', 'O00716')"
"('Q9P2M7', 'P10916')"
"('Q13547', 'P16104')"
"('P01106', 'Q8NHJ6')"
"('O15287', 'P08727')"
"('Q99877', 'O75164')"
"('P31751', 'Q04206')"
"('O95741', 'P18146')"
"('Q96EN9', 'P04183')"
"('O60573', 'Q9NRA8')"
"('Q08209', 'O95644')"
"('Q04206', 'O75293')"
"('O43913', 'P49736')"
"('O75832', 'P62333')"
"('Q96QT4', 'P35580')"
"('Q9NWA0', 'P19388')"
"('P21730', 'P04899')"
"('Q13315', 'O43933')"
"('O00231', 'P62195')"
"('Q8NHW4', 'P49682')"
"('Q9H5J8', 'Q969Q0')"
"('Q96GP6', 'P55157')"
"('O14939', 'Q9NRA0')"
"('Q8IWA4', 'Q16611')"
"('P02766', 'P18848')"
"('P63279', 'Q03933')"
"('P16333', 'O96013')"
"('Q13162', 'Q9BVJ7')"
"('Q8TEW0', 'P31947')"
"('P19174', 'O14939')"
"('Q13952', 'P30305')"
"('P02794', 'Q8NBJ4')"
"('O95983', 'Q12873')"
"('Q13619', 'P0C0S5')"
"('O43914', 'Q9NZC2')"
"('Q04759', 'P15056')"
"('Q15843', 'P23396')"
"('Q9UL18', 'P62917')"
"('O43402', 'Q15714')"
"('P11047', 'Q9Y3C0')"
"('Q9GZV9', 'P22455')"
"('Q96CN9', 'Q9BYG5')"
"('Q96A08', 'Q96KK5')"
"('P51668', 'P62081')"
"('Q92905', 'Q13485')"
"('Q70Z53', 'Q14469')"
"('Q7Z3K3', 'P52735')"
"('Q14CB8', 'Q92730')"
"('Q9Y572', 'Q13158')"
"('P01579', 'O15105')"
"('O43301', 'Q96KG7')"
"('Q99459', 'P62318')"
"('P67870', 'Q9UBL6')"
"('P56945', 'Q9H0Q3')"
"('Q15365', 'Q8IX12')"
"('Q5UIP0', 'P55769')"
"('Q9Y230', 'Q92993')"
"('Q06190', 'O00305')"
"('O14513', 'P16333')"
"('O75182', 'Q13547')"
"('Q15582', 'P02452')"
"('Q07889', 'P01106')"
"('P27986', 'O15085')"
"('P30154', 'P36507')"
"('P06213', 'P23467')"
"('P15018', 'Q6UXL0')"
"('Q9P0M9', 'Q14197')"
"('Q9Y4K3', 'P23284')"
"('P10747', 'P42336')"
"('P36575', 'O14733')"
"('O00755', 'Q9UP38')"
"('P12236', 'Q9BQ66')"
"('Q9H9D4', 'Q9BQ66')"
"('P07101', 'P61981')"
"('Q15003', 'Q8NEM0')"
"('P50552', 'P18564')"
"('Q99741', 'Q9Y5N6')"
"('P00519', 'Q6ZUJ8')"
"('Q9H981', 'Q9Y5K5')"
"('Q15831', 'Q92922')"
"('Q15257', 'O96017')"
"('Q13402', 'Q9UQM7')"
"('Q9HAU4', 'P68133')"
"('Q15323', 'Q6IBS0')"
"('Q92731', 'Q12796')"
"('Q9UM13', 'Q9NZH5')"
"('P13569', 'O95425')"
"('Q9GZN1', 'Q9NPF5')"
"('Q9UK53', 'Q09028')"
"('P40429', 'P62987')"
"('Q13153', 'P00533')"
"('Q8N6T7', 'P08670')"
"('P05412', 'P61073')"
"('P14866', 'P22626')"
"('Q8TEM1', 'P49792')"
"('P13010', 'Q8IW19')"
"('P49023', 'P23229')"
"('O75569', 'Q15633')"
"('P49720', 'P25787')"
"('Q9Y675', 'P57678')"
"('P01579', 'Q6UXL0')"
"('Q9NWM8', 'P49841')"
"('P41235', 'P00167')"
"('Q9NWS9', 'Q96IT1')"
"('Q03135', 'P12830')"
"('Q15834', 'Q9H4K1')"
"('Q9Y4K3', 'P29350')"
"('Q14164', 'P31948')"
"('Q8IYT8', 'Q8NEB9')"
"('Q9HC16', 'P62987')"
"('Q15047', 'P63279')"
"('O95793', 'P19338')"
"('P04628', 'Q14332')"
"('Q9HBE4', 'P40189')"
"('406905', 'Q9Y3Q4')"
"('P40429', 'P42766')"
"('Q309B1', 'P29466')"
"('Q16827', 'P19235')"
"('Q9UKX5', 'P18084')"
"('Q99459', 'Q96RE7')"
"('P07766', 'Q99759')"
"('P63272', 'P08758')"
"('Q86XA0', 'Q07817')"
"('C9J442', 'Q15796')"
"('Q8N142', 'P63104')"
"('Q5VTD9', 'Q9C0E4')"
"('Q13885', 'Q16363')"
"('P15309', 'P28482')"
"('P15531', 'P22392')"
"('P13501', 'P46094')"
"('O95967', 'Q9P2R6')"
"('Q6IE81', 'P49736')"
"('P13631', 'P28702')"
"('Q9BQY4', 'Q92530')"
"('O43318', 'Q9H8E8')"
"('P04183', 'Q12840')"
"('Q14315', 'P13612')"
"('Q13547', 'Q16777')"
"('P84243', 'Q09028')"
"('P32121', 'O14641')"
"('O60494', 'P27352')"
"('P23396', 'O15264')"
"('P31994', 'Q92835')"
"('P15309', 'P04626')"
"('P67775', 'P50991')"
"('P60520', 'P16152')"
"('Q9H0Y0', 'Q16576')"
"('Q9H2G2', 'Q14164')"
"('Q9UI30', 'Q92900')"
"('O15055', 'P20393')"
"('P09471', 'O14641')"
"('Q92530', 'Q9BQY4')"
"('Q96L50', 'Q15370')"
"('Q14185', 'Q13573')"
"('P20073', 'Q14194')"
"('P0C869', 'P16220')"
"('Q96RY7', 'P51955')"
"('P21815', 'Q05397')"
"('Q12986', 'Q01081')"
"('O43683', 'Q13573')"
"('Q99741', 'Q9UBD5')"
"('O00291', 'O94973')"
"('P62158', 'Q9UKE5')"
"('P20248', 'O00716')"
"('Q9UHV7', 'O60244')"
"('P32456', 'Q9Y2M5')"
"('Q96LZ3', 'O00429')"
"('Q12959', 'O60333')"
"('P62244', 'P15880')"
"('Q9UGF6', 'P38405')"
"('P38398', 'P11802')"
"('P43487', 'P01243')"
"('Q9BZ23', 'P27348')"
"('O95837', 'Q13573')"
"('Q9NZU0', 'Q99623')"
"('P52565', 'P63000')"
"('P60709', 'P07900')"
"('P46108', 'Q7Z408')"
"('P36873', 'P11802')"
"('Q16254', 'Q5TKA1')"
"('P41235', 'Q15648')"
"('P30480', 'P06753')"
"('406983', 'Q9Y2I8')"
"('P31749', 'P54253')"
"('P08567', 'P00488')"
"('O75554', 'P35637')"
"('Q9UNL4', 'P04637')"
"('Q9UKV8', 'Q9UHD2')"
"('Q53QZ3', 'Q9H4E5')"
"('Q9Y371', 'Q14457')"
"('P25054', 'P14635')"
"('P05388', 'P62888')"
"('O75964', 'P01889')"
"('Q07955', 'Q8TA86')"
"('Q92574', 'O75807')"
"('Q6GTX8', 'P16422')"
"('P16885', 'P78314')"
"('Q13573', 'Q9UMS4')"
"('Q05195', 'P0CG48')"
"('P42224', 'P42345')"
"('O95983', 'Q92769')"
"('P07333', 'P22681')"
"('Q86UW7', 'P51965')"
"('P22234', 'P11171')"
"('Q15435', 'P06400')"
"('P12643', 'Q13873')"
"('Q5VVX9', 'P35227')"
"('O60814', 'Q86WJ1')"
"('Q13163', 'Q9Y5S2')"
"('Q6DKI1', 'P32121')"
"('Q00839', 'Q00653')"
"('P26368', 'Q05519')"
"('P08648', 'P21333')"
"('P12931', 'P36575')"
"('P03915', 'P15104')"
"('P78317', 'P51668')"
"('Q13233', 'P45985')"
"('Q05513', 'Q15334')"
"('P62324', 'Q9UIV1')"
"('P05556', 'Q9Y6C2')"
"('Q14697', 'Q9UBN6')"
"('Q9NT62', 'Q99832')"
"('O15442', 'P20073')"
"('P01137', 'P45984')"
"('Q9UHI6', 'Q9H173')"
"('Q13315', 'Q8N3X1')"
"('Q9NR12', 'P14136')"
"('Q04206', 'P29459')"
"('Q9NPF5', 'Q15906')"
"('P02686', 'Q9NSY1')"
"('Q7L5D6', 'P04632')"
"('Q99459', 'Q9H9B1')"
"('P56545', 'Q16656')"
"('P16949', 'Q96BK5')"
"('Q16625', 'O95471')"
"('P25098', 'Q14161')"
"('P25054', 'P15036')"
"('P67775', 'O43524')"
"('Q04206', 'P35228')"
"('Q9H0H5', 'Q9H4E5')"
"('Q7Z478', 'Q96BT3')"
"('Q9NPF7', 'Q01344')"
"('Q00005', 'P68371')"
"('P10914', 'P63165')"
"('P61244', 'Q92830')"
"('O75899', 'P16520')"
"('P09669', 'P21246')"
"('O75800', 'Q8ND25')"
"('Q9NPH9', 'Q13261')"
"('Q14315', 'P26006')"
"('P06703', 'P04406')"
"('P62879', 'P28482')"
"('P02768', 'P02766')"
"('Q5T3J3', 'P00491')"
"('Q15796', 'Q02078')"
"('P41235', 'P02760')"
"('Q15583', 'P56545')"
"('P29460', 'P16871')"
"('O75081', 'Q9UFB7')"
"('Q16531', 'P07498')"
"('P37837', 'P56537')"
"('P98164', 'Q99767')"
"('Q16695', 'P19438')"
"('P36402', 'P35222')"
"('P62330', 'Q15019')"
"('P17987', 'Q9P0V3')"
"('Q13796', 'P12931')"
"('Q5VWQ8', 'Q15628')"
"('P31749', 'Q9UHD2')"
"('P03372', 'P42229')"
"('Q13573', 'P40692')"
"('O15162', 'Q96RN5')"
"('P62857', 'Q96BK5')"
"('Q96BI3', 'P05067')"
"('P36897', 'Q14344')"
"('P15248', 'P38484')"
"('Q99459', 'Q9H4M9')"
"('P68371', 'Q96AH8')"
"('P49407', 'P32302')"
"('P08912', 'O95467')"
"('Q99962', 'Q5VWQ8')"
"('Q00987', 'P62913')"
"('Q5SXM2', 'Q676U5')"
"('Q05086', 'P55854')"
"('P26010', 'P12814')"
"('P49901', 'O15162')"
"('Q6PCD5', 'P51668')"
"('P78527', 'Q86WJ1')"
"('P02768', 'Q9NZJ4')"
"('P48556', 'Q16401')"
"('Q9Y5W5', 'Q9UBV4')"
"('P46778', 'P18077')"
"('Q9BZL6', 'Q9Y5J3')"
"('P08700', 'P16471')"
"('Q8IY92', 'P36952')"
"('P63218', 'P27361')"
"('P10276', 'Q05086')"
"('P19387', 'Q15560')"
"('P01375', 'P61289')"
"('Q9BZE4', 'P56537')"
"('O43182', 'P61586')"
"('P09237', 'P03956')"
"('Q9NRR5', 'Q9UBS4')"
"('P11274', 'P51692')"
"('Q00597', 'Q9UBZ9')"
"('P01019', 'Q9ULA0')"
"('Q16514', 'Q86TJ2')"
"('P01570', 'Q13261')"
"('O15379', 'P10828')"
"('Q9UL18', 'Q9Y230')"
"('Q9P2H0', 'Q92956')"
"('Q68CP9', 'P62805')"
"('Q6XUX3', 'P20618')"
"('Q96B02', 'Q9NX47')"
"('Q9H0R8', 'Q2TAZ0')"
"('Q16594', 'P01106')"
"('P52735', 'P78362')"
"('P84022', 'P62993')"
"('Q9UK32', 'O43683')"
"('P62330', 'O75390')"
"('P49716', 'Q969D9')"
"('P18146', 'Q14978')"
"('Q01094', 'Q99683')"
"('O60739', 'Q86UE4')"
"('P61586', 'Q07960')"
"('Q9UBI6', 'P28482')"
"('O60841', 'P47813')"
"('406967', 'P00374')"
"('P48058', 'Q13224')"
"('O75947', 'Q14197')"
"('P08670', 'Q96AE4')"
"('O15111', 'Q04206')"
"('Q9NRR4', 'P41182')"
"('P11142', 'P49815')"
"('P27797', 'P48039')"
"('P49841', 'O95163')"
"('406991', 'O00712')"
"('P61978', 'P20226')"
"('P53350', 'P68366')"
"('Q13227', 'O75376')"
"('Q13315', 'P15391')"
"('Q15599', 'P40879')"
"('574032', 'P03372')"
"('Q08211', 'Q9UBC1')"
"('Q9NZD8', 'P49840')"
"('O95835', 'O43464')"
"('Q5MNZ9', 'Q2TAZ0')"
"('O95644', 'P11831')"
"('Q8IZI9', 'P10914')"
"('Q08334', 'Q8IU57')"
"('Q6NV75', 'P28749')"
"('P68032', 'Q8TDR0')"
"('Q13573', 'Q5SW96')"
"('P68133', 'P11532')"
"('Q9H8Y8', 'P08910')"
"('Q09472', 'O15350')"
"('Q9UQL6', 'Q8IUE6')"
"('Q13573', 'Q99816')"
"('P16220', 'Q96HY7')"
"('P06576', 'P16871')"
"('O75369', 'Q13153')"
"('Q9NWB6', 'O14744')"
"('Q9Y3D7', 'Q6QNY1')"
"('P25963', 'P19838')"
"('Q9H1C4', 'Q9H2V7')"
"('Q16514', 'Q8NEM7')"
"('P05067', 'P27797')"
"('P49368', 'P49642')"
"('Q01844', 'P16860')"
"('Q15797', 'P46531')"
"('O76024', 'P56537')"
"('Q14197', 'Q9BW92')"
"('P62888', 'P61353')"
"('O43639', 'Q05397')"
"('Q8IYB3', 'P55795')"
"('P50990', 'Q9H7D0')"
"('Q9UBS0', 'Q99459')"
"('Q13315', 'Q86XL3')"
"('Q04695', 'P46940')"
"('P63000', 'Q9BST9')"
"('P42261', 'O43491')"
"('O00339', 'P02452')"
"('Q12891', 'P16070')"
"('P01106', 'O15194')"
"('P01112', 'Q9P212')"
"('Q53GS9', 'Q04771')"
"('Q92905', 'Q16584')"
"('P31749', 'P51617')"
"('P20290', 'P35222')"
"('P62979', 'Q9GZR1')"
"('P24394', 'Q05513')"
"('O15533', 'P01889')"
"('O96000', 'Q16795')"
"('Q9Y2X7', 'Q13177')"
"('P12314', 'Q13094')"
"('O75197', 'O60353')"
"('Q8IV63', 'Q02413')"
"('Q9HD26', 'Q9UHC3')"
"('O75925', 'P10276')"
"('P45983', 'P30305')"
"('P54725', 'Q12933')"
"('Q9Y6X3', 'Q6KC79')"
"('Q9H9G7', 'P07900')"
"('Q07890', 'P15153')"
"('Q01081', 'Q9UMS4')"
"('P05387', 'P18077')"
"('P02458', 'Q14050')"
"('O15068', 'Q9UI14')"
"('Q12986', 'Q15287')"
"('Q5T3J3', 'P02774')"
"('P27694', 'Q9H8T0')"
"('P46937', 'Q96J02')"
"('O14543', 'P51692')"
"('O95178', 'O00483')"
"('O96013', 'O14733')"
"('P62277', 'Q99459')"
"('Q13568', 'P49796')"
"('O95711', 'Q99467')"
"('P60228', 'Q14164')"
"('P35268', 'P49207')"
"('Q9H1R2', 'O95433')"
"('Q16665', 'P09601')"
"('P30101', 'Q9UIW2')"
"('P60953', 'P45984')"
"('P27361', 'Q9Y5K3')"
"('Q13242', 'P51003')"
"('P50570', 'P07948')"
"('Q9BZI7', 'Q8IYB3')"
"('Q13547', 'Q12873')"
"('P13693', 'P04637')"
"('O14777', 'Q13573')"
"('P07900', 'P98095')"
"('Q9H173', 'Q9UBB4')"
"('P11802', 'P16989')"
"('P21246', 'P04745')"
"('Q96EP5', 'P11940')"
"('P09471', 'Q8NFM4')"
"('Q6P996', 'Q99623')"
"('Q96N66', 'Q86WV6')"
"('P42345', 'P40763')"
"('Q9BW83', 'Q9Y547')"
"('P35658', 'O00471')"
"('P11226', 'O00206')"
"('P04156', 'Q9HBG4')"
"('P40855', 'P28328')"
"('Q9Y265', 'Q92793')"
"('Q86TG7', 'Q96KM6')"
"('P56537', 'Q96P50')"
"('Q8WUM4', 'Q9Y6E0')"
"('Q9H492', 'P08754')"
"('Q13885', 'P05386')"
"('P16499', 'P18545')"
"('P04899', 'Q01970')"
"('Q9Y3C5', 'O14933')"
"('P24468', 'P10588')"
"('Q14188', 'P62258')"
"('P42229', 'P43405')"
"('P13639', 'Q15843')"
"('Q04721', 'Q12860')"
"('O95819', 'Q9Y230')"
"('Q9UJW3', 'P68431')"
"('Q15615', 'P38405')"
"('Q9BYG5', 'Q6P1M3')"
"('Q9UKX7', 'P78406')"
"('P13569', 'P62491')"
"('P09874', 'P35222')"
"('P10415', 'Q9P2Y5')"
"('P19174', 'P51816')"
"('P13727', 'Q12873')"
"('Q96NZ8', 'P12643')"
"('P00519', 'O15056')"
"('Q16513', 'P19838')"
"('P35626', 'Q8NGL1')"
"('P18077', 'P62829')"
"('P54727', 'Q96H35')"
"('Q96AW1', 'Q93045')"
"('Q96AX1', 'Q86VX9')"
"('P01133', 'P09619')"
"('Q14103', 'P31942')"
"('P78356', 'Q06187')"
"('Q4J6C6', 'P38432')"
"('Q15797', 'O60381')"
"('P29597', 'P18031')"
"('P62714', 'P57087')"
"('P68871', 'P02008')"
"('Q04206', 'P10914')"
"('P10828', 'Q15648')"
"('P04626', 'Q9UQQ2')"
"('P62136', 'O15111')"
"('P60520', 'P18505')"
"('P45983', 'P55957')"
"('P10914', 'O00526')"
"('P16520', 'O60266')"
"('P25098', 'O00574')"
"('Q5SW96', 'P05549')"
"('Q9UBS8', 'Q5VVX9')"
"('P11487', 'P00533')"
"('O14775', 'P63092')"
"('Q9Y3A3', 'Q96GD3')"
"('Q00765', 'O95989')"
"('Q16625', 'O95500')"
"('P10398', 'O15264')"
"('P17152', 'Q9Y5J5')"
"('O76071', 'Q9Y5Q8')"
"('Q14790', 'O00571')"
"('P03891', 'O15239')"
"('Q6ZN04', 'O95989')"
"('P78352', 'O75084')"
"('P20290', 'P16104')"
"('Q9H1C0', 'Q5JWF2')"
"('Q96EY1', 'P08621')"
"('Q00653', 'P05015')"
"('P04406', 'Q14469')"
"('P06493', 'O00429')"
"('P29965', 'Q04864')"
"('O14775', 'P53779')"
"('P04183', 'P02675')"
"('Q14766', 'P18084')"
"('P10276', 'P17947')"
"('P01243', 'Q13347')"
"('P29400', 'P53708')"
"('Q9BUF5', 'A6NHL2')"
"('P98175', 'P09234')"
"('Q92636', 'O60906')"
"('O95139', 'O43677')"
"('Q15835', 'P07550')"
"('O75525', 'Q8TBB1')"
"('P10275', 'Q9NQU5')"
"('Q9Y6E0', 'P52735')"
"('Q9H0M0', 'P12757')"
"('Q9H8W4', 'Q15233')"
"('Q8NET5', 'P43405')"
"('Q6P2C8', 'Q71F56')"
"('P49716', 'P22004')"
"('Q9Y3B4', 'Q99459')"
"('Q9H9B4', 'Q14164')"
"('P06213', 'P46108')"
"('Q8TC44', 'Q13619')"
"('Q7Z2G1', 'Q969S8')"
"('Q5T5Y3', 'Q15797')"
"('O14904', 'Q9ULV1')"
"('PB_10', 'O60674')"
"('Q8WXH5', 'Q99665')"
"('P37837', 'Q9Y4K3')"
"('P61964', 'Q99880')"
"('406988', 'O15357')"
"('Q9Y4K3', 'Q9HAV5')"
"('P51116', 'P07910')"
"('O00206', 'Q6IA17')"
"('Q9NPI5', 'P38936')"
"('Q93034', 'Q15843')"
"('P35568', 'P31947')"
"('Q8IUQ4', 'P56975')"
"('Q9NWU2', 'Q15287')"
"('P06899', 'Q9UBN7')"
"('Q9UKV8', 'Q9UPY3')"
"('Q53HC9', 'Q8NC51')"
"('P25686', 'Q13485')"
"('O60318', 'P84022')"
"('Q15303', 'P42566')"
"('P20073', 'Q9BT40')"
"('Q969R2', 'P13805')"
"('Q07817', 'Q9UMX3')"
"('P62913', 'P18621')"
"('P56537', 'Q96HD1')"
"('P09874', 'P16104')"
"('P14866', 'Q9BUJ2')"
"('Q15020', 'Q96KG7')"
"('Q12929', 'O15482')"
"('O00303', 'P18206')"
"('Q15078', 'P62979')"
"('Q13547', 'Q92769')"
"('P16220', 'P01579')"
"('Q9Y678', 'Q13573')"
"('Q8N7H5', 'P19388')"
"('P27824', 'P01009')"
"('P01106', 'P19338')"
"('Q16695', 'P10145')"
"('Q08116', 'Q15714')"
"('P03372', 'P01106')"
"('Q9H814', 'Q13188')"
"('P10275', 'Q9UQ80')"
"('P02771', 'P98170')"
"('P29350', 'Q08334')"
"('P52434', 'P19388')"
"('P19544', 'Q92793')"
"('Q15121', 'P31749')"
"('P63218', 'Q96PN6')"
"('P19105', 'Q9UKE5')"
"('P17676', 'Q16254')"
"('P58753', 'O15524')"
"('P00403', 'Q96BK5')"
"('Q13573', 'Q8N8S7')"
"('Q9Y375', 'Q9BQ95')"
"('O75569', 'Q8NHY6')"
"('Q9UQM7', 'P29474')"
"('P16104', 'O60506')"
"('Q9BXS5', 'O43493')"
"('P38117', 'Q14164')"
"('Q12884', 'P01303')"
"('Q92997', 'P78337')"
"('P01137', 'Q15717')"
"('O75643', 'Q9Y478')"
"('P51812', 'P18859')"
"('P42338', 'Q9Y243')"
"('Q8NE01', 'Q12974')"
"('Q8N9N2', 'O15162')"
"('P53778', 'Q12968')"
"('P51817', 'Q14643')"
"('Q9NR46', 'P08069')"
"('Q9NRF9', 'O75478')"
"('P26367', 'Q96PU8')"
"('Q13889', 'Q01094')"
"('P51816', 'P19174')"
"('Q99832', 'Q6WCQ1')"
"('P18084', 'Q13352')"
"('Q14164', 'Q04760')"
"('P55157', 'P78524')"
"('P13861', 'Q92934')"
"('P01106', 'O00116')"
"('P32121', 'Q8NGL9')"
"('Q6SJ96', 'P11831')"
"('P18206', 'Q8IY67')"
"('Q9BXY4', 'P04628')"
"('Q6IBS0', 'Q9P1U1')"
"('Q14197', 'Q96CW1')"
"('P32121', 'Q8NGJ9')"
"('O75821', 'P60228')"
"('P07288', 'P01857')"
"('P19438', 'Q12931')"
"('Q9P2R7', 'Q14197')"
"('Q9NRG9', 'P78406')"
"('P06400', 'Q92966')"
"('Q92973', 'P62826')"
"('P24752', 'P01241')"
"('P62875', 'Q15560')"
"('Q8IWW6', 'Q8IXI1')"
"('O95865', 'O75582')"
"('P08134', 'P01243')"
"('Q9NR96', 'P47756')"
"('P27361', 'P46695')"
"('P40424', 'P40425')"
"('Q05655', 'P08069')"
"('P63211', 'Q99677')"
"('Q01658', 'Q9NS73')"
"('P10767', 'P17948')"
"('Q9UBD9', 'P78552')"
"('O43929', 'Q13415')"
"('P20809', 'P17535')"
"('Q9HBL0', 'P18206')"
"('Q8NFH3', 'Q5SRE5')"
"('Q13753', 'P30101')"
"('P62316', 'P52735')"
"('P49137', 'P30307')"
"('Q14213', 'P29459')"
"('Q16594', 'P38398')"
"('O95167', 'O00217')"
"('P82933', 'Q9BQ04')"
"('P23508', 'Q9UM73')"
"('O15371', 'Q99613')"
"('P23396', 'P62847')"
"('Q9P0X4', 'Q9Y2W7')"
"('O95619', 'P68133')"
"('P22894', 'P08123')"
"('Q9UNN5', 'Q99459')"
"('Q14192', 'P54253')"
"('Q93008', 'Q15714')"
"('347745', 'O43293')"
"('P11387', 'P51991')"
"('Q8NBJ4', 'Q15029')"
"('O60244', 'Q9BZF9')"
"('P41240', 'Q8TEW0')"
"('P31689', 'O95989')"
"('A4D0S4', 'P18084')"
"('O75832', 'P62191')"
"('P51946', 'P51948')"
"('Q6VN20', 'Q5VU97')"
"('O14640', 'Q86T65')"
"('Q13557', 'P30307')"
"('P84098', 'P62888')"
"('P49703', 'P18669')"
"('P61513', 'P18124')"
"('Q9Y575', 'Q15369')"
"('Q9UKV5', 'O75800')"
"('Q53QZ3', 'P61587')"
"('Q9NY93', 'Q02543')"
"('O95359', 'P33981')"
"('P31943', 'P62993')"
"('P62834', 'Q13547')"
"('Q8N5A5', 'Q09028')"
"('Q13153', 'P51522')"
"('Q14152', 'P20042')"
"('P06241', 'Q15036')"
"('Q13153', 'Q96B97')"
"('P61586', 'P04049')"
"('P24863', 'Q9NX70')"
"('P18146', 'Q17RP2')"
"('Q9Y6H5', 'P21246')"
"('Q9UG56', 'Q8NCG7')"
"('Q9P227', 'P08134')"
"('Q13315', 'Q5W0Z9')"
"('P61353', 'P18077')"
"('Q8NFH3', 'Q04637')"
"('P46777', 'Q15843')"
"('Q92993', 'P31942')"
"('P34981', 'O95837')"
"('Q14194', 'Q12972')"
"('O15198', 'Q5T5Y3')"
"('Q86SQ7', 'Q9Y4K3')"
"('Q6NV75', 'Q9Y4A5')"
"('Q12778', 'P55273')"
"('P29350', 'P19235')"
"('O95819', 'P63261')"
"('Q96L92', 'O60759')"
"('P01584', 'P09429')"
"('P49715', 'P11473')"
"('P27797', 'P10275')"
"('Q13263', 'O75815')"
"('P60953', 'P31150')"
"('Q96RT8', 'A6NHL2')"
"('Q9NUG6', 'Q9NPB6')"
"('O15131', 'P63165')"
"('P08670', 'P15090')"
"('P62942', 'Q02790')"
"('P17544', 'P53567')"
"('Q9UJY4', 'Q9UMZ2')"
"('P17612', 'P27482')"
"('Q14164', 'Q15365')"
"('Q96BD5', 'Q92769')"
"('Q5VVX9', 'Q9NYG5')"
"('P25963', 'Q71U36')"
"('P46531', 'P25490')"
"('P16220', 'Q92831')"
"('O75496', 'Q96GD3')"
"('P51636', 'P18564')"
"('P04350', 'O14920')"
"('Q14145', 'Q96IP4')"
"('O95169', 'P56556')"
"('O75143', 'O75506')"
"('Q96J92', 'P63104')"
"('Q9H0H5', 'P61587')"
"('Q9Y5S8', 'P19438')"
"('P16220', 'O00141')"
"('P05386', 'P50914')"
"('P01562', 'P14784')"
"('O95433', 'P15918')"
"('P14635', 'P06493')"
"('Q9NXS2', 'P49841')"
"('Q9Y4W2', 'Q96T60')"
"('O14964', 'P24941')"
"('P27361', 'Q15121')"
"('P02649', 'O00182')"
"('P10721', 'Q8WXH5')"
"('Q9H0M0', 'Q01844')"
"('P01243', 'P16471')"
"('Q07021', 'Q9HAN9')"
"('P68400', 'Q14676')"
"('Q99704', 'P20936')"
"('O60729', 'Q9BS18')"
"('P08922', 'P18031')"
"('Q14257', 'P62258')"
"('406993', 'P10721')"
"('Q92993', 'P02545')"
"('P01106', 'Q9BQC3')"
"('Q13094', 'P15498')"
"('Q13535', 'Q9UQE7')"
"('Q92769', 'Q9UBG7')"
"('Q12772', 'Q6VMQ6')"
"('P22612', 'Q14573')"
"('Q13131', 'Q96B36')"
"('P01100', 'P29459')"
"('P63104', 'P00403')"
"('O43684', 'Q9UJX3')"
"('P51654', 'Q9Y6F9')"
"('Q9UK08', 'P48051')"
"('Q14CB8', 'P52198')"
"('P62837', 'Q9Y4K3')"
"('Q15369', 'Q04206')"
"('P01100', 'P35228')"
"('Q9NWU2', 'Q8IY92')"
"('P13639', 'Q9NRI5')"
"('Q09161', 'P62633')"
"('P36578', 'Q02878')"
"('P98082', 'Q96CW1')"
"('Q16254', 'Q9HAW4')"
"('Q6FHJ7', 'O00144')"
"('P19387', 'Q9NVC6')"
"('P07910', 'Q12906')"
"('Q13573', 'P42166')"
"('Q71DI3', 'P62805')"
"('Q676U5', 'Q5SXM2')"
"('P30153', 'P42285')"
"('P15692', 'P49763')"
"('Q9UPX8', 'P19174')"
"('P57739', 'Q16625')"
"('P84103', 'Q14683')"
"('P38398', 'Q5VTD9')"
"('P98175', 'P55769')"
"('P18564', 'Q9HBI1')"
"('P18084', 'Q9Y490')"
"('P00918', 'P12004')"
"('Q9NYG5', 'Q96DE5')"
"('Q15750', 'Q15326')"
"('P05455', 'O14746')"
