negatives
"('Q14966', 'Q96ED9')"
"('Q14164', 'P41227')"
"('Q96CV9', 'Q8TF68')"
"('Q5RKV6', 'Q07021')"
"('Q13574', 'P01112')"
"('P11362', 'P42338')"
"('Q04724', 'P15927')"
"('Q15628', 'P25445')"
"('P04435', 'P04234')"
"('P63244', 'Q05655')"
"('P43405', 'P08637')"
"('P01106', 'Q16540')"
"('Q16778', 'P0C0S8')"
"('Q99558', 'P35268')"
"('O95988', 'P31749')"
"('Q7Z7H8', 'Q14197')"
"('Q9UHY7', 'O60885')"
"('Q05655', 'P63244')"
"('Q13233', 'Q96J02')"
"('Q9BYD3', 'Q9BQ66')"
"('Q96DB2', 'Q5QNW6')"
"('406929', 'P08134')"
"('P63173', 'P62913')"
"('P32121', 'Q8NHC5')"
"('P62333', 'Q00653')"
"('O43684', 'Q8NHZ8')"
"('O75376', 'O14646')"
"('P25791', 'P10914')"
"('Q9Y6K9', 'P25963')"
"('Q13435', 'Q9BWJ5')"
"('P49841', 'O95163')"
"('P12236', 'Q9UKV8')"
"('Q7L7L0', 'Q96DB2')"
"('O14493', 'P56856')"
"('406891', 'P01116')"
"('Q14203', 'Q9NRI5')"
"('P07947', 'P00533')"
"('Q03135', 'P08183')"
"('P14209', 'P07355')"
"('Q13315', 'Q15154')"
"('P25098', 'Q13635')"
"('P54253', 'Q14671')"
"('P26368', 'P26196')"
"('P23458', 'P42336')"
"('Q92843', 'Q9UMX3')"
"('Q13555', 'Q9BXT2')"
"('Q13485', 'P57729')"
"('O15467', 'P61073')"
"('P28331', 'O43181')"
"('P30050', 'P61513')"
"('P16949', 'P52594')"
"('Q96LZ3', 'Q13255')"
"('O14641', 'Q7Z7J5')"
"('P13569', 'P04080')"
"('Q02224', 'P63208')"
"('Q96B26', 'Q9HCG8')"
"('P49841', 'Q9NXS2')"
"('P61224', 'Q92569')"
"('Q9HAU4', 'Q8IYB5')"
"('P62993', 'Q92963')"
"('Q9H204', 'O00459')"
"('O43929', 'P25205')"
"('P62136', 'P46020')"
"('Q9H2H8', 'O95391')"
"('Q9BSQ5', 'O14713')"
"('Q9H1R3', 'Q02045')"
"('P40429', 'P62913')"
"('Q7Z6E9', 'P52735')"
"('Q12933', 'Q9Y5U5')"
"('P27361', 'Q9UKL4')"
"('Q8IWW6', 'P61586')"
"('P29353', 'Q9H9J2')"
"('Q15154', 'P18146')"
"('O15226', 'Q96C10')"
"('O15155', 'P53618')"
"('Q01844', 'Q9Y6E0')"
"('P46777', 'P18621')"
"('P35626', 'Q96R27')"
"('Q8N6F1', 'O95500')"
"('Q9UQ90', 'Q5UIP0')"
"('Q9UKE5', 'P51991')"
"('Q96P20', 'P01584')"
"('P12004', 'P18669')"
"('Q86X55', 'Q9Y2X8')"
"('Q5JSL3', 'Q7L0Q8')"
"('Q9HC98', 'Q8TDX7')"
"('P21246', 'Q9Y383')"
"('P14316', 'P35579')"
"('P01111', 'Q04206')"
"('P18206', 'P06576')"
"('Q05048', 'Q9P2I0')"
"('Q13253', 'P03971')"
"('Q96EY1', 'O60674')"
"('P43490', 'P29274')"
"('P60953', 'Q9NPB6')"
"('P08514', 'P02671')"
"('P42677', 'P62244')"
"('P51668', 'Q9C040')"
"('Q7Z6B7', 'Q7L0Q8')"
"('P56556', 'O95169')"
"('P20138', 'O14543')"
"('P62166', 'P21918')"
"('P21741', 'P23458')"
"('Q9NUX5', 'Q15554')"
"('P30050', 'P50914')"
"('Q13009', 'P05129')"
"('Q92752', 'P26012')"
"('P51692', 'P14784')"
"('P14416', 'Q96SB3')"
"('O43320', 'P22607')"
"('P45983', 'Q92934')"
"('P38936', 'P30281')"
"('Q8NBJ4', 'O76071')"
"('Q96CS2', 'Q9H6D7')"
"('Q92985', 'P15884')"
"('O95777', 'Q01780')"
"('Q16665', 'P02786')"
"('P42684', 'P01112')"
"('O75578', 'O43707')"
"('P28702', 'Q92831')"
"('Q9HC98', 'P08195')"
"('Q8N752', 'P10070')"
"('P62879', 'Q9HBW0')"
"('P35221', 'Q13363')"
"('Q96J02', 'Q9H469')"
"('Q13233', 'P42766')"
"('O95500', 'Q07157')"
"('O94925', 'P43360')"
"('P63244', 'P12931')"
"('Q8NF64', 'Q13526')"
"('P23396', 'P62979')"
"('Q05516', 'P49715')"
"('Q9Y376', 'O14874')"
"('O15371', 'P62993')"
"('P13569', 'Q6UVK1')"
"('Q13573', 'P78406')"
"('P32969', 'Q02543')"
"('O95343', 'P48431')"
"('P40818', 'P63104')"
"('P28328', 'Q6P1J9')"
"('P43307', 'Q9UL18')"
"('Q9Y230', 'Q9H9F9')"
"('Q8TAQ2', 'P51532')"
"('P27348', 'O15530')"
"('P15863', 'P50221')"
"('P0CJ75', 'P25090')"
"('Q15011', 'P49768')"
"('P04049', 'P08238')"
"('Q13573', 'O95347')"
"('Q01094', 'P42574')"
"('P18084', 'P63261')"
"('Q9UK85', 'Q9H2G2')"
"('Q13557', 'Q13698')"
"('P51946', 'P10276')"
"('Q9NPH3', 'O43187')"
"('Q9UM82', 'P33316')"
"('Q9UBU8', 'Q09472')"
"('Q8IUE6', 'Q9BY41')"
"('P20333', 'Q9UM54')"
"('Q86U70', 'P17542')"
"('Q7LBR1', 'P53990')"
"('P27540', 'P53041')"
"('Q7Z434', 'O95140')"
"('Q86UW7', 'P62837')"
"('Q13200', 'Q14164')"
"('P50616', 'Q5JQF8')"
"('Q13118', 'Q14137')"
"('P63092', 'P40145')"
"('P23511', 'P14859')"
"('Q9UJU6', 'P78314')"
"('Q16627', 'P51685')"
"('P23497', 'P46100')"
"('Q9Y6N7', 'O75044')"
"('P12931', 'O95297')"
"('Q96AE4', 'Q92830')"
"('Q9P2K8', 'Q15653')"
"('O94864', 'P21246')"
"('Q9NZI8', 'P01106')"
"('Q96GM5', 'O15360')"
"('Q9UJY5', 'Q9UMZ2')"
"('P55822', 'O94868')"
"('Q13588', 'P06239')"
"('Q9NRI5', 'Q01082')"
"('O00463', 'Q16584')"
"('O75970', 'P57739')"
"('P62993', 'O43559')"
"('Q14152', 'O15372')"
"('P46060', 'Q9Y478')"
"('Q9NX58', 'Q8IWS0')"
"('Q9HCU9', 'Q16576')"
"('O14640', 'P63000')"
"('Q6R327', 'Q9BVC4')"
"('P51587', 'O43502')"
"('Q86W26', 'P29466')"
"('Q9Y490', 'Q9UKX5')"
"('Q13315', 'Q9Y462')"
"('P68104', 'P56282')"
"('Q07020', 'P61513')"
"('Q16777', 'P33778')"
"('Q8WXC3', 'Q9ULZ3')"
"('Q92956', 'P31689')"
"('P61586', 'P53779')"
"('P61326', 'P01243')"
"('P13805', 'P17844')"
"('P02768', 'O60281')"
"('P04141', 'Q5VWK5')"
"('O60566', 'Q9Y6B7')"
"('Q99523', 'P08138')"
"('P00846', 'O75964')"
"('O15520', 'P29317')"
"('Q16777', 'Q5QNW6')"
"('O14807', 'P27986')"
"('P12004', 'P68104')"
"('P35625', 'P08254')"
"('P38398', 'Q13363')"
"('Q9BXL7', 'Q9Y6K9')"
"('Q05086', 'Q16611')"
"('P61981', 'Q9UMS4')"
"('P0C5Y9', 'P33778')"
"('Q16891', 'Q9NRR5')"
"('Q5VVH5', 'P11142')"
"('P30304', 'P63104')"
"('P61952', 'P84996')"
"('Q9NRI5', 'Q70YC5')"
"('Q99879', 'Q9BY41')"
"('P19429', 'Q9HAU4')"
"('P78369', 'Q8NI35')"
"('P01106', 'Q9Y4A5')"
"('Q8IUH5', 'P21579')"
"('P14416', 'P61952')"
"('Q99459', 'Q9UJC3')"
"('P16220', 'P60983')"
"('O75643', 'Q99459')"
"('Q9UKF6', 'O95639')"
"('P63279', 'P05549')"
"('Q14596', 'Q99689')"
"('O14980', 'Q96RS0')"
"('P55268', 'Q14118')"
"('Q5SW24', 'P41743')"
"('P19174', 'P15498')"
"('Q7L2E3', 'Q16576')"
"('Q6ZRI6', 'P05386')"
"('P49407', 'P68400')"
"('P51681', 'P57727')"
"('O60287', 'Q15750')"
"('P05107', 'P27701')"
"('P00533', 'P01100')"
"('P62263', 'P01889')"
"('P39019', 'Q13573')"
"('Q9NZD8', 'Q9NTM9')"
"('O60238', 'Q01844')"
"('Q8TAQ2', 'O75381')"
"('P40337', 'O95260')"
"('P62070', 'O15211')"
"('P24593', 'P05121')"
"('Q00839', 'P25963')"
"('Q9Y6X6', 'P27986')"
"('O75800', 'Q8IUQ4')"
"('Q9P104', 'Q16620')"
"('P78396', 'O00303')"
"('Q99728', 'Q96D09')"
"('P22612', 'Q8TD86')"
"('Q99816', 'P19012')"
"('P62701', 'P62263')"
"('Q16537', 'O60840')"
"('P31947', 'Q8IUC4')"
"('Q16659', 'P48740')"
"('Q04206', 'Q99757')"
"('P46782', 'Q9UHD2')"
"('O00750', 'P09619')"
"('Q9UI95', 'P12830')"
"('Q13530', 'P45880')"
"('Q13131', 'Q9Y478')"
"('Q9NP77', 'Q6UXN9')"
"('P68402', 'Q3ZCQ8')"
"('Q9BSJ2', 'P23258')"
"('P01023', 'P01137')"
"('Q07955', 'Q15366')"
"('P27701', 'P21860')"
"('Q13547', 'Q13422')"
"('Q92558', 'O15145')"
"('P35268', 'P18077')"
"('P07766', 'O00459')"
"('P63104', 'P27708')"
"('P43360', 'O75688')"
"('P21246', 'Q14508')"
"('P42858', 'Q13588')"
"('O75800', 'Q6UWE0')"
"('P06241', 'P54764')"
"('P56537', 'P55786')"
"('Q9UKY1', 'O00231')"
"('P84098', 'Q00005')"
"('Q96EE3', 'Q8IY92')"
"('Q9GZQ8', 'P05386')"
"('O43521', 'Q16611')"
"('Q92831', 'P16333')"
"('P45983', 'P99999')"
"('P0CG48', 'P19438')"
"('P63279', 'Q99666')"
"('Q9NPF7', 'Q01344')"
"('Q8IWV7', 'Q9UBS4')"
"('Q8N2W9', 'P38398')"
"('Q9UQM7', 'Q06432')"
"('Q13287', 'Q14765')"
"('O95793', 'P12882')"
"('P26010', 'Q9HBI0')"
"('P01106', 'O43684')"
"('P41222', 'P43088')"
"('P63167', 'P61925')"
"('Q9Y3C0', 'Q9Y383')"
"('O15056', 'P31947')"
"('Q99836', 'Q9UGK3')"
"('P22234', 'Q8TAP6')"
"('Q9UGP8', 'Q6DKJ4')"
"('P78537', 'Q8IYH5')"
"('P29317', 'P98077')"
"('Q96RN5', 'Q15797')"
"('O60814', 'Q9UBL3')"
"('Q9NX70', 'P52434')"
"('P57721', 'O00422')"
"('Q92499', 'P33240')"
"('Q8N554', 'P54253')"
"('Q99878', 'Q16778')"
"('O75390', 'P56537')"
"('P62273', 'P08865')"
"('P05113', 'P32927')"
"('Q9NWA0', 'Q9NPJ6')"
"('P41220', 'O95858')"
"('Q9Y4R7', 'P18146')"
"('Q13573', 'O43390')"
"('O14775', 'Q8TCU6')"
"('Q9C0J8', 'Q05516')"
"('P52735', 'P22681')"
"('O96020', 'P24941')"
"('P19387', 'Q7KZ85')"
"('P05141', 'Q15796')"
"('P30876', 'P49841')"
"('P19838', 'O15226')"
"('P60953', 'P31150')"
"('Q9UKF6', 'Q6UN15')"
"('O75367', 'Q969S8')"
"('P42830', 'P61073')"
"('P45984', 'P84022')"
"('Q13315', 'Q9Y248')"
"('P30504', 'Q99873')"
"('P60002', 'Q9NR96')"
"('P29597', 'P63244')"
"('Q9UKV8', 'Q15020')"
"('Q13315', 'Q01081')"
"('P35348', 'Q03113')"
"('Q96CF2', 'Q70EL1')"
"('P84103', 'Q12986')"
"('Q14031', 'P23229')"
"('P13725', 'Q99062')"
"('P53350', 'Q99436')"
"('Q9NRJ3', 'P51679')"
"('Q9NQH7', 'P13569')"
"('Q9HBI1', 'P18564')"
"('P38159', 'O75525')"
"('Q8TCY5', 'P41968')"
"('Q969T4', 'Q96A37')"
"('P60673', 'P68133')"
"('Q9NPJ4', 'P11474')"
"('P51610', 'Q15291')"
"('P59901', 'P12314')"
"('P51991', 'P31943')"
"('Q9GZX5', 'Q6VMQ6')"
"('Q00653', 'P24385')"
"('P20908', 'P08648')"
"('Q15172', 'Q13936')"
"('P63104', 'Q86YZ3')"
"('Q05048', 'Q10570')"
"('Q10570', 'Q9BZE0')"
"('P43405', 'P46109')"
"('Q99650', 'P04406')"
"('P30480', 'P13798')"
"('Q9Y3V2', 'P25963')"
"('Q2VWA4', 'Q13485')"
"('Q9H201', 'P42566')"
"('Q16520', 'P01100')"
"('P16220', 'Q9BZ72')"
"('P42679', 'P10721')"
"('P53350', 'Q71F23')"
"('Q02045', 'P35579')"
"('P27348', 'Q9Y383')"
"('P22694', 'P62879')"
"('Q8IY92', 'Q9BPX6')"
"('P35249', 'P12004')"
"('Q13315', 'O15021')"
"('P12931', 'P50570')"
"('P16220', 'Q96L08')"
"('O15067', 'P11171')"
"('O75143', 'Q8NEB9')"
"('P17302', 'Q07157')"
"('P12931', 'P21917')"
"('Q02878', 'P27635')"
"('Q99731', 'P52630')"
"('Q96B18', 'P41743')"
"('O95999', 'P61088')"
"('Q92841', 'Q92731')"
"('Q96HB5', 'Q99418')"
"('P01308', 'O00459')"
"('Q8WWV3', 'Q9NQC3')"
"('Q99759', 'P62258')"
"('Q00653', 'Q07020')"
"('P16473', 'P11021')"
"('P18084', 'P46109')"
"('P02768', 'O15320')"
"('406919', 'P09603')"
"('P12757', 'Q7L2E3')"
"('Q9Y5N6', 'Q9UBD5')"
"('P04839', 'P19878')"
"('P17612', 'Q9NQA5')"
"('P08107', 'P85299')"
"('Q9UPS6', 'P51610')"
"('P58753', 'P11473')"
"('Q8NE35', 'P50616')"
"('Q8NHZ7', 'Q92769')"
"('Q969S8', 'P0C1H6')"
"('Q15653', 'P20226')"
"('Q13151', 'Q05519')"
"('P63104', 'P07814')"
"('Q92621', 'O75694')"
"('Q08495', 'Q86YD1')"
"('P19387', 'P36954')"
"('P53778', 'P15336')"
"('P32121', 'P32246')"
"('Q12873', 'P16870')"
"('494324', 'O15530')"
"('Q92569', 'P16144')"
"('Q16650', 'Q14164')"
"('Q13554', 'Q8TEY5')"
"('O00267', 'P63272')"
"('Q06547', 'Q96RK0')"
"('Q16576', 'P17542')"
"('P12956', 'Q08211')"
"('P08238', 'P31749')"
"('P62280', 'P62269')"
"('P07947', 'Q15717')"
"('Q99963', 'P17600')"
"('Q9NYS7', 'Q15910')"
"('Q9BQ66', 'Q9BT49')"
"('Q8N5A5', 'Q16576')"
"('P32121', 'Q96RD1')"
"('Q9BV38', 'P20073')"
"('Q2M1K9', 'Q15797')"
"('Q07890', 'O00459')"
"('Q9UQM7', 'Q9UF02')"
"('O95201', 'Q13137')"
"('Q9HBI1', 'Q15052')"
"('O75676', 'Q96BA8')"
"('Q9BQD3', 'O75558')"
"('P25098', 'Q03135')"
"('Q9NVC6', 'O75448')"
"('Q16659', 'P52788')"
"('P06748', 'P51124')"
"('Q96EP1', 'Q969T4')"
"('Q13547', 'Q99879')"
"('Q04206', 'P01375')"
"('406987', 'P35556')"
"('P16144', 'Q92569')"
"('P12318', 'O15264')"
"('O75751', 'Q9UJU5')"
"('Q9Y383', 'Q92698')"
"('P33993', 'Q92794')"
"('P63241', 'P49366')"
"('Q8TCX5', 'O94972')"
"('Q9Y4K3', 'P23284')"
"('Q7Z3U7', 'Q9UJY5')"
"('Q13257', 'O60566')"
"('Q96GD4', 'Q15691')"
"('P19388', 'P05060')"
"('Q7Z434', 'Q14164')"
"('Q01892', 'P22301')"
"('Q9Y5I7', 'P57739')"
"('O95391', 'P16220')"
"('P02751', 'P11684')"
"('Q16787', 'Q13797')"
"('Q13087', 'O95433')"
"('Q15119', 'P31749')"
"('P04183', 'P29074')"
"('P15391', 'P27986')"
"('O15085', 'O95433')"
"('P54132', 'P38398')"
"('Q6P2Q9', 'Q13435')"
"('P17676', 'P16070')"
"('P19838', 'P15924')"
"('P05112', 'Q15306')"
"('Q96GM5', 'Q8NFD5')"
"('P83731', 'Q9NX58')"
"('P53674', 'P53673')"
"('Q02556', 'Q5W186')"
"('Q9UBP9', 'P05107')"
"('P61978', 'Q13242')"
"('Q13190', 'P54920')"
"('Q01105', 'O76081')"
"('P51668', 'O94874')"
"('Q14566', 'Q8WYH8')"
"('P43351', 'Q92698')"
"('P30968', 'P63092')"
"('Q9Y5B9', 'P33991')"
"('P11912', 'P40259')"
"('P16871', 'P23528')"
"('P13569', 'P28799')"
"('Q03001', 'Q13952')"
"('P08670', 'Q15628')"
"('P52434', 'Q9NX70')"
"('P07437', 'P60709')"
"('Q96RT1', 'P20020')"
"('O43556', 'Q13326')"
"('Q99742', 'Q9Y5J5')"
"('P23443', 'Q13057')"
"('P50991', 'Q04206')"
"('Q9UM11', 'P15036')"
"('Q05513', 'P31946')"
"('Q01970', 'Q9NPB6')"
"('P20382', 'P16870')"
"('P48454', 'Q9UJX5')"
"('P15529', 'P21926')"
"('Q13191', 'P26992')"
"('Q86U86', 'P38936')"
"('Q13057', 'P35900')"
"('P19388', 'P14625')"
"('Q8TBB1', 'Q13155')"
"('O14641', 'P49815')"
"('O15116', 'Q6NUQ4')"
"('Q8N6F1', 'O75508')"
"('P30530', 'Q96S59')"
"('O75663', 'P60510')"
"('P06748', 'P01889')"
"('P01889', 'P46108')"
"('P01236', 'P19235')"
"('Q93097', 'O60353')"
"('Q5JR59', 'Q99661')"
"('Q13151', 'Q14683')"
"('P50395', 'Q9Y4K3')"
"('P53708', 'P12814')"
"('Q9ULK4', 'Q8TB72')"
"('O15297', 'O96017')"
"('P35626', 'Q8NGX6')"
"('O95257', 'P38936')"
"('406956', 'Q13315')"
"('O60303', 'O60343')"
"('Q14103', 'Q06265')"
"('Q13087', 'Q15654')"
"('P00519', 'P15391')"
"('P30050', 'P62917')"
"('Q13315', 'O75113')"
"('Q99459', 'Q9P2I0')"
"('Q9H4K7', 'Q16659')"
"('Q9Y5W5', 'O14904')"
"('P16220', 'P18146')"
"('P62993', 'Q14203')"
"('Q8IXH7', 'P00403')"
"('Q96RT8', 'A6NHL2')"
"('Q04206', 'P41279')"
"('Q13526', 'P06493')"
"('Q14103', 'P61981')"
"('Q15047', 'Q14181')"
"('P00519', 'Q9UK85')"
"('P62310', 'O60383')"
"('P20810', 'P27986')"
"('Q52LW3', 'Q9HBH0')"
"('Q15173', 'P31749')"
"('Q15654', 'Q96HA1')"
"('Q96P09', 'Q9Y2X8')"
"('P42771', 'P29590')"
"('O75928', 'Q14765')"
"('O95793', 'P19338')"
"('Q9HAU0', 'Q01082')"
"('Q15102', 'Q13432')"
"('P54646', 'P16671')"
"('Q99459', 'Q9ULW0')"
"('P08727', 'Q15154')"
"('Q15286', 'P63000')"
"('P43246', 'Q9NSU2')"
"('O00341', 'Q13424')"
"('O00501', 'P56747')"
"('P52272', 'Q9UHD2')"
"('Q96JB5', 'Q14194')"
"('P16104', 'Q96BD6')"
"('Q92997', 'Q9H7E9')"
"('P48443', 'Q86YW9')"
"('Q9GZP0', 'P22455')"
"('P01889', 'O15144')"
"('P08069', 'P49913')"
"('P07550', 'Q13639')"
"('P51946', 'P13631')"
"('Q9GZX7', 'Q02556')"
"('P49840', 'P61981')"
"('P28482', 'P16871')"
"('Q9NR55', 'P53567')"
"('P06241', 'P10636')"
"('P56693', 'P50553')"
"('Q92769', 'Q96A08')"
"('P41743', 'P12931')"
"('P10644', 'Q05469')"
"('O14654', 'P48039')"
"('P61978', 'Q9BUJ2')"
"('P02768', 'P01859')"
"('P49207', 'P84098')"
"('P40197', 'P14770')"
"('442898', 'P08151')"
"('Q99728', 'Q5T3J3')"
"('P56134', 'O75964')"
"('Q9HA65', 'P48643')"
"('P50148', 'P32302')"
"('P55201', 'P33992')"
"('P67775', 'Q9UPR3')"
"('P22694', 'Q9Y698')"
"('Q96NA2', 'P68363')"
"('Q13177', 'P30086')"
"('Q9H1Y0', 'Q7Z434')"
"('P02768', 'P35527')"
"('Q07890', 'P15153')"
"('P41134', 'P28324')"
"('P23258', 'Q96JB5')"
"('P98175', 'Q6ZN30')"
"('Q70Z53', 'Q01081')"
"('P78362', 'Q15287')"
"('Q99814', 'Q8NFJ9')"
"('P24385', 'Q92793')"
"('P04637', 'Q16594')"
"('Q9BYM8', 'P05060')"
"('Q86Z02', 'P04637')"
"('Q9NVW2', 'P51965')"
"('Q9H5J8', 'Q8WYH8')"
"('P84098', 'P61513')"
"('Q13485', 'P31321')"
"('Q13683', 'P23229')"
"('Q92759', 'P32780')"
"('Q9UHR5', 'Q9UK32')"
"('P18206', 'P35609')"
"('P62750', 'Q9NX58')"
"('Q14566', 'Q92794')"
"('P53420', 'O00339')"
"('Q15459', 'Q9UBN6')"
"('Q8WVD3', 'Q96PU8')"
"('Q9BT78', 'Q9H9Q2')"
"('P54252', 'P04183')"
"('P35625', 'Q15717')"
"('Q6DT37', 'Q9UHD2')"
"('P01876', 'Q96CF2')"
"('O14640', 'P68400')"
"('Q92597', 'P35998')"
"('P62249', 'P62273')"
"('Q9ULV1', 'P09471')"
"('P05109', 'P38936')"
"('O75496', 'Q9H211')"
"('Q13573', 'P35250')"
"('Q9BQE3', 'P51149')"
"('P18206', 'P63261')"
"('Q53HC9', 'Q8N163')"
"('Q9UNN5', 'P55210')"
"('O15379', 'P23527')"
"('O14745', 'Q05397')"
"('Q70EL1', 'Q9NZZ3')"
"('P20810', 'P04632')"
"('Q9BQA1', 'P31946')"
"('Q15008', 'P25787')"
"('Q92844', 'Q12933')"
"('P19838', 'Q05639')"
"('Q13315', 'Q9C0C9')"
"('Q01844', 'O00160')"
"('O94856', 'P62993')"
"('P50914', 'Q02543')"
"('P18848', 'P17544')"
"('Q9NQS7', 'Q96GD4')"
"('Q96DU9', 'O43347')"
"('Q9UKB1', 'O00221')"
"('Q15027', 'P12931')"
"('O43493', 'Q9H2G2')"
"('P63104', 'Q8N122')"
"('P55795', 'P84103')"
"('P84101', 'Q9BQY4')"
"('O00264', 'P40337')"
"('Q6ZUJ8', 'Q04864')"
"('Q9BRP4', 'Q8IZ83')"
"('Q05516', 'P14652')"
"('Q9Y2V7', 'P62263')"
"('P04150', 'Q13263')"
"('P46783', 'Q99558')"
"('P78556', 'P51686')"
"('P49716', 'Q9Y2H8')"
"('P53350', 'Q7Z434')"
"('P51398', 'Q15788')"
"('Q96PU5', 'Q9H469')"
"('O95696', 'Q96KM6')"
"('Q92736', 'Q99717')"
"('Q17RW2', 'P31431')"
"('P09619', 'P21453')"
"('P62993', 'Q13509')"
"('O75800', 'Q14164')"
"('Q8TAI7', 'Q13485')"
"('Q6UXH1', 'P55055')"
"('Q9UHD2', 'P62258')"
"('Q9NNX6', 'P61586')"
"('P35442', 'P16144')"
"('P63218', 'Q5JWF2')"
"('Q9ULV8', 'P07949')"
"('Q13619', 'Q9H967')"
"('P41222', 'P04278')"
"('Q06124', 'Q92835')"
"('P10321', 'P26715')"
"('Q13432', 'Q53FA7')"
"('Q7RTN6', 'Q9Y478')"
"('Q13315', 'Q5W0Z9')"
"('P11487', 'P07333')"
"('Q9HAV4', 'Q9Y2Q3')"
"('Q8IZL8', 'O60341')"
"('Q9UBI6', 'P28482')"
"('P61513', 'P62913')"
"('O14775', 'P62879')"
"('P67870', 'O15123')"
"('Q92616', 'Q9HAW0')"
"('P19438', 'P0CG47')"
"('O14775', 'Q13698')"
"('P01106', 'Q13519')"
"('Q9UK45', 'P62306')"
"('P19838', 'P05141')"
"('Q9UJX2', 'Q9UM13')"
"('Q13253', 'P12643')"
"('Q99759', 'Q9UM54')"
"('O60684', 'P62306')"
"('Q9BQ83', 'P49720')"
"('P23527', 'P0C0S8')"
"('Q8N5C8', 'P57077')"
"('P32321', 'Q9GZT8')"
"('Q9BW27', 'Q96EE3')"
"('Q96NA2', 'A6NHL2')"
"('Q15653', 'O43663')"
"('O76093', 'P09619')"
"('Q9NRG4', 'Q16543')"
"('P23258', 'Q04917')"
"('P43246', 'O95059')"
"('Q8IWZ8', 'P08579')"
"('P63279', 'P49792')"
"('Q9UJU6', 'O95714')"
"('O14920', 'P36941')"
"('P20151', 'P29622')"
"('Q9Y575', 'P06702')"
"('O14519', 'O76071')"
"('Q03169', 'Q99459')"
"('Q99613', 'P60709')"
"('Q9NRR5', 'Q8N111')"
"('Q9UBL3', 'Q96ST3')"
"('Q9H2G2', 'Q9UL51')"
"('Q9UIA9', 'O75365')"
"('Q07157', 'Q9BQE3')"
"('O15392', 'O14727')"
"('P48039', 'O60262')"
"('P62263', 'P15880')"
"('P01568', 'P15509')"
"('Q9H1B7', 'P14316')"
"('Q9H3N1', 'P16104')"
"('O60381', 'P18146')"
"('P25789', 'Q969U7')"
"('Q9HBI1', 'P17301')"
"('Q99848', 'Q9UL18')"
"('Q05084', 'O75716')"
"('Q92888', 'Q13573')"
"('Q13315', 'Q5SSJ5')"
"('P05141', 'Q13077')"
"('P05556', 'O14713')"
"('O60264', '100008589')"
"('P05129', 'P18848')"
"('P35247', 'O00206')"
"('Q9BXW4', 'P51784')"
"('Q96FW1', 'P61077')"
"('P42771', 'P11171')"
"('Q13555', 'P42261')"
"('P61224', 'Q9BRK5')"
"('Q07817', 'P21246')"
"('P22681', 'P15509')"
"('P36507', 'Q13164')"
"('P17987', 'P63104')"
"('Q13573', 'Q9NPF5')"
"('P12814', 'Q92831')"
"('Q9Y478', 'Q13263')"
"('P58062', 'P13640')"
"('Q00005', 'P50990')"
"('P0C1H6', 'P0C5Z0')"
"('P61927', 'P35268')"
"('P62277', 'P63220')"
"('P60763', 'Q9P286')"
"('P02745', 'P02647')"
"('P60900', 'Q16186')"
"('P51610', 'Q01094')"
"('P62993', 'Q92945')"
"('Q9UBU7', 'P49736')"
"('Q03701', 'P04637')"
"('407040', 'Q96EB6')"
"('Q969Q1', 'Q9UBK9')"
"('P04085', 'P22607')"
"('P19174', 'P52735')"
"('Q9UBX3', 'Q9UPY8')"
"('Q13478', 'Q04206')"
"('P20340', 'Q96CN9')"
"('Q7Z3J3', 'P46060')"
"('P33076', 'P16220')"
"('P16220', 'Q6SA08')"
"('P63000', 'O00401')"
"('P21796', 'P06753')"
"('P43250', 'P35243')"
"('Q92569', 'Q9P2H0')"
"('P46778', 'P62891')"
"('P25940', 'P18084')"
"('Q99880', 'P21675')"
"('P18827', 'P10145')"
"('Q86VP3', 'P31947')"
"('P04141', 'P14784')"
"('Q969Q1', 'P60228')"
"('Q9H7L9', 'O00422')"
"('Q14315', 'P26010')"
"('P46531', 'P04628')"
"('Q9Y3Y4', 'Q01082')"
"('Q86Y01', 'Q96J02')"
"('Q86YV0', 'P01116')"
"('Q00653', 'P15924')"
"('P78368', 'P18846')"
"('Q96AX1', 'Q86VX9')"
"('Q99759', 'P07437')"
"('P07954', 'Q14164')"
"('P55196', 'P29323')"
"('O75044', 'P52198')"
"('P30153', 'P54289')"
"('Q9UET6', 'P20618')"
"('Q9NR80', 'P49841')"
"('Q9HCU8', 'P28340')"
"('Q9UL15', 'Q8IY92')"
"('Q9NSA1', 'P29317')"
"('P15408', 'P17544')"
"('Q04206', 'P04150')"
"('P35354', 'Q92905')"
"('Q04917', 'Q9Y2J2')"
"('P07900', 'Q13153')"
"('Q92922', 'Q969G3')"
"('O94875', 'Q8WX93')"
"('Q13155', 'P02675')"
"('P52735', 'P36542')"
"('P04637', 'Q12824')"
"('Q92569', 'P00533')"
"('Q14164', 'Q9HAV4')"
"('Q9UNN5', 'Q86W26')"
"('P20248', 'P10244')"
"('O14908', 'P35606')"
"('P01106', 'Q9UQ80')"
"('O60739', 'P13804')"
"('O60516', 'O60573')"
"('Q9NX14', 'P17568')"
"('Q02153', 'Q02108')"
"('P34981', 'O95837')"
"('P35346', 'P63096')"
"('P01106', 'Q9NQT4')"
"('Q9NSE2', 'P51692')"
"('Q9UQM7', 'Q13557')"
"('Q9Y4K3', 'P04350')"
"('Q5T4F7', 'Q93097')"
"('P01019', 'P30556')"
"('P07357', 'P07360')"
