negatives
"('Q9NRY4', 'P41182')"
"('Q92831', 'P23511')"
"('Q8NI35', 'Q9NVP1')"
"('P49023', 'Q9HBI1')"
"('P25398', 'P35544')"
"('P40189', 'P40763')"
"('Q93079', 'Q9UQL6')"
"('P20226', 'P29375')"
"('Q9NPH9', 'Q969J5')"
"('Q07955', 'Q01081')"
"('Q13625', 'Q9BVJ6')"
"('P10646', 'P35030')"
"('Q8WWI1', 'P63104')"
"('Q8TBB1', 'P49757')"
"('Q9UL18', 'P61513')"
"('P78330', 'P10599')"
"('P22460', 'P35609')"
"('Q07812', 'P31749')"
"('P06241', 'O43914')"
"('P52735', 'Q7Z3K3')"
"('P19883', 'Q14689')"
"('P52735', 'P46940')"
"('Q96CW5', 'A6NHL2')"
"('P46779', 'O95793')"
"('P17252', 'P62993')"
"('P01562', 'Q969J5')"
"('P22392', 'P52434')"
"('Q14738', 'O60359')"
"('Q9NPI1', 'P02794')"
"('P27361', 'P42224')"
"('P33993', 'P46527')"
"('O00299', 'Q14164')"
"('Q92841', 'Q13547')"
"('P30519', 'Q9Y3C7')"
"('Q5PRF9', 'P63104')"
"('Q8NGT7', 'P38405')"
"('Q9NYW7', 'A8MTJ3')"
"('Q9P0L0', 'Q9Y2K6')"
"('P11171', 'Q07157')"
"('P53778', 'Q00005')"
"('Q99759', 'O15027')"
"('P27361', 'Q9UK32')"
"('Q9UL03', 'Q92900')"
"('P63104', 'Q5PRF9')"
"('P19235', 'P27986')"
"('P02790', 'P17931')"
"('P63211', 'Q99677')"
"('A1A4S6', 'P61587')"
"('P41091', 'Q9BY44')"
"('Q96KQ4', 'Q9H3D4')"
"('P33076', 'Q13547')"
"('P35244', 'Q9P286')"
"('P17931', 'P20073')"
"('Q9UNN5', 'Q99714')"
"('P23508', 'Q04637')"
"('Q96AH8', 'Q96NA2')"
"('P63220', 'P46783')"
"('Q13315', 'Q14676')"
"('O14497', 'Q86U86')"
"('P42226', 'P23771')"
"('Q9NRI5', 'P11532')"
"('Q12933', 'Q8N5R6')"
"('Q01955', 'P08648')"
"('Q13489', 'P61088')"
"('P32121', 'Q14738')"
"('P60484', 'P27986')"
"('P01344', 'P24593')"
"('P63104', 'P07305')"
"('Q8NHQ1', 'Q96BR9')"
"('P61981', 'Q9P2M7')"
"('P01242', 'P01589')"
"('P32121', 'Q8NH01')"
"('Q9H8E8', 'P78537')"
"('Q9BQ83', 'Q9Y3F4')"
"('Q05655', 'O60503')"
"('Q06330', 'Q5TA89')"
"('P61244', 'O60271')"
"('P84090', 'P04637')"
"('P21731', 'Q13162')"
"('O95760', 'P0C0S8')"
"('Q9NZ52', 'O43493')"
"('O00327', 'P07900')"
"('Q99683', 'Q5VWQ8')"
"('Q99575', 'Q969H6')"
"('O43676', 'O95167')"
"('P63104', 'Q14C86')"
"('P06241', 'Q06418')"
"('Q9NZC4', 'P78545')"
"('Q13158', 'P15311')"
"('P15170', 'P98170')"
"('P54756', 'Q8N5V2')"
"('Q9Y4K3', 'Q9BYD1')"
"('Q9HC16', 'P17676')"
"('P28221', 'P21453')"
"('P62491', 'P23368')"
"('Q8NH94', 'P38405')"
"('Q969S8', 'O75367')"
"('Q96C10', 'Q9NXV6')"
"('P62879', 'P84996')"
"('Q96DA0', 'Q9NRR5')"
"('Q9UBT7', 'Q96PY6')"
"('P31946', 'P06213')"
"('Q01196', 'Q99706')"
"('P60953', 'Q15811')"
"('O95433', 'Q7Z494')"
"('P26641', 'Q96KR7')"
"('P04275', 'Q96KM6')"
"('O96009', 'Q13190')"
"('P63096', 'P51828')"
"('Q99459', 'Q13547')"
"('P01116', 'P28482')"
"('Q9BXS5', 'O14976')"
"('Q14526', 'O14497')"
"('P08754', 'Q01668')"
"('P63244', 'P42224')"
"('O60716', 'Q99459')"
"('Q92538', 'Q92888')"
"('P63104', 'O60292')"
"('Q8IVU3', 'Q15034')"
"('P01112', 'Q92565')"
"('P20042', 'P51693')"
"('Q9UKE5', 'Q9Y618')"
"('P17252', 'P17302')"
"('Q8IU54', 'Q13261')"
"('Q13233', 'P50914')"
"('P98082', 'P01130')"
"('P04083', 'P62714')"
"('Q13098', 'Q7L5N1')"
"('Q15287', 'P63010')"
"('Q5W0B1', 'P35221')"
"('Q13042', 'Q9UJX3')"
"('P19878', 'Q02556')"
"('P22681', 'Q14627')"
"('Q15744', 'P02788')"
"('P63261', 'P11532')"
"('P46777', 'Q9UNX3')"
"('O75385', 'Q8TDY2')"
"('P31644', 'P46459')"
"('O14709', 'Q13263')"
"('P14550', 'Q9Y4K3')"
"('Q15654', 'P50479')"
"('P35221', 'Q9UDY2')"
"('Q8N9I9', 'Q9Y2X8')"
"('P62945', 'P62829')"
"('P25788', 'P28070')"
"('P61019', 'P14672')"
"('P03372', 'Q15291')"
"('P55317', 'O00526')"
"('P62316', 'P63104')"
"('P08559', 'P10515')"
"('Q5T3J3', 'P01909')"
"('P08047', 'P10620')"
"('P36897', 'Q15796')"
"('P36897', 'Q9UJX4')"
"('Q03431', 'Q5JWF2')"
"('P25940', 'P31431')"
"('Q92793', 'P63165')"
"('Q969H0', 'P98160')"
"('P39656', 'Q9UKV8')"
"('Q96T23', 'P19838')"
"('P52434', 'Q6P1J9')"
"('P10275', 'P30613')"
"('O00483', 'Q9Y6M9')"
"('Q9NZP2', 'P38405')"
"('Q2NL82', 'P63104')"
"('P32121', 'Q8NGD1')"
"('O75159', 'Q9UM73')"
"('Q9NX58', 'Q8TDN6')"
"('P63104', 'P62995')"
"('O15357', 'Q13588')"
"('P14678', 'O95777')"
"('P55265', 'Q92900')"
"('Q9Y5S9', 'P33993')"
"('Q9Y265', 'Q10586')"
"('P46109', 'P17081')"
"('O95757', 'P01889')"
"('Q06710', 'P28702')"
"('P36897', 'Q6SA08')"
"('O95835', 'P53667')"
"('Q9Y6Q6', 'P31995')"
"('P54619', 'P36956')"
"('O76071', 'Q9Y5Q8')"
"('Q13315', 'Q8ND56')"
"('Q9UBU9', 'Q9BUJ2')"
"('Q15047', 'Q9Y3A3')"
"('Q9BRP4', 'O43242')"
"('P22681', 'P15509')"
"('P05231', 'P17181')"
"('P61513', 'P62945')"
"('P30291', 'P14635')"
"('Q9UIF9', 'P00519')"
"('Q15121', 'Q5TCS8')"
"('Q9UJY5', 'Q99523')"
"('O75251', 'P51970')"
"('Q9UJX5', 'Q96DE5')"
"('P46379', 'Q7L5D6')"
"('Q9C0K7', 'Q9UGI9')"
"('P21246', 'O60333')"
"('Q9Y5J5', 'P48507')"
"('Q8N5V2', 'P62745')"
"('P52597', 'Q13573')"
"('Q02878', 'Q92901')"
"('Q9Y4K3', 'P09936')"
"('Q9UJV9', 'O95433')"
"('Q04206', 'P01100')"
"('P35900', 'P08670')"
"('P84101', 'P02774')"
"('Q04323', 'Q9HCE7')"
"('P42768', 'P16885')"
"('P08047', 'O95600')"
"('Q13432', 'P61604')"
"('A5PL33', 'P49841')"
"('P01566', 'P26992')"
"('Q06190', 'Q96Q15')"
"('P63261', 'P18206')"
"('Q9NQU5', 'P27348')"
"('Q96PX6', 'Q93045')"
"('O14832', 'P07498')"
"('P27986', 'O43150')"
"('P25054', 'Q9P267')"
"('P17612', 'O14827')"
"('P07332', 'P32519')"
"('P62158', 'O00159')"
"('Q9P2Y5', 'Q07812')"
"('P21917', 'P63096')"
"('Q8IZL8', 'P46379')"
"('Q13177', 'P62993')"
"('O15169', 'Q155Q3')"
"('P83731', 'P18077')"
"('P19525', 'Q9BY44')"
"('P49674', 'P25054')"
"('Q07890', 'P61587')"
"('O60282', 'O95295')"
"('P11142', 'O60603')"
"('P19532', 'P53396')"
"('O43318', 'Q9NR33')"
"('Q13519', 'P41146')"
"('P30480', 'O43169')"
"('O75529', 'Q9Y4A5')"
"('Q13315', 'Q05193')"
"('Q9UJ98', 'Q9UQE7')"
"('P30154', 'Q9UPR3')"
"('Q7Z5R6', 'Q9Y4G6')"
"('Q9P2H0', 'O43261')"
"('Q6VMQ6', 'Q08174')"
"('P61978', 'Q08881')"
"('P49207', 'Q92901')"
"('P13164', 'Q00978')"
"('P60709', 'P35221')"
"('O75582', 'O43889')"
"('P32969', 'O94875')"
"('P14778', 'P18146')"
"('P22392', 'P28070')"
"('P63165', 'Q9NYW8')"
"('Q9Y239', 'P01584')"
"('P09467', 'Q63HM2')"
"('Q8WVV9', 'Q15365')"
"('Q9Y219', 'Q5VTD9')"
"('P08173', 'P63211')"
"('Q16566', 'Q70SY1')"
"('Q9UHC7', 'Q96B26')"
"('Q96P11', 'Q13573')"
"('O14936', 'P18827')"
"('P09497', 'P63010')"
"('P32121', 'Q8NGG3')"
"('P15924', 'P01106')"
"('Q86WN2', 'P01589')"
"('O95750', 'P11362')"
"('Q9BTD8', 'O43251')"
"('Q9NWA0', 'P10809')"
"('P03897', 'O43677')"
"('Q13200', 'O75832')"
"('P20042', 'Q04724')"
"('P30304', 'Q13464')"
"('P26373', 'P30050')"
"('P03901', 'P03915')"
"('Q15020', 'Q9UKV8')"
"('Q05516', 'P0CG48')"
"('O60508', 'Q8IWZ8')"
"('Q86YS3', 'Q15907')"
"('Q7Z6L1', 'P49368')"
"('P52735', 'Q15149')"
"('Q12834', 'Q9BYQ3')"
"('Q8IWW6', 'Q9HBH0')"
"('P14866', 'P55060')"
"('P46527', 'O00505')"
"('Q13263', 'P42226')"
"('Q15303', 'P27986')"
"('O15530', 'P31749')"
"('P18206', 'P26232')"
"('P55196', 'Q9Y624')"
"('P43694', 'Q9Y2Y9')"
"('Q96QB1', 'P84095')"
"('Q9Y618', 'P25963')"
"('Q00005', 'P68363')"
"('Q92993', 'Q99832')"
"('Q9Y478', 'P41091')"
"('P67775', 'Q9BUB5')"
"('P18146', 'P43628')"
"('P31785', 'P48736')"
"('Q9NXS2', 'Q9H9G7')"
"('P35626', 'O95221')"
"('Q9P104', 'Q16620')"
"('P50148', 'O14641')"
"('Q16644', 'P18848')"
"('Q9ULV1', 'P09471')"
"('P06241', 'Q9Y210')"
"('Q8WYQ5', '406956')"
"('P01106', 'Q8TEQ6')"
"('Q5VWK5', 'P52333')"
"('P15144', 'P23229')"
"('Q93062', 'Q96LM6')"
"('O00212', 'O00238')"
"('Q9H0M4', 'P18146')"
"('Q15311', 'O15455')"
"('P55774', 'P12931')"
"('Q13976', 'P17302')"
"('P23258', 'Q96JB5')"
"('O95182', 'Q9Y6M9')"
"('51639', 'Q9UKE5')"
"('O15553', 'P27348')"
"('P25054', 'P04183')"
"('Q99608', 'Q96G23')"
"('P49841', 'O75935')"
"('Q6ZVK8', 'Q9BQ66')"
"('O96017', 'Q14676')"
"('Q16621', 'P62987')"
"('P20290', 'Q14164')"
"('Q96AY2', 'Q9H816')"
"('Q9NV58', 'Q13418')"
"('P28072', 'P60900')"
"('P14778', 'P27986')"
"('Q00978', 'P20592')"
"('Q9HB96', 'A8MT69')"
"('P39023', 'P62917')"
"('O75489', 'Q16718')"
"('P30153', 'P52630')"
"('P50991', 'Q9NWA0')"
"('O60306', 'Q9BRX9')"
"('P08670', 'P63167')"
"('P62424', 'P46776')"
"('Q8WWW0', 'P61224')"
"('Q8TEM1', 'Q5SRE5')"
"('Q07020', 'P61254')"
"('Q04917', 'Q14CS0')"
"('P06213', 'O14492')"
"('Q8NGH3', 'P38405')"
"('Q08881', 'O43561')"
"('Q9GZV5', 'Q96RN5')"
"('O14775', 'P48051')"
"('Q96EY7', 'P62380')"
"('Q8N163', 'Q15428')"
"('Q7Z406', 'Q96A32')"
"('P47992', 'P51681')"
"('B1A4H9', 'P17181')"
"('Q9HBG4', 'P04156')"
"('Q96CW5', 'Q16891')"
"('Q8IU54', 'Q00653')"
"('P49755', 'O75815')"
"('P49023', 'P04406')"
"('P05129', 'Q9H492')"
"('407012', 'P36896')"
"('Q16512', 'Q9GZQ8')"
"('P22681', 'P48551')"
"('Q05397', 'P15311')"
"('Q9UI95', 'P48634')"
"('Q8NEZ4', 'Q6P1J9')"
"('P48357', 'Q9UGI9')"
"('P01243', 'P49591')"
"('Q13114', 'Q06187')"
"('Q9P2R6', 'P54259')"
"('P21796', 'P30405')"
"('Q9UGL9', 'P08670')"
"('Q9HCS7', 'Q9BZE0')"
"('P62995', 'O75494')"
"('Q12983', 'Q07820')"
"('P17612', 'P54840')"
"('Q3ZCM7', 'P17302')"
"('P36894', 'Q7Z3T8')"
"('P49746', 'P18084')"
"('O14974', 'P62136')"
"('Q99759', 'Q13813')"
"('Q99459', 'Q12792')"
"('Q5VVX9', 'Q6AZZ1')"
"('P35222', 'P02741')"
"('Q5D0E6', 'P67870')"
"('P21731', 'P30679')"
"('Q9NY59', 'Q14194')"
"('P49768', 'Q9NZJ5')"
"('Q16619', 'P40238')"
"('P13611', 'Q14242')"
"('P27348', 'P49815')"
"('P60953', 'Q13576')"
"('P10966', 'P01889')"
"('O95433', 'Q9UN72')"
"('P42566', 'Q9Y6I3')"
"('P42226', 'Q04206')"
"('Q9NRA8', 'Q96RG2')"
"('P56537', 'P22234')"
"('P33993', 'P62979')"
"('Q14164', 'P55072')"
"('P13747', 'Q14952')"
"('P61289', 'Q9H832')"
"('O15145', 'Q86YJ6')"
"('Q13368', 'Q8WV44')"
"('P47914', 'O60739')"
"('P40337', 'P61088')"
"('Q8IWX8', 'Q01081')"
"('P13010', 'O60684')"
"('Q53G59', 'O95198')"
"('P98164', 'Q9UKG1')"
"('Q9Y2X7', 'Q13177')"
"('O43353', 'P04350')"
"('Q9HAU4', 'P22607')"
"('P48023', 'Q9NZQ3')"
"('Q92544', 'P20339')"
"('Q96JN2', 'Q9NRI5')"
"('P05014', 'P42702')"
"('Q99962', 'P60709')"
"('Q02750', 'P18146')"
"('O00231', 'Q9Y3C7')"
"('Q9NPA1', 'Q13698')"
"('P38646', 'P25963')"
"('P67870', 'P11387')"
"('P22694', 'O95622')"
"('P48736', 'P29992')"
"('Q9UQF2', 'P00533')"
"('Q9UKI9', 'Q9Y5Z7')"
"('P23229', 'Q07889')"
"('O00422', 'Q4LE39')"
"('Q9Y265', 'Q53TQ3')"
"('O00327', 'Q16665')"
"('Q17RW2', 'Q05397')"
"('P45983', 'P40763')"
"('O43390', 'P51991')"
"('P05129', 'P16885')"
"('Q96L91', 'Q96Q83')"
"('Q13573', 'Q92989')"
"('Q9P013', 'Q96I25')"
"('P62906', 'Q15843')"
"('Q8IWR0', 'Q02388')"
"('Q66LE6', 'Q13522')"
"('Q8WUM4', 'Q99963')"
"('P67775', 'P54284')"
"('P56746', 'O95049')"
"('Q12873', 'P21246')"
"('Q9P1W9', 'P46778')"
"('Q96AP0', 'Q93009')"
"('O95167', 'O95298')"
"('Q15797', 'Q9UIS9')"
"('P10275', 'Q9Y265')"
"('Q13315', 'Q15046')"
"('O43156', 'P78527')"
"('Q12929', 'Q8N2M8')"
"('Q13418', 'Q9P003')"
"('P46783', 'Q00653')"
"('Q13751', 'P06756')"
"('Q16602', 'P84996')"
"('Q96LR5', 'P98170')"
"('Q01638', 'Q9Y4K3')"
"('Q6WCQ1', 'Q13158')"
"('Q01094', 'P19838')"
"('P62269', 'P61247')"
"('Q86SE5', 'P51116')"
"('P08700', 'P14784')"
"('P04637', 'P15559')"
"('Q9Y4K3', 'Q9BYM8')"
"('P02647', 'Q86VQ3')"
"('Q9BXL5', 'P23497')"
"('Q9H9S4', 'O43741')"
"('P26373', 'P84098')"
"('Q9UGP8', 'P23508')"
"('P16220', 'O60292')"
"('Q14833', 'P08754')"
"('O95259', 'P62158')"
"('Q13191', 'P48736')"
"('Q9BV44', 'O95777')"
"('O75044', 'P84095')"
"('O00257', 'P52952')"
"('Q13526', 'O15169')"
"('Q9UGY1', 'Q15393')"
"('P08047', 'P05412')"
"('P16333', 'Q9P1A6')"
"('Q14106', 'Q96DU9')"
"('P12004', 'P40937')"
"('O75674', 'Q9UKV5')"
"('P52948', 'P57740')"
"('O60315', 'Q15796')"
"('Q9NRX3', 'Q8N357')"
"('P23527', 'Q8WUI4')"
"('P62158', 'Q13554')"
"('P18146', 'Q04900')"
"('Q07817', 'Q9H1Y0')"
"('Q96DG6', 'Q9NRG4')"
"('P17612', 'P50151')"
"('Q96IP4', 'P46379')"
"('O00159', 'Q99759')"
"('P28749', 'P41732')"
"('Q86YJ6', 'Q05516')"
"('P36542', 'Q96RN5')"
"('Q13017', 'P60953')"
"('Q7LFX5', 'P08631')"
"('P12980', 'Q9NR99')"
"('Q96Q15', 'Q969Q6')"
"('P22612', 'P14618')"
"('P04233', 'P14174')"
"('P42679', 'Q16288')"
"('P11142', 'Q04864')"
"('Q12929', 'Q96ED9')"
"('Q71SY5', 'P00519')"
"('Q92832', 'Q5VTD9')"
"('P61626', 'Q15653')"
"('P38936', 'O15350')"
"('Q96ST3', 'Q92769')"
"('Q9NRI5', 'P12110')"
"('O14681', 'P62837')"
"('Q01094', 'Q14207')"
"('P19013', 'Q8IY92')"
"('Q53ET0', 'Q9Y243')"
"('P55345', 'P06400')"
"('Q13043', 'Q5VYV7')"
"('O60271', 'Q14240')"
"('P63104', 'P40818')"
"('Q9H160', 'Q96ST3')"
"('Q04917', 'Q92974')"
"('Q6KC79', 'Q9Y6X3')"
"('P51965', 'Q9NVP2')"
"('O60603', 'P35228')"
"('Q15744', 'Q99062')"
"('Q14974', 'P04637')"
"('P31943', 'Q15427')"
"('P60228', 'Q9GZR7')"
"('P42574', 'P06396')"
"('Q9UPT9', 'Q12962')"
"('P07093', 'Q14031')"
"('O43809', 'Q5RKV6')"
"('Q15013', 'Q15645')"
"('Q8N423', 'P13746')"
"('O43187', 'Q86VW0')"
"('P62324', 'P05412')"
"('O60296', 'P14867')"
"('P46108', 'Q9Y2H0')"
"('Q15311', 'P19438')"
"('P49023', 'Q16827')"
"('O75716', 'Q93063')"
"('Q9Y6D9', 'Q9Y2J4')"
"('Q5JSJ4', 'Q96MT8')"
"('Q13535', 'P43246')"
"('Q9P286', 'Q92934')"
"('Q00653', 'Q8NFZ5')"
"('Q15047', 'Q9NY59')"
"('Q13315', 'Q9H6E5')"
"('Q96C10', 'Q9BYX4')"
"('P07711', 'Q6UXH1')"
"('Q14CB8', 'P84095')"
"('Q96DH6', 'P62993')"
"('Q13490', 'P51668')"
"('O15530', 'Q13867')"
"('Q9UL18', 'P42766')"
"('Q14469', 'Q9BXW9')"
"('O76093', 'P08138')"
"('Q14318', 'P07900')"
"('O95989', 'Q14469')"
"('O75376', 'Q92769')"
"('P63173', 'P46776')"
"('Q15025', 'P0CG48')"
"('P49841', 'Q13233')"
"('O94972', 'Q8N5R6')"
"('Q9NQ87', 'Q9H422')"
"('Q9H2G4', 'Q16650')"
"('P63010', 'Q9BXS5')"
"('Q8IVF5', 'P60763')"
"('Q9H1I8', 'Q8NG27')"
"('P00519', 'O15085')"
"('P08754', 'O60266')"
"('Q96L14', 'Q9BU64')"
"('P43364', 'Q16206')"
"('P01568', 'P40189')"
"('Q9BZD4', 'P07199')"
"('P35544', 'P62753')"
"('P48736', 'P35790')"
"('P67870', 'Q99698')"
"('Q13619', 'Q9NZJ0')"
"('Q8IZP0', 'P09769')"
"('P29353', 'P42680')"
"('Q14781', 'Q9HC52')"
"('P46782', 'P62753')"
"('P46459', 'Q86Y82')"
"('P63104', 'Q9Y224')"
"('Q8WTQ7', 'P61073')"
"('Q02388', 'P11142')"
"('Q86TM6', 'Q9H832')"
"('P62854', 'Q9UL18')"
"('P51784', 'Q9Y4E8')"
"('Q15648', 'P28702')"
"('Q07325', 'P18146')"
"('Q92901', 'P46778')"
"('P59768', 'P08172')"
"('Q2TBC4', 'O14641')"
"('Q86YZ3', 'Q96BK5')"
"('Q9UJY4', 'Q99523')"
"('Q15287', 'P63104')"
"('P46108', 'Q9BWW9')"
"('Q92925', 'P62993')"
"('Q13838', 'Q6Y2X3')"
"('P54578', 'P01889')"
"('P19388', 'O94763')"
"('P17096', 'P01589')"
"('Q07021', 'Q13480')"
"('O96014', 'O00755')"
"('Q13586', 'O00522')"
"('O43463', 'O75182')"
"('P48736', 'P40763')"
"('406947', 'Q92833')"
"('Q16514', 'P62805')"
"('Q9UBU3', 'P35346')"
"('Q8N2W9', 'Q16891')"
"('P51817', 'P27361')"
"('Q93084', 'P01891')"
"('P35544', 'Q96BK5')"
"('O75832', 'P43358')"
"('P25788', 'P25789')"
"('Q9NZT1', 'P48454')"
"('Q15910', 'O60925')"
"('P56597', 'Q8WWB3')"
"('Q9UER7', 'O43570')"
"('P19174', 'Q06124')"
"('P02766', 'P31942')"
"('P22681', 'Q9UHF4')"
"('Q13424', 'P35499')"
"('P57721', 'P26599')"
"('Q96T58', 'P56178')"
"('Q8IZP0', 'O15357')"
"('P01876', 'P01700')"
"('Q9P2A4', 'Q86YM7')"
"('Q7L014', 'P78362')"
"('P08588', 'P38405')"
"('P63165', 'P49792')"
"('P35244', 'Q96E14')"
"('Q16829', 'Q15759')"
"('O95741', 'Q15759')"
"('O15230', 'P07942')"
"('P62873', 'P42338')"
"('Q8WUM4', 'P07947')"
"('P60763', 'P55160')"
"('O15524', 'P16471')"
"('Q92574', 'Q9BXF6')"
"('Q01726', 'Q5JWF2')"
"('P16471', 'P15498')"
"('O95084', 'Q9H0H5')"
"('P0CG47', 'Q969F2')"
"('O95257', 'O95067')"
"('Q15287', 'Q92614')"
"('Q00341', 'P43360')"
"('Q9HC77', 'P53677')"
"('P57739', 'Q9UDY2')"
"('Q16778', 'Q08945')"
"('Q8IY92', 'O95352')"
"('Q71SY5', 'A0JLT2')"
"('P56750', 'P56748')"
"('Q08209', 'P00519')"
"('P63172', 'P21796')"
"('P41235', 'Q9NPJ3')"
"('P07900', 'Q00005')"
"('Q15038', 'Q75N90')"
"('Q07955', 'P84103')"
"('Q05209', 'Q05397')"
"('P08581', 'Q96S59')"
"('Q96QG7', 'Q9NZD8')"
"('P23769', 'P31749')"
"('Q13573', 'Q7L5N1')"
"('O15143', 'Q9P1U1')"
"('O15145', 'P46379')"
"('Q9BXW9', 'Q8IY92')"
"('P19438', 'Q16695')"
"('P19235', 'P23458')"
"('Q9NQ87', 'P84022')"
"('Q99816', 'Q9UER7')"
"('Q13151', 'P24522')"
"('Q9UH03', 'Q969T9')"
"('P78543', 'Q96LI5')"
"('A8MT69', 'Q00597')"
"('Q15835', 'Q16555')"
"('Q9BUV8', 'Q9UNL2')"
"('O95863', 'P68431')"
"('P56645', 'Q13315')"
"('P51610', 'O14686')"
"('Q9H6S0', 'Q9NX58')"
"('Q13315', 'P08238')"
"('P09471', 'Q15147')"
"('Q00597', 'Q9UBZ9')"
"('Q13765', 'P20226')"
"('Q14242', 'O75955')"
"('Q96BK5', 'O60739')"
"('P26368', 'P78362')"
"('Q9BXH1', 'Q00653')"
"('O95163', 'Q04941')"
"('O43292', 'Q9H490')"
"('O14949', 'P43358')"
"('Q9Y4K3', 'Q12933')"
"('Q12983', 'O60313')"
"('Q15628', 'Q8N5C8')"
"('P50616', 'Q92600')"
"('P60484', 'Q04864')"
"('P07947', 'P46527')"
"('P16520', 'Q8NFM4')"
"('Q9BSW2', 'Q14134')"
"('Q08050', 'P30304')"
"('P62873', 'P62879')"
"('Q9BZI7', 'Q96A72')"
"('Q15388', 'O60260')"
"('P78545', 'Q9UQ90')"
"('Q7L2E3', 'P28749')"
"('P46821', 'Q9H492')"
"('P33981', 'P07437')"
"('P40763', 'P15172')"
"('P01889', 'Q13347')"
"('Q9BWQ8', 'Q07812')"
"('P49459', 'P14373')"
"('Q99700', 'Q9P1U0')"
"('Q96AQ6', 'P40424')"
"('Q66LE6', 'P42224')"
"('P48729', 'P07910')"
"('Q9UBI6', 'P63092')"
"('Q15389', 'P10721')"
"('Q9H1D9', 'Q9UKR5')"
"('Q13315', 'Q8N5Z5')"
"('O95251', 'P10275')"
"('Q9NP95', 'P22607')"
"('P06756', 'P35609')"
"('P05013', 'Q6UXL0')"
"('Q13200', 'Q9HC98')"
"('Q9NY93', 'P61927')"
"('P26640', 'Q05639')"
"('P05386', 'Q92901')"
"('O15514', 'P19387')"
"('P10600', 'Q15796')"
"('P53992', 'O94979')"
"('P24821', 'P18084')"
"('407016', 'Q15910')"
"('Q9P2W3', 'Q8NFM4')"
"('P47900', 'O95467')"
"('Q9Y3Q8', 'P04156')"
"('P99999', 'Q96BK5')"
"('P34897', 'Q92597')"
"('Q9UKV8', 'P11940')"
"('O60896', 'Q12988')"
"('O43237', 'A6NHL2')"
"('P07766', 'Q8TE67')"
"('P17302', 'Q9H4B7')"
"('P17301', 'P26006')"
"('Q8TCY5', 'Q01726')"
"('O00203', 'P36575')"
"('P28482', 'Q15349')"
"('P22612', 'P42263')"
"('P05388', 'P62888')"
"('P16885', 'P62993')"
"('P28482', 'O75116')"
"('O60238', 'O14775')"
"('Q86UW9', 'Q93062')"
"('Q96RU7', 'O14733')"
"('Q5FBB7', 'Q14738')"
"('O75365', 'Q9Y6D6')"
"('P62280', 'Q99608')"
"('Q9ULZ3', 'Q9C000')"
"('P14784', 'P42224')"
"('O43353', 'P62263')"
"('Q5QNW6', 'P0C0S5')"
"('Q9UHV7', 'Q9Y4A5')"
"('P36507', 'Q92905')"
"('Q15835', 'P25024')"
"('Q9NZQ3', 'P51668')"
"('Q00005', 'Q9BXL8')"
"('Q13253', 'P22004')"
"('O00214', 'P02790')"
"('P30480', 'P31949')"
"('Q9P212', 'P41743')"
"('O00585', 'P25025')"
"('Q14344', 'O15085')"
"('Q9GZM8', 'P21506')"
"('O15169', 'Q14134')"
"('Q02535', 'P15884')"
"('P16220', 'Q8IZS8')"
"('Q9Y5V3', 'Q12769')"
"('Q9NVW2', 'Q86U70')"
"('P49674', 'Q49AN0')"
"('O00267', 'Q13123')"
"('P62136', 'Q13454')"
"('Q14457', 'O14980')"
"('P68032', 'P19429')"
"('Q13501', 'P06239')"
"('O14640', 'Q9H2H0')"
"('Q13315', 'Q9P258')"
"('P02768', 'Q9BXH1')"
"('Q13418', 'P22087')"
"('P62851', 'P62244')"
"('Q8NE71', 'P56537')"
"('Q13087', 'P55157')"
"('Q9HCK4', 'Q9UD71')"
"('P12931', 'P20936')"
"('Q13424', 'P33402')"
"('P62917', 'P47914')"
"('P45983', 'P01106')"
"('Q96EQ8', 'P51668')"
"('Q96ID5', 'P50453')"
"('P24522', 'O75689')"
"('P51813', 'P46108')"
"('O76024', 'Q99941')"
"('Q9HCM9', '28942')"
"('P63104', 'Q8N142')"
"('O00255', 'Q00653')"
"('Q8TAQ2', 'Q15811')"
"('P05783', 'Q9H0H5')"
"('Q8TAD8', 'Q86Z02')"
"('O75438', 'O43676')"
"('Q96A00', 'O14974')"
"('P42681', 'Q9UKW4')"
"('Q00653', 'Q6P2Q9')"
"('Q9H0A9', 'O95453')"
"('O43182', 'Q96L33')"
"('Q15759', 'P07196')"
"('P16104', 'P62158')"
"('Q15370', 'P57737')"
"('P13805', 'Q13595')"
"('P0CG47', 'O94782')"
"('P22626', 'P35637')"
"('P62993', 'P28482')"
"('Q05513', 'Q9NRA0')"
"('Q8N257', 'Q96RL1')"
"('Q15843', 'P47914')"
"('Q9NP84', 'O00463')"
"('Q9HAV0', 'P27361')"
"('Q96HM7', 'P02768')"
"('Q9UQM7', 'Q9NY47')"
"('Q9P0J0', 'O95299')"
"('O15126', 'O95411')"
"('P63165', 'Q99666')"
"('Q99653', 'Q13153')"
"('O14788', 'Q9Y6Q6')"
"('Q13573', 'P62750')"
"('P40123', 'P14317')"
"('P05129', 'P15336')"
"('Q9Y2W2', 'Q6Y7W6')"
"('P04637', '693190')"
"('O75529', 'Q9Y6J9')"
"('P17612', 'P10415')"
"('Q8WVV5', 'Q9H7U1')"
"('P61981', 'P19474')"
"('Q92620', 'Q14103')"
"('Q99880', 'Q9C005')"
"('Q14181', 'Q9NQW7')"
"('O95989', 'Q71U36')"
