negatives
"('P52756', 'Q9HCE1')"
"('Q9ULK4', 'Q9NS73')"
"('Q9UKF6', 'Q6IQ23')"
"('P04629', 'Q15459')"
"('Q9Y6C9', 'P06576')"
"('Q9BTT6', 'Q14194')"
"('Q8WY64', 'O14950')"
"('Q9BVT8', 'Q8WU17')"
"('P11362', 'P46109')"
"('P78362', 'Q5T5Y3')"
"('Q8NDP4', 'O95273')"
"('P28062', 'O15116')"
"('P52292', 'P11441')"
"('Q9H0R8', 'P84103')"
"('P25398', 'P61353')"
"('P16581', 'P45984')"
"('O75533', 'O94842')"
"('O95758', 'P62081')"
"('Q13087', 'P00519')"
"('P01571', 'Q9HC73')"
"('Q16576', 'O75376')"
"('P68400', 'Q9UMD9')"
"('Q96DB2', 'P68431')"
"('Q9P2P5', 'O43818')"
"('Q8TAP6', 'O75398')"
"('Q9UL62', 'Q14573')"
"('Q9UHQ1', 'Q9UJU2')"
"('P11279', 'Q9NQ11')"
"('Q9H0W5', 'P40937')"
"('Q9UDX3', 'P50222')"
"('P82987', 'O76003')"
"('Q8WXA9', 'P51991')"
"('O95182', 'Q96E11')"
"('Q8IZ52', 'Q99801')"
"('Q8TEX9', 'Q969H0')"
"('Q99459', 'Q9NRZ9')"
"('P23246', 'Q92841')"
"('O95685', 'Q9UD71')"
"('P43243', 'P51991')"
"('P07814', 'O00221')"
"('Q9H444', 'Q96SU4')"
"('Q96IF1', 'Q9BXF9')"
"('Q99933', 'Q7Z2Z2')"
"('Q15293', 'O95757')"
"('P17931', 'P16150')"
"('O14920', 'Q14790')"
"('Q15436', 'Q9HC77')"
"('P62263', 'P23508')"
"('Q9HC62', 'P63165')"
"('Q9P015', 'Q6P1L8')"
"('P22695', 'P14625')"
"('Q9H0U4', 'Q9Y333')"
"('P49790', 'P52948')"
"('P14921', 'P23771')"
"('O15056', 'P55157')"
"('P50990', 'P29597')"
"('Q8N448', 'Q14005')"
"('Q8IZ69', 'P18754')"
"('Q9P2G9', 'Q15370')"
"('P51608', 'P48431')"
"('P60484', 'Q9UJX5')"
"('Q14CZ7', 'Q6RW13')"
"('Q86TJ2', 'Q9UPT9')"
"('Q86XK3', 'O75150')"
"('Q96S06', 'Q6UWR7')"
"('P38646', 'Q5U5X0')"
"('Q15047', 'Q9H0E2')"
"('P22694', 'O60431')"
"('P18621', 'P30050')"
"('Q8NHW5', 'P62424')"
"('Q8WXD5', 'P62318')"
"('Q96RE7', 'Q13618')"
"('Q53TS8', 'Q14566')"
"('Q01974', 'O15496')"
"('Q14194', 'P20042')"
"('A6NK89', 'P50395')"
"('Q9H0W5', 'O95793')"
"('Q8TBJ4', 'Q6PID6')"
"('P11940', 'P14174')"
"('P54652', 'Q6P1J9')"
"('P13612', 'P62258')"
"('P23396', 'Q02539')"
"('Q9NYF8', 'Q9Y657')"
"('P55055', 'O75376')"
"('Q9BZ29', 'P49759')"
"('P26599', 'P05067')"
"('Q08999', 'Q14457')"
"('O14980', 'P62750')"
"('Q9UQN3', 'P51148')"
"('Q9UBU9', 'O00273')"
"('Q8WYA6', 'Q96GN5')"
"('Q8IX01', 'P62072')"
"('P17612', 'Q32MK0')"
"('P15927', 'Q13432')"
"('Q9Y6Q9', 'Q99743')"
"('P63104', 'Q02750')"
"('P00533', 'Q6WCQ1')"
"('Q9UL45', 'Q8IYI6')"
"('Q9Y6I3', 'P04629')"
"('Q13153', 'Q96FJ2')"
"('Q13418', 'Q9UIA9')"
"('P01106', 'Q9BU61')"
"('P39656', 'Q9H9G7')"
"('Q9HCE1', 'P24534')"
"('Q05519', 'P22626')"
"('Q86U38', 'P0DPB5')"
"('Q8TD19', 'Q9BWE0')"
"('Q9Y5K8', 'P39210')"
"('Q9UQL6', 'O43390')"
"('Q92765', 'Q9H1J7')"
"('P05067', 'O95057')"
"('P53007', 'P10398')"
"('P49841', 'Q15208')"
"('Q9Y4E1', 'Q9Y3C0')"
"('Q9Y6I9', 'Q9NV96')"
"('O60259', 'P03886')"
"('Q7Z4Q2', 'Q86VU5')"
"('Q13547', 'Q9Y4B6')"
"('P04629', 'Q13410')"
"('P04629', 'Q9Y2X7')"
"('P04150', 'P23246')"
"('Q96NB1', 'Q5TB80')"
"('P27348', 'P11413')"
"('Q9BY42', 'Q92841')"
"('Q12906', 'Q13418')"
"('Q05707', 'Q5GAN3')"
"('Q92547', 'P51532')"
"('Q6P1J9', 'P48382')"
"('P55884', 'Q9Y262')"
"('Q14999', 'P17096')"
"('P63220', 'Q99460')"
"('Q15118', 'P31749')"
"('P68371', 'Q01813')"
"('O75955', 'Q96RK4')"
"('Q5T6F2', 'Q8IY67')"
"('P56693', 'P11161')"
"('Q5VUJ6', 'Q92905')"
"('P62847', 'P00439')"
"('Q9UHG0', 'P12980')"
"('Q99865', 'P61326')"
"('Q6UN15', 'O15460')"
"('P63010', 'Q16695')"
"('Q9Y295', 'Q9H0W5')"
"('Q9C002', 'Q9BPW8')"
"('Q8IX18', 'P05412')"
"('P07858', 'P78556')"
"('P0DML3', 'Q6UXL0')"
"('Q8TAQ2', 'P62993')"
"('P01106', 'Q96B67')"
"('Q13618', 'Q9H853')"
"('O43255', 'Q15392')"
"('Q8IWZ5', 'Q9NRQ2')"
"('P50914', 'Q9BRD0')"
"('P16949', 'P13612')"
"('Q8TEC5', 'Q13283')"
"('P00533', 'Q71U36')"
"('Q2TAZ0', 'Q9Y484')"
"('O14777', 'Q15025')"
"('Q86VP6', 'Q9NYF8')"
"('O95801', 'Q12874')"
"('P09110', 'Q96Q05')"
"('P52565', 'Q08211')"
"('P27694', 'Q8TD31')"
"('O43166', 'Q13009')"
"('Q9UK41', 'Q9Y294')"
"('Q06413', 'P05412')"
"('O76038', 'P15336')"
"('Q9C0C4', 'P54709')"
"('Q8WXW3', 'Q15154')"
"('Q6ZW49', 'Q8NCM8')"
"('Q9HCE1', 'Q9UJV9')"
"('Q5JTZ9', 'Q12952')"
"('P55072', 'Q13131')"
"('P25490', 'Q9H9F9')"
"('Q13077', 'O75603')"
"('P35659', 'Q8IY81')"
"('Q9UGN5', 'P05015')"
"('P12270', 'P35240')"
"('Q8IY81', 'Q9H0R8')"
"('Q9H8E8', 'P78537')"
"('Q14118', 'Q9NRW7')"
"('O00744', 'O60353')"
"('P05230', 'O60341')"
"('P24385', 'Q9UBU9')"
"('Q8N9F0', 'Q8TDW7')"
"('Q02880', 'P04637')"
"('P00533', 'Q9BYJ9')"
"('Q5SW79', 'P01106')"
"('P27824', 'P11310')"
"('Q01130', 'Q9UPV0')"
"('P15880', 'Q7L2J0')"
"('P62701', 'P05141')"
"('Q9UBC2', 'P49736')"
"('P35226', 'Q99590')"
"('P28370', 'Q9H4E7')"
"('Q9BQ66', 'Q16670')"
"('Q15615', 'P62873')"
"('P84095', 'Q9NRD1')"
"('P60369', 'P82987')"
"('Q9BYQ3', 'Q02548')"
"('Q13595', 'O95900')"
"('Q9NRW4', 'Q13011')"
"('Q8N726', 'P19338')"
"('Q9C009', 'Q12874')"
"('Q92793', 'Q9UER7')"
"('Q92858', 'Q15067')"
"('P49366', 'P09455')"
"('Q9UBS0', 'P43026')"
"('Q8TB22', 'P31146')"
"('O95793', 'P61978')"
"('P04629', 'Q9P016')"
"('P36406', 'P61077')"
"('P08047', 'P04198')"
"('P33993', 'Q96QK1')"
"('Q99567', 'Q8WYP5')"
"('Q96GG9', 'Q8TBC3')"
"('Q96HD1', 'P56537')"
"('Q99698', 'P40692')"
"('O00255', 'Q9NQW6')"
"('Q9Y664', 'P05067')"
"('Q86TP1', 'Q15717')"
"('O14786', 'Q15109')"
"('P39687', 'O95619')"
"('P31946', 'O00257')"
"('O43521', 'O60216')"
"('Q96T76', 'P40616')"
"('P58546', 'P22314')"
"('Q13309', 'Q00526')"
"('Q9BRP8', 'P05412')"
"('P47914', 'O75530')"
"('Q9UGC6', 'P29972')"
"('P55072', 'O14519')"
"('O00444', 'O95613')"
"('Q9UKN8', 'Q9BUI4')"
"('Q63ZY3', 'O75496')"
"('Q92858', 'O00764')"
"('Q9Y2D8', 'P25791')"
"('Q6IF36', 'O60262')"
"('Q6NT76', 'P48047')"
"('P68371', 'P36957')"
"('O75530', 'Q92804')"
"('P43686', 'Q14525')"
"('Q9NVT9', 'P17600')"
"('Q13309', 'Q15393')"
"('P13164', 'P60033')"
"('P09001', 'Q14197')"
"('Q9UBX2', 'P62249')"
"('O43186', 'Q92830')"
"('Q14257', 'Q8IZT6')"
"('P14373', 'Q2TBE0')"
"('Q15349', 'Q9H7J1')"
"('Q9UDY6', 'Q96F44')"
"('Q9Y277', 'Q9GZR7')"
"('Q7L2J0', 'O94992')"
"('P19838', 'Q00978')"
"('P46531', 'P86791')"
"('Q15366', 'P61978')"
"('P42695', 'P25205')"
"('Q8WUZ0', 'Q8TAQ2')"
"('P52954', 'Q08999')"
"('P84098', 'P27348')"
"('P49069', 'P18146')"
"('P61073', 'Q06124')"
"('Q7Z7K6', 'P41218')"
"('P63104', 'Q9NSK0')"
"('P47914', 'P27635')"
"('Q99496', 'Q9BZJ0')"
"('O43609', 'P40763')"
"('P18850', 'P53396')"
"('P78527', 'Q15080')"
"('Q15020', 'Q7L2J0')"
"('P62979', 'P10914')"
"('P62258', 'Q99426')"
"('Q9BRK4', 'Q9P286')"
"('P09874', 'P54132')"
"('Q16659', 'Q9H6Z9')"
"('P48039', 'P60709')"
"('Q15181', 'P0CJ68')"
"('Q08462', 'O95622')"
"('O00267', 'Q9NZN9')"
"('P14635', 'P20248')"
"('P49888', 'P04637')"
"('Q96AP0', 'Q9BTW9')"
"('Q9UJM3', 'O15297')"
"('Q3B820', 'Q8IV03')"
"('P54578', 'P48637')"
"('Q93009', 'A1A519')"
"('P32519', 'P19838')"
"('Q92793', 'P14921')"
"('Q14524', 'P26045')"
"('P67775', 'O14920')"
"('Q9Y258', 'P05067')"
"('Q14344', 'Q5S007')"
"('Q16666', 'Q9HBV1')"
"('Q96T21', 'Q9H6Z9')"
"('Q9P2Y4', 'P30153')"
"('O75147', 'Q9Y4W2')"
"('O14979', 'Q9BUJ2')"
"('P35226', 'Q14151')"
"('O43809', 'Q92989')"
"('Q9GZT3', 'P19320')"
"('P40337', 'Q9P258')"
"('Q15329', 'O14686')"
"('P62854', 'Q9UMX5')"
"('Q96CS2', 'P38919')"
"('P17252', 'O15527')"
"('Q9NW08', 'P61218')"
"('Q6P1K2', 'Q8TDR4')"
"('Q9NYV4', 'Q9H6Z9')"
"('P49207', 'P62891')"
"('Q9GZQ8', 'Q99567')"
"('Q58FF7', 'Q14004')"
"('P12236', 'Q9H2C0')"
"('Q16526', 'P50991')"
"('P16871', 'P04632')"
"('Q8IWV8', 'Q8TD55')"
"('P11142', 'Q9NZL4')"
"('Q15025', 'Q15750')"
"('P29323', 'Q15811')"
"('P49736', 'Q99714')"
"('P35354', 'Q99460')"
"('P17612', 'P50895')"
"('Q13227', 'Q15047')"
"('P31946', 'Q99959')"
"('P78508', 'Q13424')"
"('Q9H2F5', 'P11831')"
"('O15067', 'O43765')"
"('P50914', 'P15408')"
"('Q8NAP3', 'P60409')"
"('Q68CQ4', 'P53680')"
"('Q8N4V1', 'P55265')"
"('P50613', 'P08238')"
"('P06753', 'O43707')"
"('Q12906', 'Q9UKB1')"
"('Q969D9', 'P49716')"
"('Q9BST9', 'Q9BQ89')"
"('P01112', 'O00459')"
"('P55795', 'P63244')"
"('P29372', 'Q9BVP2')"
"('P18031', 'P30519')"
"('P49736', 'P54619')"
"('Q16659', 'O95714')"
"('Q969Q5', 'Q7Z3Y8')"
"('Q96ER3', 'Q8TF72')"
"('P82675', 'Q96EL2')"
"('P12956', 'P04637')"
"('Q8IVS8', 'Q53G59')"
"('P00519', 'Q05193')"
"('Q6P1S2', 'P40855')"
"('Q10471', 'O00189')"
"('O76021', 'A0JLT2')"
"('Q9BTP7', 'Q8N2Z9')"
"('Q9UNL2', 'Q9H0U3')"
"('Q8WYN0', 'Q9BZD4')"
"('O75140', 'Q8WTW4')"
"('Q96SL4', 'Q9UBS4')"
"('Q8IU60', 'Q05639')"
"('P09972', 'Q9Y680')"
"('Q5SW79', 'Q9H2F9')"
"('P41208', 'Q13569')"
"('Q09028', 'P30480')"
"('O75427', 'Q8N6L0')"
"('Q13618', 'Q9Y5A9')"
"('P61077', 'Q96BQ3')"
"('P07900', 'P0DP23')"
"('Q01082', 'P68431')"
"('Q6NUS6', 'Q8NBS9')"
"('Q9HCY8', 'P43360')"
"('Q03001', 'Q16659')"
"('P15880', 'O60783')"
"('P40200', 'Q9NX00')"
"('P30499', 'P43627')"
"('P63165', 'Q9Y3V2')"
"('P24385', 'O43823')"
"('P62993', 'Q96T58')"
"('Q9UKJ3', 'Q15554')"
"('Q9UBU9', 'Q00653')"
"('Q16543', 'Q7L3B6')"
"('P11802', 'O75182')"
"('Q05D60', 'Q9UQR1')"
"('O00487', 'Q969M3')"
"('P12814', 'Q92831')"
"('Q9HCE1', 'Q12907')"
"('P26368', 'P62847')"
"('P29692', 'P13693')"
"('Q15020', 'Q6NW34')"
"('P49639', 'Q9BYD5')"
"('Q01974', 'Q15038')"
"('P61421', 'P56559')"
"('Q7Z6Z7', 'P62258')"
"('O75694', 'Q13618')"
"('P05067', 'P78318')"
"('Q6FI81', 'P21281')"
"('Q96GD3', 'O95372')"
"('P54259', 'O00468')"
"('Q8IZQ1', 'Q9UBU9')"
"('O95433', 'P50990')"
"('O95470', 'P05412')"
"('Q9UNS1', 'P35244')"
"('P63167', 'Q8TDX7')"
"('Q96G03', 'P18146')"
"('P60709', 'O43318')"
"('Q9H9S0', 'Q9NWB6')"
"('Q9NTK5', 'Q9UNX3')"
"('P46940', 'Q15149')"
"('Q12906', 'O75380')"
"('P28070', 'Q5JUK2')"
"('O60759', 'P51451')"
"('P49736', 'P07437')"
"('P21291', 'P42765')"
"('Q9H492', 'P04406')"
"('O00329', 'P16885')"
"('Q96JG6', 'Q9UMR2')"
"('P62195', 'Q9UNM6')"
"('Q6P158', 'P41218')"
"('P49736', 'Q96T76')"
"('P11940', 'P62249')"
"('P08238', 'Q53GT1')"
"('Q9HC84', 'Q659A1')"
"('Q9NZC7', 'P68400')"
"('Q09472', 'Q49MG5')"
"('P41227', 'O14933')"
"('Q8IUB9', 'O75360')"
"('Q53GL0', 'Q9Y4K3')"
"('Q9Y3B4', 'P05412')"
"('O00231', 'Q5VYK3')"
"('P46777', 'P62891')"
"('P60370', 'A8K8V0')"
"('Q01826', 'Q9Y6X2')"
"('A6NJ78', 'Q15645')"
"('P01563', 'P78552')"
"('Q96FW1', 'O14654')"
"('P11473', 'O43524')"
"('P41252', 'Q99471')"
"('Q96CS4', 'Q13185')"
"('Q03518', 'P57678')"
"('Q96QU8', 'Q9ULX7')"
"('P04222', 'O75347')"
"('Q96FQ6', 'Q53S58')"
"('P40429', 'Q8IXZ2')"
"('Q8NFF5', 'P38936')"
"('P63104', 'Q9UKB1')"
"('Q14839', 'Q9P2Y4')"
"('Q8NDX5', 'P02768')"
"('P40692', 'P56962')"
"('Q86XK3', 'Q8NHQ1')"
"('P49711', 'Q9H444')"
"('Q9HD26', 'P35520')"
"('Q15286', 'P35244')"
"('Q6UY14', 'Q92537')"
"('Q96A65', 'Q15154')"
"('P18206', 'P07737')"
"('P18206', 'Q9Y3C8')"
"('O14662', 'O60499')"
"('Q9P2B7', 'Q9H1A4')"
"('P11182', 'Q8N3J5')"
"('P19838', 'Q9C0C2')"
"('P46379', 'Q13488')"
"('Q9Y5V3', 'Q13618')"
"('Q8N8L6', 'Q9UBN1')"
"('Q5VTR2', 'Q5VYV7')"
"('Q96KQ7', 'P45973')"
"('Q5HYK3', 'Q9H0U6')"
"('O60939', 'Q9H583')"
"('P62993', 'Q96GP6')"
"('P40227', 'P0C5J1')"
"('Q96QV6', 'Q8TEK3')"
"('Q86V81', 'P52272')"
"('Q9Y5Q8', 'Q8WUA4')"
"('P13612', 'Q13635')"
"('P35354', 'Q13619')"
"('Q96E52', 'Q9H497')"
"('Q92793', 'Q7LBC6')"
"('P43686', 'P61289')"
"('Q5T3F8', 'O95831')"
"('P15374', 'Q9UMX0')"
"('Q9NX76', 'Q9HC24')"
"('P05412', 'P36776')"
"('Q9UNM6', 'P78362')"
"('Q9NQW1', 'P53992')"
"('Q5T0W9', 'Q00610')"
"('O15067', 'P26038')"
"('Q14203', 'O75381')"
"('P50502', 'P02649')"
"('Q16821', 'Q9UQ13')"
"('Q9NYF3', 'Q9BST9')"
"('P18621', 'Q969S9')"
"('P51608', 'P62805')"
"('Q9UBU8', 'Q71U36')"
"('Q68CZ6', 'Q96MT8')"
"('P01106', 'Q969H0')"
"('Q86YP4', 'Q99459')"
"('Q9UQM7', 'Q14674')"
"('Q9UN37', 'Q9NVJ2')"
"('Q92908', 'Q9Y5W3')"
"('P35626', 'Q8NGA8')"
"('Q99801', 'P20962')"
"('P42345', 'Q9P2J5')"
"('P38606', 'Q9NRD1')"
"('P38159', 'Q16629')"
"('P17612', 'Q07869')"
"('P49773', 'P15374')"
"('Q9P258', 'Q5JSL3')"
"('P09651', 'Q9UL18')"
"('P01112', 'P53779')"
"('P31371', 'P36888')"
"('Q9H0D6', 'P06733')"
"('Q9Y277', 'Q14164')"
"('Q5SXM1', 'P45973')"
"('P49736', 'Q8WYH8')"
"('P07550', 'Q9HD45')"
"('Q13509', 'Q13618')"
"('P35226', 'Q9Y230')"
"('P0DMV8', 'P10275')"
"('Q96DN0', 'Q08AF8')"
"('Q96TA1', 'P04629')"
"('P35968', 'Q03135')"
"('Q15019', 'Q9NQW6')"
"('Q12906', 'P61106')"
"('Q96CW1', 'P25054')"
"('Q8NEY8', 'Q9UK61')"
"('O15504', 'Q9NRG9')"
"('Q9P267', 'O60493')"
"('Q96EQ0', 'Q9H981')"
"('Q12933', 'Q86SE9')"
"('Q96KC8', 'Q6NUS6')"
"('Q92831', 'P09874')"
"('Q9NP72', 'P30153')"
"('O75558', 'Q9UHD2')"
"('P48634', 'Q96CW5')"
"('Q04917', 'Q92934')"
"('Q8NCR6', 'Q3LI70')"
"('O14641', 'Q9GZV5')"
"('Q92841', 'Q9BXB1')"
"('P36873', 'P41236')"
"('Q8IUD2', 'P25963')"
"('Q14596', 'P00441')"
"('P08238', 'Q9NR45')"
"('Q13394', 'P40426')"
"('Q9NV96', 'B0FP48')"
"('Q8WXW3', 'Q6ZU80')"
"('P59052', 'O76011')"
"('P23396', 'Q15628')"
"('Q86UE4', 'P05412')"
"('P35268', 'Q86VP6')"
"('Q9Y5B9', 'P68104')"
"('P48431', 'Q9UJX5')"
"('P55769', 'P17812')"
"('O95817', 'Q99750')"
"('Q9UJZ1', 'Q8WWC4')"
"('P51617', 'P30443')"
"('Q9H8V3', 'P07195')"
"('Q92882', 'O00560')"
"('Q6UN15', 'Q9UJV9')"
"('Q9BVV2', 'Q6PCB8')"
"('P62993', 'O43707')"
"('P09471', 'O14641')"
"('P60468', 'O43683')"
"('Q96CB8', 'Q9H3P2')"
"('P09601', 'Q86Y33')"
"('P05141', 'Q9GZQ8')"
"('Q9Y6H1', 'Q9Y4W6')"
"('P09104', 'Q96MC5')"
"('P49407', 'Q8NH16')"
"('Q9BTV4', 'P51149')"
"('P17812', 'Q9NW13')"
"('P25101', 'Q9H270')"
"('Q7Z6Z7', 'Q9H040')"
"('P61803', 'P01889')"
"('Q92569', 'P02760')"
"('Q9Y4B5', 'Q96L34')"
"('Q9Y312', 'Q8N0Z6')"
"('O00358', 'Q96KR1')"
"('O00339', 'P29400')"
"('Q92841', 'P10809')"
"('P12980', 'Q9NQV8')"
"('O95831', 'P19838')"
"('Q8IW41', 'Q15750')"
"('P01241', 'Q8WUH6')"
"('P04629', 'Q9UJS0')"
"('P51149', 'P61018')"
"('P01912', 'Q58DX5')"
"('Q96GK7', 'P49419')"
"('O00541', 'Q9Y3T9')"
"('P53041', 'P63244')"
"('P51149', 'Q9NX63')"
"('Q9UI10', 'P32249')"
"('P01042', 'P00748')"
"('Q96CW5', 'P27635')"
"('P47914', 'P61353')"
"('Q16558', 'Q01668')"
"('Q9NRM7', 'Q8TEW0')"
"('Q99728', 'Q1KMD3')"
"('Q13637', 'Q9BZC7')"
"('O15530', 'Q9H814')"
"('P05067', 'Q9Y2B0')"
"('P05231', 'P42701')"
"('Q70Z53', 'O00299')"
"('P13489', 'O00560')"
"('O95398', 'Q8ND90')"
"('P05388', 'P39023')"
"('Q12959', 'P78536')"
"('Q9Y490', 'P46379')"
"('P62491', 'Q9H1C7')"
"('Q6VN20', 'P46531')"
"('Q96JC9', 'Q96MF2')"
"('Q96RU7', 'Q04206')"
"('O60880', 'P21860')"
"('Q8NFH5', 'Q13526')"
"('Q13574', 'P49407')"
"('O14964', 'Q9UGK8')"
"('Q04724', 'P55318')"
"('Q96GY3', 'Q08999')"
"('Q9UQM7', 'Q96A00')"
"('P20700', 'O96017')"
"('P62913', 'P05362')"
"('P27708', 'Q5TC82')"
"('P02768', 'Q9H974')"
"('Q9UQB9', 'Q9NQS7')"
"('Q9BQ70', 'P08238')"
"('Q9Y5S9', 'P84103')"
"('P50453', 'P68371')"
"('Q99933', 'Q8IUQ4')"
"('O95644', 'Q5TYW2')"
"('P31947', 'Q9UNZ2')"
"('Q9UK61', 'P35226')"
"('P54764', 'P40337')"
"('Q9NXR7', 'Q6UWZ7')"
"('Q92997', 'Q04721')"
"('Q8NCE2', 'Q9GZQ8')"
"('Q9HCK4', 'Q86U44')"
"('Q13422', 'P61024')"
"('P61956', 'Q9UBT2')"
"('Q15485', 'P02741')"
"('O94817', 'O43186')"
"('O94832', 'Q6NUN9')"
"('Q9UBP6', 'P61158')"
"('Q9Y3D8', 'P38432')"
"('Q93034', 'Q9H0C5')"
"('Q99547', 'P51693')"
"('P04637', 'P61086')"
"('P11142', 'Q9P013')"
"('O95995', 'P51959')"
"('Q9NYA4', 'P84022')"
"('Q9BSB4', 'Q9H1Y0')"
"('O00716', 'Q9H6R0')"
"('Q86VP6', 'P43243')"
"('Q9UPV0', 'Q03701')"
"('P34947', 'P10589')"
"('Q14451', 'O14576')"
"('P41743', 'P04049')"
"('P38159', 'Q07666')"
"('P62277', 'P62280')"
"('P0DJD3', 'Q8WTP8')"
"('Q15717', 'P01135')"
"('O75398', 'P01116')"
"('P40123', 'A8MXD5')"
"('P14136', 'O00255')"
"('Q9Y6M1', 'Q7Z7A1')"
"('O95007', 'P38405')"
"('Q12933', 'Q15819')"
"('P60369', 'Q9UHJ9')"
"('Q6R327', 'Q9BTZ2')"
"('P46939', 'P54274')"
"('Q13435', 'Q13242')"
"('Q969Q1', 'P45378')"
"('P49736', 'P63261')"
"('Q8TEK3', 'P55197')"
"('Q96EY5', 'A5D8V6')"
"('P61077', 'P40337')"
"('P31150', 'Q5TGZ0')"
"('Q13011', 'Q96RQ3')"
"('Q13127', 'Q13257')"
"('P49407', 'P25025')"
"('Q8N960', 'O94927')"
"('Q8IYE0', 'P23508')"
"('P60410', 'Q9H1D0')"
"('Q6N069', 'P57078')"
"('Q05639', 'Q93034')"
"('Q92793', 'O43918')"
"('Q4G0J3', 'P54274')"
"('P26641', 'P30519')"
"('Q96RQ3', 'Q9Y6E7')"
"('P61513', 'Q02543')"
"('Q9Y5Q8', 'Q9UBN7')"
"('Q14680', 'Q03405')"
"('A6NKD9', 'O75901')"
"('Q9BV73', 'P43243')"
"('Q9UEW8', 'P10275')"
"('Q9H9G7', 'Q9UKV8')"
"('O95714', 'P62191')"
"('O75376', 'Q9UEW8')"
"('Q96JC9', 'Q9Y230')"
"('Q9UNN5', 'Q9BW71')"
"('P62241', 'P09874')"
"('P04350', 'P19838')"
"('Q12857', 'P05177')"
"('Q9H078', 'Q96I51')"
"('P37173', 'P08047')"
"('Q14161', 'Q9UID3')"
"('Q69YN4', 'Q99598')"
"('Q9Y605', 'P28749')"
"('Q15544', 'Q16695')"
"('Q562R1', 'P15927')"
"('Q6UB98', 'P29692')"
"('Q9Y4B6', 'Q96GG9')"
"('P63279', 'Q96S59')"
"('P03372', 'Q969Q0')"
"('Q9UPS6', 'Q16778')"
"('Q9H490', 'Q92643')"
"('Q9BWT1', 'Q04917')"
"('O15379', 'P24468')"
"('Q2M2I8', 'P04629')"
"('Q9BZ23', 'Q9Y3M2')"
"('A2VCK2', 'Q6A162')"
"('Q15323', 'O75604')"
"('Q8NF64', 'Q8N9N5')"
"('Q96T51', 'Q9NZM3')"
"('Q9UIG0', 'P51858')"
"('Q14980', 'P52948')"
"('P53041', 'Q9HCE1')"
"('Q9Y676', 'Q9Y399')"
"('P68036', 'Q76N89')"
"('Q86VQ0', 'Q8N960')"
"('P53675', 'Q9H0R8')"
"('P07900', 'P41279')"
"('P42575', 'Q15717')"
"('Q7LBR1', 'P53597')"
"('Q13242', 'P62995')"
"('Q9NV79', 'Q01860')"
"('O75674', 'P23497')"
"('P49450', 'Q9HBH1')"
"('Q9BYQ4', 'Q2WGJ6')"
"('P01009', 'Q13485')"
"('O95452', 'P26715')"
"('Q9NPJ6', 'Q70IA6')"
"('P57054', 'P37287')"
"('Q14980', 'Q9NWA0')"
"('Q9H2G9', 'Q9Y2J4')"
"('O75165', 'O43747')"
"('Q08170', 'P60520')"
"('Q14149', 'P52292')"
"('P62249', 'Q12905')"
"('P05412', 'P11182')"
"('Q9UQ13', 'Q16821')"
"('Q8IWZ5', 'Q5VWN6')"
"('Q96N21', 'Q92764')"
"('P49715', 'Q16513')"
"('O75439', 'Q96D53')"
"('Q5RKV6', 'Q9NQT5')"
"('P12830', 'P41091')"
"('Q13503', 'Q8N720')"
"('P30443', 'Q9Y385')"
"('O14965', 'P53671')"
"('Q13616', 'Q86V81')"
"('P30044', 'O75439')"
"('Q08174', 'Q9BQB6')"
"('P01732', 'P13987')"
"('Q9P2D1', 'Q15047')"
"('Q96KM6', 'Q09028')"
"('Q8N7C3', 'P50221')"
"('P46100', 'P84243')"
"('Q9H4M9', 'Q8NDF8')"
"('Q9P2X7', 'Q16537')"
"('Q9HCE1', 'Q14807')"
"('Q13509', 'P18206')"
"('P35658', 'Q14974')"
"('A6NI28', 'Q96H55')"
"('Q9Y230', 'Q9Y2X3')"
"('O76075', 'Q9UGN5')"
"('Q13542', 'Q15717')"
"('P07814', 'P07900')"
"('Q2MV58', 'Q14257')"
"('Q12965', 'Q13616')"
"('P02042', 'Q86YW0')"
"('Q9UPY8', 'Q12815')"
"('Q9Y574', 'Q9UBF6')"
"('O95816', 'Q9UQL6')"
"('P85037', 'Q14160')"
"('P15336', 'Q92993')"
"('O75083', 'P05161')"
"('P27918', 'Q5T7P2')"
"('P29372', 'O43290')"
"('Q07065', 'Q9H6L4')"
"('Q15070', 'Q92887')"
"('Q15287', 'Q14103')"
"('P78347', 'P24928')"
"('A6NMS3', 'Q9P2W3')"
"('O43920', 'O43678')"
"('P52272', 'Q01844')"
"('Q14966', 'P15927')"
"('Q15008', 'Q99436')"
"('P07339', 'P55957')"
"('P62917', 'Q99757')"
"('Q969V4', 'P55795')"
"('Q92994', 'P20226')"
"('P22694', 'Q8IXE1')"
"('P23246', 'P04406')"
"('P10827', 'Q96S59')"
"('Q9BY77', 'Q15554')"
"('P03372', 'Q09472')"
"('O95863', 'O43542')"
"('Q99853', 'Q86UP3')"
"('Q6UXA7', 'P21579')"
"('P28300', 'P01236')"
"('P50552', 'Q92636')"
"('O00308', 'Q14152')"
"('P32969', 'O95793')"
"('P61981', 'Q9NZQ3')"
"('Q5TBA9', 'P61981')"
"('O43251', 'Q9P2R6')"
"('P55055', 'O43597')"
"('Q9NVP1', 'P05412')"
"('P04629', 'Q14444')"
"('Q6IQ23', 'Q9H6S3')"
"('Q9H9A7', 'Q13472')"
"('P36915', 'Q9NVP1')"
"('P35579', 'P11171')"
