negatives
"('Q1KMD3', 'Q14240')"
"('P26599', 'Q13242')"
"('O00459', 'Q13393')"
"('Q6Y7W6', 'Q14240')"
"('Q9NS68', 'O00463')"
"('P28070', 'O15162')"
"('P55196', 'P57087')"
"('Q15078', 'P16333')"
"('Q06787', 'Q9UL18')"
"('P35626', 'Q8NGJ2')"
"('Q13191', 'P21860')"
"('Q13619', 'Q9Y5J5')"
"('O95433', 'Q14315')"
"('Q13573', 'P12956')"
"('P68036', 'P38398')"
"('P84022', 'P04637')"
"('Q9NRD5', 'P02545')"
"('O75365', 'Q5VYK3')"
"('P20333', 'Q9UM54')"
"('P49137', 'P18848')"
"('Q05655', 'Q5SW24')"
"('O15111', 'P42345')"
"('Q9UKA4', 'Q9NRG4')"
"('P26368', 'Q14103')"
"('P18146', 'Q9NZI7')"
"('O00590', 'P80098')"
"('Q12981', 'Q9NZ43')"
"('P27694', 'Q13228')"
"('P05556', 'P17931')"
"('P14784', 'O00329')"
"('P21675', 'Q5VTD9')"
"('P10415', 'Q13323')"
"('P26373', 'P62945')"
"('P36542', 'O43676')"
"('P49639', 'Q15654')"
"('P08172', 'P29992')"
"('P16871', 'P00488')"
"('Q96NN9', 'P04156')"
"('O75165', 'Q13573')"
"('Q13363', 'P61968')"
"('P07900', 'P56192')"
"('O00221', 'P07437')"
"('Q14653', 'P20591')"
"('Q9Y5X3', 'O75569')"
"('Q96AP0', 'Q15554')"
"('P24385', 'P06400')"
"('P40337', 'P61081')"
"('P18887', 'Q9UNA4')"
"('O43541', 'Q13485')"
"('O43683', 'O95433')"
"('P21796', 'P05141')"
"('P49716', 'Q16520')"
"('Q71SY5', 'P04150')"
"('Q7L2H7', 'P55884')"
"('O95983', 'Q9UPN9')"
"('Q08211', 'P30480')"
"('Q13200', 'P61289')"
"('O00571', 'O43502')"
"('P42858', 'P16220')"
"('Q86Y39', 'P56556')"
"('P52272', 'Q01844')"
"('P68104', 'O95257')"
"('Q09472', 'Q96PK6')"
"('P18206', 'O60260')"
"('P32969', 'P49366')"
"('O96014', 'Q9ULW2')"
"('P01889', 'P04222')"
"('P29460', 'P31785')"
"('Q08462', 'P22612')"
"('Q8WXD5', 'Q9Y3F4')"
"('P02452', 'P07585')"
"('P33176', 'P48058')"
"('Q9NX55', 'Q12873')"
"('Q96PU8', 'Q96I24')"
"('P52803', 'P35916')"
"('P30305', 'P78386')"
"('P04629', 'Q9Y6I3')"
"('Q99459', 'Q9NPJ6')"
"('O95813', 'P09544')"
"('Q8IY57', 'Q9UPN9')"
"('Q8N766', 'Q9H3R5')"
"('O43318', 'Q04206')"
"('Q13332', 'P26641')"
"('Q14005', 'P06493')"
"('P53420', 'P53708')"
"('P08708', 'P62851')"
"('Q16576', 'Q13573')"
"('Q16537', 'Q02641')"
"('Q96CA5', 'P35222')"
"('Q96HD1', 'Q15047')"
"('P17844', 'P22681')"
"('P22607', 'P48736')"
"('P49716', 'P37173')"
"('O75167', 'Q15788')"
"('Q9NRX3', 'P22459')"
"('P27986', 'Q9H1R2')"
"('P84090', 'O60739')"
"('Q9NP97', 'P01889')"
"('Q8IY92', 'P26640')"
"('P62837', 'Q96DX4')"
"('Q9HAW0', 'Q96QR1')"
"('P23258', 'Q99996')"
"('Q00403', 'Q04206')"
"('Q71H61', 'P31947')"
"('Q13905', 'P29353')"
"('P31942', 'Q9P1W9')"
"('Q9UM11', 'Q99741')"
"('Q96BR9', 'Q8WV44')"
"('Q8IWW6', 'P63000')"
"('Q15582', 'P11215')"
"('Q01094', 'Q9NZJ0')"
"('Q03112', 'P45984')"
"('P61254', 'P05388')"
"('Q9Y5B9', 'Q08945')"
"('P47712', 'Q92993')"
"('Q13315', 'Q8IWS0')"
"('P40763', 'P02679')"
"('P17693', 'P26715')"
"('O94972', 'P62256')"
"('Q5VVX9', 'Q96LD4')"
"('Q8IY18', 'Q16637')"
"('O75335', 'Q9UPW5')"
"('P32298', 'P25025')"
"('Q9P2Y5', 'Q9C0C7')"
"('Q8N3C0', 'P55854')"
"('Q86X27', 'P63104')"
"('P33897', 'P40855')"
"('P01588', 'Q9UIK4')"
"('P32881', 'P26951')"
"('P04350', 'O95166')"
"('P55198', 'P53567')"
"('P13647', 'P25054')"
"('P04183', 'Q8IY18')"
"('P35225', 'P16871')"
"('Q13310', 'P78543')"
"('Q9UHD2', 'P49585')"
"('Q8IYI8', 'Q9Y4K4')"
"('O14920', 'Q70UQ0')"
"('P52565', 'P29466')"
"('Q9UET6', 'P00505')"
"('O00217', 'Q16795')"
"('Q13315', 'Q9HCJ3')"
"('Q9H553', 'P20073')"
"('P25686', 'P62979')"
"('P50747', 'O00763')"
"('Q9Y5B9', 'Q99880')"
"('P35637', 'P09651')"
"('Q5T4F7', 'O60353')"
"('P31749', 'Q6ZSY5')"
"('Q15287', 'Q13151')"
"('Q9HB21', 'Q9P0V3')"
"('P24864', 'P06400')"
"('O60231', 'Q96DF8')"
"('P51617', 'Q9Y6K9')"
"('Q96RL7', 'P55157')"
"('P62263', 'P62847')"
"('O00505', 'P21980')"
"('P05362', 'P31785')"
"('P55010', 'P47813')"
"('P23396', 'P62979')"
"('Q9Y2A4', 'P41182')"
"('Q13485', 'Q08881')"
"('P16471', 'O60674')"
"('Q07817', 'Q96N67')"
"('Q15375', 'P00519')"
"('O14543', 'P06213')"
"('Q14164', 'P60510')"
"('P01106', 'Q96C92')"
"('O14513', 'P62993')"
"('P21860', 'Q99962')"
"('P51812', 'P23508')"
"('Q13490', 'P01375')"
"('P01375', 'O43541')"
"('P05771', 'Q9GZT9')"
"('O14654', 'Q13882')"
"('P26373', 'Q92901')"
"('Q92997', 'O95996')"
"('O15360', 'P19174')"
"('Q9H9E3', 'Q13190')"
"('Q15008', 'P25786')"
"('Q8TAK5', 'Q9NWT6')"
"('P15822', 'P62820')"
"('P60709', 'P60660')"
"('P05067', 'P02766')"
"('Q7Z4K8', 'Q9H832')"
"('P10073', 'Q99684')"
"('O60244', 'P00519')"
"('Q13315', 'Q9NRN7')"
"('P32238', 'P50148')"
"('P38484', 'P19838')"
"('P18847', 'Q9BZD4')"
"('Q13114', 'Q00653')"
"('P09104', 'O00762')"
"('P62993', 'Q7Z6E9')"
"('Q9BT17', 'Q9NRL3')"
"('P22681', 'P62837')"
"('O95859', 'Q9ULV1')"
"('P18124', 'P62424')"
"('Q86U70', 'P81877')"
"('Q9NUL3', 'P19525')"
"('Q14157', 'Q969T4')"
"('P60568', 'P78552')"
"('O95400', 'Q96DG6')"
"('P31153', 'Q9Y478')"
"('Q14644', 'P62070')"
"('P62993', 'Q7L591')"
"('P03952', 'P54619')"
"('Q9HC24', 'O15260')"
"('O15131', 'Q9Y5K6')"
"('Q00535', 'Q8NEB9')"
"('Q7L590', 'P33991')"
"('Q9P2H0', 'O75665')"
"('Q16363', 'P16144')"
"('Q9Y478', 'Q05469')"
"('P52907', 'Q9UFF9')"
"('P35579', 'Q9BZW7')"
"('Q96A08', 'P04908')"
"('Q13535', 'Q08379')"
"('Q9HC10', 'Q92930')"
"('O76003', 'Q14164')"
"('P68104', 'Q96RG2')"
"('P10767', 'P09619')"
"('Q13315', 'P17096')"
"('Q9HC62', 'Q92997')"
"('Q9Y5W3', 'Q9H0M0')"
"('P08069', 'Q99963')"
"('407021', 'Q8NFU7')"
"('Q9NQU5', 'P46734')"
"('Q15418', 'Q05195')"
"('O75886', 'P52333')"
"('P22694', 'Q09472')"
"('O00238', 'O15198')"
"('Q9UQC2', 'O00329')"
"('P07355', 'O75608')"
"('P63104', 'Q96T60')"
"('Q16665', 'P08238')"
"('P49450', 'Q09028')"
"('P46108', 'P84022')"
"('Q9UJM3', 'O00459')"
"('P84085', 'Q99755')"
"('Q9Y4G6', 'P26010')"
"('Q5VTR2', 'O43242')"
"('P62263', 'Q9UKE5')"
"('P13611', 'P02778')"
"('Q04837', 'P04637')"
"('O43524', 'P35222')"
"('P43686', 'O75832')"
"('Q00613', 'P45983')"
"('P46783', 'P62841')"
"('P0CG48', 'P10914')"
"('P49286', 'P27824')"
"('P30050', 'P61513')"
"('P51587', 'Q8IZU3')"
"('Q96BK5', 'Q8NE71')"
"('P29372', 'P54727')"
"('Q9Y478', 'Q9Y2R2')"
"('Q9NR46', 'P21860')"
"('O75822', 'P05198')"
"('P16333', 'P78357')"
"('Q9ULV8', 'P10912')"
"('P00519', 'Q70E73')"
"('Q96KM6', 'Q9BXP8')"
"('O60832', '7012')"
"('P32121', 'Q96RD1')"
"('Q9H993', 'P62330')"
"('P62195', 'P11473')"
"('O15211', 'P11234')"
"('Q9HCE7', 'Q9Y3E1')"
"('Q13237', 'O14974')"
"('Q13509', 'P18858')"
"('Q5T3J3', 'Q96D09')"
"('Q9NX14', 'Q16795')"
"('Q6UN15', 'Q9P2I0')"
"('O75832', 'O00231')"
"('Q99570', 'O95295')"
"('Q16787', 'P25054')"
"('O43809', 'P05386')"
"('P78368', 'P10070')"
"('P68400', 'P11388')"
"('O95813', 'Q9UBV4')"
"('P0CG48', 'Q13137')"
"('P36873', 'Q6UXN9')"
"('Q9Y6N6', 'P26010')"
"('P56748', 'P57739')"
"('P26367', 'P50458')"
"('P10914', 'P12004')"
"('P27348', 'Q96F86')"
"('P25398', 'P60709')"
"('P25101', 'P14138')"
"('P01106', 'Q7Z4Q2')"
"('Q01094', 'P42771')"
"('P62993', 'Q9UBC5')"
"('P47756', 'P01241')"
"('P11171', 'Q15836')"
"('Q16576', 'P62993')"
"('P62750', 'P49207')"
"('Q15717', 'P15692')"
"('P84103', 'Q8IYB3')"
"('O95452', 'P29033')"
"('P20226', 'P28347')"
"('Q15102', 'P68104')"
"('Q99759', 'Q9ULX6')"
"('Q8IY92', 'Q92665')"
"('Q6P2Q9', 'Q15428')"
"('P46459', 'O00591')"
"('Q96EE3', 'Q9UKX7')"
"('P50150', 'P51828')"
"('Q9UBN6', 'P43487')"
"('P62993', 'Q9Y2W1')"
"('Q15287', 'Q13242')"
"('Q9NRG0', 'O60264')"
"('P68371', 'Q9BQE3')"
"('Q9Y2Q3', 'P21796')"
"('P06865', 'P46108')"
"('Q9HCE7', 'Q92870')"
"('P07437', 'Q96KQ4')"
"('Q99459', 'P53992')"
"('Q9Y6B6', 'Q9NQW1')"
"('P41159', 'Q13651')"
"('P82932', 'Q9P2H0')"
"('Q9Y5X3', 'Q14696')"
"('Q9H0E2', 'Q15047')"
"('Q92914', 'P35916')"
"('P25788', 'Q9P2G9')"
"('Q9NP31', 'P84022')"
"('P27544', 'Q16659')"
"('P03901', 'O95298')"
"('O15264', 'P49137')"
"('O95433', 'Q9Y5J5')"
"('P0CG48', 'P61981')"
"('O14763', 'P41182')"
"('P01857', 'Q8IZC4')"
"('Q9NX70', 'Q9BQ50')"
"('Q99459', 'P78371')"
"('Q9P2S5', 'Q9UBB4')"
"('Q9Y6K9', 'P02511')"
"('Q07889', 'Q13480')"
"('P80192', 'P52564')"
"('Q92833', 'P52952')"
"('Q5VSY0', 'Q9UMX0')"
"('P01574', 'Q99650')"
"('P11021', 'P30040')"
"('Q96BK5', 'P20674')"
"('P11940', 'P62993')"
"('P51003', 'Q15796')"
"('P61086', 'P04637')"
"('Q9UET6', 'P62280')"
"('Q7L0Q8', 'P19174')"
"('O43677', 'O95169')"
"('P69905', 'P00739')"
"('P19438', 'Q9Y4W6')"
"('Q9NYG5', 'Q92905')"
"('P22004', 'P36894')"
"('P62993', 'P63104')"
"('Q12929', 'Q8IZP0')"
"('Q15366', 'P27986')"
"('P30291', 'P61981')"
"('P16871', 'P05976')"
"('O14508', 'Q8N6P7')"
"('P46379', 'Q53G59')"
"('P62829', 'Q9HCK5')"
"('Q02363', 'Q13432')"
"('P63000', 'Q6UXH1')"
"('P32121', 'Q8NGL3')"
"('P09769', 'P43405')"
"('P54257', 'O60925')"
"('Q9UQL6', 'Q16513')"
"('Q71SY5', 'Q15648')"
"('Q8IUH5', 'Q12772')"
"('P0C0L4', 'P01031')"
"('P32121', 'Q8NH40')"
"('Q01201', 'Q04206')"
"('P24941', 'Q05516')"
"('Q14164', 'Q9Y5Q3')"
"('Q99661', 'P67870')"
"('Q92536', 'P08195')"
"('Q15642', 'P60953')"
"('P62877', 'O43318')"
"('O60383', 'P21673')"
"('P43487', 'Q9UET6')"
"('O60508', 'Q86U42')"
"('Q9Y6M9', 'O95178')"
"('P43405', 'Q8IYS5')"
"('O14641', 'Q9UNA4')"
"('P68366', 'Q9Y5V3')"
"('Q15596', 'P48443')"
"('Q13326', 'O43556')"
"('P20333', 'P35580')"
"('Q6ZSY5', 'P46019')"
"('Q06413', 'Q92905')"
"('Q15027', 'P31749')"
"('Q9BZR9', 'Q13404')"
"('P63104', 'P13612')"
"('O15162', 'Q01844')"
"('Q13424', 'P68402')"
"('O00203', 'O43683')"
"('P62330', 'P01889')"
"('P42768', 'P23467')"
"('P61026', 'Q9UHY7')"
"('P61586', 'Q03135')"
"('P25398', 'P60866')"
"('Q8WXH5', 'P42701')"
"('Q96FV9', 'Q86W42')"
"('Q9UQN3', 'P40818')"
"('Q13233', 'P0CG48')"
"('Q9UJ41', 'Q9BQD3')"
"('Q02878', 'P62891')"
"('P12757', 'Q4LDE5')"
"('P53350', 'P21675')"
"('O14964', 'Q9UMX0')"
"('P01871', 'Q13009')"
"('Q9Y239', 'Q13098')"
"('Q9UKV8', 'Q92616')"
"('Q9H814', 'P62826')"
"('Q96ED9', 'Q8N5R6')"
"('Q02556', 'Q14330')"
"('Q12933', 'O14879')"
"('Q16566', 'P51828')"
"('P20674', 'Q7L5N1')"
"('P62993', 'P43004')"
"('P20908', 'P18084')"
"('Q14242', 'O60507')"
"('P14784', 'Q9NSE2')"
"('O95257', 'Q12824')"
"('Q13315', 'Q15390')"
"('Q9UKR5', 'P17028')"
"('P40337', 'P04179')"
"('Q9UQP3', 'P26006')"
"('P30153', 'O60840')"
"('P54259', 'Q9Y4B4')"
"('P40189', 'P40763')"
"('P19438', 'P55957')"
"('P16520', 'P25116')"
"('P04637', 'Q9Y478')"
"('P23396', 'P61247')"
"('P13667', 'P16104')"
"('P02452', 'P21810')"
"('Q14166', 'P30480')"
"('Q15052', 'Q15796')"
"('Q9BTT4', 'P52434')"
"('Q9ULK6', 'Q9Y2X8')"
"('P55210', 'P55212')"
"('Q16514', 'Q9HBM6')"
"('O60739', 'P62857')"
"('P01135', 'P21802')"
"('O43918', 'P16333')"
"('Q92796', 'P54257')"
"('Q9Y2W2', 'Q15365')"
"('Q01201', 'Q8TAQ2')"
"('P61421', 'Q9NRF9')"
"('P11047', 'P56199')"
"('P35626', 'Q9Y5P1')"
"('P62993', 'P62070')"
"('Q969D9', 'P48551')"
"('P55212', 'P80303')"
"('P16333', 'Q15027')"
"('P01579', 'Q13651')"
"('P56748', 'O75970')"
"('Q7Z569', 'Q6VAB6')"
"('Q9NYJ8', 'Q9UQL6')"
"('P11802', 'Q9BY76')"
"('Q75QN2', 'Q9H832')"
"('Q9Y4K4', 'P62993')"
"('Q9NV70', 'Q9HCM1')"
"('O43542', 'O15287')"
"('P30050', 'Q13573')"
"('Q9Y4G6', 'P26006')"
"('O60884', 'Q9HCK5')"
"('Q08209', 'P46939')"
"('P57078', 'O00463')"
"('Q16543', 'O94817')"
"('O43896', 'P62258')"
"('406909', 'Q9BYH8')"
"('P05771', 'Q9UBI6')"
"('P43360', 'Q96KB5')"
"('O95398', 'P62834')"
"('P18146', 'O95741')"
"('Q86U86', 'Q6STE5')"
"('P16104', 'Q9UQ84')"
"('P26368', 'P01243')"
"('Q9Y6K9', 'P05141')"
"('P07333', 'Q92569')"
"('P50542', 'O95989')"
"('P01569', 'P17181')"
"('Q92985', 'P01570')"
"('Q14498', 'A0JLT2')"
"('Q14161', 'Q9Y4F1')"
"('Q99704', 'P08631')"
"('P18077', 'P62829')"
"('P04085', 'P14616')"
"('O75398', 'P38936')"
"('Q8NF91', 'Q96EV8')"
"('Q16342', 'O75376')"
"('P46108', 'O75167')"
"('Q5D0E6', 'P04183')"
"('Q93008', 'Q13485')"
"('Q08211', 'Q9UBU9')"
"('P42263', 'O60282')"
"('P06730', 'Q9UBU9')"
"('P62081', 'P22090')"
"('O00238', 'Q9NW38')"
"('Q00653', 'Q9BQG0')"
"('P10767', 'P22607')"
"('P08107', 'P11142')"
"('P17252', 'P09471')"
"('Q9P0W0', 'Q13651')"
"('Q8TAP4', 'Q8HWS3')"
"('P10144', 'P13010')"
"('Q06323', 'P17980')"
"('P03891', 'Q16795')"
"('O95619', 'P62805')"
"('P60709', 'P62826')"
"('Q9NSV4', 'O15198')"
"('Q9Y4K3', 'Q16836')"
"('Q9Y4G2', 'Q9Y3A3')"
"('P23508', 'Q96AG4')"
"('Q3V6T2', 'Q13177')"
"('Q92734', 'P29350')"
"('P04350', 'Q9P1Y5')"
"('P62993', 'P51816')"
"('Q8WXA9', 'P67809')"
"('P68431', 'P35659')"
"('P17535', 'P53539')"
"('O14686', 'P68431')"
"('Q9NPI1', 'Q16695')"
"('P08238', 'Q9Y572')"
"('P61289', 'P51116')"
"('Q9Y4K3', 'P26639')"
"('P49641', 'Q9Y383')"
"('P45983', 'O75369')"
"('P50613', 'P24864')"
"('P11142', 'P25963')"
"('P14866', 'Q00005')"
"('Q99759', 'O60925')"
"('Q9HCE7', 'Q8TB52')"
"('Q9H254', 'Q9NYQ7')"
"('O75044', 'Q9NRI5')"
"('P13639', 'Q09472')"
"('P48061', 'O00574')"
"('P17980', 'P48556')"
"('Q9UI14', 'P20340')"
"('Q9H0R8', 'Q02156')"
"('O95967', 'Q9BUY5')"
"('Q14197', 'P13804')"
"('P56539', 'Q969G5')"
"('O95400', 'P06729')"
"('406942', 'P10242')"
"('P34903', 'O60296')"
"('Q96NB3', 'Q70Z53')"
"('Q9NYS0', 'P36897')"
"('P33993', 'Q96BK5')"
"('P08670', 'O60437')"
"('Q15388', 'P46379')"
"('P63027', 'Q13277')"
"('P23677', 'Q8TD86')"
"('P18031', 'Q05397')"
"('P08069', 'P63104')"
"('P35637', 'Q8IX12')"
"('P05412', 'Q99966')"
"('P62917', 'P46778')"
"('Q92945', '406886')"
"('Q14CB8', 'Q9NP66')"
"('P63104', 'Q9H4B7')"
"('P02461', 'P05556')"
"('Q00005', 'P62266')"
"('P54646', 'Q05469')"
"('Q9H444', 'O95630')"
"('P56556', 'P03905')"
"('Q13233', 'P62266')"
"('Q00613', 'P25445')"
"('Q16637', 'P29400')"
"('P25791', 'P56715')"
"('Q9UHI6', 'Q9H173')"
"('P05112', 'P52333')"
"('Q13315', 'Q8IY51')"
"('P63165', 'Q8N1G0')"
"('Q9Y297', 'P25054')"
"('P05412', 'P18848')"
"('P42568', 'P51681')"
"('P02462', 'O00339')"
"('Q9Y5Q3', 'Q14653')"
"('Q8NHQ1', 'Q14134')"
"('Q99963', 'P13805')"
"('Q9UK32', 'P05386')"
"('P05013', 'P15509')"
"('Q14790', 'Q86TL0')"
"('Q93077', 'O60814')"
"('Q8WYR1', 'P10827')"
"('Q03135', 'P51617')"
"('Q6P1K2', 'Q9Y3C7')"
"('P23508', 'Q14232')"
"('O15169', 'Q92837')"
"('P22492', 'P63104')"
"('Q12796', 'P18146')"
"('Q08211', 'Q13233')"
"('P16520', 'Q00975')"
"('O00217', 'O43677')"
"('P25788', 'P02511')"
"('P23508', 'P62263')"
"('Q99877', 'Q9BTM1')"
"('Q01844', 'Q16558')"
"('Q13315', 'Q8NDX5')"
"('O15524', 'Q9UHF4')"
"('O00237', 'Q96B02')"
"('P09211', 'P16871')"
"('P12830', 'Q01484')"
"('Q13261', 'P31785')"
"('P56537', 'Q9UH03')"
"('P05198', 'O75821')"
"('P30480', 'O60232')"
"('Q9Y5Z4', 'Q9H553')"
"('O76096', 'P98187')"
"('Q9GZK4', 'P38405')"
"('Q9NSB8', 'O00329')"
"('Q99616', 'P46092')"
"('P46060', 'P0DJD0')"
"('P62993', 'Q9NRW1')"
"('P22557', 'Q9P2R7')"
"('Q9HBI0', 'P06756')"
"('P14598', 'P47712')"
"('P41250', 'Q9HCU4')"
"('P61218', 'O15514')"
"('Q9BVJ7', 'Q8WVZ9')"
"('P61077', 'Q9UHC7')"
"('Q15750', 'Q9Y2S7')"
"('P62310', 'P51681')"
"('P04629', 'Q05209')"
"('P17612', 'P08754')"
"('P26010', 'P08514')"
"('P13686', 'P45984')"
"('Q9UBN4', 'P20591')"
"('P08670', 'P84022')"
"('Q14344', 'P05771')"
"('Q9BXS5', 'Q59EK9')"
"('P62837', 'Q96A37')"
"('P18146', 'Q15072')"
"('Q92870', 'Q9HBG4')"
"('P30411', 'Q9UBI6')"
"('P08631', 'P42768')"
"('Q13315', 'Q6UX07')"
"('O94761', 'Q06609')"
"('Q13232', 'Q9Y5J5')"
"('Q9NYV6', 'Q15572')"
"('P10914', 'P51532')"
"('P07355', 'P07858')"
"('P58546', 'P11171')"
"('Q9H2G2', 'P53350')"
"('Q9UBN7', 'Q05516')"
"('Q13547', 'Q9Y230')"
"('Q03135', 'P01834')"
"('Q9Y6X8', 'P08238')"
"('P15311', 'Q9Y696')"
"('Q13547', 'P53539')"
"('P04632', 'P31785')"
"('P49591', 'P30504')"
"('Q15583', 'O75593')"
"('O75694', 'Q96EE3')"
"('P78371', 'Q00005')"
"('Q9UPP1', 'P28749')"
"('O43615', 'P10398')"
"('P62837', 'Q9Y4L5')"
"('P11940', 'P16104')"
"('P13489', 'Q8IY92')"
"('Q08117', 'P08246')"
"('Q13315', 'Q14004')"
"('Q13315', 'Q969G3')"
"('P15516', 'P18146')"
"('P20823', 'P00338')"
"('P08253', 'P17931')"
"('P0CG48', 'Q9Y3D6')"
"('Q9NQU5', 'P53667')"
"('Q13568', 'O14896')"
"('Q96D21', 'Q13485')"
"('O43684', 'Q8N5F7')"
"('P01571', 'Q99650')"
"('Q8N3F8', 'P61981')"
"('Q9UKX5', 'P56199')"
"('O00144', 'Q15147')"
"('Q6ZMZ0', 'O14933')"
"('O75533', 'Q9UL18')"
"('P42701', 'P52333')"
"('O95249', 'Q13835')"
"('Q04637', 'O60573')"
"('O95544', 'Q6ZVK8')"
"('Q07890', 'P52198')"
"('P22234', 'P16035')"
"('Q96NG3', 'O95863')"
"('Q16611', 'O94915')"
"('Q96RG2', 'Q12809')"
"('P62829', 'P61254')"
"('P49913', 'Q9Y337')"
"('P36578', 'P46778')"
"('Q9Y4K3', 'Q9BYM8')"
"('P31314', 'P07199')"
"('Q16629', 'Q13151')"
"('P11021', 'P41279')"
"('P62191', 'Q99459')"
"('P38646', 'P27824')"
"('Q03164', 'Q9H7Z6')"
"('Q8IWW6', 'P52198')"
"('Q9Y620', 'Q92630')"
"('Q9NS23', 'Q9H7E9')"
"('Q96KK5', 'Q92769')"
"('Q13418', 'Q6NUN9')"
"('O43597', 'P04080')"
"('P45974', 'Q9UBN6')"
"('Q13233', 'P29353')"
"('P15170', 'Q9H361')"
"('Q9Y6K9', 'P01857')"
"('Q92731', 'Q9NVC6')"
"('P20749', 'P19793')"
"('P21453', 'Q03135')"
"('P22694', 'P14415')"
"('Q15628', 'P62158')"
"('Q92901', 'P62424')"
"('Q05516', 'Q13547')"
"('Q9NPH9', 'P24394')"
"('P35626', 'Q8NG76')"
"('P38936', 'P04150')"
"('Q8IUQ4', 'O00139')"
"('P05019', 'Q9Y5S1')"
"('P53355', 'P26006')"
"('Q9H270', 'Q7L1V2')"
"('Q9NX14', 'O43677')"
"('P58107', 'P00533')"
"('Q9GZT8', 'Q96MA1')"
"('P35080', 'Q9BQD7')"
"('P13693', 'P30480')"
"('Q96BQ3', 'P62837')"
"('P02768', 'Q08174')"
"('O60739', 'Q2NL82')"
"('Q9NZJ7', 'Q15796')"
"('P62879', 'P35626')"
"('O00233', 'P51665')"
"('Q06323', 'Q16637')"
"('P61513', 'P62829')"
"('O95251', 'P21673')"
"('O14933', 'Q9HCM9')"
"('P14373', 'Q9Y385')"
"('P11229', 'P38405')"
"('Q9UKB1', 'Q15653')"
"('P16083', 'P62745')"
"('Q9UI09', 'P56556')"
"('O15239', 'O95169')"
"('Q9UKE5', 'Q15008')"
"('Q6ZNA4', 'Q9Y2X8')"
"('P62424', 'P61513')"
"('Q13976', 'Q92934')"
"('P03886', 'P03891')"
"('Q13568', 'Q14653')"
"('Q13315', 'Q92574')"
"('Q9UMX1', 'Q9NWS9')"
"('P43146', 'P16333')"
"('Q5JY77', 'P08912')"
"('P36873', 'Q96A32')"
"('Q16629', 'Q08211')"
"('P56704', 'Q13467')"
"('Q08117', 'P54259')"
"('Q05639', 'P29692')"
"('P63211', 'P53779')"
"('P31943', 'P51991')"
"('P63096', 'P63211')"
"('Q05639', 'P62826')"
"('P11388', 'P35222')"
"('P63104', 'O00273')"
"('P52294', 'P48729')"
"('Q01201', 'P52294')"
"('O75508', 'Q16625')"
"('Q08211', 'Q99873')"
"('Q9NPG2', 'O75955')"
"('Q9Y6H6', 'Q14181')"
"('O95886', 'P27986')"
"('P62877', 'P63208')"
"('Q99558', 'P07437')"
"('Q9Y692', 'P63279')"
"('Q92841', 'Q01844')"
"('P32121', 'Q8NGP4')"
"('P67870', 'P11387')"
"('406971', 'P30291')"
"('P61927', 'P63173')"
"('P29350', 'P78314')"
"('P43628', 'Q31612')"
"('P05386', 'P62829')"
"('P61978', 'Q9UKM9')"
"('P49792', 'P46937')"
"('Q92530', 'Q9BV68')"
"('Q92793', 'Q9UBG7')"
"('406933', 'P37275')"
"('P54136', 'P19438')"
"('P20073', 'Q04724')"
"('P0C0S8', 'Q9UQL6')"
"('P55884', 'P62753')"
"('P04632', 'P16871')"
"('P09619', 'P98077')"
"('P26927', 'P06899')"
"('P21506', 'Q9GZM8')"
"('O60381', 'Q9Y5K6')"
"('P67809', 'Q9BUJ2')"
"('O15530', 'Q15796')"
"('P51965', 'Q9P0P0')"
"('P29350', 'P78324')"
"('P05231', 'P42702')"
"('P12931', 'P09327')"
"('O00303', 'P55010')"
"('P01106', 'P43246')"
"('P61160', 'O60739')"
"('Q9P212', 'Q9ULU4')"
"('Q13485', 'P17676')"
"('P52948', 'P49792')"
"('Q14197', 'Q8NI60')"
"('P13805', 'Q12873')"
"('Q9NYJ8', 'Q14457')"
"('Q06830', 'P10275')"
"('Q9Y6H5', 'P37840')"
"('P12236', 'P30405')"
"('Q13023', 'O95433')"
"('P63279', 'P07910')"
"('Q5JWF2', 'P61952')"
"('P06400', 'O00716')"
"('Q9H0E3', 'Q9HBM6')"
"('Q9UK53', 'P04637')"
"('P61952', 'P48736')"
"('Q15645', 'Q99459')"
"('Q99460', 'Q9UL46')"
"('Q10586', 'P78347')"
"('Q9NP97', 'Q9Y5J5')"
"('O15162', 'Q8N9H8')"
"('Q14247', 'Q9ULH1')"
"('P18146', 'P55210')"
"('Q9H2G2', 'Q12947')"
"('Q9NZD8', 'Q53H80')"
"('P40197', 'Q8WYR1')"
"('O95832', 'O75970')"
"('Q8NGE7', 'P38405')"
"('Q09472', 'Q8TAD8')"
"('O14531', 'Q99963')"
"('Q13568', 'Q7Z434')"
"('P05000', 'P10912')"
"('O75943', 'P55769')"
"('574033', 'Q4LE39')"
"('P48023', 'Q5TCZ1')"
"('P01589', 'P15884')"
"('Q14185', 'P08134')"
"('P35968', 'P42224')"
"('Q6ZMI0', 'Q99962')"
"('P14635', 'P53350')"
"('P40337', 'Q14197')"
"('Q8N336', 'Q9NWX6')"
"('P09496', 'Q9Y6A5')"
"('Q9UPR3', 'P30153')"
"('O95816', 'Q00653')"
"('Q9UL18', 'P50914')"
"('Q9UET6', 'P16152')"
"('Q9BYG5', 'Q8ND90')"
"('P09651', 'P51991')"
"('Q15120', 'Q14197')"
"('P63165', 'P11831')"
"('Q86XR7', 'P21145')"
"('P61421', 'P20618')"
"('P62424', 'Q07020')"
