negatives
"('Q3B7T1', 'Q9H840')"
"('Q12873', 'P41220')"
"('P24864', 'P38432')"
"('Q14469', 'Q02363')"
"('P37198', 'O60941')"
"('O75175', 'A5YKK6')"
"('Q96FV9', 'Q9BQA1')"
"('P07437', 'Q00653')"
"('Q99732', 'P42226')"
"('Q16186', 'P62258')"
"('P01106', 'P61086')"
"('O75376', 'P50402')"
"('P49841', 'Q96HA7')"
"('Q92796', 'O76011')"
"('Q09472', 'Q99941')"
"('O14610', 'O95622')"
"('O15211', 'Q92993')"
"('Q9P2G9', 'P05387')"
"('Q9NQG5', 'Q9UGJ1')"
"('Q15428', 'O60828')"
"('O00422', 'Q969V3')"
"('P62136', 'Q07812')"
"('P08237', 'P23508')"
"('Q969Q1', 'P68133')"
"('Q92734', 'Q9Y6K9')"
"('Q00610', 'Q07912')"
"('O15131', 'Q14565')"
"('O00470', 'P31269')"
"('P10145', 'P14780')"
"('Q92851', 'P42574')"
"('P02751', 'Q9UKX5')"
"('Q14686', 'Q8NEZ4')"
"('P03372', 'Q15596')"
"('Q5JTH9', 'Q99558')"
"('Q9Y4K3', 'Q14257')"
"('P40429', 'P62829')"
"('P35749', 'P24844')"
"('Q13573', 'Q9UKN8')"
"('Q9HCT0', 'P22455')"
"('Q9H4B7', 'Q13573')"
"('P30486', 'P43628')"
"('Q9HCS7', 'P19388')"
"('Q13465', 'P45983')"
"('Q59H18', 'P68032')"
"('Q16254', 'Q99741')"
"('P30153', 'Q86XL3')"
"('Q92925', 'Q8TAQ2')"
"('O15264', 'P30101')"
"('Q14204', 'P60520')"
"('O15264', 'P30153')"
"('406971', 'P30291')"
"('P25942', 'O75449')"
"('P62263', 'Q15654')"
"('P10599', 'Q96BK5')"
"('P35626', 'P47888')"
"('P35626', 'Q9NZP5')"
"('P83916', 'P45973')"
"('O00329', 'Q9UN42')"
"('Q53EL9', 'Q8NE62')"
"('Q8NFH3', 'Q9BW27')"
"('Q16531', 'Q9UL18')"
"('Q15746', 'P10916')"
"('Q16666', 'Q02363')"
"('Q6P3X3', 'Q9HAW0')"
"('P30559', 'Q9UF02')"
"('O96013', 'P63104')"
"('P16298', 'Q92934')"
"('P30519', 'Q09028')"
"('P68431', 'Q9Y232')"
"('P40189', 'P48736')"
"('P51116', 'P35520')"
"('Q9UKV5', 'P51668')"
"('O14730', 'P40616')"
"('Q9GZV9', 'P07333')"
"('P38646', 'P20333')"
"('Q99877', 'Q9P287')"
"('P61964', 'Q7Z434')"
"('Q03014', 'Q02763')"
"('P02545', 'A0JLT2')"
"('Q9NRR5', 'P55198')"
"('P98170', 'Q13404')"
"('Q00653', 'P01570')"
"('Q9BST9', 'O60504')"
"('Q9UJ98', 'Q8NDV3')"
"('Q9UHD0', 'P16471')"
"('Q02078', 'Q15672')"
"('P22888', 'P63092')"
"('P42858', 'P61086')"
"('Q13950', 'O15198')"
"('Q9NYF0', 'Q9BPX7')"
"('Q04206', 'P23396')"
"('Q5UIP0', 'P21673')"
"('O95810', 'Q969G5')"
"('Q9Y4E8', 'Q9BT78')"
"('Q13813', 'P50402')"
"('P05556', 'P48736')"
"('P05787', 'P05783')"
"('P61513', 'P63173')"
"('Q86V81', 'Q9H4D5')"
"('Q92569', 'P16144')"
"('P13500', 'P51685')"
"('P01889', 'Q9NP81')"
"('Q9NPH9', 'P40189')"
"('P22392', 'P05455')"
"('P55196', 'Q15223')"
"('Q99459', 'A1YPR0')"
"('Q03013', 'P04637')"
"('P62910', 'P27635')"
"('A8K8P3', 'P08727')"
"('P14921', 'Q9UER7')"
"('Q06643', 'P36941')"
"('P49639', 'O75865')"
"('P30874', 'P63096')"
"('Q9P2S5', 'P11177')"
"('Q92831', 'P52732')"
"('O95503', 'Q8IXK0')"
"('Q96EY1', 'O15111')"
"('P55957', 'P42574')"
"('P27824', 'P05556')"
"('O15530', 'O00308')"
"('Q14204', 'O14656')"
"('P60953', 'P46940')"
"('O00232', 'Q15008')"
"('P50991', 'Q99836')"
"('Q9ULV3', 'Q9P0V3')"
"('P62258', 'Q92974')"
"('Q8N6C8', 'P31994')"
"('P08107', 'Q9NYJ8')"
"('P29972', 'Q8N5Z5')"
"('Q14168', 'Q99459')"
"('Q9NZN1', 'P13569')"
"('P51587', 'Q9NXR7')"
"('Q92985', 'Q9BVS5')"
"('P13686', 'P45984')"
"('P52564', 'Q16539')"
"('Q04724', 'P21673')"
"('Q99459', 'Q07666')"
"('P05106', 'Q9UQF2')"
"('Q96A33', 'Q9H1C4')"
"('Q15796', 'Q13642')"
"('Q5SRE5', 'P52948')"
"('Q6UY14', 'Q8NEC5')"
"('Q15274', 'Q9BQ66')"
"('P55055', 'P51668')"
"('O00231', 'Q05516')"
"('Q9UL18', 'Q12905')"
"('Q99816', 'P06733')"
"('O60879', 'P07737')"
"('Q9H0K1', 'Q00005')"
"('Q13535', 'P42696')"
"('Q13315', 'P26641')"
"('P62249', 'P22090')"
"('P05455', 'Q9Y4K3')"
"('Q7L7L0', 'P06899')"
"('Q15393', 'P08631')"
"('P68431', 'A8MW92')"
"('Q96PM5', 'Q5T7V8')"
"('Q92900', 'O95872')"
"('Q15843', 'Q02878')"
"('P41252', 'Q99759')"
"('P31749', 'Q86TI0')"
"('P48736', 'P14672')"
"('P10415', 'Q9HCN2')"
"('Q15173', 'P19429')"
"('Q92831', 'Q9Y4A5')"
"('Q9Y2H1', 'Q15323')"
"('O43353', 'Q494V2')"
"('P63279', 'Q9NVP2')"
"('A4D0S4', 'P16070')"
"('Q8NBQ5', 'O75365')"
"('Q92769', 'O43463')"
"('O95819', 'Q9BQ67')"
"('O75592', 'P61981')"
"('P63218', 'Q8WYR1')"
"('Q12873', 'P15090')"
"('P62873', 'Q8TCU6')"
"('O96018', 'P00533')"
"('Q9UNH5', 'Q9H1A4')"
"('Q15038', 'Q9NRV9')"
"('P50453', 'P08311')"
"('O76064', 'P62837')"
"('O00151', 'P35609')"
"('Q96QB1', 'P60763')"
"('P16104', 'Q8NBJ7')"
"('Q9NZW5', 'P49716')"
"('Q9BQ66', 'P50222')"
"('P34931', 'P53779')"
"('Q01201', 'Q96GM5')"
"('O15287', 'Q8NB91')"
"('P61927', 'P47914')"
"('Q96PM5', 'P62837')"
"('Q8TEL6', 'Q15628')"
"('Q13315', 'Q92841')"
"('P12830', 'P02545')"
"('P18084', 'P17252')"
"('Q8IY92', 'P26640')"
"('O75365', 'P49354')"
"('P53680', 'P05787')"
"('P15514', 'P33763')"
"('P53350', 'Q9Y5V3')"
"('P43686', 'Q92753')"
"('O60684', 'Q96EK6')"
"('O95848', 'P10398')"
"('P55060', 'Q16659')"
"('Q15319', 'P23560')"
"('Q9Y4Z0', 'Q96QK8')"
"('P08620', 'P17948')"
"('P62993', 'Q96NT1')"
"('P40763', 'P15172')"
"('Q9H4E5', 'Q9P286')"
"('P21675', 'P23527')"
"('O94985', 'Q15047')"
"('P35813', 'P46734')"
"('Q13541', 'P0CG13')"
"('Q2M389', 'Q15796')"
"('P0CG48', 'Q07820')"
"('P12883', 'P60709')"
"('Q8WVZ9', 'Q9H761')"
"('O75970', 'Q9NSI5')"
"('P31939', 'P27105')"
"('Q9HAU5', 'Q99623')"
"('Q9UH92', 'P60520')"
"('O95049', 'Q9P2M7')"
"('Q14657', 'Q14164')"
"('P62256', 'Q8NA82')"
"('P62745', 'Q6P3S6')"
"('O95484', 'A6NM45')"
"('P07900', 'O43765')"
"('P63010', 'Q16695')"
"('Q96PM5', 'P50213')"
"('P00558', 'Q8TDR0')"
"('P18146', 'Q99661')"
"('P10600', 'P45983')"
"('P55786', 'P56537')"
"('P28331', 'O75380')"
"('O75925', 'Q9UIS9')"
"('Q15025', 'O60832')"
"('P50591', 'Q13158')"
"('Q08345', 'P30408')"
"('P50914', 'P61927')"
"('O14964', 'Q92783')"
"('Q29RF7', 'Q9HAW0')"
"('Q12873', 'P42025')"
"('Q03014', 'P06730')"
"('Q9Y3I1', 'Q13490')"
"('P50281', 'P16070')"
"('P15172', 'P35398')"
"('P22392', 'Q15435')"
"('P20073', 'O15442')"
"('P51970', 'P03905')"
"('P04629', 'P29353')"
"('P62899', 'P18621')"
"('P98175', 'Q02575')"
"('P09529', 'P27037')"
"('P38919', 'P27348')"
"('Q6Y1H2', 'P51572')"
"('Q9NVI1', 'O75365')"
"('O43312', 'Q14247')"
"('P45984', 'Q14653')"
"('Q99832', 'P50570')"
"('P08069', 'O14654')"
"('Q9H2G2', 'Q9UBS5')"
"('Q14669', 'Q13573')"
"('Q15466', 'P10275')"
"('Q96A65', 'Q9UHD2')"
"('P30480', 'P51452')"
"('Q8TEW0', 'O15105')"
"('Q00839', 'Q9BUJ2')"
"('P32121', 'Q8NH02')"
"('O60573', 'Q04637')"
"('O15020', 'P25054')"
"('Q08211', 'Q9HA38')"
"('Q06547', 'Q8NHU6')"
"('P20073', 'Q9BRK5')"
"('Q16254', 'P14635')"
"('Q8N766', 'Q9HC24')"
"('Q13242', 'O60508')"
"('Q96EY7', 'P18848')"
"('Q16629', 'Q12986')"
"('P30504', 'Q99873')"
"('O75159', 'P52630')"
"('P17980', 'O43242')"
"('Q9H0E2', 'Q15011')"
"('Q92793', 'O15111')"
"('Q86YV0', 'P63104')"
"('Q9UGJ0', 'Q13085')"
"('P62993', 'O95886')"
"('O14933', 'P52565')"
"('Q9UBN7', 'P62807')"
"('P35555', 'O76061')"
"('P78369', 'Q8NI35')"
"('P14859', 'P23511')"
"('Q92530', 'Q96ED9')"
"('Q9HC98', 'Q32P44')"
"('Q15654', 'P28749')"
"('Q03519', 'P10914')"
"('Q14318', 'Q5T4F4')"
"('O75716', 'P26441')"
"('Q7L5N1', 'P20073')"
"('P67775', 'P06730')"
"('P51168', 'P46934')"
"('P05109', 'Q9BQ83')"
"('P62633', 'P39023')"
"('Q9HAP6', 'Q9UQB8')"
"('P13569', 'P04792')"
"('O43261', 'P34896')"
"('Q14155', 'O60880')"
"('P62993', 'P35749')"
"('Q14653', 'Q9Y5Q3')"
"('Q07820', 'Q96PG8')"
"('Q04771', 'O15198')"
"('Q06190', 'Q08289')"
"('P15056', 'Q13233')"
"('Q8NC60', 'Q14197')"
"('O00626', 'Q04206')"
"('P30519', 'Q8NHY6')"
"('Q07157', 'P13569')"
"('Q8IZP0', 'P62993')"
"('P84103', 'P49759')"
"('Q8N6F1', 'O95471')"
"('O15372', 'Q7L2H7')"
"('Q9NPH3', 'P78324')"
"('O00459', 'P29353')"
"('Q9NRF9', 'P56282')"
"('Q99459', 'O15160')"
"('Q15029', 'Q6P2Q9')"
"('Q13315', 'P25205')"
"('Q9H422', 'O43255')"
"('Q99683', 'P45983')"
"('Q96JK9', 'Q92793')"
"('Q99798', 'Q9H1Y0')"
"('P26006', 'Q13797')"
"('P63104', 'Q9GZS3')"
"('P37288', 'P29992')"
"('Q9HC29', 'P11473')"
"('Q9BVA1', 'Q99558')"
"('Q96J02', 'Q9H469')"
"('P62807', 'Q13547')"
"('Q9P2M7', 'P31946')"
"('Q9BV68', 'P67870')"
"('Q07890', 'P42336')"
"('P35226', 'P63279')"
"('Q12974', 'P24941')"
"('Q9UKE5', 'Q8N766')"
"('Q01094', 'P04198')"
"('Q9GZR7', 'Q13813')"
"('P19174', 'Q86XP0')"
"('P49755', 'O95759')"
"('Q7KZI7', 'P31947')"
"('P54253', 'O95967')"
"('Q5TH69', 'Q9NZJ0')"
"('O60551', 'P42574')"
"('A7MCY6', 'Q06787')"
"('Q9NY61', 'P52435')"
"('P31749', 'P00568')"
"('Q9HAF1', 'Q15834')"
"('P63220', 'P62753')"
"('Q9UHC6', 'Q9ULJ6')"
"('P98175', 'Q13573')"
"('Q96PG8', 'Q07820')"
"('P16520', 'O60503')"
"('P36957', 'O95376')"
"('O15530', 'Q9Y2S7')"
"('Q96KK5', 'P06899')"
"('Q9NRH3', 'O76071')"
"('P22415', 'P33076')"
"('Q9Y6F9', 'O00144')"
"('P21860', 'P27701')"
"('P01375', 'Q14644')"
"('Q14966', 'Q13573')"
"('Q9H3M7', 'P10599')"
"('P54274', 'Q9BVJ6')"
"('Q99547', 'P42285')"
"('P30968', 'P14780')"
"('Q9UBL3', 'Q15291')"
"('Q13485', 'Q08881')"
"('Q92993', 'P48436')"
"('Q02535', 'Q92574')"
"('O95139', 'P03905')"
"('406885', 'P36897')"
"('P51946', 'Q07869')"
"('Q01130', 'Q00839')"
"('Q9Y3Q8', 'Q9H8Y8')"
"('Q9H3D4', 'Q96KQ4')"
"('Q8TCY5', 'Q01726')"
"('P18754', 'Q04724')"
"('Q9H1J7', 'O75581')"
"('Q15365', 'P57052')"
"('442915', 'P41279')"
"('Q9H361', 'Q14106')"
"('P12931', 'Q8N5H7')"
"('O94856', 'P06241')"
"('Q15047', 'P63279')"
"('P12004', 'Q9NQR1')"
"('Q9H6Q3', 'P20963')"
"('Q00839', 'P52272')"
"('O15534', 'Q16665')"
"('Q8TDR0', 'Q99459')"
"('Q9BX63', 'Q86YC2')"
"('Q9P258', 'P62330')"
"('Q13158', 'Q6WCQ1')"
"('Q6R327', 'P27708')"
"('Q14164', '51639')"
"('Q86W92', 'P31947')"
"('Q9NVX0', 'Q9H0Q3')"
"('Q9UBD9', 'Q08334')"
"('P26641', 'Q9UQL6')"
"('O14640', 'Q05655')"
"('P62993', 'O43900')"
"('Q00005', 'P67809')"
"('Q13490', 'O43557')"
"('P0CG48', 'Q9NQC7')"
"('Q6W2J9', 'Q99496')"
"('Q9UHD2', 'Q9Y4K3')"
"('P23921', 'Q9H1Y0')"
"('P02788', 'P19338')"
"('P51003', 'Q15796')"
"('P48740', 'Q9UK32')"
"('P10914', 'Q03001')"
"('O43242', 'Q9UL46')"
"('Q15047', 'Q99447')"
"('P42684', 'P63000')"
"('Q9C005', 'Q93079')"
"('P09661', 'P43360')"
"('Q6P2Q9', 'Q9UMS4')"
"('Q04323', 'O00238')"
"('P01112', 'Q9NS23')"
"('Q9BXR5', 'P23378')"
"('Q9NPJ6', 'Q9ULK4')"
"('P06241', 'P78345')"
"('P30084', 'Q9BXR5')"
"('Q9UDY2', 'P56748')"
"('P08238', 'O95819')"
"('P06241', 'P09619')"
"('Q13351', 'P0CG48')"
"('P39023', 'P62424')"
"('O60518', 'P22392')"
"('Q96B02', 'Q9NW38')"
"('B5ME19', 'P41567')"
"('P41182', 'O14497')"
"('Q5VVX9', 'Q9BY78')"
"('P11142', 'Q9GZX7')"
"('Q9HCU9', 'P51681')"
"('Q07889', 'P17081')"
"('Q92918', 'Q13233')"
"('Q9HAU5', 'Q04637')"
"('Q9NRR5', 'O75886')"
"('Q01130', 'P84103')"
"('P01889', 'P24752')"
"('P25788', 'P43354')"
"('Q9NQ50', 'P30480')"
"('O15117', 'P00519')"
"('Q9ULW0', 'O75330')"
"('Q9H9G7', 'P49368')"
"('Q14653', 'O14625')"
"('Q6DN90', 'P51617')"
"('Q9H1I8', 'Q9BQ52')"
"('P04406', 'O15131')"
"('Q9UQP3', 'Q13797')"
"('Q14209', 'P10415')"
"('Q5SXM2', 'Q99459')"
"('Q8WXH5', 'Q99062')"
"('Q01844', 'Q01851')"
"('Q9UMX0', 'O15198')"
"('O75419', 'P33993')"
"('P28290', 'P62258')"
"('Q15717', 'Q12906')"
"('Q9Y5P8', 'P32121')"
"('O60921', 'A5PKW4')"
"('Q9NQS3', 'Q96NY8')"
"('Q99590', 'P84103')"
"('Q92985', 'P01570')"
"('Q9UJ83', 'Q96E35')"
"('O15198', 'Q5XPI4')"
"('P08631', 'P40189')"
"('Q13416', 'Q13415')"
"('O95622', 'P51817')"
"('Q13490', 'Q13158')"
"('P20073', 'Q9UNN5')"
"('Q92543', 'Q08999')"
"('O43261', 'O14678')"
"('Q9BYQ3', 'Q12834')"
"('Q15797', 'P10275')"
"('P55157', 'Q14315')"
"('O60841', 'P47813')"
"('P52790', 'P30613')"
"('Q9Y4K3', 'P27797')"
"('Q05516', 'Q9UBN7')"
"('P0CG48', 'O00308')"
"('P10451', 'P24593')"
"('P23443', 'P62753')"
"('P05787', 'P22607')"
"('P08123', 'P16144')"
"('P63098', 'P41182')"
"('Q8IY92', 'O60343')"
"('P30939', 'P50150')"
"('Q92769', 'P08047')"
"('P62993', 'Q13285')"
"('Q6P2C8', 'Q9NPJ6')"
"('Q12933', 'Q8TAI7')"
"('P06241', 'P20916')"
"('Q9NRR5', 'Q9HD15')"
"('Q96B97', 'P50570')"
"('Q9BPZ7', 'Q15366')"
"('Q9Y283', 'O14640')"
"('Q14469', 'O60674')"
"('O75947', 'P56134')"
"('P22612', 'Q9Y478')"
"('Q86Y13', 'Q99816')"
"('Q96P44', 'P05556')"
"('P12110', 'P56199')"
"('Q9P021', 'Q9NRR5')"
"('P00846', 'O75947')"
"('O75528', 'P17097')"
"('P04637', 'P13611')"
"('P16333', 'P26992')"
"('P35372', 'Q5JWF2')"
"('P02751', 'P98066')"
"('Q9UBD9', 'Q8N6P7')"
"('Q92569', 'P01116')"
"('Q09472', 'P38936')"
"('P32004', 'Q15121')"
"('Q8IXL6', 'P04183')"
"('P51608', 'O15055')"
"('Q9UKY1', 'O75874')"
"('Q13526', 'P98082')"
"('P35626', 'Q8NH53')"
"('Q99956', 'P27361')"
"('Q71SY5', 'P49336')"
"('Q86Y56', 'Q9HAW0')"
"('Q9NR30', 'Q9UJM3')"
"('P40937', 'P35250')"
"('O14561', 'Q86Y39')"
"('O14964', 'Q5VTD9')"
"('P60953', 'P23443')"
"('Q99683', 'Q99759')"
"('P00533', 'Q7Z7G1')"
"('Q16665', 'P06733')"
"('P84022', 'O15111')"
"('Q9UPT9', 'Q96BN2')"
"('P60568', 'Q14626')"
"('Q9BV47', 'P39656')"
"('P04626', 'P0CG48')"
"('P22455', 'P42566')"
"('Q13885', 'P17302')"
"('P21579', 'Q8IUH5')"
"('P81605', 'O95400')"
"('P21731', 'P27824')"
"('P22694', 'Q03060')"
"('P03372', 'Q9BT22')"
"('Q01094', 'P18075')"
"('Q13554', 'Q92793')"
"('P59768', 'Q9NQ66')"
"('Q04917', 'Q04912')"
"('P21673', 'P22459')"
"('Q9BUL9', 'O75817')"
"('343477', 'Q16665')"
"('Q9UJX2', 'Q13042')"
"('P63098', 'Q13255')"
"('Q06330', 'O75376')"
"('Q8TAU3', 'Q9P209')"
"('P61981', 'Q9HC77')"
"('P05015', 'P24394')"
"('P42229', 'P01589')"
"('O60343', 'O60303')"
"('Q01094', 'Q15022')"
"('Q9Y243', 'Q02930')"
"('Q13087', 'P78545')"
"('Q7Z406', 'O15111')"
"('Q86X83', 'Q8N668')"
"('Q14203', 'O14576')"
"('P09603', 'P07333')"
"('O00238', 'O00212')"
"('P62140', 'Q13698')"
"('Q9BRQ0', 'Q9Y4A5')"
"('Q05655', 'P42224')"
"('O43149', 'Q12988')"
"('Q8N8D1', 'Q96LT9')"
"('Q15648', 'Q9Y4A5')"
"('Q9NRM2', 'Q9NQ84')"
"('P17612', 'P68431')"
"('P54284', 'P21579')"
"('Q15788', 'Q8TEW0')"
"('Q04917', 'Q99759')"
"('P28749', 'Q14653')"
"('Q96A08', 'Q8WUI4')"
"('P32856', 'P63027')"
"('O15355', 'Q8IY92')"
"('P61313', 'P40429')"
"('Q9NX70', 'Q93074')"
"('P06239', 'P06127')"
"('Q676U5', 'Q9GZQ8')"
"('P51532', 'Q00653')"
"('Q13761', 'Q04724')"
"('P28482', 'P10828')"
"('O60260', 'P68036')"
"('Q15654', 'Q9H5Z6')"
"('P56945', 'P08631')"
"('P35544', 'P46781')"
"('P53618', 'Q13573')"
"('P05771', 'P00533')"
"('P46937', 'P63104')"
"('Q92796', 'Q15334')"
"('P62380', 'P04637')"
"('P20333', 'Q9Y575')"
"('Q9BXL7', 'P48729')"
"('P12107', 'Q13952')"
"('Q9UIG0', 'O60264')"
"('P54253', 'Q9HAU0')"
"('Q14451', 'Q99558')"
"('Q16537', 'Q02641')"
"('Q8WUW1', 'O15145')"
"('Q9H1Y0', 'P07237')"
"('P84098', 'Q02543')"
"('Q9UGN5', 'P20962')"
"('P50748', 'O43264')"
"('P63104', 'P06733')"
"('Q16665', 'P55854')"
"('Q9Y2J2', 'Q04917')"
"('P16871', 'P05976')"
"('Q86XK2', 'P31150')"
"('Q16637', 'Q09028')"
"('P38432', 'O60229')"
"('Q96HA8', 'Q9H773')"
"('O15111', 'P38646')"
"('Q96CB8', 'Q13573')"
"('P40763', 'P18146')"
"('P13805', 'Q9UJ70')"
"('P20700', 'O43918')"
"('Q14526', 'P56524')"
"('P51679', 'A5YKK6')"
"('O75293', 'Q8WWL7')"
"('Q9BQ66', 'Q5HYJ3')"
"('P22681', 'P48357')"
"('Q9UKV8', '574411')"
"('Q06124', 'P27361')"
"('P04637', 'P09884')"
"('O43900', 'Q92997')"
"('Q86YC2', 'P02545')"
"('P14174', 'P04233')"
"('Q96F46', 'Q8NFM7')"
"('Q92831', 'Q9UBG7')"
"('Q9Y2T2', 'Q8IY92')"
"('P06756', 'P01112')"
"('P30050', 'P61313')"
"('Q9BXL7', 'P62979')"
"('P32004', 'Q02246')"
"('O43913', 'Q13416')"
"('P05109', 'Q5UIP0')"
"('P52565', 'Q16659')"
"('Q99550', 'P61981')"
"('P52333', 'P24394')"
"('P08107', 'Q9Y4G8')"
"('Q9NR28', 'P53779')"
"('Q16342', 'O95777')"
"('Q9UBN7', 'Q8TAM1')"
"('Q96S59', 'P02786')"
"('P48443', 'Q15648')"
"('P16871', 'P51692')"
"('P21554', 'P63218')"
"('P14316', 'Q8IU81')"
"('P42263', 'Q12840')"
"('P10275', 'P49116')"
"('Q9UHV7', 'Q9NX70')"
"('P46781', 'P62081')"
"('O43290', 'P63165')"
"('Q9NVI7', 'Q15008')"
"('Q15582', 'P11215')"
"('Q6P0Q8', 'P48764')"
"('Q96HU8', 'P62158')"
"('Q5JPE7', 'O75674')"
"('P56192', 'P01106')"
"('P20273', 'P43405')"
"('Q13547', 'P0C1H6')"
"('O14561', 'O95168')"
"('Q9UBE0', 'P04637')"
"('Q15365', 'P14866')"
"('P05549', 'P62993')"
"('Q9BTT4', 'P30086')"
"('P33993', 'P23508')"
"('O15379', 'Q9Y5X4')"
"('P32969', 'P35268')"
"('Q9UDY8', 'Q12933')"
"('Q9BYD2', 'Q14197')"
"('P60880', 'Q86SS6')"
"('P18084', 'P12931')"
"('Q13315', '84717')"
"('Q9NVI1', 'P20333')"
"('Q8WWR8', 'Q9BQY4')"
"('Q9Y2L1', 'Q96B26')"
"('P35442', 'P08648')"
"('Q16659', 'O95201')"
"('Q6ZUM4', 'P60953')"
"('P01375', 'Q13200')"
"('P35914', 'Q9BV68')"
"('O15258', 'Q99963')"
"('P15104', 'Q9H8W4')"
"('Q9UJU2', 'Q92793')"
"('P30480', 'P49321')"
"('Q13315', 'O95376')"
"('P29992', 'Q9BZM1')"
"('P51668', 'O75592')"
"('P23508', 'P39656')"
"('P19793', 'P24468')"
"('Q9NUQ8', 'Q6IAA8')"
"('O75431', 'Q13505')"
"('Q15027', 'P05556')"
"('P51817', 'P51828')"
"('P01111', 'Q13485')"
"('Q13432', 'P06241')"
"('P14416', 'O14610')"
"('Q9NWT8', 'O14965')"
"('P63146', 'Q8WVC0')"
"('P51617', 'Q86WV6')"
"('P05771', 'Q9NQA5')"
"('Q9HAV0', 'Q01668')"
"('406981', 'Q8WY64')"
"('Q12972', 'Q15428')"
"('P48643', 'Q16891')"
"('Q9P107', 'Q96L33')"
"('O00459', 'Q05513')"
"('Q13129', 'P01112')"
"('P02489', 'P04792')"
"('Q15750', 'O14920')"
"('P83731', 'Q8IXH7')"
"('Q13309', 'Q12778')"
"('Q07444', 'Q15596')"
"('Q00005', 'P68371')"
"('Q14974', 'Q06455')"
"('Q04724', 'P31314')"
"('P27482', 'Q13554')"
"('P09874', 'O60934')"
"('Q9ULJ6', 'P10275')"
"('Q9BTL3', 'O15162')"
"('Q71U36', 'Q9BVA1')"
"('O00571', 'Q9BTT4')"
"('Q14031', 'O75578')"
"('P0C5Y9', 'Q96DB2')"
"('P17947', '407008')"
"('P21860', 'Q9UKW4')"
"('P15018', 'P08887')"
"('Q96BY6', 'P15153')"
"('Q15047', 'Q13227')"
"('P05231', 'P15509')"
"('P63279', 'A6NKT7')"
"('O14543', 'P52630')"
"('P42768', 'P62993')"
"('Q99616', 'P25024')"
"('P08567', 'P00488')"
"('Q8TBK6', 'O95391')"
"('Q8N5C8', 'P45984')"
"('Q92844', 'Q14790')"
"('Q9NYB9', 'O43639')"
"('Q13501', 'Q96IZ0')"
"('Q8WW14', 'Q8IYF3')"
"('O95067', 'P06493')"
"('P98177', 'P27348')"
"('Q12772', 'Q99614')"
"('P10398', 'Q96KB5')"
"('O75581', 'P58335')"
"('P19634', 'P63104')"
"('P40763', 'Q06187')"
"('P63000', 'Q01105')"
"('P17676', 'P18428')"
"('P20749', 'Q01201')"
"('Q9BY84', 'P28482')"
"('P51451', 'Q05086')"
"('Q8IY92', 'Q6IQ49')"
"('P27361', 'P16220')"
"('P26641', 'P13805')"
"('Q13535', 'Q12905')"
"('Q15750', 'Q9Y5U2')"
"('P61964', 'Q9ULM3')"
"('P06213', 'P27986')"
"('Q15554', 'Q9NYB0')"
"('Q92901', 'P61513')"
"('P01614', 'P01871')"
"('P0CG48', 'Q15034')"
"('P49642', 'Q9UKG9')"
"('Q13332', 'Q15047')"
"('P20333', 'P62829')"
"('P24534', 'P01243')"
"('Q15843', 'P62263')"
"('P12107', 'P26006')"
"('Q969T4', 'P78317')"
"('Q92945', 'Q9UHX1')"
"('P27824', 'P20618')"
"('O96019', 'O43257')"
"('P61088', 'Q8WWF5')"
"('Q9UQ35', 'Q08170')"
"('Q15185', 'P01241')"
"('P04637', 'P20338')"
"('Q8IY92', 'Q9BQ83')"
"('Q9UQE7', 'O60216')"
"('P21781', 'P22607')"
"('P32121', 'Q8NGE5')"
"('Q13162', 'P07237')"
"('Q14031', 'P31431')"
"('Q13546', 'Q9HB75')"
"('Q68CP9', 'Q8TAQ2')"
"('P05387', 'P18621')"
"('Q9Y6K9', 'P25963')"
"('P57088', 'Q15008')"
"('P16278', 'Q9NSA3')"
"('Q9NVI1', 'Q15714')"
"('Q9UMS4', 'Q10586')"
"('P12931', 'P25098')"
"('P38432', 'P51116')"
"('P53708', 'Q9Y490')"
"('Q9Y4K3', 'Q9NP79')"
"('P00533', 'P31949')"
"('P35251', 'P35249')"
"('P49407', 'P51686')"
"('Q15746', 'P27986')"
"('P05106', 'P37173')"
"('P13010', 'O43918')"
"('P27540', 'P22830')"
"('Q9NYL2', 'Q15811')"
"('P07910', 'P62633')"
"('Q16629', 'P26599')"
"('Q13153', 'O00238')"
"('Q14164', 'Q15084')"
"('Q03014', 'P15692')"
"('P13598', 'P05107')"
"('P04899', 'P27361')"
"('Q9NRR4', '406991')"
"('Q16531', 'Q04725')"
"('P29350', 'Q02556')"
"('Q13617', 'Q9Y376')"
"('P38936', 'P04406')"
"('Q14164', 'Q9UHD2')"
"('P48023', 'Q9NZQ3')"
"('P61978', 'O95400')"
"('P05129', 'O00418')"
"('P07858', 'P78556')"
"('O95619', 'Q99459')"
"('P15884', 'Q96I15')"
"('Q02543', 'P62987')"
"('P50613', 'P14635')"
"('O14777', 'Q8N6Y0')"
"('P35354', 'Q99460')"
"('Q99677', 'P84996')"
"('P30480', 'P40939')"
"('P62750', 'P62424')"
"('P12277', 'P49642')"
"('Q9Y478', 'P00492')"
"('P23246', 'O95819')"
"('P22612', 'O60840')"
"('P02792', 'P02794')"
"('Q8IZD9', 'P63000')"
"('P23508', 'P08237')"
"('O75398', 'P04183')"
"('P35626', 'O76000')"
"('P30504', 'P26038')"
"('Q13616', 'P38936')"
"('Q08209', 'Q9UJX5')"
"('P05556', 'P22694')"
