negatives
"('Q9HCK5', 'Q04837')"
"('Q05519', 'P61978')"
"('P52789', 'P41222')"
"('P30837', 'P61421')"
"('Q92993', 'P13805')"
"('Q9H3D4', 'P55061')"
"('O15360', 'Q92922')"
"('P48551', 'P01570')"
"('P46379', 'P46695')"
"('Q13315', 'Q6PJT7')"
"('Q13191', 'O95782')"
"('P04083', 'P63104')"
"('P01111', 'Q3MIN7')"
"('P04049', 'Q8WYR1')"
"('P42680', 'Q9UKW4')"
"('P26006', 'Q07890')"
"('P17081', 'O75914')"
"('Q8TAM1', 'O14788')"
"('Q04917', 'P49815')"
"('O75446', 'Q92769')"
"('Q5EB52', 'P19883')"
"('Q13387', 'Q13625')"
"('P29074', 'P27986')"
"('Q9Y4D1', 'Q15642')"
"('P04637', 'P18074')"
"('Q14457', 'Q9UQE7')"
"('O00222', 'P62879')"
"('P62745', 'P06213')"
"('Q13418', 'Q6UB35')"
"('P48058', 'Q13224')"
"('P12314', 'Q8NHJ6')"
"('P40225', 'P40189')"
"('Q9Y5L4', 'O60220')"
"('Q13616', 'P62136')"
"('O95425', 'O43294')"
"('O14543', 'Q9HC73')"
"('P17612', 'P53779')"
"('O15156', 'P02452')"
"('P19447', 'P10275')"
"('Q9H2G2', 'P54253')"
"('Q9Y5X1', 'Q9P0L1')"
"('O94972', 'Q15398')"
"('P40424', 'P17481')"
"('Q9Y678', 'Q9NTJ5')"
"('P23497', 'P63279')"
"('Q15811', 'Q9NRI5')"
"('Q9UNN8', 'P25054')"
"('Q9BSF8', 'P67775')"
"('P62263', 'P20333')"
"('P41220', 'P61019')"
"('P05412', 'P10144')"
"('Q99613', 'P60709')"
"('P17947', 'Q01892')"
"('P25774', 'P25208')"
"('P35913', 'P16499')"
"('P05412', 'P45452')"
"('Q8WYQ9', 'P08651')"
"('Q09472', 'O60934')"
"('P62917', 'Q02543')"
"('P02730', 'Q14191')"
"('O95405', 'O14964')"
"('Q99650', 'P29597')"
"('P31749', 'P10398')"
"('P61313', 'P83731')"
"('P12956', 'P45973')"
"('P04637', 'Q9NYY3')"
"('O43521', 'Q8WVM7')"
"('P06241', 'Q9Y4K3')"
"('O95267', 'Q3MJ16')"
"('Q8N474', 'O75084')"
"('P62829', 'Q12933')"
"('P45973', 'Q9H081')"
"('P16234', 'P62993')"
"('Q9BWD1', 'P23508')"
"('P49815', 'Q13619')"
"('P22694', 'P45984')"
"('Q9UBU8', 'Q15906')"
"('P49116', 'P40763')"
"('P56537', 'P60660')"
"('P62263', 'P08865')"
"('Q0VDF9', 'Q16659')"
"('P60709', 'P26006')"
"('P46108', 'O94856')"
"('P17252', 'Q86XP0')"
"('P01236', 'P42702')"
"('P63261', 'P13533')"
"('Q9BUV8', 'Q9Y2G4')"
"('Q07812', 'Q05513')"
"('P49674', 'P30304')"
"('O43657', 'Q12873')"
"('Q9H9G7', 'P21333')"
"('O00238', 'Q15052')"
"('O75626', 'P26010')"
"('P46020', 'P11216')"
"('P01106', 'P62979')"
"('P15172', 'P11831')"
"('P0C0S5', 'P23527')"
"('Q96CW1', 'Q5JTH9')"
"('O75444', 'Q16236')"
"('Q15466', 'O00482')"
"('O43318', 'Q15759')"
"('Q9UL15', 'Q13233')"
"('O60739', 'Q7L2H7')"
"('Q15750', 'Q9Y2S7')"
"('Q92925', 'P06400')"
"('P54253', 'Q00978')"
"('Q9UQM7', 'Q9NZZ3')"
"('Q13237', 'P62140')"
"('P62258', 'P07910')"
"('Q9UQF2', 'P45983')"
"('P46459', 'Q9UBS5')"
"('O95551', 'Q16659')"
"('Q9Y6X2', 'P15104')"
"('A5YKK6', 'O75175')"
"('O43924', 'P20936')"
"('P08670', 'Q14134')"
"('P40938', 'Q99459')"
"('P13010', 'Q10586')"
"('P20823', 'P09661')"
"('Q04724', 'P15927')"
"('P54253', 'A7KAX9')"
"('P06899', 'Q99878')"
"('Q8NHJ6', 'O75015')"
"('P61978', 'P98179')"
"('Q16665', 'Q92831')"
"('P30504', 'P61289')"
"('P49450', 'P07199')"
"('Q9UKT4', 'P30260')"
"('O15530', 'Q15121')"
"('P26368', 'Q01081')"
"('O75379', 'O60499')"
"('P01889', 'Q3V6T2')"
"('Q13315', 'Q96KQ7')"
"('P22681', 'P01589')"
"('P49915', 'P01889')"
"('P52272', 'O15479')"
"('P41226', 'P0CG47')"
"('O15260', 'Q13530')"
"('P06213', 'Q05209')"
"('P63000', 'O76039')"
"('O14980', 'Q9UKV8')"
"('Q13263', 'Q9UBN6')"
"('P20339', 'Q01968')"
"('Q86V24', 'Q96RR4')"
"('Q92915', 'P29317')"
"('406961', 'Q00534')"
"('Q14194', 'Q9BUJ2')"
"('406884', 'P24385')"
"('Q9HAU4', 'P17948')"
"('P55854', 'Q8IVS2')"
"('Q01094', 'Q9UNS1')"
"('Q13233', 'Q16543')"
"('P27348', 'Q04912')"
"('Q13347', 'P05198')"
"('Q9Y4K3', 'P22607')"
"('P05112', 'Q99062')"
"('Q13905', 'P61224')"
"('P05771', 'P63218')"
"('O15479', 'Q13257')"
"('Q96KQ7', 'Q9H0I2')"
"('O95251', 'Q14566')"
"('P41235', 'Q15466')"
"('P01106', 'Q9Y4X0')"
"('Q8TBK6', 'P62316')"
"('P40939', 'Q14164')"
"('P01111', 'Q15052')"
"('406900', 'P40763')"
"('Q13573', 'Q9UM47')"
"('P05362', 'P20701')"
"('Q15628', 'P11142')"
"('P09651', 'Q9HC29')"
"('Q8IZL8', 'P84243')"
"('Q14151', 'Q8TDY2')"
"('406935', 'Q9Y6K1')"
"('Q14247', 'P63261')"
"('Q01082', 'P25054')"
"('P61812', 'P36897')"
"('Q92922', 'Q96GM5')"
"('Q9NPJ6', 'Q9ULK4')"
"('Q13151', 'Q15366')"
"('Q8IXH7', 'Q9H3P2')"
"('Q08334', 'P25774')"
"('Q15257', 'P31749')"
"('O00487', 'Q9Y5K5')"
"('Q16659', 'P49815')"
"('Q96D42', 'Q9H3S1')"
"('Q09472', 'O43524')"
"('Q9Y3M8', 'P63000')"
"('Q13573', 'Q99986')"
"('P49915', 'P56545')"
"('P55211', 'P27361')"
"('Q9BRQ0', 'O75529')"
"('P05129', 'O60503')"
"('Q13573', 'Q8N6R0')"
"('Q99873', 'Q5UIP0')"
"('Q15393', 'O75940')"
"('P61247', 'P01243')"
"('O14929', 'P49459')"
"('Q9Y618', 'P41182')"
"('P01106', 'Q8N5D6')"
"('Q96QK1', 'P30480')"
"('Q5JY77', 'P25116')"
"('Q9UHX1', 'P08670')"
"('P61218', 'Q9Y535')"
"('P35222', 'P35221')"
"('Q01844', 'Q8N6R1')"
"('Q2M1P5', 'P10070')"
"('P16520', 'P40145')"
"('P35626', 'Q8NGP2')"
"('Q8IZD2', 'P18146')"
"('P16333', 'Q9UMN6')"
"('P24394', 'O60496')"
"('P19174', 'Q9UKW4')"
"('Q7Z2G1', 'Q9P0M6')"
"('P12931', 'P60763')"
"('Q969Q1', 'Q9UBK9')"
"('Q6P2C8', 'Q9BTT4')"
"('Q96NA2', 'Q8NCM8')"
"('Q92558', 'P14598')"
"('Q07960', 'P62745')"
"('P23443', 'Q13057')"
"('P62841', 'P46782')"
"('P68104', 'Q15583')"
"('O15350', 'Q9NZC7')"
"('P08107', 'P09874')"
"('Q00978', 'P01100')"
"('O15198', 'Q99959')"
"('O14920', 'P61626')"
"('O00329', 'P05026')"
"('P61927', 'P62945')"
"('P40225', 'P15509')"
"('P06213', 'P40763')"
"('O60739', 'O75821')"
"('P27361', 'P16118')"
"('P06400', 'P45984')"
"('P07237', 'Q9UMX0')"
"('Q9NW08', 'Q9Y535')"
"('Q13616', 'Q9UKB1')"
"('Q15388', 'Q6P1J9')"
"('P22612', 'P54646')"
"('P24941', 'Q14CX7')"
"('P39687', 'Q13469')"
"('P46060', 'Q9HC24')"
"('P35544', 'P62851')"
"('Q09472', 'P22736')"
"('P17544', 'Q04206')"
"('Q92624', 'Q6ZMV9')"
"('P02452', 'Q9NPY3')"
"('P38398', 'P54727')"
"('Q92597', 'P11021')"
"('P37231', 'Q9UM63')"
"('Q13153', 'P31749')"
"('Q16520', 'O75971')"
"('P05787', 'Q86SQ4')"
"('Q8WYL5', 'P27348')"
"('P55735', 'Q5JSH3')"
"('P08069', 'O14654')"
"('Q8IZI9', 'Q02556')"
"('Q99547', 'P51532')"
"('Q8NGF8', 'P38405')"
"('Q96K80', 'Q15038')"
"('Q9UBE8', 'Q12778')"
"('Q99750', 'P84101')"
"('P25445', 'Q9UER7')"
"('P29353', 'Q6WCQ1')"
"('P49321', 'P08047')"
"('P38936', 'Q75N90')"
"('Q13315', 'Q92925')"
"('P63000', 'Q07890')"
"('Q69YQ0', 'Q9BZE0')"
"('O15520', 'P06213')"
"('P49023', 'P84103')"
"('Q9UKX5', 'P16144')"
"('Q15303', 'P04626')"
"('P29353', 'P32927')"
"('P20908', 'Q9HCN6')"
"('Q99962', 'O00499')"
"('Q9H0E2', 'P14778')"
"('Q96GF1', 'P62256')"
"('Q96FJ2', 'P98170')"
"('P42704', 'P19532')"
"('P37173', 'Q9NP97')"
"('P04637', 'Q86TM6')"
"('P61244', 'P01106')"
"('Q13315', 'Q9C0C2')"
"('Q8TAA9', 'Q15139')"
"('P16422', 'P13569')"
"('P32242', 'Q9UKJ5')"
"('O43524', 'P41182')"
"('Q9UQ03', 'Q15714')"
"('Q13573', 'Q14839')"
"('Q502X0', 'Q92796')"
"('P09104', 'O95149')"
"('Q9Y376', 'Q9UEW8')"
"('Q86U42', 'Q16629')"
"('P46777', 'P50914')"
"('O60231', 'Q9HCS7')"
"('Q9P1U1', 'P12882')"
"('P61968', 'Q9UK32')"
"('Q15102', 'P61956')"
"('Q9P1Z2', 'O14777')"
"('P67870', 'Q16877')"
"('Q96F86', 'P26196')"
"('Q9UIG0', 'P12004')"
"('O00571', 'Q00653')"
"('Q9UG56', 'P61421')"
"('Q13952', 'Q6AI39')"
"('P07225', 'P00734')"
"('Q9Y5S9', 'Q9HAU5')"
"('P13747', 'P61769')"
"('Q15326', 'Q15796')"
"('693235', 'P49918')"
"('Q13200', 'Q92597')"
"('P51679', 'P04899')"
"('O95433', 'P62333')"
"('Q6UVY6', 'P67870')"
"('P27694', 'Q86U06')"
"('Q15306', 'P29459')"
"('Q92633', 'P16520')"
"('P02786', 'P02787')"
"('Q9UBP5', 'Q96ST3')"
"('Q9Y572', 'P15104')"
"('P63151', 'P31749')"
"('Q5KU26', 'Q9NV70')"
"('Q9UHY7', 'P09884')"
"('574455', 'P00749')"
"('P31947', 'Q8IUC4')"
"('P05556', 'P25391')"
"('Q96LR5', 'Q6ZNA4')"
"('Q06609', 'O43543')"
"('Q16633', 'P09382')"
"('Q96AW1', 'P30519')"
"('Q08999', 'P29590')"
"('P62195', 'Q5VTR2')"
"('P01106', 'O15318')"
"('P62834', 'Q9UET6')"
"('P10276', 'Q9Y6Q9')"
"('P62807', 'P40337')"
"('P01111', 'Q9HAU4')"
"('Q15796', 'P62987')"
"('Q15560', 'P61218')"
"('Q03113', 'P47901')"
"('P10275', 'P07288')"
"('P08034', 'P29033')"
"('P04632', 'P56134')"
"('Q9UPY6', 'O15145')"
"('Q6STE5', 'P62805')"
"('P47813', 'O94829')"
"('P84022', 'Q92985')"
"('P54578', 'P01889')"
"('O60262', 'P42338')"
"('Q04771', 'Q9GZS3')"
"('P62304', 'P62316')"
"('Q9HCE7', 'P62979')"
"('Q15366', 'Q01130')"
"('O75475', 'P48506')"
"('P05015', 'Q9UGN5')"
"('Q9Y333', 'Q15029')"
"('Q7Z406', 'Q02045')"
"('P29590', 'Q16539')"
"('P05013', 'P40189')"
"('P29972', 'Q8N5Z5')"
"('P61769', 'P14316')"
"('P68104', 'Q9UIJ7')"
"('P26010', 'P06756')"
"('Q8NFD5', 'Q92922')"
"('P41159', 'Q14627')"
"('P20963', 'Q9Y2R2')"
"('P23526', 'P01889')"
"('P17252', 'Q05397')"
"('P60953', 'Q15642')"
"('O43427', 'Q86YS7')"
"('Q9Y597', 'O95777')"
"('Q8IWE5', 'Q07866')"
"('Q6UWE0', 'P48443')"
"('Q02040', 'Q9Y2I6')"
"('P33981', 'Q9Y6D9')"
"('P63261', 'P60709')"
"('Q5VWQ8', 'Q07889')"
"('Q04724', 'Q03014')"
"('P12111', 'Q13797')"
"('Q9UMX0', 'Q9P2K6')"
"('Q07864', 'P56282')"
"('P41235', 'Q07869')"
"('Q8N5F7', 'O43143')"
"('P01106', 'Q96BU1')"
"('P35626', 'O76100')"
"('Q9Y371', 'Q99570')"
"('P30559', 'Q8IZS8')"
"('P62805', 'P49450')"
"('Q9P218', 'Q8IYF3')"
"('Q96ES7', 'Q8IYH5')"
"('P52434', 'Q6P1J9')"
"('P02751', 'P21980')"
"('Q14938', 'Q13547')"
"('O95298', 'P03886')"
"('P50148', 'Q14500')"
"('P04637', 'Q16594')"
"('P11142', 'Q92598')"
"('Q969D9', 'O75626')"
"('O75015', 'Q8IYS5')"
"('A0JLT2', 'Q96HR3')"
"('Q96J02', 'P08151')"
"('Q9BU70', 'Q99469')"
"('Q5SQQ9', 'P26367')"
"('P04439', 'P30457')"
"('P04626', 'P0CG47')"
"('O14974', 'Q01449')"
"('Q06187', 'Q9Y2C9')"
"('O00222', 'P63218')"
"('Q92597', 'P12830')"
"('P12004', 'Q15843')"
"('P84103', 'Q92620')"
"('Q9Y5Y5', 'P40855')"
"('Q9BUZ4', 'Q9Y4K3')"
"('O95197', 'Q2M1K9')"
"('Q9UHX1', 'Q13418')"
"('P36404', 'Q9Y2Y0')"
"('P62701', 'P62857')"
"('P84090', 'Q92905')"
"('Q04721', 'Q9Y2E6')"
"('406937', 'P01106')"
"('P68400', 'Q13526')"
"('O95835', 'O43464')"
"('Q13137', 'O14639')"
"('Q9NR96', 'P62993')"
"('P35251', 'Q14683')"
"('Q99835', 'Q9Y6C5')"
"('Q03001', 'Q13952')"
"('P63104', 'Q00536')"
"('P08727', 'O14964')"
"('Q9BXI2', 'P49736')"
"('P30480', 'Q9H9A6')"
"('Q00987', 'P04637')"
"('Q9NYV6', 'Q9Y2S0')"
"('Q99547', 'Q9NP97')"
"('P24941', 'Q14209')"
"('P61353', 'P62899')"
"('P51948', 'Q92759')"
"('Q13702', 'Q9P2G9')"
"('O15105', 'P35222')"
"('P04216', 'Q13017')"
"('Q70Z53', 'Q9HCC8')"
"('Q8IUQ4', 'Q9Y6H5')"
"('Q13547', 'P53539')"
"('P33992', 'Q08945')"
"('O95865', 'Q9H5J8')"
"('Q9H6R7', 'Q9Y265')"
"('P31689', 'Q12809')"
"('Q14980', 'Q9UM73')"
"('Q15560', 'P61978')"
"('P38159', 'Q15287')"
"('P48357', 'P54646')"
"('Q13315', 'Q05193')"
"('P30480', 'P51452')"
"('Q9UDX5', 'Q9HAW0')"
"('P78356', 'P06396')"
"('Q01831', 'P54727')"
"('Q01543', 'P11308')"
"('Q9BVJ6', 'O14986')"
"('Q8TEU8', 'P12643')"
"('P52735', 'P52597')"
"('P51817', 'P14618')"
"('406999', 'P35568')"
"('P30504', 'Q63HN8')"
"('P08908', 'O14610')"
"('Q14653', 'Q8IU54')"
"('P32121', 'Q8NGH3')"
"('Q13291', 'Q99704')"
"('Q92925', 'P01106')"
"('O94817', 'Q16540')"
"('Q01094', 'O60825')"
"('P67870', 'P18846')"
"('P05388', 'P46777')"
"('P61513', 'P30480')"
"('Q92844', 'Q00839')"
"('P01106', 'P13612')"
"('P10275', 'Q9Y265')"
"('P62913', 'P84098')"
"('Q9NS69', 'Q15388')"
"('P52630', 'P29459')"
"('Q9Y277', 'P12235')"
"('P10721', 'Q9NQ66')"
"('Q9H1A4', 'Q9UJX6')"
"('P12956', 'Q96HA7')"
"('P11940', 'Q9UIV1')"
"('O15182', 'Q13432')"
"('Q9NRS6', 'Q9UI14')"
"('P01243', 'Q9UM00')"
"('P55036', 'P15923')"
"('Q9HCT0', 'P09619')"
"('Q92698', 'Q96PY6')"
"('Q9UGY1', 'Q15393')"
"('Q16566', 'P18848')"
"('P54274', 'P61981')"
"('Q6WCQ1', 'P29353')"
"('P51946', 'P13631')"
"('Q92844', 'O15111')"
"('P01241', 'Q8N6P7')"
"('Q96DG6', 'P31939')"
"('P56747', 'O95500')"
"('P05231', 'Q99665')"
"('P01236', 'Q99650')"
"('O43708', 'P16333')"
"('Q14814', 'P18146')"
"('P62979', 'P20333')"
"('P30279', 'P06400')"
"('P08670', 'Q8N283')"
"('Q9P0M6', 'Q96RL1')"
"('Q9BTT4', 'O95402')"
"('O00628', 'O14832')"
"('P51812', 'P48740')"
"('P62191', 'P62195')"
"('Q15631', 'P01889')"
"('Q9UKT9', 'Q99708')"
"('Q8WZA2', 'O14924')"
"('Q9ULV8', 'P43403')"
"('Q8IY92', 'Q9BYD2')"
"('P01112', 'P19174')"
"('O95182', 'O95169')"
"('P02647', 'O94854')"
"('P42677', 'P39019')"
"('P62318', 'Q9Y3F4')"
"('O00233', 'O00231')"
"('Q9NW64', 'Q9BUJ2')"
"('P62081', 'Q9C0C9')"
"('Q15645', 'Q53HV7')"
"('P22234', 'O60739')"
"('O60488', 'P63104')"
"('O15131', 'Q9HCU9')"
"('Q8WW43', 'Q9NZ42')"
"('Q96F10', 'P21673')"
"('O75807', 'P62136')"
"('P62979', 'P08865')"
"('O14543', 'Q9UHF4')"
"('O00571', 'Q7Z434')"
"('P04637', 'Q96GM5')"
"('Q13315', 'Q9H0W5')"
"('O14908', 'P49841')"
"('P62633', 'Q13247')"
"('Q5JSZ5', 'P54253')"
"('Q01081', 'P67809')"
"('P03901', 'P03891')"
"('Q9H1D9', 'Q7Z2T5')"
"('Q14181', 'Q9NQW7')"
"('Q14197', 'P49406')"
"('P51116', 'P02794')"
"('P01243', 'O75190')"
"('Q9H0R6', 'P02775')"
"('P51587', 'O94776')"
"('Q15714', 'Q13619')"
"('Q96S59', 'Q9Y463')"
"('P11586', 'P78396')"
"('P05141', 'P29372')"
"('O14602', 'O15371')"
"('P60520', 'P07237')"
"('P62195', 'O95718')"
"('P01106', 'Q9NTI5')"
"('Q92530', 'Q86SE5')"
"('Q99613', 'O75822')"
"('P42357', 'P41235')"
"('P11802', 'P50613')"
"('P52798', 'P29320')"
"('Q16254', 'P29590')"
"('P39748', 'P18206')"
"('Q9Y4Z0', 'P67870')"
"('Q96LR5', 'Q9Y508')"
"('P49792', 'P52952')"
"('Q96CB8', 'P19387')"
"('P21246', 'P23467')"
"('P23511', 'P12004')"
"('O75309', 'P18146')"
"('Q9Y4K3', 'Q86SQ7')"
"('P08631', 'O75563')"
"('Q8N488', 'P04637')"
"('O43395', 'P55081')"
"('Q96B02', 'Q8N9I9')"
"('P06400', 'O14682')"
"('P02775', 'O00574')"
"('P27482', 'P54750')"
"('Q99741', 'P0CG47')"
"('Q13315', 'Q96NB3')"
"('Q96K19', 'Q5VVX9')"
"('Q9UII4', 'Q96LR5')"
"('P61081', 'Q9H6Y7')"
"('P15622', 'P41227')"
"('Q04864', 'Q15653')"
"('O60739', 'Q09028')"
"('P41231', 'P18084')"
"('Q9H6S1', 'Q9Y6K9')"
"('Q99459', 'Q9NU22')"
"('Q13501', 'O95817')"
"('Q4ZIN3', 'P51690')"
"('723778', 'Q9UNL4')"
"('Q9NQS1', 'Q13315')"
"('Q14164', 'P57088')"
"('P08253', 'Q99075')"
"('P18146', 'Q93096')"
"('P25787', 'P25786')"
"('Q9GZM8', 'Q9NS73')"
"('P16581', 'P19174')"
"('Q9NPQ8', 'Q9UPT6')"
"('O75593', 'P55316')"
"('P18077', 'P05387')"
"('P46059', 'P18146')"
"('Q9NSC5', 'Q9NSB8')"
"('P42677', 'P35544')"
"('Q99880', 'Q9BY41')"
"('P55774', 'Q04724')"
"('A5YKK6', 'P19793')"
"('Q99653', 'Q13153')"
"('Q9Y6K9', 'P48047')"
"('P28062', 'Q99436')"
"('P56524', 'Q9HCU9')"
"('Q92733', 'Q9UMS4')"
"('Q15084', 'P22392')"
"('P28749', 'Q02363')"
"('P27986', 'P23975')"
"('P10275', 'O14595')"
"('P61106', 'O14964')"
"('P41240', 'P06241')"
"('Q13191', 'P15260')"
"('O60739', 'Q14D04')"
"('Q06124', 'O14746')"
"('P16333', 'P78368')"
"('P63000', 'P46940')"
"('P01137', 'P62258')"
"('Q13216', 'Q03468')"
"('P01106', 'Q9UM21')"
"('P61077', 'Q86UW7')"
"('Q9P2Y5', 'Q99570')"
"('P00519', 'O00254')"
"('Q08211', 'P01889')"
"('O43711', 'O43809')"
"('P05388', 'P62899')"
"('P57735', 'Q9Y664')"
"('Q15714', 'Q93008')"
"('P48729', 'Q12778')"
"('O15111', 'O60641')"
"('Q99459', 'P57740')"
"('Q15714', 'P41743')"
"('P27986', 'P42684')"
"('Q9UQM7', 'Q09472')"
"('O43709', 'Q9Y478')"
"('O43353', 'Q13748')"
"('P63165', 'Q92610')"
"('Q9NQX3', 'P63167')"
"('Q01094', 'P06493')"
"('Q15583', 'Q13363')"
"('Q96J92', 'O95747')"
"('P61925', 'Q96RG2')"
"('Q15428', 'P22626')"
"('P38432', 'Q12800')"
"('P51955', 'Q5VU43')"
"('Q15102', 'P68371')"
"('P78543', 'Q5JQF8')"
"('Q86TA1', 'P49902')"
"('O15056', 'Q9NZM3')"
"('Q96IZ7', 'P51681')"
"('P61254', 'P62945')"
"('O95433', 'O94856')"
"('P19793', 'P14859')"
"('Q13191', 'P46940')"
"('Q8TEY7', 'Q9NR30')"
"('P33991', 'O95696')"
"('Q16602', 'O95467')"
"('Q99873', 'O43524')"
"('Q9BYE9', 'Q6P0Q8')"
"('P06734', 'P42226')"
"('P49674', 'O15534')"
"('Q9Y230', 'P68133')"
"('P49023', 'P35222')"
"('P14373', 'Q5VTD9')"
"('O95503', 'O00257')"
"('Q9BT88', 'Q92624')"
"('Q9Y697', 'Q16762')"
"('Q9ULV8', 'P40189')"
"('Q9Y2X8', 'O60291')"
"('P31689', 'Q9Y333')"
"('Q96N46', 'Q70Z53')"
"('Q9NZC7', 'Q8N684')"
"('P14618', 'Q16637')"
"('P33992', 'Q9Y478')"
"('Q9Y5K6', 'Q9UK41')"
"('Q99942', 'Q13404')"
"('Q9Y463', 'Q9H0N5')"
"('Q9H461', 'P35222')"
"('Q14696', 'P36543')"
"('Q16627', 'P51685')"
"('P42574', 'P05787')"
"('Q13253', 'P12644')"
"('Q13347', 'P60709')"
"('Q16576', 'Q14839')"
"('P56750', 'Q16625')"
"('P49190', 'O14832')"
"('P15391', 'P06241')"
"('407051', 'P56817')"
"('P05387', 'P62888')"
"('Q01844', 'P23276')"
"('P18206', 'P62308')"
"('O95460', 'O00339')"
"('P05113', 'P01589')"
"('Q07820', 'Q13794')"
"('P32004', 'Q01484')"
"('Q01780', 'Q9NQT4')"
"('P51965', 'Q8N9I9')"
"('Q9UI10', 'P05198')"
"('O14965', 'Q9UD71')"
"('P32121', 'Q9Y5P0')"
"('Q15653', 'Q9P1U0')"
"('O15111', 'Q13797')"
"('P25786', 'Q9Y3Q8')"
"('P01106', 'Q9NR50')"
"('P42684', 'P21860')"
"('P63208', 'Q9H469')"
"('Q13094', 'P16885')"
"('O15264', 'P04637')"
"('Q9NRW7', 'Q9H1K0')"
"('Q99653', 'O75365')"
"('Q13237', 'O60266')"
"('P08833', 'O60244')"
"('Q96A72', 'P61981')"
"('O60934', 'Q13573')"
"('Q9NXU5', 'Q92734')"
"('P23396', 'P19438')"
"('Q9P2F6', 'P17081')"
"('P32121', 'P58170')"
"('P22234', 'Q8TAP6')"
"('Q8N6F1', 'Q9Y5I7')"
"('P13686', 'P62714')"
"('Q99417', 'P25942')"
"('Q6P1J9', 'P35609')"
"('P19438', 'P40939')"
"('P16383', 'P06241')"
"('Q07021', 'P11142')"
"('P47914', 'P61513')"
"('Q16539', 'Q12904')"
"('P53778', 'P98177')"
"('O15105', 'O14640')"
"('P29375', 'P06400')"
"('Q5VV52', 'P54257')"
"('Q14432', 'P10644')"
"('P63167', 'O43521')"
"('P08572', 'P05556')"
"('Q9NWN3', 'Q13485')"
"('Q00610', 'Q9BXW4')"
"('Q7Z434', 'O95140')"
"('Q02750', 'Q07890')"
"('Q6V1X1', 'P02778')"
"('P36873', 'P06400')"
"('P42574', 'P51124')"
"('Q12852', 'P45985')"
"('Q96AE4', 'P08670')"
"('P62070', 'O15211')"
"('Q9Y2T4', 'P31749')"
"('O15264', 'P40227')"
"('Q92922', 'P10275')"
"('Q9H063', 'P30281')"
"('Q7Z3K3', 'Q13573')"
"('P20963', 'P43405')"
"('Q96BI3', 'Q8WW43')"
"('P46776', 'P46779')"
"('Q9Y297', 'P46937')"
"('P61587', 'O43157')"
"('Q15942', 'P41220')"
"('Q96G97', 'Q9BZL3')"
"('Q16665', 'P11166')"
"('Q9BUJ2', 'P07910')"
"('P54257', 'Q9H079')"
"('P53567', 'P35638')"
"('Q15329', 'Q14186')"
"('P58012', 'Q96EB6')"
"('Q8IYH5', 'Q9NR33')"
"('Q96C10', 'Q9NUL3')"
"('P02730', 'Q06124')"
"('Q99728', 'Q9BX63')"
"('Q9NYY1', 'Q14627')"
"('O14576', 'P20073')"
"('Q99459', 'Q96JN2')"
"('O14949', 'P0CAP2')"
"('P09874', 'P13010')"
"('P62256', 'Q9Y613')"
"('O14610', 'Q01970')"
"('O00148', 'Q13838')"
"('Q9NWK9', 'O95445')"
"('Q9Y478', 'P51149')"
"('P32456', 'Q9BX70')"
"('Q99567', 'Q96EE3')"
"('Q01804', 'P05452')"
"('P00533', 'Q8WYP3')"
"('P10275', 'P55075')"
"('Q9ULH1', 'Q12959')"
"('P25788', 'P52948')"
"('P04406', 'P05305')"
"('P41217', 'P10914')"
"('P23921', 'P56537')"
"('Q9Y3U8', 'P62633')"
"('P62750', 'Q96BK5')"
"('P48436', 'O43623')"
"('P13232', 'P26992')"
"('O14867', 'Q92547')"
"('Q15262', 'P10912')"
"('O75365', 'Q14558')"
"('Q9C005', 'Q9P0U4')"
"('Q9Y4H2', 'O00459')"
"('Q9Y5X3', 'Q9UBS4')"
"('P16104', 'P23528')"
"('P09429', 'P04637')"
"('P19174', 'P63098')"
"('Q14012', 'P29474')"
"('P19875', 'P61073')"
"('P35442', 'Q05397')"
"('P04222', 'P61769')"
"('Q9BQ66', 'Q9NRT5')"
"('Q9Y3M8', 'Q96CG3')"
"('Q99598', 'Q14164')"
"('Q5T9A4', 'Q9H9G7')"
"('Q99962', 'Q13444')"
"('Q969M7', 'P29597')"
"('Q6P2C8', 'P10827')"
"('P16220', 'Q96AQ7')"
"('Q8IWV1', 'O00459')"
"('Q9UQ80', 'P62913')"
"('P01106', 'Q01085')"
"('P57060', 'Q9UMR2')"
"('Q92765', 'Q9UKW6')"
"('Q15149', 'Q13191')"
"('P02794', 'Q8IWV7')"
"('P21580', 'P63104')"
"('Q04206', 'P01584')"
"('Q92765', 'Q9H1J7')"
"('O60260', 'Q15645')"
"('Q99962', 'Q13191')"
"('P31947', 'Q9P0L2')"
"('Q13426', 'Q96T60')"
"('P21333', 'P49286')"
"('Q99750', 'O75427')"
"('P35626', 'Q8NG78')"
"('Q9UK08', 'Q01668')"
"('Q99836', 'P10914')"
"('P01889', 'P99999')"
"('Q15323', 'P78545')"
"('P02708', 'Q02556')"
"('P16157', 'Q14643')"
"('P33993', 'P01106')"
"('P60953', 'Q9H8S9')"
"('P52630', 'O60244')"
"('P01106', 'Q7L8W6')"
"('Q9NW38', 'Q9BXW9')"
"('P38398', 'Q16236')"
"('P22674', 'P15927')"
"('Q9UL03', 'Q6ZVL6')"
"('P51149', 'Q14204')"
"('Q9UKV8', 'P62269')"
"('O75038', 'O94806')"
"('P36542', 'Q00013')"
"('P10276', 'Q96F24')"
"('O14511', 'Q15303')"
"('P01579', 'P42701')"
