negatives
"('Q9HD36', 'Q07812')"
"('P15408', 'P32519')"
"('Q9UKV8', 'P67809')"
"('P05106', 'O75578')"
"('Q8TEW0', 'O60739')"
"('Q14894', 'Q16543')"
"('P11387', 'Q15717')"
"('Q9UKX7', 'Q96EE3')"
"('O00626', 'P32302')"
"('Q9UBN6', 'Q13310')"
"('P32456', 'P18146')"
"('O60477', 'Q92484')"
"('Q9NY93', 'P82930')"
"('O15524', 'P10914')"
"('P61599', 'Q14164')"
"('Q01130', 'Q07955')"
"('Q96KM6', 'Q9NRG4')"
"('P84098', 'P62906')"
"('P55036', 'O95613')"
"('P01871', 'P04183')"
"('Q9NTN9', 'Q15645')"
"('P05067', 'Q02410')"
"('Q9NPD8', 'O60291')"
"('Q15466', 'Q13133')"
"('Q14186', 'Q15329')"
"('Q09161', 'Q12983')"
"('P55036', 'Q9Y5K5')"
"('P17405', 'P55055')"
"('P36897', 'O75807')"
"('P58107', 'P29353')"
"('O43187', 'Q99558')"
"('P13611', 'P14151')"
"('P60953', 'Q99683')"
"('O43677', 'O95168')"
"('P01106', 'O14981')"
"('O94776', 'Q9UKV8')"
"('P62826', 'O94829')"
"('O00222', 'P59768')"
"('Q92831', 'Q16665')"
"('O00217', 'P17568')"
"('O95819', 'P07437')"
"('Q9C0E2', 'Q9Y2Q3')"
"('P62854', 'O15479')"
"('O14727', 'Q9C000')"
"('P51681', 'P32121')"
"('Q9UGJ0', 'P13807')"
"('Q9Y6K1', 'O75530')"
"('Q9Y4K3', 'Q02543')"
"('Q05655', 'P08047')"
"('P05129', 'Q07157')"
"('Q6P2Q9', 'O75934')"
"('P49366', 'P32969')"
"('Q15256', 'P45983')"
"('Q13158', 'Q13490')"
"('P60953', 'Q86VI3')"
"('P50406', 'P38405')"
"('P18146', 'Q14774')"
"('Q08211', 'P52756')"
"('Q96RL1', 'Q99728')"
"('Q09472', 'Q00403')"
"('Q96ST3', 'P19793')"
"('P14616', 'O00459')"
"('P31749', 'O60343')"
"('Q86XI2', 'P01106')"
"('Q9UGI8', 'Q8N8S7')"
"('P26368', 'Q86XP3')"
"('O43474', 'P18146')"
"('O76094', 'P30480')"
"('P20908', 'Q05397')"
"('Q8N205', 'P49841')"
"('P05231', 'Q9HC73')"
"('Q05397', 'P19438')"
"('P27797', 'P16298')"
"('P26641', 'O95544')"
"('P13164', 'P51532')"
"('P0C5Y9', 'O15379')"
"('Q9Y4K3', 'P36543')"
"('P06241', 'P12931')"
"('Q8NEM0', 'P51587')"
"('Q14164', 'P41250')"
"('Q9H1R3', 'Q9Y375')"
"('P53618', 'P48444')"
"('P52735', 'Q7Z6E9')"
"('P08962', 'Q92574')"
"('P16298', 'P63098')"
"('Q9UGN5', 'Q96B96')"
"('P08572', 'P08648')"
"('O00762', 'P51668')"
"('Q9UNX3', 'P62899')"
"('P10914', 'Q8IU54')"
"('P23258', 'P68363')"
"('P15884', 'Q96I15')"
"('Q9BTT4', 'P41235')"
"('Q9HC98', 'Q86Y56')"
"('P51812', 'P49815')"
"('Q07890', 'O00471')"
"('P59768', 'Q8WYR1')"
"('P49458', 'P62993')"
"('Q16401', 'Q16186')"
"('Q9NXX6', 'Q96MF7')"
"('P46379', 'Q9Y5V3')"
"('Q96LR5', 'Q9Y3C5')"
"('P19174', 'P31749')"
"('Q7L7L0', 'P62807')"
"('Q9NRR8', 'P60953')"
"('Q15796', 'P26368')"
"('Q8IWI9', 'Q15797')"
"('Q04206', 'Q9BVA1')"
"('Q9UBD5', 'Q99459')"
"('Q00403', 'Q92793')"
"('P36544', 'O43306')"
"('P98177', 'P84022')"
"('Q9Y6K9', 'P01857')"
"('Q8WYR1', 'P16885')"
"('P11831', 'P17947')"
"('Q9Y2H0', 'P06241')"
"('P41220', 'Q86VF5')"
"('Q96NZ8', 'P12644')"
"('P54274', 'P15531')"
"('Q13253', 'Q7Z5Y6')"
"('P02766', 'P02787')"
"('P16220', 'Q8N5Y2')"
"('P17655', 'Q15078')"
"('Q9NRL3', 'P23508')"
"('P52732', 'Q5VVJ2')"
"('Q12874', 'Q13573')"
"('Q9BXK5', 'P60520')"
"('P32121', 'Q15617')"
"('Q16778', 'P0C5Z0')"
"('O76061', 'P21246')"
"('P60981', 'Q96BK5')"
"('Q9UL51', 'Q9H2G2')"
"('P16333', 'Q13191')"
"('P11177', 'P01243')"
"('P33176', 'O75815')"
"('Q9NPD3', 'P14550')"
"('Q15111', 'O14764')"
"('P32121', 'Q8NH60')"
"('P35225', 'P40189')"
"('Q15024', 'Q8WVN8')"
"('P31751', 'Q9UKX3')"
"('Q9Y5X1', 'Q6UW56')"
"('Q13569', 'P27695')"
"('P01106', 'O43586')"
"('100302193', 'Q9H9Z2')"
"('Q14686', 'Q96S59')"
"('Q13393', 'Q15382')"
"('Q9BVA1', 'P68363')"
"('Q8WUH2', 'Q9P2Y5')"
"('Q68CP9', 'Q12824')"
"('P04049', 'Q969H4')"
"('Q8IZ69', 'P20936')"
"('P20700', 'P06493')"
"('Q9UKK6', 'Q9Y478')"
"('O00175', 'P51681')"
"('Q9NQH7', 'P20333')"
"('Q8IV45', 'Q9NWZ3')"
"('P15248', 'P42229')"
"('O43524', 'Q8IXJ6')"
"('O14526', 'Q9HCE7')"
"('Q8N2W9', 'P42858')"
"('Q969W0', 'Q13509')"
"('Q14164', 'Q92769')"
"('Q96RS0', 'O14980')"
"('Q96IZ7', 'P68104')"
"('Q05397', 'P63000')"
"('Q7KZF4', 'Q6P2Q9')"
"('P04844', 'Q9UKE5')"
"('P22301', 'Q13568')"
"('P31943', 'P50616')"
"('P22681', 'Q9Y6Q6')"
"('P35080', 'P49771')"
"('P30304', 'Q00534')"
"('P63165', 'Q00653')"
"('Q8N264', 'P15153')"
"('P28482', 'Q99941')"
"('P35626', 'Q8NH79')"
"('P80075', 'P49682')"
"('P27707', 'Q8NBJ4')"
"('P02743', 'P11226')"
"('Q13557', 'O95644')"
"('Q9BQ66', 'O60858')"
"('P51965', 'Q9UII4')"
"('Q15759', 'P30153')"
"('Q13188', 'Q9NRM7')"
"('Q13247', 'Q92620')"
"('O95813', 'O00755')"
"('Q9H1C4', 'Q8TCT9')"
"('O43752', 'P51809')"
"('Q13555', 'Q8WXS5')"
"('Q99459', 'Q7Z460')"
"('Q7Z7A3', 'Q2VPK5')"
"('Q06609', 'P54132')"
"('O95433', 'O15085')"
"('Q8WX93', 'O94875')"
"('Q676U5', 'Q7Z6L1')"
"('P13765', 'P01730')"
"('P41182', 'Q9H9B1')"
"('Q9Y2Q3', 'Q8TEX9')"
"('P62249', 'P62851')"
"('P47929', 'Q5MNZ9')"
"('P56746', 'P57739')"
"('Q9NQC1', 'Q9BY11')"
"('O75044', 'Q96L33')"
"('Q96E14', 'P54132')"
"('Q13315', 'Q5VVJ2')"
"('Q13237', 'Q12791')"
"('P49407', 'P32298')"
"('Q14164', 'P25963')"
"('Q9UER7', 'Q01201')"
"('Q04206', 'P61353')"
"('Q05516', 'P15976')"
"('Q8N5R6', 'Q7Z6G3')"
"('Q08117', 'Q02543')"
"('P46379', 'P33240')"
"('O14744', 'Q9BQA1')"
"('P30086', 'P30480')"
"('P01106', 'O96019')"
"('P35226', 'Q9P2H0')"
"('O75369', 'P26010')"
"('P15408', 'P05412')"
"('O43299', 'Q99750')"
"('Q96B97', 'Q13077')"
"('Q8TD86', 'Q93100')"
"('O14544', 'P78552')"
"('P17787', 'P43681')"
"('Q9UHD9', 'Q9NRR5')"
"('Q9BTY7', 'Q14181')"
"('Q13480', 'P20936')"
"('Q8N726', 'P04198')"
"('P01709', 'P01857')"
"('P06239', 'P0CG48')"
"('P22301', 'P42702')"
"('Q15843', 'Q9Y297')"
"('Q71U36', 'P45973')"
"('P49841', 'P63104')"
"('P42261', 'Q12840')"
"('P04637', 'P08047')"
"('P35542', '119369')"
"('P19438', 'P53675')"
"('Q99619', 'Q93034')"
"('Q96B33', 'P57739')"
"('P07814', 'Q99558')"
"('P23759', 'P12931')"
"('O43913', 'Q99459')"
"('Q15139', 'P05556')"
"('Q16873', 'P20292')"
"('O00182', 'P05155')"
"('P53350', 'O43663')"
"('P23588', 'Q15418')"
"('P30050', 'P35268')"
"('Q9UKN7', 'Q12929')"
"('P10275', 'Q13888')"
"('Q13573', 'P52292')"
"('P36406', 'P15622')"
"('P60842', 'P78344')"
"('Q01955', 'P08648')"
"('O43353', 'P22061')"
"('P06241', 'Q9UL51')"
"('Q8IZ83', 'Q9BRP4')"
"('Q14164', 'P05814')"
"('O14640', 'P32121')"
"('Q01094', 'Q99683')"
"('O95376', 'Q92993')"
"('C9JDP6', 'O75970')"
"('Q86W42', 'Q8NI27')"
"('P12111', 'P18084')"
"('P43364', 'Q9BQP7')"
"('Q16655', 'Q96J02')"
"('P17693', 'P01891')"
"('A5YKK6', 'P61421')"
"('Q6P2C8', 'P10828')"
"('P42830', 'P22894')"
"('Q8WW43', 'Q99466')"
"('P43116', 'Q5JWF2')"
"('P02775', 'Q9NRL3')"
"('Q7L576', 'Q9NYB9')"
"('P01106', 'Q9UL63')"
"('Q99816', 'Q9UK41')"
"('Q9UGN5', 'A1KXE4')"
"('P61224', 'P04049')"
"('P08514', 'P02679')"
"('O95049', 'O00501')"
"('Q9UGK3', 'P51692')"
"('Q9UGJ1', 'Q9H853')"
"('Q9UBF8', 'Q9H3P7')"
"('Q99683', 'P27348')"
"('P35626', 'A6NND4')"
"('O43914', 'Q9NP99')"
"('P26010', 'Q7Z6G8')"
"('P01889', 'P43307')"
"('O00303', 'P60228')"
"('P63104', 'Q12802')"
"('P10809', 'Q00005')"
"('P30260', 'P00519')"
"('Q8N448', 'Q9H832')"
"('P16871', 'P27797')"
"('Q07889', 'P19419')"
"('P17931', 'O00182')"
"('Q9C0C9', 'Q8N5U6')"
"('O14910', 'Q9UQB8')"
"('P00742', 'O14880')"
"('Q9Y4A5', 'Q16594')"
"('Q9UQL6', 'O75367')"
"('P19174', 'Q9UM73')"
"('Q8NBS9', 'Q13162')"
"('P04435', 'P09693')"
"('Q14194', 'O75582')"
"('P40222', 'Q9UHD2')"
"('P10828', 'Q92793')"
"('Q9UQ80', 'P01889')"
"('O43295', 'Q9UKE5')"
"('O95352', 'Q9H1Y0')"
"('P28562', 'Q9NVI1')"
"('P16104', 'O95831')"
"('O60260', 'Q9Y6K9')"
"('Q7L7X3', 'P49674')"
"('Q9NZQ3', 'Q99469')"
"('Q05519', 'Q08170')"
"('Q02410', 'P49768')"
"('P42166', 'P62258')"
"('Q92844', 'P04264')"
"('P04141', 'Q04864')"
"('Q9H832', 'P06858')"
"('Q04206', 'Q969V6')"
"('Q01844', 'Q9Y676')"
"('P53671', 'Q9Y281')"
"('Q02556', 'P02708')"
"('Q13424', 'Q96G25')"
"('O00238', 'O15105')"
"('Q9Y3U8', 'P62906')"
"('O00567', 'A0JLT2')"
"('Q8NH09', 'P38405')"
"('Q9BTP7', 'A8MT69')"
"('Q15691', 'Q13586')"
"('O15162', 'Q9UBP5')"
"('O43293', 'P10275')"
"('Q13753', 'Q16787')"
"('P16152', 'P62993')"
"('Q99459', 'P04406')"
"('P49286', 'P50150')"
"('O43913', 'P33992')"
"('Q9BT40', 'Q8TBB1')"
"('P04350', 'Q99759')"
"('P56645', 'P35711')"
"('Q9NTJ3', 'Q9BPX3')"
"('Q9NV31', 'Q9NZQ3')"
"('Q9NVI1', 'Q9BXW9')"
"('Q13555', 'Q9NZT1')"
"('O60353', 'O14640')"
"('Q15714', 'Q9Y4W2')"
"('P01106', 'P49795')"
"('Q9H4D5', 'Q9H1J1')"
"('P14618', 'P20073')"
"('P29692', 'Q6WCQ1')"
"('P53779', 'Q16600')"
"('P13569', 'P16615')"
"('P35372', 'O14610')"
"('P04156', 'Q07812')"
"('Q9UIE0', 'Q9GZM8')"
"('O95685', 'P41236')"
"('Q8N6Y0', 'Q9NTK1')"
"('P38398', 'Q13085')"
"('P31946', 'P30305')"
"('P35326', 'P00519')"
"('Q5JY77', 'O43193')"
"('Q9UPN9', 'P51532')"
"('Q14194', 'Q96SN8')"
"('O95484', 'P56747')"
"('P23470', 'Q15118')"
"('Q13349', 'P12931')"
"('P01876', 'Q96JB5')"
"('P25445', 'Q9UER7')"
"('Q01105', 'Q15572')"
"('Q9NX47', 'O95140')"
"('P32121', 'Q8NGB6')"
"('P13987', 'P02748')"
"('Q05639', 'P20333')"
"('P27361', 'Q53H76')"
"('Q9H7J1', 'Q16816')"
"('Q5UIP0', 'Q15669')"
"('O75688', 'P27448')"
"('Q06330', 'P48544')"
"('Q99935', 'P36915')"
"('Q9P212', 'Q14571')"
"('P15498', 'O15111')"
"('P00533', 'P11279')"
"('Q9NXR7', 'P38398')"
"('Q8TAK5', 'P20702')"
"('P01106', 'Q96BZ4')"
"('Q14790', 'P48023')"
"('Q8IYD8', 'O95985')"
"('Q9UJX6', 'P14635')"
"('Q12772', 'O75925')"
"('Q9H334', 'P38936')"
"('Q33E94', 'P48380')"
"('P62277', 'P46781')"
"('Q8TEQ6', 'P14678')"
"('P11142', 'P14625')"
"('P35968', 'P42338')"
"('Q9UBQ5', 'Q14240')"
"('Q9UJX2', 'P33992')"
"('Q06413', 'Q99814')"
"('P08571', 'Q12841')"
"('P01243', 'P58876')"
"('P01889', 'Q12931')"
"('Q16254', 'O60825')"
"('Q9NX70', 'P30876')"
"('P35658', 'Q8TEM1')"
"('Q16665', 'Q99967')"
"('P25054', 'P13646')"
"('Q15714', 'Q86Y56')"
"('P61981', 'P61326')"
"('Q9UGJ0', 'P04035')"
"('O75396', 'Q9P2W9')"
"('Q6PL18', 'P01106')"
"('P07858', 'P02760')"
"('Q9Y265', 'Q96AV8')"
"('O60739', 'Q09028')"
"('P62330', 'P62273')"
"('P51817', 'P50151')"
"('P17844', 'Q9Y572')"
"('P05556', 'Q9Y6C2')"
"('Q9H0R8', 'Q9Y4P1')"
"('P26232', 'P31946')"
"('P52952', 'Q92833')"
"('Q9H257', 'P45983')"
"('Q8N682', 'Q16254')"
"('Q04771', 'P62987')"
"('Q04864', 'P05231')"
"('P55884', 'Q9UBQ5')"
"('Q01130', 'O60508')"
"('P26038', 'P63261')"
"('O75030', 'P63279')"
"('P62324', 'P12956')"
"('P05129', 'Q68DD2')"
"('Q969H0', 'Q15041')"
"('Q05066', 'P10275')"
"('Q6UN15', 'Q9C0J8')"
"('P04899', 'O00555')"
"('Q16625', 'O95832')"
"('P51449', 'Q14686')"
"('P0CG48', 'P63104')"
"('P08253', 'O95832')"
"('P05231', 'P42702')"
"('P07900', 'P53041')"
"('P25205', 'P01889')"
"('Q8WUI4', 'O75367')"
"('Q15942', 'Q9UKW4')"
"('P57088', 'Q9Y5J5')"
"('Q96EY4', 'Q9NX58')"
"('Q13547', 'P23769')"
"('Q9GZM7', 'P07384')"
"('Q13751', 'Q16610')"
"('P52435', 'Q8WVC0')"
"('Q7Z5H3', 'Q8IXI1')"
"('Q99683', 'P45985')"
"('Q13136', 'P30153')"
"('P08238', 'Q9H5J8')"
"('P38398', 'P84022')"
"('P51617', 'P40763')"
"('Q04864', 'P01584')"
"('P07900', 'Q15750')"
"('P52735', 'Q13573')"
"('Q7L2H7', 'P22392')"
"('P12931', 'Q8IZL8')"
"('P13569', 'P14859')"
"('O00267', 'O95405')"
"('Q12933', 'Q05516')"
"('Q13574', 'P28749')"
"('P04439', 'P61769')"
"('Q13217', 'P11142')"
"('Q9H0T7', 'Q04771')"
"('Q8WUY3', 'Q96D15')"
"('Q00005', 'P68363')"
"('Q9NPI6', 'O95777')"
"('26765', 'Q09472')"
"('O60566', 'O95229')"
"('Q9HBY8', 'P20823')"
"('Q9BTM1', 'Q92769')"
"('P38398', 'P78396')"
"('Q9Y5K5', 'P25786')"
"('Q07812', 'O95831')"
"('P78368', 'P18846')"
"('Q9BV47', 'Q14683')"
"('Q86WV6', 'Q8NE01')"
"('Q9UHD2', 'P26373')"
"('Q05519', 'Q16629')"
"('Q7L5D6', 'P04632')"
"('Q9UJY5', 'Q9UMZ2')"
"('P11047', 'P53708')"
"('Q96KG7', 'O43301')"
"('Q96J02', 'P17948')"
"('O95715', 'P32246')"
"('P54253', 'P47813')"
"('Q9Y6X6', 'P58400')"
"('P06400', 'P29374')"
"('P56199', 'Q9Y490')"
"('O95402', 'Q9BQ39')"
"('Q8N4F4', 'Q01844')"
"('O15239', 'Q9UI09')"
"('Q08881', 'Q13283')"
"('Q99836', 'P34931')"
"('P42768', 'Q12913')"
"('P0CG48', 'Q93008')"
"('Q92844', 'O96018')"
"('O15230', 'P11047')"
"('A0JLT2', 'P02545')"
"('P01106', 'Q9NYK5')"
"('P11387', 'P22626')"
"('Q13233', 'P04049')"
"('P12236', 'O15162')"
"('P60568', 'Q6UXL0')"
"('Q8TAT6', 'Q92890')"
"('Q9Y3B4', 'Q9H9G7')"
"('P10721', 'Q9NR46')"
"('Q9Y6W6', 'P28482')"
"('Q9UET6', 'Q12874')"
"('P55085', 'P50148')"
"('P47869', 'P60520')"
"('P16949', 'P11142')"
"('Q9BPX5', 'Q07889')"
"('Q13485', 'P02751')"
"('Q96BK5', 'Q9NW61')"
"('Q07157', 'Q9GZV5')"
"('P61981', 'P38646')"
"('P62280', 'O60739')"
"('Q15819', 'Q5UIP0')"
"('P62424', 'P61254')"
"('407007', 'P10721')"
"('P10914', 'P05161')"
"('Q9UKK9', 'O95989')"
"('P62993', 'Q96GM5')"
"('P23284', 'Q14653')"
"('P08519', 'Q9UBX5')"
"('P09471', 'Q92569')"
"('Q9Y6K9', 'Q9Y6Q9')"
"('Q13233', 'Q9Y463')"
"('Q9HAU4', 'Q9NYN1')"
"('P62244', 'P62854')"
"('P78509', 'P05556')"
"('Q7Z2E3', 'Q9UID6')"
"('Q15645', 'Q13228')"
"('P51668', 'Q6UVK1')"
"('Q15466', 'Q13547')"
"('Q99459', 'P48643')"
"('P62258', 'P30305')"
"('Q13158', 'Q8N488')"
"('O00294', 'Q9H2G2')"
"('Q14766', 'P49716')"
"('Q16236', 'P48507')"
"('P63151', 'Q13698')"
"('P15336', 'P67870')"
"('P0CG48', 'P12931')"
"('Q9UL45', 'Q9Y3C0')"
"('P07947', 'P10721')"
"('P23511', 'Q13952')"
"('Q9UBW8', 'Q5VTR2')"
"('P06681', 'P0C0L5')"
"('Q86WN2', 'Q13261')"
"('Q9BXM0', 'O95433')"
"('P19174', 'P00519')"
"('P16144', 'P23229')"
"('Q93079', 'Q9P0U4')"
"('P18669', 'O15264')"
"('Q86YC2', 'Q9BX63')"
"('P31946', 'Q6PKG0')"
"('Q7L590', 'P30281')"
"('O43237', 'Q9BQE3')"
"('Q92901', 'P36578')"
"('Q99728', 'Q6UWZ7')"
"('Q9HCU5', 'P36897')"
"('Q8NDT2', 'O00487')"
"('Q9Y5J5', 'Q14739')"
"('Q13315', 'Q15075')"
"('Q9Y575', 'Q15369')"
"('P35222', 'P14923')"
"('P51911', 'P62158')"
"('P49715', 'P08571')"
"('O96013', 'Q86YV6')"
"('O95167', 'P03891')"
"('O60506', 'P18206')"
"('P62879', 'P63092')"
"('Q09472', 'Q9Y230')"
"('Q9NSI5', 'Q07157')"
"('P27348', 'O15151')"
"('P14324', 'P01112')"
"('Q13315', 'P23497')"
"('P62714', 'P11233')"
"('P30480', 'P11940')"
"('P16144', 'P48736')"
"('Q9Y6N9', 'Q8N6Y0')"
"('O95989', 'Q8WXK3')"
"('O60739', 'Q14152')"
"('P11021', 'P21281')"
"('O14867', 'P38398')"
"('P35221', 'P62258')"
"('P49796', 'P04899')"
"('P63220', 'P62249')"
"('O00716', 'Q01094')"
"('Q9BZF9', 'O00221')"
"('P98082', 'P12931')"
"('Q9UKX5', 'P56945')"
"('Q15800', 'P54253')"
"('P0CG48', 'P05412')"
"('O43508', 'Q8N302')"
"('P53350', 'P49720')"
"('P24863', 'Q9BTT4')"
"('Q9NY65', 'Q9Y6K9')"
"('P19784', 'Q9UKI9')"
"('Q03167', 'P01137')"
"('P06748', 'P19338')"
"('P18146', 'P28562')"
"('P01236', 'P31785')"
"('Q05516', 'P84022')"
"('P13612', 'P49023')"
"('O14965', 'P30305')"
"('Q9HBJ7', 'P04637')"
"('Q15370', 'Q15714')"
"('P07948', 'P14770')"
"('Q14683', 'O95400')"
"('P62937', 'P46939')"
"('P11464', 'Q9BVJ6')"
"('P25705', 'Q04206')"
"('Q9P2S5', 'Q6P2I7')"
"('P68400', 'O15379')"
"('P16333', 'Q8WX92')"
"('Q99570', 'Q9NX18')"
"('P12956', 'P45983')"
"('Q92598', 'P52735')"
"('Q16637', 'Q06323')"
"('Q16584', 'Q9UPT6')"
"('Q9H8G2', 'O95251')"
"('P16333', 'P41970')"
"('P26441', 'Q13261')"
"('P19878', 'Q15080')"
"('Q9Y4G6', 'P23229')"
"('P05154', 'Q7L5N1')"
"('Q9Y243', 'P62136')"
"('P98170', 'P83105')"
"('P78362', 'P31946')"
"('O60331', 'P33151')"
"('P04637', 'Q6SJ96')"
"('Q9Y3Q8', 'Q8N5R6')"
"('O95049', 'A6NM45')"
"('P62491', 'P13569')"
"('P28328', 'Q92541')"
"('P51671', 'P13500')"
"('P30153', 'Q00005')"
"('Q9NRH3', 'O76071')"
"('P05787', 'O75190')"
"('Q9BYM8', 'P05060')"
"('Q14683', 'O60216')"
"('P34947', 'P32248')"
"('Q00610', 'Q9H0R8')"
"('P07948', 'Q14289')"
"('Q02548', 'Q15116')"
"('Q9NQU5', 'Q14155')"
"('Q9ULV8', 'P42338')"
"('Q9Y5X4', 'P28749')"
"('P63279', 'P46937')"
"('Q9UKE5', 'P62158')"
"('Q10567', 'P13569')"
"('Q86Y56', 'O00422')"
"('Q13404', 'Q13049')"
"('Q13418', 'Q86Y56')"
"('Q8TB24', 'O00499')"
"('Q13241', 'Q07444')"
"('Q13428', 'P11387')"
"('Q92754', 'P04637')"
"('P55884', 'Q7L2H7')"
"('Q9P2S5', 'Q9BT78')"
"('Q9H5J8', 'P54257')"
"('Q96PU5', 'P22607')"
"('Q9UJ70', 'Q8IU60')"
"('Q9Y6K1', 'P26358')"
"('Q5M775', 'P62993')"
"('P30101', 'Q03518')"
"('Q9Y261', 'P56915')"
"('P08631', 'Q9H204')"
"('Q9NSB8', 'Q16643')"
"('O43586', 'Q15058')"
"('P61769', 'P30460')"
"('Q13573', 'Q9HAU5')"
"('O95721', 'P46459')"
"('Q5TCY1', 'Q9H583')"
"('Q06643', 'P36941')"
"('Q96S96', 'Q02750')"
"('P60903', 'P07858')"
"('Q92597', 'P04271')"
"('O95819', 'P63261')"
"('Q16671', 'Q04771')"
"('P17405', 'P18146')"
"('Q9Y295', 'P30480')"
"('P34947', 'P51684')"
"('Q9UKJ1', 'P24071')"
"('Q13131', 'P14672')"
"('Q504Q3', 'P04406')"
"('O14519', 'O75956')"
"('P25205', 'O76071')"
"('Q8WWR8', 'Q93062')"
"('P09919', 'P42702')"
"('P22694', 'O00305')"
"('P02647', 'Q9C000')"
"('Q13642', 'P11831')"
"('Q09028', 'Q9Y5X4')"
"('Q8TD86', 'P29474')"
"('P19387', 'P52434')"
"('Q9P227', 'Q92730')"
"('Q6UXH1', 'P48304')"
"('O75369', 'P27986')"
"('Q12792', 'P23528')"
"('Q14134', 'P49841')"
"('P62906', 'P62917')"
"('P35222', 'Q13308')"
"('Q13535', 'Q8N5P1')"
"('P48729', 'P27348')"
"('P48729', 'Q04917')"
"('Q15287', 'Q13243')"
"('Q9H1I8', 'P29692')"
"('Q9H3P7', 'Q9HAU4')"
"('Q9H160', 'Q9H7L9')"
"('P46109', 'P42229')"
"('Q96BI3', 'Q9UM47')"
"('Q15528', 'Q9P086')"
"('Q99496', 'Q96LR5')"
"('P61981', 'P63104')"
"('P61077', 'P01889')"
"('P16333', 'Q8TEW0')"
"('Q9HC98', 'Q5JVF3')"
"('P32969', 'Q02878')"
"('O75914', 'O14733')"
"('P01106', 'O00762')"
"('Q8N2Z9', 'Q9NPD8')"
"('P62993', 'P62280')"
"('P46779', 'P61077')"
"('O00499', 'Q14192')"
"('Q15311', 'P78556')"
"('P14210', 'P08069')"
"('Q05397', 'P54792')"
"('P13727', 'P17947')"
"('P62841', 'P62266')"
"('P62937', 'P14209')"
"('Q9HAU4', 'Q96D21')"
"('Q12996', 'Q13573')"
"('Q9Y6I3', 'P00533')"
"('Q9UL03', 'O94817')"
"('O95197', 'O75815')"
"('P08651', 'Q13573')"
"('Q9C0I4', 'Q6VN20')"
"('Q9C005', 'Q9P0U4')"
"('O75529', 'P02766')"
"('Q15819', 'Q8IUQ4')"
"('P04264', 'P19438')"
"('P04637', 'Q13190')"
"('P04899', 'P14598')"
"('P18564', 'Q05397')"
"('Q13200', 'Q9UNM6')"
"('O14980', 'O15504')"
"('Q9UHC7', 'Q96B02')"
"('P61244', 'Q9Y6K1')"
"('Q16514', 'O75528')"
"('P05015', 'P26992')"
"('P05129', 'O94806')"
"('P07237', 'Q9H1Y0')"
"('Q9BXL7', 'Q92918')"
"('Q14511', 'Q9UM11')"
"('P15170', 'P13639')"
"('P12814', 'Q96RT1')"
"('Q9BTA9', 'Q9NRR5')"
"('P12980', 'P0CL85')"
"('Q96BD5', 'P84243')"
"('O94762', 'O15514')"
"('Q9H0E9', 'Q15906')"
"('Q9C005', 'P58876')"
"('Q6SZW1', 'O43187')"
"('P07332', 'P29084')"
"('P36956', 'P30613')"
"('Q6P4R8', 'O96019')"
"('Q9Y6D9', 'Q99459')"
"('P19793', 'O15379')"
"('Q9P2H0', 'Q6P1K2')"
"('P36873', 'P62158')"
"('Q8IU60', 'Q14181')"
"('Q8N1I0', 'Q07889')"
"('P32455', 'P42224')"
"('Q9BPY3', 'Q8IXL6')"
"('P18077', 'P62993')"
"('Q92989', 'Q16630')"
"('Q9H0E9', 'Q9Y230')"
"('Q03164', 'Q01201')"
"('Q9H9A7', 'Q96E14')"
"('Q96JB5', 'Q9NRI5')"
"('P62330', 'P32121')"
"('P03905', 'O43676')"
"('Q14790', 'Q9NWB7')"
"('Q8IZL8', 'Q9NXF1')"
"('Q9H583', 'O75365')"
"('P13693', 'Q14164')"
"('P51948', 'P13631')"
"('Q12799', 'Q9NPB6')"
"('P37235', 'P36897')"
"('P18146', 'P15516')"
"('Q9Y6K9', 'Q00653')"
"('Q96A49', 'Q16891')"
"('P19438', 'P27708')"
"('P50542', 'O95149')"
"('P18146', 'Q00796')"
"('P62195', 'Q9UBB9')"
"('P51817', 'P27361')"
"('Q9Y312', 'P36382')"
"('406952', 'P40763')"
"('P21246', 'P49841')"
"('P50552', 'P23229')"
"('Q86U86', 'Q92925')"
"('Q99459', 'O75821')"
"('407012', 'P36896')"
"('Q92769', 'P25963')"
"('O43320', 'P35916')"
"('P16112', 'P98095')"
"('Q13263', 'Q07812')"
"('Q15759', 'P19838')"
"('P40429', 'P32969')"
"('P29459', 'P08047')"
"('P98175', 'P17844')"
"('Q15759', 'Q14765')"
"('Q969F0', 'Q8N6Y0')"
"('O43261', 'P04637')"
"('P62249', 'P62277')"
"('O15169', 'P51681')"
"('P19838', 'Q9NYJ8')"
"('O15116', 'P08243')"
"('Q9NPF7', 'Q8IU57')"
"('P07766', 'O43639')"
"('P62873', 'P84996')"
"('Q9Y4K3', 'P10768')"
"('P49336', 'Q92585')"
"('Q8IY92', 'O75694')"
"('P09012', 'O15355')"
"('Q9UBQ5', 'O00303')"
"('P11802', 'O96020')"
"('P12931', 'P31946')"
"('Q8IY92', 'Q96D46')"
"('Q9H0B6', 'Q13155')"
"('O00329', 'Q13733')"
"('P62304', 'P62308')"
"('P52803', 'P35916')"
"('P13725', 'P40189')"
"('P25940', 'Q13797')"
"('Q01892', 'P15884')"
"('Q9NQT4', 'Q9Y5X9')"
"('Q15399', 'P14625')"
"('Q99750', 'Q9BUY5')"
