negatives
"('Q8IZE3', 'Q86X19')"
"('A8K8V0', 'Q15654')"
"('Q53GS9', 'P02751')"
"('P25788', 'O75815')"
"('Q99816', 'Q16891')"
"('Q63HK5', 'P61289')"
"('Q14457', 'P11234')"
"('P25098', 'P51684')"
"('P12277', 'P54274')"
"('Q8TBA6', 'P0C1Z6')"
"('Q02750', 'Q9UHK0')"
"('Q9H477', 'Q8N4Q0')"
"('Q07617', 'Q8WY36')"
"('Q969V6', 'Q2KHM9')"
"('P49590', 'Q8IWL3')"
"('P10301', 'Q8NFB2')"
"('Q6AI12', 'Q96CW5')"
"('Q13616', 'Q15796')"
"('O43390', 'Q9NZC7')"
"('P29401', 'P04406')"
"('P23560', 'P06213')"
"('O60281', 'O43463')"
"('Q9BVC6', 'Q9NZC3')"
"('O94805', 'Q92925')"
"('Q96MF7', 'Q92544')"
"('Q9UL17', 'Q09472')"
"('Q8TAP6', 'Q9BYN8')"
"('Q9BPX1', 'P29372')"
"('Q6PID6', 'Q8TBJ4')"
"('Q92754', 'Q99832')"
"('P01298', 'P01889')"
"('P28702', 'P40222')"
"('Q9BYD3', 'P62917')"
"('Q92504', 'Q5TA78')"
"('Q9Y575', 'Q9Y2W1')"
"('P43355', 'Q8IWZ3')"
"('P13929', 'P33316')"
"('Q9Y6K9', 'P38936')"
"('Q13627', 'P33778')"
"('O95573', 'Q9NRC8')"
"('O60231', 'Q5JSH3')"
"('P49901', 'Q9BYR5')"
"('P43243', 'P26599')"
"('P08709', 'Q9BV73')"
"('Q99973', 'Q14764')"
"('Q96EQ0', 'P07949')"
"('P83731', 'P11441')"
"('Q12929', 'Q00653')"
"('P02511', 'P05067')"
"('P53350', 'Q8IXK0')"
"('Q13191', 'Q13905')"
"('P62277', 'P36873')"
"('O43676', 'P56556')"
"('P04183', 'Q8NBE8')"
"('Q13573', 'P14635')"
"('Q8TCD1', 'O95166')"
"('Q99497', 'P00441')"
"('Q8NG81', 'P62873')"
"('Q8N5N7', 'Q9NVS2')"
"('Q8TF42', 'P02538')"
"('O95299', 'O95298')"
"('Q09472', 'P46937')"
"('P51784', 'Q99550')"
"('Q9BUZ4', 'A6NEM1')"
"('Q6NUN9', 'P39023')"
"('Q9NPI8', 'O75626')"
"('Q7L0Y3', 'Q9NWT6')"
"('Q12996', 'P09651')"
"('Q96T60', 'Q13428')"
"('O75604', 'Q16763')"
"('Q96EK4', 'Q5R372')"
"('P15927', 'Q02878')"
"('O43852', 'Q8N766')"
"('Q96D03', 'P55273')"
"('P62847', 'Q8NHW5')"
"('P36952', 'P00813')"
"('P07900', 'P19338')"
"('Q96AV8', 'Q01094')"
"('Q15796', 'P24941')"
"('P49767', 'P04626')"
"('Q93009', 'Q53GL0')"
"('Q9P0N5', 'Q3ZAQ7')"
"('Q9NPJ6', 'P33176')"
"('P29692', 'O00400')"
"('P12270', 'Q9UKV0')"
"('O95544', 'Q8WXF0')"
"('Q96EB6', 'O95714')"
"('O15067', 'P12277')"
"('P06733', 'Q96FW1')"
"('P04629', 'Q7Z736')"
"('Q13077', 'Q9NQ94')"
"('P53804', 'P62837')"
"('Q92633', 'O60262')"
"('O96008', 'P09622')"
"('Q9BRT8', 'P16473')"
"('O75398', 'Q9HAT8')"
"('Q9NYK5', 'O75127')"
"('O95967', 'O95990')"
"('P14921', 'P51692')"
"('Q86YT6', 'P63167')"
"('P09429', 'Q01664')"
"('P06400', 'P08047')"
"('Q04206', 'Q04864')"
"('P11142', 'P14859')"
"('Q9UMX0', 'O14964')"
"('P04908', 'P33778')"
"('O75525', 'Q9HCD5')"
"('Q9BYD2', 'P49406')"
"('P04792', 'Q4V328')"
"('Q96A08', 'Q9UKV0')"
"('P10073', 'O15535')"
"('O00159', 'Q8N556')"
"('Q07955', 'Q9UQ35')"
"('Q9H8W4', 'Q14141')"
"('P51149', 'O43633')"
"('P0C5Z0', 'P33778')"
"('Q5S007', 'O95714')"
"('P03886', 'Q8IWL3')"
"('Q9BUJ2', 'O95817')"
"('P03372', 'Q92878')"
"('P15151', 'Q9NZ20')"
"('Q7L2J0', 'P05388')"
"('Q9Y6K9', 'Q16531')"
"('Q8TBB1', 'P08779')"
"('Q96A08', 'Q9NXF1')"
"('O15379', 'Q7L2E3')"
"('Q9Y6E0', 'Q86UE8')"
"('P19235', 'P42229')"
"('P05813', 'Q9Y6H1')"
"('Q8WZ73', 'Q96RU2')"
"('P60410', 'Q9P0T4')"
"('Q16659', 'P58401')"
"('Q8IXM3', 'Q13151')"
"('Q15629', 'P03372')"
"('Q9NXE8', 'Q9Y6N6')"
"('Q6ZU80', 'Q96MT8')"
"('Q9NVZ3', 'O95782')"
"('O75469', 'P49715')"
"('Q03135', 'Q9UNN8')"
"('P61160', 'Q96S44')"
"('Q15717', 'Q12857')"
"('Q96PF1', 'Q719H9')"
"('P06748', 'Q96L21')"
"('Q9NV96', 'Q96BY9')"
"('Q9UI09', 'P17568')"
"('P31273', 'Q02556')"
"('Q8IWF6', 'Q9Y279')"
"('O94864', 'Q9Y6J9')"
"('Q9UKN8', 'Q13469')"
"('Q00987', 'Q7LG56')"
"('Q9Y2R9', 'P82933')"
"('Q13547', 'Q9Y3F4')"
"('Q12905', 'Q99757')"
"('P49336', 'Q13503')"
"('O14802', 'Q9Y3B7')"
"('Q9NZJ0', 'Q04917')"
"('Q9H2C0', 'Q5TZA2')"
"('O15169', 'P49815')"
"('P35749', 'P68543')"
"('O75832', 'P35998')"
"('P05412', 'Q71UI9')"
"('Q96AQ9', 'Q96EY1')"
"('Q6ZVK8', 'P61289')"
"('Q8NFW5', 'Q6L8H1')"
"('P14649', 'Q9NR12')"
"('Q6NZI2', 'Q03135')"
"('Q9Y3C5', 'Q9UM54')"
"('P53992', 'O14980')"
"('Q9Y4B6', 'P35240')"
"('P82933', 'Q9NQ29')"
"('O43187', 'Q13148')"
"('Q2MV58', 'P04843')"
"('Q13188', 'P46937')"
"('Q01860', 'Q9UJU5')"
"('O00716', 'Q14680')"
"('Q9NUX5', 'Q9NPH2')"
"('Q13315', 'P08238')"
"('O75159', 'P19235')"
"('P05067', 'Q9BSH4')"
"('Q14517', 'Q86YM7')"
"('Q9UL03', 'P19388')"
"('P07942', 'Q13148')"
"('O14787', 'Q9NQ94')"
"('P08238', 'P09914')"
"('O00567', 'Q12788')"
"('P62857', 'Q9Y3U8')"
"('Q53G59', 'Q15910')"
"('O00483', 'P10176')"
"('Q9UKN8', 'Q9H1D9')"
"('Q01844', 'Q9NQ92')"
"('P04439', 'P01732')"
"('P01138', 'P35916')"
"('P05067', 'P33240')"
"('O60262', 'O95467')"
"('P06753', 'Q03933')"
"('Q9UPS8', 'O00257')"
"('P22304', 'Q8NCR0')"
"('Q7L5N1', 'Q9BWC9')"
"('O76064', 'P60410')"
"('P32121', 'Q8NG99')"
"('P25054', 'Q6ZU80')"
"('O14980', 'P13807')"
"('Q8TB05', 'Q96G25')"
"('O60494', 'P11684')"
"('O43561', 'O43765')"
"('Q2M2I8', 'Q2KHR3')"
"('Q6AI08', 'Q9BZW8')"
"('Q9NZI8', 'P38936')"
"('Q12923', 'P48039')"
"('P18206', 'Q9C019')"
"('Q6NZY4', 'P31946')"
"('P39023', 'Q6NUN9')"
"('Q8N488', 'P35226')"
"('P52298', 'Q15637')"
"('Q92890', 'Q13200')"
"('Q14999', 'P06733')"
"('O95678', 'Q9H0R8')"
"('Q06124', 'Q8N1K5')"
"('O14654', 'P04626')"
"('Q5VVQ6', 'P46934')"
"('P63279', 'Q7L4P6')"
"('Q8N3L3', 'Q9NUQ3')"
"('P41159', 'Q14626')"
"('P15336', 'P08574')"
"('Q9Y6Y0', 'P21283')"
"('P27694', 'Q99496')"
"('Q00653', 'P62244')"
"('Q86XS8', 'Q9Y2X8')"
"('Q9P1Z0', 'Q9NSC5')"
"('Q9BZS1', 'Q01826')"
"('P43243', 'Q96Q83')"
"('Q9Y6K9', 'O14787')"
"('P30049', 'P24941')"
"('Q99706', 'P30273')"
"('Q3B820', 'Q8NA61')"
"('P13765', 'P28068')"
"('Q7Z6J8', 'P61421')"
"('Q09472', 'P26367')"
"('P15559', 'Q9NQ39')"
"('P03973', 'Q13387')"
"('Q8WW22', 'P11021')"
"('O00461', 'Q9HBV2')"
"('P00797', 'O75787')"
"('Q14533', 'Q9BQD3')"
"('Q9C0B0', 'P54253')"
"('Q2NKX9', 'Q9NX55')"
"('P57078', 'Q6IAN0')"
"('P03372', 'Q8NFZ0')"
"('P21860', 'P00519')"
"('P55809', 'Q16576')"
"('Q9UI15', 'Q9UMY4')"
"('P31749', 'P00533')"
"('P49368', 'Q9UHD2')"
"('P35225', 'P32927')"
"('Q13480', 'Q9UKW4')"
"('Q13133', 'Q9UIM3')"
"('Q96CM8', 'Q9H2U2')"
"('Q03405', 'Q8TCG2')"
"('Q96ES6', 'Q9H3H5')"
"('P53365', 'P37198')"
"('P49441', 'A1L190')"
"('P68036', 'Q9BT67')"
"('Q9UJT9', 'Q8TAF3')"
"('P33527', 'O00330')"
"('P63241', 'Q9P0L0')"
"('Q13523', 'P62314')"
"('Q9UBX2', 'Q9NZU5')"
"('Q96F44', 'Q13404')"
"('Q9HC52', 'P16989')"
"('O00560', 'P61457')"
"('Q7Z406', 'O75694')"
"('Q8TF50', 'Q8TAU3')"
"('Q92747', 'Q9Y3C4')"
"('Q8N201', 'Q9NRC8')"
"('Q9GZP9', 'Q96GX5')"
"('Q92905', 'P03971')"
"('Q8IWI9', 'O00716')"
"('P12111', 'P17301')"
"('P23526', 'P35637')"
"('Q9Y672', 'Q92633')"
"('P17096', 'O75475')"
"('Q02930', 'Q99750')"
"('P22694', 'Q96RB7')"
"('P52435', 'P52434')"
"('P67775', 'P15927')"
"('Q08722', 'Q8N205')"
"('P26371', 'Q8IY34')"
"('P62495', 'P48729')"
"('P11171', 'Q13813')"
"('Q14653', 'P01571')"
"('A8MQ03', 'O96014')"
"('P30101', 'P48735')"
"('Q9BU61', 'O75306')"
"('Q9Y3B7', 'O14802')"
"('O15105', 'Q16539')"
"('P12830', 'Q15464')"
"('Q504Q3', 'P05787')"
"('Q86UE4', 'O95166')"
"('Q9P2W1', 'O96017')"
"('O95235', 'Q9UKB1')"
"('P35579', 'P0DP25')"
"('Q9NRC8', 'P48681')"
"('Q86UK7', 'P15927')"
"('P00533', 'Q7Z4Q2')"
"('P63279', 'O43852')"
"('Q15717', 'O43248')"
"('Q13554', 'P08238')"
"('O75821', 'Q99547')"
"('P01375', 'P63000')"
"('Q8ND24', 'Q9NVH1')"
"('O60828', 'P61006')"
"('P35228', 'Q08380')"
"('Q96QG7', 'Q7Z3Y8')"
"('Q13596', 'O75165')"
"('P16144', 'P04626')"
"('Q7L7L0', 'Q13547')"
"('Q96LR5', 'P36406')"
"('P07951', 'P21333')"
"('Q99496', 'Q96T88')"
"('P20749', 'Q13490')"
"('Q96ST3', 'P10828')"
"('O14576', 'Q96NA2')"
"('Q15287', 'P52597')"
"('Q99598', 'Q02040')"
"('P05771', 'Q68CJ9')"
"('Q9HC98', 'P36406')"
"('O15131', 'P34896')"
"('P49959', 'P12270')"
"('Q14103', 'P51784')"
"('Q15051', 'P20618')"
"('Q9BWG4', 'Q9UBH0')"
"('O14965', 'Q9BZF3')"
"('P00519', 'Q9UBY0')"
"('Q92830', 'Q99717')"
"('P61073', 'P29350')"
"('P13501', 'P46094')"
"('Q8NEM7', 'Q9H0E3')"
"('P31151', 'P09914')"
"('Q96T88', 'Q96AY2')"
"('O14802', 'P0DPB5')"
"('P04150', 'P06241')"
"('P01579', 'P17181')"
"('P30307', 'Q86SQ0')"
"('P27708', 'P01106')"
"('Q14156', 'Q15717')"
"('Q96QC0', 'P17612')"
"('Q08379', 'Q86UU5')"
"('Q9BYQ4', 'Q701N4')"
"('Q9P2B7', 'Q00796')"
"('O00232', 'Q96GF1')"
"('Q96A72', 'A6NLX3')"
"('P04049', 'P63167')"
"('Q15648', 'Q9Y3C7')"
"('Q6P5W5', 'P04920')"
"('Q9Y2K7', 'P63208')"
"('P41252', 'Q9NSD9')"
"('Q99933', 'P0DMV9')"
"('Q13829', 'Q8N3V7')"
"('P27361', 'P24941')"
"('Q7L5A3', 'Q6PI77')"
"('Q96EQ0', 'Q9H173')"
"('P35244', 'Q9H334')"
"('Q99523', 'Q96A73')"
"('O00483', 'P56134')"
"('Q9NV31', 'P62875')"
"('P05141', 'P21912')"
"('Q9P0N5', 'P49006')"
"('Q9BWE0', 'Q9BQ04')"
"('P09958', 'Q96EQ0')"
"('Q9Y6H5', 'Q8NEY8')"
"('Q8TDN6', 'Q9NU22')"
"('P46783', 'P62424')"
"('Q5VZL5', 'Q9UBU9')"
"('Q7L5N1', 'Q07020')"
"('P18124', 'P11142')"
"('P46781', 'Q7L2J0')"
"('Q13309', 'Q96Q27')"
"('Q13136', 'P35240')"
"('P48643', 'Q9NRL3')"
"('P61978', 'P07910')"
"('P22392', 'P30405')"
"('Q12800', 'A0AVK6')"
"('P49674', 'Q7Z7G8')"
"('Q92621', 'Q9BXB1')"
"('P34931', 'P45983')"
"('Q15910', 'Q08999')"
"('O15197', 'P55196')"
"('O95714', 'Q8TCT9')"
"('Q9H213', 'P04637')"
"('Q92831', 'Q13948')"
"('Q4LE39', 'Q9HCU9')"
"('Q03188', 'Q7L2Z9')"
"('Q9H993', 'Q9Y315')"
"('P22612', 'Q15746')"
"('Q15046', 'Q96FW1')"
"('Q10567', 'P22314')"
"('Q8IWV8', 'Q9UNN5')"
"('Q8N3Y1', 'P25963')"
"('P63208', 'O00257')"
"('Q14011', 'Q9Y490')"
"('Q9BXP2', 'O00214')"
"('Q96MT8', 'Q05D60')"
"('P16220', 'P61328')"
"('P15313', 'P51809')"
"('Q9H6Z9', 'O43164')"
"('Q96LD1', 'P12081')"
"('Q9BQY4', 'Q14847')"
"('Q8TC44', 'O60925')"
"('P29459', 'Q00978')"
"('Q68G74', 'P57682')"
"('P56537', 'Q13257')"
"('Q9UMS4', 'Q13573')"
"('Q14739', 'P45973')"
"('Q9GZM8', 'Q9UIE0')"
"('P46783', 'Q9Y3A4')"
"('O43889', 'Q9Y5Z7')"
"('O95363', 'Q9BXL8')"
"('O14639', 'P24941')"
"('P52789', 'O60260')"
"('Q86X02', 'Q9H788')"
"('P17612', 'P03915')"
"('Q13797', 'Q9NVD7')"
"('Q9HC77', 'Q96C92')"
"('O75449', 'P25942')"
"('Q13077', 'Q14568')"
"('Q92833', 'P52952')"
"('P63211', 'P11229')"
"('O14980', 'Q9NUP9')"
"('Q8IUQ4', 'Q9H3P2')"
"('Q9UNH7', 'Q13705')"
"('O60313', 'Q86VP6')"
"('O75478', 'P51610')"
"('Q9NVI1', 'Q15833')"
"('P61163', 'P35579')"
"('Q96ER3', 'P51648')"
"('Q9ULJ3', 'Q9NQT8')"
"('Q01196', 'P07333')"
"('O76083', 'O75376')"
"('Q96DZ1', 'Q9UBU6')"
"('P23025', 'Q9P0N9')"
"('P04629', 'P60891')"
"('Q969T4', 'P46060')"
"('Q9NVR5', 'P20336')"
"('Q9NWZ5', 'O76071')"
"('Q96QD9', 'Q9UNN8')"
"('P03915', 'P03891')"
"('Q13291', 'P08575')"
"('Q15907', 'P14672')"
"('O15350', 'Q9H0E9')"
"('P38398', 'Q7Z2W4')"
"('Q9UI14', 'P62070')"
"('P53350', 'P25786')"
"('Q8TAE8', 'Q6P1L8')"
"('P28072', 'Q6NZY4')"
"('Q9BWL3', 'Q9HCE1')"
"('Q9BVP2', 'P36578')"
"('P52292', 'P63000')"
"('P61077', 'Q96PU4')"
"('P55010', 'P05067')"
"('Q9NVW2', 'Q92769')"
"('P19387', 'Q9NVR2')"
"('Q9P2W1', 'Q14790')"
"('Q9HCE1', 'Q6PKC3')"
"('P49407', 'P67809')"
"('Q14008', 'O00555')"
"('P17252', 'Q9Y624')"
"('Q13435', 'Q8TBK6')"
"('Q96NL6', 'Q9HAV7')"
"('P05113', 'P31785')"
"('P51808', 'Q8WYB5')"
"('Q93062', 'O75909')"
"('Q13976', 'Q13698')"
"('O94874', 'Q969T4')"
"('P62987', 'P62837')"
"('P36578', 'Q14197')"
"('P63211', 'Q15147')"
"('Q5JR59', 'Q8IYX8')"
"('Q15323', 'Q9Y223')"
"('Q9UBU9', 'P35240')"
"('Q5TA76', 'O43610')"
"('Q9H2X0', 'Q8IWZ5')"
"('Q6IS14', 'P26038')"
"('Q6IA86', 'P29372')"
"('P07948', 'P04629')"
"('P48431', 'Q8N5Y2')"
"('Q9H8W4', 'Q9UKJ5')"
"('Q9Y3E0', 'O75340')"
"('Q05397', 'P22681')"
"('Q15155', 'P62072')"
"('P27361', 'Q9C0I1')"
"('O14717', 'Q9GZR7')"
"('Q9UI36', 'Q99958')"
"('Q9NYF3', 'P49356')"
"('P43250', 'P07550')"
"('Q9C0J8', 'P62140')"
"('Q9Y679', 'Q6NUS6')"
"('Q9UHV9', 'P54105')"
"('Q8WUM4', 'Q9Y2Q3')"
"('P62829', 'P61313')"
"('Q15811', 'Q13492')"
"('Q9BY11', 'P30153')"
"('Q9BX93', 'Q9UHI8')"
"('P56545', 'P18621')"
"('Q9NRM7', 'Q12923')"
"('Q504Q3', 'P68871')"
"('O00299', 'P04629')"
"('O00231', 'Q16401')"
"('Q9H0E2', 'P54253')"
"('P61968', 'Q16348')"
"('Q6NVH7', 'O43542')"
"('Q14155', 'P41227')"
"('Q6NX45', 'Q9BUH8')"
"('Q02962', 'Q9UKQ9')"
"('Q8N9I9', 'Q9NR21')"
"('P39210', 'P11233')"
"('Q495A1', 'Q96NY8')"
"('Q969W3', 'P55072')"
"('Q9UGI8', 'P24941')"
"('Q7L804', 'O75344')"
"('Q99523', 'Q92934')"
"('Q8N1B4', 'P33176')"
"('P49767', 'P04629')"
"('Q06830', 'Q05086')"
"('Q15818', 'Q9HAT2')"
"('Q6PKG0', 'Q9NQT8')"
"('Q6A162', 'A2VCK2')"
"('P58107', 'Q8N960')"
"('A8K2U0', 'P09651')"
"('Q14315', 'Q14203')"
"('Q9NWZ5', 'Q96BW1')"
"('O43303', 'Q9NQC1')"
"('Q14197', 'O60783')"
"('Q9Y5K6', 'Q6IQ23')"
"('Q96EB6', 'O15520')"
"('Q6NUN9', 'O75746')"
"('Q8WVM8', 'O95793')"
"('Q15717', 'Q8NE22')"
"('Q14980', 'Q7Z569')"
"('Q969S3', 'P56537')"
"('P78396', 'P49411')"
"('Q8N6L0', 'P52803')"
"('Q8NHV4', 'P48643')"
"('O43324', 'Q13155')"
"('Q9UBU9', 'Q99848')"
"('P46777', 'P03372')"
"('Q7Z7A1', 'Q9Y2Z4')"
"('P51571', 'Q9UI95')"
"('Q13114', 'P09936')"
"('Q13115', 'Q15759')"
"('Q86WK6', 'Q9Y287')"
"('P60896', 'P46379')"
"('P07108', 'Q9GZQ8')"
"('P22102', 'Q6DD88')"
"('Q9NZQ3', 'O00233')"
"('Q8WZ42', 'Q9BZW7')"
"('Q9Y291', 'Q6PF06')"
"('Q99502', 'Q9NPC8')"
"('Q09472', 'P00747')"
"('Q9HBG4', 'P08138')"
"('P05067', 'Q7L985')"
"('P05129', 'P62258')"
"('Q96NS8', 'P31273')"
"('Q96AQ7', 'P55072')"
"('P46782', 'Q8NI36')"
"('P01106', 'O60762')"
"('Q14457', 'O14950')"
"('A6NI79', 'Q9NYL2')"
"('Q13423', 'Q9BQ95')"
"('Q969G5', 'O14980')"
"('Q14207', 'Q9UKL3')"
"('Q6ZVD8', 'P62068')"
"('Q9NYZ3', 'O95487')"
"('Q99496', 'P04637')"
"('Q9Y478', 'Q9UHI6')"
"('P17612', 'Q02641')"
"('P62753', 'P83731')"
"('Q96HA1', 'O75147')"
"('P49407', 'Q8NCT1')"
"('P30153', 'Q8TCQ1')"
"('Q14596', 'Q99828')"
"('Q9BQE9', 'Q96GM5')"
"('Q16539', 'Q6STE5')"
"('P62136', 'Q5C9Z4')"
"('Q9UBU9', 'Q9Y6M9')"
"('Q8NGG6', 'O60262')"
"('P63261', 'P08238')"
"('P63165', 'Q01844')"
"('Q9UPW6', 'Q13547')"
"('Q9Y496', 'P05067')"
"('Q13155', 'Q9UHX1')"
"('Q9BXI6', 'Q86UX7')"
"('P53985', 'A1L188')"
"('O00506', 'Q5VSL9')"
"('Q13573', 'Q15022')"
"('Q13573', 'Q96CB8')"
"('P17612', 'Q5TZ20')"
"('P49674', 'Q9UPN4')"
"('P10828', 'Q13901')"
"('P25789', 'Q0PNE2')"
"('P18146', 'P32456')"
"('P63167', 'Q96KV7')"
"('Q15080', 'P10599')"
"('O60262', 'P01116')"
"('P14678', 'Q13523')"
"('Q96CS3', 'Q9NXL9')"
"('O95433', 'Q02790')"
"('Q13547', 'Q13526')"
"('P34897', 'Q9UIS9')"
"('Q9Y383', 'Q9H492')"
"('Q96HC4', 'Q9UI26')"
"('P53778', 'Q96SB4')"
"('P05067', 'O43281')"
"('O95359', 'O43663')"
"('Q6UX04', 'P42285')"
"('Q14247', 'Q9BVG8')"
"('Q8TF50', 'Q9Y5B8')"
"('P62879', 'Q14004')"
"('Q9Y600', 'P18754')"
"('Q9UBP5', 'P51532')"
"('Q9UBF6', 'Q8WXK3')"
"('Q86UP2', 'P06865')"
"('Q16082', 'Q14119')"
"('O95793', 'P26640')"
"('Q9H210', 'Q9P2W3')"
"('Q09472', 'Q99941')"
"('Q9BYD3', 'Q9BRJ2')"
"('P78346', 'O95785')"
"('Q7L5N1', 'Q9P2J3')"
"('Q8N7K0', 'P09917')"
"('O15066', 'Q13188')"
"('O60573', 'Q8IVT5')"
"('P05387', 'Q96GG9')"
"('P60604', 'Q8WWF5')"
"('Q9NPJ6', 'O14964')"
"('P0CAP1', 'Q9BQ04')"
"('P15923', 'Q7RTS3')"
"('Q12774', 'Q96KN4')"
"('P05067', 'Q14814')"
"('P27448', 'P11309')"
"('Q7Z5R6', 'Q99608')"
"('P24385', 'P17480')"
"('P28340', 'P15927')"
"('P17480', 'Q9GZS1')"
"('O75340', 'Q8N726')"
"('Q16822', 'Q9BXC9')"
"('Q96GY3', 'Q15323')"
"('P49841', 'P05386')"
"('Q9C002', 'Q07021')"
"('P42768', 'P27986')"
"('Q9H0U4', 'Q9NRW1')"
"('Q01081', 'Q9NY93')"
"('P32298', 'O00574')"
"('O75444', 'Q9Y5Q3')"
"('P16471', 'O14543')"
"('P21589', 'P17302')"
"('Q6MZP7', 'P05387')"
"('P35638', 'P49716')"
"('Q92905', 'P51571')"
"('Q9UKS6', 'O43426')"
"('O95817', 'Q01995')"
"('P35244', 'Q8IZL8')"
"('P31947', 'Q5T5U3')"
"('Q16082', 'O00422')"
"('P06241', 'Q14524')"
"('P19838', 'Q8IY42')"
"('Q92664', 'P06241')"
"('P10144', 'A6NHL2')"
"('P39023', 'P11940')"
"('P08069', 'P62993')"
"('Q70EL1', 'Q7LBR1')"
"('O00139', 'Q5S007')"
"('P49841', 'O00327')"
"('P01241', 'Q96DZ1')"
"('Q15173', 'P19429')"
"('O75146', 'Q8WXF1')"
"('Q9P0J7', 'Q9HD23')"
"('Q13501', 'Q86Y46')"
"('P60410', 'Q9P127')"
"('Q9Y572', 'P42677')"
"('Q9P2M7', 'P30307')"
"('Q13151', 'P26368')"
"('Q13315', 'P38398')"
"('Q8N726', 'Q15022')"
"('Q2TAC2', 'Q9Y247')"
"('Q9UQR1', 'O14862')"
"('O14980', 'P48431')"
"('P01241', 'Q9HB71')"
"('P13716', 'O75312')"
"('P31947', 'P62277')"
"('Q15750', 'O14641')"
"('P0DMV8', 'O14796')"
"('O00461', 'Q9UPM8')"
"('Q13112', 'Q9UJX2')"
"('P17066', 'P19838')"
"('Q6ZU80', 'Q5TB80')"
"('Q14195', 'Q13617')"
"('O15085', 'Q8IXI1')"
"('P18146', 'O00631')"
"('P06493', 'P42166')"
"('P04629', 'P35606')"
"('O60271', 'Q9P260')"
"('Q9H4L4', 'Q13724')"
"('Q86XR8', 'P62829')"
"('O43320', 'P23508')"
"('Q9UPQ3', 'P55196')"
"('P35241', 'P12830')"
"('P47929', 'O43570')"
"('P46108', 'Q9Y5H9')"
"('Q8WW01', 'Q8TD10')"
"('O95359', 'Q92831')"
"('P08134', 'P15336')"
"('Q06124', 'Q02556')"
"('O95425', 'Q03252')"
"('Q9BRJ2', 'P52739')"
"('P62847', 'P62750')"
"('Q13224', 'Q13555')"
"('O15372', 'P23588')"
"('P55072', 'Q96JH7')"
"('P15502', 'P10909')"
"('P14625', 'P01130')"
"('Q13469', 'Q13526')"
"('Q9Y6J9', 'Q8NEM7')"
"('Q9UGI9', 'Q9Y478')"
"('Q8WXI9', 'Q9NPG2')"
"('P09874', 'Q96L91')"
"('Q6L8G8', 'A8MQ03')"
"('O75376', 'P51532')"
"('Q96JC9', 'Q9BVG3')"
"('P05067', 'Q8N5I4')"
"('Q9NSI5', 'Q07157')"
"('Q8NAT1', 'Q13635')"
"('Q99871', 'Q969V5')"
"('O60573', 'Q9UJF2')"
"('Q96DM3', 'Q9BQS8')"
"('O75367', 'Q93079')"
"('Q07002', 'Q9UNF1')"
"('P16220', 'P10145')"
"('Q9BYR7', 'Q6EMK4')"
"('Q5BJF6', 'Q38SD2')"
"('P16333', 'O75534')"
"('P40337', 'P11021')"
"('Q9H6E5', 'Q9UKF6')"
"('Q5JQS5', 'O60262')"
"('P35637', 'Q9P2J5')"
"('Q93052', 'Q13492')"
"('Q9BZF3', 'P21359')"
"('P54274', 'Q14195')"
"('P30307', 'P56524')"
"('Q8WWW0', 'P35573')"
"('Q9HCE1', 'P26373')"
"('O14980', 'Q86YR5')"
"('P02489', 'Q9H8Y8')"
"('O95817', 'Q07820')"
"('P19320', 'O75369')"
"('P31947', 'O60269')"
"('P62873', 'Q9H8H0')"
"('Q9H6S3', 'Q8TB24')"
"('P61073', 'Q14847')"
"('P06241', 'Q96S94')"
"('Q16763', 'Q9Y5L0')"
"('P49736', 'Q7RTZ2')"
"('Q86VP6', 'Q16828')"
"('Q53EL9', 'Q07912')"
"('Q92793', 'P63165')"
"('Q8N684', 'P78362')"
"('P62807', 'Q08945')"
"('Q8N6F8', 'Q8IVS8')"
"('Q96MS0', 'Q96PU5')"
"('P01127', 'P04629')"
"('P04626', 'Q99623')"
"('P19419', 'P38936')"
"('P32189', 'Q9Y282')"
"('P01127', 'P07996')"
"('P15531', 'Q9Y5L0')"
"('Q5JR59', 'Q9UQ90')"
"('P35268', 'P62829')"
"('Q15910', 'Q7Z7K6')"
"('Q96N66', 'Q02297')"
"('P67870', 'P60033')"
"('Q7Z434', 'P00519')"
"('Q5JRX3', 'O95900')"
"('Q8WU90', 'Q92558')"
"('Q16666', 'Q14146')"
"('Q07820', 'P04406')"
"('P55010', 'P60228')"
"('Q9UPT5', 'Q9NRI5')"
"('Q9H2X3', 'P08473')"
"('P0DP23', 'Q9NR12')"
"('O95817', 'P49321')"
"('O75177', 'Q09472')"
"('P31946', 'Q6WKZ4')"
"('Q99623', 'Q9UQL6')"
"('Q96QE5', 'Q14197')"
"('Q9Y587', 'O00461')"
"('P14625', 'Q00325')"
"('O14493', 'P57739')"
"('Q96GY3', 'Q08050')"
"('O60506', 'Q14204')"
"('P01011', 'P00325')"
"('Q9BQ83', 'O00231')"
"('P68400', 'P09651')"
"('Q8WVZ9', 'Q01085')"
"('P14174', 'P35270')"
"('Q6IQ23', 'P56524')"
"('P21291', 'P62993')"
"('Q13242', 'Q9BYN8')"
"('Q99614', 'Q86UK5')"
"('P00748', 'P51668')"
"('Q12904', 'P62318')"
"('P63104', 'P22492')"
"('P19438', 'P0DP24')"
"('Q9UBI1', 'P19838')"
"('Q7Z6Z7', 'O43920')"
"('P06748', 'Q08378')"
"('O76061', 'O75078')"
"('P01236', 'Q8IU57')"
