negatives
"('P42345', 'Q07817')"
"('Q5MJ70', 'P06493')"
"('Q9GZP0', 'P16234')"
"('P12830', 'O60331')"
"('Q03112', 'P53779')"
"('P33176', 'P31947')"
"('Q9UQK1', 'P06400')"
"('Q96B97', 'Q13501')"
"('Q9BQ52', 'P56545')"
"('Q7LBR1', 'P53990')"
"('Q96RT8', 'Q96JB5')"
"('O14974', 'P24844')"
"('O75340', 'P13569')"
"('P34931', 'O00221')"
"('P18848', 'Q16534')"
"('Q8IX12', 'Q9HAU4')"
"('Q00005', 'P36578')"
"('Q14197', 'P51398')"
"('Q04206', 'Q92793')"
"('Q13485', 'P05121')"
"('Q9UJU6', 'P78314')"
"('Q14164', 'Q8NC51')"
"('P28335', 'Q01668')"
"('O60858', 'P78545')"
"('Q12906', 'Q9BQ66')"
"('O60814', 'P61964')"
"('O43707', 'Q9UQM7')"
"('Q92786', 'Q99684')"
"('Q13685', 'Q9GZQ8')"
"('Q99880', 'P01106')"
"('Q562F6', 'P35813')"
"('P55075', 'P17948')"
"('P04259', 'P08727')"
"('P12956', 'P05386')"
"('P05166', 'Q14197')"
"('P17275', 'P15336')"
"('P09603', 'P04406')"
"('O94864', 'O75486')"
"('P49765', 'P08138')"
"('Q9P212', 'P05129')"
"('Q14832', 'P50150')"
"('P35579', 'O43353')"
"('Q14469', 'Q02535')"
"('Q93084', 'P13569')"
"('Q16821', 'P31749')"
"('P50995', 'O75340')"
"('P62993', 'P18433')"
"('P17301', 'P60709')"
"('P11182', 'Q9HCK5')"
"('P57087', 'Q9Y624')"
"('Q13485', 'P22303')"
"('P15976', '407008')"
"('P42224', 'P01584')"
"('Q92793', 'Q8IZL2')"
"('Q16633', 'P09382')"
"('P68036', 'Q8N9I9')"
"('Q99558', 'Q9BQ67')"
"('Q07812', 'Q6UXS9')"
"('P51671', 'P46092')"
"('P10275', 'P14735')"
"('P28482', 'O75030')"
"('Q15011', 'Q9BZV1')"
"('P16871', 'P07737')"
"('Q9H7D0', 'Q9H4E5')"
"('Q9Y6M9', 'O95298')"
"('Q09472', 'Q16548')"
"('Q7Z5H3', 'P60763')"
"('P18146', 'P48506')"
"('Q12929', 'O14645')"
"('O95251', 'P08670')"
"('Q13094', 'P12314')"
"('P60953', 'Q8IWV7')"
"('P22694', 'Q14643')"
"('Q8N257', 'Q99878')"
"('P04792', 'Q13418')"
"('P46527', 'Q09472')"
"('P30084', 'Q9Y478')"
"('Q13535', 'Q9ULL8')"
"('P58753', 'P27986')"
"('Q9NQB0', 'Q9UER7')"
"('Q14012', 'P29474')"
"('P56945', 'Q14185')"
"('P42574', 'Q14116')"
"('Q9NVC6', 'P19387')"
"('Q71U36', 'Q9BVJ7')"
"('Q9NXU5', 'Q8IWV7')"
"('P62750', 'Q9UKV8')"
"('P0CG48', 'Q7L2E3')"
"('Q13243', 'Q13247')"
"('Q13131', 'P04637')"
"('P19447', 'P32780')"
"('P20700', 'P55212')"
"('P09544', 'Q13467')"
"('Q5T3J3', 'Q9H5J8')"
"('P37840', 'P08670')"
"('O43237', 'P68371')"
"('P11532', 'P68133')"
"('P16234', 'P01116')"
"('Q13432', 'P15927')"
"('P01106', 'P22736')"
"('P49454', 'Q9UM73')"
"('Q13322', 'P31749')"
"('P27986', 'P03372')"
"('Q13077', 'Q9H857')"
"('Q16566', 'O95622')"
"('P30050', 'P62829')"
"('Q9NPJ6', 'Q9NX70')"
"('P31947', 'Q8WUI4')"
"('O14920', 'Q13315')"
"('P52292', 'P06703')"
"('P18146', 'O60381')"
"('Q13352', 'Q92665')"
"('Q9Y580', 'Q15637')"
"('P13611', 'P80075')"
"('Q9NP73', 'Q9C0E4')"
"('P01106', 'Q9UL63')"
"('P84022', 'Q14511')"
"('Q9P1U1', 'O15143')"
"('Q92985', 'P63146')"
"('P32004', 'O15394')"
"('Q13616', 'Q9UKT8')"
"('P20823', 'Q16270')"
"('O75477', 'O43318')"
"('P16870', 'Q13131')"
"('Q13137', 'O95990')"
"('Q9Y4H2', 'P63104')"
"('P63000', 'P05109')"
"('Q14532', 'Q9NYV4')"
"('P0C5Z0', 'Q96DB2')"
"('Q07955', 'Q8TBB1')"
"('Q9UBC5', 'P62993')"
"('P10809', 'Q9UM73')"
"('Q00169', 'Q15014')"
"('Q8N7P3', 'P78369')"
"('P61247', 'P62244')"
"('P05556', 'P31946')"
"('Q8IUQ4', 'Q15599')"
"('P60568', 'Q08334')"
"('O14933', 'Q9NS56')"
"('P31749', 'P42345')"
"('P22736', 'Q15788')"
"('P98095', 'P13611')"
"('Q92622', 'Q9P2Y5')"
"('Q08043', 'P17301')"
"('P54646', 'Q9UBK2')"
"('P50053', 'P31025')"
"('406906', 'P53677')"
"('Q8IYM9', 'Q93009')"
"('Q9NX14', 'O95168')"
"('P29353', 'P03372')"
"('P18074', 'P51948')"
"('P30305', 'Q14192')"
"('Q9Y675', 'Q6P2Q9')"
"('P22061', 'P02647')"
"('Q13438', 'Q96KM6')"
"('Q15428', 'Q13247')"
"('P48730', 'P08151')"
"('Q96BK5', 'P57105')"
"('P29460', 'P48551')"
"('Q07960', 'P20936')"
"('P04626', 'P35222')"
"('P49591', 'P01241')"
"('Q9Y535', 'P52434')"
"('P54259', 'P28799')"
"('P56817', 'Q9NQX7')"
"('Q13573', 'Q08211')"
"('Q13751', 'P17301')"
"('P0CG48', 'Q86VN1')"
"('Q15714', 'Q9ULC4')"
"('O75676', 'Q68CJ9')"
"('P47897', 'P38936')"
"('P28482', 'Q9Y4H2')"
"('P80162', 'P51677')"
"('Q9Y3C5', 'O75800')"
"('O14654', 'P42336')"
"('Q9Y4L5', 'P51668')"
"('P40337', 'Q8N163')"
"('Q13247', 'Q00839')"
"('O75626', 'O14862')"
"('Q9UQB8', 'P40425')"
"('P50991', 'Q13233')"
"('Q6P1N0', 'Q16543')"
"('O95500', 'P56748')"
"('Q9H3S7', 'O75340')"
"('P48736', 'P40763')"
"('P54727', 'Q15008')"
"('Q92831', 'Q9NR33')"
"('O14508', 'P48551')"
"('P04637', 'P12004')"
"('P22392', 'P28222')"
"('P42773', 'P24385')"
"('P15884', 'Q02363')"
"('Q96HR8', 'P99999')"
"('O14641', 'Q8N5R6')"
"('Q92569', 'P54709')"
"('P12931', 'Q9UKL4')"
"('P42677', 'Q00653')"
"('P22392', 'P15531')"
"('Q5T5U3', 'P62745')"
"('Q9NUW8', 'Q13315')"
"('Q9H0H5', 'Q86YS3')"
"('Q14164', 'O15111')"
"('Q15653', 'Q16342')"
"('O43678', 'P03886')"
"('P27986', 'P21333')"
"('P60484', 'P31751')"
"('P19174', 'Q08209')"
"('Q9NYY1', 'Q99665')"
"('O60287', 'P16333')"
"('Q9Y2W1', 'P02768')"
"('P32121', 'Q8NGS3')"
"('O43318', 'Q9H8E8')"
"('P41235', 'Q15466')"
"('P49841', 'Q9UNZ2')"
"('P51817', 'Q15759')"
"('Q9H1C4', 'Q8IWZ3')"
"('P42704', 'Q9HC98')"
"('P13010', 'P38432')"
"('O75626', 'P04150')"
"('O14730', 'P51571')"
"('Q13796', 'P62993')"
"('P61952', 'Q9Y2J4')"
"('Q9Y697', 'O95396')"
"('P26010', 'Q03135')"
"('P02794', 'O75376')"
"('P05112', 'P14316')"
"('P46109', 'O43516')"
"('P11473', 'Q15788')"
"('Q96EP0', 'Q9H6S1')"
"('O60260', 'P57075')"
"('P56539', 'P00533')"
"('P63279', 'Q9NSC2')"
"('Q9UKX3', 'Q9UK45')"
"('Q13838', 'Q9NWF9')"
"('Q9H4B6', 'O43809')"
"('P38936', 'P51668')"
"('P42262', 'Q12840')"
"('Q05397', 'P18564')"
"('P62424', 'P47914')"
"('P49286', 'P27824')"
"('P01106', 'Q02978')"
"('P43403', 'P00519')"
"('P49841', 'P08151')"
"('P49768', 'Q99466')"
"('P16871', 'P06396')"
"('O60508', 'Q08170')"
"('P46527', 'P07947')"
"('P19174', 'Q7L0Q8')"
"('Q9UDY2', 'O75508')"
"('Q9Y2X8', 'Q9NZQ3')"
"('Q16891', 'Q6ZVL6')"
"('P51970', 'Q9UI09')"
"('O75369', 'Q9Y6R4')"
"('Q92844', 'Q9Y6K9')"
"('Q96P70', 'Q15714')"
"('Q9NWA0', 'P52435')"
"('Q99880', 'Q9C005')"
"('P01569', 'Q99062')"
"('P17301', 'P22694')"
"('Q9GZU1', 'P14373')"
"('Q14831', 'P08754')"
"('P26678', 'O00631')"
"('P36873', 'P18848')"
"('O95239', 'Q9ULA0')"
"('O14610', 'Q15759')"
"('O43567', 'Q9Y2X8')"
"('P51168', 'O00308')"
"('Q7Z5H3', 'Q7L0Q8')"
"('Q00005', 'P35527')"
"('P55795', 'P51991')"
"('Q86UL8', 'O43707')"
"('O43707', 'Q9NPC6')"
"('Q8IXK0', 'Q06587')"
"('Q14164', 'P47756')"
"('Q04864', 'Q13451')"
"('O15524', 'P16471')"
"('P14314', 'P41220')"
"('Q9H9Y6', 'O00159')"
"('P48436', 'P08107')"
"('P48556', 'P62330')"
"('P30304', 'Q09472')"
"('P61077', 'Q6UWE0')"
"('O94782', 'P12004')"
"('Q9HD45', 'Q9H1C4')"
"('Q8WYR1', 'P13637')"
"('P45983', 'P98177')"
"('Q86XK2', 'P29401')"
"('Q6ZW49', 'Q9C005')"
"('P49023', 'P13612')"
"('Q9Y265', 'Q9UPN9')"
"('P62633', 'P42766')"
"('Q06330', 'Q13573')"
"('P05386', 'P60709')"
"('O60684', 'Q9GZT8')"
"('P63261', 'Q2M3G4')"
"('Q9H910', 'O43772')"
"('Q14833', 'P09471')"
"('Q99459', 'Q8IWX8')"
"('Q9Y3B4', 'Q15428')"
"('P10415', 'Q96LC9')"
"('Q13976', 'Q13485')"
"('P45973', 'Q9C0K0')"
"('Q9NRR5', 'Q86UW9')"
"('O15379', 'Q04206')"
"('O15514', 'Q9NWA0')"
"('P06239', 'P42338')"
"('O14776', 'Q8N2W9')"
"('Q8TBB1', 'Q9UJ70')"
"('O76080', 'P54727')"
"('Q13233', 'P62249')"
"('Q13242', 'Q01130')"
"('Q6QNY0', 'Q8TDH9')"
"('O96020', 'Q9UBD5')"
"('P55287', 'O95433')"
"('P55211', 'P04049')"
"('P09769', 'Q14289')"
"('Q9Y320', 'Q9H3N1')"
"('P08069', 'O14543')"
"('Q99459', 'Q9H0S4')"
"('P30530', 'P19174')"
"('P49841', 'Q8IWV7')"
"('P63261', 'P06756')"
"('Q9UQ90', 'O15162')"
"('O75925', 'Q15797')"
"('Q15596', 'P48443')"
"('P11021', 'P60484')"
"('O95149', 'P09104')"
"('Q00653', 'P60900')"
"('P22694', 'P62879')"
"('Q9BVJ6', 'P16870')"
"('Q13618', 'Q53G59')"
"('P0CG48', 'Q14934')"
"('Q13315', 'Q8TE77')"
"('Q8NDZ2', 'P68366')"
"('P13631', 'Q2M1K9')"
"('Q15717', 'P01100')"
"('P31947', 'Q9UQC2')"
"('O00232', 'Q06323')"
"('Q15366', 'Q92620')"
"('Q14103', 'Q15287')"
"('O15335', 'P08514')"
"('Q9Y297', 'P35222')"
"('Q15648', 'O75478')"
"('O00151', 'P12814')"
"('Q9HBW0', 'Q9UBI6')"
"('Q8IU54', 'P26951')"
"('P60842', 'P16104')"
"('Q16531', 'Q13620')"
"('Q09472', 'P84243')"
"('Q9Y6B7', 'O60566')"
"('P60900', 'P11171')"
"('P56704', 'P56705')"
"('Q13216', 'Q15843')"
"('Q7Z6B7', 'P62745')"
"('O95750', 'P09619')"
"('O15160', 'O76071')"
"('O75396', 'P35609')"
"('Q96J02', 'P46934')"
"('P43657', 'Q9UK08')"
"('Q8N612', 'Q9UI14')"
"('O75019', 'P12318')"
"('Q8WVZ9', 'Q99728')"
"('Q9Y5R8', 'O43617')"
"('Q15596', 'Q99873')"
"('Q00005', 'Q01668')"
"('Q9HBL0', 'P17655')"
"('Q16821', 'Q93100')"
"('P78317', 'P51668')"
"('Q01201', 'P17858')"
"('O75376', 'P48443')"
"('P49792', 'P46937')"
"('P31689', 'Q99759')"
"('P43487', 'Q9Y4K3')"
"('P42224', 'P43405')"
"('Q06124', 'P40763')"
"('O15105', 'P52564')"
"('Q9UK53', 'Q9HCU9')"
"('Q15102', 'Q04724')"
"('P60953', 'Q99683')"
"('P05556', 'P05771')"
"('P0CAP1', 'P53567')"
"('Q2NL82', 'Q96BK5')"
"('P07332', 'P40189')"
"('P22307', 'Q03135')"
"('Q8IY92', 'O15228')"
"('Q15834', 'Q9C0A6')"
"('P60228', 'Q14164')"
"('O15164', 'Q5VVX9')"
"('P01243', 'P30084')"
"('P09960', 'P30480')"
"('Q9H9Y6', '100008587')"
"('P08648', 'Q13418')"
"('P20265', 'P23760')"
"('Q2TAY7', 'O95777')"
"('Q12933', 'Q9NVZ3')"
"('P01889', 'P22695')"
"('P20333', 'Q12933')"
"('Q8TBB1', 'P61106')"
"('P43629', 'Q06124')"
"('Q9UBD9', 'Q13261')"
"('Q13202', 'P53778')"
"('P52333', 'Q14765')"
"('P04179', 'P62330')"
"('Q9H237', 'Q93097')"
"('Q13315', 'Q9BVP2')"
"('P46531', 'Q04864')"
"('Q9Y6J9', 'Q9BRQ0')"
"('P15884', 'Q96I15')"
"('Q8IZL2', 'Q92793')"
"('P58012', 'P16619')"
"('P10914', 'P12004')"
"('P45985', 'P05129')"
"('P56524', 'Q6W2J9')"
"('P00367', 'Q99558')"
"('Q9H267', 'Q13387')"
"('P98170', 'Q9UHD2')"
"('P49674', 'P04637')"
"('Q16619', 'Q9UHF4')"
"('P50549', 'P11308')"
"('P19174', 'O43150')"
"('P06241', 'Q8WYR1')"
"('P19012', 'Q9BY27')"
"('P46777', 'P05387')"
"('P26010', 'P60709')"
"('P03886', 'O15239')"
"('Q8TAA9', 'Q15139')"
"('O94761', 'P06746')"
"('Q12988', '26012')"
"('Q05397', 'P23229')"
"('O60814', 'P51610')"
"('P01909', 'P51693')"
"('P19838', 'P12277')"
"('Q5RIA9', 'P51965')"
"('O94906', 'Q9UQ35')"
"('P27797', 'P63104')"
"('P45983', 'P35354')"
"('Q9BQD3', 'P51116')"
"('P51654', 'O14905')"
"('Q9NY93', 'P22087')"
"('Q13546', 'P34931')"
"('P48634', 'Q9NTJ4')"
"('Q13901', 'Q01780')"
"('Q92901', 'P62888')"
"('O95865', 'Q13188')"
"('P18754', 'Q8IZ69')"
"('P21673', 'P68371')"
"('P01567', 'Q8IU57')"
"('Q99963', 'P42858')"
"('Q9UK41', 'O95166')"
"('Q99459', 'P61088')"
"('Q96DB2', 'Q9P0M6')"
"('P20618', 'P27824')"
"('Q5VTD9', 'Q8N2S1')"
"('P60953', 'Q9NPB6')"
"('Q9UNS2', 'P35354')"
"('Q8NFD5', 'Q969G3')"
"('P63151', 'P51617')"
"('P51532', 'Q8TAQ2')"
"('O43264', 'O43683')"
"('P18135', 'P00451')"
"('Q13243', 'Q07955')"
"('P35568', 'P48736')"
"('P67775', 'P46937')"
"('Q8NH00', 'P38405')"
"('Q9Y2Z0', 'P08238')"
"('P40425', 'P36578')"
"('Q96SB3', 'O14965')"
"('Q9GZQ8', 'Q9BT49')"
"('P31943', 'P26368')"
"('Q15291', 'Q13620')"
"('Q9HC36', 'Q9GZS1')"
"('P09471', 'P28482')"
"('Q99685', 'P05060')"
"('O95715', 'P51686')"
"('P08581', 'Q9NR46')"
"('Q9UL18', 'Q00325')"
"('Q13315', 'O95819')"
"('Q9BSC4', 'Q92832')"
"('P11177', 'P37235')"
"('Q00005', 'P30153')"
"('P07355', 'P40337')"
"('P48443', 'P22736')"
"('Q07955', 'P67809')"
"('Q86U86', 'O96019')"
"('P24941', 'Q8WXE1')"
"('O43182', 'P63000')"
"('Q96DX5', 'Q9NWT6')"
"('Q9BX66', 'P00519')"
"('Q8N474', 'P41221')"
"('Q13363', 'A7XYQ1')"
"('P11388', 'P09874')"
"('P13805', 'Q96E35')"
"('Q15796', 'Q9HAU4')"
"('O00329', 'Q9UKM9')"
"('P51571', 'Q15714')"
"('P52565', 'P35637')"
"('P41208', 'Q16531')"
"('Q15834', 'Q9UJ04')"
"('Q13424', 'P46939')"
"('Q16659', 'P55212')"
"('P04637', 'Q9BZR8')"
"('Q9HAU5', 'Q9H1J1')"
"('Q13163', 'P49841')"
"('Q68CP9', 'Q8TAQ2')"
"('Q86X95', 'Q01130')"
"('P62633', 'P39019')"
"('Q15750', 'P62158')"
"('P01106', 'P46940')"
"('Q9Y5V3', 'Q9Y3T9')"
"('P61289', 'P23508')"
"('P36575', 'P04632')"
"('O95405', 'P14923')"
"('P22301', 'Q04206')"
"('P12956', 'P09874')"
"('Q8NAC3', 'Q96PD4')"
"('Q96PU8', 'Q9BQA1')"
"('A0JLT2', 'Q9UJX4')"
"('Q9H8E8', 'Q96ES7')"
"('Q9H0M0', 'Q01844')"
"('Q9ULV0', 'P38432')"
"('P52272', 'P25054')"
"('O43463', 'Q14188')"
"('Q13573', 'Q96KP1')"
"('Q00978', 'P48551')"
"('P43403', 'P29992')"
"('O95167', 'P17568')"
"('Q15596', 'P41235')"
"('Q8WVM7', 'Q02224')"
"('Q07092', 'P02462')"
"('P39019', 'Q00653')"
"('P14778', 'P42574')"
"('Q9UKV8', 'Q7RTS6')"
"('O75367', 'Q9Y5B9')"
"('Q8WYJ6', 'Q14141')"
"('Q14525', 'Q12834')"
"('P04264', 'P12830')"
"('Q04206', 'Q16566')"
"('Q9UKE5', 'Q9Y2B0')"
"('P05107', 'Q03405')"
"('Q15428', 'Q07955')"
"('O76093', 'P35916')"
"('Q969S8', 'Q6FI13')"
"('P0CG48', 'Q9NZ09')"
"('Q86W92', 'Q13136')"
"('P09874', 'P0CG48')"
"('P00533', 'Q6P1N0')"
"('Q99684', 'Q96KQ7')"
"('O43837', 'P50213')"
"('Q15052', 'Q15796')"
"('Q13017', 'P15153')"
"('O14641', 'Q15287')"
"('P68871', 'P02008')"
"('Q13424', 'P08913')"
"('Q06587', 'P0C0S5')"
"('O75486', 'Q92830')"
"('Q9UQE7', 'P78406')"
"('Q9Y4K3', 'P18077')"
"('Q13233', 'P52564')"
"('P16220', 'Q8N5C7')"
"('Q13554', 'Q13557')"
"('P62837', 'O76064')"
"('Q9NPP4', 'P01584')"
"('O15145', 'P42772')"
"('P78344', 'Q13573')"
"('P10415', 'P06400')"
"('Q9H816', 'P54652')"
"('Q9C004', 'P04049')"
"('P14136', 'O00255')"
"('O95359', 'Q09472')"
"('Q8WXE1', 'Q13535')"
"('Q15173', 'Q01668')"
"('O60262', 'P08172')"
"('Q04206', 'P11021')"
"('P10124', 'Q6UXH1')"
"('Q9UHR5', 'O00267')"
"('P60953', 'O96013')"
"('Q9GZT8', 'Q8N5Z5')"
"('O95865', 'Q15418')"
"('P01588', 'Q08334')"
"('Q8N7H5', 'Q92541')"
"('Q10586', 'Q93009')"
"('Q13094', 'Q7Z5R6')"
"('406954', 'P46527')"
"('O00292', 'P01137')"
"('P41235', 'Q9H6P5')"
"('Q6PD62', 'Q92541')"
"('Q9UBS8', 'O14933')"
"('Q5T160', 'Q9Y5J5')"
"('P59998', 'P63261')"
"('O75925', 'Q16527')"
"('Q9ULK5', 'Q02156')"
"('O43747', 'P61106')"
"('Q12929', 'Q15834')"
"('P19838', 'Q00610')"
"('P32121', 'Q8NGG2')"
"('P49411', 'P62993')"
"('P26641', 'P07814')"
"('P07766', 'P42338')"
"('P29597', 'P51692')"
"('P60953', 'P31150')"
"('Q9UKY1', 'O75381')"
"('Q9Y3R0', 'Q9BZL6')"
"('P26358', 'O75530')"
"('P41279', 'Q04206')"
"('P18146', 'Q6PL18')"
"('Q9UKJ5', 'Q99750')"
"('O00233', 'P61289')"
"('Q9NS73', 'Q13136')"
"('Q8IX12', 'P26599')"
"('P01568', 'Q01113')"
"('Q99832', 'P60510')"
"('Q15843', 'P33992')"
"('Q16586', 'O43556')"
"('P60709', 'P10916')"
"('Q9H9A6', 'P30480')"
"('Q96AH8', 'Q71U36')"
"('P11142', 'P14625')"
"('P50395', 'Q9Y4K3')"
"('P35626', 'Q8NGC9')"
"('O94805', 'Q6STE5')"
"('Q99759', 'Q9NWS0')"
"('Q13616', 'Q4G163')"
"('P53803', 'Q9NW08')"
"('Q9ULL4', 'Q92730')"
"('Q96G61', 'Q9Y4K3')"
"('P46108', 'Q05397')"
"('P32298', 'P49238')"
"('P63162', 'Q07666')"
"('Q9UQ80', 'P46779')"
"('Q00653', 'Q3ZCQ8')"
"('Q15021', 'Q9BPX3')"
"('P16104', 'Q99536')"
"('P13569', 'P04632')"
"('O15533', 'P30511')"
"('P37231', 'Q15596')"
"('Q13547', 'Q71UI9')"
"('P54253', 'Q13085')"
"('O75431', 'Q16891')"
"('P30504', 'P12004')"
"('P11309', 'P34896')"
"('O43237', 'Q96AH8')"
"('O43182', 'P61586')"
"('P35228', 'P19793')"
"('Q9UMX1', 'Q9Y297')"
"('P51149', 'P68371')"
"('P43364', 'Q92530')"
"('P16104', 'P14314')"
"('O60216', 'Q9NTI5')"
"('Q13137', 'O95251')"
"('P20333', 'Q15645')"
"('P27540', 'Q15596')"
"('Q96KG7', 'A3KMH1')"
"('P46531', 'Q9UJU2')"
"('Q9NX14', 'O00217')"
"('P51692', 'P20963')"
"('Q9UFF9', 'Q5VYY2')"
"('P32881', 'Q14627')"
"('Q86YJ5', 'P07339')"
"('P06493', 'O95835')"
"('Q13619', 'Q6UXN9')"
"('P08865', 'P22090')"
"('Q14839', 'Q09028')"
"('P59998', 'Q9BPX5')"
"('P12931', 'P78345')"
"('Q04206', 'O60603')"
"('P21583', 'P29317')"
"('Q9BRQ0', 'O75529')"
"('Q07157', 'Q9UI47')"
"('Q13315', 'Q99959')"
"('P27824', 'Q12809')"
"('P31946', 'Q96SB4')"
"('Q15717', 'P0CG48')"
"('Q9NRJ4', 'P55157')"
"('P01850', 'P01911')"
"('Q15714', 'P63173')"
"('Q9UET6', 'P52788')"
"('Q13535', 'Q9UHB6')"
"('Q15173', 'P30153')"
"('P26641', 'Q9BYV6')"
"('Q15759', 'O95644')"
"('P18206', 'P12830')"
"('O00422', 'Q969V3')"
"('P51116', 'P16333')"
"('P35626', 'Q8TCB6')"
"('Q13568', 'P01562')"
"('Q8WYQ5', '406956')"
"('Q8TB05', 'Q96G25')"
"('P60709', 'P25705')"
"('P19793', 'P20749')"
"('P21246', 'P67775')"
"('P16471', 'P05204')"
"('P09471', 'Q13561')"
"('Q9Y2X0', 'Q9Y4A5')"
"('Q13007', 'P01589')"
"('Q9H814', 'Q9BUB5')"
"('P54105', 'P62318')"
"('Q01094', 'Q92830')"
"('Q13683', 'Q14192')"
"('Q12967', 'Q99578')"
"('P22694', 'Q02930')"
"('P11362', 'Q9NQ66')"
"('Q9Y5M8', 'P40337')"
"('Q13007', 'P40189')"
"('P32121', 'P47887')"
"('P01106', 'Q9BV86')"
"('O60341', 'Q13573')"
"('P51610', 'O43889')"
"('P01566', 'Q13261')"
"('Q9NRR5', 'Q49A88')"
"('Q16512', 'Q9ULK5')"
"('Q9H6S3', 'Q99459')"
"('Q14209', 'P10244')"
"('Q14653', 'Q86WV6')"
"('Q9BXP5', 'P61956')"
"('P23508', 'Q12904')"
"('P37837', 'P23508')"
"('Q8NI29', 'P62877')"
"('P31946', 'Q9Y2H1')"
"('B1A4H9', 'Q14627')"
"('Q9H3D4', 'Q9H2X6')"
"('P56748', 'P56747')"
"('O15047', 'P62807')"
"('406937', 'Q01860')"
"('O15047', 'P58876')"
"('Q96Q27', 'Q93034')"
"('Q92569', 'O00329')"
"('Q04837', 'Q14197')"
"('P10070', 'P98160')"
"('P11387', 'Q8IW19')"
"('Q01780', 'Q5SR56')"
"('Q86Y56', 'O75365')"
"('Q96LR5', 'Q13064')"
"('P08588', 'Q5TCQ9')"
"('407013', 'P16104')"
"('P41235', 'P10912')"
"('Q9BUJ2', 'P08579')"
"('P55010', 'B5ME19')"
"('Q86V81', 'Q9H4D5')"
"('Q8N6F1', 'Q8NI35')"
"('P01241', 'P48551')"
"('Q9P0M6', 'O15379')"
"('Q9H1Y0', 'Q8NAA4')"
"('P14625', 'P31751')"
"('P56537', 'Q14697')"
"('Q13363', 'Q92831')"
"('Q16559', 'P62993')"
"('P16220', 'Q9UKY1')"
"('P16333', 'P20231')"
"('P63279', 'Q01826')"
"('Q14657', 'Q14164')"
"('P61313', 'Q9UL18')"
"('Q9BYM8', 'Q96EP0')"
"('Q16891', 'Q12873')"
"('Q15428', 'Q9BQI9')"
"('P01033', 'P14780')"
"('Q9Y5B9', 'O75367')"
"('P61019', 'P50395')"
"('Q16625', 'P56856')"
"('Q15466', 'O00482')"
"('407021', 'Q5ZPR3')"
"('O14867', 'Q16236')"
"('P37231', 'O60869')"
"('P16144', 'P51636')"
"('P30504', 'P30460')"
"('P62241', 'P62081')"
"('P00533', 'O43639')"
"('P21583', 'P22607')"
"('P32298', 'P08588')"
"('P51692', 'P46108')"
"('Q13573', 'Q15291')"
"('Q9UMX1', 'Q96ST3')"
"('Q15291', 'Q9UPS6')"
"('P50395', 'P61006')"
"('O75081', 'P51805')"
"('P55081', 'Q92620')"
"('P56915', 'O75420')"
"('P06733', 'Q9UPW5')"
"('P16298', 'Q9H1A4')"
"('P46087', 'P19525')"
"('O75116', 'Q9BUA6')"
"('Q13153', 'Q14315')"
"('P04183', 'Q09028')"
"('Q13519', 'P41146')"
"('P41220', 'Q14524')"
"('Q969Q1', 'O76041')"
"('Q12933', 'P62158')"
"('Q53GS9', 'Q13573')"
"('Q8N668', 'Q9UBI1')"
"('P08708', 'P60866')"
"('Q99759', 'O14920')"
"('P49321', 'O75815')"
"('P53778', 'Q9Y2T4')"
"('P62979', 'P63220')"
"('O75521', 'P32121')"
"('P61224', 'P05556')"
"('Q13105', 'Q92731')"
"('P16104', 'Q8NBJ7')"
"('Q14289', 'Q13772')"
"('O14717', 'Q9ULG6')"
"('Q16539', 'Q16082')"
"('P35626', 'Q8NGR2')"
"('P16298', 'O94916')"
"('Q06124', 'P16144')"
"('Q14532', 'Q00005')"
"('O60684', 'P00966')"
"('P00519', 'P04637')"
"('P17676', 'P49715')"
"('Q15118', 'P23443')"
"('P04637', 'Q9NYY3')"
"('P55209', 'Q92844')"
"('Q13480', 'Q16827')"
"('Q06124', 'P46109')"
"('P38936', 'Q9Y3C7')"
"('Q9C000', 'Q9NPP4')"
"('Q96DZ1', 'P01243')"
"('P25054', 'P14635')"
"('Q9NRP0', 'Q15714')"
"('Q07890', 'P68133')"
"('P62380', 'Q96EY7')"
"('Q13241', 'Q07444')"
"('P19838', 'Q15788')"
"('Q9UI36', 'Q96ST3')"
"('P42338', 'Q13094')"
"('P27361', 'O76070')"
"('Q9UNS1', 'Q7L590')"
"('P31749', 'Q8IYJ3')"
"('Q96GF1', 'P62256')"
"('P15622', 'Q9C0F1')"
"('O95967', 'Q8TCX5')"
"('P26441', 'Q13651')"
"('P52756', 'P61978')"
"('P35225', 'Q9UHF4')"
"('O60291', 'P60604')"
"('P63104', 'Q02156')"
"('O43913', 'P42771')"
"('P49286', 'O76081')"
"('Q92597', 'P60228')"
"('O43561', 'P22681')"
"('Q70Z53', 'Q9NX46')"
"('Q12857', 'O00625')"
"('P23526', 'Q96BK5')"
"('P60228', 'Q9GZR7')"
"('P05106', 'O43707')"
"('P45983', 'P12956')"
"('Q9NPF5', 'Q96L91')"
"('Q01196', 'Q14192')"
"('P35611', 'Q92598')"
"('P56703', 'Q14332')"
"('P24941', 'Q01094')"
"('P00533', 'O43147')"
"('P22681', 'Q01344')"
"('Q9HAV0', 'Q8WYR1')"
"('Q9UFF9', 'Q96FW1')"
"('O15360', 'Q00597')"
"('P21917', 'Q9UK08')"
"('Q13546', 'P63000')"
"('Q12933', 'Q13572')"
"('Q8N806', 'Q86T03')"
"('P13224', 'P27986')"
