negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'Q2WGJ6', 'TSH', 'Q96A09'})"
"frozenset({'TSH', 'Q9Y4K3', 'P10242'})"
"frozenset({'O43390', 'TSH', 'Q12986'})"
"frozenset({'Q9HBF4', 'TSH', 'O75385'})"
"frozenset({'TSH', 'P61073', 'P19875'})"
"frozenset({'TSH', 'Q8NBP7', 'Q8IXB1'})"
"frozenset({'Q7Z2W4', 'TSH', 'P23246'})"
"frozenset({'P06756', 'TSH', 'P14555'})"
"frozenset({'Q9H346', 'TSH', 'P25098'})"
"frozenset({'TSH', 'P42771', 'P68371'})"
"frozenset({'TSH', 'O14744', 'Q969G3'})"
"frozenset({'TSH', 'P59780', 'O14617'})"
"frozenset({'TSH', 'Q8N6T7', 'P62244'})"
"frozenset({'TSH', 'O76080', 'Q9Y4K3'})"
"frozenset({'TSH', 'O75626', 'Q9HB58'})"
"frozenset({'P14174', 'P50995', 'TSH'})"
"frozenset({'Q68DV7', 'TSH', 'Q15233'})"
"frozenset({'TSH', 'Q9NRL3', 'P63167'})"
"frozenset({'P12814', 'TSH', 'P49715'})"
"frozenset({'Q9H2G4', 'TSH', 'O43242'})"
"frozenset({'Q12948', 'TSH', 'P63151'})"
"frozenset({'Q9Y243', 'Q8TEY5', 'TSH'})"
"frozenset({'P62826', 'TSH', 'P46527'})"
"frozenset({'Q9HBZ2', 'TSH', 'Q14129'})"
"frozenset({'TSH', 'Q99879', 'P60033'})"
"frozenset({'Q8WWB7', 'TSH', 'P19086'})"
"frozenset({'TSH', 'Q86UW9', 'Q6P597'})"
"frozenset({'TSH', 'Q99496', 'Q9NPL8'})"
"frozenset({'TSH', 'P49407', 'Q8NGT5'})"
"frozenset({'P17612', 'TSH', 'P23258'})"
"frozenset({'Q7Z3B4', 'P55072', 'TSH'})"
"frozenset({'TSH', 'Q9HCE1', 'Q6PH81'})"
"frozenset({'TSH', 'P43355', 'O15480'})"
"frozenset({'TSH', 'Q8IYF1', 'O75031'})"
"frozenset({'TSH', 'Q13404', 'P10827'})"
"frozenset({'P13500', 'TSH', 'Q99612'})"
"frozenset({'TSH', 'P78362', 'O00488'})"
"frozenset({'TSH', 'O60674', 'Q99650'})"
"frozenset({'TSH', 'O95402', 'P49336'})"
"frozenset({'O96017', 'TSH', 'Q5VTR2'})"
"frozenset({'TSH', 'Q6AZZ1', 'O75791'})"
"frozenset({'P36888', 'P21583', 'TSH'})"
"frozenset({'TSH', 'P25791', 'Q86Y26'})"
"frozenset({'TSH', 'Q9UDY4', 'Q6SJ96'})"
"frozenset({'Q9NQC7', 'TSH', 'O95786'})"
"frozenset({'TSH', 'Q99816', 'O95678'})"
"frozenset({'TSH', 'P08238', 'Q8NER5'})"
"frozenset({'TSH', 'P40763', 'Q9Y5Q3'})"
"frozenset({'TSH', 'Q9H0R8', 'P55795'})"
"frozenset({'P62899', 'TSH', 'O00541'})"
"frozenset({'TSH', 'Q96H12', 'P35080'})"
"frozenset({'TSH', 'Q9Y6K9', 'Q9H5J0'})"
"frozenset({'P17612', 'TSH', 'P78348'})"
"frozenset({'TSH', 'Q13546', 'P11021'})"
"frozenset({'Q99638', 'P27695', 'TSH'})"
"frozenset({'TSH', 'Q9UGU0', 'Q96ST3'})"
"frozenset({'TSH', 'Q9Y6E7', 'Q9BYD6'})"
"frozenset({'P18847', 'TSH', 'O95644'})"
"frozenset({'TSH', 'P15927', 'P17844'})"
"frozenset({'TSH', 'Q9GZQ8', 'Q15154'})"
"frozenset({'TSH', 'P17676', 'P10826'})"
"frozenset({'P07339', 'TSH', 'P00338'})"
"frozenset({'Q8NH04', 'TSH', 'Q9P2W3'})"
"frozenset({'TSH', 'Q7Z417', 'P60369'})"
"frozenset({'Q96ME1', 'TSH', 'Q7L5N1'})"
"frozenset({'Q9NXE8', 'TSH', 'Q9ULJ3'})"
"frozenset({'TSH', 'Q15365', 'Q13573'})"
"frozenset({'TSH', 'O00401', 'P32241'})"
"frozenset({'TSH', 'Q99496', 'Q8NE71'})"
"frozenset({'TSH', 'Q9NZN9', 'A0AVT1'})"
"frozenset({'TSH', 'Q9NYZ3', 'Q6P2E9'})"
"frozenset({'TSH', 'Q9BYQ3', 'O43609'})"
"frozenset({'Q13569', 'TSH', 'Q9NZJ0'})"
"frozenset({'Q06787', 'TSH', 'Q6ICG8'})"
"frozenset({'TSH', 'Q86XR8', 'P62269'})"
"frozenset({'Q9NPQ8', 'TSH', 'Q01726'})"
"frozenset({'Q15173', 'TSH', 'O95072'})"
"frozenset({'TSH', 'Q86YC2', 'P51587'})"
"frozenset({'TSH', 'P06748', 'P13612'})"
"frozenset({'O75312', 'TSH', 'Q99933'})"
"frozenset({'Q14232', 'TSH', 'Q9BYD3'})"
"frozenset({'TSH', 'Q6P1K2', 'Q8TDR4'})"
"frozenset({'TSH', 'Q9BYW2', 'O14965'})"
"frozenset({'TSH', 'Q96FK6', 'O14980'})"
"frozenset({'TSH', 'Q9NRD1', 'Q9NRN7'})"
"frozenset({'P49746', 'TSH', 'Q9NVV4'})"
"frozenset({'Q86VP6', 'TSH', 'Q9UBU9'})"
"frozenset({'TSH', 'O14576', 'Q15796'})"
"frozenset({'Q12926', 'Q86SE5', 'TSH'})"
"frozenset({'TSH', 'P33176', 'Q5VYK3'})"
"frozenset({'Q9Y6Q5', 'TSH', 'Q9ULT8'})"
"frozenset({'O75122', 'TSH', 'P11217'})"
"frozenset({'Q86VE0', 'TSH', 'P60411'})"
"frozenset({'TSH', 'Q09666', 'Q2TBA0'})"
"frozenset({'Q9H6T3', 'TSH', 'Q9UKB1'})"
"frozenset({'P13861', 'TSH', 'P27815'})"
"frozenset({'TSH', 'P42025', 'O43264'})"
"frozenset({'TSH', 'Q9NP62', 'O15379'})"
"frozenset({'TSH', 'Q8WVB6', 'P35244'})"
"frozenset({'P42338', 'P62879', 'TSH'})"
"frozenset({'Q9UHC7', 'TSH', 'Q13895'})"
"frozenset({'P15391', 'TSH', 'O00459'})"
"frozenset({'TSH', 'Q9NRD1', 'P78357'})"
"frozenset({'TSH', 'Q6NUN9', 'P08574'})"
"frozenset({'TSH', 'P20248', 'P62877'})"
"frozenset({'TSH', 'Q8NDF8', 'Q6NSZ9'})"
"frozenset({'TSH', 'Q7Z6G3', 'Q6P597'})"
"frozenset({'Q14145', 'TSH', 'Q6P6B1'})"
"frozenset({'TSH', 'Q9H0R8', 'P47869'})"
"frozenset({'Q15323', 'TSH', 'P14136'})"
"frozenset({'Q08379', 'TSH', 'Q9BVG8'})"
"frozenset({'P0DP24', 'TSH', 'Q9HC77'})"
"frozenset({'P00540', 'TSH', 'Q8N6Y0'})"
"frozenset({'P31749', 'TSH', 'Q6ZVD8'})"
"frozenset({'P29972', 'TSH', 'P15884'})"
"frozenset({'TSH', 'P55347', 'Q14192'})"
"frozenset({'Q9UBU9', 'Q8IW45', 'TSH'})"
"frozenset({'TSH', 'Q7Z3S9', 'P05187'})"
"frozenset({'O95168', 'TSH', 'O75251'})"
"frozenset({'Q86XT4', 'TSH', 'P49760'})"
"frozenset({'TSH', 'P46087', 'P18124'})"
"frozenset({'Q8NI37', 'TSH', 'Q96AQ6'})"
"frozenset({'TSH', 'Q9Y4K3', 'P42858'})"
"frozenset({'Q9Y5Z9', 'Q13323', 'TSH'})"
"frozenset({'TSH', 'P55036', 'Q96PU5'})"
"frozenset({'TSH', 'P51991', 'Q6FIF0'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q8IUC6'})"
"frozenset({'TSH', 'Q6ZU80', 'Q8WYA0'})"
"frozenset({'Q9H4L5', 'TSH', 'O00444'})"
"frozenset({'P24941', 'TSH', 'P62140'})"
"frozenset({'TSH', 'Q13093', 'P03372'})"
"frozenset({'TSH', 'Q8IUQ4', 'O00560'})"
"frozenset({'Q9UKM9', 'TSH', 'O95466'})"
"frozenset({'O14757', 'TSH', 'Q9BXW9'})"
"frozenset({'TSH', 'P15923', 'Q92793'})"
"frozenset({'P49006', 'TSH', 'Q16539'})"
"frozenset({'Q14141', 'TSH', 'Q8NDC4'})"
"frozenset({'TSH', 'Q8WXI7', 'P09382'})"
"frozenset({'A6NMS3', 'TSH', 'O60262'})"
"frozenset({'TSH', 'P25054', 'O95271'})"
"frozenset({'P84022', 'TSH', 'Q9UPN9'})"
"frozenset({'P62736', 'TSH', 'Q15392'})"
"frozenset({'TSH', 'Q9GZX7', 'O14980'})"
"frozenset({'Q969T4', 'TSH', 'P62877'})"
"frozenset({'O95819', 'TSH', 'Q13114'})"
"frozenset({'TSH', 'Q9P2N5', 'P35244'})"
"frozenset({'P49736', 'TSH', 'Q9UL18'})"
"frozenset({'TSH', 'P46781', 'Q14164'})"
"frozenset({'P04406', 'P01023', 'TSH'})"
"frozenset({'Q9UBU6', 'TSH', 'Q13438'})"
"frozenset({'Q9Y4F1', 'TSH', 'Q15717'})"
"frozenset({'TSH', 'P14921', 'P38398'})"
"frozenset({'Q9UKE5', 'TSH', 'Q12933'})"
"frozenset({'TSH', 'O60739', 'Q15691'})"
"frozenset({'TSH', 'P62318', 'O75530'})"
"frozenset({'O95251', 'TSH', 'P06746'})"
"frozenset({'TSH', 'Q9NXF1', 'P48431'})"
"frozenset({'Q9H813', 'TSH', 'Q04941'})"
"frozenset({'P61353', 'Q92817', 'TSH'})"
"frozenset({'Q16620', 'TSH', 'P01133'})"
"frozenset({'TSH', 'Q6NUN9', 'P04843'})"
"frozenset({'TSH', 'Q8N423', 'Q8N6C8'})"
"frozenset({'Q99618', 'TSH', 'Q13952'})"
"frozenset({'TSH', 'P34932', 'P51787'})"
"frozenset({'P15391', 'TSH', 'Q13315'})"
"frozenset({'TSH', 'P11802', 'Q9UQE7'})"
"frozenset({'Q00266', 'TSH', 'P03372'})"
"frozenset({'Q13547', 'TSH', 'O00213'})"
"frozenset({'TSH', 'Q9Y4B6', 'P22736'})"
"frozenset({'P21333', 'TSH', 'Q9H0R8'})"
"frozenset({'TSH', 'Q9NRM6', 'Q15038'})"
"frozenset({'TSH', 'Q9P209', 'P11021'})"
"frozenset({'Q9NXG0', 'TSH', 'P56730'})"
"frozenset({'Q8N565', 'P11362', 'TSH'})"
"frozenset({'O14972', 'TSH', 'O60826'})"
"frozenset({'P19438', 'TSH', 'P05771'})"
"frozenset({'Q9Y5X1', 'TSH', 'Q01167'})"
"frozenset({'Q8WZA9', 'P60520', 'TSH'})"
"frozenset({'Q92499', 'TSH', 'Q9Y2K1'})"
"frozenset({'TSH', 'Q5S007', 'P14618'})"
"frozenset({'TSH', 'Q9GZQ8', 'O95429'})"
"frozenset({'Q05086', 'TSH', 'O75592'})"
"frozenset({'O95831', 'TSH', 'P20671'})"
"frozenset({'Q07020', 'TSH', 'P62081'})"
"frozenset({'Q9NR28', 'Q8N9I5', 'TSH'})"
"frozenset({'TSH', 'Q9Y657', 'Q15717'})"
"frozenset({'TSH', 'P27930', 'Q9NPH3'})"
"frozenset({'Q13572', 'TSH', 'Q12933'})"
"frozenset({'TSH', 'Q9Y250', 'P61218'})"
"frozenset({'TSH', 'O14640', 'O15146'})"
"frozenset({'TSH', 'P59768', 'O14827'})"
"frozenset({'TSH', 'Q96H20', 'O60341'})"
"frozenset({'TSH', 'Q13002', 'P17252'})"
"frozenset({'P10145', 'TSH', 'Q99612'})"
"frozenset({'P17066', 'TSH', 'P11441'})"
"frozenset({'Q96RI1', 'TSH', 'Q14686'})"
"frozenset({'TSH', 'P55884', 'P56537'})"
"frozenset({'TSH', 'P84103', 'Q9NZC7'})"
"frozenset({'Q8N335', 'TSH', 'Q99798'})"
"frozenset({'P27708', 'TSH', 'P28482'})"
"frozenset({'O43823', 'P04745', 'TSH'})"
"frozenset({'TSH', 'Q92585', 'Q9UKV0'})"
"frozenset({'TSH', 'P55072', 'Q96BN8'})"
"frozenset({'Q5T2D2', 'TSH', 'Q16850'})"
"frozenset({'P53396', 'TSH', 'P57078'})"
"frozenset({'Q9BTL4', 'TSH', 'O00629'})"
"frozenset({'TSH', 'O43818', 'P48681'})"
"frozenset({'TSH', 'Q12774', 'P14373'})"
"frozenset({'TSH', 'P49407', 'Q8NHA4'})"
"frozenset({'TSH', 'Q9Y297', 'O43396'})"
"frozenset({'Q15466', 'O95342', 'TSH'})"
"frozenset({'TSH', 'Q9NRZ7', 'Q96BA8'})"
"frozenset({'TSH', 'P12931', 'Q09472'})"
"frozenset({'TSH', 'P16070', 'P25391'})"
"frozenset({'TSH', 'P41182', 'P62987'})"
"frozenset({'Q99728', 'TSH', 'P34932'})"
"frozenset({'TSH', 'Q9HBG6', 'Q7Z4L5'})"
"frozenset({'O60381', 'TSH', 'Q9H871'})"
"frozenset({'TSH', 'O00574', 'P19875'})"
"frozenset({'TSH', 'Q08289', 'Q66LE6'})"
"frozenset({'TSH', 'Q9NR96', 'Q9NWF9'})"
"frozenset({'P58753', 'TSH', 'Q8N122'})"
"frozenset({'TSH', 'Q9NZL4', 'Q7Z3Y8'})"
"frozenset({'TSH', 'Q6S5L8', 'P35916'})"
"frozenset({'TSH', 'Q13573', 'P50750'})"
"frozenset({'TSH', 'Q9Y4K3', 'P49589'})"
"frozenset({'P04637', 'TSH', 'Q13363'})"
"frozenset({'TSH', 'P38398', 'Q9UNH7'})"
"frozenset({'Q07020', 'TSH', 'P46782'})"
"frozenset({'Q96MF2', 'TSH', 'Q07869'})"
"frozenset({'Q9Y5B9', 'TSH', 'P62807'})"
"frozenset({'TSH', 'P55957', 'Q9Y239'})"
"frozenset({'TSH', 'P04040', 'Q9H0W5'})"
"frozenset({'TSH', 'Q2KHR2', 'P01106'})"
"frozenset({'P07900', 'TSH', 'Q6P1J9'})"
"frozenset({'O14641', 'TSH', 'P49910'})"
"frozenset({'Q969L2', 'TSH', 'O00141'})"
"frozenset({'TSH', 'Q8TAD8', 'P61244'})"
"frozenset({'P30679', 'TSH', 'Q13200'})"
"frozenset({'TSH', 'P23467', 'P21741'})"
"frozenset({'TSH', 'P54253', 'Q8TAQ2'})"
"frozenset({'Q16891', 'TSH', 'Q9BZW8'})"
"frozenset({'TSH', 'Q9UK08', 'Q08462'})"
"frozenset({'Q9BRT9', 'TSH', 'O75419'})"
"frozenset({'TSH', 'Q16543', 'Q5H9R7'})"
"frozenset({'TSH', 'O14980', 'Q6PL24'})"
"frozenset({'P29353', 'TSH', 'Q9UQC2'})"
"frozenset({'TSH', 'P25024', 'P80075'})"
"frozenset({'O15209', 'TSH', 'Q9Y316'})"
"frozenset({'TSH', 'Q99959', 'Q02487'})"
"frozenset({'TSH', 'P36952', 'Q15831'})"
"frozenset({'TSH', 'Q99759', 'Q14568'})"
"frozenset({'TSH', 'P09651', 'Q13464'})"
"frozenset({'TSH', 'Q96BA8', 'P43378'})"
"frozenset({'Q96RU7', 'TSH', 'Q8NHY2'})"
"frozenset({'P42338', 'TSH', 'O60674'})"
"frozenset({'TSH', 'P0C5Z0', 'Q8WUI4'})"
"frozenset({'Q8NCE0', 'TSH', 'P51888'})"
"frozenset({'TSH', 'P38646', 'Q9NXW2'})"
"frozenset({'Q9NUU7', 'TSH', 'Q99459'})"
"frozenset({'TSH', 'P48634', 'P05412'})"
"frozenset({'P50150', 'TSH', 'P22694'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q96FA3'})"
"frozenset({'Q9H190', 'TSH', 'Q02040'})"
"frozenset({'P04626', 'TSH', 'P62873'})"
"frozenset({'Q8WW22', 'TSH', 'P52292'})"
"frozenset({'TSH', 'O75052', 'Q14114'})"
"frozenset({'TSH', 'O60292', 'P01106'})"
"frozenset({'TSH', 'Q9UQ90', 'Q15118'})"
"frozenset({'TSH', 'P26373', 'Q8WUA4'})"
"frozenset({'TSH', 'P61019', 'P27824'})"
"frozenset({'P15374', 'TSH', 'P37802'})"
"frozenset({'P84090', 'TSH', 'Q15047'})"
"frozenset({'TSH', 'O75323', 'Q13618'})"
"frozenset({'P04792', 'TSH', 'P23588'})"
"frozenset({'TSH', 'Q15415', 'Q9BTL3'})"
"frozenset({'TSH', 'Q08AM6', 'Q9BSH5'})"
"frozenset({'Q9H492', 'TSH', 'P14866'})"
"frozenset({'TSH', 'Q9HAU4', 'Q96MT3'})"
"frozenset({'TSH', 'Q13972', 'P22694'})"
"frozenset({'Q99942', 'TSH', 'O95870'})"
"frozenset({'TSH', 'O75340', 'P55795'})"
"frozenset({'TSH', 'O60840', 'Q9NPA1'})"
"frozenset({'TSH', 'Q6ZU80', 'O95684'})"
"frozenset({'Q14CN4', 'TSH', 'Q96H55'})"
"frozenset({'Q96FW1', 'TSH', 'P25963'})"
"frozenset({'P01375', 'Q9BXK5', 'TSH'})"
"frozenset({'TSH', 'P10070', 'O00505'})"
"frozenset({'TSH', 'Q6S5L8', 'P08138'})"
"frozenset({'Q9NWU1', 'O14561', 'TSH'})"
"frozenset({'TSH', 'Q9NPJ6', 'Q7L2H7'})"
"frozenset({'TSH', 'P57052', 'P42285'})"
"frozenset({'P35637', 'P30050', 'TSH'})"
"frozenset({'TSH', 'Q9NSV4', 'O95758'})"
"frozenset({'TSH', 'Q9NVK5', 'Q9NZJ7'})"
"frozenset({'TSH', 'P06899', 'Q9Y4A5'})"
"frozenset({'TSH', 'P46108', 'Q9UKX5'})"
"frozenset({'Q9UNE7', 'O95757', 'TSH'})"
"frozenset({'Q9UBY8', 'TSH', 'Q9H6X4'})"
"frozenset({'Q8IW50', 'TSH', 'O95983'})"
"frozenset({'P29460', 'TSH', 'P10912'})"
"frozenset({'TSH', 'Q8NFZ8', 'P34897'})"
"frozenset({'P38919', 'TSH', 'P62316'})"
"frozenset({'P51668', 'TSH', 'O94972'})"
"frozenset({'Q01484', 'TSH', 'P16333'})"
"frozenset({'TSH', 'Q14517', 'Q13315'})"
"frozenset({'P29401', 'TSH', 'Q99972'})"
"frozenset({'Q8NFJ5', 'Q16643', 'TSH'})"
"frozenset({'TSH', 'Q01974', 'O43741'})"
"frozenset({'P51668', 'Q68DV7', 'TSH'})"
"frozenset({'TSH', 'P35222', 'P48730'})"
"frozenset({'TSH', 'Q8IWI9', 'Q8IY57'})"
"frozenset({'TSH', 'P50991', 'P78380'})"
"frozenset({'TSH', 'P01106', 'O75182'})"
"frozenset({'TSH', 'P12931', 'Q8IZL8'})"
"frozenset({'P49746', 'TSH', 'P62829'})"
"frozenset({'TSH', 'P05771', 'Q9NR12'})"
"frozenset({'TSH', 'Q15717', 'Q5HYK7'})"
"frozenset({'TSH', 'P54727', 'Q8N0X7'})"
"frozenset({'TSH', 'Q9NR30', 'Q8WYA6'})"
"frozenset({'O95182', 'TSH', 'P09234'})"
"frozenset({'TSH', 'Q6ZMK1', 'Q92522'})"
"frozenset({'P48039', 'TSH', 'Q70CQ2'})"
"frozenset({'O96014', 'TSH', 'A8MQ03'})"
"frozenset({'TSH', 'Q96GM5', 'P14373'})"
"frozenset({'TSH', 'Q6NYC1', 'Q14194'})"
"frozenset({'TSH', 'P52735', 'P15153'})"
"frozenset({'TSH', 'Q16795', 'Q9NPL8'})"
"frozenset({'TSH', 'P52292', 'Q8WYA6'})"
"frozenset({'P38919', 'Q99496', 'TSH'})"
"frozenset({'P19174', 'TSH', 'Q04912'})"
"frozenset({'TSH', 'Q9P286', 'P60953'})"
"frozenset({'TSH', 'P19388', 'Q9BTT4'})"
"frozenset({'TSH', 'P29590', 'Q13761'})"
"frozenset({'TSH', 'P55072', 'Q99759'})"
"frozenset({'O14610', 'TSH', 'P62070'})"
"frozenset({'TSH', 'Q9P2Y5', 'P33176'})"
"frozenset({'TSH', 'P47224', 'P61026'})"
"frozenset({'TSH', 'Q9H0W5', 'Q14671'})"
"frozenset({'TSH', 'Q9Y2X0', 'Q92830'})"
"frozenset({'TSH', 'Q9Y2G2', 'Q5T3J3'})"
"frozenset({'Q5VU43', 'TSH', 'Q8NAP3'})"
"frozenset({'TSH', 'Q9BWT7', 'Q16600'})"
"frozenset({'TSH', 'Q9P2W3', 'Q96R09'})"
"frozenset({'TSH', 'Q9UJX2', 'P14373'})"
"frozenset({'TSH', 'O43809', 'Q8IWL3'})"
"frozenset({'Q96GS4', 'TSH', 'Q8N1B4'})"
"frozenset({'TSH', 'P24844', 'P17252'})"
"frozenset({'TSH', 'Q13895', 'Q8ND90'})"
"frozenset({'TSH', 'P05388', 'O00217'})"
"frozenset({'P62158', 'TSH', 'Q99759'})"
"frozenset({'Q9BZE0', 'TSH', 'Q8NFJ9'})"
"frozenset({'TSH', 'P78362', 'Q6P0Q8'})"
"frozenset({'TSH', 'Q7L804', 'O75031'})"
"frozenset({'TSH', 'Q9Y2V3', 'Q15047'})"
"frozenset({'P62841', 'TSH', 'Q96L21'})"
"frozenset({'TSH', 'Q96KQ4', 'P20700'})"
"frozenset({'A6NEM1', 'TSH', 'Q8N6Y0'})"
"frozenset({'Q07020', 'TSH', 'P60709'})"
"frozenset({'Q99941', 'TSH', 'Q9UGM1'})"
"frozenset({'TSH', 'Q8IYB3', 'Q13618'})"
"frozenset({'TSH', 'Q9BWT7', 'Q9HCK0'})"
"frozenset({'P24941', 'TSH', 'P49736'})"
"frozenset({'P04637', 'TSH', 'Q15172'})"
"frozenset({'P19320', 'TSH', 'P62306'})"
"frozenset({'TSH', 'Q8IWU2', 'P36873'})"
"frozenset({'TSH', 'Q96LR5', 'O94941'})"
"frozenset({'Q9Y3T9', 'Q9NWB1', 'TSH'})"
"frozenset({'TSH', 'Q8WW43', 'P49768'})"
"frozenset({'TSH', 'Q9NZT2', 'Q93009'})"
"frozenset({'Q68DD2', 'TSH', 'P04899'})"
"frozenset({'P61224', 'P04637', 'TSH'})"
"frozenset({'Q9BSY9', 'TSH', 'P01106'})"
"frozenset({'TSH', 'P0CAP1', 'Q68CZ1'})"
"frozenset({'Q9H4L5', 'Q9H0R8', 'TSH'})"
"frozenset({'TSH', 'P06899', 'Q93077'})"
"frozenset({'TSH', 'P49407', 'Q8NGC9'})"
"frozenset({'TSH', 'Q9NQX7', 'P34925'})"
"frozenset({'Q14999', 'TSH', 'Q14204'})"
"frozenset({'Q8NGP4', 'TSH', 'O60262'})"
"frozenset({'TSH', 'Q7Z3S9', 'P62487'})"
"frozenset({'Q12905', 'TSH', 'Q15843'})"
"frozenset({'TSH', 'Q96CM8', 'P02654'})"
"frozenset({'TSH', 'P06400', 'Q12931'})"
"frozenset({'Q99728', 'TSH', 'O60942'})"
"frozenset({'O94986', 'Q15025', 'TSH'})"
"frozenset({'TSH', 'P26232', 'P63261'})"
"frozenset({'Q3MJ16', 'TSH', 'P63092'})"
"frozenset({'P32121', 'TSH', 'Q6IF36'})"
"frozenset({'O96017', 'P29590', 'TSH'})"
"frozenset({'TSH', 'Q969G3', 'Q86U86'})"
"frozenset({'TSH', 'P05154', 'P02679'})"
"frozenset({'TSH', 'Q6UXL0', 'P01567'})"
"frozenset({'TSH', 'Q96IP4', 'Q12986'})"
"frozenset({'P38936', 'TSH', 'O15151'})"
"frozenset({'TSH', 'P08754', 'O95398'})"
"frozenset({'TSH', 'Q9UKS6', 'P11021'})"
"frozenset({'TSH', 'P00488', 'P20073'})"
"frozenset({'P15735', 'TSH', 'P22612'})"
"frozenset({'TSH', 'Q9UGP5', 'Q02383'})"
"frozenset({'TSH', 'Q9Y3U8', 'Q9Y478'})"
"frozenset({'TSH', 'Q96G46', 'P31321'})"
"frozenset({'TSH', 'P01909', 'Q8N5G2'})"
"frozenset({'Q15287', 'TSH', 'Q96LP2'})"
"frozenset({'Q9BQA5', 'Q9HCM9', 'TSH'})"
"frozenset({'Q9HCJ0', 'TSH', 'Q5BJF6'})"
"frozenset({'Q8IU57', 'TSH', 'P23458'})"
"frozenset({'TSH', 'Q8NCM8', 'Q86V87'})"
"frozenset({'TSH', 'Q96C92', 'Q15468'})"
"frozenset({'Q8N9I9', 'TSH', 'P62256'})"
"frozenset({'TSH', 'Q9Y5B8', 'O15078'})"
"frozenset({'TSH', 'O75347', 'P53367'})"
"frozenset({'TSH', 'P10275', 'Q15181'})"
"frozenset({'TSH', 'P49916', 'Q7Z2E3'})"
"frozenset({'TSH', 'Q5XKP0', 'P99999'})"
"frozenset({'TSH', 'Q12906', 'Q6NZI2'})"
"frozenset({'TSH', 'Q9UBX2', 'P12956'})"
"frozenset({'TSH', 'O95274', 'Q8NB49'})"
"frozenset({'TSH', 'P21673', 'Q14194'})"
"frozenset({'TSH', 'P62304', 'Q92905'})"
"frozenset({'O75376', 'TSH', 'P62805'})"
"frozenset({'P55769', 'TSH', 'P14866'})"
"frozenset({'O00507', 'TSH', 'P54277'})"
"frozenset({'Q9Y5J1', 'TSH', 'P22087'})"
"frozenset({'P13500', 'TSH', 'P51685'})"
"frozenset({'Q9UKD2', 'TSH', 'P68400'})"
"frozenset({'P0DMV9', 'TSH', 'P63104'})"
"frozenset({'TSH', 'P54253', 'Q9Y4B4'})"
"frozenset({'P60842', 'Q99459', 'TSH'})"
"frozenset({'TSH', 'P52735', 'Q5SW79'})"
"frozenset({'TSH', 'O14965', 'Q13618'})"
"frozenset({'TSH', 'P51159', 'Q9BV36'})"
"frozenset({'TSH', 'Q92844', 'P52292'})"
"frozenset({'P51970', 'TSH', 'Q9NX63'})"
"frozenset({'Q9Y6Q5', 'O75843', 'TSH'})"
"frozenset({'P60520', 'TSH', 'Q9UPU7'})"
"frozenset({'TSH', 'Q04206', 'P25705'})"
"frozenset({'Q9NYB0', 'TSH', 'Q01105'})"
"frozenset({'TSH', 'O00401', 'Q9UPY6'})"
"frozenset({'Q8N9N5', 'TSH', 'Q9Y333'})"
"frozenset({'TSH', 'P49715', 'Q05195'})"
"frozenset({'P16520', 'TSH', 'P22694'})"
"frozenset({'Q92754', 'TSH', 'O14920'})"
"frozenset({'Q9BRX9', 'Q08AM6', 'TSH'})"
"frozenset({'P12814', 'TSH', 'Q8N6T7'})"
"frozenset({'TSH', 'P13591', 'P04629'})"
"frozenset({'Q9H4L4', 'TSH', 'Q12906'})"
"frozenset({'P12814', 'TSH', 'P11137'})"
"frozenset({'TSH', 'Q99704', 'P16333'})"
"frozenset({'P20339', 'TSH', 'Q9NZZ3'})"
"frozenset({'TSH', 'Q07021', 'Q8N3J5'})"
"frozenset({'TSH', 'P27635', 'P62750'})"
"frozenset({'Q7Z699', 'TSH', 'Q9BXY8'})"
"frozenset({'O15212', 'TSH', 'P30046'})"
"frozenset({'TSH', 'P21108', 'Q15554'})"
"frozenset({'TSH', 'P25098', 'Q8NGL4'})"
"frozenset({'P78371', 'TSH', 'Q6WCQ1'})"
"frozenset({'TSH', 'P28715', 'P84098'})"
"frozenset({'TSH', 'Q6IQ23', 'Q8IZD4'})"
"frozenset({'TSH', 'Q9ULL4', 'O15085'})"
"frozenset({'TSH', 'P46060', 'P23284'})"
"frozenset({'Q96DU3', 'TSH', 'P29350'})"
"frozenset({'TSH', 'P05387', 'P62750'})"
"frozenset({'TSH', 'P59780', 'P62330'})"
"frozenset({'TSH', 'Q8TC92', 'P56537'})"
"frozenset({'TSH', 'Q03164', 'P62807'})"
"frozenset({'TSH', 'O75155', 'Q13616'})"
"frozenset({'TSH', 'Q96S06', 'O60512'})"
"frozenset({'Q5EBL4', 'Q6IQ22', 'TSH'})"
"frozenset({'TSH', 'P40763', 'P47712'})"
"frozenset({'P06744', 'TSH', 'P06733'})"
"frozenset({'TSH', 'P42858', 'Q8N2W9'})"
"frozenset({'Q01780', 'TSH', 'Q7L2H7'})"
"frozenset({'P09914', 'P08621', 'TSH'})"
"frozenset({'P01570', 'P09619', 'TSH'})"
"frozenset({'TSH', 'P42345', 'P05771'})"
"frozenset({'TSH', 'Q2M1P5', 'Q9P209'})"
"frozenset({'Q9Y3F4', 'TSH', 'O15530'})"
"frozenset({'TSH', 'O43172', 'O95568'})"
