negatives
"frozenset({'Q9ULK4', 'Q8IYB3', 'IL2'})"
"frozenset({'P31749', 'O75030', 'IL2'})"
"frozenset({'P26951', 'O15524', 'IL2'})"
"frozenset({'Q9UDV6', 'P15336', 'IL2'})"
"frozenset({'P16104', 'P16278', 'IL2'})"
"frozenset({'Q9NX55', 'Q5TDH0', 'IL2'})"
"frozenset({'Q9UN70', 'Q96ES6', 'IL2'})"
"frozenset({'Q96L21', 'Q9HCE1', 'IL2'})"
"frozenset({'O60939', 'Q13395', 'IL2'})"
"frozenset({'P04629', 'IL2', 'P52294'})"
"frozenset({'P48729', 'P13612', 'IL2'})"
"frozenset({'P14678', 'Q969P0', 'IL2'})"
"frozenset({'P46776', 'P62851', 'IL2'})"
"frozenset({'P05556', 'Q02078', 'IL2'})"
"frozenset({'Q9NRC8', 'Q15058', 'IL2'})"
"frozenset({'Q9NRD1', 'IL2', 'Q92947'})"
"frozenset({'P16144', 'O75369', 'IL2'})"
"frozenset({'P08151', 'Q13485', 'IL2'})"
"frozenset({'Q15008', 'Q15018', 'IL2'})"
"frozenset({'P67870', 'P61244', 'IL2'})"
"frozenset({'Q96SD1', 'Q12899', 'IL2'})"
"frozenset({'P10144', 'Q03252', 'IL2'})"
"frozenset({'Q8NE86', 'Q9UI10', 'IL2'})"
"frozenset({'Q6ZWI9', 'IL2', 'Q96DT7'})"
"frozenset({'P68431', 'IL2', 'Q9H5I1'})"
"frozenset({'O60674', 'P10912', 'IL2'})"
"frozenset({'P04222', 'P25205', 'IL2'})"
"frozenset({'Q96SB4', 'IL2', 'Q9BWF3'})"
"frozenset({'O75031', 'IL2', 'O75386'})"
"frozenset({'Q92777', 'P17980', 'IL2'})"
"frozenset({'P61289', 'Q9NPJ6', 'IL2'})"
"frozenset({'P62701', 'P04629', 'IL2'})"
"frozenset({'Q8IU54', 'P17181', 'IL2'})"
"frozenset({'Q96GE4', 'Q86Z20', 'IL2'})"
"frozenset({'P09919', 'Q9UHF4', 'IL2'})"
"frozenset({'Q9Y6G5', 'Q9UBI1', 'IL2'})"
"frozenset({'P16410', 'IL2', 'P27986'})"
"frozenset({'IL2', 'Q92905', 'P10451'})"
"frozenset({'Q6IAN0', 'IL2', 'Q12888'})"
"frozenset({'P51991', 'P61026', 'IL2'})"
"frozenset({'IL2', 'P00505', 'Q6YP21'})"
"frozenset({'P62851', 'Q00839', 'IL2'})"
"frozenset({'Q5JY77', 'P30559', 'IL2'})"
"frozenset({'P62899', 'IL2', 'Q7L5N1'})"
"frozenset({'O95718', 'P07900', 'IL2'})"
"frozenset({'Q00653', 'Q9UKB1', 'IL2'})"
"frozenset({'Q86UX6', 'Q58FG0', 'IL2'})"
"frozenset({'IL2', 'Q15653', 'P11142'})"
"frozenset({'P04637', 'Q14978', 'IL2'})"
"frozenset({'P48431', 'IL2', 'Q9NSC2'})"
"frozenset({'O43399', 'P46060', 'IL2'})"
"frozenset({'P62266', 'IL2', 'P46779'})"
"frozenset({'P35869', 'P03372', 'IL2'})"
"frozenset({'P48742', 'Q9UBR4', 'IL2'})"
"frozenset({'Q6IMI6', 'IL2', 'P41236'})"
"frozenset({'Q96ST3', 'P56524', 'IL2'})"
"frozenset({'Q96G79', 'Q9BSE4', 'IL2'})"
"frozenset({'P26368', 'Q14697', 'IL2'})"
"frozenset({'IL2', 'P58753', 'P27986'})"
"frozenset({'Q69YN4', 'P05412', 'IL2'})"
"frozenset({'Q96MF7', 'IL2', 'Q96MG7'})"
"frozenset({'Q16082', 'IL2', 'P00414'})"
"frozenset({'P35228', 'IL2', 'Q15149'})"
"frozenset({'P62263', 'Q969P0', 'IL2'})"
"frozenset({'Q8NBL1', 'Q9NRD1', 'IL2'})"
"frozenset({'Q9UHB6', 'IL2', 'Q9ULV4'})"
"frozenset({'O15169', 'Q9GZV5', 'IL2'})"
"frozenset({'P11940', 'IL2', 'Q9H0W5'})"
"frozenset({'P00450', 'Q9NPJ6', 'IL2'})"
"frozenset({'O95071', 'IL2', 'Q8IY92'})"
"frozenset({'P55197', 'Q9GZM8', 'IL2'})"
"frozenset({'Q2T9J0', 'P04040', 'IL2'})"
"frozenset({'P38646', 'P04406', 'IL2'})"
"frozenset({'P36873', 'Q69YH5', 'IL2'})"
"frozenset({'Q15796', 'P10070', 'IL2'})"
"frozenset({'Q9Y2H9', 'P20336', 'IL2'})"
"frozenset({'P21554', 'Q9UBI6', 'IL2'})"
"frozenset({'P13612', 'P56199', 'IL2'})"
"frozenset({'Q8NC51', 'P62851', 'IL2'})"
"frozenset({'P16035', 'O14818', 'IL2'})"
"frozenset({'P01563', 'P24394', 'IL2'})"
"frozenset({'O43741', 'IL2', 'Q96I34'})"
"frozenset({'P40937', 'Q96B26', 'IL2'})"
"frozenset({'P12110', 'Q99624', 'IL2'})"
"frozenset({'O15397', 'IL2', 'Q9Y275'})"
"frozenset({'IL2', 'Q6XQN6', 'Q9UI30'})"
"frozenset({'Q5T754', 'IL2', 'Q9BQ66'})"
"frozenset({'P49759', 'P49790', 'IL2'})"
"frozenset({'P34896', 'P26196', 'IL2'})"
"frozenset({'Q13573', 'IL2', 'Q13077'})"
"frozenset({'Q9P2N6', 'Q9Y3Z3', 'IL2'})"
"frozenset({'Q99714', 'O15145', 'IL2'})"
"frozenset({'P39059', 'Q92754', 'IL2'})"
"frozenset({'Q7Z6J9', 'IL2', 'Q9UBU9'})"
"frozenset({'Q8TES7', 'Q8WVM8', 'IL2'})"
"frozenset({'O14874', 'O00442', 'IL2'})"
"frozenset({'P62136', 'P46019', 'IL2'})"
"frozenset({'Q9UHD9', 'Q4G0G5', 'IL2'})"
"frozenset({'Q9UNH5', 'P12830', 'IL2'})"
"frozenset({'Q9UL18', 'P15880', 'IL2'})"
"frozenset({'P36873', 'IL2', 'P61221'})"
"frozenset({'Q7Z6Z7', 'P30050', 'IL2'})"
"frozenset({'IL2', 'Q8TB24', 'Q92574'})"
"frozenset({'P32121', 'P63267', 'IL2'})"
"frozenset({'P26371', 'Q9NQL9', 'IL2'})"
"frozenset({'P36941', 'Q6ZSZ5', 'IL2'})"
"frozenset({'P23443', 'P68133', 'IL2'})"
"frozenset({'P62847', 'Q8WUY3', 'IL2'})"
"frozenset({'IL2', 'P18031', 'P28288'})"
"frozenset({'Q9BYR2', 'Q9BYR3', 'IL2'})"
"frozenset({'Q13509', 'IL2', 'P08754'})"
"frozenset({'P45974', 'Q9UNE7', 'IL2'})"
"frozenset({'Q8NBR6', 'Q9UPT9', 'IL2'})"
"frozenset({'P40197', 'O00459', 'IL2'})"
"frozenset({'Q8IUC6', 'O60603', 'IL2'})"
"frozenset({'P33260', 'P49768', 'IL2'})"
"frozenset({'O60437', 'O15460', 'IL2'})"
"frozenset({'Q13547', 'Q9NYJ8', 'IL2'})"
"frozenset({'P49639', 'IL2', 'P60369'})"
"frozenset({'P04637', 'O14757', 'IL2'})"
"frozenset({'P50225', 'O43865', 'IL2'})"
"frozenset({'P56748', 'IL2', 'O95471'})"
"frozenset({'Q9UM11', 'P25054', 'IL2'})"
"frozenset({'Q15834', 'P29972', 'IL2'})"
"frozenset({'O00408', 'IL2', 'Q9UBU9'})"
"frozenset({'IL2', 'Q00325', 'O75208'})"
"frozenset({'Q96E35', 'Q9BYD3', 'IL2'})"
"frozenset({'P98161', 'IL2', 'P00519'})"
"frozenset({'O14639', 'P19012', 'IL2'})"
"frozenset({'Q8WXA9', 'Q9Y2W1', 'IL2'})"
"frozenset({'Q9NWB7', 'A0AVF1', 'IL2'})"
"frozenset({'IL2', 'P00338', 'Q16665'})"
"frozenset({'P51149', 'P20338', 'IL2'})"
"frozenset({'P15927', 'P55957', 'IL2'})"
"frozenset({'IL2', 'P48549', 'P16520'})"
"frozenset({'Q14999', 'O75152', 'IL2'})"
"frozenset({'Q13490', 'Q8N3J5', 'IL2'})"
"frozenset({'Q96EV8', 'Q5T0J7', 'IL2'})"
"frozenset({'Q9Y5B8', 'O14978', 'IL2'})"
"frozenset({'P49674', 'P17612', 'IL2'})"
"frozenset({'Q8WWY3', 'Q5VU43', 'IL2'})"
"frozenset({'P12004', 'Q5VTR2', 'IL2'})"
"frozenset({'P11802', 'Q15078', 'IL2'})"
"frozenset({'P22612', 'IL2', 'P04899'})"
"frozenset({'P46940', 'Q9UBK2', 'IL2'})"
"frozenset({'P27540', 'P09972', 'IL2'})"
"frozenset({'P56537', 'P54577', 'IL2'})"
"frozenset({'O15169', 'P35221', 'IL2'})"
"frozenset({'Q14151', 'O15379', 'IL2'})"
"frozenset({'Q00341', 'IL2', 'P43360'})"
"frozenset({'O75031', 'Q9UBR2', 'IL2'})"
"frozenset({'O60674', 'O14492', 'IL2'})"
"frozenset({'P27348', 'P04792', 'IL2'})"
"frozenset({'P02538', 'P01857', 'IL2'})"
"frozenset({'Q9UBS0', 'P17980', 'IL2'})"
"frozenset({'Q03518', 'Q14164', 'IL2'})"
"frozenset({'Q9NYF0', 'Q9UJU2', 'IL2'})"
"frozenset({'P52564', 'P15153', 'IL2'})"
"frozenset({'Q6N021', 'O60343', 'IL2'})"
"frozenset({'Q04637', 'IL2', 'Q12952'})"
"frozenset({'P01106', 'IL2', 'Q96HU8'})"
"frozenset({'P63172', 'IL2', 'P35611'})"
"frozenset({'O00560', 'Q14749', 'IL2'})"
"frozenset({'P13645', 'IL2', 'P01857'})"
"frozenset({'Q9H4P4', 'P07550', 'IL2'})"
"frozenset({'Q15022', 'Q7RTV0', 'IL2'})"
"frozenset({'P98082', 'IL2', 'Q13526'})"
"frozenset({'Q86VP1', 'Q9BV68', 'IL2'})"
"frozenset({'Q15382', 'IL2', 'P13693'})"
"frozenset({'Q15303', 'Q12815', 'IL2'})"
"frozenset({'P19387', 'IL2', 'Q6PD62'})"
"frozenset({'P30457', 'IL2', 'O95347'})"
"frozenset({'P47755', 'IL2', 'P35611'})"
"frozenset({'Q9UKF6', 'IL2', 'Q9UBU9'})"
"frozenset({'P37108', 'Q14164', 'IL2'})"
"frozenset({'P04150', 'P62873', 'IL2'})"
"frozenset({'Q9P0J7', 'P35658', 'IL2'})"
"frozenset({'Q71SY5', 'O00308', 'IL2'})"
"frozenset({'P07358', 'P10909', 'IL2'})"
"frozenset({'Q9UI12', 'Q9BZL4', 'IL2'})"
"frozenset({'IL2', 'Q8NEM0', 'Q15021'})"
"frozenset({'O00571', 'Q9NZI8', 'IL2'})"
"frozenset({'O75914', 'Q9H1R3', 'IL2'})"
"frozenset({'P49674', 'IL2', 'O60231'})"
"frozenset({'Q15759', 'Q14999', 'IL2'})"
"frozenset({'Q14457', 'P78527', 'IL2'})"
"frozenset({'P61077', 'P62330', 'IL2'})"
"frozenset({'Q9H6S0', 'P07900', 'IL2'})"
"frozenset({'P31273', 'Q5T749', 'IL2'})"
"frozenset({'P54253', 'P54368', 'IL2'})"
"frozenset({'O95402', 'Q8IXW5', 'IL2'})"
"frozenset({'Q13895', 'Q16637', 'IL2'})"
"frozenset({'P52948', 'Q16666', 'IL2'})"
"frozenset({'O15514', 'IL2', 'Q8N7H5'})"
"frozenset({'P43088', 'Q9BT67', 'IL2'})"
"frozenset({'P05067', 'Q12972', 'IL2'})"
"frozenset({'O75031', 'Q13352', 'IL2'})"
"frozenset({'O76003', 'Q9BYQ3', 'IL2'})"
"frozenset({'P12277', 'IL2', 'Q8N960'})"
"frozenset({'Q96PE7', 'IL2', 'P05067'})"
"frozenset({'P60033', 'Q01813', 'IL2'})"
"frozenset({'Q9H246', 'P18146', 'IL2'})"
"frozenset({'P41743', 'O75689', 'IL2'})"
"frozenset({'P07237', 'P16615', 'IL2'})"
"frozenset({'P04637', 'Q00978', 'IL2'})"
"frozenset({'P12830', 'IL2', 'Q9UDY2'})"
"frozenset({'O94868', 'Q15811', 'IL2'})"
"frozenset({'Q9NZC7', 'Q96N67', 'IL2'})"
"frozenset({'Q14728', 'Q6NUS6', 'IL2'})"
"frozenset({'Q2KHR3', 'IL2', 'Q9BSM1'})"
"frozenset({'Q9Y2P4', 'Q12873', 'IL2'})"
"frozenset({'P18146', 'Q8IZD2', 'IL2'})"
"frozenset({'Q07955', 'IL2', 'Q13151'})"
"frozenset({'P60484', 'Q04206', 'IL2'})"
"frozenset({'Q5JTZ9', 'Q08830', 'IL2'})"
"frozenset({'Q9BT88', 'Q92624', 'IL2'})"
"frozenset({'Q86YD3', 'Q71U36', 'IL2'})"
"frozenset({'Q14677', 'Q9BXW4', 'IL2'})"
"frozenset({'O43924', 'P60953', 'IL2'})"
"frozenset({'Q8NBJ4', 'IL2', 'O95716'})"
"frozenset({'Q9P0M6', 'Q8N257', 'IL2'})"
"frozenset({'Q9NRC8', 'Q02543', 'IL2'})"
"frozenset({'Q7L3B6', 'Q92990', 'IL2'})"
"frozenset({'Q8NGF0', 'P38405', 'IL2'})"
"frozenset({'Q9Y2Q9', 'Q9Y6A4', 'IL2'})"
"frozenset({'P27694', 'Q9NZM1', 'IL2'})"
"frozenset({'P11308', 'P17844', 'IL2'})"
"frozenset({'Q9BPX3', 'P00533', 'IL2'})"
"frozenset({'Q9NQ31', 'P17612', 'IL2'})"
"frozenset({'Q01082', 'O00459', 'IL2'})"
"frozenset({'Q9NRC8', 'Q9BY77', 'IL2'})"
"frozenset({'Q66K74', 'P42704', 'IL2'})"
"frozenset({'Q14554', 'P15289', 'IL2'})"
"frozenset({'Q9Y5P1', 'IL2', 'Q8NFW5'})"
"frozenset({'P55061', 'O00311', 'IL2'})"
"frozenset({'IL2', 'Q8IYB3', 'P61981'})"
"frozenset({'P51114', 'Q8N8V2', 'IL2'})"
"frozenset({'P11021', 'P78527', 'IL2'})"
"frozenset({'P54274', 'Q15691', 'IL2'})"
"frozenset({'P45973', 'IL2', 'P46777'})"
"frozenset({'Q5TA45', 'Q8TDS5', 'IL2'})"
"frozenset({'P34931', 'Q13616', 'IL2'})"
"frozenset({'Q15544', 'IL2', 'P10827'})"
"frozenset({'P05187', 'P49901', 'IL2'})"
"frozenset({'Q9UPN3', 'P19320', 'IL2'})"
"frozenset({'Q2WGJ6', 'P18825', 'IL2'})"
"frozenset({'O43920', 'IL2', 'Q9P0J0'})"
"frozenset({'Q9NRD1', 'O00469', 'IL2'})"
"frozenset({'O00221', 'Q04864', 'IL2'})"
"frozenset({'Q07960', 'Q8IXI1', 'IL2'})"
"frozenset({'Q8TD30', 'Q9Y6E7', 'IL2'})"
"frozenset({'P63092', 'P0DP23', 'IL2'})"
"frozenset({'P04629', 'P51665', 'IL2'})"
"frozenset({'Q96JJ7', 'IL2', 'Q15717'})"
"frozenset({'Q96MH2', 'IL2', 'O95995'})"
"frozenset({'O75530', 'Q9UH17', 'IL2'})"
"frozenset({'Q9BVS4', 'P84022', 'IL2'})"
"frozenset({'O95793', 'Q8NAP3', 'IL2'})"
"frozenset({'Q96EF6', 'P63208', 'IL2'})"
"frozenset({'Q14161', 'Q15653', 'IL2'})"
"frozenset({'Q99759', 'O43175', 'IL2'})"
"frozenset({'P28482', 'Q9UPG8', 'IL2'})"
"frozenset({'Q9Y478', 'P08559', 'IL2'})"
"frozenset({'Q99653', 'IL2', 'Q6AI14'})"
"frozenset({'O60739', 'Q9NQP4', 'IL2'})"
"frozenset({'Q8IYX8', 'Q9UK41', 'IL2'})"
"frozenset({'Q9UKA4', 'IL2', 'Q8IWL3'})"
"frozenset({'P01023', 'Q15714', 'IL2'})"
"frozenset({'Q8NI38', 'Q9C026', 'IL2'})"
"frozenset({'Q13547', 'O15014', 'IL2'})"
"frozenset({'O14607', 'P12004', 'IL2'})"
"frozenset({'P16234', 'IL2', 'O43320'})"
"frozenset({'Q92830', 'Q15369', 'IL2'})"
"frozenset({'P08047', 'IL2', 'Q13526'})"
"frozenset({'Q03591', 'P18428', 'IL2'})"
"frozenset({'Q15973', 'P60328', 'IL2'})"
"frozenset({'P40938', 'P35240', 'IL2'})"
"frozenset({'Q6RW13', 'Q9UKF7', 'IL2'})"
"frozenset({'Q9UBV2', 'Q9UKV5', 'IL2'})"
"frozenset({'Q8IXJ6', 'Q86UE4', 'IL2'})"
"frozenset({'O43865', 'Q13148', 'IL2'})"
"frozenset({'P78357', 'IL2', 'P62993'})"
"frozenset({'P78559', 'Q9UJY5', 'IL2'})"
"frozenset({'Q9BVN2', 'Q99471', 'IL2'})"
"frozenset({'Q9P0L0', 'IL2', 'P28288'})"
"frozenset({'P10398', 'IL2', 'P14618'})"
"frozenset({'Q8N163', 'Q96AZ1', 'IL2'})"
"frozenset({'P20073', 'IL2', 'P68104'})"
"frozenset({'P15289', 'IL2', 'Q8IWL3'})"
"frozenset({'P21802', 'IL2', 'P27986'})"
"frozenset({'P17858', 'IL2', 'Q16665'})"
"frozenset({'Q9Y4K3', 'IL2', 'P61964'})"
"frozenset({'P62266', 'P51858', 'IL2'})"
"frozenset({'Q8NDV7', 'IL2', 'Q9NZN8'})"
"frozenset({'Q49AN0', 'P08238', 'IL2'})"
"frozenset({'Q02241', 'IL2', 'P61964'})"
"frozenset({'Q9NX46', 'IL2', 'Q5JVF3'})"
"frozenset({'Q504Q3', 'P25398', 'IL2'})"
"frozenset({'P98082', 'P23526', 'IL2'})"
"frozenset({'P05067', 'IL2', 'P07992'})"
"frozenset({'Q9UBH6', 'IL2', 'Q15717'})"
"frozenset({'P15172', 'IL2', 'P19793'})"
"frozenset({'P26038', 'O14732', 'IL2'})"
"frozenset({'Q13563', 'IL2', 'P60369'})"
"frozenset({'P40337', 'Q99873', 'IL2'})"
"frozenset({'O43248', 'IL2', 'P32780'})"
"frozenset({'Q6PID6', 'IL2', 'O60341'})"
"frozenset({'O14980', 'Q9H078', 'IL2'})"
"frozenset({'P68133', 'P62328', 'IL2'})"
"frozenset({'IL2', 'Q96LR5', 'Q9UI26'})"
"frozenset({'O60344', 'O95817', 'IL2'})"
"frozenset({'P30153', 'IL2', 'O95376'})"
"frozenset({'Q9H040', 'P14868', 'IL2'})"
"frozenset({'Q8NFH3', 'Q8N1F7', 'IL2'})"
"frozenset({'Q9H204', 'O75448', 'IL2'})"
"frozenset({'P10644', 'IL2', 'P15822'})"
"frozenset({'P49407', 'Q8NGG0', 'IL2'})"
"frozenset({'Q9BYD2', 'P49406', 'IL2'})"
"frozenset({'P45974', 'Q12899', 'IL2'})"
"frozenset({'P00374', 'P23511', 'IL2'})"
"frozenset({'Q9HC52', 'Q15022', 'IL2'})"
"frozenset({'IL2', 'Q8TF76', 'Q9H9S0'})"
"frozenset({'O43395', 'Q13435', 'IL2'})"
"frozenset({'P62877', 'Q86XK2', 'IL2'})"
"frozenset({'P35548', 'Q68D86', 'IL2'})"
"frozenset({'A7MCY6', 'IL2', 'Q9UHD2'})"
"frozenset({'P0CG20', 'P0C853', 'IL2'})"
"frozenset({'Q9UMR3', 'P53004', 'IL2'})"
"frozenset({'P25788', 'P04629', 'IL2'})"
"frozenset({'Q14244', 'Q9UGM1', 'IL2'})"
"frozenset({'P01236', 'P26992', 'IL2'})"
"frozenset({'P53350', 'P48380', 'IL2'})"
"frozenset({'Q96L21', 'Q8N4Q1', 'IL2'})"
"frozenset({'P62256', 'Q9NP77', 'IL2'})"
"frozenset({'P28482', 'Q9BRX9', 'IL2'})"
"frozenset({'O95644', 'IL2', 'Q8TAU0'})"
"frozenset({'O75128', 'Q9UKS6', 'IL2'})"
"frozenset({'P24941', 'IL2', 'P13639'})"
"frozenset({'Q15139', 'O15273', 'IL2'})"
"frozenset({'O43524', 'P42336', 'IL2'})"
"frozenset({'O43542', 'P10809', 'IL2'})"
"frozenset({'O95777', 'IL2', 'Q86Y22'})"
"frozenset({'P26367', 'IL2', 'Q9BUI4'})"
"frozenset({'Q9Y2G8', 'Q13099', 'IL2'})"
"frozenset({'Q9Y3B4', 'Q15022', 'IL2'})"
"frozenset({'IL2', 'P43364', 'Q7Z6G8'})"
"frozenset({'O75531', 'Q7Z2E3', 'IL2'})"
"frozenset({'Q99996', 'Q92731', 'IL2'})"
"frozenset({'P48643', 'Q6P1J9', 'IL2'})"
"frozenset({'Q8N2K0', 'Q86TI2', 'IL2'})"
"frozenset({'P07355', 'P12004', 'IL2'})"
"frozenset({'IL2', 'Q9GZR7', 'O00567'})"
"frozenset({'Q86WV1', 'Q9Y2T2', 'IL2'})"
"frozenset({'Q9H9G7', 'IL2', 'Q8N8Y2'})"
"frozenset({'Q16623', 'Q8N511', 'IL2'})"
"frozenset({'O75940', 'IL2', 'Q9BQ39'})"
"frozenset({'IL2', 'Q9Y6A5', 'Q8TC71'})"
"frozenset({'P98160', 'Q9Y617', 'IL2'})"
"frozenset({'Q9Y478', 'O75800', 'IL2'})"
"frozenset({'P07339', 'IL2', 'O96009'})"
"frozenset({'Q15052', 'Q13976', 'IL2'})"
"frozenset({'Q9NRR6', 'IL2', 'Q9BST9'})"
"frozenset({'O00255', 'P35579', 'IL2'})"
"frozenset({'P62979', 'IL2', 'P35222'})"
"frozenset({'P29474', 'P20020', 'IL2'})"
"frozenset({'IL2', 'P07602', 'Q8TB36'})"
"frozenset({'Q96HJ5', 'IL2', 'A2RU14'})"
"frozenset({'P63218', 'IL2', 'Q9HBW0'})"
"frozenset({'P61254', 'P31947', 'IL2'})"
"frozenset({'P48047', 'P19012', 'IL2'})"
"frozenset({'Q9UKP3', 'P08238', 'IL2'})"
"frozenset({'O14965', 'Q9UKN8', 'IL2'})"
"frozenset({'O75665', 'P52209', 'IL2'})"
"frozenset({'Q92499', 'Q5VYK3', 'IL2'})"
"frozenset({'Q8N6D5', 'IL2', 'P35612'})"
"frozenset({'F7VJQ1', 'P62945', 'IL2'})"
"frozenset({'P25098', 'IL2', 'P32246'})"
"frozenset({'Q9Y3E0', 'Q15904', 'IL2'})"
"frozenset({'O14965', 'P56962', 'IL2'})"
"frozenset({'P61221', 'IL2', 'Q99615'})"
"frozenset({'P62837', 'Q15067', 'IL2'})"
"frozenset({'O95373', 'Q7Z5B4', 'IL2'})"
"frozenset({'P05412', 'Q9NQH7', 'IL2'})"
"frozenset({'Q04837', 'Q96GG9', 'IL2'})"
"frozenset({'P17844', 'Q96SW2', 'IL2'})"
"frozenset({'Q5TEU4', 'O75489', 'IL2'})"
"frozenset({'P35573', 'P62942', 'IL2'})"
"frozenset({'P05412', 'O75475', 'IL2'})"
"frozenset({'P35968', 'Q9Y5A6', 'IL2'})"
"frozenset({'Q86UK7', 'P35244', 'IL2'})"
"frozenset({'O15264', 'Q9UBI6', 'IL2'})"
"frozenset({'P61952', 'Q9UBS5', 'IL2'})"
"frozenset({'Q9P1Z0', 'Q8TAP6', 'IL2'})"
"frozenset({'P11488', 'A6NIH7', 'IL2'})"
"frozenset({'IL2', 'Q5FBB7', 'Q9UPZ3'})"
"frozenset({'P04629', 'P05019', 'IL2'})"
"frozenset({'Q13620', 'Q71UI9', 'IL2'})"
"frozenset({'Q92871', 'P20340', 'IL2'})"
"frozenset({'Q99496', 'IL2', 'Q7Z3K3'})"
"frozenset({'Q8IZP0', 'Q96HT8', 'IL2'})"
"frozenset({'O95445', 'IL2', 'Q99612'})"
"frozenset({'P10636', 'P34932', 'IL2'})"
"frozenset({'Q14999', 'P05388', 'IL2'})"
"frozenset({'Q00987', 'IL2', 'Q9NWK9'})"
"frozenset({'P62829', 'P61353', 'IL2'})"
"frozenset({'Q13573', 'Q9P2D1', 'IL2'})"
"frozenset({'IL2', 'P62714', 'Q9UHC1'})"
"frozenset({'P33981', 'Q16659', 'IL2'})"
"frozenset({'O75390', 'Q9HCE1', 'IL2'})"
"frozenset({'P23229', 'P29400', 'IL2'})"
"frozenset({'Q15645', 'P51151', 'IL2'})"
"frozenset({'Q8N1I0', 'P61586', 'IL2'})"
"frozenset({'IL2', 'O75360', 'Q92747'})"
"frozenset({'P09038', 'P35916', 'IL2'})"
"frozenset({'P01133', 'P00533', 'IL2'})"
"frozenset({'Q9H1J1', 'Q9BZI7', 'IL2'})"
"frozenset({'Q5VIR6', 'O00233', 'IL2'})"
"frozenset({'P37108', 'P40337', 'IL2'})"
"frozenset({'Q12796', 'P26196', 'IL2'})"
"frozenset({'Q13794', 'IL2', 'Q05516'})"
"frozenset({'Q9Y3C5', 'P51665', 'IL2'})"
"frozenset({'P22694', 'Q8NGA5', 'IL2'})"
"frozenset({'Q5HYA8', 'Q07065', 'IL2'})"
"frozenset({'P37173', 'Q03167', 'IL2'})"
"frozenset({'P50454', 'P53992', 'IL2'})"
"frozenset({'Q13011', 'O00746', 'IL2'})"
"frozenset({'Q9Y5V3', 'IL2', 'P41252'})"
"frozenset({'Q49AN0', 'P53041', 'IL2'})"
"frozenset({'P22612', 'IL2', 'Q8NH02'})"
"frozenset({'Q6RFH8', 'IL2', 'O96000'})"
"frozenset({'Q5VWQ8', 'P63208', 'IL2'})"
"frozenset({'P17252', 'Q8WV44', 'IL2'})"
"frozenset({'Q99767', 'Q04206', 'IL2'})"
"frozenset({'Q9NP79', 'Q9UI14', 'IL2'})"
"frozenset({'Q6ZUS5', 'IL2', 'Q9HA65'})"
"frozenset({'Q9HB19', 'Q9Y2V7', 'IL2'})"
"frozenset({'Q9Y3E0', 'Q6P1L8', 'IL2'})"
"frozenset({'O14610', 'O15264', 'IL2'})"
"frozenset({'Q8TBC4', 'Q86XK2', 'IL2'})"
"frozenset({'Q13573', 'Q9UHD8', 'IL2'})"
"frozenset({'P49591', 'P55735', 'IL2'})"
"frozenset({'O14980', 'IL2', 'Q9UDY2'})"
"frozenset({'Q9Y2Z0', 'Q9H081', 'IL2'})"
"frozenset({'P62987', 'IL2', 'Q99496'})"
"frozenset({'Q9UQM7', 'P51687', 'IL2'})"
"frozenset({'Q8N715', 'Q6A162', 'IL2'})"
"frozenset({'P61218', 'Q8IZJ0', 'IL2'})"
"frozenset({'Q9H9Z2', 'Q9UKM9', 'IL2'})"
"frozenset({'Q5TBB1', 'P62807', 'IL2'})"
"frozenset({'Q15637', 'P56524', 'IL2'})"
"frozenset({'Q9Y3D6', 'Q9UKY7', 'IL2'})"
"frozenset({'Q99689', 'IL2', 'Q9P0K7'})"
"frozenset({'Q9NUX5', 'P04406', 'IL2'})"
"frozenset({'Q6ZVK8', 'P61457', 'IL2'})"
"frozenset({'Q96T60', 'P35240', 'IL2'})"
"frozenset({'P15336', 'P23526', 'IL2'})"
"frozenset({'Q00978', 'IL2', 'O00160'})"
"frozenset({'Q9UJM3', 'O14965', 'IL2'})"
"frozenset({'Q92526', 'IL2', 'O43815'})"
"frozenset({'P51160', 'P16499', 'IL2'})"
"frozenset({'Q9NRX5', 'Q12906', 'IL2'})"
"frozenset({'P12109', 'Q9BSG5', 'IL2'})"
"frozenset({'A6ND91', 'P61088', 'IL2'})"
"frozenset({'IL2', 'Q6A162', 'P26441'})"
"frozenset({'P05067', 'Q16560', 'IL2'})"
"frozenset({'P27540', 'P09958', 'IL2'})"
"frozenset({'P30101', 'IL2', 'Q13177'})"
"frozenset({'IL2', 'P84243', 'P09429'})"
"frozenset({'Q15075', 'P11717', 'IL2'})"
"frozenset({'IL2', 'P23528', 'P62993'})"
"frozenset({'Q92598', 'IL2', 'P00558'})"
"frozenset({'Q13573', 'Q9NXV6', 'IL2'})"
"frozenset({'O95817', 'Q00839', 'IL2'})"
"frozenset({'O95602', 'Q9P1U0', 'IL2'})"
"frozenset({'P51532', 'Q15532', 'IL2'})"
"frozenset({'P28072', 'Q8N1G4', 'IL2'})"
"frozenset({'P06733', 'P12830', 'IL2'})"
"frozenset({'Q92797', 'Q6P597', 'IL2'})"
"frozenset({'Q6K0P9', 'P33764', 'IL2'})"
"frozenset({'IL2', 'O43918', 'P42167'})"
"frozenset({'Q9NZD2', 'IL2', 'Q15717'})"
"frozenset({'P30939', 'Q9P2W3', 'IL2'})"
"frozenset({'P0C7P0', 'Q7L2E3', 'IL2'})"
