negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'Q96EG3', 'M', 'Q2TAL6'})"
"frozenset({'M', 'P10809', 'P05161'})"
"frozenset({'M', 'Q9UNN5', 'P04844'})"
"frozenset({'M', 'Q8IXH7', 'P33993'})"
"frozenset({'P63208', 'M', 'Q16526'})"
"frozenset({'M', 'Q96NL6', 'O60826'})"
"frozenset({'P00558', 'Q96FW1', 'M'})"
"frozenset({'O15455', 'M', 'Q13114'})"
"frozenset({'M', 'O14980', 'Q96EV2'})"
"frozenset({'M', 'Q9BY41', 'P33778'})"
"frozenset({'M', 'Q9BUZ4', 'Q13895'})"
"frozenset({'Q96DI7', 'M', 'O43290'})"
"frozenset({'M', 'Q9H0E2', 'Q3LI66'})"
"frozenset({'Q712K3', 'M', 'O75360'})"
"frozenset({'O94868', 'M', 'Q8IZU0'})"
"frozenset({'Q96T58', 'Q09028', 'M'})"
"frozenset({'P35914', 'M', 'Q05932'})"
"frozenset({'Q13002', 'M', 'P78352'})"
"frozenset({'P68431', 'M', 'Q15059'})"
"frozenset({'M', 'Q92879', 'O75674'})"
"frozenset({'M', 'O95393', 'Q13530'})"
"frozenset({'M', 'Q13616', 'Q9H4L4'})"
"frozenset({'M', 'Q9Y5A7', 'P42858'})"
"frozenset({'M', 'Q04941', 'Q9UP95'})"
"frozenset({'M', 'O14777', 'Q15025'})"
"frozenset({'M', 'P47914', 'P62249'})"
"frozenset({'Q96P31', 'P43403', 'M'})"
"frozenset({'P60370', 'Q14593', 'M'})"
"frozenset({'M', 'Q96SB4', 'Q8IWX8'})"
"frozenset({'P56524', 'M', 'Q06413'})"
"frozenset({'M', 'Q9UMS4', 'Q12874'})"
"frozenset({'M', 'P08670', 'P84022'})"
"frozenset({'P50613', 'M', 'Q9Y5B0'})"
"frozenset({'P01137', 'Q6EMK4', 'M'})"
"frozenset({'M', 'O75554', 'Q15427'})"
"frozenset({'M', 'Q9UPZ9', 'Q96DH6'})"
"frozenset({'M', 'Q08050', 'Q9UKN8'})"
"frozenset({'M', 'Q9NX18', 'O75368'})"
"frozenset({'P45880', 'M', 'Q86W42'})"
"frozenset({'M', 'P49736', 'Q99497'})"
"frozenset({'M', 'O43865', 'P61513'})"
"frozenset({'M', 'O43805', 'Q08426'})"
"frozenset({'P08700', 'M', 'Q01113'})"
"frozenset({'Q99584', 'Q00978', 'M'})"
"frozenset({'M', 'P56705', 'Q6P988'})"
"frozenset({'Q5T5S1', 'M', 'Q13137'})"
"frozenset({'Q8N8X9', 'M', 'Q92997'})"
"frozenset({'M', 'P07947', 'O14543'})"
"frozenset({'M', 'P49407', 'Q8NGX9'})"
"frozenset({'M', 'O00255', 'P62807'})"
"frozenset({'Q9NRG1', 'M', 'Q9NUH8'})"
"frozenset({'M', 'O95721', 'Q96BD8'})"
"frozenset({'Q96P11', 'P09651', 'M'})"
"frozenset({'M', 'P62191', 'P05412'})"
"frozenset({'M', 'Q92685', 'Q9NY35'})"
"frozenset({'Q92905', 'M', 'O00764'})"
"frozenset({'M', 'Q6L8G8', 'P27658'})"
"frozenset({'M', 'P06454', 'O60506'})"
"frozenset({'M', 'P61088', 'Q9UJV3'})"
"frozenset({'M', 'Q96M94', 'Q96GG9'})"
"frozenset({'M', 'O95467', 'P30518'})"
"frozenset({'M', 'P61956', 'Q9BXP5'})"
"frozenset({'M', 'P30048', 'O14920'})"
"frozenset({'M', 'Q9H668', 'O60502'})"
"frozenset({'M', 'Q14527', 'Q01844'})"
"frozenset({'P60369', 'M', 'Q9UBE8'})"
"frozenset({'M', 'Q92597', 'P63261'})"
"frozenset({'P28482', 'M', 'P35813'})"
"frozenset({'M', 'Q13617', 'Q6ZMI0'})"
"frozenset({'M', 'Q86YD7', 'Q8N6L0'})"
"frozenset({'M', 'P15927', 'P35251'})"
"frozenset({'O75364', 'M', 'Q13201'})"
"frozenset({'M', 'P49736', 'Q00839'})"
"frozenset({'P62979', 'M', 'P08047'})"
"frozenset({'M', 'P16520', 'P53779'})"
"frozenset({'Q6UXZ4', 'M', 'P43146'})"
"frozenset({'M', 'Q86UA6', 'Q3ZCQ8'})"
"frozenset({'P15923', 'M', 'Q15208'})"
"frozenset({'P54289', 'M', 'Q9NZN8'})"
"frozenset({'P36508', 'M', 'Q5VWN6'})"
"frozenset({'P00533', 'M', 'Q9UGK3'})"
"frozenset({'M', 'P60520', 'P18124'})"
"frozenset({'M', 'Q02809', 'Q13107'})"
"frozenset({'Q15811', 'M', 'O15056'})"
"frozenset({'Q9P0J7', 'M', 'O43915'})"
"frozenset({'M', 'Q6UXL0', 'O43286'})"
"frozenset({'M', 'Q9UBU9', 'P0DP23'})"
"frozenset({'M', 'Q8TAF3', 'Q9NVI1'})"
"frozenset({'M', 'P29466', 'P50453'})"
"frozenset({'M', 'Q9NRD1', 'P05556'})"
"frozenset({'P22681', 'M', 'Q9HBE5'})"
"frozenset({'M', 'Q16643', 'P62070'})"
"frozenset({'P14927', 'P17252', 'M'})"
"frozenset({'Q12959', 'M', 'Q86W11'})"
"frozenset({'M', 'P21246', 'Q9H8G2'})"
"frozenset({'M', 'Q9Y3C5', 'Q8IYW5'})"
"frozenset({'M', 'Q13501', 'Q15038'})"
"frozenset({'P49407', 'M', 'P59768'})"
"frozenset({'M', 'Q12888', 'Q01860'})"
"frozenset({'M', 'Q3SYC2', 'Q15034'})"
"frozenset({'M', 'A6NI15', 'O14645'})"
"frozenset({'P0DML3', 'Q13651', 'M'})"
"frozenset({'M', 'Q15648', 'Q12772'})"
"frozenset({'P60709', 'M', 'Q13155'})"
"frozenset({'M', 'Q9Y620', 'Q9H8Y8'})"
"frozenset({'M', 'Q9BQE3', 'P20020'})"
"frozenset({'M', 'P08069', 'O15530'})"
"frozenset({'M', 'P54253', 'Q96I25'})"
"frozenset({'Q9H944', 'M', 'Q16769'})"
"frozenset({'M', 'P11473', 'P60520'})"
"frozenset({'M', 'Q06250', 'Q7Z3S9'})"
"frozenset({'M', 'Q8IWL3', 'Q6P4Q7'})"
"frozenset({'Q15056', 'M', 'O60739'})"
"frozenset({'M', 'P15153', 'P52564'})"
"frozenset({'P27469', 'M', 'P62888'})"
"frozenset({'M', 'P12830', 'Q15643'})"
"frozenset({'P09661', 'M', 'P28066'})"
"frozenset({'M', 'P08397', 'Q9Y5A9'})"
"frozenset({'Q04206', 'M', 'P51580'})"
"frozenset({'Q8TBC3', 'Q92905', 'M'})"
"frozenset({'M', 'P07900', 'O60502'})"
"frozenset({'Q07021', 'M', 'Q13619'})"
"frozenset({'M', 'P62837', 'Q9P0P0'})"
"frozenset({'P20226', 'M', 'O00268'})"
"frozenset({'M', 'Q15797', 'O15054'})"
"frozenset({'M', 'Q05397', 'O43639'})"
"frozenset({'M', 'Q8WUY8', 'P62079'})"
"frozenset({'O00585', 'M', 'P32248'})"
"frozenset({'M', 'P62917', 'P62249'})"
"frozenset({'M', 'P12956', 'Q96RP7'})"
"frozenset({'M', 'Q01955', 'Q13797'})"
"frozenset({'M', 'Q9C099', 'P04632'})"
"frozenset({'Q14919', 'M', 'Q99689'})"
"frozenset({'M', 'P61964', 'Q96KQ7'})"
"frozenset({'O75364', 'M', 'Q15233'})"
"frozenset({'M', 'Q9NUL7', 'Q01860'})"
"frozenset({'M', 'Q92900', 'Q9Y316'})"
"frozenset({'M', 'P62269', 'P61513'})"
"frozenset({'M', 'P49792', 'P31943'})"
"frozenset({'M', 'Q9NUQ3', 'P06733'})"
"frozenset({'M', 'Q96D59', 'Q9HD26'})"
"frozenset({'M', 'Q14186', 'O96017'})"
"frozenset({'M', 'P11142', 'Q9UGJ1'})"
"frozenset({'M', 'P61964', 'Q99697'})"
"frozenset({'P56559', 'M', 'P05067'})"
"frozenset({'Q9P2N5', 'M', 'P05412'})"
"frozenset({'Q96MT4', 'M', 'O43559'})"
"frozenset({'P04629', 'M', 'O00459'})"
"frozenset({'M', 'Q02763', 'P14210'})"
"frozenset({'P49759', 'M', 'Q9H5V8'})"
"frozenset({'Q9H875', 'M', 'Q12933'})"
"frozenset({'M', 'Q13485', 'P30968'})"
"frozenset({'M', 'Q16880', 'Q15165'})"
"frozenset({'P07900', 'M', 'O75469'})"
"frozenset({'O43318', 'M', 'Q9UHD2'})"
"frozenset({'M', 'P07355', 'Q6P1J9'})"
"frozenset({'Q9NRM2', 'M', 'Q86Y26'})"
"frozenset({'M', 'O75533', 'Q96I25'})"
"frozenset({'M', 'P53803', 'Q15560'})"
"frozenset({'M', 'P51116', 'O43639'})"
"frozenset({'P27361', 'M', 'Q9NZ20'})"
"frozenset({'M', 'Q15006', 'Q86X19'})"
"frozenset({'M', 'P10244', 'P14635'})"
"frozenset({'O43609', 'Q96EG3', 'M'})"
"frozenset({'M', 'Q14865', 'P05161'})"
"frozenset({'M', 'P20674', 'P42858'})"
"frozenset({'M', 'Q9NRU3', 'P13747'})"
"frozenset({'M', 'Q15428', 'Q9H307'})"
"frozenset({'M', 'Q7Z7H5', 'Q9UBU9'})"
"frozenset({'M', 'Q14164', 'Q96FA3'})"
"frozenset({'M', 'O15085', 'Q9H2G2'})"
"frozenset({'P50914', 'M', 'Q9H5H4'})"
"frozenset({'M', 'P68400', 'P05198'})"
"frozenset({'M', 'Q9BTT4', 'O60244'})"
"frozenset({'O75886', 'M', 'Q86X19'})"
"frozenset({'M', 'Q13164', 'O75469'})"
"frozenset({'M', 'O14508', 'O75367'})"
"frozenset({'P17987', 'M', 'Q13547'})"
"frozenset({'P82932', 'M', 'P78362'})"
"frozenset({'M', 'Q8IUR0', 'O95273'})"
"frozenset({'Q15796', 'M', 'Q14562'})"
"frozenset({'M', 'P63173', 'Q86XR8'})"
"frozenset({'M', 'O60293', 'P68400'})"
"frozenset({'M', 'Q15717', 'P10644'})"
"frozenset({'M', 'Q9BYG5', 'Q9NPB6'})"
"frozenset({'Q96RD7', 'M', 'P35240'})"
"frozenset({'P22694', 'M', 'Q9Y6Q9'})"
"frozenset({'M', 'Q9H7B4', 'Q9H3H1'})"
"frozenset({'M', 'P05067', 'P51178'})"
"frozenset({'M', 'Q9UQL6', 'Q93079'})"
"frozenset({'M', 'Q12952', 'Q1KMD3'})"
"frozenset({'Q9UBL3', 'M', 'O15054'})"
"frozenset({'M', 'Q9HBI0', 'P05556'})"
"frozenset({'M', 'Q13243', 'Q15526'})"
"frozenset({'P25800', 'M', 'Q96C24'})"
"frozenset({'M', 'Q9GZS3', 'Q8N7H5'})"
"frozenset({'Q14103', 'M', 'Q86WP2'})"
"frozenset({'O43776', 'M', 'O15259'})"
"frozenset({'P60370', 'M', 'Q5T7P3'})"
"frozenset({'M', 'P46934', 'P21802'})"
"frozenset({'A6NHP3', 'M', 'P24941'})"
"frozenset({'P42285', 'M', 'P01876'})"
"frozenset({'M', 'Q9BUV0', 'Q9HD23'})"
"frozenset({'M', 'O76003', 'Q6NX49'})"
"frozenset({'M', 'P05230', 'P35052'})"
"frozenset({'M', 'Q86VP6', 'Q96GM8'})"
"frozenset({'M', 'Q8IYB1', 'Q9NR12'})"
"frozenset({'P23946', 'P21810', 'M'})"
"frozenset({'M', 'O75143', 'P58004'})"
"frozenset({'M', 'P05067', 'P05452'})"
"frozenset({'M', 'Q15323', 'Q6P087'})"
"frozenset({'Q14289', 'P22681', 'M'})"
"frozenset({'M', 'Q15369', 'Q8NG57'})"
"frozenset({'Q15637', 'M', 'P52294'})"
"frozenset({'M', 'P42081', 'P19838'})"
"frozenset({'M', 'Q9BWG6', 'Q96KN7'})"
"frozenset({'M', 'P46527', 'Q9HC52'})"
"frozenset({'P04629', 'M', 'Q969Z0'})"
"frozenset({'M', 'Q96ES7', 'A1L190'})"
"frozenset({'Q96S59', 'M', 'P49961'})"
"frozenset({'M', 'P02751', 'Q9H0A0'})"
"frozenset({'Q99496', 'M', 'Q9NQ31'})"
"frozenset({'P41238', 'M', 'P52597'})"
"frozenset({'Q13492', 'Q9H4A3', 'M'})"
"frozenset({'Q9C0B0', 'M', 'Q96ST3'})"
"frozenset({'P34059', 'M', 'Q8WWM7'})"
"frozenset({'M', 'Q13243', 'P18583'})"
"frozenset({'M', 'Q02221', 'P20674'})"
"frozenset({'M', 'Q9Y5K6', 'P50570'})"
"frozenset({'P08648', 'M', 'P55268'})"
"frozenset({'M', 'O14862', 'P05412'})"
"frozenset({'M', 'P62899', 'P18124'})"
"frozenset({'M', 'P07355', 'P05412'})"
"frozenset({'Q9UHF4', 'P52333', 'M'})"
"frozenset({'M', 'Q8WUW1', 'O14917'})"
"frozenset({'O94973', 'M', 'Q9Y6I3'})"
"frozenset({'Q9BQ89', 'O60573', 'M'})"
"frozenset({'Q3KQV9', 'M', 'Q63HM1'})"
"frozenset({'M', 'Q15628', 'O95999'})"
"frozenset({'Q9NQC7', 'M', 'O95786'})"
"frozenset({'M', 'O60765', 'Q13263'})"
"frozenset({'M', 'Q15042', 'Q66K64'})"
"frozenset({'M', 'Q08379', 'P24941'})"
"frozenset({'M', 'Q8IWL3', 'O14929'})"
"frozenset({'M', 'P01241', 'P47756'})"
"frozenset({'Q8N5S1', 'M', 'Q6P6B1'})"
"frozenset({'M', 'O75533', 'Q9UQL6'})"
"frozenset({'P19875', 'M', 'P51677'})"
"frozenset({'M', 'P05067', 'Q969K3'})"
"frozenset({'M', 'P17181', 'P26441'})"
"frozenset({'P50990', 'P57078', 'M'})"
"frozenset({'M', 'P49790', 'O75147'})"
"frozenset({'M', 'Q9Y2R0', 'Q8N490'})"
"frozenset({'P63244', 'M', 'Q71UM5'})"
"frozenset({'O94817', 'P60228', 'M'})"
"frozenset({'M', 'Q9NTX9', 'Q16828'})"
"frozenset({'P07900', 'M', 'P27482'})"
"frozenset({'P04264', 'M', 'Q01094'})"
"frozenset({'O15078', 'O60308', 'M'})"
"frozenset({'Q68CZ6', 'M', 'Q7Z7A1'})"
"frozenset({'O43318', 'M', 'Q13114'})"
"frozenset({'Q96ED9', 'M', 'O95990'})"
"frozenset({'M', 'Q15853', 'P61073'})"
"frozenset({'M', 'P26640', 'P50991'})"
"frozenset({'P49407', 'M', 'Q9NPE3'})"
"frozenset({'P17844', 'M', 'P50750'})"
"frozenset({'P40692', 'M', 'Q9Y253'})"
"frozenset({'P01889', 'Q9Y617', 'M'})"
"frozenset({'M', 'Q9NRC8', 'P32969'})"
"frozenset({'M', 'Q8NCN4', 'O94906'})"
"frozenset({'Q9ULZ3', 'M', 'Q16666'})"
"frozenset({'Q9UJV9', 'M', 'Q9ULR0'})"
"frozenset({'M', 'O14981', 'O95274'})"
"frozenset({'M', 'Q9H334', 'P49959'})"
"frozenset({'O43918', 'M', 'P19174'})"
"frozenset({'P45983', 'P48023', 'M'})"
"frozenset({'M', 'Q9Y2Y0', 'Q9UBU9'})"
"frozenset({'Q13077', 'Q07011', 'M'})"
"frozenset({'M', 'Q6P3S6', 'Q15843'})"
"frozenset({'M', 'P05067', 'P63172'})"
"frozenset({'P23229', 'P16144', 'M'})"
"frozenset({'M', 'Q8NCN5', 'Q9H9S0'})"
"frozenset({'P40145', 'M', 'P63218'})"
"frozenset({'Q52LG2', 'M', 'Q96PN8'})"
"frozenset({'M', 'P04637', 'Q8N0Z3'})"
"frozenset({'P22732', 'M', 'Q04206'})"
"frozenset({'M', 'P08238', 'O75161'})"
"frozenset({'M', 'Q9Y3S2', 'Q2I0M5'})"
"frozenset({'Q9UBB9', 'M', 'Q53TS8'})"
"frozenset({'M', 'Q15363', 'Q13347'})"
"frozenset({'Q04206', 'P51965', 'M'})"
"frozenset({'Q9NS37', 'M', 'Q14494'})"
"frozenset({'P09619', 'P01133', 'M'})"
"frozenset({'Q8IWV7', 'M', 'Q9BX70'})"
"frozenset({'Q07021', 'M', 'Q6NUS6'})"
"frozenset({'M', 'P13533', 'Q3B7T1'})"
"frozenset({'Q8TBE0', 'M', 'P10644'})"
"frozenset({'P52739', 'M', 'Q96K62'})"
"frozenset({'M', 'O00626', 'P27487'})"
"frozenset({'M', 'Q15717', 'P31943'})"
"frozenset({'Q9NVS2', 'M', 'Q9BPW8'})"
"frozenset({'M', 'Q16543', 'P01023'})"
"frozenset({'M', 'Q8IWL3', 'P30085'})"
"frozenset({'M', 'Q9NRF9', 'P13010'})"
"frozenset({'O15355', 'M', 'Q8N5M4'})"
"frozenset({'Q8N895', 'M', 'Q9ULX6'})"
"frozenset({'M', 'Q86YN6', 'O75925'})"
"frozenset({'M', 'P31942', 'Q8IV08'})"
"frozenset({'Q4KWH8', 'M', 'Q9NRD5'})"
"frozenset({'Q9H8W4', 'P31947', 'M'})"
"frozenset({'M', 'Q5BJF6', 'Q15025'})"
"frozenset({'M', 'P45973', 'Q9H2P0'})"
"frozenset({'P23497', 'M', 'Q9H2X6'})"
"frozenset({'M', 'P26367', 'Q12931'})"
"frozenset({'M', 'P05067', 'Q13435'})"
"frozenset({'M', 'P08047', 'P38646'})"
"frozenset({'P23560', 'M', 'Q16620'})"
"frozenset({'M', 'P05113', 'P42702'})"
"frozenset({'O60262', 'M', 'P58180'})"
"frozenset({'M', 'Q9Y2F5', 'Q9HC52'})"
"frozenset({'Q9Y371', 'Q969Q0', 'M'})"
"frozenset({'M', 'Q5U5Q3', 'Q00341'})"
"frozenset({'M', 'O15534', 'Q15274'})"
"frozenset({'M', 'Q9BVA1', 'P55072'})"
"frozenset({'P17844', 'M', 'Q15428'})"
"frozenset({'M', 'P51808', 'P63172'})"
"frozenset({'P00533', 'M', 'Q5T9A4'})"
"frozenset({'P62424', 'M', 'P62851'})"
"frozenset({'O60404', 'P22694', 'M'})"
"frozenset({'M', 'Q92616', 'Q9Y4P8'})"
"frozenset({'M', 'P55317', 'Q15717'})"
"frozenset({'Q6ZW49', 'Q9BV38', 'M'})"
"frozenset({'M', 'Q9BYG3', 'Q9NS56'})"
"frozenset({'M', 'O95777', 'P62910'})"
"frozenset({'M', 'Q13363', 'Q9ULK4'})"
"frozenset({'M', 'Q15836', 'Q7Z6Z7'})"
"frozenset({'Q06124', 'M', 'P08069'})"
"frozenset({'M', 'P24928', 'Q9H0W5'})"
"frozenset({'Q49A88', 'Q9NRR5', 'M'})"
"frozenset({'Q9BT22', 'M', 'Q9UBU9'})"
"frozenset({'M', 'Q12906', 'P19338'})"
"frozenset({'M', 'P38398', 'P54132'})"
"frozenset({'M', 'Q92624', 'P09228'})"
"frozenset({'P20396', 'M', 'P12980'})"
"frozenset({'O14558', 'M', 'P46821'})"
"frozenset({'M', 'O00182', 'P14923'})"
"frozenset({'Q6ZNB6', 'Q12906', 'M'})"
"frozenset({'M', 'Q15428', 'Q01081'})"
"frozenset({'M', 'Q15022', 'Q13595'})"
"frozenset({'M', 'Q9Y5E9', 'P84103'})"
"frozenset({'P06899', 'M', 'P0C0S5'})"
"frozenset({'Q13148', 'M', 'Q12926'})"
"frozenset({'Q8NEC5', 'M', 'P60014'})"
"frozenset({'M', 'Q13683', 'Q9UN42'})"
"frozenset({'Q14204', 'M', 'Q15714'})"
"frozenset({'Q13509', 'M', 'O43237'})"
"frozenset({'M', 'Q9UBG3', 'Q96IY1'})"
"frozenset({'P55209', 'M', 'P32969'})"
"frozenset({'M', 'Q8ND90', 'Q99633'})"
"frozenset({'M', 'P05067', 'Q96AQ9'})"
"frozenset({'M', 'Q9UPX8', 'P01106'})"
"frozenset({'M', 'P11171', 'P37802'})"
"frozenset({'M', 'O00471', 'P56693'})"
"frozenset({'P17020', 'M', 'Q8IZC7'})"
"frozenset({'Q96DX5', 'Q14558', 'M'})"
"frozenset({'M', 'Q14126', 'P12830'})"
"frozenset({'P35225', 'M', 'Q14626'})"
"frozenset({'Q9NP79', 'M', 'Q9UI14'})"
"frozenset({'M', 'Q9NPC6', 'Q14315'})"
"frozenset({'Q9Y5B9', 'M', 'Q15059'})"
"frozenset({'M', 'Q9UMX0', 'O95967'})"
"frozenset({'P12318', 'O94903', 'M'})"
"frozenset({'M', 'Q14738', 'Q93052'})"
"frozenset({'P61221', 'M', 'Q03252'})"
"frozenset({'O95751', 'M', 'P18146'})"
"frozenset({'M', 'Q9NXR7', 'Q06609'})"
"frozenset({'P63165', 'M', 'P04150'})"
"frozenset({'M', 'Q969X5', 'Q9BYC8'})"
"frozenset({'Q13283', 'M', 'Q12894'})"
"frozenset({'M', 'P23458', 'Q01344'})"
"frozenset({'P07437', 'Q6WCQ1', 'M'})"
"frozenset({'M', 'Q13501', 'Q9H3N1'})"
"frozenset({'P00558', 'M', 'P14550'})"
"frozenset({'M', 'P42858', 'Q9BXP5'})"
"frozenset({'Q9Y5B9', 'M', 'Q9BTM1'})"
"frozenset({'M', 'Q15717', 'Q14135'})"
"frozenset({'M', 'Q2M389', 'Q6ZU80'})"
"frozenset({'M', 'Q5JTH9', 'P12270'})"
"frozenset({'M', 'P31327', 'P38646'})"
"frozenset({'M', 'Q9H8S9', 'P29372'})"
"frozenset({'Q16698', 'M', 'O60826'})"
"frozenset({'M', 'Q9NP66', 'O15516'})"
"frozenset({'P38159', 'M', 'Q96E29'})"
"frozenset({'M', 'P43121', 'Q6VMQ6'})"
"frozenset({'Q9GZM8', 'M', 'Q9H7U1'})"
"frozenset({'M', 'P63096', 'Q9P2W3'})"
"frozenset({'M', 'Q96NY8', 'Q495A1'})"
"frozenset({'M', 'O75159', 'P42224'})"
"frozenset({'M', 'P06493', 'P49918'})"
"frozenset({'P35916', 'M', 'P14210'})"
"frozenset({'P62258', 'M', 'P29074'})"
"frozenset({'M', 'Q93009', 'P62314'})"
"frozenset({'M', 'Q86UW9', 'Q4VC12'})"
"frozenset({'M', 'O43242', 'P05412'})"
"frozenset({'P20827', 'P22607', 'M'})"
"frozenset({'Q16540', 'M', 'P82664'})"
"frozenset({'M', 'Q96GX1', 'Q9BSJ8'})"
"frozenset({'M', 'P23396', 'P24941'})"
"frozenset({'M', 'P32121', 'Q8NGP9'})"
"frozenset({'O60285', 'M', 'P62140'})"
"frozenset({'M', 'Q9NVF7', 'P08238'})"
"frozenset({'Q9Y297', 'M', 'Q96D09'})"
"frozenset({'P19320', 'P22681', 'M'})"
"frozenset({'P62979', 'M', 'P68036'})"
"frozenset({'M', 'Q86YR5', 'Q86UD0'})"
"frozenset({'Q01804', 'M', 'Q13418'})"
"frozenset({'M', 'Q9Y3B7', 'O43829'})"
"frozenset({'M', 'P0DMV9', 'O95816'})"
"frozenset({'M', 'Q99798', 'Q8N335'})"
"frozenset({'M', 'O60573', 'Q9NQT8'})"
"frozenset({'P45880', 'Q9NVA2', 'M'})"
"frozenset({'M', 'Q96HE7', 'P30040'})"
"frozenset({'P27918', 'M', 'P00751'})"
"frozenset({'M', 'Q13111', 'Q8N7H5'})"
"frozenset({'M', 'Q12888', 'Q96DT7'})"
"frozenset({'M', 'P42229', 'P46108'})"
"frozenset({'Q75N03', 'M', 'Q14129'})"
"frozenset({'M', 'P46779', 'Q02878'})"
"frozenset({'Q96S59', 'M', 'Q8IY92'})"
"frozenset({'P63000', 'M', 'Q9NPB6'})"
"frozenset({'M', 'P61604', 'P38646'})"
"frozenset({'M', 'P08238', 'Q16659'})"
"frozenset({'Q96S59', 'M', 'P63279'})"
"frozenset({'Q9NUG6', 'M', 'Q8IXW5'})"
"frozenset({'P40337', 'M', 'Q14318'})"
"frozenset({'M', 'P53370', 'P0DPB3'})"
"frozenset({'P35558', 'M', 'P35998'})"
"frozenset({'M', 'P21980', 'P55060'})"
"frozenset({'M', 'Q3B820', 'Q9BRK4'})"
"frozenset({'M', 'P04637', 'P49792'})"
"frozenset({'M', 'Q13011', 'Q9Y6H1'})"
"frozenset({'M', 'O15524', 'P08887'})"
"frozenset({'M', 'P63096', 'P24530'})"
"frozenset({'Q13315', 'M', 'P57059'})"
"frozenset({'P28290', 'M', 'Q9H267'})"
"frozenset({'Q13148', 'M', 'Q86TB9'})"
"frozenset({'M', 'P63146', 'Q9HBD1'})"
"frozenset({'P49917', 'P09651', 'M'})"
"frozenset({'M', 'Q9BUJ2', 'P84103'})"
"frozenset({'M', 'Q9UBC2', 'O43149'})"
"frozenset({'P17844', 'M', 'P11387'})"
"frozenset({'M', 'P41208', 'A8K8P3'})"
"frozenset({'Q13554', 'M', 'Q9UQM7'})"
"frozenset({'M', 'P40617', 'Q2TAC2'})"
"frozenset({'M', 'Q15365', 'O00154'})"
"frozenset({'M', 'P11177', 'P20073'})"
"frozenset({'M', 'Q15012', 'Q9C0B0'})"
"frozenset({'M', 'Q99643', 'O75665'})"
"frozenset({'M', 'Q9NX05', 'P05161'})"
"frozenset({'O43897', 'M', 'P05067'})"
"frozenset({'M', 'Q9NPJ3', 'P31939'})"
"frozenset({'P33992', 'M', 'P11142'})"
"frozenset({'Q03135', 'M', 'Q9H0E2'})"
"frozenset({'Q8NHH9', 'M', 'P83369'})"
"frozenset({'M', 'Q9UMX0', 'Q9NVD7'})"
"frozenset({'P54886', 'Q9Y3E0', 'M'})"
"frozenset({'Q8NCR6', 'M', 'P27658'})"
"frozenset({'M', 'P08588', 'P10276'})"
"frozenset({'M', 'Q5JU00', 'Q9P2D0'})"
"frozenset({'O43896', 'M', 'Q9P244'})"
"frozenset({'M', 'P52294', 'O75528'})"
"frozenset({'M', 'P08237', 'P53365'})"
"frozenset({'M', 'Q9UMX0', 'O95218'})"
"frozenset({'Q96QB1', 'M', 'Q9HBL0'})"
"frozenset({'M', 'Q9H221', 'Q9H222'})"
"frozenset({'P01889', 'M', 'Q9H0U4'})"
"frozenset({'Q9UGI0', 'M', 'O95363'})"
"frozenset({'M', 'Q8NA72', 'Q9Y3Y2'})"
"frozenset({'M', 'P13725', 'P78552'})"
"frozenset({'M', 'Q7Z4W1', 'Q9H4E7'})"
"frozenset({'M', 'Q7KYR7', 'Q9H2G9'})"
"frozenset({'M', 'Q96MT8', 'Q9NUQ3'})"
"frozenset({'P31944', 'M', 'Q70EK8'})"
"frozenset({'P53999', 'M', 'Q8TDI0'})"
"frozenset({'M', 'Q9Y466', 'Q9UQL6'})"
"frozenset({'O60925', 'Q96PX6', 'M'})"
"frozenset({'M', 'P05067', 'Q96N21'})"
"frozenset({'M', 'O15524', 'Q14241'})"
"frozenset({'M', 'Q63HR2', 'P04626'})"
"frozenset({'M', 'Q8NCP5', 'P06733'})"
"frozenset({'Q14999', 'Q09028', 'M'})"
"frozenset({'Q9NQX5', 'M', 'Q9BYR9'})"
"frozenset({'M', 'Q08379', 'Q8N3L3'})"
"frozenset({'Q92733', 'Q9UHD1', 'M'})"
"frozenset({'P26358', 'M', 'Q7Z569'})"
"frozenset({'M', 'A7KAX9', 'Q9H0R8'})"
"frozenset({'M', 'O15270', 'Q99571'})"
"frozenset({'M', 'P41252', 'Q1KMD3'})"
"frozenset({'M', 'Q9UP65', 'P22415'})"
"frozenset({'M', 'Q13162', 'P00747'})"
"frozenset({'P38398', 'M', 'Q06481'})"
"frozenset({'M', 'P27986', 'P55345'})"
"frozenset({'M', 'Q9NSE4', 'P31943'})"
"frozenset({'M', 'Q96T60', 'O60936'})"
"frozenset({'M', 'Q9UNN5', 'Q7L5D6'})"
"frozenset({'M', 'Q96PR1', 'P48547'})"
"frozenset({'P28482', 'M', 'Q9BZM1'})"
"frozenset({'M', 'P69905', 'P15336'})"
"frozenset({'M', 'P31749', 'P42336'})"
"frozenset({'M', 'P18077', 'Q96Q27'})"
"frozenset({'M', 'Q00987', 'P61313'})"
"frozenset({'M', 'Q15459', 'Q15428'})"
"frozenset({'M', 'Q9UQC2', 'Q13588'})"
"frozenset({'M', 'Q6ZT89', 'Q8TF42'})"
"frozenset({'M', 'O15524', 'P46109'})"
"frozenset({'O94776', 'M', 'Q99459'})"
"frozenset({'Q9BQ95', 'M', 'O75489'})"
"frozenset({'M', 'P04637', 'P36952'})"
"frozenset({'P62136', 'M', 'Q9UQL6'})"
