negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'P04406', 'P35244', 'BCR'})"
"frozenset({'Q969F2', 'BCR', 'Q96PM5'})"
"frozenset({'Q6ZU80', 'BCR', 'Q68CZ6'})"
"frozenset({'Q15154', 'Q9NYB9', 'BCR'})"
"frozenset({'O00308', 'P61964', 'BCR'})"
"frozenset({'BCR', 'P09936', 'P46527'})"
"frozenset({'Q92826', 'Q12946', 'BCR'})"
"frozenset({'Q02535', 'BCR', 'P13349'})"
"frozenset({'BCR', 'P22314', 'O75344'})"
"frozenset({'Q12800', 'Q93045', 'BCR'})"
"frozenset({'Q9Y478', 'BCR', 'O95182'})"
"frozenset({'Q9NQ66', 'BCR', 'P16220'})"
"frozenset({'Q5TCX8', 'Q08AD1', 'BCR'})"
"frozenset({'P30101', 'P61619', 'BCR'})"
"frozenset({'P49910', 'BCR', 'O43463'})"
"frozenset({'P21549', 'BCR', 'Q9Y6H5'})"
"frozenset({'O60763', 'BCR', 'Q00610'})"
"frozenset({'Q13315', 'Q15648', 'BCR'})"
"frozenset({'BCR', 'O15217', 'P17252'})"
"frozenset({'BCR', 'Q56P03', 'Q9BZJ0'})"
"frozenset({'Q9Y2X0', 'Q9NWA0', 'BCR'})"
"frozenset({'P33552', 'BCR', 'P78396'})"
"frozenset({'P11021', 'BCR', 'Q8NEB9'})"
"frozenset({'Q14966', 'O75147', 'BCR'})"
"frozenset({'Q9Y2S6', 'BCR', 'Q8TCJ0'})"
"frozenset({'P86479', 'O75553', 'BCR'})"
"frozenset({'Q16637', 'BCR', 'P18124'})"
"frozenset({'BCR', 'P31270', 'Q03164'})"
"frozenset({'O14929', 'BCR', 'Q09028'})"
"frozenset({'Q96AG4', 'P11441', 'BCR'})"
"frozenset({'P49639', 'BCR', 'Q14990'})"
"frozenset({'Q06830', 'BCR', 'P54725'})"
"frozenset({'Q03111', 'Q13315', 'BCR'})"
"frozenset({'Q9BVJ6', 'Q9BV38', 'BCR'})"
"frozenset({'P36406', 'Q63HK5', 'BCR'})"
"frozenset({'Q14586', 'BCR', 'P29275'})"
"frozenset({'P49639', 'O43610', 'BCR'})"
"frozenset({'Q96E09', 'BCR', 'Q08209'})"
"frozenset({'Q05655', 'Q562R1', 'BCR'})"
"frozenset({'Q99496', 'BCR', 'O00267'})"
"frozenset({'P84077', 'BCR', 'O95433'})"
"frozenset({'Q9Y3Z3', 'BCR', 'P13010'})"
"frozenset({'Q9H0E2', 'Q14596', 'BCR'})"
"frozenset({'Q86SQ4', 'Q9Y478', 'BCR'})"
"frozenset({'Q14966', 'P36873', 'BCR'})"
"frozenset({'Q96NL6', 'Q9Y5X3', 'BCR'})"
"frozenset({'O15265', 'BCR', 'P02751'})"
"frozenset({'Q8N668', 'BCR', 'Q13619'})"
"frozenset({'P28070', 'P28062', 'BCR'})"
"frozenset({'BCR', 'Q9Y5L0', 'Q9NZQ7'})"
"frozenset({'Q5UIP0', 'Q92963', 'BCR'})"
"frozenset({'Q13098', 'BCR', 'Q99627'})"
"frozenset({'BCR', 'P78337', 'Q9H5F2'})"
"frozenset({'Q9Y2G2', 'Q9H792', 'BCR'})"
"frozenset({'Q9Y4Z0', 'BCR', 'O95777'})"
"frozenset({'Q6P3S6', 'Q9HCE7', 'BCR'})"
"frozenset({'Q9H5V7', 'O14862', 'BCR'})"
"frozenset({'P30480', 'P35080', 'BCR'})"
"frozenset({'Q9P0W2', 'BCR', 'Q9NWQ9'})"
"frozenset({'Q13045', 'BCR', 'Q9Y608'})"
"frozenset({'P63215', 'P09471', 'BCR'})"
"frozenset({'Q641Q2', 'BCR', 'Q9Y3C0'})"
"frozenset({'Q7L1I2', 'O15230', 'BCR'})"
"frozenset({'P08559', 'BCR', 'P78347'})"
"frozenset({'Q01813', 'BCR', 'Q99459'})"
"frozenset({'BCR', 'P04843', 'Q13418'})"
"frozenset({'Q13618', 'BCR', 'P46783'})"
"frozenset({'Q96DB2', 'Q9BW27', 'BCR'})"
"frozenset({'P22681', 'Q05397', 'BCR'})"
"frozenset({'BCR', 'Q8IVS8', 'O76011'})"
"frozenset({'Q8NGN1', 'O60262', 'BCR'})"
"frozenset({'Q93008', 'BCR', 'P35222'})"
"frozenset({'Q9NYV4', 'BCR', 'Q9UID3'})"
"frozenset({'Q04864', 'BCR', 'Q09472'})"
"frozenset({'BCR', 'Q9BY78', 'P51668'})"
"frozenset({'Q96D53', 'Q5HYK3', 'BCR'})"
"frozenset({'P18848', 'BCR', 'A2RTX5'})"
"frozenset({'P06748', 'Q6PK04', 'BCR'})"
"frozenset({'Q9H4G0', 'O15357', 'BCR'})"
"frozenset({'P18669', 'BCR', 'Q15051'})"
"frozenset({'Q969S3', 'BCR', 'Q14203'})"
"frozenset({'O95983', 'BCR', 'P48431'})"
"frozenset({'Q9ULK4', 'BCR', 'P13796'})"
"frozenset({'BCR', 'Q8N5N7', 'Q8IXM3'})"
"frozenset({'O75369', 'Q9NQW6', 'BCR'})"
"frozenset({'Q15796', 'BCR', 'Q9ULX6'})"
"frozenset({'Q15628', 'Q13158', 'BCR'})"
"frozenset({'Q07955', 'BCR', 'Q00839'})"
"frozenset({'Q9HB40', 'BCR', 'P49419'})"
"frozenset({'Q16637', 'O96028', 'BCR'})"
"frozenset({'Q9Y2Z4', 'Q12834', 'BCR'})"
"frozenset({'BCR', 'Q92522', 'Q15022'})"
"frozenset({'Q3SY46', 'BCR', 'Q5T749'})"
"frozenset({'P26640', 'BCR', 'Q15020'})"
"frozenset({'Q04828', 'BCR', 'P42330'})"
"frozenset({'Q86T65', 'BCR', 'P60409'})"
"frozenset({'Q5VU43', 'BCR', 'Q8WWY3'})"
"frozenset({'Q8NBT0', 'P11142', 'BCR'})"
"frozenset({'Q8NGY0', 'Q9P2W3', 'BCR'})"
"frozenset({'P61326', 'BCR', 'Q9UNX3'})"
"frozenset({'Q9UHB6', 'P60953', 'BCR'})"
"frozenset({'BCR', 'P49286', 'P78527'})"
"frozenset({'B7ZAQ6', 'Q86VR2', 'BCR'})"
"frozenset({'BCR', 'Q86XA0', 'P01040'})"
"frozenset({'O14633', 'BCR', 'Q9NRY6'})"
"frozenset({'O60262', 'BCR', 'Q5JRS4'})"
"frozenset({'BCR', 'Q96B97', 'Q9UJF2'})"
"frozenset({'P54886', 'BCR', 'Q96RT8'})"
"frozenset({'P07900', 'BCR', 'Q9P2G3'})"
"frozenset({'P54274', 'BCR', 'Q9BTW9'})"
"frozenset({'O94762', 'Q9BTT4', 'BCR'})"
"frozenset({'P17081', 'Q9NQU5', 'BCR'})"
"frozenset({'P43897', 'BCR', 'P49917'})"
"frozenset({'P27816', 'BCR', 'P05198'})"
"frozenset({'Q8WTW4', 'BCR', 'Q96IQ9'})"
"frozenset({'BCR', 'Q9Y2M0', 'P54277'})"
"frozenset({'Q9UK85', 'BCR', 'P06241'})"
"frozenset({'Q15075', 'BCR', 'P98164'})"
"frozenset({'Q7L273', 'Q7L775', 'BCR'})"
"frozenset({'P10275', 'Q15059', 'BCR'})"
"frozenset({'Q9NZC2', 'P43405', 'BCR'})"
"frozenset({'BCR', 'P35249', 'Q8WX92'})"
"frozenset({'O75475', 'Q01844', 'BCR'})"
"frozenset({'Q5T9L3', 'BCR', 'Q9HCE1'})"
"frozenset({'P06748', 'Q00534', 'BCR'})"
"frozenset({'P27986', 'BCR', 'P35916'})"
"frozenset({'Q9C0F1', 'Q9NUQ3', 'BCR'})"
"frozenset({'Q9BQT8', 'BCR', 'Q9Y314'})"
"frozenset({'Q13243', 'BCR', 'P16298'})"
"frozenset({'BCR', 'Q8NFZ0', 'P63208'})"
"frozenset({'P22694', 'P49674', 'BCR'})"
"frozenset({'Q8WUI4', 'BCR', 'O15075'})"
"frozenset({'O00487', 'BCR', 'Q9UMX0'})"
"frozenset({'P12980', 'BCR', 'Q9UKT5'})"
"frozenset({'Q99459', 'BCR', 'Q12824'})"
"frozenset({'Q9BUN8', 'Q96N21', 'BCR'})"
"frozenset({'Q12962', 'Q16695', 'BCR'})"
"frozenset({'O14773', 'BCR', 'P31689'})"
"frozenset({'Q13426', 'O00499', 'BCR'})"
"frozenset({'Q8WUD4', 'Q96CF2', 'BCR'})"
"frozenset({'Q96H55', 'Q27J81', 'BCR'})"
"frozenset({'Q13557', 'BCR', 'P32121'})"
"frozenset({'Q02809', 'Q68CZ1', 'BCR'})"
"frozenset({'BCR', 'Q15393', 'Q12874'})"
"frozenset({'P11021', 'BCR', 'Q86UA6'})"
"frozenset({'P36578', 'P19338', 'BCR'})"
"frozenset({'Q8NHQ1', 'A8K8V0', 'BCR'})"
"frozenset({'Q96FW1', 'Q8TE77', 'BCR'})"
"frozenset({'P06748', 'O15344', 'BCR'})"
"frozenset({'P49023', 'P00519', 'BCR'})"
"frozenset({'BCR', 'Q13595', 'Q659C4'})"
"frozenset({'O75604', 'BCR', 'Q58EX7'})"
"frozenset({'BCR', 'P62993', 'Q04837'})"
"frozenset({'P09486', 'BCR', 'P02461'})"
"frozenset({'Q8NGC1', 'BCR', 'P62873'})"
"frozenset({'Q9NX76', 'BCR', 'Q6AZY7'})"
"frozenset({'Q9UKR5', 'BCR', 'P49903'})"
"frozenset({'P46782', 'O14980', 'BCR'})"
"frozenset({'Q00839', 'BCR', 'Q07020'})"
"frozenset({'P19875', 'BCR', 'P32248'})"
"frozenset({'P57678', 'BCR', 'Q9P2S5'})"
"frozenset({'P11388', 'Q9BZI7', 'BCR'})"
"frozenset({'Q6FI13', 'BCR', 'Q8N257'})"
"frozenset({'Q93062', 'BCR', 'Q14995'})"
"frozenset({'P27361', 'Q01085', 'BCR'})"
"frozenset({'P27816', 'BCR', 'O95777'})"
"frozenset({'Q9NP74', 'BCR', 'Q96B97'})"
"frozenset({'P32302', 'P13236', 'BCR'})"
"frozenset({'Q9UFC0', 'BCR', 'Q13416'})"
"frozenset({'BCR', 'Q96KN7', 'Q9P0N9'})"
"frozenset({'P21246', 'BCR', 'P09211'})"
"frozenset({'Q13503', 'P50613', 'BCR'})"
"frozenset({'BCR', 'Q9NPJ4', 'P10074'})"
"frozenset({'BCR', 'P30291', 'P13639'})"
"frozenset({'O95425', 'Q02224', 'BCR'})"
"frozenset({'Q9NZT1', 'BCR', 'P16885'})"
"frozenset({'Q38SD2', 'P61626', 'BCR'})"
"frozenset({'Q9BYD1', 'BCR', 'Q9BRJ2'})"
"frozenset({'Q9Y2V7', 'BCR', 'Q96IQ7'})"
"frozenset({'P24522', 'Q8NFD5', 'BCR'})"
"frozenset({'P11441', 'BCR', 'P46778'})"
"frozenset({'P26196', 'BCR', 'Q9Y5J9'})"
"frozenset({'O43252', 'BCR', 'P51681'})"
"frozenset({'O00217', 'BCR', 'O95178'})"
"frozenset({'Q93009', 'BCR', 'P46109'})"
"frozenset({'P49840', 'A5PL33', 'BCR'})"
"frozenset({'P02545', 'BCR', 'Q86Y07'})"
"frozenset({'Q9BW91', 'BCR', 'Q86X76'})"
"frozenset({'P27694', 'BCR', 'P13010'})"
"frozenset({'Q29RF7', 'P27694', 'BCR'})"
"frozenset({'O95425', 'BCR', 'P48681'})"
"frozenset({'Q6IN84', 'BCR', 'Q14197'})"
"frozenset({'P61604', 'Q14847', 'BCR'})"
"frozenset({'P05412', 'P11142', 'BCR'})"
"frozenset({'Q9H4L4', 'BCR', 'Q14974'})"
"frozenset({'Q02447', 'BCR', 'P37173'})"
"frozenset({'Q9NRC8', 'P52948', 'BCR'})"
"frozenset({'P84098', 'P62906', 'BCR'})"
"frozenset({'O95372', 'BCR', 'P35270'})"
"frozenset({'BCR', 'Q09472', 'Q00839'})"
"frozenset({'P19438', 'Q12931', 'BCR'})"
"frozenset({'Q8IYB3', 'Q9UPE1', 'BCR'})"
"frozenset({'P32969', 'BCR', 'P26373'})"
"frozenset({'Q13247', 'Q01130', 'BCR'})"
"frozenset({'P22748', 'BCR', 'Q9NWS0'})"
"frozenset({'BCR', 'O75530', 'Q9Y4A5'})"
"frozenset({'P23458', 'P31939', 'BCR'})"
"frozenset({'Q6PJW8', 'Q9HAT0', 'BCR'})"
"frozenset({'O43707', 'Q04206', 'BCR'})"
"frozenset({'BCR', 'Q13418', 'Q14257'})"
"frozenset({'Q16795', 'O43181', 'BCR'})"
"frozenset({'Q96H55', 'BCR', 'Q6PJ61'})"
"frozenset({'BCR', 'Q5TBB1', 'P62807'})"
"frozenset({'Q9NRX2', 'BCR', 'Q9BYD1'})"
"frozenset({'P67775', 'BCR', 'O15111'})"
"frozenset({'Q00597', 'P07384', 'BCR'})"
"frozenset({'Q9HCE1', 'P67809', 'BCR'})"
"frozenset({'P04629', 'BCR', 'P51812'})"
"frozenset({'O15379', 'BCR', 'Q6W2J9'})"
"frozenset({'Q9Y294', 'P84243', 'BCR'})"
"frozenset({'P68400', 'BCR', 'Q05519'})"
"frozenset({'Q9BPZ7', 'BCR', 'P61964'})"
"frozenset({'P04626', 'P61619', 'BCR'})"
"frozenset({'P28482', 'BCR', 'P17252'})"
"frozenset({'P30939', 'P63096', 'BCR'})"
"frozenset({'P41597', 'P13501', 'BCR'})"
"frozenset({'Q9UMW8', 'Q15751', 'BCR'})"
"frozenset({'Q03169', 'BCR', 'Q86VN1'})"
"frozenset({'O95817', 'BCR', 'Q9UMR5'})"
"frozenset({'O95466', 'BCR', 'Q8WWI1'})"
"frozenset({'Q9H582', 'Q9H9B1', 'BCR'})"
"frozenset({'Q8TEA8', 'Q8IV38', 'BCR'})"
"frozenset({'Q96C24', 'P20336', 'BCR'})"
"frozenset({'P50402', 'Q7L5N1', 'BCR'})"
"frozenset({'Q8TAU3', 'BCR', 'Q7Z3S9'})"
"frozenset({'Q9NWT6', 'BCR', 'Q15773'})"
"frozenset({'BCR', 'P51451', 'P25705'})"
"frozenset({'Q96GX1', 'Q5UCC4', 'BCR'})"
"frozenset({'P02649', 'BCR', 'P21796'})"
"frozenset({'Q5BKZ1', 'BCR', 'Q9BPU9'})"
"frozenset({'P05067', 'BCR', 'Q9H426'})"
"frozenset({'P68400', 'O95931', 'BCR'})"
"frozenset({'P62269', 'BCR', 'P13612'})"
"frozenset({'Q96EY5', 'BCR', 'Q8WUM4'})"
"frozenset({'Q9Y230', 'BCR', 'Q9NZR1'})"
"frozenset({'BCR', 'Q16099', 'P20339'})"
"frozenset({'P09622', 'BCR', 'P31040'})"
"frozenset({'BCR', 'P11021', 'Q96C86'})"
"frozenset({'A1L190', 'Q5XKE5', 'BCR'})"
"frozenset({'P60484', 'BCR', 'P49841'})"
"frozenset({'Q13643', 'Q86Z02', 'BCR'})"
"frozenset({'Q14119', 'BCR', 'A6NEM1'})"
"frozenset({'Q9BWJ5', 'Q96F63', 'BCR'})"
"frozenset({'Q9HCN6', 'BCR', 'Q14031'})"
"frozenset({'Q13618', 'Q9Y2L1', 'BCR'})"
"frozenset({'P33991', 'BCR', 'Q9UJA3'})"
"frozenset({'P22626', 'P35244', 'BCR'})"
"frozenset({'BCR', 'Q9H7B4', 'Q9H3H1'})"
"frozenset({'BCR', 'Q8NI51', 'P68431'})"
"frozenset({'Q9UGL9', 'BCR', 'Q9BYR2'})"
"frozenset({'Q9UK41', 'BCR', 'P45973'})"
"frozenset({'Q13617', 'Q15393', 'BCR'})"
"frozenset({'Q96DB2', 'BCR', 'Q02338'})"
"frozenset({'Q3SYF9', 'BCR', 'Q08AM6'})"
"frozenset({'Q8NH94', 'BCR', 'P17612'})"
"frozenset({'P33778', 'Q8WUI4', 'BCR'})"
"frozenset({'O43181', 'Q16718', 'BCR'})"
"frozenset({'Q8NGT0', 'BCR', 'P17612'})"
"frozenset({'BCR', 'P46940', 'Q9P2M7'})"
"frozenset({'Q96HA8', 'BCR', 'Q6PF18'})"
"frozenset({'P30740', 'BCR', 'Q9UGI8'})"
"frozenset({'P62191', 'BCR', 'P28066'})"
"frozenset({'O43318', 'Q9Y4D1', 'BCR'})"
"frozenset({'BCR', 'Q9HD33', 'Q9HC36'})"
"frozenset({'BCR', 'P31749', 'Q9UQM7'})"
"frozenset({'O43708', 'Q9P2G9', 'BCR'})"
"frozenset({'P12111', 'Q13683', 'BCR'})"
"frozenset({'BCR', 'Q09472', 'Q96BR9'})"
"frozenset({'P05187', 'BCR', 'A8MQ03'})"
"frozenset({'Q12882', 'BCR', 'Q96Q11'})"
"frozenset({'Q8NG77', 'P38405', 'BCR'})"
"frozenset({'P01375', 'BCR', 'Q9Y6K9'})"
"frozenset({'P45880', 'Q16611', 'BCR'})"
"frozenset({'P35367', 'BCR', 'P29992'})"
"frozenset({'P01106', 'BCR', 'Q92974'})"
"frozenset({'P08648', 'P21333', 'BCR'})"
"frozenset({'Q16891', 'Q9BZW8', 'BCR'})"
"frozenset({'P63096', 'P25929', 'BCR'})"
"frozenset({'Q03113', 'Q13255', 'BCR'})"
"frozenset({'Q9UL62', 'BCR', 'P16949'})"
"frozenset({'O00541', 'BCR', 'P62917'})"
"frozenset({'Q9UPX8', 'Q9UHR4', 'BCR'})"
"frozenset({'Q9P289', 'Q13509', 'BCR'})"
"frozenset({'P49721', 'BCR', 'P43686'})"
"frozenset({'Q8TAP6', 'Q9HCP0', 'BCR'})"
"frozenset({'P09497', 'P25098', 'BCR'})"
"frozenset({'P45984', 'BCR', 'Q5HYW2'})"
"frozenset({'Q6ZU80', 'BCR', 'Q9NQC8'})"
"frozenset({'P20073', 'BCR', 'P43246'})"
"frozenset({'P04844', 'Q969V3', 'BCR'})"
"frozenset({'P09661', 'BCR', 'Q969P0'})"
"frozenset({'P02794', 'BCR', 'P38606'})"
"frozenset({'P06748', 'BCR', 'Q9H9Y2'})"
"frozenset({'P61247', 'Q02543', 'BCR'})"
"frozenset({'P63096', 'BCR', 'P49286'})"
"frozenset({'Q9HBU9', 'Q8IWT6', 'BCR'})"
"frozenset({'P30480', 'BCR', 'P61163'})"
"frozenset({'Q16082', 'BCR', 'O60706'})"
"frozenset({'Q53GT1', 'Q92905', 'BCR'})"
"frozenset({'P86496', 'BCR', 'P78337'})"
"frozenset({'P63104', 'BCR', 'Q9Y2D8'})"
"frozenset({'Q9P2K2', 'P29966', 'BCR'})"
"frozenset({'O14862', 'O75531', 'BCR'})"
"frozenset({'Q9Y265', 'P12830', 'BCR'})"
"frozenset({'P68402', 'P26640', 'BCR'})"
"frozenset({'Q9NRL3', 'Q96FJ2', 'BCR'})"
"frozenset({'O95425', 'BCR', 'O00159'})"
"frozenset({'Q9H1I8', 'BCR', 'Q14181'})"
"frozenset({'Q96KP1', 'BCR', 'Q9UPT5'})"
"frozenset({'Q92569', 'BCR', 'P07948'})"
"frozenset({'BCR', 'Q8N6T7', 'Q9UGN5'})"
"frozenset({'BCR', 'Q6IQ23', 'Q9UKF6'})"
"frozenset({'Q9H0M0', 'BCR', 'O43541'})"
"frozenset({'BCR', 'P62140', 'P62136'})"
"frozenset({'Q9H765', 'BCR', 'Q15369'})"
"frozenset({'O60826', 'O43482', 'BCR'})"
"frozenset({'O14641', 'O14980', 'BCR'})"
"frozenset({'BCR', 'O75022', 'O75015'})"
"frozenset({'BCR', 'P20674', 'Q96B26'})"
"frozenset({'Q96HY6', 'BCR', 'Q15800'})"
"frozenset({'BCR', 'Q9UIF9', 'Q9UPP5'})"
"frozenset({'BCR', 'Q8IVL6', 'P48023'})"
"frozenset({'P51685', 'BCR', 'P13500'})"
"frozenset({'P03915', 'BCR', 'O43920'})"
"frozenset({'Q92614', 'Q9NQW6', 'BCR'})"
"frozenset({'BCR', 'Q9HB71', 'Q12888'})"
"frozenset({'P17676', 'Q13547', 'BCR'})"
"frozenset({'P32242', 'BCR', 'Q96MT4'})"
"frozenset({'BCR', 'Q9BYX4', 'O43657'})"
"frozenset({'Q9UHB6', 'Q9Y6R0', 'BCR'})"
"frozenset({'Q15323', 'Q9UM22', 'BCR'})"
"frozenset({'BCR', 'Q8WZ79', 'Q12933'})"
"frozenset({'P27482', 'O95622', 'BCR'})"
"frozenset({'Q9UHG2', 'BCR', 'P16220'})"
"frozenset({'Q03431', 'BCR', 'Q9Y320'})"
"frozenset({'Q9Y383', 'Q9H492', 'BCR'})"
"frozenset({'Q92597', 'P10275', 'BCR'})"
"frozenset({'BCR', 'Q99616', 'P25024'})"
"frozenset({'BCR', 'P22612', 'Q16720'})"
"frozenset({'BCR', 'Q13873', 'P48995'})"
"frozenset({'P54252', 'Q8N183', 'BCR'})"
"frozenset({'P27037', 'Q04771', 'BCR'})"
"frozenset({'Q86Z20', 'BCR', 'Q8NHW6'})"
"frozenset({'BCR', 'Q6P1M3', 'Q8IZ21'})"
"frozenset({'P27361', 'BCR', 'P31751'})"
"frozenset({'P02545', 'BCR', 'Q9Y2U8'})"
"frozenset({'P30480', 'BCR', 'Q02750'})"
"frozenset({'Q9NP66', 'BCR', 'Q9HCH0'})"
"frozenset({'BCR', 'P62993', 'Q9ULI4'})"
"frozenset({'Q9Y222', 'BCR', 'P04637'})"
"frozenset({'P16333', 'Q9HCU4', 'BCR'})"
"frozenset({'P21246', 'Q14508', 'BCR'})"
"frozenset({'P13646', 'Q86VS8', 'BCR'})"
"frozenset({'P02786', 'P01106', 'BCR'})"
"frozenset({'BCR', 'P80162', 'P32246'})"
"frozenset({'Q9UBV7', 'P53611', 'BCR'})"
"frozenset({'Q9HCE1', 'O43581', 'BCR'})"
"frozenset({'Q9NSA3', 'BCR', 'P49662'})"
"frozenset({'Q04917', 'Q9BV73', 'BCR'})"
"frozenset({'Q9BZ29', 'BCR', 'P49759'})"
"frozenset({'Q13224', 'BCR', 'P78352'})"
"frozenset({'P46952', 'BCR', 'Q9NYB0'})"
"frozenset({'Q96RK0', 'Q06547', 'BCR'})"
"frozenset({'Q9NZN8', 'BCR', 'P47755'})"
"frozenset({'Q9HA90', 'Q13616', 'BCR'})"
"frozenset({'Q9BT92', 'O75934', 'BCR'})"
"frozenset({'Q9UK80', 'P56524', 'BCR'})"
"frozenset({'BCR', 'Q96A08', 'Q86WJ1'})"
"frozenset({'Q9HCE1', 'BCR', 'Q9NRF9'})"
"frozenset({'Q9Y3M2', 'BCR', 'Q8N122'})"
"frozenset({'Q92793', 'BCR', 'P14060'})"
"frozenset({'BCR', 'P48436', 'P35222'})"
"frozenset({'Q08379', 'Q96KM6', 'BCR'})"
"frozenset({'Q99986', 'Q08AD1', 'BCR'})"
"frozenset({'Q9UI14', 'BCR', 'Q96C03'})"
"frozenset({'Q01974', 'P86481', 'BCR'})"
"frozenset({'Q15714', 'BCR', 'O75530'})"
"frozenset({'O75152', 'BCR', 'P82979'})"
"frozenset({'Q8IZS8', 'P30153', 'BCR'})"
"frozenset({'P63244', 'BCR', 'Q92905'})"
"frozenset({'P06744', 'BCR', 'Q14999'})"
"frozenset({'BCR', 'Q96S94', 'Q13596'})"
"frozenset({'BCR', 'A5D8V6', 'Q58EX7'})"
"frozenset({'Q07065', 'BCR', 'O43542'})"
"frozenset({'O60437', 'BCR', 'Q9NRD5'})"
"frozenset({'P08243', 'BCR', 'Q9H788'})"
"frozenset({'BCR', 'Q6P1L8', 'Q9P015'})"
"frozenset({'Q13243', 'Q12906', 'BCR'})"
"frozenset({'P05412', 'BCR', 'Q15388'})"
"frozenset({'P31150', 'BCR', 'Q9UET6'})"
"frozenset({'O75665', 'Q68CZ1', 'BCR'})"
"frozenset({'P06744', 'BCR', 'P12004'})"
"frozenset({'Q9GZM6', 'P38405', 'BCR'})"
"frozenset({'Q13618', 'BCR', 'Q7Z6Z7'})"
"frozenset({'Q9BZW7', 'Q01546', 'BCR'})"
"frozenset({'P17066', 'BCR', 'P34931'})"
"frozenset({'Q9GZT8', 'BCR', 'O96006'})"
"frozenset({'BCR', 'O43660', 'Q9UMS4'})"
"frozenset({'Q13616', 'BCR', 'Q99459'})"
"frozenset({'Q13315', 'P52272', 'BCR'})"
"frozenset({'P15531', 'P50238', 'BCR'})"
"frozenset({'Q9P265', 'Q15717', 'BCR'})"
"frozenset({'BCR', 'P31946', 'Q6ICG6'})"
"frozenset({'Q9UGK3', 'P51692', 'BCR'})"
"frozenset({'BCR', 'P01563', 'O14879'})"
"frozenset({'P35498', 'P04899', 'BCR'})"
"frozenset({'P05412', 'P06576', 'BCR'})"
"frozenset({'O75478', 'Q9NQ29', 'BCR'})"
"frozenset({'Q9Y371', 'BCR', 'Q96GQ7'})"
"frozenset({'P04049', 'BCR', 'Q00872'})"
"frozenset({'P30153', 'BCR', 'Q9NVR7'})"
"frozenset({'Q9H0F6', 'BCR', 'Q9UM82'})"
"frozenset({'Q96QS3', 'BCR', 'O15027'})"
"frozenset({'Q96JQ0', 'BCR', 'P25942'})"
"frozenset({'P42677', 'BCR', 'P20333'})"
"frozenset({'Q8NBT0', 'BCR', 'Q9NVK5'})"
"frozenset({'P10276', 'Q9UPP1', 'BCR'})"
"frozenset({'Q8NAF0', 'BCR', 'Q16659'})"
"frozenset({'O14543', 'P42224', 'BCR'})"
"frozenset({'Q58A45', 'Q15717', 'BCR'})"
"frozenset({'Q9HCN4', 'O94763', 'BCR'})"
"frozenset({'Q9UKC9', 'P61077', 'BCR'})"
"frozenset({'Q9BZW7', 'BCR', 'Q14142'})"
"frozenset({'BCR', 'Q8NDL9', 'Q9NXC2'})"
"frozenset({'Q9H0U9', 'BCR', 'Q6VAB6'})"
"frozenset({'Q8NH05', 'P35626', 'BCR'})"
"frozenset({'P35052', 'O94813', 'BCR'})"
"frozenset({'P63261', 'BCR', 'Q8N726'})"
"frozenset({'P18031', 'BCR', 'Q6W2J9'})"
"frozenset({'P25098', 'Q8NGK2', 'BCR'})"
"frozenset({'Q9H2C0', 'Q8N2N9', 'BCR'})"
"frozenset({'P47756', 'O43252', 'BCR'})"
"frozenset({'Q12952', 'BCR', 'P52790'})"
"frozenset({'P11532', 'BCR', 'O95477'})"
"frozenset({'Q14318', 'BCR', 'Q9H0W5'})"
"frozenset({'P11836', 'BCR', 'P25942'})"
"frozenset({'Q9NX24', 'BCR', 'Q6NT76'})"
"frozenset({'Q8NAJ2', 'BCR', 'Q8IYR0'})"
"frozenset({'BCR', 'P08833', 'P27540'})"
"frozenset({'BCR', 'P22234', 'P29401'})"
"frozenset({'BCR', 'P51116', 'Q9Y4E5'})"
"frozenset({'P08514', 'P24043', 'BCR'})"
"frozenset({'Q9UBI6', 'BCR', 'P48549'})"
"frozenset({'P17947', 'Q7Z5R6', 'BCR'})"
"frozenset({'BCR', 'Q02878', 'Q504Q3'})"
"frozenset({'P10809', 'BCR', 'O00193'})"
"frozenset({'P07954', 'Q68D86', 'BCR'})"
"frozenset({'O14965', 'BCR', 'Q9Y4A5'})"
"frozenset({'P35249', 'BCR', 'Q9Y2M0'})"
"frozenset({'BCR', 'P63092', 'P63211'})"
"frozenset({'O43567', 'BCR', 'O75460'})"
"frozenset({'Q9UMX1', 'Q6IQ16', 'BCR'})"
"frozenset({'O14681', 'P11234', 'BCR'})"
"frozenset({'Q86X52', 'BCR', 'Q13635'})"
"frozenset({'P31943', 'Q9Y5L0', 'BCR'})"
"frozenset({'P27986', 'P40763', 'BCR'})"
"frozenset({'Q02833', 'BCR', 'Q8WWW0'})"
"frozenset({'Q66GS9', 'Q8IWC1', 'BCR'})"
"frozenset({'Q96SQ5', 'Q9Y2T1', 'BCR'})"
"frozenset({'Q9H2C0', 'BCR', 'Q676U5'})"
"frozenset({'BCR', 'Q8IZP0', 'Q13131'})"
"frozenset({'P25786', 'P48556', 'BCR'})"
"frozenset({'P13639', 'BCR', 'P62081'})"
"frozenset({'P50222', 'BCR', 'Q01523'})"
"frozenset({'Q8TDZ2', 'Q15750', 'BCR'})"
"frozenset({'BCR', 'Q96FF9', 'Q8N9R8'})"
"frozenset({'P10827', 'O75376', 'BCR'})"
"frozenset({'Q9UQ35', 'BCR', 'Q6K0P9'})"
