negatives
"frozenset({'Q9UBV4', 'Q6FHJ7', 'RANKL'})"
"frozenset({'P49759', 'RANKL', 'P46777'})"
"frozenset({'P15514', 'RANKL', 'P30281'})"
"frozenset({'P41159', 'RANKL', 'P10912'})"
"frozenset({'P68431', 'RANKL', 'O15164'})"
"frozenset({'RANKL', 'O15481', 'Q9BRK4'})"
"frozenset({'RANKL', 'P63172', 'Q7Z5K2'})"
"frozenset({'RANKL', 'P13645', 'O00459'})"
"frozenset({'P04637', 'RANKL', 'O75469'})"
"frozenset({'RANKL', 'Q96C45', 'P05067'})"
"frozenset({'Q9HCE1', 'O75792', 'RANKL'})"
"frozenset({'O00267', 'RANKL', 'Q9NZN9'})"
"frozenset({'RANKL', 'Q9Y4L1', 'Q9H1H9'})"
"frozenset({'RANKL', 'P78362', 'Q9C0G6'})"
"frozenset({'O14746', 'RANKL', 'Q9BUR4'})"
"frozenset({'Q14207', 'RANKL', 'P31948'})"
"frozenset({'Q13618', 'RANKL', 'Q16543'})"
"frozenset({'Q86VP6', 'RANKL', 'P61978'})"
"frozenset({'RANKL', 'P09661', 'Q01081'})"
"frozenset({'RANKL', 'P49286', 'Q9NQX7'})"
"frozenset({'P42702', 'RANKL', 'Q06124'})"
"frozenset({'P62081', 'RANKL', 'O43829'})"
"frozenset({'P62304', 'RANKL', 'P09914'})"
"frozenset({'RANKL', 'O76039', 'Q9H2G2'})"
"frozenset({'RANKL', 'P62070', 'P42336'})"
"frozenset({'Q13618', 'RANKL', 'Q9H9C1'})"
"frozenset({'Q15042', 'RANKL', 'O15259'})"
"frozenset({'Q12829', 'RANKL', 'P53611'})"
"frozenset({'Q15653', 'RANKL', 'Q9UKB1'})"
"frozenset({'Q9BTT0', 'RANKL', 'P16455'})"
"frozenset({'RANKL', 'P09341', 'P49238'})"
"frozenset({'Q9H9B4', 'RANKL', 'P47985'})"
"frozenset({'RANKL', 'O43765', 'Q92820'})"
"frozenset({'RANKL', 'P52429', 'P21673'})"
"frozenset({'Q9H171', 'RANKL', 'Q9UL18'})"
"frozenset({'RANKL', 'Q92731', 'Q9H4L4'})"
"frozenset({'P68400', 'RANKL', 'P23759'})"
"frozenset({'RANKL', 'Q9ULH1', 'O15259'})"
"frozenset({'Q8IVT5', 'RANKL', 'P35240'})"
"frozenset({'RANKL', 'Q9NXE8', 'P19474'})"
"frozenset({'O60739', 'P00451', 'RANKL'})"
"frozenset({'P27482', 'RANKL', 'P11217'})"
"frozenset({'P15153', 'RANKL', 'P00519'})"
"frozenset({'Q9ULR0', 'RANKL', 'O60508'})"
"frozenset({'Q99941', 'Q9UQM7', 'RANKL'})"
"frozenset({'Q5S007', 'RANKL', 'P22090'})"
"frozenset({'O95456', 'RANKL', 'P02751'})"
"frozenset({'Q14011', 'RANKL', 'Q6FIF0'})"
"frozenset({'P61326', 'RANKL', 'Q14562'})"
"frozenset({'P26045', 'P31947', 'RANKL'})"
"frozenset({'Q14831', 'RANKL', 'P63211'})"
"frozenset({'RANKL', 'Q9NRD1', 'O75503'})"
"frozenset({'O43597', 'RANKL', 'P40337'})"
"frozenset({'P62316', 'RANKL', 'P60520'})"
"frozenset({'RANKL', 'Q13315', 'O15047'})"
"frozenset({'RANKL', 'Q9NP97', 'Q9Y6G9'})"
"frozenset({'Q8NG78', 'RANKL', 'O60262'})"
"frozenset({'RANKL', 'P01889', 'P52907'})"
"frozenset({'P11274', 'RANKL', 'P48729'})"
"frozenset({'O60739', 'RANKL', 'O00151'})"
"frozenset({'P06756', 'RANKL', 'Q9HBI0'})"
"frozenset({'O75935', 'Q13561', 'RANKL'})"
"frozenset({'RANKL', 'Q99661', 'Q9BV38'})"
"frozenset({'P62879', 'RANKL', 'Q70EL3'})"
"frozenset({'Q96LY2', 'RANKL', 'O00487'})"
"frozenset({'RANKL', 'Q9GZP0', 'P22455'})"
"frozenset({'P06748', 'Q9UQ80', 'RANKL'})"
"frozenset({'P83111', 'Q9P2D0', 'RANKL'})"
"frozenset({'P11387', 'RANKL', 'Q9UM73'})"
"frozenset({'P42765', 'RANKL', 'P40818'})"
"frozenset({'P23297', 'RANKL', 'Q8WXG8'})"
"frozenset({'Q9UJ04', 'RANKL', 'Q15834'})"
"frozenset({'RANKL', 'P57078', 'Q13045'})"
"frozenset({'RANKL', 'P62910', 'P61513'})"
"frozenset({'RANKL', 'O43252', 'P51681'})"
"frozenset({'Q9NRC8', 'RANKL', 'Q71RC2'})"
"frozenset({'Q96EQ0', 'O15020', 'RANKL'})"
"frozenset({'RANKL', 'O95835', 'Q9H093'})"
"frozenset({'Q86X95', 'RANKL', 'Q07955'})"
"frozenset({'O15247', 'RANKL', 'P46934'})"
"frozenset({'Q8WW22', 'Q13347', 'RANKL'})"
"frozenset({'Q16222', 'RANKL', 'P52888'})"
"frozenset({'Q9UIQ6', 'O95271', 'RANKL'})"
"frozenset({'RANKL', 'Q3LI70', 'Q96MA1'})"
"frozenset({'Q9HCE1', 'RANKL', 'Q9NUK0'})"
"frozenset({'P17612', 'RANKL', 'Q8TEY5'})"
"frozenset({'P14866', 'RANKL', 'O00358'})"
"frozenset({'RANKL', 'Q8IUD2', 'Q6IBS0'})"
"frozenset({'P08865', 'RANKL', 'Q14749'})"
"frozenset({'P30153', 'RANKL', 'Q969Q6'})"
"frozenset({'RANKL', 'Q8N7P3', 'C9JDP6'})"
"frozenset({'RANKL', 'Q14680', 'Q01094'})"
"frozenset({'O14964', 'RANKL', 'Q71SY5'})"
"frozenset({'RANKL', 'O94910', 'Q02297'})"
"frozenset({'Q13535', 'RANKL', 'P33993'})"
"frozenset({'RANKL', 'P05771', 'P28799'})"
"frozenset({'RANKL', 'O95831', 'P51617'})"
"frozenset({'P01023', 'RANKL', 'Q9Y3D6'})"
"frozenset({'P63146', 'RANKL', 'P04818'})"
"frozenset({'P01024', 'RANKL', 'Q9Y279'})"
"frozenset({'P52272', 'RANKL', 'Q9UBX2'})"
"frozenset({'RANKL', 'Q02543', 'P11940'})"
"frozenset({'RANKL', 'P18054', 'P16144'})"
"frozenset({'Q8WZ75', 'RANKL', 'P37231'})"
"frozenset({'Q9UBN7', 'O43448', 'RANKL'})"
"frozenset({'RANKL', 'Q9HAT2', 'Q15818'})"
"frozenset({'RANKL', 'Q14683', 'P24941'})"
"frozenset({'RANKL', 'P25098', 'P30556'})"
"frozenset({'Q96DI7', 'RANKL', 'P10276'})"
"frozenset({'RANKL', 'Q9NTK5', 'P23258'})"
"frozenset({'RANKL', 'P08514', 'Q13753'})"
"frozenset({'Q8TAP6', 'Q969G5', 'RANKL'})"
"frozenset({'Q02539', 'RANKL', 'Q8IY81'})"
"frozenset({'Q13310', 'P19525', 'RANKL'})"
"frozenset({'Q00839', 'RANKL', 'P04637'})"
"frozenset({'RANKL', 'P51449', 'P22415'})"
"frozenset({'Q6ZW61', 'RANKL', 'Q96RK4'})"
"frozenset({'P49639', 'RANKL', 'Q3SYF9'})"
"frozenset({'P26599', 'RANKL', 'P61019'})"
"frozenset({'P56556', 'RANKL', 'P62380'})"
"frozenset({'P24530', 'RANKL', 'P05305'})"
"frozenset({'Q9BYD2', 'P14923', 'RANKL'})"
"frozenset({'Q9H9Z2', 'RANKL', 'O00425'})"
"frozenset({'Q9UPY8', 'RANKL', 'Q9H992'})"
"frozenset({'Q14191', 'O43463', 'RANKL'})"
"frozenset({'RANKL', 'P25789', 'Q9Y4K3'})"
"frozenset({'Q13043', 'RANKL', 'P49368'})"
"frozenset({'RANKL', 'P38398', 'P26639'})"
"frozenset({'RANKL', 'Q9BXM7', 'Q8TDY2'})"
"frozenset({'P27797', 'RANKL', 'Q9NX55'})"
"frozenset({'O43633', 'RANKL', 'Q8NB16'})"
"frozenset({'Q15459', 'RANKL', 'Q9UMS4'})"
"frozenset({'P35626', 'Q9Y4A9', 'RANKL'})"
"frozenset({'P06396', 'RANKL', 'P49407'})"
"frozenset({'Q15843', 'Q9Y3C8', 'RANKL'})"
"frozenset({'RANKL', 'O00716', 'Q01094'})"
"frozenset({'O00186', 'RANKL', 'O00161'})"
"frozenset({'P17252', 'RANKL', 'P41594'})"
"frozenset({'RANKL', 'P51690', 'Q99608'})"
"frozenset({'RANKL', 'Q9H5J0', 'P10827'})"
"frozenset({'RANKL', 'P48443', 'Q9NVC6'})"
"frozenset({'Q9NXV2', 'RANKL', 'P33993'})"
"frozenset({'Q9P244', 'RANKL', 'Q15678'})"
"frozenset({'Q99683', 'RANKL', 'P30304'})"
"frozenset({'RANKL', 'Q8IXL6', 'P01008'})"
"frozenset({'Q9Y3C0', 'RANKL', 'P02538'})"
"frozenset({'RANKL', 'P09651', 'O95900'})"
"frozenset({'Q9P287', 'RANKL', 'P55072'})"
"frozenset({'RANKL', 'P20248', 'Q13547'})"
"frozenset({'RANKL', 'Q8IZ07', 'Q15717'})"
"frozenset({'P08151', 'RANKL', 'P47755'})"
"frozenset({'RANKL', 'P43405', 'P26038'})"
"frozenset({'Q8N3C0', 'RANKL', 'Q9P2K1'})"
"frozenset({'RANKL', 'Q7KZI7', 'Q02156'})"
"frozenset({'Q9H1A4', 'P63098', 'RANKL'})"
"frozenset({'RANKL', 'Q14247', 'Q9UBW8'})"
"frozenset({'O14733', 'RANKL', 'Q9P2G9'})"
"frozenset({'RANKL', 'O75147', 'P84103'})"
"frozenset({'Q9P0N9', 'RANKL', 'P51812'})"
"frozenset({'Q96S52', 'RANKL', 'Q9H490'})"
"frozenset({'Q8NGD1', 'P17612', 'RANKL'})"
"frozenset({'RANKL', 'P49189', 'Q9BSB4'})"
"frozenset({'Q9P2W3', 'Q8NGJ0', 'RANKL'})"
"frozenset({'RANKL', 'P60709', 'Q9Y572'})"
"frozenset({'Q13099', 'RANKL', 'Q9UG01'})"
"frozenset({'RANKL', 'P17174', 'Q9NR45'})"
"frozenset({'Q13315', 'Q12789', 'RANKL'})"
"frozenset({'P41250', 'RANKL', 'P62805'})"
"frozenset({'Q99623', 'RANKL', 'Q9NVI7'})"
"frozenset({'P46783', 'RANKL', 'Q6P1J9'})"
"frozenset({'P32119', 'RANKL', 'P02751'})"
"frozenset({'Q9UIW2', 'RANKL', 'Q14563'})"
"frozenset({'RANKL', 'Q8NCE2', 'Q8IWL3'})"
"frozenset({'Q9UHD2', 'RANKL', 'Q06787'})"
"frozenset({'RANKL', 'Q9NSD7', 'Q8WXF3'})"
"frozenset({'RANKL', 'O15460', 'Q8IWL3'})"
"frozenset({'Q13618', 'RANKL', 'P11142'})"
"frozenset({'Q14653', 'Q13568', 'RANKL'})"
"frozenset({'P13861', 'RANKL', 'Q02952'})"
"frozenset({'RANKL', 'P11047', 'P17931'})"
"frozenset({'P09211', 'RANKL', 'Q15323'})"
"frozenset({'RANKL', 'P51808', 'Q14204'})"
"frozenset({'Q969H0', 'RANKL', 'P08238'})"
"frozenset({'RANKL', 'P49407', 'P60953'})"
"frozenset({'P16157', 'RANKL', 'Q14573'})"
"frozenset({'Q6NUS6', 'Q9Y2G8', 'RANKL'})"
"frozenset({'Q9NXK8', 'RANKL', 'O75129'})"
"frozenset({'P52597', 'RANKL', 'Q9UMN6'})"
"frozenset({'RANKL', 'P61962', 'Q13114'})"
"frozenset({'Q14469', 'O15360', 'RANKL'})"
"frozenset({'P34931', 'Q13509', 'RANKL'})"
"frozenset({'Q9Y587', 'RANKL', 'P42167'})"
"frozenset({'Q13148', 'RANKL', 'Q99700'})"
"frozenset({'O94763', 'RANKL', 'Q16186'})"
"frozenset({'Q96ES7', 'RANKL', 'Q9BWJ5'})"
"frozenset({'Q13616', 'RANKL', 'P32969'})"
"frozenset({'RANKL', 'P17693', 'Q8N109'})"
"frozenset({'A5D8V6', 'RANKL', 'Q15038'})"
"frozenset({'RANKL', 'P51648', 'Q68E01'})"
"frozenset({'O95166', 'RANKL', 'P47870'})"
"frozenset({'RANKL', 'Q92820', 'P31150'})"
"frozenset({'RANKL', 'Q5BJF6', 'Q15717'})"
"frozenset({'Q9UPN4', 'RANKL', 'Q9NWT8'})"
"frozenset({'Q9UL42', 'RANKL', 'Q9C086'})"
"frozenset({'RANKL', 'Q99661', 'Q86SE9'})"
"frozenset({'Q13535', 'RANKL', 'Q9H3H1'})"
"frozenset({'P50222', 'RANKL', 'Q8N8Y2'})"
"frozenset({'Q99853', 'RANKL', 'O60716'})"
"frozenset({'RANKL', 'Q13683', 'O00214'})"
"frozenset({'RANKL', 'Q13503', 'Q93074'})"
"frozenset({'Q92519', 'P16220', 'RANKL'})"
"frozenset({'RANKL', 'Q9ULT8', 'Q15003'})"
"frozenset({'P62847', 'RANKL', 'P22090'})"
"frozenset({'RANKL', 'Q8TCE9', 'Q92764'})"
"frozenset({'Q9BRR6', 'O75528', 'RANKL'})"
"frozenset({'Q9BRP4', 'RANKL', 'P25786'})"
"frozenset({'RANKL', 'Q14164', 'Q9Y265'})"
"frozenset({'P55081', 'RANKL', 'O14980'})"
"frozenset({'RANKL', 'Q12824', 'Q9NPI1'})"
"frozenset({'RANKL', 'O00233', 'Q96EK4'})"
"frozenset({'RANKL', 'P62280', 'O00567'})"
"frozenset({'RANKL', 'Q8NGG6', 'P49407'})"
"frozenset({'RANKL', 'Q9C0J9', 'P17676'})"
"frozenset({'RANKL', 'Q9Y3B8', 'P29372'})"
"frozenset({'RANKL', 'P27658', 'P56199'})"
"frozenset({'Q7Z6E9', 'RANKL', 'Q9BYG3'})"
"frozenset({'Q9UPQ0', 'RANKL', 'Q92614'})"
"frozenset({'P84098', 'RANKL', 'P06748'})"
"frozenset({'RANKL', 'P67870', 'Q13426'})"
"frozenset({'Q9UK08', 'RANKL', 'Q8WYR1'})"
"frozenset({'P50148', 'RANKL', 'Q9ULW2'})"
"frozenset({'RANKL', 'O75506', 'Q07627'})"
"frozenset({'RANKL', 'Q9BY89', 'O94986'})"
"frozenset({'P13010', 'Q13469', 'RANKL'})"
"frozenset({'Q00839', 'RANKL', 'Q9UHD9'})"
"frozenset({'Q99570', 'Q9NYY3', 'RANKL'})"
"frozenset({'RANKL', 'P21860', 'P58557'})"
"frozenset({'RANKL', 'Q07627', 'O14656'})"
"frozenset({'Q12874', 'RANKL', 'Q8WXA9'})"
"frozenset({'RANKL', 'Q9HCE7', 'Q9Y6C5'})"
"frozenset({'Q9UL62', 'RANKL', 'P20591'})"
"frozenset({'P04920', 'RANKL', 'Q03431'})"
"frozenset({'Q15365', 'Q92620', 'RANKL'})"
"frozenset({'Q00059', 'RANKL', 'Q15717'})"
"frozenset({'RANKL', 'Q9UL17', 'Q01196'})"
"frozenset({'Q9UHY1', 'RANKL', 'Q9NS85'})"
"frozenset({'RANKL', 'Q9UPY3', 'P24928'})"
"frozenset({'O60739', 'B5ME19', 'RANKL'})"
"frozenset({'Q8IVT5', 'RANKL', 'P51553'})"
"frozenset({'Q9NZL6', 'RANKL', 'Q99578'})"
"frozenset({'Q8N0Z3', 'RANKL', 'Q9H9F9'})"
"frozenset({'P23508', 'RANKL', 'Q01469'})"
"frozenset({'P27797', 'Q6IQ23', 'RANKL'})"
"frozenset({'RANKL', 'Q99759', 'P62873'})"
"frozenset({'Q9BTL3', 'P25788', 'RANKL'})"
"frozenset({'P54274', 'RANKL', 'P12277'})"
"frozenset({'P33527', 'RANKL', 'O15173'})"
"frozenset({'Q13616', 'RANKL', 'Q9Y4B6'})"
"frozenset({'RANKL', 'Q00987', 'Q13547'})"
"frozenset({'O14980', 'O15144', 'RANKL'})"
"frozenset({'P51858', 'RANKL', 'P51991'})"
"frozenset({'RANKL', 'O15037', 'O60568'})"
"frozenset({'Q9NNX1', 'RANKL', 'Q96P16'})"
"frozenset({'RANKL', 'O95835', 'Q9BRK4'})"
"frozenset({'P49643', 'RANKL', 'P11908'})"
"frozenset({'P26358', 'RANKL', 'Q15022'})"
"frozenset({'Q9UL26', 'RANKL', 'P51149'})"
"frozenset({'RANKL', 'Q8IVT5', 'P51970'})"
"frozenset({'P04271', 'RANKL', 'Q15208'})"
"frozenset({'RANKL', 'Q13948', 'O95644'})"
"frozenset({'P00558', 'RANKL', 'Q9H0R8'})"
"frozenset({'Q9UN36', 'Q9UMR2', 'RANKL'})"
"frozenset({'Q13185', 'RANKL', 'P20962'})"
"frozenset({'Q8NEV9', 'Q6UWB1', 'RANKL'})"
"frozenset({'P35659', 'RANKL', 'Q9Y2W1'})"
"frozenset({'RANKL', 'Q9HCU4', 'Q58DX5'})"
"frozenset({'Q6NUK1', 'RANKL', 'P35613'})"
"frozenset({'Q5S007', 'RANKL', 'Q14498'})"
"frozenset({'RANKL', 'P04083', 'P24941'})"
"frozenset({'RANKL', 'Q7Z6Z7', 'Q8IVF2'})"
"frozenset({'Q14191', 'RANKL', 'O15160'})"
"frozenset({'P00390', 'RANKL', 'O95433'})"
"frozenset({'P37198', 'RANKL', 'Q8N6Y0'})"
"frozenset({'P37840', 'RANKL', 'Q00722'})"
"frozenset({'Q13315', 'RANKL', 'Q8IVL5'})"
"frozenset({'O75147', 'RANKL', 'O75369'})"
"frozenset({'RANKL', 'P48061', 'P49238'})"
"frozenset({'P04637', 'RANKL', 'P21980'})"
"frozenset({'Q14847', 'RANKL', 'Q08379'})"
"frozenset({'RANKL', 'O95470', 'O96008'})"
"frozenset({'P60410', 'RANKL', 'O43597'})"
"frozenset({'Q99704', 'P06213', 'RANKL'})"
"frozenset({'Q15911', 'RANKL', 'P02771'})"
"frozenset({'P04629', 'RANKL', 'P04040'})"
"frozenset({'P49790', 'RANKL', 'Q13625'})"
"frozenset({'Q8N5U0', 'RANKL', 'O60749'})"
"frozenset({'Q9NYP9', 'RANKL', 'Q15154'})"
"frozenset({'P40763', 'RANKL', 'Q9NPH3'})"
"frozenset({'Q9UBU3', 'RANKL', 'P07550'})"
"frozenset({'Q8NBT0', 'RANKL', 'P17987'})"
"frozenset({'Q96BK5', 'P62158', 'RANKL'})"
"frozenset({'RANKL', 'Q9HA77', 'Q16740'})"
"frozenset({'RANKL', 'P05062', 'Q99757'})"
"frozenset({'RANKL', 'Q15561', 'O95273'})"
"frozenset({'P38646', 'RANKL', 'Q8TBM8'})"
"frozenset({'RANKL', 'P45880', 'Q00610'})"
"frozenset({'P17612', 'RANKL', 'Q8NGH7'})"
"frozenset({'RANKL', 'P84103', 'Q2TAY7'})"
"frozenset({'Q9HCE1', 'RANKL', 'Q8WVM8'})"
"frozenset({'P48740', 'RANKL', 'Q96CW1'})"
"frozenset({'RANKL', 'Q9C0B0', 'P61981'})"
"frozenset({'RANKL', 'Q9Y266', 'Q9Y5Z7'})"
"frozenset({'Q8N0V3', 'P01106', 'RANKL'})"
"frozenset({'Q14686', 'RANKL', 'Q9Y613'})"
"frozenset({'Q13283', 'RANKL', 'O95786'})"
"frozenset({'O94805', 'RANKL', 'Q8NFD5'})"
"frozenset({'RANKL', 'P40933', 'P26951'})"
"frozenset({'O95166', 'Q06265', 'RANKL'})"
"frozenset({'P04637', 'RANKL', 'Q9H2F5'})"
"frozenset({'Q8IZ69', 'Q12952', 'RANKL'})"
"frozenset({'Q1MSJ5', 'RANKL', 'Q86YM7'})"
"frozenset({'O75928', 'RANKL', 'P10275'})"
"frozenset({'Q13009', 'RANKL', 'P01116'})"
"frozenset({'Q9Y6E7', 'RANKL', 'P12694'})"
"frozenset({'P56817', 'P48730', 'RANKL'})"
"frozenset({'Q9NQT8', 'RANKL', 'Q9BQK8'})"
"frozenset({'RANKL', 'O15123', 'P11362'})"
"frozenset({'RANKL', 'O75175', 'P48431'})"
"frozenset({'RANKL', 'P35637', 'Q14687'})"
"frozenset({'P25208', 'P18583', 'RANKL'})"
"frozenset({'RANKL', 'P51449', 'O00327'})"
"frozenset({'RANKL', 'Q9H3G5', 'Q8WXI3'})"
"frozenset({'Q13043', 'RANKL', 'P01591'})"
"frozenset({'O43463', 'RANKL', 'Q13547'})"
"frozenset({'Q8N5I2', 'RANKL', 'P49407'})"
"frozenset({'Q7L190', 'Q5MJ10', 'RANKL'})"
"frozenset({'RANKL', 'Q08AM6', 'Q7Z4W3'})"
"frozenset({'Q53EL6', 'RANKL', 'Q15717'})"
"frozenset({'RANKL', 'Q14247', 'P35244'})"
"frozenset({'P49756', 'RANKL', 'Q8IYB3'})"
"frozenset({'RANKL', 'Q9H7Z6', 'P12270'})"
"frozenset({'Q9BX93', 'P50148', 'RANKL'})"
"frozenset({'RANKL', 'Q14999', 'Q9Y490'})"
"frozenset({'Q9NUX5', 'RANKL', 'P12277'})"
"frozenset({'O00743', 'RANKL', 'P78371'})"
"frozenset({'RANKL', 'Q96DZ1', 'Q9UBU6'})"
"frozenset({'RANKL', 'Q9NPC7', 'Q15717'})"
"frozenset({'Q9H3S5', 'RANKL', 'P78334'})"
"frozenset({'RANKL', 'Q13868', 'P19338'})"
"frozenset({'P13631', 'P52815', 'RANKL'})"
"frozenset({'RANKL', 'Q16531', 'Q09472'})"
"frozenset({'RANKL', 'Q9H9Y6', 'Q9Y2S0'})"
"frozenset({'Q9HCE1', 'RANKL', 'Q92567'})"
"frozenset({'RANKL', 'P53041', 'P78527'})"
"frozenset({'P20674', 'P14927', 'RANKL'})"
"frozenset({'P62847', 'RANKL', 'Q8WUY3'})"
"frozenset({'RANKL', 'O14920', 'Q9H3D4'})"
"frozenset({'Q9Y6G3', 'Q9HD33', 'RANKL'})"
"frozenset({'Q92878', 'RANKL', 'Q15554'})"
"frozenset({'RANKL', 'Q8N6G5', 'Q8TDX6'})"
"frozenset({'RANKL', 'P35225', 'P19235'})"
"frozenset({'RANKL', 'Q01085', 'P28562'})"
"frozenset({'Q96A08', 'RANKL', 'P16104'})"
"frozenset({'P62263', 'RANKL', 'Q1KMD3'})"
"frozenset({'RANKL', 'Q8N6P7', 'P01568'})"
"frozenset({'Q9HAU5', 'RANKL', 'Q9NQ50'})"
"frozenset({'RANKL', 'Q15019', 'P01241'})"
"frozenset({'RANKL', 'Q99633', 'Q08379'})"
"frozenset({'RANKL', 'P08910', 'P18146'})"
"frozenset({'P21802', 'P23560', 'RANKL'})"
"frozenset({'Q9HCE1', 'RANKL', 'Q9H2T7'})"
"frozenset({'RANKL', 'P05067', 'Q7Z7B0'})"
"frozenset({'Q9BX70', 'P04406', 'RANKL'})"
"frozenset({'O14818', 'P98179', 'RANKL'})"
"frozenset({'Q9NSK0', 'P50222', 'RANKL'})"
"frozenset({'RANKL', 'P25398', 'P62899'})"
"frozenset({'RANKL', 'P09237', 'Q96S59'})"
"frozenset({'O15143', 'Q9BPX5', 'RANKL'})"
"frozenset({'RANKL', 'P84103', 'Q13247'})"
"frozenset({'Q9P107', 'RANKL', 'P55040'})"
"frozenset({'P60033', 'P63244', 'RANKL'})"
"frozenset({'RANKL', 'P08123', 'P08651'})"
"frozenset({'RANKL', 'P05556', 'A8TX70'})"
"frozenset({'P28715', 'RANKL', 'P51946'})"
"frozenset({'RANKL', 'Q02833', 'Q96KQ4'})"
"frozenset({'RANKL', 'P31948', 'P09104'})"
"frozenset({'Q9UN42', 'RANKL', 'P07306'})"
"frozenset({'Q14241', 'RANKL', 'Q8WVC0'})"
"frozenset({'Q9H4B7', 'RANKL', 'Q8NCM8'})"
"frozenset({'RANKL', 'P05067', 'P29992'})"
"frozenset({'Q8TEB1', 'RANKL', 'Q8N490'})"
"frozenset({'Q9NUX5', 'RANKL', 'Q00987'})"
"frozenset({'Q92905', 'Q5VUJ6', 'RANKL'})"
"frozenset({'RANKL', 'O75531', 'Q14839'})"
"frozenset({'RANKL', 'P09874', 'Q96PU4'})"
"frozenset({'Q9NPE6', 'Q7Z2K6', 'RANKL'})"
"frozenset({'P19438', 'RANKL', 'P48729'})"
"frozenset({'P30044', 'RANKL', 'P49459'})"
"frozenset({'RANKL', 'Q9H2A7', 'P49682'})"
"frozenset({'P09211', 'RANKL', 'Q12933'})"
"frozenset({'RANKL', 'Q8N0V5', 'Q6AZZ1'})"
"frozenset({'P19320', 'RANKL', 'P40939'})"
"frozenset({'Q9NNX1', 'Q13490', 'RANKL'})"
"frozenset({'RANKL', 'Q9HCM9', 'Q04323'})"
"frozenset({'O95166', 'RANKL', 'Q96PK6'})"
"frozenset({'RANKL', 'Q13469', 'P78527'})"
"frozenset({'RANKL', 'P38919', 'O43290'})"
"frozenset({'P18669', 'RANKL', 'Q15907'})"
"frozenset({'RANKL', 'P27695', 'P39748'})"
"frozenset({'Q9H2H0', 'RANKL', 'P05067'})"
"frozenset({'Q01968', 'RANKL', 'Q07912'})"
"frozenset({'Q6P1M3', 'RANKL', 'P78352'})"
"frozenset({'RANKL', 'Q8NA72', 'Q02750'})"
"frozenset({'O15294', 'P57081', 'RANKL'})"
"frozenset({'Q9BXL5', 'RANKL', 'P51991'})"
"frozenset({'RANKL', 'Q92466', 'Q15022'})"
"frozenset({'RANKL', 'Q6IEV9', 'P38405'})"
"frozenset({'Q92633', 'RANKL', 'Q13822'})"
"frozenset({'Q12905', 'RANKL', 'Q9NRX2'})"
"frozenset({'P61964', 'RANKL', 'Q15554'})"
"frozenset({'P31947', 'RANKL', 'P11413'})"
"frozenset({'O14730', 'RANKL', 'O43542'})"
"frozenset({'Q8N0S2', 'Q15311', 'RANKL'})"
"frozenset({'Q14103', 'RANKL', 'P98153'})"
"frozenset({'Q15021', 'RANKL', 'Q8N960'})"
"frozenset({'P33991', 'Q9UBT6', 'RANKL'})"
"frozenset({'RANKL', 'Q9UHB6', 'Q3MII6'})"
"frozenset({'RANKL', 'P86480', 'Q0D2K3'})"
"frozenset({'P59990', 'A8MQ03', 'RANKL'})"
"frozenset({'O15294', 'RANKL', 'P78330'})"
"frozenset({'RANKL', 'Q9UBU9', 'P26373'})"
"frozenset({'Q96S94', 'Q7Z5L9', 'RANKL'})"
"frozenset({'Q9UN42', 'RANKL', 'Q9P0I2'})"
"frozenset({'O14979', 'RANKL', 'P11308'})"
"frozenset({'P00533', 'P01562', 'RANKL'})"
"frozenset({'Q9Y4L5', 'RANKL', 'P54259'})"
"frozenset({'Q96KC8', 'RANKL', 'P58658'})"
"frozenset({'O00629', 'RANKL', 'Q00613'})"
"frozenset({'P06748', 'RANKL', 'Q68D10'})"
"frozenset({'O14964', 'RANKL', 'P02538'})"
"frozenset({'P55268', 'RANKL', 'Q96T91'})"
"frozenset({'O75147', 'RANKL', 'Q9H0S4'})"
"frozenset({'RANKL', 'Q01850', 'Q9P2K3'})"
"frozenset({'RANKL', 'Q13315', 'Q6VY07'})"
"frozenset({'P34897', 'RANKL', 'P15260'})"
"frozenset({'RANKL', 'P07900', 'P61024'})"
"frozenset({'RANKL', 'P50416', 'P23258'})"
"frozenset({'Q9UHI6', 'RANKL', 'Q9NX70'})"
"frozenset({'RANKL', 'P42166', 'P23258'})"
"frozenset({'Q9BZ29', 'RANKL', 'P61218'})"
"frozenset({'Q9GZX7', 'RANKL', 'O95433'})"
"frozenset({'O95429', 'P49862', 'RANKL'})"
"frozenset({'RANKL', 'Q96IT1', 'Q8NF99'})"
"frozenset({'Q9HAN9', 'RANKL', 'Q99459'})"
"frozenset({'P52952', 'Q92833', 'RANKL'})"
"frozenset({'RANKL', 'Q9BQ61', 'O00159'})"
"frozenset({'Q8IWU2', 'RANKL', 'Q16821'})"
"frozenset({'RANKL', 'Q8TAG9', 'Q9Y3B2'})"
"frozenset({'O14744', 'RANKL', 'P49761'})"
"frozenset({'RANKL', 'P18825', 'Q9Y2B0'})"
"frozenset({'RANKL', 'P40261', 'Q08257'})"
"frozenset({'RANKL', 'Q9UH99', 'Q9H9G7'})"
"frozenset({'P11182', 'RANKL', 'P36957'})"
"frozenset({'RANKL', 'Q15796', 'Q5XPI4'})"
"frozenset({'RANKL', 'P10276', 'Q12796'})"
"frozenset({'Q9C035', 'Q9Y4E8', 'RANKL'})"
"frozenset({'Q9UQN3', 'RANKL', 'Q8NB16'})"
