negatives
"frozenset({'Q92974', 'O15117', 'FSH'})"
"frozenset({'Q8WZ75', 'P37231', 'FSH'})"
"frozenset({'FSH', 'P78317', 'P62837'})"
"frozenset({'P10721', 'P01127', 'FSH'})"
"frozenset({'P42858', 'P09543', 'FSH'})"
"frozenset({'P0DMV8', 'FSH', 'Q9UN19'})"
"frozenset({'FSH', 'Q96P20', 'Q9UNN5'})"
"frozenset({'FSH', 'Q14164', 'P26639'})"
"frozenset({'Q99570', 'P62258', 'FSH'})"
"frozenset({'Q7Z4H7', 'Q6UVJ0', 'FSH'})"
"frozenset({'Q8IUQ4', 'O75553', 'FSH'})"
"frozenset({'Q0VD86', 'Q96HA8', 'FSH'})"
"frozenset({'FSH', 'P22307', 'Q13185'})"
"frozenset({'FSH', 'Q96N67', 'Q9H8S9'})"
"frozenset({'Q16666', 'Q14684', 'FSH'})"
"frozenset({'Q9HBH1', 'O00400', 'FSH'})"
"frozenset({'Q6IF63', 'P62873', 'FSH'})"
"frozenset({'FSH', 'P17931', 'Q16363'})"
"frozenset({'Q07960', 'P61587', 'FSH'})"
"frozenset({'FSH', 'Q00577', 'Q13148'})"
"frozenset({'Q5VTR2', 'Q15018', 'FSH'})"
"frozenset({'Q8TES7', 'P61019', 'FSH'})"
"frozenset({'Q07020', 'O43324', 'FSH'})"
"frozenset({'Q15428', 'FSH', 'O14776'})"
"frozenset({'P47755', 'Q9ULV4', 'FSH'})"
"frozenset({'P17252', 'O94806', 'FSH'})"
"frozenset({'FSH', 'P35221', 'Q9Y2H8'})"
"frozenset({'Q9UHD8', 'P02751', 'FSH'})"
"frozenset({'Q86X55', 'P61978', 'FSH'})"
"frozenset({'Q9H0K1', 'P68366', 'FSH'})"
"frozenset({'FSH', 'Q96GM1', 'Q9Y5B8'})"
"frozenset({'Q96GY3', 'Q6MZP7', 'FSH'})"
"frozenset({'P11473', 'Q06455', 'FSH'})"
"frozenset({'Q14213', 'Q99750', 'FSH'})"
"frozenset({'FSH', 'Q92997', 'P57060'})"
"frozenset({'P63220', 'P05067', 'FSH'})"
"frozenset({'P47224', 'P62820', 'FSH'})"
"frozenset({'Q6P1W5', 'Q6PKX4', 'FSH'})"
"frozenset({'Q96D09', 'Q93045', 'FSH'})"
"frozenset({'Q14684', 'Q12906', 'FSH'})"
"frozenset({'Q6UWV6', 'FSH', 'P26371'})"
"frozenset({'FSH', 'Q8TCQ1', 'O00220'})"
"frozenset({'Q96FW1', 'Q6P1M0', 'FSH'})"
"frozenset({'Q96EQ0', 'Q13330', 'FSH'})"
"frozenset({'P20042', 'FSH', 'O60307'})"
"frozenset({'Q5VZL5', 'Q01974', 'FSH'})"
"frozenset({'Q15155', 'A0PK00', 'FSH'})"
"frozenset({'P22681', 'P30530', 'FSH'})"
"frozenset({'P01889', 'P46108', 'FSH'})"
"frozenset({'Q92905', 'P50406', 'FSH'})"
"frozenset({'Q96QU8', 'P01106', 'FSH'})"
"frozenset({'FSH', 'Q9Y490', 'P04629'})"
"frozenset({'FSH', 'P25054', 'P42677'})"
"frozenset({'Q9NVI1', 'Q15833', 'FSH'})"
"frozenset({'FSH', 'P21333', 'Q70UQ0'})"
"frozenset({'FSH', 'Q9NZM5', 'P06748'})"
"frozenset({'FSH', 'O75182', 'O43463'})"
"frozenset({'P07196', 'P24863', 'FSH'})"
"frozenset({'Q14765', 'FSH', 'O75925'})"
"frozenset({'P52292', 'Q8TAQ2', 'FSH'})"
"frozenset({'FSH', 'O00267', 'Q99728'})"
"frozenset({'P51449', 'P62195', 'FSH'})"
"frozenset({'Q15560', 'P61218', 'FSH'})"
"frozenset({'Q9BRR8', 'Q7Z7A1', 'FSH'})"
"frozenset({'P60660', 'FSH', 'Q9UBC3'})"
"frozenset({'P62070', 'P62879', 'FSH'})"
"frozenset({'Q8IVH8', 'Q9H2C0', 'FSH'})"
"frozenset({'O75626', 'Q969D9', 'FSH'})"
"frozenset({'FSH', 'Q8TAQ2', 'P54274'})"
"frozenset({'O15514', 'O00267', 'FSH'})"
"frozenset({'Q16401', 'FSH', 'Q15717'})"
"frozenset({'FSH', 'P16070', 'P08195'})"
"frozenset({'Q8NAP3', 'FSH', 'Q15311'})"
"frozenset({'P78347', 'Q9Y2Q3', 'FSH'})"
"frozenset({'P45985', 'P24522', 'FSH'})"
"frozenset({'O15258', 'P48047', 'FSH'})"
"frozenset({'Q13158', 'P51398', 'FSH'})"
"frozenset({'FSH', 'P35222', 'P0DMV9'})"
"frozenset({'P60228', 'P39019', 'FSH'})"
"frozenset({'Q8NEZ4', 'P04637', 'FSH'})"
"frozenset({'P26641', 'Q9C0J8', 'FSH'})"
"frozenset({'Q16629', 'P84103', 'FSH'})"
"frozenset({'P25205', 'Q9H3R0', 'FSH'})"
"frozenset({'Q15669', 'Q5T3J3', 'FSH'})"
"frozenset({'O60266', 'P22694', 'FSH'})"
"frozenset({'Q9H6Z9', 'O14777', 'FSH'})"
"frozenset({'P34897', 'Q96M86', 'FSH'})"
"frozenset({'Q00610', 'Q8WXE9', 'FSH'})"
"frozenset({'P55771', 'Q96I24', 'FSH'})"
"frozenset({'Q5T4B2', 'Q9HD26', 'FSH'})"
"frozenset({'O95433', 'Q15054', 'FSH'})"
"frozenset({'FSH', 'Q01101', 'P07437'})"
"frozenset({'O75582', 'P15336', 'FSH'})"
"frozenset({'Q13261', 'Q9HBE4', 'FSH'})"
"frozenset({'Q969H6', 'Q68D86', 'FSH'})"
"frozenset({'Q08117', 'O75716', 'FSH'})"
"frozenset({'O00755', 'Q9Y5W5', 'FSH'})"
"frozenset({'Q96G79', 'FSH', 'Q9UKG4'})"
"frozenset({'Q9HB71', 'P25815', 'FSH'})"
"frozenset({'P51946', 'Q9Y2D8', 'FSH'})"
"frozenset({'P49450', 'Q96H22', 'FSH'})"
"frozenset({'FSH', 'P36941', 'Q96A37'})"
"frozenset({'FSH', 'P01135', 'Q15717'})"
"frozenset({'FSH', 'P31942', 'P11308'})"
"frozenset({'P41220', 'FSH', 'Q15717'})"
"frozenset({'O94776', 'Q86YP4', 'FSH'})"
"frozenset({'P19623', 'P19320', 'FSH'})"
"frozenset({'P50990', 'Q13033', 'FSH'})"
"frozenset({'P00338', 'Q14008', 'FSH'})"
"frozenset({'Q16254', 'Q9Y618', 'FSH'})"
"frozenset({'FSH', 'Q96I25', 'P68431'})"
"frozenset({'O60341', 'O75410', 'FSH'})"
"frozenset({'FSH', 'P80075', 'P32302'})"
"frozenset({'O60610', 'P12931', 'FSH'})"
"frozenset({'Q96QF0', 'Q8N7R7', 'FSH'})"
"frozenset({'O60641', 'O14730', 'FSH'})"
"frozenset({'P46940', 'P28290', 'FSH'})"
"frozenset({'O94805', 'Q8NFD5', 'FSH'})"
"frozenset({'O94979', 'Q96KG9', 'FSH'})"
"frozenset({'Q9UGU0', 'Q96ST3', 'FSH'})"
"frozenset({'Q13772', 'Q99700', 'FSH'})"
"frozenset({'FSH', 'Q9UGC7', 'Q9BV79'})"
"frozenset({'Q8TAB5', 'Q8NCU1', 'FSH'})"
"frozenset({'Q6GPH4', 'Q6UWE0', 'FSH'})"
"frozenset({'P54253', 'Q9UBP5', 'FSH'})"
"frozenset({'P04004', 'Q6P2Q9', 'FSH'})"
"frozenset({'Q10586', 'FSH', 'P18847'})"
"frozenset({'Q12931', 'P06744', 'FSH'})"
"frozenset({'P60410', 'FSH', 'Q2TAL6'})"
"frozenset({'P62136', 'Q9Y2I6', 'FSH'})"
"frozenset({'P78527', 'P27695', 'FSH'})"
"frozenset({'Q9P2P5', 'FSH', 'Q8NBF6'})"
"frozenset({'P16403', 'P27348', 'FSH'})"
"frozenset({'Q99618', 'Q02809', 'FSH'})"
"frozenset({'P45983', 'FSH', 'Q16690'})"
"frozenset({'Q9P0M6', 'FSH', 'Q08945'})"
"frozenset({'Q7Z5B4', 'Q7Z4R8', 'FSH'})"
"frozenset({'Q9BYP8', 'Q5TA78', 'FSH'})"
"frozenset({'Q9GZT8', 'Q68D86', 'FSH'})"
"frozenset({'Q6UY11', 'Q14160', 'FSH'})"
"frozenset({'Q13535', 'P31025', 'FSH'})"
"frozenset({'O95819', 'FSH', 'O00571'})"
"frozenset({'P22234', 'P24941', 'FSH'})"
"frozenset({'Q8WWY3', 'O95785', 'FSH'})"
"frozenset({'FSH', 'Q9H000', 'O14980'})"
"frozenset({'O75815', 'Q13263', 'FSH'})"
"frozenset({'Q99933', 'P14373', 'FSH'})"
"frozenset({'P49368', 'O60260', 'FSH'})"
"frozenset({'Q9Y4K3', 'FSH', 'Q8TEY7'})"
"frozenset({'P41182', 'P14373', 'FSH'})"
"frozenset({'Q6ZNA4', 'P55854', 'FSH'})"
"frozenset({'P49411', 'P62829', 'FSH'})"
"frozenset({'P28715', 'Q96RS0', 'FSH'})"
"frozenset({'P27348', 'P62258', 'FSH'})"
"frozenset({'O00487', 'P54727', 'FSH'})"
"frozenset({'FSH', 'O60573', 'Q69YU3'})"
"frozenset({'Q9Y5V0', 'Q8NBS9', 'FSH'})"
"frozenset({'Q6P5W5', 'P98172', 'FSH'})"
"frozenset({'Q13573', 'O95347', 'FSH'})"
"frozenset({'Q12952', 'P51513', 'FSH'})"
"frozenset({'Q99471', 'FSH', 'P35052'})"
"frozenset({'P16152', 'FSH', 'P56537'})"
"frozenset({'O00555', 'FSH', 'P0DP23'})"
"frozenset({'Q9NR12', 'P09496', 'FSH'})"
"frozenset({'Q14161', 'P22392', 'FSH'})"
"frozenset({'P22736', 'Q9NQX6', 'FSH'})"
"frozenset({'O95067', 'Q8TDP1', 'FSH'})"
"frozenset({'Q96JB2', 'FSH', 'Q6PD62'})"
"frozenset({'P23760', 'FSH', 'Q969S8'})"
"frozenset({'P39748', 'O60216', 'FSH'})"
"frozenset({'Q13145', 'O00238', 'FSH'})"
"frozenset({'P12268', 'Q8WWZ1', 'FSH'})"
"frozenset({'Q8N960', 'Q9UKZ1', 'FSH'})"
"frozenset({'P08138', 'P22694', 'FSH'})"
"frozenset({'Q9UL16', 'P16104', 'FSH'})"
"frozenset({'P27824', 'P14868', 'FSH'})"
"frozenset({'FSH', 'Q12888', 'Q96P48'})"
"frozenset({'Q01974', 'P86481', 'FSH'})"
"frozenset({'Q9UHF1', 'P46531', 'FSH'})"
"frozenset({'Q9NPJ6', 'Q8N1G4', 'FSH'})"
"frozenset({'P54136', 'P34810', 'FSH'})"
"frozenset({'Q99590', 'Q08170', 'FSH'})"
"frozenset({'Q9H832', 'Q13702', 'FSH'})"
"frozenset({'P46776', 'P63173', 'FSH'})"
"frozenset({'P35219', 'Q14571', 'FSH'})"
"frozenset({'P49411', 'FSH', 'Q9BYD6'})"
"frozenset({'P30084', 'Q8IVT5', 'FSH'})"
"frozenset({'Q92791', 'FSH', 'Q8WWY8'})"
"frozenset({'O95758', 'FSH', 'P19105'})"
"frozenset({'O75531', 'FSH', 'Q92466'})"
"frozenset({'Q15233', 'Q9NRL3', 'FSH'})"
"frozenset({'FSH', 'Q8N5A5', 'Q96R06'})"
"frozenset({'Q9NPJ6', 'P40939', 'FSH'})"
"frozenset({'Q96H55', 'O14639', 'FSH'})"
"frozenset({'Q01831', 'P06746', 'FSH'})"
"frozenset({'P12004', 'P35250', 'FSH'})"
"frozenset({'O60260', 'Q9Y385', 'FSH'})"
"frozenset({'P62140', 'Q8WWW0', 'FSH'})"
"frozenset({'Q9NRC8', 'Q93074', 'FSH'})"
"frozenset({'P27694', 'Q12965', 'FSH'})"
"frozenset({'P60763', 'Q86VI3', 'FSH'})"
"frozenset({'O75815', 'P25787', 'FSH'})"
"frozenset({'FSH', 'P55157', 'Q9Y619'})"
"frozenset({'Q9NXK8', 'P01023', 'FSH'})"
"frozenset({'Q8IW50', 'P53611', 'FSH'})"
"frozenset({'Q07002', 'Q08379', 'FSH'})"
"frozenset({'Q8NHQ8', 'P52434', 'FSH'})"
"frozenset({'P01106', 'O15075', 'FSH'})"
"frozenset({'O43464', 'FSH', 'Q9NR09'})"
"frozenset({'P34903', 'P16662', 'FSH'})"
"frozenset({'O60331', 'Q9Y6U3', 'FSH'})"
"frozenset({'Q9BY11', 'Q07666', 'FSH'})"
"frozenset({'Q9H0W5', 'O43707', 'FSH'})"
"frozenset({'O14733', 'O60711', 'FSH'})"
"frozenset({'Q9HCP0', 'FSH', 'P25098'})"
"frozenset({'Q8IYH5', 'Q96AQ6', 'FSH'})"
"frozenset({'P04908', 'P18621', 'FSH'})"
"frozenset({'Q09161', 'FSH', 'Q9UBU9'})"
"frozenset({'P14635', 'P30304', 'FSH'})"
"frozenset({'Q9HAW8', 'P29373', 'FSH'})"
"frozenset({'FSH', 'Q00613', 'Q9NX55'})"
"frozenset({'Q03405', 'P52849', 'FSH'})"
"frozenset({'P63244', 'FSH', 'O43521'})"
"frozenset({'O75663', 'Q13618', 'FSH'})"
"frozenset({'FSH', 'P16070', 'P55268'})"
"frozenset({'Q13618', 'E9PAV3', 'FSH'})"
"frozenset({'Q9H4I9', 'P42345', 'FSH'})"
"frozenset({'P11441', 'P62280', 'FSH'})"
"frozenset({'O43707', 'P09493', 'FSH'})"
"frozenset({'FSH', 'P68543', 'O60927'})"
"frozenset({'FSH', 'O95793', 'P55795'})"
"frozenset({'P16389', 'FSH', 'P78357'})"
"frozenset({'P07477', 'FSH', 'P25116'})"
"frozenset({'P27694', 'Q9BUJ2', 'FSH'})"
"frozenset({'Q8WWI5', 'Q9Y6H6', 'FSH'})"
"frozenset({'P60410', 'Q9UBX3', 'FSH'})"
"frozenset({'Q9C0F1', 'Q8N715', 'FSH'})"
"frozenset({'Q13418', 'Q9UKY7', 'FSH'})"
"frozenset({'Q9NQ76', 'P00519', 'FSH'})"
"frozenset({'FSH', 'P62807', 'Q2NL82'})"
"frozenset({'Q96NT1', 'O95817', 'FSH'})"
"frozenset({'Q13243', 'P14866', 'FSH'})"
"frozenset({'P43363', 'O15164', 'FSH'})"
"frozenset({'P60709', 'Q16082', 'FSH'})"
"frozenset({'P48023', 'P04150', 'FSH'})"
"frozenset({'P68363', 'O75643', 'FSH'})"
"frozenset({'Q96MM6', 'O76011', 'FSH'})"
"frozenset({'P31271', 'O14862', 'FSH'})"
"frozenset({'Q96P50', 'Q15750', 'FSH'})"
"frozenset({'Q16851', 'Q05209', 'FSH'})"
"frozenset({'P18206', 'Q9C019', 'FSH'})"
"frozenset({'Q14145', 'Q9NX00', 'FSH'})"
"frozenset({'Q07960', 'Q12982', 'FSH'})"
"frozenset({'Q6P1J9', 'Q9UPT5', 'FSH'})"
"frozenset({'FSH', 'Q14160', 'Q99853'})"
"frozenset({'P32418', 'Q01484', 'FSH'})"
"frozenset({'Q8TCJ0', 'Q13045', 'FSH'})"
"frozenset({'Q9HAU0', 'P30305', 'FSH'})"
"frozenset({'A7MCY6', 'FSH', 'O96018'})"
"frozenset({'Q15642', 'Q9BXB4', 'FSH'})"
"frozenset({'Q9ULX9', 'Q8N1L9', 'FSH'})"
"frozenset({'P78537', 'P05067', 'FSH'})"
"frozenset({'Q9UK73', 'Q7Z624', 'FSH'})"
"frozenset({'P17535', 'P35354', 'FSH'})"
"frozenset({'Q53H12', 'P34925', 'FSH'})"
"frozenset({'FSH', 'O95835', 'Q9H093'})"
"frozenset({'FSH', 'P23771', 'Q13201'})"
"frozenset({'P52747', 'Q9NYJ8', 'FSH'})"
"frozenset({'Q13509', 'P18206', 'FSH'})"
"frozenset({'Q92764', 'Q969G3', 'FSH'})"
"frozenset({'Q9UMN6', 'FSH', 'P46821'})"
"frozenset({'Q9Y4B6', 'Q9H9Q2', 'FSH'})"
"frozenset({'Q92858', 'FSH', 'Q14204'})"
"frozenset({'O15169', 'Q9BYR5', 'FSH'})"
"frozenset({'Q96CS3', 'P07947', 'FSH'})"
"frozenset({'Q9H4L4', 'Q6PJT7', 'FSH'})"
"frozenset({'Q9GZX7', 'P18669', 'FSH'})"
"frozenset({'P78347', 'Q13043', 'FSH'})"
"frozenset({'Q13563', 'A8MQ03', 'FSH'})"
"frozenset({'FSH', 'P28340', 'Q9NYB0'})"
"frozenset({'P62847', 'Q9Y2X3', 'FSH'})"
"frozenset({'Q9HAW0', 'O60762', 'FSH'})"
"frozenset({'Q07912', 'P30530', 'FSH'})"
"frozenset({'FSH', 'Q13469', 'P35225'})"
"frozenset({'Q14697', 'Q96LD4', 'FSH'})"
"frozenset({'Q9BPZ7', 'Q96QF0', 'FSH'})"
"frozenset({'FSH', 'Q5VZK9', 'Q7Z6Z7'})"
"frozenset({'P13639', 'Q01995', 'FSH'})"
"frozenset({'Q14031', 'P23229', 'FSH'})"
"frozenset({'FSH', 'Q01813', 'P48431'})"
"frozenset({'Q5T215', 'Q9UL33', 'FSH'})"
"frozenset({'P01127', 'P08069', 'FSH'})"
"frozenset({'Q9NXU5', 'Q9GZT6', 'FSH'})"
"frozenset({'P13807', 'FSH', 'Q5BKZ1'})"
"frozenset({'FSH', 'P08865', 'P26373'})"
"frozenset({'FSH', 'Q13214', 'P51784'})"
"frozenset({'Q92769', 'O75626', 'FSH'})"
"frozenset({'O95684', 'P62495', 'FSH'})"
"frozenset({'O15033', 'FSH', 'P49841'})"
"frozenset({'P49642', 'FSH', 'Q14204'})"
"frozenset({'Q92887', 'Q16795', 'FSH'})"
"frozenset({'FSH', 'Q9UQ80', 'P28749'})"
"frozenset({'Q9UBT3', 'O75581', 'FSH'})"
"frozenset({'O75791', 'P54646', 'FSH'})"
"frozenset({'Q99613', 'P51812', 'FSH'})"
"frozenset({'Q96QV6', 'P05412', 'FSH'})"
"frozenset({'Q13315', 'P54725', 'FSH'})"
"frozenset({'Q13635', 'Q5JTV8', 'FSH'})"
"frozenset({'Q9Y2H5', 'P16104', 'FSH'})"
"frozenset({'Q96IX9', 'P05067', 'FSH'})"
"frozenset({'Q53GS9', 'Q7L0Y3', 'FSH'})"
"frozenset({'P17936', 'Q9UHC1', 'FSH'})"
"frozenset({'P30466', 'Q96AY4', 'FSH'})"
"frozenset({'Q8IX01', 'Q9BPU9', 'FSH'})"
"frozenset({'Q99759', 'FSH', 'O43318'})"
"frozenset({'P61073', 'FSH', 'Q8WTQ7'})"
"frozenset({'O14862', 'Q12800', 'FSH'})"
"frozenset({'P05412', 'P82930', 'FSH'})"
"frozenset({'Q14789', 'Q96GS4', 'FSH'})"
"frozenset({'P56524', 'O60673', 'FSH'})"
"frozenset({'FSH', 'P63092', 'Q9Y5W8'})"
"frozenset({'P16949', 'Q86VW0', 'FSH'})"
"frozenset({'Q8WVR3', 'FSH', 'Q2TAL6'})"
"frozenset({'P35270', 'P32119', 'FSH'})"
"frozenset({'Q9UBI6', 'P48039', 'FSH'})"
"frozenset({'P30279', 'P0DP24', 'FSH'})"
"frozenset({'Q8IU85', 'Q9NUX5', 'FSH'})"
"frozenset({'Q15831', 'Q9Y5Y6', 'FSH'})"
"frozenset({'P22234', 'Q9H0R8', 'FSH'})"
"frozenset({'P29083', 'FSH', 'Q9BTE6'})"
"frozenset({'FSH', 'Q9UIQ6', 'Q9P0J0'})"
"frozenset({'Q96EB6', 'FSH', 'P10275'})"
"frozenset({'P27694', 'Q6UXN9', 'FSH'})"
"frozenset({'P08887', 'P29353', 'FSH'})"
"frozenset({'O00116', 'Q16527', 'FSH'})"
"frozenset({'P07942', 'P20783', 'FSH'})"
"frozenset({'FSH', 'Q15291', 'Q6DN03'})"
"frozenset({'O14730', 'P51571', 'FSH'})"
"frozenset({'P02751', 'P07355', 'FSH'})"
"frozenset({'P05455', 'FSH', 'Q13148'})"
"frozenset({'P30084', 'Q15751', 'FSH'})"
"frozenset({'Q15642', 'Q9BYX2', 'FSH'})"
"frozenset({'Q9C0C4', 'Q9UN42', 'FSH'})"
"frozenset({'Q13976', 'Q01970', 'FSH'})"
"frozenset({'P61812', 'P35555', 'FSH'})"
"frozenset({'P26441', 'Q5VWK5', 'FSH'})"
"frozenset({'Q05655', 'P10588', 'FSH'})"
"frozenset({'Q06330', 'Q9P0W2', 'FSH'})"
"frozenset({'FSH', 'Q9UBC3', 'Q15714'})"
"frozenset({'P24539', 'Q9H2H9', 'FSH'})"
"frozenset({'P01037', 'Q00403', 'FSH'})"
"frozenset({'Q96IZ7', 'Q9NPD3', 'FSH'})"
"frozenset({'P22695', 'Q02318', 'FSH'})"
"frozenset({'O15353', 'Q9NZI7', 'FSH'})"
"frozenset({'P40692', 'FSH', 'Q8NHU6'})"
"frozenset({'Q03112', 'P53779', 'FSH'})"
"frozenset({'O94806', 'Q9NYF0', 'FSH'})"
"frozenset({'O95602', 'P49407', 'FSH'})"
"frozenset({'P05161', 'Q02556', 'FSH'})"
"frozenset({'Q5VTD9', 'Q92905', 'FSH'})"
"frozenset({'Q9BWX5', 'A8MQ03', 'FSH'})"
"frozenset({'Q969V3', 'Q92956', 'FSH'})"
"frozenset({'P40692', 'P16298', 'FSH'})"
"frozenset({'O60504', 'O75145', 'FSH'})"
"frozenset({'Q9H944', 'Q9BZE4', 'FSH'})"
"frozenset({'Q9BV73', 'Q13049', 'FSH'})"
"frozenset({'FSH', 'O75147', 'Q96GQ7'})"
"frozenset({'P46439', 'P36873', 'FSH'})"
"frozenset({'P11802', 'Q00534', 'FSH'})"
"frozenset({'P62273', 'P08865', 'FSH'})"
"frozenset({'Q99698', 'O14964', 'FSH'})"
"frozenset({'P16144', 'Q92752', 'FSH'})"
"frozenset({'Q9UFG5', 'Q96GS4', 'FSH'})"
"frozenset({'O43734', 'FSH', 'Q13084'})"
"frozenset({'P01112', 'P35221', 'FSH'})"
"frozenset({'P51003', 'Q9C0J8', 'FSH'})"
"frozenset({'P43686', 'P68363', 'FSH'})"
"frozenset({'Q15637', 'P25440', 'FSH'})"
"frozenset({'Q96AE4', 'FSH', 'Q9HAV7'})"
"frozenset({'P54652', 'Q7L2J0', 'FSH'})"
"frozenset({'Q9Y5E4', 'Q92569', 'FSH'})"
"frozenset({'P17861', 'FSH', 'Q6UUV9'})"
"frozenset({'P19838', 'Q8N8E3', 'FSH'})"
"frozenset({'P16383', 'Q6P2Q9', 'FSH'})"
"frozenset({'Q12829', 'P05067', 'FSH'})"
"frozenset({'Q9BRK4', 'Q5TAP6', 'FSH'})"
"frozenset({'P62714', 'Q9NWZ3', 'FSH'})"
"frozenset({'O95817', 'Q53RE8', 'FSH'})"
"frozenset({'P52306', 'P11021', 'FSH'})"
"frozenset({'FSH', 'P08473', 'P61225'})"
"frozenset({'P11142', 'FSH', 'P10911'})"
"frozenset({'Q9NTX7', 'P49916', 'FSH'})"
"frozenset({'Q99459', 'Q14676', 'FSH'})"
"frozenset({'FSH', 'Q8IUC6', 'Q9UHD2'})"
"frozenset({'P60410', 'P24278', 'FSH'})"
"frozenset({'Q8N2W9', 'P21246', 'FSH'})"
"frozenset({'Q15287', 'A7MD48', 'FSH'})"
"frozenset({'Q99496', 'FSH', 'O75369'})"
"frozenset({'FSH', 'Q14186', 'P61244'})"
"frozenset({'FSH', 'Q15029', 'Q13526'})"
"frozenset({'FSH', 'P20700', 'P42167'})"
"frozenset({'Q9P2Y4', 'Q13547', 'FSH'})"
"frozenset({'P13807', 'P22694', 'FSH'})"
"frozenset({'Q14152', 'Q15800', 'FSH'})"
"frozenset({'Q9ULL1', 'Q7LFX5', 'FSH'})"
"frozenset({'Q16695', 'O14965', 'FSH'})"
"frozenset({'Q8NDT2', 'Q9UGL1', 'FSH'})"
"frozenset({'P21554', 'FSH', 'Q9P2W3'})"
"frozenset({'Q9Y4B4', 'O60812', 'FSH'})"
"frozenset({'Q9NRA1', 'O95817', 'FSH'})"
"frozenset({'Q13618', 'P62888', 'FSH'})"
"frozenset({'P17948', 'Q9GZV9', 'FSH'})"
"frozenset({'FSH', 'Q969Q1', 'P11217'})"
"frozenset({'Q86VR2', 'Q08722', 'FSH'})"
"frozenset({'Q12874', 'P62316', 'FSH'})"
"frozenset({'Q16254', 'P10244', 'FSH'})"
"frozenset({'FSH', 'Q9UJM3', 'P63261'})"
"frozenset({'Q9H0W5', 'O94964', 'FSH'})"
"frozenset({'Q9UHI7', 'P19174', 'FSH'})"
"frozenset({'Q9GZV7', 'Q8IYS1', 'FSH'})"
"frozenset({'O00329', 'P10747', 'FSH'})"
