negatives
"frozenset({'Q14CS0', 'IL6', 'Q8NFH3'})"
"frozenset({'IL6', 'P63261', 'Q92614'})"
"frozenset({'IL6', 'P24941', 'Q9UQR0'})"
"frozenset({'IL6', 'P83881', 'P15923'})"
"frozenset({'Q16623', 'Q00987', 'IL6'})"
"frozenset({'P05412', 'P40925', 'IL6'})"
"frozenset({'IL6', 'P19320', 'Q01813'})"
"frozenset({'IL6', 'Q9H211', 'P11388'})"
"frozenset({'IL6', 'P54829', 'P53779'})"
"frozenset({'IL6', 'P19086', 'Q9UIM3'})"
"frozenset({'IL6', 'Q9UNS1', 'Q9Y248'})"
"frozenset({'IL6', 'Q7Z628', 'Q13131'})"
"frozenset({'P35232', 'Q13618', 'IL6'})"
"frozenset({'IL6', 'Q96EZ8', 'Q15025'})"
"frozenset({'IL6', 'P01857', 'P35368'})"
"frozenset({'IL6', 'P30154', 'Q9P2B4'})"
"frozenset({'IL6', 'Q96B23', 'O95486'})"
"frozenset({'P35222', 'Q13526', 'IL6'})"
"frozenset({'IL6', 'Q15293', 'Q8IX12'})"
"frozenset({'IL6', 'Q9Y3M2', 'Q8IWC1'})"
"frozenset({'Q14790', 'Q9UKQ9', 'IL6'})"
"frozenset({'IL6', 'Q6A162', 'Q14331'})"
"frozenset({'Q5VU43', 'IL6', 'O00560'})"
"frozenset({'IL6', 'Q05682', 'P27694'})"
"frozenset({'IL6', 'P49759', 'Q96I25'})"
"frozenset({'IL6', 'P05388', 'P30050'})"
"frozenset({'IL6', 'P51784', 'Q13616'})"
"frozenset({'IL6', 'Q9HCE1', 'Q02878'})"
"frozenset({'IL6', 'Q13155', 'Q6PI48'})"
"frozenset({'P13569', 'P22681', 'IL6'})"
"frozenset({'IL6', 'O00716', 'Q92925'})"
"frozenset({'P51572', 'Q96FW1', 'IL6'})"
"frozenset({'IL6', 'Q7Z6Z7', 'Q9Y4P8'})"
"frozenset({'IL6', 'Q13368', 'O60262'})"
"frozenset({'IL6', 'Q08116', 'P01106'})"
"frozenset({'IL6', 'P19320', 'Q13263'})"
"frozenset({'IL6', 'O75822', 'Q8N5M1'})"
"frozenset({'IL6', 'P98170', 'Q9Y6Y8'})"
"frozenset({'IL6', 'P32119', 'Q96AE4'})"
"frozenset({'Q13315', 'Q8NB49', 'IL6'})"
"frozenset({'O15496', 'IL6', 'P54253'})"
"frozenset({'IL6', 'P42566', 'P61077'})"
"frozenset({'IL6', 'Q96T76', 'P35269'})"
"frozenset({'IL6', 'Q5VSG8', 'Q11206'})"
"frozenset({'IL6', 'Q9NYU2', 'Q13277'})"
"frozenset({'IL6', 'Q16665', 'P17980'})"
"frozenset({'IL6', 'P04792', 'Q16644'})"
"frozenset({'IL6', 'Q13547', 'P03372'})"
"frozenset({'IL6', 'O15020', 'Q9H0W5'})"
"frozenset({'IL6', 'P50221', 'P50402'})"
"frozenset({'IL6', 'Q92802', 'Q99684'})"
"frozenset({'IL6', 'Q96PU5', 'Q9Y2U5'})"
"frozenset({'IL6', 'P18564', 'P56539'})"
"frozenset({'IL6', 'Q8N344', 'Q14186'})"
"frozenset({'IL6', 'P36941', 'Q9C037'})"
"frozenset({'IL6', 'Q5T9S5', 'O95684'})"
"frozenset({'IL6', 'Q24JP5', 'Q8IZQ1'})"
"frozenset({'P34931', 'Q86X40', 'IL6'})"
"frozenset({'IL6', 'Q9NRR5', 'O00762'})"
"frozenset({'Q14247', 'P41743', 'IL6'})"
"frozenset({'IL6', 'P27816', 'O43390'})"
"frozenset({'Q9BYG5', 'Q9BW19', 'IL6'})"
"frozenset({'IL6', 'Q8WUM4', 'P46934'})"
"frozenset({'IL6', 'O00422', 'Q15326'})"
"frozenset({'IL6', 'P42262', 'P62140'})"
"frozenset({'IL6', 'Q99666', 'P62826'})"
"frozenset({'IL6', 'P19320', 'O75146'})"
"frozenset({'Q69YU3', 'Q96QF0', 'IL6'})"
"frozenset({'P60409', 'IL6', 'Q0VDD7'})"
"frozenset({'IL6', 'P15880', 'Q7L2J0'})"
"frozenset({'IL6', 'Q13618', 'Q15542'})"
"frozenset({'IL6', 'Q9Y6M9', 'Q8IZH2'})"
"frozenset({'IL6', 'Q9BY11', 'O75128'})"
"frozenset({'IL6', 'P20962', 'Q9NRX4'})"
"frozenset({'IL6', 'Q9BWJ5', 'Q15427'})"
"frozenset({'IL6', 'Q9UJX2', 'Q8IYA8'})"
"frozenset({'IL6', 'O95232', 'P17600'})"
"frozenset({'IL6', 'P08621', 'O75400'})"
"frozenset({'IL6', 'Q9NZB2', 'Q9P2P5'})"
"frozenset({'IL6', 'O95619', 'Q9Y230'})"
"frozenset({'Q8WUI4', 'Q96EN8', 'IL6'})"
"frozenset({'IL6', 'O60353', 'Q5T4F7'})"
"frozenset({'P13569', 'P62491', 'IL6'})"
"frozenset({'O15144', 'IL6', 'P60709'})"
"frozenset({'IL6', 'P08621', 'Q9GZT3'})"
"frozenset({'IL6', 'Q9NYU2', 'Q86XA0'})"
"frozenset({'Q5T4S7', 'P48039', 'IL6'})"
"frozenset({'P52434', 'O15514', 'IL6'})"
"frozenset({'IL6', 'Q15046', 'O75923'})"
"frozenset({'IL6', 'P05556', 'P02751'})"
"frozenset({'IL6', 'P63104', 'Q96L34'})"
"frozenset({'IL6', 'Q9Y478', 'Q96S59'})"
"frozenset({'IL6', 'Q5VSY0', 'O00560'})"
"frozenset({'IL6', 'Q9H0S4', 'Q15020'})"
"frozenset({'IL6', 'Q8TCB7', 'Q12948'})"
"frozenset({'P43403', 'Q15464', 'IL6'})"
"frozenset({'IL6', 'P09651', 'P04141'})"
"frozenset({'IL6', 'P78549', 'P27694'})"
"frozenset({'IL6', 'Q14571', 'P01106'})"
"frozenset({'IL6', 'Q9Y6K9', 'Q07666'})"
"frozenset({'IL6', 'Q8TDG2', 'P62140'})"
"frozenset({'IL6', 'Q13813', 'Q9NQX4'})"
"frozenset({'IL6', 'Q13748', 'P31946'})"
"frozenset({'Q16186', 'P25788', 'IL6'})"
"frozenset({'Q14134', 'Q08379', 'IL6'})"
"frozenset({'IL6', 'P49760', 'Q96D03'})"
"frozenset({'IL6', 'Q12905', 'Q96E29'})"
"frozenset({'P62258', 'Q6PJG9', 'IL6'})"
"frozenset({'IL6', 'Q9UNM6', 'Q96K21'})"
"frozenset({'IL6', 'P20333', 'Q07021'})"
"frozenset({'IL6', 'Q9H1D0', 'P18031'})"
"frozenset({'IL6', 'P36941', 'P01374'})"
"frozenset({'IL6', 'P04637', 'Q9UKJ3'})"
"frozenset({'IL6', 'P07711', 'P55957'})"
"frozenset({'IL6', 'Q8IWR0', 'Q96CA5'})"
"frozenset({'IL6', 'P48556', 'P62191'})"
"frozenset({'IL6', 'O94927', 'Q6UVJ0'})"
"frozenset({'P35232', 'P15172', 'IL6'})"
"frozenset({'Q08050', 'O96017', 'IL6'})"
"frozenset({'IL6', 'Q99459', 'P86791'})"
"frozenset({'IL6', 'Q92993', 'Q9Y230'})"
"frozenset({'IL6', 'P03372', 'Q9UBB5'})"
"frozenset({'IL6', 'Q01658', 'Q8TAT6'})"
"frozenset({'IL6', 'O15162', 'Q15637'})"
"frozenset({'IL6', 'Q9UHD9', 'O60844'})"
"frozenset({'IL6', 'P00533', 'Q99075'})"
"frozenset({'IL6', 'Q7Z4F1', 'P37173'})"
"frozenset({'P32302', 'Q16627', 'IL6'})"
"frozenset({'IL6', 'Q8N7W2', 'Q07021'})"
"frozenset({'P35232', 'Q9UQD0', 'IL6'})"
"frozenset({'IL6', 'Q10570', 'Q13618'})"
"frozenset({'Q14683', 'IL6', 'Q15562'})"
"frozenset({'IL6', 'Q9NVI7', 'Q6NUN9'})"
"frozenset({'IL6', 'P19838', 'O60602'})"
"frozenset({'P06239', 'P52630', 'IL6'})"
"frozenset({'P19525', 'Q15633', 'IL6'})"
"frozenset({'IL6', 'Q13418', 'Q8NAF0'})"
"frozenset({'P0C0L4', 'Q8N9F7', 'IL6'})"
"frozenset({'IL6', 'Q8IYE0', 'P23508'})"
"frozenset({'IL6', 'Q13635', 'Q9H2E6'})"
"frozenset({'Q6ZT98', 'Q13620', 'IL6'})"
"frozenset({'IL6', 'Q04323', 'P35244'})"
"frozenset({'IL6', 'P07942', 'O75578'})"
"frozenset({'IL6', 'Q05682', 'Q6PIW4'})"
"frozenset({'IL6', 'Q03167', 'P36897'})"
"frozenset({'IL6', 'O14519', 'Q9NRD5'})"
"frozenset({'IL6', 'O43325', 'Q10713'})"
"frozenset({'IL6', 'Q9H093', 'Q4V328'})"
"frozenset({'IL6', 'Q9Y5M8', 'Q8IWZ8'})"
"frozenset({'IL6', 'Q969H0', 'P61244'})"
"frozenset({'IL6', 'Q9H6T3', 'P60842'})"
"frozenset({'Q92858', 'P39023', 'IL6'})"
"frozenset({'IL6', 'P34932', 'Q96DX5'})"
"frozenset({'IL6', 'O60341', 'P35240'})"
"frozenset({'Q9HBZ2', 'Q8TD10', 'IL6'})"
"frozenset({'IL6', 'P11441', 'P54652'})"
"frozenset({'IL6', 'P23511', 'P38398'})"
"frozenset({'Q9BU76', 'O75360', 'IL6'})"
"frozenset({'IL6', 'Q14197', 'O75955'})"
"frozenset({'O95670', 'O43504', 'IL6'})"
"frozenset({'IL6', 'Q9NYQ7', 'Q9UH65'})"
"frozenset({'P04629', 'IL6', 'Q9BWH6'})"
"frozenset({'Q00325', 'P24539', 'IL6'})"
"frozenset({'IL6', 'Q12904', 'P46776'})"
"frozenset({'IL6', 'Q96KR7', 'Q9HCQ5'})"
"frozenset({'IL6', 'P49368', 'O60603'})"
"frozenset({'IL6', 'Q8WVD3', 'P68104'})"
"frozenset({'Q9NV66', 'Q15717', 'IL6'})"
"frozenset({'Q71F23', 'Q7L2Z9', 'IL6'})"
"frozenset({'IL6', 'P62324', 'Q71U36'})"
"frozenset({'IL6', 'Q9NRR5', 'Q9H0L4'})"
"frozenset({'IL6', 'O15055', 'P62877'})"
"frozenset({'IL6', 'P46109', 'P22455'})"
"frozenset({'IL6', 'O75578', 'P12111'})"
"frozenset({'IL6', 'P01889', 'Q9Y3F4'})"
"frozenset({'IL6', 'P61088', 'O75344'})"
"frozenset({'IL6', 'O96019', 'Q86U86'})"
"frozenset({'P06733', 'Q13617', 'IL6'})"
"frozenset({'IL6', 'P30480', 'P13667'})"
"frozenset({'IL6', 'Q9NRR5', 'Q9BXJ1'})"
"frozenset({'IL6', 'Q5SQN1', 'Q9NTX5'})"
"frozenset({'IL6', 'P24043', 'P08648'})"
"frozenset({'IL6', 'P05067', 'Q96G25'})"
"frozenset({'IL6', 'Q8IVP5', 'Q9H0R8'})"
"frozenset({'IL6', 'P50549', 'Q96MF7'})"
"frozenset({'IL6', 'Q9BW62', 'Q9C093'})"
"frozenset({'IL6', 'Q9Y272', 'P09471'})"
"frozenset({'IL6', 'P32320', 'O43167'})"
"frozenset({'IL6', 'Q96FW1', 'P11142'})"
"frozenset({'O75334', 'O75145', 'IL6'})"
"frozenset({'IL6', 'Q15714', 'P11177'})"
"frozenset({'IL6', 'P32969', 'P62244'})"
"frozenset({'P29350', 'P16885', 'IL6'})"
"frozenset({'IL6', 'Q96LW7', 'O60296'})"
"frozenset({'IL6', 'Q9UNS1', 'P27694'})"
"frozenset({'IL6', 'P46109', 'P25490'})"
"frozenset({'Q15286', 'Q9H6R7', 'IL6'})"
"frozenset({'P51532', 'IL6', 'Q00765'})"
"frozenset({'IL6', 'Q9UGN5', 'Q8NGJ1'})"
"frozenset({'IL6', 'P12883', 'Q96DD0'})"
"frozenset({'IL6', 'Q9NX20', 'Q9BYD1'})"
"frozenset({'IL6', 'Q13387', 'Q15811'})"
"frozenset({'P29350', 'Q06187', 'IL6'})"
"frozenset({'P49736', 'IL6', 'P61009'})"
"frozenset({'IL6', 'P49407', 'Q96S59'})"
"frozenset({'P62979', 'P55854', 'IL6'})"
"frozenset({'IL6', 'P15880', 'Q9H0W5'})"
"frozenset({'Q96RL7', 'P00519', 'IL6'})"
"frozenset({'IL6', 'Q86X19', 'P78310'})"
"frozenset({'Q99877', 'P20671', 'IL6'})"
"frozenset({'IL6', 'P68431', 'P11940'})"
"frozenset({'IL6', 'P09651', 'Q13310'})"
"frozenset({'IL6', 'Q96TC7', 'Q8IWL3'})"
"frozenset({'IL6', 'Q969P0', 'O75821'})"
"frozenset({'IL6', 'P0DP23', 'Q9Y283'})"
"frozenset({'IL6', 'O43290', 'Q9UBB9'})"
"frozenset({'IL6', 'P31943', 'P50750'})"
"frozenset({'P19876', 'P39900', 'IL6'})"
"frozenset({'IL6', 'P57737', 'Q13616'})"
"frozenset({'IL6', 'Q6NW29', 'Q8N5Z5'})"
"frozenset({'Q9Y2W1', 'Q504Q3', 'IL6'})"
"frozenset({'IL6', 'Q8NEV9', 'Q04206'})"
"frozenset({'IL6', 'P33993', 'Q15052'})"
"frozenset({'IL6', 'O75360', 'Q8TDS5'})"
"frozenset({'IL6', 'Q9HCC0', 'P56381'})"
"frozenset({'IL6', 'P10275', 'Q13976'})"
"frozenset({'IL6', 'Q99496', 'Q9H583'})"
"frozenset({'IL6', 'Q96AP0', 'Q9BXI6'})"
"frozenset({'IL6', 'O43147', 'Q12873'})"
"frozenset({'Q76N32', 'Q9Y297', 'IL6'})"
"frozenset({'Q13595', 'Q9NUD5', 'IL6'})"
"frozenset({'Q9UM73', 'P55345', 'IL6'})"
"frozenset({'IL6', 'O95166', 'Q8IY81'})"
"frozenset({'IL6', 'Q15056', 'Q9UHX1'})"
"frozenset({'IL6', 'Q6VAB6', 'P18887'})"
"frozenset({'IL6', 'Q4G0J3', 'Q8N5P1'})"
"frozenset({'Q13573', 'P48444', 'IL6'})"
"frozenset({'P00441', 'Q96AT9', 'IL6'})"
"frozenset({'Q9NS25', 'Q9H0R5', 'IL6'})"
"frozenset({'Q6UWB1', 'IL6', 'P01571'})"
"frozenset({'Q96KQ7', 'Q01860', 'IL6'})"
"frozenset({'IL6', 'P43235', 'Q96RT1'})"
"frozenset({'IL6', 'P15336', 'P78371'})"
"frozenset({'Q9UHF4', 'P35225', 'IL6'})"
"frozenset({'IL6', 'Q9BWQ6', 'Q969F0'})"
"frozenset({'IL6', 'P43304', 'P00403'})"
"frozenset({'IL6', 'Q15717', 'P36551'})"
"frozenset({'IL6', 'Q9Y696', 'P37802'})"
"frozenset({'IL6', 'Q92522', 'Q5JTH9'})"
"frozenset({'Q9P2R6', 'Q9NP73', 'IL6'})"
"frozenset({'IL6', 'Q14653', 'Q99836'})"
"frozenset({'IL6', 'P32321', 'Q9GZT8'})"
"frozenset({'P55210', 'P62805', 'IL6'})"
"frozenset({'IL6', 'P24394', 'P60568'})"
"frozenset({'P40763', 'IL6', 'P38398'})"
"frozenset({'IL6', 'Q9Y5J5', 'Q92621'})"
"frozenset({'IL6', 'Q13009', 'P01106'})"
"frozenset({'IL6', 'P78371', 'P06748'})"
"frozenset({'IL6', 'O95947', 'Q15038'})"
"frozenset({'IL6', 'Q8WXF0', 'Q9UQC2'})"
"frozenset({'Q9UP38', 'Q93097', 'IL6'})"
"frozenset({'IL6', 'P05187', 'Q5T5B0'})"
"frozenset({'IL6', 'P06213', 'Q01970'})"
"frozenset({'IL6', 'Q9BRX9', 'Q6WCQ1'})"
"frozenset({'IL6', 'Q9NNX1', 'Q8TAP6'})"
"frozenset({'IL6', 'Q99814', 'Q10586'})"
"frozenset({'IL6', 'P85037', 'Q8IXJ9'})"
"frozenset({'IL6', 'Q8NGN6', 'P17612'})"
"frozenset({'O15496', 'Q96HB5', 'IL6'})"
"frozenset({'O14746', 'P06576', 'IL6'})"
"frozenset({'O95721', 'IL6', 'Q8WUK0'})"
"frozenset({'IL6', 'P27361', 'P29966'})"
"frozenset({'IL6', 'P40855', 'Q6P1S2'})"
"frozenset({'IL6', 'P0C7P0', 'Q969Z0'})"
"frozenset({'IL6', 'P05412', 'P07737'})"
"frozenset({'IL6', 'Q9Y2R0', 'P00403'})"
"frozenset({'IL6', 'P01137', 'O14965'})"
"frozenset({'Q9NTI5', 'IL6', 'O43493'})"
"frozenset({'IL6', 'P22459', 'Q96EB6'})"
"frozenset({'Q9NRD1', 'Q13509', 'IL6'})"
"frozenset({'IL6', 'Q9H492', 'Q9BXM7'})"
"frozenset({'P25963', 'Q9NWM3', 'IL6'})"
"frozenset({'IL6', 'Q9BQE3', 'O60884'})"
"frozenset({'IL6', 'Q8NI27', 'Q93009'})"
"frozenset({'IL6', 'Q8TAF3', 'Q9NPE3'})"
"frozenset({'IL6', 'Q4G0X9', 'P05067'})"
"frozenset({'IL6', 'Q9P086', 'Q13503'})"
"frozenset({'IL6', 'P17181', 'P42224'})"
"frozenset({'IL6', 'P09874', 'P54725'})"
"frozenset({'IL6', 'O14980', 'Q13043'})"
"frozenset({'IL6', 'Q9UQC2', 'Q8TEH3'})"
"frozenset({'IL6', 'Q13823', 'Q9UKD2'})"
"frozenset({'IL6', 'O95166', 'Q01085'})"
"frozenset({'P06493', 'P09884', 'IL6'})"
"frozenset({'Q16821', 'P31749', 'IL6'})"
"frozenset({'IL6', 'P19235', 'P46109'})"
"frozenset({'IL6', 'Q9Y6U3', 'P78356'})"
"frozenset({'IL6', 'P24928', 'P20226'})"
"frozenset({'IL6', 'P23769', 'Q8IUC1'})"
"frozenset({'O14641', 'P48730', 'IL6'})"
"frozenset({'IL6', 'Q9HC52', 'P35711'})"
"frozenset({'IL6', 'Q9Y2T1', 'P49840'})"
"frozenset({'P48382', 'IL6', 'O00287'})"
"frozenset({'Q12830', 'O75643', 'IL6'})"
"frozenset({'IL6', 'Q9Y6E7', 'Q4G0N4'})"
"frozenset({'IL6', 'P09493', 'Q15942'})"
"frozenset({'IL6', 'Q8TAE8', 'P43364'})"
"frozenset({'IL6', 'Q9Y2T4', 'P46937'})"
"frozenset({'IL6', 'O75426', 'Q9UNE7'})"
"frozenset({'Q96JB3', 'O75360', 'IL6'})"
"frozenset({'P17858', 'IL6', 'Q99598'})"
"frozenset({'IL6', 'Q9NX76', 'O43291'})"
"frozenset({'IL6', 'P13797', 'P31948'})"
"frozenset({'P39656', 'IL6', 'P61619'})"
"frozenset({'Q13426', 'Q12873', 'IL6'})"
"frozenset({'P51970', 'P03901', 'IL6'})"
"frozenset({'IL6', 'Q9Y4B4', 'Q9NP66'})"
"frozenset({'IL6', 'O43166', 'P55196'})"
"frozenset({'IL6', 'P05783', 'Q15149'})"
"frozenset({'O75398', 'Q96FA3', 'IL6'})"
"frozenset({'IL6', 'P41161', 'P78325'})"
"frozenset({'Q15459', 'Q8IXT5', 'IL6'})"
"frozenset({'IL6', 'Q96GM5', 'P15976'})"
"frozenset({'IL6', 'Q9Y265', 'P17480'})"
"frozenset({'IL6', 'O60359', 'P36873'})"
"frozenset({'IL6', 'O75886', 'Q8TES7'})"
"frozenset({'IL6', 'Q9BVN2', 'Q86TV6'})"
"frozenset({'IL6', 'Q14999', 'P04004'})"
"frozenset({'IL6', 'O75147', 'O14578'})"
"frozenset({'IL6', 'Q9BZJ6', 'Q9H2G2'})"
"frozenset({'IL6', 'Q66GS9', 'P14373'})"
"frozenset({'IL6', 'Q6QNY1', 'A8K0Z3'})"
"frozenset({'IL6', 'Q14999', 'Q5JTH9'})"
"frozenset({'IL6', 'Q9P127', 'Q9UDY2'})"
"frozenset({'IL6', 'P0C7P0', 'Q7Z434'})"
"frozenset({'P62314', 'O43290', 'IL6'})"
"frozenset({'P00966', 'Q9NR45', 'IL6'})"
"frozenset({'P60866', 'Q92901', 'IL6'})"
"frozenset({'IL6', 'P01569', 'Q92985'})"
"frozenset({'IL6', 'Q16543', 'Q92900'})"
"frozenset({'O95813', 'IL6', 'P56703'})"
"frozenset({'Q9NQ48', 'IL6', 'Q8NFJ9'})"
"frozenset({'IL6', 'P21127', 'O00303'})"
"frozenset({'Q9HAS0', 'Q68J44', 'IL6'})"
"frozenset({'IL6', 'Q9BW92', 'O95433'})"
"frozenset({'O95817', 'Q13501', 'IL6'})"
"frozenset({'Q00613', 'Q96SB8', 'IL6'})"
"frozenset({'IL6', 'Q96IZ7', 'Q9Y333'})"
"frozenset({'Q969S8', 'Q96KK5', 'IL6'})"
"frozenset({'IL6', 'Q9BXB4', 'Q96SU4'})"
"frozenset({'IL6', 'Q96NC0', 'Q6NT76'})"
"frozenset({'IL6', 'P04062', 'P07900'})"
"frozenset({'IL6', 'Q8WXW3', 'Q6UVJ0'})"
"frozenset({'IL6', 'Q92664', 'Q86YS3'})"
"frozenset({'IL6', 'Q9NRR5', 'P48723'})"
"frozenset({'IL6', 'Q92544', 'Q9Y324'})"
"frozenset({'IL6', 'Q9Y5Q3', 'Q14653'})"
"frozenset({'Q8WZ79', 'P17655', 'IL6'})"
"frozenset({'P49736', 'P62244', 'IL6'})"
"frozenset({'IL6', 'Q96E29', 'O95070'})"
"frozenset({'IL6', 'Q13562', 'P54257'})"
"frozenset({'IL6', 'P39687', 'P68431'})"
"frozenset({'IL6', 'Q9UJY4', 'Q13404'})"
"frozenset({'IL6', 'O43526', 'Q8NBJ4'})"
"frozenset({'IL6', 'P60411', 'Q96E40'})"
"frozenset({'IL6', 'O43290', 'Q8IZD2'})"
"frozenset({'O75122', 'P61962', 'IL6'})"
"frozenset({'IL6', 'Q9BTA9', 'Q96HQ2'})"
"frozenset({'IL6', 'Q6AZZ1', 'P14625'})"
"frozenset({'IL6', 'Q6PD74', 'Q96PC3'})"
"frozenset({'IL6', 'P05412', 'P63173'})"
"frozenset({'IL6', 'P27348', 'Q92499'})"
"frozenset({'P19784', 'Q86VM9', 'IL6'})"
"frozenset({'IL6', 'Q13617', 'P62829'})"
"frozenset({'Q00987', 'P06748', 'IL6'})"
"frozenset({'IL6', 'O60262', 'P58182'})"
"frozenset({'IL6', 'P46940', 'Q06124'})"
"frozenset({'IL6', 'P05067', 'P23229'})"
"frozenset({'IL6', 'P61599', 'Q99717'})"
"frozenset({'IL6', 'P41252', 'Q9NSD9'})"
"frozenset({'IL6', 'O75531', 'P49411'})"
"frozenset({'Q13363', 'O75928', 'IL6'})"
"frozenset({'IL6', 'O43169', 'P05067'})"
"frozenset({'IL6', 'P05107', 'Q13418'})"
"frozenset({'IL6', 'O00541', 'P58012'})"
"frozenset({'IL6', 'P26371', 'Q9BYQ3'})"
"frozenset({'IL6', 'Q96NZ9', 'P01876'})"
"frozenset({'IL6', 'P78371', 'P34932'})"
"frozenset({'Q96KQ7', 'O94776', 'IL6'})"
"frozenset({'IL6', 'P34947', 'P63208'})"
"frozenset({'IL6', 'P78537', 'Q5T0J7'})"
"frozenset({'IL6', 'P11686', 'Q9H334'})"
"frozenset({'IL6', 'P30086', 'P31948'})"
"frozenset({'IL6', 'Q15906', 'Q99873'})"
"frozenset({'IL6', 'Q92608', 'P26371'})"
"frozenset({'IL6', 'P12830', 'Q9NR12'})"
"frozenset({'IL6', 'Q9H6Y5', 'O75439'})"
"frozenset({'IL6', 'P63104', 'P00403'})"
"frozenset({'IL6', 'P55036', 'Q13155'})"
"frozenset({'IL6', 'Q9H0B6', 'Q9BRQ0'})"
"frozenset({'Q92858', 'Q15149', 'IL6'})"
"frozenset({'IL6', 'P14151', 'Q13976'})"
"frozenset({'Q9H8Y8', 'Q8WZ19', 'IL6'})"
"frozenset({'IL6', 'Q9H0W5', 'P11940'})"
"frozenset({'IL6', 'Q86SQ0', 'Q92614'})"
"frozenset({'Q00839', 'P43243', 'IL6'})"
"frozenset({'IL6', 'O95232', 'O75530'})"
"frozenset({'IL6', 'P31314', 'Q92793'})"
"frozenset({'P04629', 'O60502', 'IL6'})"
"frozenset({'IL6', 'P45983', 'P42224'})"
"frozenset({'Q9NRZ9', 'Q13573', 'IL6'})"
"frozenset({'IL6', 'P01563', 'Q5VWK5'})"
"frozenset({'Q9NR96', 'P16333', 'IL6'})"
"frozenset({'IL6', 'P63173', 'P46778'})"
"frozenset({'P40939', 'Q14164', 'IL6'})"
"frozenset({'Q15051', 'A5PLL7', 'IL6'})"
"frozenset({'IL6', 'P24941', 'Q9P2S5'})"
"frozenset({'IL6', 'P05412', 'P45985'})"
"frozenset({'IL6', 'Q5JTV8', 'Q5HYA8'})"
"frozenset({'IL6', 'Q9P2W3', 'Q92569'})"
"frozenset({'IL6', 'Q96GX1', 'Q9H3N1'})"
"frozenset({'IL6', 'Q86UY5', 'P47897'})"
"frozenset({'IL6', 'P63173', 'O00541'})"
"frozenset({'IL6', 'P30291', 'Q9UKB1'})"
"frozenset({'IL6', 'P68363', 'Q9H2C0'})"
"frozenset({'IL6', 'Q9UHX1', 'P05455'})"
"frozenset({'O75478', 'IL6', 'P61964'})"
"frozenset({'Q68EM7', 'IL6', 'P12931'})"
"frozenset({'IL6', 'P26368', 'Q01130'})"
"frozenset({'IL6', 'P07711', 'Q6UXH1'})"
"frozenset({'IL6', 'Q3SY84', 'O76011'})"
"frozenset({'P63165', 'Q14191', 'IL6'})"
"frozenset({'IL6', 'P41091', 'O15372'})"
"frozenset({'P63165', 'Q16236', 'IL6'})"
"frozenset({'IL6', 'Q99807', 'Q9NZJ6'})"
"frozenset({'Q9H8V3', 'Q15758', 'IL6'})"
"frozenset({'IL6', 'Q9ULW2', 'O95273'})"
"frozenset({'IL6', 'P34897', 'P53041'})"
"frozenset({'IL6', 'Q9BYE7', 'Q9HC52'})"
"frozenset({'IL6', 'P22694', 'P09430'})"
"frozenset({'IL6', 'Q9HCE1', 'Q03135'})"
"frozenset({'IL6', 'Q8N726', 'P28289'})"
"frozenset({'Q9P035', 'Q9NVI1', 'IL6'})"
"frozenset({'IL6', 'Q8IVD9', 'Q13309'})"
"frozenset({'IL6', 'Q9H5J0', 'Q9NQC1'})"
"frozenset({'IL6', 'Q92620', 'P07910'})"
"frozenset({'IL6', 'P15374', 'O95155'})"
"frozenset({'IL6', 'O43374', 'P10301'})"
"frozenset({'IL6', 'P22612', 'O95178'})"
"frozenset({'IL6', 'O00214', 'Q6NSJ5'})"
"frozenset({'IL6', 'P22607', 'Q13480'})"
"frozenset({'Q00325', 'O95718', 'IL6'})"
"frozenset({'IL6', 'Q6UW60', 'P01344'})"
"frozenset({'IL6', 'Q15056', 'P35637'})"
"frozenset({'IL6', 'P04899', 'Q3V6T2'})"
"frozenset({'IL6', 'O95166', 'Q8WVZ9'})"
"frozenset({'IL6', 'Q2TAC2', 'Q86YD7'})"
"frozenset({'P49736', 'O95793', 'IL6'})"
"frozenset({'P38646', 'P51858', 'IL6'})"
"frozenset({'IL6', 'Q92734', 'P04083'})"
"frozenset({'P04629', 'P23258', 'IL6'})"
"frozenset({'IL6', 'P15311', 'P12931'})"
"frozenset({'IL6', 'P15336', 'P04792'})"
"frozenset({'P04629', 'Q9Y264', 'IL6'})"
"frozenset({'Q9HC77', 'O75122', 'IL6'})"
"frozenset({'IL6', 'P13010', 'P49916'})"
"frozenset({'IL6', 'Q8IV08', 'Q9BS26'})"
"frozenset({'IL6', 'Q99618', 'Q12933'})"
"frozenset({'IL6', 'P40306', 'P28065'})"
"frozenset({'IL6', 'Q96CJ1', 'O43255'})"
"frozenset({'IL6', 'P49715', 'P45983'})"
"frozenset({'IL6', 'Q13541', 'Q9UJY5'})"
"frozenset({'IL6', 'P49715', 'Q05086'})"
"frozenset({'IL6', 'Q9H4B4', 'P08575'})"
"frozenset({'IL6', 'Q9NR30', 'Q15050'})"
"frozenset({'IL6', 'Q86WU2', 'Q9NVF7'})"
"frozenset({'Q8WUI4', 'Q99880', 'IL6'})"
"frozenset({'IL6', 'Q9BSK4', 'Q0VD86'})"
"frozenset({'Q9NRW7', 'Q86X19', 'IL6'})"
"frozenset({'IL6', 'Q86T82', 'Q92769'})"
"frozenset({'IL6', 'Q13625', 'Q9H3D4'})"
"frozenset({'IL6', 'Q9Y2H6', 'Q15717'})"
