negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'Q9UK08', 'Q14416', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96PX6', 'P51955', 'Alpha6Beta4Integrin'})"
"frozenset({'P31274', 'Q12926', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13243', 'Alpha6Beta4Integrin', 'Q86VN1'})"
"frozenset({'P78346', 'Alpha6Beta4Integrin', 'Q9H4G0'})"
"frozenset({'P22612', 'Alpha6Beta4Integrin', 'Q8N162'})"
"frozenset({'Q14999', 'Q99848', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BVW5', 'P33993', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13573', 'P35226', 'Alpha6Beta4Integrin'})"
"frozenset({'P26641', 'Q12931', 'Alpha6Beta4Integrin'})"
"frozenset({'P12074', 'Q9NX40', 'Alpha6Beta4Integrin'})"
"frozenset({'Q32P28', 'P37108', 'Alpha6Beta4Integrin'})"
"frozenset({'P12270', 'Alpha6Beta4Integrin', 'O96017'})"
"frozenset({'Q969U7', 'Alpha6Beta4Integrin', 'P68402'})"
"frozenset({'Q07955', 'Q15365', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y262', 'P27635', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2Y4', 'P11802', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2T1', 'Q13895'})"
"frozenset({'Alpha6Beta4Integrin', 'O75360', 'Q96H20'})"
"frozenset({'Q12996', 'P06748', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYZ2', 'Q16719', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6SJ93', 'Alpha6Beta4Integrin', 'Q9NPJ6'})"
"frozenset({'Q8IY92', 'P01009', 'Alpha6Beta4Integrin'})"
"frozenset({'O75360', 'Alpha6Beta4Integrin', 'Q96PJ5'})"
"frozenset({'P52732', 'Alpha6Beta4Integrin', 'Q9C0D2'})"
"frozenset({'Q99733', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86X55', 'O95342'})"
"frozenset({'P35527', 'P19320', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y265', 'Alpha6Beta4Integrin', 'P19438'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'Q14240'})"
"frozenset({'O75170', 'Q96MX6', 'Alpha6Beta4Integrin'})"
"frozenset({'O43918', 'Q8TEQ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05516', 'Alpha6Beta4Integrin', 'O95751'})"
"frozenset({'A6NL08', 'Alpha6Beta4Integrin', 'P25098'})"
"frozenset({'Q16778', 'Q93009', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IUQ4', 'Alpha6Beta4Integrin', 'Q14807'})"
"frozenset({'O95817', 'Q00537', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q70EL1', 'Q66GS9'})"
"frozenset({'P42702', 'Alpha6Beta4Integrin', 'O00459'})"
"frozenset({'Q06330', 'P31260', 'Alpha6Beta4Integrin'})"
"frozenset({'Q08188', 'Q9GZQ8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP6', 'P42766', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYR5', 'Q5T5A8', 'Alpha6Beta4Integrin'})"
"frozenset({'P16885', 'P43405', 'Alpha6Beta4Integrin'})"
"frozenset({'P49763', 'Alpha6Beta4Integrin', 'P29317'})"
"frozenset({'O43482', 'Alpha6Beta4Integrin', 'P42167'})"
"frozenset({'O75116', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q8IYI6', 'Q15154', 'Alpha6Beta4Integrin'})"
"frozenset({'P01889', 'Alpha6Beta4Integrin', 'Q07444'})"
"frozenset({'P07237', 'Alpha6Beta4Integrin', 'Q15424'})"
"frozenset({'O00716', 'Q8IXI2', 'Alpha6Beta4Integrin'})"
"frozenset({'P32239', 'Alpha6Beta4Integrin', 'P29992'})"
"frozenset({'Q9NS91', 'Alpha6Beta4Integrin', 'Q9H8V3'})"
"frozenset({'P01579', 'Alpha6Beta4Integrin', 'Q13651'})"
"frozenset({'Q99497', 'Q8WXI9', 'Alpha6Beta4Integrin'})"
"frozenset({'P0C671', 'Alpha6Beta4Integrin', 'Q92843'})"
"frozenset({'P05412', 'Alpha6Beta4Integrin', 'O94905'})"
"frozenset({'Q9HAF1', 'Alpha6Beta4Integrin', 'Q969R5'})"
"frozenset({'Q9UDR5', 'Q14197', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96NW4', 'Alpha6Beta4Integrin', 'Q8WXH6'})"
"frozenset({'Q6P1W5', 'Alpha6Beta4Integrin', 'Q9H257'})"
"frozenset({'Q9H0I2', 'Q3LI66', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H9S0', 'Q9BXA9', 'Alpha6Beta4Integrin'})"
"frozenset({'P62333', 'P62191', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQ29', 'Alpha6Beta4Integrin', 'O15234'})"
"frozenset({'P62701', 'Alpha6Beta4Integrin', 'P46781'})"
"frozenset({'O15131', 'P63165', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BWH6', 'Alpha6Beta4Integrin', 'Q9H9Y4'})"
"frozenset({'Q9UEW8', 'Q969Z4', 'Alpha6Beta4Integrin'})"
"frozenset({'P32121', 'P62277', 'Alpha6Beta4Integrin'})"
"frozenset({'P26447', 'Alpha6Beta4Integrin', 'P49116'})"
"frozenset({'Q08117', 'O75558', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BWF3', 'O75436'})"
"frozenset({'P15498', 'O43561', 'Alpha6Beta4Integrin'})"
"frozenset({'P18124', 'Q9BQG0', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P15927', 'O43390'})"
"frozenset({'Q5T7P3', 'Alpha6Beta4Integrin', 'Q15323'})"
"frozenset({'Q9H201', 'Alpha6Beta4Integrin', 'Q15311'})"
"frozenset({'Q02297', 'Q12772', 'Alpha6Beta4Integrin'})"
"frozenset({'P10275', 'P27540', 'Alpha6Beta4Integrin'})"
"frozenset({'O00487', 'Alpha6Beta4Integrin', 'O75832'})"
"frozenset({'P62714', 'Alpha6Beta4Integrin', 'P12931'})"
"frozenset({'P10321', 'P67809', 'Alpha6Beta4Integrin'})"
"frozenset({'Q09472', 'Q9H3D4', 'Alpha6Beta4Integrin'})"
"frozenset({'P61254', 'Q9BT49', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H9D4', 'Alpha6Beta4Integrin', 'Q13111'})"
"frozenset({'P60891', 'Alpha6Beta4Integrin', 'Q9UMS4'})"
"frozenset({'Q8N9Q2', 'Alpha6Beta4Integrin', 'Q96D03'})"
"frozenset({'P47985', 'P10253', 'Alpha6Beta4Integrin'})"
"frozenset({'O00303', 'Alpha6Beta4Integrin', 'Q8IWF7'})"
"frozenset({'O60216', 'Alpha6Beta4Integrin', 'Q9NTJ3'})"
"frozenset({'O60262', 'Alpha6Beta4Integrin', 'Q6IF63'})"
"frozenset({'Q9P0J7', 'P48431', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NRR4', 'Q13547'})"
"frozenset({'P63096', 'P51681', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UL03', 'P52435', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3Z3', 'Alpha6Beta4Integrin', 'Q9H6Z4'})"
"frozenset({'Q9P286', 'Q86YV6', 'Alpha6Beta4Integrin'})"
"frozenset({'P11021', 'Alpha6Beta4Integrin', 'Q9UNF1'})"
"frozenset({'Q8WXD5', 'Alpha6Beta4Integrin', 'Q16637'})"
"frozenset({'Q9UBB4', 'O95477', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15466', 'O00482', 'Alpha6Beta4Integrin'})"
"frozenset({'O00764', 'Alpha6Beta4Integrin', 'Q14164'})"
"frozenset({'Q9C0B0', 'P62888', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y487', 'Alpha6Beta4Integrin', 'O00214'})"
"frozenset({'Q9UBU9', 'Q9NX04', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6D9', 'Q9Y2J4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q53T59', 'Alpha6Beta4Integrin', 'O60885'})"
"frozenset({'Q16656', 'P63167', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2C0', 'Q8WWY3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01844', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'P62979', 'Q9BXL7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04206', 'Q13469', 'Alpha6Beta4Integrin'})"
"frozenset({'A6NIX2', 'O95835', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM47', 'P12830', 'Alpha6Beta4Integrin'})"
"frozenset({'P48556', 'Alpha6Beta4Integrin', 'Q8IZT6'})"
"frozenset({'O75438', 'Alpha6Beta4Integrin', 'Q9Y6M9'})"
"frozenset({'Q9HD23', 'Q9H2A9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15527', 'Q9HCN4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96BR9', 'P07947'})"
"frozenset({'Alpha6Beta4Integrin', 'O60231', 'P15170'})"
"frozenset({'O14980', 'Alpha6Beta4Integrin', 'P46778'})"
"frozenset({'Q9NPY3', 'Alpha6Beta4Integrin', 'O95433'})"
"frozenset({'P62195', 'Alpha6Beta4Integrin', 'Q8IUG5'})"
"frozenset({'Alpha6Beta4Integrin', 'P63208', 'P25788'})"
"frozenset({'O43741', 'Q9Y5V3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H7B2', 'Q16666', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6NUQ1', 'O60238', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01664', 'Alpha6Beta4Integrin', 'Q01167'})"
"frozenset({'P0C0E4', 'P61289', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NVI7', 'Alpha6Beta4Integrin', 'O75365'})"
"frozenset({'Q9NUU7', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'Alpha6Beta4Integrin', 'P62263', 'P63220'})"
"frozenset({'Q92793', 'P19784', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969J5', 'Alpha6Beta4Integrin', 'P23458'})"
"frozenset({'P28715', 'O95257', 'Alpha6Beta4Integrin'})"
"frozenset({'O95070', 'Alpha6Beta4Integrin', 'P30405'})"
"frozenset({'Q15382', 'Alpha6Beta4Integrin', 'P13591'})"
"frozenset({'Alpha6Beta4Integrin', 'P00519', 'P06241'})"
"frozenset({'Q8NHQ1', 'Alpha6Beta4Integrin', 'Q96N58'})"
"frozenset({'Q9ULC8', 'Q9NY35', 'Alpha6Beta4Integrin'})"
"frozenset({'P25789', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P49418', 'Q9Y6J0'})"
"frozenset({'P18085', 'Q9Y617', 'Alpha6Beta4Integrin'})"
"frozenset({'P29474', 'Q13557', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IY34', 'Q96IK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P17096', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96QV1', 'Alpha6Beta4Integrin', 'P10071'})"
"frozenset({'Q00653', 'O15027', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UMR2', 'Q9UJ70', 'Alpha6Beta4Integrin'})"
"frozenset({'O60343', 'Q96JM3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13972', 'Q9NZT1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7L3B6', 'P53041', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NGL0', 'P38405', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01831', 'Q00987', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y2T4', 'Q5QP82', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y468', 'P17980', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00536', 'Q8ND76', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96EV8', 'Alpha6Beta4Integrin', 'Q9Y6D5'})"
"frozenset({'P05362', 'P62263', 'Alpha6Beta4Integrin'})"
"frozenset({'P56524', 'O00458', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NTK5', 'Alpha6Beta4Integrin', 'P34932'})"
"frozenset({'P11413', 'Alpha6Beta4Integrin', 'P38646'})"
"frozenset({'P52292', 'Alpha6Beta4Integrin', 'P06454'})"
"frozenset({'Q9UHB6', 'Alpha6Beta4Integrin', 'P63010'})"
"frozenset({'Q9P227', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'P49765', 'Alpha6Beta4Integrin', 'Q16620'})"
"frozenset({'P04843', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'O75800', 'Alpha6Beta4Integrin', 'Q13404'})"
"frozenset({'Q8NCN4', 'Q9BW19', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969U7', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Q9UPM8', 'P25391', 'Alpha6Beta4Integrin'})"
"frozenset({'P42226', 'Q16695', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'Q14209', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P07197', 'Q05682'})"
"frozenset({'P00533', 'Q16795', 'Alpha6Beta4Integrin'})"
"frozenset({'P53992', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Q969T4', 'P42858', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NXR7', 'Q6UWZ7', 'Alpha6Beta4Integrin'})"
"frozenset({'P62750', 'P62841', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y337', 'Alpha6Beta4Integrin', 'Q71U36'})"
"frozenset({'Q9UBB9', 'Alpha6Beta4Integrin', 'Q6VAB6'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'Q16831'})"
"frozenset({'Q9BQ04', 'Alpha6Beta4Integrin', 'P0CAP1'})"
"frozenset({'O60504', 'Q5HYW2', 'Alpha6Beta4Integrin'})"
"frozenset({'P51692', 'P19320', 'Alpha6Beta4Integrin'})"
"frozenset({'P61073', 'Q9UBD3', 'Alpha6Beta4Integrin'})"
"frozenset({'P84243', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'Q9Y2H0', 'P27986', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQG0', 'Alpha6Beta4Integrin', 'O96017'})"
"frozenset({'P24723', 'Q9GZQ8', 'Alpha6Beta4Integrin'})"
"frozenset({'P98177', 'Alpha6Beta4Integrin', 'P38936'})"
"frozenset({'Q9H0F6', 'Alpha6Beta4Integrin', 'O14920'})"
"frozenset({'O60260', 'P12956', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WXE1', 'Q9UPV0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6IAA8', 'Alpha6Beta4Integrin', 'P38606'})"
"frozenset({'Q01844', 'Alpha6Beta4Integrin', 'Q92567'})"
"frozenset({'P13385', 'Alpha6Beta4Integrin', 'P36896'})"
"frozenset({'Q3SXY8', 'P63279', 'Alpha6Beta4Integrin'})"
"frozenset({'P03372', 'Alpha6Beta4Integrin', 'Q15233'})"
"frozenset({'O14964', 'P56545', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99689', 'Q7L2K0', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'Q9BWF2', 'Alpha6Beta4Integrin'})"
"frozenset({'P29590', 'Alpha6Beta4Integrin', 'P13056'})"
"frozenset({'P51531', 'Q92785', 'Alpha6Beta4Integrin'})"
"frozenset({'P22061', 'Alpha6Beta4Integrin', 'P23467'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H8V3', 'Q9BRX2'})"
"frozenset({'P16452', 'Q16539', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NSK0', 'P35606', 'Alpha6Beta4Integrin'})"
"frozenset({'P14373', 'Alpha6Beta4Integrin', 'O95678'})"
"frozenset({'P62873', 'Q8NG76', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q02978', 'Q8WU79'})"
"frozenset({'Alpha6Beta4Integrin', 'P13945', 'P63092'})"
"frozenset({'P08069', 'P10767', 'Alpha6Beta4Integrin'})"
"frozenset({'P46934', 'O15165', 'Alpha6Beta4Integrin'})"
"frozenset({'O15544', 'P33240', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BWG6', 'Q08379', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TD90', 'Alpha6Beta4Integrin', 'Q9BZY9'})"
"frozenset({'Q00839', 'P12270', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UII2', 'Q9HAQ2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8NHY2', 'P05451'})"
"frozenset({'Q14160', 'Alpha6Beta4Integrin', 'Q9Y466'})"
"frozenset({'Q9NP77', 'Q16719', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13627', 'Alpha6Beta4Integrin', 'Q99962'})"
"frozenset({'Q7Z3S9', 'Q8IUH8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H4A3', 'Q13492', 'Alpha6Beta4Integrin'})"
"frozenset({'P36915', 'Alpha6Beta4Integrin', 'P09972'})"
"frozenset({'O15085', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13557', 'Q08828', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99961', 'Alpha6Beta4Integrin', 'P13945'})"
"frozenset({'P62857', 'Q96EL3', 'Alpha6Beta4Integrin'})"
"frozenset({'P10275', 'Alpha6Beta4Integrin', 'O14672'})"
"frozenset({'P11021', 'Alpha6Beta4Integrin', 'P38936'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12933', 'O14641'})"
"frozenset({'P35250', 'Alpha6Beta4Integrin', 'Q9Y5J5'})"
"frozenset({'Q13505', 'Alpha6Beta4Integrin', 'Q5TGZ0'})"
"frozenset({'Q07812', 'Q9P2Y5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9GZK3', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'Q9H3P7', 'O43493', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NVV9', 'Q99459', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQC8', 'Alpha6Beta4Integrin', 'Q9Y547'})"
"frozenset({'Q69YU3', 'Q96QZ7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86TB9', 'Alpha6Beta4Integrin', 'O43395'})"
"frozenset({'Q92759', 'Alpha6Beta4Integrin', 'Q13888'})"
"frozenset({'Q8N1B4', 'Q86WQ0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15843', 'Alpha6Beta4Integrin', 'Q07020'})"
"frozenset({'P62807', 'O15355', 'Alpha6Beta4Integrin'})"
"frozenset({'P61201', 'Q9BT78', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'P04156', 'Alpha6Beta4Integrin'})"
"frozenset({'P03372', 'Alpha6Beta4Integrin', 'Q01167'})"
"frozenset({'Q9BSJ8', 'Q00987', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRD1', 'P14868', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96D46', 'Alpha6Beta4Integrin', 'Q6FI81'})"
"frozenset({'Q86Y13', 'Q14161', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRD1', 'P46777', 'Alpha6Beta4Integrin'})"
"frozenset({'P61326', 'P62424', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99961', 'Alpha6Beta4Integrin', 'P08172'})"
"frozenset({'Q9P2R6', 'Alpha6Beta4Integrin', 'Q9ULU4'})"
"frozenset({'Q5TAP6', 'Alpha6Beta4Integrin', 'Q6A162'})"
"frozenset({'Q86X19', 'Q6NXT4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P12236', 'Q9NVU0'})"
"frozenset({'O75369', 'Alpha6Beta4Integrin', 'Q15404'})"
"frozenset({'Q9BYW2', 'O43255', 'Alpha6Beta4Integrin'})"
"frozenset({'P42226', 'P17706', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NGM1', 'O60262', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P31944', 'Q9NQ38'})"
"frozenset({'P62987', 'Alpha6Beta4Integrin', 'O95863'})"
"frozenset({'P12004', 'Q9NZJ0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07157', 'Q8IWZ8', 'Alpha6Beta4Integrin'})"
"frozenset({'P04141', 'O60506', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NGP2', 'Alpha6Beta4Integrin', 'Q9P2W3'})"
"frozenset({'Q5SRE5', 'Alpha6Beta4Integrin', 'Q8NFH3'})"
"frozenset({'Q9ULM6', 'Alpha6Beta4Integrin', 'Q9HCJ0'})"
"frozenset({'Q8NEC7', 'Alpha6Beta4Integrin', 'P40763'})"
"frozenset({'P60604', 'Q05086', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y508', 'P04792', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQ26', 'Alpha6Beta4Integrin', 'P07948'})"
"frozenset({'B2RUY7', 'Alpha6Beta4Integrin', 'Q5TCM9'})"
"frozenset({'Q6MZP7', 'Alpha6Beta4Integrin', 'Q96GY3'})"
"frozenset({'Q02218', 'Q9BYD1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WUI4', 'P10914', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N6N2', 'Alpha6Beta4Integrin', 'P04626'})"
"frozenset({'Q96IZ5', 'Q96R06', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0M0', 'Alpha6Beta4Integrin', 'Q96G27'})"
"frozenset({'Alpha6Beta4Integrin', 'P10809', 'Q9Y4C4'})"
"frozenset({'P06396', 'P49023', 'Alpha6Beta4Integrin'})"
"frozenset({'P80075', 'P51681', 'Alpha6Beta4Integrin'})"
"frozenset({'P18848', 'P02766', 'Alpha6Beta4Integrin'})"
"frozenset({'O43542', 'Q9Y6N5', 'Alpha6Beta4Integrin'})"
"frozenset({'C9JDP6', 'Q9Y5I7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y520', 'Q9BQA5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86VP6', 'Q04837', 'Alpha6Beta4Integrin'})"
"frozenset({'O75400', 'P18206', 'Alpha6Beta4Integrin'})"
"frozenset({'P35579', 'Q9HC78', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13509', 'Alpha6Beta4Integrin', 'P02787'})"
"frozenset({'Q06830', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'Q08945', 'Q14978', 'Alpha6Beta4Integrin'})"
"frozenset({'Q32P28', 'Q6V1X1', 'Alpha6Beta4Integrin'})"
"frozenset({'P83436', 'P35613', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H444', 'Q92734', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99593', 'P26367', 'Alpha6Beta4Integrin'})"
"frozenset({'P49759', 'Q96KN8', 'Alpha6Beta4Integrin'})"
"frozenset({'O14576', 'O95251', 'Alpha6Beta4Integrin'})"
"frozenset({'P29474', 'Alpha6Beta4Integrin', 'Q9NZ01'})"
"frozenset({'O95758', 'Alpha6Beta4Integrin', 'Q9C0C2'})"
"frozenset({'Q86UX7', 'Q9C019', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15560', 'P78424'})"
"frozenset({'O95400', 'Alpha6Beta4Integrin', 'Q08211'})"
"frozenset({'Q02078', 'Q16644', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86WN2', 'P08887', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9ULW0', 'Q08379', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12840', 'Alpha6Beta4Integrin', 'Q13625'})"
"frozenset({'P10588', 'Q9H1E5', 'Alpha6Beta4Integrin'})"
"frozenset({'O95478', 'O15015', 'Alpha6Beta4Integrin'})"
"frozenset({'A8MQ03', 'Q6L8H2', 'Alpha6Beta4Integrin'})"
"frozenset({'O15143', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92901', 'P62241', 'Alpha6Beta4Integrin'})"
"frozenset({'P15531', 'Alpha6Beta4Integrin', 'P06493'})"
"frozenset({'Q08752', 'P12956', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O95685', 'P15735'})"
"frozenset({'Q5T4S7', 'Alpha6Beta4Integrin', 'Q96GD4'})"
"frozenset({'Q13315', 'Alpha6Beta4Integrin', 'Q9NVC6'})"
"frozenset({'P06748', 'Q99460', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86T82', 'Alpha6Beta4Integrin', 'P15927'})"
"frozenset({'Q96GD4', 'Alpha6Beta4Integrin', 'Q5UIP0'})"
"frozenset({'Q9UBL3', 'Alpha6Beta4Integrin', 'Q99879'})"
"frozenset({'P17658', 'Alpha6Beta4Integrin', 'Q9UPQ8'})"
"frozenset({'Q9H8W5', 'Alpha6Beta4Integrin', 'P63244'})"
"frozenset({'Q5T1M5', 'Alpha6Beta4Integrin', 'Q8TES7'})"
"frozenset({'Q14140', 'Q9NX04', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'P53355', 'Alpha6Beta4Integrin'})"
"frozenset({'P04637', 'P11926', 'Alpha6Beta4Integrin'})"
"frozenset({'P10914', 'Alpha6Beta4Integrin', 'P17676'})"
"frozenset({'P61326', 'P52272', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14814', 'Alpha6Beta4Integrin', 'Q13547'})"
"frozenset({'P00738', 'Alpha6Beta4Integrin', 'Q99523'})"
"frozenset({'O95793', 'Q9Y6Y0', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P01106', 'Q9H2P9'})"
"frozenset({'O14639', 'Q08379', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86TM6', 'Alpha6Beta4Integrin', 'P20618'})"
"frozenset({'Q53HC0', 'Alpha6Beta4Integrin', 'Q13625'})"
"frozenset({'Q13043', 'Q86VZ5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C035', 'Q8N653', 'Alpha6Beta4Integrin'})"
"frozenset({'P62807', 'P41236', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99731', 'P51677', 'Alpha6Beta4Integrin'})"
"frozenset({'P35626', 'Q8NGR3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13705', 'P17813', 'Alpha6Beta4Integrin'})"
"frozenset({'P10914', 'Alpha6Beta4Integrin', 'Q9UGP8'})"
"frozenset({'P78563', 'Alpha6Beta4Integrin', 'P42704'})"
"frozenset({'Alpha6Beta4Integrin', 'P11441', 'P14866'})"
"frozenset({'Q16643', 'Alpha6Beta4Integrin', 'P62070'})"
"frozenset({'O43684', 'P14618', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y613', 'Q8NFJ9'})"
"frozenset({'O15160', 'Alpha6Beta4Integrin', 'Q9BR76'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UJV9', 'Q92841'})"
"frozenset({'Q9H0D6', 'Q13148', 'Alpha6Beta4Integrin'})"
