negatives
"('P38646', 'Q9Y4K3')"
"('Q96B33', 'Q07157')"
"('Q13485', 'P57738')"
"('Q14204', 'P68371')"
"('P31946', 'P62258')"
"('Q8NBN7', 'O95257')"
"('P45985', 'Q99459')"
"('P62854', 'P08708')"
"('Q9Y6W5', 'P06241')"
"('P29460', 'Q9HC73')"
"('Q14103', 'P24522')"
"('P05231', 'P24394')"
"('P02462', 'O00339')"
"('P01225', 'P50406')"
"('P18146', 'Q96T37')"
"('P43629', 'P07711')"
"('Q05397', 'P27986')"
"('P51817', 'P05026')"
"('O60610', 'Q9UQB8')"
"('Q9Y4K3', 'Q15084')"
"('P25963', 'Q9Y3V2')"
"('P00403', 'Q14197')"
"('P01106', 'Q8TE02')"
"('P23508', 'Q8WXF1')"
"('Q9UL18', 'Q8IU60')"
"('P09086', 'P12956')"
"('P52434', 'Q14164')"
"('O95229', 'Q9H081')"
"('Q9NYF0', 'P49674')"
"('P31749', 'P62140')"
"('P14222', 'P10124')"
"('Q9Y333', 'P62312')"
"('Q70Z53', 'Q8N5F7')"
"('Q7L190', 'O95751')"
"('P34932', 'Q9NX09')"
"('Q86TJ2', 'Q9HBM6')"
"('P0CG48', 'P06748')"
"('Q9UNZ2', 'Q92990')"
"('P24468', 'Q9H422')"
"('Q9Y4A5', 'Q16514')"
"('Q9UDV6', 'P17036')"
"('Q9HCS4', 'P28347')"
"('P62633', 'P06748')"
"('P17931', 'Q01196')"
"('Q9UM63', 'P10275')"
"('Q92543', 'Q01094')"
"('P01889', 'P63173')"
"('O94868', 'Q15834')"
"('P18433', 'P12931')"
"('Q9UMX6', 'P51841')"
"('Q9ULK4', 'P10071')"
"('O15105', 'O00238')"
"('O95741', 'Q9Y6K8')"
"('Q92870', 'Q13485')"
"('P08670', 'Q99963')"
"('Q9UM47', 'P16333')"
"('Q9BV73', 'Q6UVJ0')"
"('P07910', 'P52756')"
"('Q05209', 'O60674')"
"('Q15283', 'P01116')"
"('Q04695', 'P53680')"
"('O15230', 'Q8TAX7')"
"('Q9NX58', 'Q9BZE4')"
"('P18146', 'P29475')"
"('P12004', 'Q13111')"
"('P83731', 'Q00005')"
"('Q5UIP0', 'Q99873')"
"('P13569', 'Q07157')"
"('Q9GZN1', 'Q9Y230')"
"('P33992', 'Q14566')"
"('Q9NRR5', 'Q9GZY6')"
"('P16220', 'P47712')"
"('Q15654', 'Q96HA1')"
"('Q9Y265', 'P15923')"
"('Q6P1J9', 'Q8WVC0')"
"('Q8N5I3', 'Q9BY27')"
"('P55103', 'Q13705')"
"('O75665', 'Q13352')"
"('O60663', 'O00505')"
"('Q9NZQ3', 'P06241')"
"('Q9H492', 'Q9P035')"
"('P12270', 'O15504')"
"('P08253', 'P02462')"
"('P05062', 'Q8IWZ6')"
"('P24390', 'P53618')"
"('P21281', 'P20160')"
"('Q16236', 'P48736')"
"('Q9BZR6', 'Q96FE5')"
"('Q13557', 'Q13555')"
"('P48357', 'Q14432')"
"('Q9UBI6', 'Q00975')"
"('P51149', 'P50570')"
"('Q06413', 'O95644')"
"('P67870', 'Q9UKA1')"
"('Q07157', 'Q9UDY2')"
"('Q8NFH5', 'O15504')"
"('Q9NPI6', 'Q92900')"
"('O60341', 'Q96BD5')"
"('Q13683', 'Q13797')"
"('Q8TEY5', 'Q53ET0')"
"('O15162', 'P00533')"
"('Q9NX09', 'O15530')"
"('P41220', 'Q86VF5')"
"('P62140', 'Q13557')"
"('P10720', 'P32246')"
"('P12980', 'Q6ZUS6')"
"('O60232', 'Q9H0J4')"
"('P49238', 'Q13469')"
"('P63000', 'O14986')"
"('Q15118', 'O00141')"
"('P09038', 'P00533')"
"('Q13416', 'P54274')"
"('P20248', 'Q9H211')"
"('Q9BZW7', 'Q16665')"
"('P19838', 'Q9Y230')"
"('Q6WCQ1', 'O94832')"
"('P63104', 'P27448')"
"('P17301', 'P35609')"
"('P29274', 'P84996')"
"('Q9BS40', 'Q14011')"
"('Q14164', 'P52888')"
"('Q13191', 'P07949')"
"('Q16512', 'P12931')"
"('Q16401', 'P62333')"
"('Q96P31', 'P43403')"
"('O43491', 'Q9UDY2')"
"('P04150', 'P18510')"
"('Q13950', 'P40763')"
"('P03886', 'O43676')"
"('P00519', 'Q13177')"
"('P18621', 'P46777')"
"('Q99759', 'Q9BVA1')"
"('Q96LR5', 'Q9C040')"
"('Q16619', 'P31785')"
"('Q01082', 'P63165')"
"('P63098', 'O94916')"
"('Q9UPT6', 'P45985')"
"('P49910', 'Q9NR12')"
"('P04278', 'P17661')"
"('Q99966', '26765')"
"('P60660', 'P40337')"
"('P53672', 'P26998')"
"('P49918', 'P78396')"
"('P13010', 'Q96HA7')"
"('P60900', 'Q86XK2')"
"('P10644', 'Q9BSF0')"
"('P04637', 'Q92754')"
"('Q13315', 'Q9BVP2')"
"('Q13191', 'Q9UJM3')"
"('Q9BZJ6', 'P18146')"
"('Q9H228', 'Q03113')"
"('P24385', 'Q16695')"
"('P19438', 'Q00325')"
"('Q9NWA0', 'P52701')"
"('P40145', 'P22694')"
"('P30511', 'Q14952')"
"('Q16539', 'Q6PJG2')"
"('P50402', 'Q9NYF8')"
"('A8K6C2', 'P26951')"
"('P23508', 'O00487')"
"('Q9GZQ8', 'O75530')"
"('P46459', 'Q8WVM8')"
"('Q8NFM4', 'P22612')"
"('Q9C040', 'P78324')"
"('Q9Y4K3', 'Q05639')"
"('Q99832', 'Q92993')"
"('P09619', 'Q9NQ66')"
"('Q9Y6K1', 'P45973')"
"('Q14164', 'O75822')"
"('Q86YM7', 'Q14571')"
"('Q15744', 'Q99062')"
"('Q13191', 'Q07889')"
"('Q86XK2', 'P29401')"
"('Q8TEL6', 'P19438')"
"('P48061', 'P32248')"
"('Q9Y266', 'Q99759')"
"('O00571', 'Q99459')"
"('P68400', 'Q15172')"
"('P20774', 'P55157')"
"('P15311', 'P60520')"
"('O00571', 'Q13573')"
"('Q9NZ42', 'P49755')"
"('Q96IF1', 'P10276')"
"('P35232', 'Q08999')"
"('P78364', 'P35226')"
"('P05109', 'Q15853')"
"('Q9HAU5', 'P46777')"
"('Q13485', 'Q13887')"
"('O00303', 'O75822')"
"('Q9HCE7', 'Q93034')"
"('O95785', 'P04183')"
"('Q14683', 'Q9UJ98')"
"('Q13409', 'Q9BVA1')"
"('Q9HBY8', 'O43524')"
"('P01241', 'P61247')"
"('P50990', 'Q00005')"
"('P49716', 'P35240')"
"('P60709', 'O43353')"
"('Q99459', 'Q16763')"
"('P23508', 'Q9UJF2')"
"('P16104', 'P38646')"
"('Q13219', 'Q6VMQ6')"
"('P35626', 'Q8NH05')"
"('P05386', 'P46776')"
"('P10071', 'P12755')"
"('Q53T94', 'P17480')"
"('Q9GZQ8', 'P60896')"
"('P10070', 'O95409')"
"('P18146', 'Q9UQN3')"
"('Q92616', 'Q9HAW0')"
"('Q9Y6K9', 'P08107')"
"('Q99459', 'Q9H0S4')"
"('P09382', 'P09564')"
"('P55084', 'P20073')"
"('Q9Y5J5', '51639')"
"('Q8IU60', 'Q9UJ70')"
"('Q8IWU9', 'P62258')"
"('P27540', 'P35368')"
"('P43116', 'O95467')"
"('Q9NP98', 'P35609')"
"('Q9UNS1', 'O14757')"
"('P12814', 'Q86UL8')"
"('P05015', 'Q9HC73')"
"('P31947', 'O14639')"
"('P49841', 'P16989')"
"('P20226', 'Q9Y265')"
"('Q9H254', 'P49841')"
"('Q16864', 'P35609')"
"('P36954', 'P62875')"
"('P21980', 'Q13885')"
"('P35579', 'O15111')"
"('Q9BVW5', 'Q14691')"
"('Q9GZS3', 'Q13619')"
"('Q92738', 'P20339')"
"('P62241', 'Q9UHD2')"
"('P26368', 'Q86XP3')"
"('P35580', 'Q13177')"
"('Q96Q15', 'Q14738')"
"('Q5VVJ2', 'Q92831')"
"('P67870', 'Q9Y4Z0')"
"('O75159', 'Q14627')"
"('Q9H254', 'Q16849')"
"('Q92597', 'P04844')"
"('O96009', 'Q14164')"
"('Q13309', 'Q9Y619')"
"('P09693', 'P42338')"
"('P56556', 'Q9NX14')"
"('Q9UHD0', 'P01589')"
"('P23497', 'Q99856')"
"('P07333', 'P51532')"
"('Q15185', 'P01241')"
"('Q08881', 'Q9UM73')"
"('Q9P2S5', 'Q9BY42')"
"('Q13485', 'P61244')"
"('Q15291', 'Q8NEZ4')"
"('P08631', 'P19338')"
"('Q9Y468', 'Q01094')"
"('P46977', 'P04844')"
"('P61769', 'P15813')"
"('Q9UET6', 'P22234')"
"('Q13432', 'O14717')"
"('Q8IWW6', 'P60953')"
"('Q8NFZ5', 'Q00653')"
"('P31943', 'O75674')"
"('Q6R327', 'O95785')"
"('Q99750', 'Q9HB75')"
"('P55822', 'O94868')"
"('Q14164', 'P61106')"
"('Q13616', 'Q9UKT5')"
"('O43299', 'P14316')"
"('P98095', 'Q96GW7')"
"('P63208', 'Q16589')"
"('P37231', 'O95425')"
"('Q6ICG6', 'P61981')"
"('Q00987', 'P61978')"
"('P02545', 'Q13155')"
"('Q04864', 'P63261')"
"('P84022', 'P11802')"
"('Q7Z443', 'P40337')"
"('406938', 'P61073')"
"('P57086', 'O14978')"
"('P01112', 'P53779')"
"('Q5D1E8', 'Q12933')"
"('Q8NAF0', 'Q9NRH1')"
"('P04183', 'P29597')"
"('P30086', 'O43318')"
"('Q99759', 'Q8TAQ2')"
"('O00303', 'O60739')"
"('A0JLT2', 'Q13427')"
"('Q93008', 'Q96L34')"
"('P50395', 'Q13177')"
"('P42566', 'O75886')"
"('Q9P013', 'Q8WYA6')"
"('P31749', 'Q01201')"
"('Q9UQF2', 'P31749')"
"('P51451', 'P35222')"
"('P04406', 'P04183')"
"('Q96GF1', 'O14640')"
"('P30154', 'P36507')"
"('Q9NP95', 'P07333')"
"('O43143', 'Q86XP3')"
"('P12694', 'P21953')"
"('Q9P2K8', 'P10914')"
"('P37198', 'P19338')"
"('Q02750', 'P31152')"
"('Q7L190', 'Q99961')"
"('O15239', 'O75438')"
"('Q99836', 'O43187')"
"('Q9H0M0', 'Q9Y5W3')"
"('P56524', 'Q14526')"
"('P49768', 'Q6UX71')"
"('P08581', 'Q99963')"
"('Q9Y243', 'Q12778')"
"('P42224', 'P33076')"
"('P63279', 'Q13432')"
"('Q13368', 'Q8WV44')"
"('Q9UKL0', 'O60341')"
"('Q3MHD2', 'Q00005')"
"('O95433', 'Q15036')"
"('P26368', 'P26599')"
"('P08603', 'Q03591')"
"('P62269', 'Q13573')"
"('Q9P2P6', 'O95182')"
"('Q8IUC6', 'Q9UMX0')"
"('Q9Y6Q9', 'Q16539')"
"('343477', 'Q14164')"
"('P17858', 'P54259')"
"('Q9Y4K3', 'P09874')"
"('Q9Y5W5', 'P56705')"
"('Q15149', 'Q32MK0')"
"('P04141', 'Q99062')"
"('P01106', 'Q00341')"
"('P08603', 'P00751')"
"('Q15843', 'Q86XK2')"
"('P62158', 'Q9Y375')"
"('Q68EM7', 'Q9H4E5')"
"('Q9NSC5', 'P17676')"
"('P46777', 'P35609')"
"('Q03135', 'Q13393')"
"('Q9UBB5', 'Q13330')"
"('Q16637', 'O60506')"
"('P12814', 'Q9NP98')"
"('O75586', 'Q92731')"
"('P09429', 'P52701')"
"('Q8NFW9', 'P16333')"
"('P01008', 'P19174')"
"('P49716', 'P07333')"
"('Q13409', 'Q9BQE3')"
"('O75815', 'Q99460')"
"('Q99459', 'Q9BZD4')"
"('P38398', 'Q14676')"
"('P23025', 'Q9NS23')"
"('P29317', 'P46108')"
"('Q10586', 'Q86XP3')"
"('Q92994', 'P68400')"
"('P34932', 'Q04206')"
"('P01106', 'P11233')"
"('Q13315', 'O95251')"
"('Q9Y580', 'P61978')"
"('O14715', 'P63279')"
"('Q9UDY2', 'Q13813')"
"('P62745', 'O75116')"
"('Q9H8E8', 'Q92830')"
"('Q9HBW0', 'P62873')"
"('Q15027', 'Q9Y239')"
"('P49643', 'P27694')"
"('P84103', 'Q13242')"
"('Q07889', 'P14921')"
"('O95967', 'Q9H4K1')"
"('O75534', 'P01241')"
"('Q9Y6R4', 'Q14289')"
"('Q8IXL6', 'P04183')"
"('Q99062', 'P52333')"
"('O43294', 'P40337')"
"('P63215', 'P43657')"
"('O95166', 'Q8NI08')"
"('Q14164', 'P49720')"
"('Q9P2D1', 'Q9UBE8')"
"('P63218', 'O14827')"
"('Q9UNE7', 'P17844')"
"('Q96QV1', 'Q9UK22')"
"('O95983', 'Q9C0K0')"
"('P06756', 'Q07889')"
"('P25788', 'P52948')"
"('P10451', 'P17301')"
"('Q05086', 'Q9H9A7')"
"('O75909', 'Q16181')"
"('O60739', 'P84090')"
"('P34897', 'Q9Y478')"
"('P18846', 'Q7Z6J0')"
"('P49716', 'Q96E52')"
"('Q9Y3U8', 'Q02878')"
"('Q9Y678', 'Q9Y2Q3')"
"('Q16576', 'Q9HCU9')"
"('406992', 'Q15818')"
"('Q96QU8', 'P50552')"
"('Q14790', 'Q9Y6K9')"
"('O15525', 'Q9BYV9')"
"('O95990', 'P17812')"
"('P54253', 'Q14157')"
"('O75159', 'P38484')"
"('P30154', 'Q06190')"
"('Q8TEW0', 'P84022')"
"('Q13573', 'Q12996')"
"('Q99878', 'Q7Z2G1')"
"('Q9P2H0', 'P20042')"
"('Q9HAV0', 'P63096')"
"('P06729', 'O43586')"
"('Q02556', 'Q7L5N1')"
"('Q03519', 'P04222')"
"('Q9H3G5', 'O43660')"
"('Q9UBN6', 'P26640')"
"('Q9UNM6', 'O60739')"
"('Q12824', 'Q68CP9')"
"('O60603', 'P19838')"
"('O75581', 'Q2MKA7')"
"('P63261', 'P05556')"
"('P30086', 'P16871')"
"('P62249', 'P24941')"
"('Q9Y265', 'Q00653')"
"('O43924', 'Q92834')"
"('O95831', 'P16104')"
"('Q13501', 'P54725')"
"('P51003', 'O60508')"
"('Q99717', 'O00231')"
"('Q8TDY2', 'P15927')"
"('Q68EM7', 'P61586')"
"('P98095', 'P62910')"
"('Q9UKR5', 'Q5SZQ8')"
"('P49747', 'P10600')"
"('Q9H1Y0', 'P23921')"
"('P60510', 'P48643')"
"('Q15173', 'Q8IZS8')"
"('Q92793', 'P01562')"
"('O14497', 'P06400')"
"('P46940', 'Q05823')"
"('P53803', 'Q6P1J9')"
"('Q6P4R8', 'Q9Y265')"
"('P35626', 'Q8NGK3')"
"('P42575', 'Q12933')"
"('Q04206', 'P46531')"
"('Q14164', 'P57088')"
"('Q13485', 'P51153')"
"('Q13547', 'Q96KK5')"
"('Q00535', 'P61764')"
"('Q15788', 'Q92922')"
"('P78334', 'O95166')"
"('P06756', 'P50552')"
"('P31689', 'P35914')"
"('P02795', 'Q13585')"
"('Q53G59', 'Q9UBV8')"
"('Q05193', 'Q15811')"
"('P68363', 'P68371')"
"('P06213', 'Q92529')"
"('P78369', 'P57739')"
"('P31749', 'O14641')"
"('P36897', 'Q9UER7')"
"('O15379', 'Q9Y4E8')"
"('P30874', 'P27986')"
"('P51116', 'P38159')"
"('P20042', 'Q9Y4G2')"
"('Q9UKV0', 'O75376')"
"('Q8IZH2', 'Q9H583')"
"('O15479', 'P46781')"
"('P30559', 'O00305')"
"('Q9H993', 'Q14164')"
"('P55795', 'Q86V81')"
"('P27482', 'Q9H1R3')"
"('P21926', 'P13987')"
"('P06400', 'P62136')"
"('P61981', 'P40818')"
"('P00519', 'Q15642')"
"('Q96EV8', 'Q9UPN3')"
"('P09874', 'P12956')"
"('P67775', 'P31749')"
"('Q92925', 'P38398')"
"('P14923', 'Q00005')"
"('Q8IWV7', 'Q9NXU5')"
"('Q9H0B6', 'P05109')"
"('Q9BVJ7', 'P17405')"
"('Q00765', 'Q9UI14')"
"('Q92915', 'P35916')"
"('P35609', 'P22460')"
"('P63104', 'Q6WCQ1')"
"('O75578', 'Q13797')"
"('Q15796', 'Q92905')"
"('P35659', 'Q9UER7')"
"('Q14164', 'P31153')"
"('P12643', 'Q13873')"
"('Q8IW93', 'P60953')"
"('Q13191', 'P26992')"
"('P11171', 'P63261')"
"('P04406', 'Q13077')"
"('O15520', 'P08138')"
"('Q05086', 'O15198')"
"('O43586', 'Q96LW2')"
"('Q9P212', 'P24723')"
"('P43657', 'P63211')"
"('Q14254', 'Q03135')"
"('406952', 'P40763')"
"('Q13509', 'Q68CR1')"
"('P63220', 'P46783')"
"('O95466', 'O60861')"
"('Q92945', 'P31751')"
"('P46108', 'O95157')"
"('P17066', 'Q04864')"
"('Q9UM11', 'Q9NYG5')"
"('Q07812', 'Q16548')"
"('Q9UQM7', 'Q12968')"
"('P54578', 'Q08209')"
"('Q13642', 'P28482')"
"('Q96LD8', 'P62913')"
"('P28067', 'P01911')"
"('Q13233', 'O14733')"
"('P04350', 'Q12933')"
"('P01574', 'P10912')"
"('P29622', 'P20936')"
"('P48023', 'Q06187')"
"('Q8TEU8', 'P12644')"
"('P62273', 'Q9NY93')"
"('P50454', 'P18206')"
"('P51991', 'P62633')"
"('Q9HB58', 'P20073')"
"('Q9Y2Q3', 'Q8N163')"
"('P61927', 'Q9NY93')"
"('P63172', 'P21796')"
"('Q16695', 'P10145')"
"('P61956', 'Q14061')"
"('Q13888', 'P28715')"
"('Q14765', 'P01589')"
"('P08047', 'Q09472')"
"('P51116', 'Q9UBR4')"
"('P01730', 'P20036')"
"('P02686', 'Q9UEW8')"
"('O15530', 'Q9Y2X7')"
"('Q9UFF9', 'O75175')"
"('Q99062', 'Q14686')"
"('P60484', 'Q04864')"
"('Q9BRK5', 'P02766')"
"('P49454', 'Q15714')"
"('Q96AE4', 'Q92879')"
"('P61077', 'O94874')"
"('P46734', 'P26373')"
"('Q9HCN6', 'P06241')"
"('Q9ULZ3', 'Q96P20')"
"('O94761', 'Q8IWV7')"
"('Q9NQT4', 'Q01780')"
"('Q99608', 'Q9Y679')"
"('Q9NX02', 'O15111')"
"('Q16514', 'Q9H0E3')"
"('P12956', 'P15498')"
"('Q9Y5V3', 'P41252')"
"('P62330', 'Q01813')"
"('P40189', 'P42224')"
"('P08047', 'P20702')"
"('P51668', 'Q6UVK1')"
"('Q15428', 'Q96I25')"
"('O00750', 'P62993')"
"('O95832', 'P56748')"
"('Q16620', 'P00519')"
"('Q00653', 'P25445')"
"('Q66LE6', 'Q9Y580')"
"('Q15648', 'Q9NX70')"
"('O15042', 'Q86XP3')"
"('P40337', 'Q3ZAQ7')"
"('Q5JTV8', 'P62136')"
"('P17655', 'P20810')"
"('P11215', 'P51617')"
"('Q8NHR9', 'P60709')"
"('P21452', 'P29992')"
"('P40763', 'Q06187')"
"('Q5VTD9', 'Q14457')"
"('Q9BZ23', 'P63104')"
"('P01106', 'P78330')"
"('Q9H2G2', 'P54253')"
"('Q13585', 'P63096')"
"('O14920', 'Q9BVC4')"
"('Q13363', 'Q14526')"
"('P46781', 'Q9Y4K3')"
"('P31943', 'P84103')"
"('P78369', 'O95832')"
"('O15145', 'P12830')"
"('P08631', 'P42336')"
"('Q96MT8', 'Q14687')"
"('Q712K3', 'P52565')"
"('Q8N5C8', 'P27361')"
"('P27348', 'P50990')"
"('P18124', 'O00410')"
"('Q8N474', 'Q9Y6F9')"
"('P09234', 'Q15428')"
"('O15085', 'Q92730')"
"('P27348', 'O15530')"
"('O14933', 'Q9NVW2')"
"('P01889', 'Q16630')"
"('P67870', 'P27694')"
"('P54257', 'P50238')"
"('P42684', 'Q02779')"
"('Q70EL1', 'Q9H444')"
"('O60437', 'P08670')"
"('Q9UK32', 'Q75N90')"
"('Q00653', 'P63261')"
"('P06213', 'P98077')"
"('Q9P0L1', 'Q9Y5X1')"
"('P52757', 'Q7L0Q8')"
"('Q9H173', 'Q6ZT07')"
"('P04637', 'P25445')"
"('P56748', 'O95500')"
"('P51668', 'Q9BZY9')"
"('Q9H213', 'Q8N2W9')"
"('Q8N2H9', 'Q99558')"
"('P17612', 'Q16720')"
"('P35222', 'O43623')"
"('O14640', 'Q99755')"
"('Q14524', 'P02768')"
"('Q12933', 'Q96EK7')"
"('Q8NF67', 'Q969T4')"
"('O14802', 'Q9NVU0')"
"('P62241', 'Q9H4L4')"
"('A8TX70', 'P26010')"
"('P16220', 'O60292')"
"('Q13535', 'Q8IYD8')"
"('P63000', 'P19525')"
"('Q86YM7', 'O00329')"
"('P06493', 'Q4G163')"
"('P51784', 'Q9GZQ8')"
"('O43521', 'Q07812')"
"('O60216', 'Q9NRI5')"
"('P56134', 'Q9H1Y0')"
"('Q8IV45', 'Q04206')"
"('P00750', 'P09486')"
"('P27348', 'Q9P0K7')"
"('Q08999', 'P28749')"
"('Q5SRE5', 'Q8TEM1')"
"('P35222', 'P36402')"
"('P13984', 'P19387')"
"('Q9UNW9', 'P61978')"
"('P08514', 'P50552')"
"('O14744', 'P31946')"
"('P61313', 'P61513')"
"('Q5H9R7', 'P62993')"
"('Q70EL1', 'Q9BY43')"
"('P18146', 'Q8WXH6')"
"('P04183', 'Q8N6T3')"
"('P04626', 'Q05397')"
"('P61513', 'P32969')"
"('Q9NR46', 'P00558')"
"('Q13177', 'Q3V6T2')"
"('Q9ULA0', 'P01019')"
"('P18859', 'O75947')"
"('Q8TCT6', 'Q14CS0')"
"('P34931', 'Q15628')"
"('Q99750', 'Q9P0T4')"
"('Q13557', 'Q8IZS8')"
"('O00273', 'Q96NT1')"
"('Q13418', 'O43639')"
"('O00221', 'Q00610')"
"('Q15788', 'Q9BTK6')"
"('P11926', 'P67870')"
"('P20151', 'P05154')"
"('P09455', 'Q09028')"
"('Q9NRI5', 'Q14204')"
"('Q01201', 'O00626')"
"('Q9NYF0', 'O14641')"
"('P04156', 'O14936')"
"('P13232', 'Q8N6P7')"
"('O75943', 'Q9UM73')"
"('Q13242', 'P26368')"
"('O43707', 'P53708')"
"('Q15047', 'O00231')"
"('P33076', 'P14316')"
"('Q92624', 'P98175')"
"('Q9NV56', 'Q9H2F5')"
"('P26010', 'P19320')"
"('P60228', 'P47813')"
"('P01138', 'Q16620')"
"('P35606', 'Q92597')"
"('P27037', 'P37023')"
"('Q9Y5H6', 'P46108')"
"('P22694', 'P18847')"
"('P04049', 'Q8WYR1')"
"('P18146', 'Q9BZJ6')"
"('Q9NQB0', 'Q02535')"
"('Q07157', 'Q9Y5S2')"
"('P48169', 'O95166')"
"('P60709', 'Q04206')"
"('O76071', 'Q16795')"
"('O95500', 'P57739')"
"('P62945', 'Q07020')"
"('Q9Y2L1', 'Q06265')"
"('Q8IUQ4', 'P35222')"
"('O95602', '100008589')"
"('P84996', 'Q9UP65')"
"('P62249', 'P25398')"
"('Q8NA92', 'P63167')"
"('P08123', 'P05556')"
"('Q05513', 'Q15109')"
"('Q16827', 'P35222')"
"('84717', 'P49407')"
"('P07996', 'Q13797')"
"('P51671', 'P46092')"
"('Q13952', 'P12107')"
"('Q86YR5', 'P04899')"
"('P27487', 'P00813')"
"('O76003', 'Q70Z53')"
"('Q13309', 'P38936')"
"('Q13573', 'Q13501')"
"('P21675', 'Q9NVP2')"
"('Q9BWH2', 'Q9H1I8')"
"('P63279', 'P35398')"
"('P51149', 'P01889')"
"('P04637', 'Q9NYY3')"
"('Q99466', 'Q86Y01')"
"('Q9BRP4', 'P51665')"
"('P28222', 'Q9HAV0')"
"('P51946', 'P24941')"
"('Q9H583', 'Q9Y5V3')"
"('P01100', 'P04141')"
"('Q9P2W3', 'O00329')"
"('Q9UHI6', 'P57678')"
"('P35268', 'P55060')"
"('P51532', 'Q12824')"
"('P49716', 'P53567')"
"('O95433', 'Q9UN72')"
"('P33993', 'Q08945')"
"('P17931', 'Q8WUM4')"
"('P62937', 'P14209')"
"('P08621', 'Q15287')"
"('P01588', 'P17181')"
"('Q8WUB8', 'P52735')"
"('P29460', 'Q6UXL0')"
"('Q05519', 'Q13243')"
"('Q08999', 'P67775')"
"('Q04206', 'Q99759')"
"('O75376', 'P10826')"
"('Q9H6S1', 'A7MCY6')"
"('O95251', 'P54259')"
"('P62847', 'P62979')"
"('Q09472', 'P18146')"
"('P12757', 'P30260')"
"('P05000', 'Q9HBE5')"
"('Q86U86', 'Q13315')"
"('Q16665', 'P17948')"
"('P49368', 'Q13151')"
"('Q13573', 'Q9HCS7')"
"('P24043', 'P08514')"
"('P61247', 'P62701')"
"('P31946', 'Q96NE9')"
"('Q9HD36', 'Q07812')"
"('P42338', 'Q13733')"
"('Q9Y5V3', 'P53007')"
"('Q15528', 'Q96HR3')"
"('Q9Y478', 'Q53ET0')"
"('O75925', 'P10071')"
"('Q7L5N1', 'Q16363')"
"('Q92769', 'P33778')"
"('Q8NE71', 'Q9Y478')"
"('P05386', 'Q9UNX3')"
"('P36952', 'Q9Y6M0')"
"('P46527', 'P30281')"
"('Q8TEJ3', 'P63000')"
"('Q92752', 'P18564')"
"('Q16629', 'O75937')"
"('P23246', 'P19838')"
"('Q9NRI5', 'Q70YC5')"
"('Q8N122', 'P42345')"
"('Q13627', 'P08151')"
"('P43364', 'Q9Y2X8')"
"('Q9Y376', 'O95747')"
"('O75940', 'P49137')"
"('O43924', 'P61225')"
"('P07498', 'Q16531')"
"('Q99459', 'Q9Y490')"
"('P35638', 'Q07889')"
"('A8MT69', 'Q9NPD8')"
"('Q02040', 'Q9Y2I6')"
"('Q8IX04', 'P78317')"
"('O60784', 'P0CG48')"
"('Q05513', 'Q15334')"
"('Q9H251', 'O00159')"
"('Q9NXI6', 'P62256')"
"('P43405', 'P24394')"
"('Q02952', 'Q13642')"
"('Q9BRX2', 'O75746')"
"('Q86YV5', 'P31947')"
"('Q9NX55', 'P02774')"
"('Q7Z5R6', 'Q13573')"
"('P01106', 'Q15678')"
"('P52209', 'O95777')"
"('Q96T25', 'P16220')"
"('Q15759', 'O95644')"
"('Q6UXN9', 'Q9UJ70')"
"('Q96FV3', 'Q9P035')"
"('P30480', 'P26640')"
"('Q96BK5', 'Q15185')"
"('Q15843', 'P33991')"
"('P19838', 'Q04864')"
"('Q16566', 'O60266')"
"('P56524', 'Q96KG7')"
"('O95819', 'Q01780')"
"('P15172', 'P47928')"
"('P61513', 'P39023')"
"('Q8IV08', 'P04183')"
"('P49368', 'P12956')"
"('O15524', 'Q99665')"
"('Q13153', 'Q05397')"
"('Q92597', 'P23396')"
"('Q9UPS6', 'Q9P0U4')"
"('P60510', 'Q6NUP7')"
"('P12755', 'P10070')"
"('Q9H9B1', 'P24385')"
"('P37840', 'P28482')"
"('Q8N806', 'P68431')"
"('Q9UGN5', 'O76075')"
"('P06748', 'P0CG48')"
"('P27487', 'P13501')"
"('Q9UET6', 'Q9BSH4')"
"('Q8WXH5', 'Q99062')"
"('Q86YF9', 'Q13362')"
"('O95500', 'O95832')"
"('Q99956', 'Q15759')"
"('P11142', 'P14625')"
"('Q92979', 'Q93015')"
"('Q9NS00', 'P18146')"
"('Q13509', 'Q15012')"
"('Q9HBU1', 'Q07021')"
"('Q15118', 'Q12913')"
"('Q38SD2', 'P05109')"
"('P23468', 'Q13136')"
"('Q14683', 'Q13151')"
"('Q13432', 'P05109')"
"('Q9BVI4', 'Q9Y3Q8')"
"('P15735', 'Q8TD86')"
"('Q9UL03', 'Q99613')"
"('Q5VTD9', 'P61978')"
"('P09661', 'Q14164')"
"('Q9UKW4', 'P46940')"
"('P01106', 'P07741')"
"('P36897', 'Q9NR64')"
"('P52797', 'P07333')"
"('P55072', 'P13569')"
"('P08069', 'Q99963')"
"('Q7L590', 'P30281')"
"('P62136', 'O60391')"
"('Q9H2F5', 'O96019')"
"('Q14677', 'Q99459')"
"('P39687', 'P67775')"
"('P02461', 'P26006')"
"('Q96BK5', 'Q6ZRQ5')"
"('P17844', 'P40763')"
"('P04222', 'Q00610')"
"('O75694', 'O15504')"
"('O60763', 'O75365')"
"('P05814', 'Q14164')"
"('Q9ULV8', 'P27986')"
"('Q99717', 'Q96T60')"
"('407018', 'Q12778')"
