negatives
"('Q99759', 'Q9BV68')"
"('Q15797', 'Q96NW4')"
"('P30041', 'P10276')"
"('P43897', 'P23508')"
"('P47901', 'P30679')"
"('Q9BV68', 'P53350')"
"('O94874', 'P61077')"
"('Q13263', 'P30480')"
"('P19793', 'P37231')"
"('P10767', 'P00533')"
"('Q01201', 'P05387')"
"('Q93100', 'P27482')"
"('P16144', 'Q08043')"
"('P24385', 'P06400')"
"('Q9NRR5', 'P54253')"
"('P35354', 'P56524')"
"('Q01780', 'Q9NPD3')"
"('P31751', 'P49841')"
"('Q8WUW1', 'O60925')"
"('Q9Y228', 'Q9Y3A3')"
"('Q9P2D0', 'Q06187')"
"('P30466', 'P01732')"
"('P84095', 'O00401')"
"('P36897', 'P16070')"
"('P35626', 'Q9NQN1')"
"('Q16384', 'P12830')"
"('P35268', 'P39023')"
"('Q92901', 'P62829')"
"('O43719', 'O75554')"
"('P43487', 'P01889')"
"('Q9HAU4', 'P08581')"
"('O43889', 'Q68CJ9')"
"('Q9HCS7', 'Q13216')"
"('Q9Y5W5', 'Q9UBV4')"
"('O15264', 'Q00005')"
"('Q9Y6G9', 'Q9BQE3')"
"('P49720', 'O60739')"
"('P62993', 'Q14118')"
"('P51692', 'P16871')"
"('Q92565', 'P61224')"
"('P51955', 'Q9BV73')"
"('Q96GF1', 'P51668')"
"('P01589', 'P61586')"
"('Q8NHW4', 'P32246')"
"('O15371', 'Q13347')"
"('P04629', 'O00329')"
"('O60318', 'Q9H5J8')"
"('P40337', 'P33176')"
"('Q00266', 'P38398')"
"('P62330', 'Q9H993')"
"('Q07890', 'P00519')"
"('O14640', 'Q8N4C8')"
"('Q86Y82', 'P46459')"
"('Q04912', 'P63104')"
"('Q9UFF9', 'Q9HB71')"
"('P12107', 'Q9UKX5')"
"('P51817', 'P54284')"
"('O14907', 'Q15560')"
"('O75030', 'O14948')"
"('P01871', 'Q01196')"
"('Q9HCE7', 'O14641')"
"('P20701', 'P15498')"
"('P00519', 'O15117')"
"('Q9H2G2', 'Q8TEW0')"
"('Q9BXL7', 'Q9UDY8')"
"('Q9UBP5', 'P51532')"
"('Q99836', 'Q14653')"
"('Q9H5I1', 'Q9NS23')"
"('P28347', 'P20226')"
"('O15263', 'P05204')"
"('P02768', 'Q8IWB4')"
"('P32298', 'P49238')"
"('Q8NFH5', 'Q8NFH3')"
"('Q96GD3', 'P17152')"
"('Q9GZV5', 'Q99594')"
"('Q13554', 'Q06432')"
"('P42336', 'P35222')"
"('Q9P212', 'P17252')"
"('P05386', 'P61077')"
"('P00519', 'P68366')"
"('Q96B26', 'Q9NQT5')"
"('Q96ES7', 'Q9NR33')"
"('Q969Q5', 'Q13835')"
"('O43921', 'P21709')"
"('Q86YW0', 'Q05513')"
"('P12314', 'Q8N6C8')"
"('O60739', 'Q12888')"
"('Q9BY78', 'Q9Y2X8')"
"('Q969V5', 'Q969T4')"
"('Q9BV79', 'P10276')"
"('Q9UHD0', 'P40238')"
"('Q99460', 'Q5VTR2')"
"('406887', 'P01112')"
"('Q96A33', 'Q9Y5J5')"
"('P51170', 'O00308')"
"('Q92620', 'Q13247')"
"('P02452', 'P23229')"
"('Q9C086', 'Q9Y230')"
"('Q96A08', 'Q16777')"
"('O60739', 'P05198')"
"('Q15029', 'Q13123')"
"('P21554', 'P09471')"
"('Q969T4', 'Q9P0P0')"
"('Q96ST3', 'Q9HCU9')"
"('Q15637', 'P98175')"
"('P98160', 'P17301')"
"('Q96EP1', 'Q15078')"
"('P55075', 'Q02763')"
"('P22105', 'P08648')"
"('Q14691', 'Q9UNS1')"
"('P22612', 'P27482')"
"('O15111', 'Q86WI3')"
"('O43597', 'Q07889')"
"('406938', 'Q13158')"
"('P12931', 'P43699')"
"('Q9Y4E8', 'P51784')"
"('P0CG48', 'Q12933')"
"('Q8N6H7', 'O15397')"
"('Q7Z5R6', 'Q13573')"
"('Q7RTN6', 'P54646')"
"('P12931', 'P22681')"
"('Q9ULA0', 'Q9UJU6')"
"('O75494', 'Q13595')"
"('Q96F46', 'Q8NFM7')"
"('P09884', 'Q9UHY7')"
"('Q9NS91', 'Q13573')"
"('P62857', 'P39019')"
"('574032', 'P38936')"
"('Q13621', 'P05062')"
"('Q12788', 'Q9NZM3')"
"('P51970', 'P01106')"
"('406930', 'P08134')"
"('P17844', 'Q9Y6E0')"
"('Q86U70', 'P17542')"
"('Q15628', 'O95831')"
"('P29401', 'P30480')"
"('P26232', 'P35222')"
"('O14950', 'P63261')"
"('O75822', 'P60228')"
"('P18146', 'Q15723')"
"('Q9BUF5', 'Q13748')"
"('P33992', 'P33993')"
"('Q15642', 'P19793')"
"('P54259', 'Q5JSZ5')"
"('Q08117', 'Q9Y6H5')"
"('O00463', 'Q9Y6Q6')"
"('Q9H1J5', 'Q9H461')"
"('O14775', 'P40145')"
"('P50151', 'Q01668')"
"('Q04912', 'P36873')"
"('P11171', 'P24534')"
"('P35626', 'Q8NGE3')"
"('Q9UM22', 'Q9NRR5')"
"('Q12933', 'P17858')"
"('Q14696', 'O60885')"
"('Q8TEC5', 'P61088')"
"('Q9UKB1', 'P63208')"
"('P27986', 'P15509')"
"('P09486', 'Q13418')"
"('O60508', 'O75937')"
"('Q9H1D0', 'P18031')"
"('P54750', 'P42858')"
"('Q92560', 'P51965')"
"('P49459', 'Q00987')"
"('P18848', 'Q99871')"
"('Q9Y5X1', 'Q05193')"
"('Q15942', 'P50552')"
"('Q9HB07', 'P08238')"
"('Q13952', 'P27797')"
"('P56524', 'Q5QNW6')"
"('P35609', 'O60262')"
"('P55884', 'P60228')"
"('P53611', 'P10398')"
"('P26641', 'Q15046')"
"('P28749', 'Q9Y5X4')"
"('Q9NR96', 'Q8IV63')"
"('Q16637', 'A0JLT2')"
"('P01127', 'P00533')"
"('P04062', 'P07602')"
"('Q15233', 'Q13573')"
"('P08107', 'P46379')"
"('Q9Y265', 'P68133')"
"('P03923', 'P56556')"
"('Q9NR46', 'Q9UQ80')"
"('Q8WXI7', 'P17931')"
"('P35626', 'Q9GZK3')"
"('Q9UL18', 'Q9NWT1')"
"('P23508', 'Q15691')"
"('P68363', 'Q14204')"
"('P26641', 'P24534')"
"('Q13114', 'Q9Y6K9')"
"('P55795', 'Q13242')"
"('P16220', 'P51816')"
"('P16070', 'Q12891')"
"('O96019', 'Q9H2F5')"
"('P29374', 'Q13547')"
"('Q07020', 'P61513')"
"('P32119', 'P10599')"
"('Q9UQM7', 'O43306')"
"('Q01113', 'P63104')"
"('Q01844', 'Q9H173')"
"('P21246', 'Q9NQZ2')"
"('Q9BUE0', 'Q9BWU1')"
"('Q8TBB1', 'P43364')"
"('Q9P2J5', 'P63104')"
"('O00327', 'P10276')"
"('P62195', 'Q13573')"
"('P06241', 'P16885')"
"('P25786', 'Q9UET6')"
"('O14818', 'P30480')"
"('O75593', 'Q15583')"
"('P14618', 'P08238')"
"('P30307', 'Q14738')"
"('P08151', 'O95409')"
"('Q13131', 'Q15717')"
"('P61586', 'P21980')"
"('Q14161', 'P98174')"
"('P63000', 'Q13177')"
"('Q15834', 'P38936')"
"('Q8WUI4', 'P55212')"
"('Q13233', 'P19838')"
"('Q9UKW4', 'P62316')"
"('P28698', 'Q13952')"
"('P49639', 'Q99750')"
"('P27361', 'Q92731')"
"('O43390', 'P16104')"
"('O75376', 'Q96EB6')"
"('P35626', 'Q8NG83')"
"('P0C1Z6', 'P55199')"
"('O95613', 'Q9NRI5')"
"('Q96LZ3', 'O94916')"
"('P49792', 'P61956')"
"('P12318', 'O75019')"
"('P51843', 'P35398')"
"('O14717', 'Q5UIP0')"
"('P31749', 'O43187')"
"('Q00005', 'P11498')"
"('Q13136', 'O75334')"
"('P31946', 'P04049')"
"('P35626', 'Q8NH90')"
"('P20226', 'Q00987')"
"('Q9Y2X8', 'Q14139')"
"('P29083', 'P32780')"
"('P10912', 'Q9NSE2')"
"('P62424', 'P62899')"
"('Q9NPH9', 'Q14627')"
"('Q9P2H0', 'P46459')"
"('Q9ULV8', 'P48736')"
"('Q8IYF3', 'Q96IQ9')"
"('Q9UI26', 'O75365')"
"('O14544', 'Q14627')"
"('Q96NZ8', 'P34820')"
"('O94829', 'Q9BUZ4')"
"('O43186', 'Q99750')"
"('P15311', 'P35240')"
"('Q99879', 'Q8IUE6')"
"('Q8TES7', 'Q15834')"
"('P40763', 'P51813')"
"('O60260', 'Q13616')"
"('P00749', 'P35237')"
"('Q6WCQ1', 'P05141')"
"('P51531', 'O14497')"
"('Q9NZW4', 'Q15365')"
"('P55773', 'P51679')"
"('P62888', 'P32969')"
"('Q9NWA0', 'Q71SY5')"
"('P61313', 'Q99558')"
"('P01730', 'P02786')"
"('P18146', 'O15105')"
"('P50613', 'P24385')"
"('O60563', 'O60885')"
"('Q13111', 'Q9H9D4')"
"('Q13535', 'Q6PJP8')"
"('P26885', 'Q9Y6D6')"
"('O75446', 'P01106')"
"('P13747', 'Q8N743')"
"('P62979', 'Q9Y6K9')"
"('P45973', 'P16403')"
"('Q16821', 'P62140')"
"('Q14161', 'Q12802')"
"('Q9UKK6', 'P52948')"
"('Q9HAW0', 'Q16082')"
"('P83876', 'O95400')"
"('P62263', 'P39019')"
"('O60504', 'P00519')"
"('Q8N9W6', 'Q9NQZ3')"
"('Q9NRX1', 'Q9Y4K3')"
"('P41236', 'P62136')"
"('Q13114', 'P51617')"
"('Q13418', 'P20618')"
"('P42262', 'Q12840')"
"('P55735', 'Q9Y6B6')"
"('Q9Y230', 'Q9Y4K3')"
"('P46459', 'P07332')"
"('Q9NYF8', 'P18146')"
"('P61956', 'Q7Z3J3')"
"('Q13310', 'P15170')"
"('P84022', 'P18847')"
"('P22694', 'O95644')"
"('Q9UGJ0', 'Q9NQR9')"
"('P17612', 'P14415')"
"('Q8IWW6', 'P63000')"
"('P11532', 'Q01484')"
"('Q16629', 'Q9BUJ2')"
"('P22607', 'P43235')"
"('P46778', 'Q92901')"
"('O15297', 'Q13535')"
"('P10914', 'P0CG48')"
"('Q86X55', 'P61978')"
"('P36578', 'Q00005')"
"('P13807', 'O15488')"
"('P01106', 'O43143')"
"('406911', 'P42771')"
"('P61978', 'Q93062')"
"('Q401N2', 'Q92973')"
"('Q13233', 'Q05639')"
"('O00291', 'P53675')"
"('Q13164', 'P28324')"
"('O75940', 'Q12874')"
"('Q96NZ8', 'P12645')"
"('P28065', 'P03372')"
"('Q13077', 'Q5VTD9')"
"('P57721', 'P26599')"
"('Q15797', 'P35711')"
"('P10645', 'Q16543')"
"('Q15560', 'Q96B36')"
"('O75400', 'O75925')"
"('Q01113', 'P55072')"
"('P49023', 'Q15262')"
"('O15162', 'Q05516')"
"('P01241', 'Q99062')"
"('Q13573', 'O60264')"
"('P61966', 'P61026')"
"('Q9H422', 'P53671')"
"('P35638', 'Q9NPF7')"
"('P20023', 'P60033')"
"('Q13153', 'Q32MK0')"
"('P58753', 'O15528')"
"('P29317', 'Q9NQ66')"
"('Q7Z3B3', 'Q12933')"
"('Q9HBG4', 'Q92870')"
"('P20333', 'Q92538')"
"('P20810', 'P16333')"
"('P11142', 'Q9UKG9')"
"('O15111', 'Q9Y4H2')"
"('Q12778', 'P01584')"
"('Q07157', 'P63267')"
"('P18124', 'P83731')"
"('Q9BVA1', 'P68366')"
"('Q96KM6', 'Q01831')"
"('Q14669', 'A5YM72')"
"('Q15906', 'Q9H2F5')"
"('A8TX70', 'P08648')"
"('P15407', 'P23025')"
"('Q13137', 'Q9NVV4')"
"('Q8IZJ0', 'Q01344')"
"('O75438', 'Q86Y39')"
"('P05019', 'Q02763')"
"('O94805', 'P38936')"
"('Q9BW61', 'Q9C0C7')"
"('P63104', 'P52597')"
"('P49336', 'O95402')"
"('Q8WVJ2', 'O60739')"
"('P08962', 'Q92574')"
"('P22681', 'P27986')"
"('P24941', 'Q14CX7')"
"('Q15020', 'P10275')"
"('Q9Y566', 'O60241')"
"('Q71U36', 'P49841')"
"('Q13972', 'P01116')"
"('Q08495', 'P62314')"
"('P61313', 'P61927')"
"('O14776', 'Q15365')"
"('Q12800', 'P49023')"
"('Q9H5J4', 'Q9BXW9')"
"('Q15311', 'Q96CW1')"
"('Q9HC44', 'P60228')"
"('Q06830', 'Q14653')"
"('P63151', 'Q92736')"
"('Q13123', 'O00267')"
"('O43707', 'P26232')"
"('P07992', 'Q92889')"
"('P08729', 'Q06124')"
"('P37173', 'P61586')"
"('Q9UNX3', 'P62829')"
"('P68363', 'Q9Y3M8')"
"('P42229', 'P60484')"
"('P63000', 'P19878')"
"('Q9P0W0', 'Q01344')"
"('P30511', 'Q03518')"
"('Q15428', 'O43719')"
"('Q15428', 'Q13435')"
"('Q9H8Y8', 'O14974')"
"('P51991', 'Q00839')"
"('P07355', 'P23508')"
"('Q9Y275', 'O75888')"
"('P12956', 'P04083')"
"('Q16531', 'Q01831')"
"('Q86TM6', 'P54259')"
"('Q9UBB5', 'Q16576')"
"('O43516', 'Q14247')"
"('Q02790', 'P04150')"
"('P61326', 'Q9BZI7')"
"('P19174', 'P00519')"
"('Q9H0R8', 'P40939')"
"('O95944', 'O43914')"
"('P05771', 'P62993')"
"('P35226', 'P0C0S5')"
"('Q96PU5', 'Q15303')"
"('Q6RSH7', 'Q9NSA3')"
"('Q9H1C4', 'Q99805')"
"('P29074', 'P46100')"
"('Q32MK0', 'Q96A32')"
"('P24043', 'Q496J9')"
"('P19338', 'P63104')"
"('Q8N806', 'O75808')"
"('Q13094', 'P20273')"
"('Q8IY92', 'P67870')"
"('Q9UNW9', 'P61978')"
"('P19012', 'O95751')"
"('P55157', 'P78524')"
"('Q9NX08', 'Q9Y320')"
"('O95983', 'Q86YP4')"
"('P46782', 'P62081')"
"('Q14956', 'Q13485')"
"('P50616', 'Q96GD3')"
"('P62913', 'Q9UNX3')"
"('P58401', 'Q8N2Q7')"
"('Q13404', 'Q13064')"
"('P08069', 'Q9H201')"
"('Q13098', 'Q9BT78')"
"('Q86V81', 'Q01081')"
"('Q9UHX1', 'Q96DG6')"
"('P01889', 'Q9Y295')"
"('Q9BQG0', 'Q7L2E3')"
"('O14818', 'P23508')"
"('Q13625', 'Q9HBG4')"
"('P42261', 'P07948')"
"('Q8N8D1', 'O75400')"
"('P18564', 'P28482')"
"('P46940', 'P58107')"
"('P55001', 'P98160')"
"('Q99759', 'O15111')"
"('Q15428', 'O43684')"
"('P32241', 'P03989')"
"('Q96G75', 'Q01844')"
"('P11142', 'O75528')"
"('P06239', 'Q9NP31')"
"('Q53EL6', 'P05386')"
"('O00221', 'P04350')"
"('Q9UMS4', 'Q15428')"
"('Q92922', 'O15360')"
"('P01106', 'O75528')"
"('Q07889', 'P68032')"
"('P04049', 'O15264')"
"('O95182', 'O95298')"
"('P30304', 'Q13464')"
"('P49662', 'Q6UB35')"
"('P62304', 'P62314')"
"('P55036', 'P30480')"
"('Q15853', 'Q9NZT1')"
"('P37231', 'P16671')"
"('Q9Y6K9', 'P46531')"
"('Q9HCS7', 'O60231')"
"('P05387', 'Q92901')"
"('Q13555', 'P21333')"
"('A5YKK6', 'P61421')"
"('O95759', 'P14923')"
"('Q86SQ9', 'Q9GZT8')"
"('Q9NRH3', 'Q9NY65')"
"('P50914', 'P62913')"
"('Q9UK45', 'P62318')"
"('Q96LZ3', 'O95644')"
"('O95267', 'P10301')"
"('P42574', 'Q13813')"
"('P62993', 'P46781')"
"('Q9ULZ3', 'Q16666')"
"('P17612', 'P04899')"
"('Q15796', 'Q14686')"
"('Q8N3U4', 'Q02224')"
"('O95402', 'O75586')"
"('P43405', 'P15498')"
"('P01857', 'Q8IZC4')"
"('P05129', 'P16885')"
"('Q9NQ92', 'P68431')"
"('Q15796', 'Q13219')"
"('O95049', 'O14493')"
"('P62979', 'P09936')"
"('O15514', 'P62875')"
"('P63096', 'P59768')"
"('O43464', 'Q13490')"
"('O15533', 'P01889')"
"('Q8WUM4', 'P12931')"
"('Q96EE3', 'Q99567')"
"('O96015', 'Q5TD97')"
"('P60709', 'P26232')"
"('Q8TEW0', 'P57087')"
"('Q86Y56', 'P49662')"
"('P12109', 'P13612')"
"('P41091', 'O60739')"
"('Q14139', 'Q9Y2X8')"
"('P00519', 'P78357')"
"('Q16630', 'O43809')"
"('P30153', 'Q9BX67')"
"('P52798', 'P06213')"
"('Q86YS3', 'O75808')"
"('Q12996', 'Q9H0L4')"
"('P23297', 'Q00987')"
"('O75446', 'Q92769')"
"('Q9Y2X8', 'Q86Y13')"
"('P01100', 'Q92731')"
"('P60604', 'Q8IYW5')"
"('Q9ULV8', 'Q9Y371')"
"('Q15139', 'P02795')"
"('Q14832', 'P62879')"
"('O15162', 'Q8N9H8')"
"('O75618', 'Q9P031')"
"('Q9HB71', 'P29372')"
"('Q9UL18', 'P47914')"
"('Q99942', 'Q7Z434')"
"('P30153', 'Q00005')"
"('P21860', 'Q8WYR1')"
"('P01570', 'Q14627')"
"('P60033', 'P01889')"
"('P39023', 'P27635')"
"('Q02447', 'P22301')"
"('Q15831', 'P07900')"
"('Q13683', 'P05556')"
"('P17844', 'O95819')"
"('Q96ST3', 'Q06455')"
"('P46379', 'P20073')"
"('P60660', 'P62993')"
"('Q5JR59', 'O00444')"
"('Q8WXA9', 'O75526')"
"('Q01844', 'Q9UHX1')"
"('Q14194', 'Q6P1K2')"
"('P11473', 'P41235')"
"('Q70Z53', 'Q86VF5')"
"('O00505', 'Q9GZX7')"
"('P36894', 'O15198')"
"('P30260', 'Q9UJX3')"
"('Q8WV22', 'Q96MF7')"
"('P24941', 'Q99708')"
"('P51965', 'P51668')"
"('Q13263', 'P36406')"
"('Q9Y6D9', 'Q9UM11')"
"('P63279', 'Q7Z333')"
"('Q96B97', 'P16234')"
"('P08631', 'Q03405')"
"('P19174', 'P47712')"
"('P68036', 'P22681')"
"('P63104', 'Q99959')"
"('P19838', 'P35579')"
"('Q9BSM1', 'Q5VVX9')"
"('Q5T3J3', 'Q9BWV1')"
"('O43463', 'P68431')"
"('P16220', 'Q14692')"
"('Q9BV47', 'Q16539')"
"('O94817', 'P15104')"
"('O75586', 'Q93074')"
"('P0CG48', 'P35232')"
"('P14555', 'P18054')"
"('O14730', 'P40616')"
"('O95149', 'Q16643')"
"('Q15907', 'Q9ULV0')"
"('Q9UJX6', 'O00762')"
"('P53618', 'O15155')"
"('P53985', 'Q15714')"
"('P13797', 'Q14164')"
"('P06870', 'P05154')"
"('P67809', 'Q8WXA9')"
"('Q15717', 'P62140')"
"('P17931', 'P11215')"
"('P62633', 'Q00577')"
"('P26368', 'Q07666')"
"('Q96NA2', 'P68363')"
"('P01106', 'O96020')"
"('Q15418', 'O43683')"
"('O14492', 'P09619')"
"('P20809', 'P43364')"
"('P46531', 'P12644')"
"('Q9NSC5', 'Q9UPX8')"
"('Q8N5U6', 'Q96LR5')"
"('P62993', 'P16144')"
"('Q9NPB9', 'O43927')"
"('Q9C005', 'O15047')"
"('P29083', 'P29084')"
"('P46108', 'Q92988')"
"('Q92769', 'O75446')"
"('P63218', 'Q13698')"
"('Q9UMX0', 'P54252')"
"('P01375', 'O15111')"
"('P20333', 'P51571')"
"('P42166', 'Q9NX70')"
"('P54259', 'O00468')"
"('Q9NX58', 'Q86UE4')"
"('P01871', 'Q9P209')"
"('Q14152', 'Q9UL03')"
"('Q15036', 'P55157')"
"('Q9NRR5', 'P04279')"
"('P32969', 'O96007')"
"('P22415', 'P12956')"
"('Q99598', 'Q15631')"
"('P26196', 'P26368')"
"('Q9Y478', 'Q9NQC3')"
"('O75807', 'Q99933')"
"('P17612', 'Q9NY47')"
"('Q9H4A3', 'P10644')"
"('O75367', 'P62805')"
"('O60264', 'P01106')"
"('Q13797', 'O75369')"
"('P01877', 'O14519')"
"('O00329', 'Q9UKM9')"
"('343477', 'Q9BRP4')"
"('P19438', 'P35579')"
"('Q86U06', 'O43251')"
"('Q08211', 'Q13573')"
"('P49768', 'O00548')"
"('Q8TDZ2', 'P24522')"
"('Q7Z7A1', 'Q16659')"
"('Q14686', 'P60709')"
"('P85298', 'Q07890')"
"('P40337', 'P09661')"
"('Q16637', 'Q9UPQ3')"
"('P09619', 'Q9BQ66')"
"('Q8N806', 'P15735')"
"('Q14738', 'P54289')"
"('P12956', 'P56182')"
"('P09917', 'P27695')"
"('Q14103', 'Q9BUJ2')"
"('Q9NQX6', 'Q05397')"
"('Q14155', 'O60880')"
"('Q5SRE5', 'O75694')"
"('P60673', 'Q07889')"
"('Q9UJU2', 'P24385')"
"('P63096', 'P16473')"
"('O94762', 'O43312')"
"('Q14511', 'Q15797')"
"('P45985', 'O14733')"
"('P32969', 'P16220')"
"('P05386', 'P62945')"
"('P04626', 'P35568')"
"('P10275', 'TZF')"
"('P13010', 'P45985')"
"('P46013', 'P06241')"
"('Q86US8', 'Q9Y5P8')"
"('Q9NRR5', 'P52789')"
"('P62805', 'Q9NWM8')"
"('Q9Y4R7', 'Q86XS8')"
"('Q9NRD5', 'P11234')"
"('Q9P2G9', 'Q92882')"
"('O75815', 'P35637')"
"('P04150', 'Q13263')"
"('P55055', 'P48443')"
"('P00519', 'P01106')"
"('P08670', 'Q8N283')"
"('Q03518', 'Q86V81')"
"('Q96I34', 'Q96B86')"
"('Q3ZCQ8', 'P19438')"
"('Q9H1D9', 'O14802')"
"('Q9Y2X8', 'Q9BZR9')"
"('P42166', 'Q9NWA0')"
"('Q9UHB7', 'Q03111')"
"('O75800', 'Q6PCD5')"
"('P00533', 'Q99961')"
"('O43353', 'P11142')"
"('Q13153', 'Q9H1R3')"
"('O14530', 'O95163')"
"('O96017', 'Q14676')"
"('P21333', 'P16144')"
"('P51946', 'P37231')"
"('Q01201', 'Q93009')"
"('P48357', 'P12931')"
"('P47914', 'P18077')"
"('Q92769', 'Q6FI13')"
"('O43521', 'Q9NP97')"
"('P55795', 'Q14683')"
"('P18754', 'Q13509')"
"('P06241', 'Q13322')"
"('Q15126', 'Q00169')"
"('Q02543', 'P83881')"
"('Q9C0I1', 'Q13614')"
"('P36954', 'P19388')"
"('Q9Y2J2', 'O95433')"
"('P38398', 'P16220')"
"('Q96DU9', 'Q96EP5')"
"('Q96B36', 'Q13352')"
"('O00629', 'P19838')"
"('P00519', 'P11274')"
"('P84996', 'P59768')"
"('Q13617', 'O75365')"
"('P33076', 'Q14324')"
"('Q16512', 'Q15834')"
"('P14784', 'Q15464')"
"('P55072', 'Q9P2S5')"
"('P84243', 'Q9UNL4')"
"('P29372', 'P51665')"
"('Q92793', 'P0C7U1')"
"('P16220', 'P43629')"
"('O15068', 'Q9UL18')"
"('Q9Y4E8', 'Q9BT78')"
"('P34897', 'Q92597')"
"('Q9H8E8', 'P51610')"
"('Q5VVX9', 'Q9NYG5')"
"('Q9Y3F4', 'Q15796')"
"('P32121', 'Q8NGZ5')"
"('P28482', 'Q9BRR9')"
"('P35813', 'O14641')"
"('Q13573', 'P50552')"
"('O95551', 'P14921')"
"('Q99832', 'Q6WCQ1')"
"('P12956', 'Q08211')"
"('P00519', 'P26992')"
"('P67775', 'P54289')"
"('Q9Y6N6', 'Q496J9')"
"('P27348', 'Q14934')"
"('Q5JSL3', 'P08134')"
"('P62258', 'P51991')"
"('P31947', 'Q08AE8')"
"('P78369', 'O95832')"
"('Q13485', 'P11233')"
"('O00311', 'O43913')"
"('Q8IU54', 'Q9UHF4')"
"('O60291', 'Q9NPD8')"
"('Q9BUJ2', 'P52948')"
"('P26022', 'P02745')"
"('Q15173', 'O60840')"
"('Q6IBS0', 'P52907')"
"('Q14697', 'P48634')"
"('Q9UMZ2', 'Q9UJY4')"
"('Q9Y243', 'Q92574')"
"('Q9H582', 'P18146')"
"('Q15714', 'Q9Y678')"
"('P36954', 'Q6PD62')"
"('O75015', 'O75023')"
"('Q9UNS2', 'P01889')"
"('O60739', 'Q15369')"
"('P61077', 'O95376')"
"('O60504', 'P24278')"
"('Q03135', 'P08183')"
"('P00439', 'P52597')"
"('P08708', 'P35544')"
"('P62195', 'Q99459')"
"('Q5S007', 'P31749')"
"('P32121', 'Q8NGT9')"
"('O14579', 'Q99816')"
"('O00472', 'Q15306')"
"('Q9Y5S9', 'P62495')"
"('P98170', 'Q13490')"
"('P08648', 'P06756')"
"('P43403', 'P31749')"
"('Q9Y4A5', 'Q13315')"
"('Q8NH40', 'P38405')"
"('Q8TCT6', 'P62195')"
"('P51686', 'O60674')"
"('P05388', 'P39023')"
"('P84103', 'Q13573')"
"('O43681', 'P02766')"
"('P07333', 'O00459')"
"('O60343', 'Q96SN8')"
"('Q7L5N1', 'Q09472')"
"('Q15834', 'Q9BRK4')"
"('P30443', 'Q13241')"
"('Q8NH04', 'P38405')"
"('P08631', 'Q13177')"
"('P41220', 'Q9P244')"
"('P08908', 'P04899')"
"('P17693', 'Q07444')"
"('Q13315', 'P04792')"
"('Q14197', 'P82673')"
"('P49754', 'Q7L1V2')"
"('P49366', 'P62330')"
"('P27635', 'P39023')"
"('P02549', 'Q8N8S7')"
"('P11308', 'P17947')"
"('P78556', 'P19838')"
"('Q96ST3', 'Q04206')"
"('Q9Y478', 'O00418')"
"('P62195', 'Q96SN8')"
"('P10599', 'O95990')"
"('P29992', 'P04054')"
"('Q13177', 'P23526')"
"('P07437', 'Q9NYJ8')"
"('Q6UN15', 'Q6P1J9')"
"('O95816', 'Q99759')"
"('O60282', 'O95295')"
"('P12931', 'P31995')"
"('P40939', 'Q14197')"
"('Q969H0', 'Q9H3D4')"
"('Q16531', 'Q5TAQ9')"
"('Q9UJY4', 'Q13526')"
"('Q9UGI9', 'Q13085')"
"('Q08117', 'P35222')"
"('Q04206', 'Q12933')"
"('Q13485', 'Q969H4')"
"('Q6PEY2', 'Q9BUF5')"
"('Q6P3X3', 'O00238')"
"('P01730', 'Q05397')"
"('P20333', 'O14735')"
"('P30480', 'P60900')"
"('P07910', 'Q8TAP4')"
"('P63000', 'O94929')"
"('Q01974', 'P56703')"
"('Q99759', 'P36873')"
"('Q9BQD7', 'Q9Y383')"
"('P63096', 'P81274')"
"('P54253', 'Q5JSZ5')"
"('Q9BXW9', 'P38398')"
"('Q71U36', 'Q99836')"
"('Q9H8Y8', 'P37198')"
"('Q9UKV8', 'P62244')"
"('P54792', 'Q05397')"
"('P40763', 'P42224')"
"('Q5D1E8', 'O43187')"
"('P62899', 'P61254')"
"('Q9H171', 'P56545')"
"('Q86WV6', 'Q96KA5')"
"('P62280', 'P42677')"
"('Q9NRR5', 'Q7Z3S9')"
"('P51965', 'Q96BH1')"
"('O75529', 'Q9Y6J9')"
"('P04275', 'Q99759')"
"('Q15653', 'P34931')"
"('P04279', 'P17252')"
"('P62263', 'Q04206')"
"('Q9BXW9', 'Q92878')"
"('P15407', 'P18848')"
"('Q12929', 'Q9UQB8')"
"('Q9NPH0', 'O60262')"
"('Q16659', 'Q8NAV1')"
"('Q9H9G7', 'Q9Y657')"
"('P78504', 'P46531')"
"('Q5VTD9', 'Q9GZT9')"
"('Q01094', 'P04198')"
"('P20226', 'P17480')"
"('O60506', 'P78527')"
"('P53779', 'P35354')"
"('P31749', 'P30291')"
"('P12314', 'Q16539')"
"('P38398', 'Q09472')"
"('P53004', 'P15336')"
"('P49023', 'P26006')"
"('P40337', 'Q9Y266')"
"('Q15796', 'Q13526')"
"('P09769', 'P98082')"
"('O00311', 'Q13111')"
"('Q5VYV7', 'Q9BTK6')"
"('Q13131', 'P01303')"
"('Q12933', 'P46527')"
"('O15169', 'Q155Q3')"
"('Q01484', 'P11532')"
"('P04156', 'Q92913')"
"('Q9UJY1', 'O95817')"
"('O75843', 'Q9UMZ2')"
"('Q15323', 'Q00005')"
"('P43403', 'O00459')"
"('P17844', 'P31942')"
"('P61964', 'Q9Y5Z7')"
"('O15479', 'P62807')"
"('Q9NW61', 'Q8N4B1')"
"('Q15428', 'P62995')"
