negatives
"('Q8NAT1', 'P05067')"
"('P35579', 'Q01449')"
"('Q16637', 'Q15047')"
"('P62917', 'P62753')"
"('P39656', 'O00264')"
"('Q9UBX7', 'P68366')"
"('P51668', 'Q8IYW5')"
"('O75643', 'Q86UX7')"
"('P13284', 'Q49AM3')"
"('Q9Y450', 'P41091')"
"('O43521', 'Q8IUC4')"
"('P27482', 'O94782')"
"('Q9NX55', 'O75312')"
"('Q7Z6Z7', 'Q92769')"
"('P62993', 'P13797')"
"('Q99615', 'P11021')"
"('Q13049', 'O00560')"
"('Q13794', 'Q92985')"
"('Q9ULH1', 'P12931')"
"('Q96KQ7', 'Q8NBV4')"
"('P04792', 'Q9H0M0')"
"('Q15007', 'Q9HCE5')"
"('P61006', 'Q9NX63')"
"('Q9Y264', 'P09619')"
"('O60260', 'P25789')"
"('Q5JUK9', 'O43765')"
"('A0JLT2', 'Q9BVI4')"
"('O75717', 'P46379')"
"('O14788', 'Q9Y6Q6')"
"('Q96C19', 'Q5S007')"
"('Q16658', 'P01889')"
"('Q9UG63', 'Q13573')"
"('Q9HC36', 'Q13616')"
"('Q9Y3T9', 'Q96GD4')"
"('P26373', 'O00567')"
"('Q86VW0', 'P06396')"
"('P62714', 'Q13033')"
"('P17612', 'P10398')"
"('P42025', 'Q5S007')"
"('Q4LE39', 'P62807')"
"('Q99650', 'P04406')"
"('Q96KQ7', 'Q14119')"
"('P28289', 'O60603')"
"('Q07955', 'P55795')"
"('Q8TAB5', 'Q96HT8')"
"('P23511', 'P14635')"
"('Q49A88', 'Q86YT6')"
"('Q8IUR7', 'Q9H7D7')"
"('P15336', 'Q13618')"
"('Q96RK4', 'Q9NQ48')"
"('P50990', 'Q9BRX9')"
"('P17612', 'O43181')"
"('O75340', 'O14980')"
"('Q5TA81', 'P49901')"
"('Q13618', 'Q53F19')"
"('Q6PEX3', 'Q96HD9')"
"('Q69YQ0', 'P47755')"
"('O95201', 'Q99750')"
"('Q7Z417', 'Q9UBX5')"
"('O43852', 'O95758')"
"('P51617', 'P42224')"
"('Q9NZI8', 'P09651')"
"('Q9H9S0', 'Q96SW2')"
"('P61981', 'Q99459')"
"('Q86U42', 'Q6VAB6')"
"('O95786', 'P05129')"
"('Q12802', 'P24723')"
"('Q96MW5', 'Q96IQ7')"
"('Q9UBU9', 'P13798')"
"('P18621', 'O95433')"
"('Q15323', 'Q6P5Z2')"
"('P36405', 'P27348')"
"('P49790', 'Q8WUF5')"
"('Q8N7H5', 'P04629')"
"('Q969X6', 'Q9UBN7')"
"('Q9Y297', 'Q14644')"
"('Q15043', 'Q9H2H9')"
"('Q13362', 'P54284')"
"('Q9NP64', 'P05067')"
"('O43143', 'P05412')"
"('Q9UQ80', 'P27635')"
"('P0C7T5', 'Q93062')"
"('Q15554', 'P26368')"
"('Q13547', 'Q969R5')"
"('Q9GZN8', 'P62136')"
"('Q04323', 'O94903')"
"('Q9BT22', 'P61978')"
"('Q8NG80', 'Q9P2W3')"
"('Q9P0N5', 'Q96AG4')"
"('P50454', 'Q9H944')"
"('Q8NAP8', 'Q12905')"
"('Q96F86', 'O75044')"
"('P38646', 'O95831')"
"('Q9Y3E0', 'Q9UJZ1')"
"('P55072', 'Q5UIP0')"
"('Q6NUS6', 'O75489')"
"('Q15025', 'Q00403')"
"('P07711', 'P55040')"
"('Q9NQR4', 'P50897')"
"('P19087', 'Q9Y5X3')"
"('P49450', 'P33778')"
"('Q9BVN2', 'P55795')"
"('O14776', 'P52272')"
"('P00491', 'Q9NTX5')"
"('Q9NTZ6', 'Q8NHP8')"
"('Q9HCE3', 'Q15717')"
"('P33316', 'P09651')"
"('Q8WV44', 'Q16670')"
"('Q8ND90', 'Q96HZ7')"
"('Q00987', 'P41252')"
"('O43823', 'Q92731')"
"('Q13387', 'B7ZAP0')"
"('P40933', 'P09619')"
"('Q5T749', 'Q6UXX5')"
"('O95363', 'Q99750')"
"('P04049', 'Q13322')"
"('O43747', 'O75607')"
"('Q460N5', 'P61218')"
"('P11117', 'Q9H244')"
"('Q9UHX1', 'Q9NP81')"
"('P46379', 'P02751')"
"('Q9H270', 'Q9P1Y5')"
"('Q9H0U9', 'P48431')"
"('Q9NSB2', 'Q9H2C0')"
"('Q15759', 'P27361')"
"('O15260', 'Q86U38')"
"('P32121', 'Q8NGY0')"
"('Q92905', 'Q9H3F6')"
"('O43242', 'O75365')"
"('Q9UMS4', 'Q07955')"
"('Q9BSW2', 'Q3LI72')"
"('Q9BW92', 'O75208')"
"('P49746', 'P11388')"
"('P62847', 'Q9BY44')"
"('Q96PM5', 'Q5VTD9')"
"('Q3SY56', 'Q8N9W5')"
"('Q13131', 'P51116')"
"('Q12906', 'Q13418')"
"('P31040', 'Q9HC38')"
"('Q8NA61', 'Q8N3L3')"
"('P53567', 'P35638')"
"('Q9UI08', 'Q9UGI8')"
"('Q96L91', 'Q9Y463')"
"('P50570', 'Q96RU3')"
"('O60739', 'P30084')"
"('Q92888', 'Q13573')"
"('Q13895', 'O95751')"
"('P15056', 'P10398')"
"('P17612', 'Q8NGG3')"
"('P23219', 'Q9NRD1')"
"('P49736', 'Q8IUQ4')"
"('Q9UH62', 'Q9Y4L1')"
"('P28288', 'Q9C002')"
"('P49321', 'P84243')"
"('Q92993', 'O60885')"
"('P49916', 'Q01167')"
"('P62277', 'P61254')"
"('Q68CZ6', 'O15078')"
"('Q8TAQ2', 'Q9UKL0')"
"('Q9BTC8', 'Q9P2K3')"
"('Q15633', 'Q3SYB3')"
"('Q63ZY6', 'P20963')"
"('Q9NRD5', 'Q14831')"
"('P34931', 'Q92604')"
"('P36897', 'P51784')"
"('Q13554', 'O95644')"
"('P60900', 'Q9BT73')"
"('Q9HBE4', 'P32927')"
"('Q9Y4C1', 'Q6ZTQ3')"
"('P60484', 'O00560')"
"('Q8NEY8', 'Q86WV1')"
"('Q5VT52', 'P01106')"
"('Q6PF18', 'O15371')"
"('Q96GM8', 'P15880')"
"('P28749', 'Q06278')"
"('Q13573', 'Q07666')"
"('Q6IQ23', 'O75695')"
"('Q92993', 'Q9UPG8')"
"('Q9NPJ6', 'Q96S59')"
"('Q9BZG8', 'Q9BQC3')"
"('Q9NP92', 'Q5T653')"
"('Q01201', 'P63261')"
"('Q9H5Q4', 'Q13618')"
"('P45985', 'P28482')"
"('P41212', 'Q92993')"
"('P29401', 'O00443')"
"('P05000', 'P17181')"
"('O95259', 'Q15276')"
"('Q86Y13', 'Q9Y3R0')"
"('Q9BSJ2', 'Q5TGZ0')"
"('P31946', 'O60292')"
"('P53701', 'Q96C01')"
"('Q5T0L3', 'Q9Y343')"
"('O75449', 'Q9Y5M8')"
"('Q9Y248', 'P10619')"
"('P21912', 'P35573')"
"('Q9Y6G9', 'O75153')"
"('P47712', 'Q9UBU9')"
"('Q14498', 'A0JLT2')"
"('Q92905', 'Q9UQE7')"
"('Q00688', 'Q00987')"
"('Q8IUH3', 'Q8TEK3')"
"('Q9NZ01', 'Q14999')"
"('Q13144', 'O14980')"
"('P49841', 'P40337')"
"('P12956', 'Q9H0R6')"
"('P35869', 'P20226')"
"('Q8N128', 'Q92917')"
"('Q9BZS1', 'P62805')"
"('Q9P244', 'Q9P2M7')"
"('P67775', 'P60510')"
"('P55769', 'Q02543')"
"('P61006', 'Q9Y3E0')"
"('Q9NTM9', 'P54253')"
"('P42261', 'P62068')"
"('Q92731', 'O43251')"
"('P68400', 'Q9P1T7')"
"('O00159', 'Q9H9Y6')"
"('P03372', 'Q8N1N4')"
"('Q7Z6Z7', 'O94842')"
"('P83916', 'P12956')"
"('P49765', 'Q6AZZ1')"
"('Q9NZL4', 'Q96D46')"
"('Q8N9N2', 'O14965')"
"('Q8IYI8', 'Q9Y4K4')"
"('P15880', 'Q9P015')"
"('Q9BSI4', 'Q8N4X5')"
"('Q9UBF8', 'P31946')"
"('P33981', 'Q7Z7A1')"
"('Q00839', 'O75147')"
"('O75925', 'Q15424')"
"('Q96T76', 'P28288')"
"('Q9H6R7', 'P45983')"
"('P36873', 'Q9NWS0')"
"('P22626', 'Q8N4V1')"
"('P51858', 'Q9NVR2')"
"('P42166', 'Q9NWA0')"
"('Q9NP97', 'Q07817')"
"('O43395', 'O75940')"
"('Q8TBB1', 'P50458')"
"('Q8IYL3', 'Q7L5N1')"
"('Q13207', 'Q15562')"
"('P18084', 'P53708')"
"('Q86XT9', 'Q8TDD5')"
"('P28066', 'P62333')"
"('P46779', 'Q12849')"
"('P62753', 'Q969P0')"
"('P59991', 'Q9BYR7')"
"('P25054', 'Q9P267')"
"('Q8NBN7', 'O96009')"
"('Q9H2F9', 'Q9UBB9')"
"('Q9NVR0', 'O14958')"
"('Q9NWQ4', 'Q99750')"
"('Q8TAT6', 'Q86TI2')"
"('Q9Y2P8', 'P38398')"
"('P17655', 'P63279')"
"('Q12874', 'P04629')"
"('O95140', 'Q7Z434')"
"('Q92835', 'Q8N0X4')"
"('P20700', 'Q96KQ4')"
"('Q86XR8', 'Q9Y2R9')"
"('Q9P2M7', 'Q12923')"
"('P51587', 'Q9NXR7')"
"('Q00839', 'Q93034')"
"('Q05516', 'P35226')"
"('P40855', 'Q8WZA1')"
"('Q96DC9', 'Q13114')"
"('Q86TM6', 'O75477')"
"('P02760', 'O75364')"
"('P05386', 'Q9UK32')"
"('P30443', 'Q14943')"
"('Q9P2K6', 'Q92567')"
"('Q92560', 'P45973')"
"('Q99598', 'Q5T7B8')"
"('Q96F86', 'Q15554')"
"('Q8N157', 'P39060')"
"('P57105', 'Q14197')"
"('P09681', 'P48546')"
"('P62136', 'P49674')"
"('Q86SQ0', 'Q13009')"
"('P23511', 'Q13547')"
"('P11177', 'Q14192')"
"('Q9NW38', 'Q8IYA8')"
"('Q9P0J0', 'P40763')"
"('P61018', 'Q96JN0')"
"('P03372', 'O15379')"
"('P12081', 'Q9Y4K3')"
"('O96006', 'Q14129')"
"('Q99623', 'P15336')"
"('P35226', 'Q9H9B4')"
"('Q969L2', 'O43889')"
"('P47755', 'Q14192')"
"('Q9NZD8', 'Q01581')"
"('Q6VAB6', 'P31942')"
"('P08708', 'P62979')"
"('O95678', 'Q9P0U4')"
"('Q12816', 'Q96CS3')"
"('Q13084', 'O14965')"
"('O75530', 'Q86V15')"
"('P06576', 'Q86VP6')"
"('P51991', 'P11021')"
"('P46060', 'P26599')"
"('Q96S52', 'Q15428')"
"('Q9NWB6', 'P08621')"
"('Q96IW7', 'O43291')"
"('Q2NL82', 'P62851')"
"('P11021', 'Q9UDY4')"
"('P46109', 'P19320')"
"('Q8N726', 'Q8WUW1')"
"('O14965', 'P35713')"
"('Q14999', 'P55157')"
"('Q96HD1', 'P26641')"
"('Q15363', 'P49257')"
"('O60895', 'P80188')"
"('P49759', 'Q14244')"
"('Q9H788', 'P14373')"
"('Q6PKG0', 'P23396')"
"('O43561', 'O43609')"
"('P42677', 'P18077')"
"('O43251', 'Q9BZE0')"
"('P00558', 'Q9NQX4')"
"('P17987', 'P50991')"
"('Q99816', 'Q08426')"
"('P08047', 'P05412')"
"('Q99956', 'P45983')"
"('Q99615', 'O43847')"
"('Q8WXA3', 'Q5SW79')"
"('Q9BTC0', 'Q9NRC8')"
"('P13612', 'P23528')"
"('P08047', 'Q00653')"
"('Q86VP6', 'Q96IZ0')"
"('P06730', 'P00966')"
"('P22792', 'Q13618')"
"('Q92993', 'P07900')"
"('Q9ULK4', 'O95402')"
"('Q14C86', 'Q00613')"
"('Q9NZ43', 'Q8WU76')"
"('Q9BSJ2', 'Q6P582')"
"('P68431', 'Q99549')"
"('Q05519', 'Q96EK4')"
"('Q9NRX1', 'P62847')"
"('Q16594', 'O75347')"
"('P54920', 'O14863')"
"('Q5QNW6', 'P0C0S5')"
"('Q9UPN3', 'Q9Y4D7')"
"('P08183', 'P04629')"
"('Q96CW5', 'P46781')"
"('Q13148', 'Q7KZF4')"
"('O15055', 'Q99743')"
"('P04637', 'P52597')"
"('P40692', 'O94941')"
"('Q9UK99', 'Q9H2X6')"
"('Q08170', 'P31947')"
"('O75626', 'P59046')"
"('Q9BUI4', 'Q12789')"
"('Q13625', 'Q8NHQ8')"
"('Q14839', 'Q13469')"
"('Q92834', 'Q14683')"
"('Q9Y2Z0', 'Q9C0C7')"
"('O60603', 'Q14562')"
"('Q8IX15', 'Q14241')"
"('P60371', 'Q8NC26')"
"('Q9UKW4', 'Q9UGI0')"
"('O14980', 'Q9UPY3')"
"('P49841', 'Q86TP1')"
"('P09769', 'P51677')"
"('O75553', 'O43251')"
"('A5PLN9', 'Q9Y2V7')"
"('P05067', 'Q5T0L3')"
"('Q15323', 'Q7Z417')"
"('Q9NVH1', 'Q8ND24')"
"('Q5T653', 'Q9BYD6')"
"('P42226', 'Q14765')"
"('Q8ND56', 'O14979')"
"('P62269', 'Q9HCK5')"
"('P49792', 'Q9UKB1')"
"('P09104', 'Q9HC77')"
"('P22234', 'P49736')"
"('Q9Y6M7', 'P17931')"
"('P47914', 'P25398')"
"('Q02224', 'Q9Y6A5')"
"('Q16539', 'P16220')"
"('O43463', 'Q9BS34')"
"('Q96FW1', 'Q8WVK2')"
"('Q5H9R7', 'Q7L9L4')"
"('P20700', 'Q8IXM2')"
"('O94979', 'Q13618')"
"('P01009', 'Q96NG5')"
"('Q8NA54', 'Q6A162')"
"('Q8IYX3', 'Q9UBB9')"
"('Q53GT1', 'Q8IVD9')"
"('Q12834', 'Q14186')"
"('Q01955', 'P26006')"
"('Q9NSD9', 'Q01105')"
"('Q86UP2', 'Q9H4M9')"
"('Q02750', 'Q8N726')"
"('P50990', 'Q49AN0')"
"('Q9NVC6', 'O75586')"
"('P05067', 'Q8N5C7')"
"('Q5S007', 'Q14790')"
"('P06454', 'O75376')"
"('P21860', 'P43403')"
"('P55036', 'Q16659')"
"('Q96DR8', 'P55773')"
"('Q16594', 'Q99612')"
"('P16234', 'Q13470')"
"('O75940', 'Q9HCE1')"
"('Q8IY92', 'O43615')"
"('P41235', 'P11712')"
"('Q96M61', 'O94972')"
"('Q12996', 'Q10570')"
"('Q9UNK0', 'Q13277')"
"('Q9H7B2', 'Q5TB80')"
"('Q6ZMK1', 'Q9H201')"
"('P04259', 'Q8NDF8')"
"('P61088', 'Q9Y4L5')"
"('Q9BR61', 'P30419')"
"('Q6L8G8', 'Q5TA81')"
"('Q13177', 'P22061')"
"('Q12906', 'P78406')"
"('P60709', 'Q15286')"
"('O75369', 'P12830')"
"('P24941', 'Q15003')"
"('Q9UNP9', 'P61326')"
"('O43592', 'O43252')"
"('Q8N653', 'Q15544')"
"('Q16543', 'Q9UIM3')"
"('Q96HA1', 'O95433')"
"('O75478', 'O43318')"
"('Q99502', 'P01106')"
"('O14965', 'Q13573')"
"('P13725', 'P17181')"
"('Q96M27', 'P34897')"
"('P11055', 'Q9UKG1')"
"('Q9Y6E0', 'Q01844')"
"('Q96N95', 'Q9BRR0')"
"('Q92624', 'Q8WVM8')"
"('P55316', 'Q7Z3K3')"
"('Q7KZ85', 'P42166')"
"('Q9Y3R4', 'O75381')"
"('P30711', 'Q9UII2')"
"('O14646', 'Q9NYF8')"
"('Q9NYF8', 'Q15020')"
"('Q92905', 'P53350')"
"('O95994', 'Q9UMX0')"
"('Q15768', 'P54764')"
"('P61326', 'O75494')"
"('Q5T5S1', 'Q10567')"
"('P50552', 'Q14517')"
"('P25789', 'P82933')"
"('Q8IWL3', 'Q9NU22')"
"('Q13885', 'Q9HC35')"
"('P11229', 'Q9UK08')"
"('P28749', 'P84022')"
"('Q9BQE3', 'O43237')"
"('P42694', 'Q86SE9')"
"('O15212', 'Q16576')"
"('Q08170', 'P52597')"
"('Q9NTX7', 'Q08945')"
"('Q06203', 'P11908')"
"('P13647', 'Q6A162')"
"('P35240', 'Q08554')"
"('Q13131', 'O75385')"
"('P49736', 'O15027')"
"('P21964', 'Q15323')"
"('Q9BYD6', 'Q8TCC3')"
"('Q5VZL5', 'Q13185')"
"('O43829', 'Q17RD7')"
"('P33981', 'P24928')"
"('O60832', 'P22695')"
"('Q13472', 'O15360')"
"('P48431', 'Q14781')"
"('O00165', 'Q08116')"
"('Q9BUB5', 'Q13177')"
"('P07919', 'Q9Y225')"
"('P23528', 'P23588')"
"('Q9Y237', 'Q14204')"
"('Q3YEC7', 'P60953')"
"('Q12952', 'P42356')"
"('P57052', 'Q9NPJ6')"
"('P49756', 'Q8WXA9')"
"('P13569', 'P30154')"
"('Q9UQF2', 'Q8TCG1')"
"('P02768', 'Q9Y6Y1')"
"('Q15678', 'O15075')"
"('Q7Z3S9', 'P13284')"
"('Q9Y2X3', 'P05412')"
"('Q9Y4G8', 'P52732')"
"('O95156', 'Q8IWV8')"
"('O14879', 'P15924')"
"('O75530', 'Q15910')"
"('P35613', 'Q9UP83')"
"('Q9ULV5', 'Q9Y2Z0')"
"('P22314', 'P62837')"
"('P19320', 'P50990')"
"('Q8TAE8', 'Q6A162')"
"('Q9BW11', 'Q15323')"
"('Q9H0B6', 'P38432')"
"('Q96M98', 'P17987')"
"('P25391', 'P18564')"
"('O43187', 'P08238')"
"('P46108', 'Q8TD91')"
"('Q9UHC7', 'Q3B820')"
"('P05412', 'Q9NVV4')"
"('Q6MZP7', 'Q9BPU9')"
"('P13639', 'Q15843')"
"('P31629', 'P63104')"
"('Q9BQ95', 'Q9H0A6')"
"('O00429', 'P13798')"
"('P25685', 'Q00613')"
"('P00519', 'Q7Z434')"
"('Q96JP5', 'P62807')"
"('O14880', 'Q9Y3E0')"
"('P62241', 'Q9P2D0')"
"('Q9HAT2', 'P55058')"
"('Q96K76', 'Q01167')"
"('Q9NX02', 'Q9P021')"
"('Q9NZM3', 'Q9UKJ5')"
"('P82933', 'Q07021')"
"('Q9H079', 'Q9BVA0')"
"('Q7Z406', 'P10916')"
"('Q96HU1', 'P20339')"
"('P62266', 'Q13616')"
"('Q8NDD1', 'Q9NR30')"
"('P46940', 'P04271')"
"('Q504Q3', 'P46821')"
"('P19784', 'Q5THK1')"
"('Q9UQF2', 'P31749')"
"('Q06124', 'Q05397')"
"('Q8N157', 'Q15154')"
"('Q96EK4', 'Q00839')"
"('Q9UM11', 'O60566')"
"('O15258', 'Q9Y282')"
"('P49336', 'Q92830')"
"('P68400', 'Q9UD71')"
"('O00483', 'O75027')"
"('Q96GF1', 'P61086')"
"('P68400', 'Q9UBU9')"
"('Q15843', 'Q86XK2')"
"('Q8TAC9', 'Q15836')"
"('P35270', 'P29401')"
"('Q7L5D6', 'O43765')"
"('P05067', 'Q9BYG5')"
"('Q13547', 'P15172')"
"('O00746', 'Q13232')"
"('O14744', 'Q9Y3Y2')"
"('Q8NI36', 'Q9H9Y6')"
"('Q04323', 'Q96Q07')"
"('Q05519', 'Q9Y265')"
"('Q96AG4', 'Q5VZY2')"
"('Q12873', 'O94776')"
"('P20794', 'Q9UM11')"
"('Q15019', 'Q9BVJ6')"
"('P49336', 'O14744')"
"('Q96QG7', 'Q86T90')"
"('O75396', 'O95292')"
"('P34897', 'P39748')"
"('O96019', 'Q53TQ3')"
"('P78406', 'Q13573')"
"('P54132', 'P61956')"
"('P55060', 'O14745')"
"('Q9NR50', 'P16150')"
"('Q7Z699', 'Q15435')"
"('Q96LZ3', 'Q13485')"
"('P68400', 'Q13829')"
"('P04792', 'P78344')"
"('Q6ZW49', 'O14974')"
"('Q9Y6R0', 'P25788')"
"('Q9Y618', 'P38936')"
"('Q9H334', 'Q9NZI7')"
"('P78396', 'P08047')"
"('O15524', 'P01589')"
"('Q07889', 'P53680')"
"('Q86YM7', 'Q1MSJ5')"
"('P56199', 'P53708')"
"('P54252', 'P34741')"
"('Q5H9I0', 'Q3V6T2')"
"('Q3B820', 'Q5JR59')"
"('Q99496', 'Q9BZF9')"
"('P26651', 'Q92844')"
"('P02751', 'P51149')"
"('P22681', 'Q5XKE5')"
"('Q14203', 'O75381')"
"('Q99623', 'Q9NZU0')"
"('Q9BS18', 'Q9NZH5')"
"('P62306', 'O14879')"
"('P55345', 'Q96JH7')"
"('P06401', 'O75934')"
"('P61160', 'P49458')"
"('P25054', 'Q9BQ04')"
"('Q9UNE7', 'P08235')"
"('P63096', 'Q92569')"
"('O00217', 'O95298')"
"('P05067', 'Q8IWB9')"
"('Q96GG9', 'Q9Y4A5')"
"('P63241', 'P15923')"
"('P05019', 'P04629')"
"('P19419', 'P62380')"
"('P10909', 'P01375')"
"('O15231', 'Q8WWB5')"
"('Q14683', 'Q8WVM7')"
"('Q9Y283', 'Q96KM6')"
"('O43639', 'Q9H706')"
"('P62249', 'P31947')"
"('Q9ULR0', 'Q9HCS7')"
"('Q15170', 'Q6UVJ0')"
"('P62993', 'Q92953')"
"('Q5TEU4', 'P36542')"
"('P07199', 'Q96C28')"
"('P35222', 'P09651')"
"('O00231', 'O00487')"
"('O75360', 'P0DP24')"
"('Q9NVP2', 'Q8IY18')"
"('P56545', 'Q99708')"
"('Q15884', 'P17302')"
"('Q9UKV5', 'Q96PD7')"
"('O15230', 'P18084')"
"('Q5JTY5', 'O15013')"
"('P06733', 'Q969H0')"
"('P62993', 'P42336')"
"('Q9UBS4', 'Q6ZW49')"
"('Q14833', 'O14775')"
"('Q9H0Q3', 'Q5RL73')"
"('P29084', 'Q13887')"
"('Q765P7', 'Q9H7N4')"
"('Q96K37', 'Q9NUQ8')"
"('P60409', 'P15151')"
"('Q9Y2X3', 'O00566')"
"('P31749', 'Q9P2D0')"
"('Q15717', 'P26368')"
"('Q15415', 'P49761')"
"('P31943', 'Q9BUJ2')"
"('Q9GZR7', 'Q9UBU9')"
"('Q12857', 'P84022')"
"('P78357', 'O94856')"
"('Q9HBG6', 'Q9P2L0')"
"('P08670', 'Q8TCY9')"
"('P35626', 'Q8N162')"
"('P35637', 'Q01081')"
"('P15927', 'Q9UPQ0')"
"('Q8WV22', 'Q8IY18')"
"('O75558', 'Q86X02')"
"('Q9BYR6', 'O95363')"
"('Q96E39', 'Q9NYF8')"
"('Q8IXH7', 'Q9ULA0')"
"('Q8TDY2', 'Q13137')"
"('O95433', 'Q8WWY3')"
"('Q01844', 'P27824')"
"('P49736', 'Q9NQE7')"
"('P21266', 'Q13177')"
"('P02452', 'P18564')"
"('Q13557', 'Q5SW79')"
"('O43566', 'Q92730')"
"('Q14137', 'P48163')"
"('P06493', 'Q9Y250')"
"('Q13283', 'P37198')"
"('Q8WZ42', 'Q9Y244')"
"('P16383', 'O95433')"
"('P35240', 'P35232')"
"('Q70UQ0', 'Q9NX55')"
"('Q13185', 'P84243')"
"('P17252', 'P33778')"
"('P18206', 'Q13492')"
"('Q07890', 'P38936')"
"('Q8TEB1', 'P55072')"
"('O14757', 'Q9NXE8')"
"('Q8NEF3', 'A1L4K1')"
"('P62241', 'P26373')"
"('P12830', 'P68104')"
"('P04629', 'Q15020')"
"('Q9ULV8', 'Q99962')"
"('O75367', 'Q9NWY4')"
"('P34932', 'P04062')"
"('P08254', 'Q8IZA0')"
"('P01023', 'O00214')"
"('O43593', 'P14373')"
"('P61254', 'Q6R327')"
"('Q08211', 'Q9NR22')"
"('P55769', 'P49736')"
"('Q99766', 'Q8NI27')"
"('Q9NPI6', 'Q15645')"
"('Q53TS8', 'Q9UKZ1')"
"('P60709', 'P29279')"
"('Q9ULJ6', 'P14921')"
"('Q9ULV0', 'Q96C24')"
"('P04626', 'P57088')"
"('Q15562', 'P04150')"
"('P06400', 'O75164')"
"('Q8WWB5', 'O15231')"
"('P00533', 'Q9Y4L1')"
"('Q16633', 'P43405')"
"('P62826', 'O75367')"
"('Q5VSY0', 'Q8TBK6')"
"('P05067', 'Q7KZF4')"
"('O00308', 'O94855')"
"('O60925', 'Q5UIP0')"
"('Q6P996', 'O14908')"
"('Q9NYW8', 'P61968')"
"('Q9H426', 'Q9BRX9')"
"('Q5JPH6', 'Q8IWL3')"
"('P54619', 'O75821')"
"('Q12948', 'Q12800')"
"('Q6ZN18', 'P02788')"
"('Q96EV8', 'Q92994')"
"('Q8IV13', 'O76061')"
"('Q9BUE0', 'P62487')"
"('Q9NRC8', 'P42285')"
"('Q13418', 'Q02763')"
"('Q15154', 'O60308')"
"('O43597', 'Q8NEC5')"
"('Q92574', 'Q9H8T0')"
"('P35268', 'P62899')"
"('Q9UBU9', 'Q8N4S9')"
"('Q9UMX0', 'Q6P1L6')"
"('Q13153', 'Q92974')"
"('O43639', 'Q6PJG9')"
"('O95218', 'Q96S82')"
"('O43542', 'Q9UJX0')"
"('Q9Y4K3', 'O94941')"
"('P60411', 'Q16670')"
"('Q8NI60', 'Q14197')"
"('Q08170', 'O43719')"
"('P51668', 'Q969Q1')"
"('O95166', 'Q9H492')"
"('P0DML2', 'P0DML3')"
"('Q99496', 'Q14839')"
"('P52434', 'Q8N7H5')"
"('O94972', 'Q9H4K1')"
"('Q99496', 'P63244')"
"('P31323', 'Q7Z4T9')"
"('P83916', 'O75147')"
"('Q15543', 'Q92804')"
"('P67870', 'P07199')"
"('P32121', 'Q93034')"
"('Q9BYV6', 'P51668')"
"('Q01844', 'P29966')"
"('Q8WV44', 'P17028')"
"('Q09472', 'Q9NRY7')"
"('Q14257', 'Q13618')"
"('P32239', 'P62993')"
"('Q96BA8', 'Q9UKR5')"
"('Q9HAT2', 'Q9Y2E5')"
"('P01106', 'O15403')"
"('O96014', 'O75084')"
"('O96011', 'Q96HA9')"
"('P46940', 'P06396')"
"('P17676', 'Q9Y618')"
"('A8MW92', 'P26378')"
"('Q14094', 'Q00535')"
"('Q96BD0', 'O43542')"
"('P21695', 'P07954')"
"('O95259', 'P0DP25')"
"('Q92824', 'P54259')"
"('P49639', 'Q9UKJ5')"
"('P63104', 'P21802')"
"('P09622', 'Q14197')"
"('Q9UL54', 'Q9UPY8')"
"('Q13616', 'O60260')"
"('Q13242', 'O75147')"
"('Q9BZL6', 'P18846')"
"('P50148', 'Q9UGJ0')"
"('P04637', 'O60602')"
"('Q01546', 'O76014')"
"('Q09028', 'Q8WUU4')"
"('P04637', 'Q9UPR3')"
"('Q8NF50', 'Q3B820')"
"('O75152', 'P30405')"
"('P51991', 'P11142')"
"('Q15154', 'Q7Z4H7')"
"('P62888', 'Q99558')"
"('Q9UKT9', 'P56524')"
"('Q8N726', 'O75496')"
"('P13726', 'P08709')"
"('P28472', 'P46459')"
"('P13569', 'P60468')"
"('Q00987', 'Q13619')"
"('P19320', 'O95721')"
"('P15927', 'Q96DI7')"
"('P16104', 'P00558')"
"('Q9NWQ4', 'Q8WV44')"
"('Q9Y337', 'Q86XX4')"
"('P62906', 'P62899')"
"('P62424', 'P18621')"
"('Q9Y2S7', 'Q9H8M1')"
"('Q9BXS6', 'Q9Y4E8')"
"('P27816', 'P78362')"
"('Q9NQA5', 'P60903')"
"('Q9BVP2', 'P61313')"
"('Q9Y5U9', 'Q09470')"
"('O00303', 'P78396')"
"('O15047', 'Q15291')"
"('Q9UBN7', 'P25098')"
"('Q15262', 'P04183')"
"('P55957', 'O14920')"
"('Q9BY77', 'P15559')"
"('Q96CW1', 'Q676U5')"
"('P27348', 'Q9NZL9')"
"('P83731', 'P84098')"
"('Q9H9Y6', 'Q53T94')"
"('Q01094', 'O00533')"
"('Q12913', 'Q02750')"
"('P04183', 'P56537')"
"('P37198', 'Q14974')"
"('Q96PU5', 'Q14721')"
"('P21359', 'Q9H0W5')"
"('Q8N2W9', 'P12757')"
"('P85037', 'Q13547')"
"('Q9Y4F1', 'P04629')"
"('P61289', 'P49720')"
"('Q9Y281', 'P50461')"
"('P11441', 'P22307')"
"('Q9H1K0', 'P61106')"
"('P34897', 'Q9NP66')"
"('Q01968', 'Q12965')"
"('Q13315', 'P08047')"
"('P14618', 'P49736')"
"('P63279', 'P42224')"
"('P55212', 'O43741')"
"('Q9H040', 'Q2PPJ7')"
"('Q96GG9', 'P0DP23')"
