negatives
"('P18850', 'Q68CJ9')"
"('Q9UBU8', 'P62805')"
"('Q8NF50', 'P62745')"
"('Q86YW0', 'Q13554')"
"('Q13490', 'P63000')"
"('P11586', 'P23508')"
"('O15111', 'P19438')"
"('O60506', 'P62633')"
"('Q13554', 'P01112')"
"('P04156', 'P36507')"
"('P55036', 'O00231')"
"('P55957', 'P07384')"
"('Q8IZJ0', 'P10912')"
"('P28300', 'O76061')"
"('P01889', 'Q13642')"
"('P61981', 'P38646')"
"('Q15545', 'Q16619')"
"('P06239', 'P42768')"
"('Q9Y4G6', 'P05362')"
"('O14775', 'Q9NQ66')"
"('P54577', 'O60739')"
"('P40763', 'Q29980')"
"('Q14197', 'Q9BYN8')"
"('Q12913', 'P35222')"
"('P13984', 'P35269')"
"('Q13535', 'P21283')"
"('Q01968', 'P63000')"
"('P22392', 'P31948')"
"('P62910', 'P27635')"
"('P35916', 'P48736')"
"('Q13315', 'P49792')"
"('Q99558', 'Q9Y230')"
"('Q14240', 'Q7L2H7')"
"('Q9Y4H2', 'P62258')"
"('Q14498', 'O15541')"
"('Q8IYH5', 'Q92831')"
"('P55735', 'P00533')"
"('P00403', 'P01889')"
"('P61586', 'P68133')"
"('Q6P0Q8', 'Q92616')"
"('O00339', 'P35556')"
"('P46109', 'P56945')"
"('406984', 'Q9UJM3')"
"('Q9BQD3', 'P51116')"
"('Q9Y6Q9', 'P10827')"
"('Q8WZ19', 'P49005')"
"('Q13283', 'P06239')"
"('O00716', 'Q01094')"
"('P84095', 'O75116')"
"('P04637', 'Q8N3C0')"
"('O75832', 'Q16401')"
"('P30153', 'P60842')"
"('P47872', 'P84996')"
"('Q86YH6', 'Q9NTG7')"
"('P78369', 'O75508')"
"('Q15714', 'Q5XKP0')"
"('P46013', 'Q13185')"
"('P35225', 'Q12906')"
"('26765', 'P17676')"
"('Q15428', 'Q08170')"
"('Q6SZW1', 'Q8IUQ4')"
"('O43914', 'Q14952')"
"('Q16659', 'P00915')"
"('A8K6C2', 'P23458')"
"('Q96MT8', 'Q9NS73')"
"('Q7L576', 'P55160')"
"('Q7Z408', 'P55157')"
"('O43660', 'Q9H3G5')"
"('Q07889', 'Q9UKW4')"
"('Q01892', 'Q15306')"
"('P01106', 'Q96I59')"
"('P00519', 'Q92874')"
"('O75179', 'Q8IY92')"
"('P56545', 'P48552')"
"('P52298', 'P52597')"
"('Q5T8A7', 'P62136')"
"('P05556', 'Q13797')"
"('P01243', 'Q9NR30')"
"('Q92905', 'Q15788')"
"('O15162', 'Q9H7M9')"
"('P05166', 'Q00005')"
"('P15311', 'P07332')"
"('Q9NWQ8', 'Q96CV9')"
"('Q14974', 'O60684')"
"('Q9UGJ0', 'P46527')"
"('Q12905', 'Q15428')"
"('P17252', 'P49023')"
"('P18146', 'Q92547')"
"('Q9NSE2', 'P04626')"
"('Q9Y600', 'P04083')"
"('Q9Y5B9', 'Q99877')"
"('P62753', 'P62249')"
"('P14174', 'Q9H9D4')"
"('P54259', 'Q15323')"
"('P53708', 'P56199')"
"('Q15139', 'Q9ULK5')"
"('O00472', 'Q15306')"
"('P32519', 'P15407')"
"('Q15796', 'P48730')"
"('P00403', 'P62993')"
"('Q7Z5K2', 'Q29RF7')"
"('Q96RT7', 'Q9NY65')"
"('P22694', 'O00168')"
"('Q13368', 'Q9NYY3')"
"('P63165', 'P0DJD0')"
"('Q15036', 'Q9H2G2')"
"('P04637', 'Q15831')"
"('Q9P2S5', 'Q13098')"
"('Q13418', 'Q9UIA9')"
"('Q9H2M9', 'Q9H492')"
"('P33765', 'P63096')"
"('P05129', 'P19634')"
"('Q13315', 'O94805')"
"('P46783', 'P60709')"
"('Q6UUV7', 'P15336')"
"('P16220', 'Q9Y2W7')"
"('O14920', 'P25963')"
"('P61981', 'P49674')"
"('Q03518', 'P07237')"
"('P60953', 'B2RTY4')"
"('P10828', 'O60244')"
"('P00519', 'Q07890')"
"('Q9Y490', 'P16383')"
"('P07359', 'P40197')"
"('Q9Y272', 'P59768')"
"('Q13422', 'P20226')"
"('P11387', 'Q9UHF3')"
"('P51965', 'Q13064')"
"('P06753', 'Q9Y2R2')"
"('Q9P0M6', 'Q99877')"
"('P51532', 'Q12824')"
"('O60674', 'P51692')"
"('Q9BS18', 'Q9UM13')"
"('O43504', 'P47224')"
"('Q9BPW5', 'Q01844')"
"('Q9HCK5', 'Q00325')"
"('Q15904', 'P03950')"
"('P63104', 'P27708')"
"('O95347', 'P19532')"
"('P04183', 'Q9UPQ3')"
"('Q08211', 'Q01081')"
"('P40123', 'P62258')"
"('P58107', 'Q9Y6K9')"
"('Q9UKV8', 'P40429')"
"('P52272', 'P01889')"
"('Q9H8K7', 'Q16891')"
"('Q8TB24', 'Q9UI14')"
"('Q9H8T0', 'P58557')"
"('P42677', 'P46782')"
"('Q8NH18', 'P38405')"
"('Q04864', 'Q04206')"
"('Q15173', 'Q86US8')"
"('P46940', 'P29353')"
"('P68133', 'P04637')"
"('O60258', 'P17948')"
"('P13164', 'P15391')"
"('Q99459', 'Q13263')"
"('O95072', 'Q8WVM7')"
"('P0CG47', 'P62993')"
"('P22626', 'P62258')"
"('P15882', 'P15153')"
"('Q9NYJ8', 'O14920')"
"('P16520', 'Q13936')"
"('P43405', 'P20138')"
"('P01589', 'O60674')"
"('Q15323', 'Q9Y2H1')"
"('O14920', 'P30086')"
"('P84022', 'P61244')"
"('Q86X95', 'O75446')"
"('P29350', 'Q13094')"
"('Q9NX70', 'O75448')"
"('P51817', 'P14618')"
"('Q9Y5P4', 'O95197')"
"('P27986', 'P06729')"
"('P30480', 'P29401')"
"('P08254', 'P09486')"
"('O60675', 'P35638')"
"('Q92499', 'P18206')"
"('P06748', 'P23508')"
"('P67870', 'Q09028')"
"('P01889', 'P31150')"
"('343477', 'P49642')"
"('Q6PKG0', 'P31946')"
"('P20936', 'P19174')"
"('P30559', 'O60359')"
"('O95819', 'P17844')"
"('Q6UXN9', 'Q13620')"
"('P49720', 'Q14164')"
"('P49257', 'O60763')"
"('P42677', 'Q00005')"
"('Q9UDV6', 'Q14192')"
"('Q9ULE0', 'Q96BK5')"
"('O96017', 'Q99638')"
"('P02452', 'Q05397')"
"('Q9BTW9', 'P12956')"
"('Q14653', 'Q9HAU4')"
"('Q9NR30', 'Q8TEY7')"
"('Q9NRA8', 'Q14974')"
"('P19838', 'P61626')"
"('Q15075', 'Q96Q42')"
"('P14317', 'P40123')"
"('P00736', 'P02747')"
"('Q9HC96', 'Q9H1Y0')"
"('P05771', 'P0C869')"
"('Q9UQN3', 'P18146')"
"('Q13905', 'P12931')"
"('Q9BUJ2', 'Q13242')"
"('Q9BZY9', 'P62837')"
"('P84022', 'Q14192')"
"('Q99677', 'P48736')"
"('Q9Y376', 'O14874')"
"('Q14247', 'P63261')"
"('O43390', 'P46108')"
"('Q92917', 'Q9BQA1')"
"('O14936', 'O43491')"
"('Q99459', 'P78371')"
"('Q16629', 'Q08211')"
"('P09455', 'Q13547')"
"('O14775', 'P53779')"
"('P42224', 'P29466')"
"('P31946', 'O43524')"
"('P61981', 'Q9P244')"
"('P21675', 'O43521')"
"('Q9Y4G6', 'P26006')"
"('O14905', 'O75084')"
"('Q99624', 'Q9NXF8')"
"('Q96MN9', 'P54253')"
"('O43364', 'P18146')"
"('Q96RG2', 'P02671')"
"('Q13242', 'P55795')"
"('P32881', 'P48357')"
"('Q08945', 'P67870')"
"('P40692', 'P52701')"
"('Q02978', 'P53621')"
"('P01563', 'P31785')"
"('Q96MW5', 'Q96JB2')"
"('O14893', 'Q01130')"
"('P22314', 'P08238')"
"('Q14469', 'Q70Z53')"
"('P60709', 'O14950')"
"('P16104', 'Q86YC2')"
"('Q8WYP5', 'P57740')"
"('Q99836', 'Q8WWM7')"
"('P52630', 'P19525')"
"('407013', 'P16104')"
"('P05014', 'P40238')"
"('Q09013', 'P04183')"
"('Q13315', 'Q8WUA4')"
"('P01106', 'O00461')"
"('Q14CB8', 'Q9HBH0')"
"('P42684', 'Q14247')"
"('Q9HAU4', 'P21802')"
"('O60504', 'Q5T5P2')"
"('P60866', 'P62244')"
"('P15407', 'Q9P1Z2')"
"('P54257', 'Q14055')"
"('P06241', 'P78357')"
"('P52907', 'P29372')"
"('P03915', 'O14561')"
"('Q14289', 'P49023')"
"('Q9BZ23', 'Q9H2U1')"
"('P62633', 'Q9BUJ2')"
"('Q15116', 'Q9UL18')"
"('Q9Y243', 'P98177')"
"('P48736', 'P42338')"
"('P29322', 'Q6NUN9')"
"('Q9Y676', 'Q9UBC1')"
"('Q14674', 'Q8N3U4')"
"('O95990', 'Q13137')"
"('Q8NFD5', 'Q92925')"
"('P30504', 'P30460')"
"('Q96L14', 'Q96HB5')"
"('P22455', 'Q6S5L8')"
"('Q9HBE4', 'Q01344')"
"('P04406', 'P24522')"
"('P63218', 'Q01668')"
"('Q99801', 'Q13547')"
"('O94874', 'O75365')"
"('Q9UER7', 'Q99497')"
"('Q8TCY5', 'Q01718')"
"('Q9UH62', 'Q16891')"
"('P01569', 'Q6UXL0')"
"('P09651', 'P04150')"
"('P10275', 'Q13547')"
"('O94761', 'P39748')"
"('O14757', 'Q13490')"
"('Q16560', 'O14788')"
"('P46736', 'Q6UWZ7')"
"('P62829', 'P43146')"
"('O76071', 'Q13085')"
"('Q9Y6Q6', 'O75015')"
"('Q96GM5', 'Q68CP9')"
"('O75821', 'P41567')"
"('Q6P1X5', 'P21675')"
"('P42680', 'Q13094')"
"('P60709', 'P42704')"
"('O94776', 'Q14839')"
"('O75369', 'P08514')"
"('P26010', 'P05771')"
"('P35544', 'P62841')"
"('P08708', 'P46783')"
"('O94762', 'P53350')"
"('Q9UBU3', 'P28221')"
"('P61513', 'P36578')"
"('Q15102', 'Q9GZR7')"
"('P19013', 'Q9BQ83')"
"('P12830', 'O15143')"
"('Q9BQ83', 'P07992')"
"('O15164', 'P10275')"
"('O15375', 'P18206')"
"('P16333', 'Q9BWF2')"
"('Q6DN03', 'Q9Y5B9')"
"('O95759', 'P49755')"
"('Q9P2M7', 'O14950')"
"('O43147', 'Q9NYQ7')"
"('Q13564', 'Q8TBC4')"
"('P10415', 'Q13526')"
"('Q13247', 'Q07021')"
"('Q8IWE5', 'Q07866')"
"('Q96A65', 'P01106')"
"('Q04206', 'P98170')"
"('Q99460', 'O00233')"
"('P08047', 'P10620')"
"('P04632', 'Q9H1Y0')"
"('P12034', 'P09619')"
"('Q8N264', 'Q9H4E5')"
"('P43405', 'Q5TFQ8')"
"('Q9NQ25', 'O60880')"
"('P52565', 'P61586')"
"('Q9H7Z7', 'P16104')"
"('P78536', 'Q99075')"
"('O14933', 'P43490')"
"('Q969S3', 'P10244')"
"('P55157', 'O43918')"
"('Q12778', 'Q8NHY2')"
"('P08670', 'P17600')"
"('P68400', 'P51610')"
"('P24593', 'P05019')"
"('O00501', 'O75970')"
"('Q07666', 'P27986')"
"('Q8TBK6', 'Q15365')"
"('Q15027', 'P62993')"
"('P29459', 'P15509')"
"('Q9H9D4', 'Q9BQ66')"
"('Q07343', 'P02768')"
"('O15534', 'O96017')"
"('O94854', 'P02647')"
"('Q99683', 'O43318')"
"('P25445', 'Q05513')"
"('O75074', 'Q9UJY4')"
"('P28482', 'Q13541')"
"('P62993', 'Q9UBS5')"
"('Q9H4K1', 'O94972')"
"('Q96QB1', 'Q07890')"
"('Q9Y679', 'O94817')"
"('P49137', 'O95453')"
"('Q9HCS7', 'O60231')"
"('O15105', 'O43318')"
"('P30559', 'Q01668')"
"('O00585', 'P41597')"
"('Q15027', 'P16333')"
"('Q9Y243', 'Q96B36')"
"('O14735', 'Q9HCK5')"
"('P82664', 'Q9Y5J5')"
"('P35544', 'P62081')"
"('Q9NSA1', 'P11362')"
"('Q16637', 'P62304')"
"('P40227', 'Q15796')"
"('Q502X0', 'Q92796')"
"('Q9NR12', 'P14136')"
"('Q9BUA6', 'P63261')"
"('P17302', 'A6NHL2')"
"('P78352', 'P04626')"
"('O00148', 'Q9UL18')"
"('Q9NRR5', 'O14964')"
"('P42858', 'P61086')"
"('P78406', 'Q9BW27')"
"('P29320', 'Q96T51')"
"('P10275', 'P15309')"
"('P49841', 'O75165')"
"('Q9BYD6', 'Q14197')"
"('P60484', 'Q04206')"
"('Q04206', 'P78423')"
"('Q05209', 'P08581')"
"('P11308', 'P50549')"
"('P56705', 'Q9UP38')"
"('Q9NR12', 'Q9UHF1')"
"('P40937', 'Q99459')"
"('P08069', 'P49913')"
"('Q9ULH1', 'P12931')"
"('P62158', 'P25445')"
"('Q6P1K2', 'Q9P2H0')"
"('Q9P0U4', 'Q99877')"
"('P49715', 'P05164')"
"('P05121', 'Q9UBX5')"
"('P19012', 'Q9Y2J4')"
"('Q9NS73', 'O75528')"
"('P16234', 'Q9Y6I3')"
"('P19838', 'P49642')"
"('Q9BQI3', 'P46734')"
"('Q07869', 'Q15648')"
"('P01889', 'Q15078')"
"('Q9UPX8', 'P27986')"
"('P63173', 'P39023')"
"('Q13573', 'P50990')"
"('P18206', 'P02786')"
"('Q9BSJ2', 'Q99996')"
"('Q9P0J0', 'P03905')"
"('Q02410', 'Q9HBG4')"
"('P23508', 'Q15056')"
"('Q9HAU4', 'Q6ZNA4')"
"('A0MZ66', 'P61981')"
"('P19367', 'P21796')"
"('Q9H6Z9', 'Q16665')"
"('P08581', 'Q9H201')"
"('Q68CP9', 'P24522')"
"('Q8TEV9', 'Q8TDY2')"
"('Q02388', 'Q8IWR0')"
"('Q9UM13', 'P30260')"
"('O15479', 'P58876')"
"('Q9Y4K3', 'P07333')"
"('P06241', 'Q92874')"
"('Q07889', 'O43610')"
"('Q96JQ0', 'O15519')"
"('O43541', 'Q96J02')"
"('Q15744', 'O43166')"
"('P67870', 'P06239')"
"('P06400', 'P10415')"
"('Q16629', 'Q07955')"
"('P04637', 'Q9H2X6')"
"('A7KAX9', 'P62993')"
"('P13945', 'P84996')"
"('O43741', 'P14672')"
"('O95931', 'Q14781')"
"('Q9Y478', 'O15372')"
"('Q71UI9', 'Q9UQL6')"
"('P12931', 'Q07890')"
"('Q9BXP5', 'P52735')"
"('Q7Z419', 'P63279')"
"('P39880', 'Q96CB8')"
"('Q16627', 'P25025')"
"('Q8NDC0', 'Q01844')"
"('P60660', 'Q9Y572')"
"('Q04206', 'Q8IU54')"
"('P35225', 'Q99062')"
"('P18146', 'P25445')"
"('O60674', 'P42680')"
"('P40818', 'O75886')"
"('Q00526', 'Q13573')"
"('Q8IXH7', 'P10398')"
"('P38936', 'P55273')"
"('Q8WUI4', 'Q99878')"
"('O15105', 'P36873')"
"('Q96HR8', 'P99999')"
"('P62333', 'P17980')"
"('Q9UHR5', 'Q96I25')"
"('P62258', 'Q9UKI8')"
"('P50591', 'O00220')"
"('Q9Y5B0', 'O14744')"
"('Q13435', 'O75940')"
"('Q71UI9', 'P62807')"
"('P29353', 'P52735')"
"('Q13315', 'Q9UIU6')"
"('Q15020', 'O43395')"
"('P55036', 'P54725')"
"('Q96L34', 'P27816')"
"('P12111', 'P31431')"
"('P61247', 'P04179')"
"('Q13547', 'Q14186')"
"('Q9Y572', 'P31948')"
"('P49768', 'P49841')"
"('Q8WUG5', 'P80188')"
"('Q14103', 'Q9BUJ2')"
"('P00519', 'Q12947')"
"('Q9BPX1', 'Q6ZVK8')"
"('P45984', 'O95644')"
"('Q9HCM9', 'P61077')"
"('P01112', 'P52306')"
"('P01589', 'O00329')"
"('P01106', 'Q5JS13')"
"('Q02833', 'Q92574')"
"('Q01105', 'Q00535')"
"('Q96SN7', 'Q9Y3C7')"
"('O95084', 'Q99081')"
"('Q13619', 'Q8TC44')"
"('Q86WV6', 'Q7Z434')"
"('O95747', 'Q9HCE7')"
"('Q05516', 'O75376')"
"('Q15554', 'Q12888')"
"('Q5RKV6', 'Q9NPD3')"
"('P03886', 'P03897')"
"('Q9BZD4', 'Q9NV70')"
"('O95467', 'Q16658')"
"('Q01094', 'Q14526')"
"('O75400', 'O60885')"
"('Q8IY92', 'Q9Y4B6')"
"('Q14686', 'Q9NWQ8')"
"('O60258', 'P08069')"
"('Q02447', 'P49842')"
"('Q8TBK6', 'Q01081')"
"('Q9Y2Y4', 'Q9BQY4')"
"('Q9BTP7', 'Q9Y4K3')"
"('P04049', 'P23458')"
"('P52756', 'Q07955')"
"('Q8N5C8', 'Q14457')"
"('P10275', 'P62136')"
"('P55036', 'Q8NHQ8')"
"('P00533', 'P16885')"
"('O60603', 'O43353')"
"('P49747', 'P18564')"
"('P07948', 'Q15642')"
"('Q13009', 'Q07890')"
"('P26599', 'P52756')"
"('Q9Y618', 'Q9UBG7')"
"('P47736', 'P35080')"
"('O75674', 'Q86YL7')"
"('Q8NEM2', 'P29353')"
"('P22626', 'Q00839')"
"('Q8TBK6', 'O43395')"
"('P30084', 'P63104')"
"('P61353', 'Q92901')"
"('P68363', 'Q8NCM8')"
"('O75956', 'P01023')"
"('Q8TEW0', 'P84022')"
"('Q14686', 'P55345')"
"('P25024', 'O14672')"
"('Q9NSA3', 'P16278')"
"('P11473', 'O95257')"
"('Q8N5F7', 'Q15366')"
"('O95817', 'Q8TCX1')"
"('O14492', 'P04626')"
"('Q9H0E3', 'Q16514')"
"('P54253', 'Q6V0I7')"
"('P42263', 'Q14957')"
"('Q96BQ5', 'Q9Y3C5')"
"('P62829', 'P62910')"
"('P05787', 'P05783')"
"('Q03112', 'P45984')"
"('O14544', 'Q8N6P7')"
"('Q15788', 'P40763')"
"('Q14CS0', 'P63279')"
"('P22314', 'Q8N2K1')"
"('Q99835', 'Q9NRP7')"
"('P31749', 'O43889')"
"('P51991', 'Q9BXL5')"
"('P16298', 'Q9NZT1')"
"('P84996', 'P62873')"
"('Q8N8V2', 'P21673')"
"('Q8N163', 'Q15428')"
"('P62241', 'Q92597')"
"('P08631', 'Q9H204')"
"('P62241', 'P62277')"
"('P62310', 'O95777')"
"('P62875', 'Q9BTT4')"
"('P05771', 'P00533')"
"('Q14789', 'P11169')"
"('Q02556', 'Q8IU54')"
"('Q9BVJ7', 'P17405')"
"('Q13569', 'Q13485')"
"('P16220', 'O43252')"
"('P08237', 'P27361')"
"('P01106', 'O00154')"
"('O43187', 'Q6DN90')"
"('O15379', 'P23769')"
"('Q9Y4K3', 'Q96EX3')"
"('P42226', 'O14544')"
"('Q9Y4K3', 'Q969H8')"
"('P56537', 'Q9BWH2')"
"('Q92560', 'Q969T4')"
"('P49207', 'P83731')"
"('O75688', 'P62258')"
"('Q12873', 'P04637')"
"('P0CJ75', 'P25090')"
"('Q15742', 'P18146')"
"('P41279', 'P17858')"
"('Q15102', 'P32456')"
"('P34947', 'P46092')"
"('Q9NWB1', 'Q9Y3T9')"
"('Q14011', 'Q9Y490')"
"('P42680', 'Q92729')"
"('Q6R327', 'P61254')"
"('Q8N668', 'Q13617')"
"('P01106', 'Q9Y2X3')"
"('P26368', 'Q8IZL8')"
"('P05154', 'P04070')"
"('O95985', 'P54132')"
"('P07766', 'Q6PIZ9')"
"('Q53QZ3', 'P17081')"
"('P29590', 'P01100')"
"('O00410', 'Q401N2')"
"('P40337', 'P25787')"
"('P02679', 'P40763')"
"('Q14833', 'P50151')"
"('P68400', 'P01106')"
"('Q9NQC3', 'Q8WWV3')"
"('O00329', 'O00459')"
"('P51955', 'P23508')"
"('Q16816', 'P62158')"
"('P63104', 'Q69YN4')"
"('P23229', 'P48509')"
"('P78545', 'Q8IUC1')"
"('Q86X95', 'Q06330')"
"('Q7L4P6', 'Q08345')"
"('P60709', 'Q9H981')"
"('P67870', 'Q13371')"
"('P11274', 'P46109')"
"('P51681', 'P25445')"
"('Q92918', 'O14920')"
"('O75419', 'P49736')"
"('Q96BD6', 'Q9UBF6')"
"('P61513', 'P05386')"
"('P67809', 'P38159')"
"('P49792', 'Q9Y4K3')"
"('P19784', 'Q16539')"
"('Q15654', 'P51617')"
"('Q12778', 'P37231')"
"('O00329', 'O15530')"
"('P30154', 'O95072')"
"('O60925', 'P05386')"
"('P62979', 'P61247')"
"('P51617', 'Q13114')"
"('P06241', 'Q96NS5')"
"('O60716', 'P15153')"
"('Q16363', 'Q5T3J3')"
"('Q9UFN0', 'P34913')"
"('P30480', 'Q9HB71')"
"('P60900', 'P25788')"
"('Q86XP3', 'O15042')"
"('P51116', 'Q15233')"
"('P31947', 'P22681')"
"('Q9Y297', 'Q15653')"
"('P02775', 'P46092')"
"('Q7Z434', 'Q12933')"
"('Q04759', 'Q9NRA0')"
"('P63000', 'Q6UXH1')"
"('Q13887', 'P42772')"
"('Q9UKB1', 'P10071')"
"('Q14192', 'Q7Z589')"
"('Q13432', 'O15211')"
"('P62879', 'Q8NFM4')"
"('P00519', 'P61764')"
"('P22612', 'P54289')"
"('P08047', 'O95600')"
"('P10914', 'P10242')"
"('Q5UIP0', 'P45973')"
"('P62633', 'P51398')"
"('Q5QNW6', 'Q92769')"
"('P56524', 'Q5QNW6')"
"('Q9UKV8', 'O43242')"
"('P61981', 'Q13153')"
"('P18848', 'Q9NS37')"
"('P15153', 'Q9NPB6')"
"('P12004', 'P35251')"
"('Q9NXG2', 'O43809')"
"('407008', 'O15111')"
"('Q96P50', 'P56537')"
"('P35222', 'O75564')"
"('Q8TDR0', 'Q96KQ4')"
"('Q9UBU9', 'P09467')"
"('Q9NYY3', 'Q13368')"
"('Q15717', 'P61026')"
"('Q9NR55', 'Q16520')"
"('Q14204', 'Q15714')"
"('P68431', 'O15315')"
"('Q00005', 'Q8WXS5')"
"('P17706', 'P56199')"
"('P28221', 'O14610')"
"('Q92793', 'Q99814')"
"('P08631', 'Q53H12')"
"('P35626', 'P51685')"
"('P56747', 'O95832')"
"('P16333', 'O75914')"
"('P01106', 'Q9UK22')"
"('P04406', 'P61019')"
"('Q16539', 'P07196')"
"('Q05516', 'Q13547')"
"('Q7L5N1', 'Q6P1K2')"
"('P37837', 'Q12873')"
"('Q8WZA2', 'Q92736')"
"('Q13233', 'P62241')"
"('P30307', 'P63104')"
"('Q9Y4K3', 'Q9NX24')"
"('P41235', 'O00257')"
"('O00221', 'O75179')"
"('Q16778', 'P16104')"
"('Q7L190', 'Q16659')"
"('O14776', 'Q99728')"
"('P98175', 'P62857')"
"('Q86YV0', 'Q07890')"
"('P01375', 'Q9Y5S8')"
"('Q9H3D4', 'P78504')"
"('O75448', 'Q9Y2X0')"
"('Q5RL73', 'Q9BX70')"
"('P15882', 'Q07890')"
"('P05014', 'Q99062')"
"('P35268', 'P46779')"
"('P18858', 'P41220')"
"('Q96MF7', 'Q15554')"
"('P51681', 'Q93045')"
"('Q14457', 'Q9P2Y5')"
"('Q9BXW4', 'Q15459')"
"('Q0VG06', 'Q9NPD8')"
"('P32969', 'P63173')"
"('Q12933', 'P46527')"
"('P35626', 'Q9UGF6')"
"('Q6VMQ6', 'Q6AHZ1')"
"('P21580', 'Q13546')"
"('Q9H7Z6', 'Q13315')"
"('Q7Z2W4', 'P52630')"
"('Q96J02', 'P49757')"
"('Q9BQ66', 'Q8TBB1')"
"('Q13642', 'O75530')"
"('Q7Z6G3', 'Q96HA8')"
"('Q96A08', 'Q6FI13')"
"('P20701', 'P08575')"
"('Q9ULG1', 'P0C1Z6')"
"('Q9UGY1', 'P04179')"
"('O43323', 'Q13635')"
"('Q9HAV0', 'Q13936')"
"('O43295', 'Q9UKE5')"
"('Q9H008', 'Q92956')"
"('P16333', 'P15918')"
"('Q99750', 'P15173')"
"('Q9UL42', 'Q8ND90')"
"('O95157', 'P16333')"
"('P47900', 'P50148')"
"('P49760', 'Q8IYD8')"
"('P47928', 'P62993')"
"('Q9BW27', 'Q92621')"
"('P30307', 'P14635')"
"('P57088', 'P11171')"
"('P40337', 'O43809')"
"('P01127', 'P35916')"
"('Q9P0L0', 'Q9Y2K6')"
"('Q9UBM4', 'P46108')"
"('P62263', 'O43353')"
"('P16104', 'P30040')"
"('P55072', 'P14784')"
"('Q15714', 'Q99576')"
"('O15498', 'Q96AJ9')"
"('P20073', 'P13942')"
"('Q06265', 'Q14103')"
"('P04637', 'P04150')"
"('Q9P2I0', 'Q10570')"
"('Q9BY11', 'Q53SF7')"
"('Q5TA45', 'P67870')"
"('P15813', 'P61769')"
"('P13569', 'Q6UX72')"
"('Q04771', 'Q96AE7')"
"('Q12778', 'P42772')"
"('P01889', 'Q9UKK9')"
"('O60262', 'P84996')"
"('Q8IU54', 'Q04206')"
"('P29597', 'P17181')"
"('Q14683', 'Q9UQE7')"
"('O60684', 'P62306')"
"('P46092', 'P08754')"
"('P61254', 'P62910')"
"('Q9H8Y5', 'Q14247')"
"('442901', 'Q9UNQ0')"
"('O43298', 'Q7L590')"
"('Q5JPE7', 'O75674')"
"('Q13418', 'Q9NV58')"
"('P04899', 'P13569')"
"('Q16082', 'Q9HAW0')"
"('P19793', 'Q96F24')"
"('O15379', 'Q13227')"
"('P49407', 'P51681')"
"('O75828', 'O95376')"
"('Q9NPH9', 'P42701')"
"('Q15323', 'Q92796')"
"('P09619', 'O14492')"
"('O15245', 'P51610')"
"('P53680', 'P05787')"
"('Q13064', 'Q9Y2X8')"
"('P46782', 'P62854')"
"('Q7RTV0', 'P08579')"
"('P43246', 'P52701')"
"('Q9NZT1', 'P46020')"
"('P82933', 'Q9BQ04')"
"('P08651', 'P14672')"
"('Q9H9D4', 'Q86SE5')"
"('Q16778', 'Q16777')"
"('Q7Z569', 'Q02833')"
"('Q9P2J5', 'Q14164')"
"('P14770', 'P46108')"
"('O95299', 'P51970')"
"('Q01780', 'O95819')"
"('P62328', 'Q16637')"
"('Q16623', 'Q9H270')"
"('O75417', 'P53680')"
"('P05412', 'Q9NR30')"
"('P20226', 'P17535')"
"('Q99967', 'Q9UBR4')"
"('P62877', 'P56645')"
"('Q9Y6G9', 'Q99459')"
"('P17612', 'Q8NFM4')"
"('O94941', 'P61077')"
"('P31994', 'P02743')"
"('Q96BK5', 'P61326')"
"('O75909', 'Q9Y3Q8')"
"('O60828', 'Q9UKR5')"
"('O00217', 'P03923')"
"('O95685', 'P31947')"
"('P18847', 'Q53ET0')"
"('P11021', 'Q04206')"
"('P01308', 'P42338')"
"('Q9NRR5', 'Q9H293')"
"('P21860', 'P19174')"
"('P51692', 'P42229')"
"('O43752', 'Q9P253')"
"('Q15109', 'P62993')"
"('P56748', 'Q9UDY2')"
"('P30480', 'Q15019')"
"('P12814', 'Q07157')"
"('Q12873', 'P13727')"
"('P27986', 'P63104')"
"('P24941', 'P25054')"
"('P62879', 'P11229')"
"('Q9H2X0', 'Q9GZX9')"
"('Q01094', 'Q9NZJ0')"
"('O60711', 'Q16659')"
"('Q9Y5U8', 'Q9Y5V3')"
"('Q04721', 'Q8TDB6')"
"('P50616', 'P22626')"
"('Q9Y4R7', 'Q9BPX5')"
"('P23142', 'P15502')"
"('P10147', 'P14735')"
"('Q9HAW0', 'P43307')"
"('Q15139', 'P04792')"
"('Q9H2U1', 'Q9UKV8')"
"('Q8TCX5', 'P19012')"
"('Q14999', 'Q9ULL4')"
"('Q9UKV0', 'P04908')"
"('Q9BUJ2', 'Q13247')"
"('Q14164', 'Q6UWE0')"
"('P50750', 'P19838')"
"('O43707', 'Q86UL8')"
"('P13798', 'P53990')"
"('Q14683', 'O95400')"
"('Q96BK5', 'P16949')"
"('Q9NSE2', 'P10912')"
"('Q9Y2H0', 'P06241')"
"('P01106', 'Q9NVR2')"
"('Q16576', 'Q8NHZ7')"
"('P08670', 'Q14790')"
"('Q9NQX3', 'O14764')"
"('P63104', 'P30085')"
"('P17252', 'Q9GZT9')"
"('P62837', 'Q6ZNA4')"
"('O75448', 'P19793')"
"('P05129', 'Q9UBI6')"
"('Q92831', 'Q8ND90')"
"('Q9Y3U8', 'P62424')"
"('P83881', 'P63173')"
"('Q6FHJ7', 'Q14332')"
