negatives
"('Q15773', 'Q96T76')"
"('O43390', 'P61254')"
"('Q9Y6K9', 'P42704')"
"('P57721', 'P28715')"
"('Q9BWF2', 'P06241')"
"('Q9Y478', 'Q8NE71')"
"('P01891', 'P17693')"
"('P26368', 'Q15637')"
"('26765', 'Q92547')"
"('Q15287', 'Q9BXP5')"
"('Q9H0E9', 'Q9Y230')"
"('Q9ULZ3', 'P51878')"
"('P33778', 'Q99878')"
"('P62249', 'P62841')"
"('Q9GZR7', 'P60174')"
"('Q96ID5', 'P49841')"
"('Q6AWC2', 'Q9Y265')"
"('B1A4H9', 'P48551')"
"('Q99683', 'Q03518')"
"('P06239', 'Q9UQC2')"
"('Q15836', 'O60739')"
"('Q8IU54', 'P42701')"
"('O00237', 'Q9Y2X8')"
"('P02787', 'Q8IY92')"
"('P03372', 'P48061')"
"('P40189', 'P08887')"
"('P27635', 'Q92901')"
"('P56385', 'O75964')"
"('Q9H0E9', 'Q15906')"
"('Q9NTK1', 'P08727')"
"('Q9HCK8', 'Q9Y333')"
"('P10809', 'P61604')"
"('P15170', 'Q13588')"
"('P09467', 'Q05397')"
"('Q96QK1', 'O75436')"
"('O14757', 'Q9NW38')"
"('Q13535', 'Q13263')"
"('Q99708', 'P28749')"
"('P35626', 'Q8NHC5')"
"('Q92738', 'P20339')"
"('P35626', 'Q8NGS0')"
"('P01889', 'P10966')"
"('P10826', 'O75376')"
"('Q13315', 'Q9P244')"
"('O00548', 'P21675')"
"('Q9UK08', 'P48736')"
"('P10827', 'Q71F56')"
"('O95251', 'Q9P2R6')"
"('Q93074', 'Q9NX70')"
"('Q70SY1', 'Q92793')"
"('O75618', 'P05783')"
"('Q13233', 'P53779')"
"('P52757', 'Q92730')"
"('P53350', 'Q9UKT4')"
"('P09341', 'P51681')"
"('P55160', 'O60861')"
"('Q9NVZ3', 'P63010')"
"('Q92956', 'Q15084')"
"('P31751', 'Q15653')"
"('P11142', 'O95197')"
"('P56545', 'P49915')"
"('O43318', 'Q9UL54')"
"('Q9H6Y7', 'Q96B02')"
"('P62837', 'Q9UPQ4')"
"('P37173', 'Q9H0M0')"
"('Q5T3J3', 'Q14061')"
"('Q9NQB0', 'O14627')"
"('P50454', 'Q15714')"
"('Q9UII4', 'Q14653')"
"('P27482', 'P11217')"
"('P49286', 'P50151')"
"('P08729', 'P12004')"
"('Q14814', 'O95644')"
"('Q13094', 'Q92783')"
"('P16104', 'Q15084')"
"('P40337', 'Q8N4S0')"
"('P01106', 'Q96JB3')"
"('Q969G3', 'Q01201')"
"('A6NH00', 'P38405')"
"('P33552', 'Q02224')"
"('P36941', 'O00463')"
"('Q13042', 'Q9UJX2')"
"('P78537', 'O43318')"
"('Q13007', 'P38484')"
"('Q00978', 'P09913')"
"('Q09472', 'Q8N726')"
"('O95166', 'P34903')"
"('P51817', 'P48549')"
"('Q9H1R3', 'Q02045')"
"('P01106', 'Q9NR83')"
"('P43243', 'Q9UKA9')"
"('Q16829', 'P45983')"
"('Q6MZQ0', 'P42345')"
"('O00418', 'P13639')"
"('Q9BYB0', 'P46108')"
"('Q13233', 'P40939')"
"('P41227', 'Q8TBB1')"
"('Q13217', 'P08107')"
"('Q9BV44', 'O95777')"
"('P61513', 'P62829')"
"('P61981', 'Q96CV9')"
"('Q96NT0', 'P67870')"
"('Q07817', 'O43521')"
"('Q03167', 'P32121')"
"('Q9UKV8', 'Q8IU60')"
"('O15524', 'Q04206')"
"('Q9NPF7', 'P42701')"
"('P32121', 'Q6IFN5')"
"('O15527', 'P18887')"
"('P31946', 'Q99683')"
"('P15531', 'P54274')"
"('P03915', 'O95182')"
"('P62873', 'O60262')"
"('Q16610', 'P07996')"
"('O75830', 'O60381')"
"('Q92769', 'Q10586')"
"('P49459', 'P0CG48')"
"('Q9BW27', 'O75694')"
"('P98175', 'Q02575')"
"('P23508', 'Q9NPJ3')"
"('Q14164', 'Q15437')"
"('O15264', 'P50990')"
"('Q08345', 'Q7L4P6')"
"('P21554', 'P62879')"
"('Q9BQY4', 'O14641')"
"('Q9BQY4', 'O43251')"
"('Q13464', 'O60237')"
"('P31749', 'Q07817')"
"('P37231', 'Q15648')"
"('O00273', 'Q96NT1')"
"('P01574', 'Q9HC73')"
"('Q9UKX5', 'O75369')"
"('P09619', 'P42229')"
"('O14512', 'P48551')"
"('Q9Y279', 'P01024')"
"('Q13432', 'Q6PD74')"
"('Q9H0E2', 'O43251')"
"('Q13315', 'Q9HCK8')"
"('P51610', 'P68431')"
"('P61978', 'Q15717')"
"('P26022', 'P08603')"
"('Q14164', 'O75822')"
"('P12931', 'P42768')"
"('Q14653', 'Q00403')"
"('Q9HCK5', 'P11182')"
"('Q04771', 'P15882')"
"('P06401', 'Q15759')"
"('O00329', 'Q9Y243')"
"('Q96AG4', 'P29372')"
"('O15105', 'Q9BZK7')"
"('Q9UQ80', 'Q96ST3')"
"('P01308', 'P11362')"
"('Q9Y446', 'Q13573')"
"('O15116', 'Q9Y333')"
"('P55786', 'P16035')"
"('Q9Y6K9', 'P62244')"
"('Q15788', 'P12814')"
"('P10451', 'P05106')"
"('P16520', 'O00329')"
"('P59998', 'O15511')"
"('P25116', 'P63215')"
"('P62879', 'P40145')"
"('P10745', 'Q16600')"
"('Q09472', 'Q7L5N1')"
"('P08908', 'Q9HAV0')"
"('P20073', 'Q05516')"
"('P10275', 'Q12770')"
"('Q9UNF0', 'Q9ULH1')"
"('P61158', 'O15144')"
"('P31321', 'P84022')"
"('P11802', 'P50613')"
"('Q07955', 'O76054')"
"('Q969D9', 'Q14626')"
"('Q9Y6Q5', 'Q92597')"
"('O14735', 'Q9HCK5')"
"('P61106', 'P56134')"
"('O14874', 'Q9Y376')"
"('P25054', 'P48729')"
"('Q15365', 'Q13247')"
"('P16619', 'P46094')"
"('Q9Y2X7', 'Q9P2H0')"
"('P01236', 'Q9HBE5')"
"('Q06190', 'P32121')"
"('P19793', 'P24522')"
"('Q9UIG0', 'Q8TAQ2')"
"('Q15173', 'O95072')"
"('P08670', 'Q04206')"
"('P49703', 'Q13432')"
"('P49815', 'Q9BVC4')"
"('P04637', '407041')"
"('P53007', 'Q9Y5V3')"
"('Q01968', 'Q9H0U4')"
"('O00159', 'Q9GZS1')"
"('Q14289', 'Q01844')"
"('P35626', 'Q8WZ94')"
"('P42858', 'P00533')"
"('Q9UNS2', 'Q15843')"
"('Q9Y6X8', 'Q04917')"
"('P84022', 'P49790')"
"('P08670', 'Q5RL73')"
"('P17706', 'Q12933')"
"('Q15075', 'P51149')"
"('O75376', 'Q13263')"
"('Q9NYJ8', 'Q96EX3')"
"('Q8IWZ8', 'P26368')"
"('O43914', 'P43628')"
"('P01236', 'Q99062')"
"('P63096', 'P08253')"
"('P17980', 'Q13435')"
"('9757', 'Q14686')"
"('P51991', 'O94817')"
"('Q9UK85', 'Q9H2G2')"
"('P63000', 'Q01105')"
"('P25963', 'Q09472')"
"('Q8IY92', 'P48594')"
"('P48643', 'P04637')"
"('O60381', 'O15255')"
"('P60520', 'O75323')"
"('P00491', 'P30480')"
"('Q9BTC8', 'Q16576')"
"('Q16557', 'Q9BZL6')"
"('O95500', 'Q8NI35')"
"('O75578', 'P49023')"
"('Q16778', 'Q9NPI1')"
"('P01243', 'Q01469')"
"('O75569', 'P29353')"
"('P26678', 'O14983')"
"('Q9NZT1', 'O95622')"
"('P13612', 'Q13683')"
"('O14492', 'Q13191')"
"('O60583', 'O94992')"
"('Q9Y692', 'P84022')"
"('P13647', 'P25054')"
"('Q9Y4D1', 'O43318')"
"('Q00653', 'Q13489')"
"('Q86WJ1', 'P84243')"
"('Q99459', 'Q9BTT6')"
"('P18146', 'P11464')"
"('Q07002', 'O94855')"
"('Q92561', 'Q9UKR5')"
"('Q8IYD8', 'Q9UBZ9')"
"('Q9NRR5', 'Q15155')"
"('Q96PU8', 'Q99504')"
"('P61981', 'Q9BPZ7')"
"('O75581', 'P98082')"
"('P31947', 'Q6R327')"
"('Q6IAA8', 'P68104')"
"('P63208', 'P30304')"
"('P54253', 'Q9NRA8')"
"('P12270', 'P42858')"
"('Q969Y2', 'Q6QNY1')"
"('Q99558', 'P62917')"
"('P15882', 'Q9H4E5')"
"('Q13765', 'Q9BWH2')"
"('P08238', 'Q16659')"
"('Q8IZP0', 'Q9Y6W5')"
"('Q8N474', 'Q9H461')"
"('Q9BVP2', 'Q15172')"
"('O60232', 'P81605')"
"('Q96P16', 'Q9Y2Q3')"
"('Q04917', 'P30307')"
"('P34931', 'P78380')"
"('P15531', 'P10911')"
"('Q9UPP1', 'P30304')"
"('O43405', 'P02462')"
"('Q12933', 'P23510')"
"('P61421', 'P39748')"
"('P26367', 'O95343')"
"('P61077', 'O95628')"
"('Q96C10', 'O95786')"
"('Q15796', 'P36894')"
"('Q9UBR4', 'P01236')"
"('P43364', 'Q7Z614')"
"('Q13485', 'Q9NYN1')"
"('O75843', 'P56377')"
"('P56945', 'P49023')"
"('P51858', 'Q8IUQ4')"
"('P04279', 'Q02383')"
"('P08047', 'Q99814')"
"('P62136', 'P27482')"
"('Q12933', 'Q9Y265')"
"('Q75NE6', 'P38936')"
"('Q14164', 'P31939')"
"('O15145', 'P12830')"
"('P28749', 'Q16576')"
"('Q13291', 'O14796')"
"('O94817', 'Q03252')"
"('P31749', 'O43187')"
"('Q8TD19', 'P53350')"
"('P50552', 'O15117')"
"('P41743', 'Q96B18')"
"('O14512', 'P15509')"
"('P30153', 'O43524')"
"('Q99750', 'P32242')"
"('O43521', 'Q9Y5V3')"
"('P35626', 'Q96R30')"
"('P10276', 'P55273')"
"('P01563', 'P48551')"
"('Q9Y2X8', 'Q86X55')"
"('P43686', 'O95816')"
"('P46019', 'Q9NZT1')"
"('P12757', 'Q13485')"
"('P56199', 'Q07889')"
"('O60674', 'P10721')"
"('P25788', 'P04156')"
"('P83731', 'P62888')"
"('P20585', 'P01106')"
"('Q9UKB1', 'Q00653')"
"('P27708', 'Q13233')"
"('P78396', 'Q14566')"
"('P03915', 'P03905')"
"('Q92569', 'P02675')"
"('P84022', 'P48436')"
"('P08631', 'Q9ULH1')"
"('O75365', 'Q15029')"
"('P08107', 'O60603')"
"('P38159', 'P52756')"
"('Q99570', 'Q9Y243')"
"('P05412', 'Q92793')"
"('P62891', 'P84098')"
"('Q96N67', 'P61981')"
"('P05019', 'P07333')"
"('Q9H0J4', 'O95863')"
"('P29466', 'Q9NWB7')"
"('P03372', 'P01178')"
"('O75051', 'Q92730')"
"('P55036', 'Q13501')"
"('P04350', 'O43318')"
"('P35555', 'P62745')"
"('P61966', 'O75843')"
"('P78504', 'Q9UM47')"
"('P55735', 'O94979')"
"('P25025', 'Q5JY77')"
"('P04626', 'O95704')"
"('P67775', 'P28749')"
"('P26038', 'P60709')"
"('P84996', 'Q99614')"
"('Q15365', 'P26599')"
"('Q99558', 'Q04864')"
"('P18621', 'Q9UKV8')"
"('Q6UXN9', 'Q99880')"
"('Q99743', 'O15534')"
"('O00459', 'Q9UJM3')"
"('Q96S94', 'Q15287')"
"('Q9NS23', 'P24385')"
"('P47712', 'P16220')"
"('P20073', 'P17931')"
"('9757', 'P62993')"
"('P01106', 'Q13459')"
"('P62873', 'P11229')"
"('O60603', 'P08238')"
"('P51610', 'Q00005')"
"('P02462', 'Q9HCN6')"
"('P01241', 'P31785')"
"('P30480', 'O75964')"
"('Q02556', 'Q9BYX4')"
"('P0DI82', 'O96006')"
"('Q9UI14', 'O60684')"
"('Q99683', 'O15264')"
"('Q15370', 'Q96BD6')"
"('Q9UGJ0', 'P54619')"
"('Q9P2D1', 'Q9NPI1')"
"('Q15835', 'P61073')"
"('Q9NPA3', 'P49841')"
"('Q16637', 'P51805')"
"('P40225', 'Q14627')"
"('Q8WWQ8', 'P62328')"
"('Q15648', 'Q14994')"
"('P68366', 'P09104')"
"('O00182', 'Q9Y2J2')"
"('Q07869', 'Q02928')"
"('O43914', 'O95944')"
"('P04183', 'Q9NX74')"
"('Q9UBI6', 'O95467')"
"('Q9Y333', 'P83876')"
"('P06401', 'O15264')"
"('Q7L804', 'Q15907')"
"('P22612', 'P19634')"
"('Q9Y5U9', 'P41220')"
"('P54646', 'Q8N122')"
"('O60763', 'P62330')"
"('P25963', 'P18031')"
"('P05231', 'P42702')"
"('Q9NYW0', 'A8MTJ3')"
"('Q13619', 'Q03468')"
"('Q9UGJ0', 'O43741')"
"('Q99496', 'Q9Y2X8')"
"('P07355', 'P00750')"
"('Q16890', 'Q99683')"
"('Q8TEW0', 'P61962')"
"('P24534', 'Q9H1Y0')"
"('P78396', 'Q01094')"
"('Q8N5U6', 'Q96LR5')"
"('Q16539', 'Q7Z3C6')"
"('Q92752', 'Q05397')"
"('P12109', 'P56199')"
"('Q05586', 'Q01668')"
"('P22681', 'P16471')"
"('P33240', 'Q9H063')"
"('P30101', 'P23229')"
"('Q9NV56', 'Q9UK53')"
"('O60739', 'P19105')"
"('Q8NFJ9', 'Q9UPT5')"
"('O95741', 'P18146')"
"('P49459', 'P04637')"
"('P0CJ74', 'P25090')"
"('Q15642', 'Q96RU3')"
"('Q07889', 'P62736')"
"('P48736', 'Q8TCU6')"
"('O94979', 'Q9Y6B6')"
"('Q9NTM9', 'Q9P1W9')"
"('O00193', 'Q75N90')"
"('P02458', 'P18564')"
"('Q13813', 'O15360')"
"('Q13191', 'P19235')"
"('P25789', 'O14818')"
"('P20671', 'P45973')"
"('Q9H944', 'Q92731')"
"('P14618', 'P18754')"
"('Q9BZE9', 'P55072')"
"('Q04724', 'P42773')"
"('P18075', 'P27037')"
"('Q02040', 'Q15834')"
"('P43626', 'Q06124')"
"('O94855', 'P55735')"
"('Q14155', 'P15153')"
"('P36406', 'Q8TBB1')"
"('Q9BRA2', 'P40337')"
"('P26715', 'P29350')"
"('P01889', 'Q06210')"
"('Q9UHD9', 'P48723')"
"('P29350', 'Q9BXR5')"
"('Q04759', 'Q9NYF0')"
"('P11142', 'Q9BXA6')"
"('O75486', 'P06899')"
"('Q15796', 'Q92985')"
"('Q13191', 'Q04695')"
"('P84022', 'P61962')"
"('Q15583', 'Q13485')"
"('O75529', 'Q16594')"
"('Q9HAU0', 'P54253')"
"('Q14957', 'O43497')"
"('Q13501', 'P00441')"
"('P78396', 'Q9BWD1')"
"('Q96CW1', 'Q15831')"
"('O60341', 'P10275')"
"('O14595', 'P10275')"
"('P61201', 'Q14164')"
"('P49023', 'P26010')"
"('Q8N9N5', 'P04637')"
"('Q04206', 'Q03519')"
"('Q14558', 'O75365')"
"('P12314', 'Q8NHJ6')"
"('O75569', 'Q14558')"
"('Q6UN15', 'Q6UXN9')"
"('O60814', 'P16104')"
"('A5PKW4', 'P23416')"
"('Q15427', 'Q15029')"
"('P46108', 'Q9NZM4')"
"('P01009', 'P35030')"
"('P04626', 'P23467')"
"('Q9UJY4', 'O14964')"
"('Q99459', 'Q86WJ1')"
"('O75578', 'Q07890')"
"('P27361', 'Q00613')"
"('O15198', 'Q9H871')"
"('Q13315', 'O00203')"
"('Q12888', 'Q5UIP0')"
"('P63261', 'Q92597')"
"('P22612', 'Q07869')"
"('Q13751', 'P17301')"
"('P15056', 'Q02750')"
"('P35221', 'P04626')"
"('P17931', 'P12318')"
"('Q9UKE5', 'Q9NX58')"
"('P61254', 'Q02878')"
"('P05106', 'Q13683')"
"('P19525', 'Q8IY81')"
"('Q13467', 'O14641')"
"('Q99497', 'Q8IY92')"
"('Q9UK32', 'P01112')"
"('Q9UJX3', 'Q99459')"
"('P60660', 'P56537')"
"('Q16539', 'Q9Y243')"
"('P98177', 'Q13485')"
"('Q99665', 'P52333')"
"('Q99558', 'Q9BVA1')"
"('O00203', 'O43683')"
"('Q96EK6', 'P25788')"
"('P42574', 'Q07817')"
"('O75800', 'Q8IUQ4')"
"('P32121', 'Q8NH92')"
"('Q9NS64', 'Q86UX6')"
"('P14324', 'P01112')"
"('P12830', 'Q01105')"
"('P52735', 'Q16620')"
"('P01106', 'Q04726')"
"('P38398', 'P16333')"
"('Q08170', 'O95400')"
"('Q15024', 'Q92551')"
"('P08648', 'O00182')"
"('Q9H6E5', 'Q10570')"
"('O14493', 'Q07157')"
"('Q01201', 'P17858')"
"('P53680', 'P05787')"
"('P05771', 'P50281')"
"('P51610', 'O43889')"
"('Q15019', 'P01889')"
"('Q99962', 'Q9NYF0')"
"('Q5XPI4', 'Q96B02')"
"('P62136', 'O60237')"
"('Q9NPF7', 'P26951')"
"('P18754', 'P01889')"
"('P28222', 'O14775')"
"('Q6FHJ7', 'Q14332')"
"('P20701', 'Q9Y490')"
"('P49720', 'P60900')"
"('P36896', 'Q9UER7')"
"('O95936', 'O60925')"
"('Q86V81', 'Q13151')"
"('Q96CF2', 'Q8WUX9')"
"('P18859', 'P51812')"
"('P00441', 'P43004')"
"('P19838', 'P11142')"
"('Q9NWZ3', 'O43318')"
"('P10275', 'Q00987')"
"('P03901', 'Q9UI09')"
"('Q96PY6', 'Q9NPD3')"
"('P01579', 'Q14626')"
"('P40933', 'P16471')"
"('Q9BWU1', 'Q15528')"
"('P51654', 'Q9H1J5')"
"('P62917', 'P83731')"
"('P18850', 'P16220')"
"('Q99880', 'Q7L7L0')"
"('Q9UBI6', 'O75914')"
"('O94906', 'P55769')"
"('Q08117', 'P09429')"
"('O00254', 'P00519')"
"('Q9UPN9', 'O95619')"
"('Q9NWA0', 'Q96HR3')"
"('O43318', 'O75528')"
"('P35222', 'P24941')"
"('Q13573', 'Q9NV70')"
"('Q9UHF4', 'P52333')"
"('O95299', 'P17568')"
"('P14317', 'P50570')"
"('Q9P2H0', 'P33240')"
"('P67870', 'Q8NCA9')"
"('P56182', 'P68104')"
"('P26641', 'Q8IYL3')"
"('P45983', 'P12004')"
"('P19838', 'Q15233')"
"('Q9UMQ6', 'Q9H1Y0')"
"('O75326', 'P06241')"
"('O14802', 'Q9Y535')"
"('O95644', 'Q02078')"
"('P61160', 'P68032')"
"('Q92985', 'Q8IU54')"
"('Q6P2Q9', 'Q15287')"
"('Q15013', 'Q92993')"
"('Q16401', 'O43242')"
"('Q9HAW0', 'P28288')"
"('Q13315', 'P32929')"
"('O00206', 'P16671')"
"('Q8IWL2', 'O60603')"
"('P54646', 'Q53ET0')"
"('Q14152', 'Q8NFJ9')"
"('O00716', 'P33993')"
"('P29350', 'P84022')"
"('O75886', 'P23458')"
"('Q16543', 'Q9NRG4')"
"('P0CG48', 'P84022')"
"('P23396', 'Q9UL18')"
"('P00519', 'P04040')"
"('Q9NR50', 'Q9UI10')"
"('P61513', 'P50914')"
"('Q8N6Y0', 'Q9BVI4')"
"('P63244', 'P60709')"
"('Q9UQE7', 'Q99459')"
"('P35555', 'O94985')"
"('O15379', 'P23527')"
"('Q07889', 'Q13480')"
"('O60925', 'Q14240')"
"('Q9UQ03', 'P18206')"
"('Q99459', 'Q15233')"
"('Q13573', 'Q9BQL6')"
"('P49716', 'Q16520')"
"('Q96HC4', 'P05129')"
"('O00238', 'P62979')"
"('A6NM45', 'O14493')"
"('Q86XK2', 'Q9BUP0')"
"('Q96N67', 'P62745')"
"('Q9Y575', 'Q15369')"
"('Q13315', 'P51532')"
"('406883', 'P05231')"
"('Q01726', 'P63092')"
"('P41091', 'P49662')"
"('Q9Y2Q3', 'Q9H3U1')"
"('Q99436', 'P53350')"
"('P13569', 'P25685')"
"('O00222', 'P59768')"
"('Q13683', 'P46109')"
"('P51817', 'O15264')"
"('P06737', 'O14920')"
"('P62633', 'P51398')"
"('O15162', 'Q9UBP5')"
"('Q9Y6J9', 'Q86TJ2')"
"('P41182', 'Q9UPT6')"
"('P63104', 'Q9NRI5')"
"('Q93009', 'Q86TM6')"
"('P55072', 'P25025')"
"('Q92997', 'P63000')"
"('O43681', 'P02766')"
"('Q9Y250', 'P53803')"
"('P13805', 'P56192')"
"('Q99729', 'Q9H3D4')"
"('P26441', 'P42702')"
"('P28340', 'P12931')"
"('P04406', 'Q99459')"
"('P25963', 'Q92769')"
"('Q13547', 'Q71UI9')"
"('Q9BQG0', 'Q16576')"
"('P40189', 'PB_10')"
"('Q12974', 'Q6P4Q7')"
"('O60739', 'P39023')"
"('P13796', 'P16871')"
"('Q99459', 'O43301')"
"('Q96AW1', 'P41146')"
"('A5PKW4', 'O60921')"
"('P15018', 'P15260')"
"('P27361', 'O15496')"
"('Q9H4K1', 'P36406')"
"('Q06609', 'O43542')"
"('O15116', 'Q14684')"
"('P36941', 'Q13490')"
"('P49427', 'Q9Y297')"
"('O15350', 'P63244')"
"('O00141', 'P26196')"
"('Q9Y230', 'Q9NV56')"
"('P05556', 'P21333')"
"('O60739', 'Q9Y265')"
"('P35579', 'Q14164')"
"('Q96B02', 'O43164')"
"('Q6WCQ1', 'Q96SB3')"
"('Q9NYL2', 'Q8N184')"
"('Q9Y5Q3', 'P15407')"
"('Q05397', 'P12931')"
"('P13688', 'Q9H2X3')"
"('Q9NYJ8', 'P38646')"
"('P63220', 'P15880')"
"('P41220', 'Q9Y262')"
"('O15504', 'Q03518')"
"('P14780', 'P29400')"
"('O15344', 'Q969T4')"
"('Q6P087', 'Q14197')"
"('P10276', 'Q15744')"
"('Q9Y6K9', 'O94832')"
"('P01566', 'Q5VWK5')"
"('P42226', 'Q15306')"
"('P38398', 'P18846')"
"('P50222', 'P01282')"
"('Q13237', 'P05026')"
"('P12931', 'Q05397')"
"('P78347', 'P62330')"
"('Q16659', 'Q96EX3')"
"('P62158', 'O43306')"
"('P11142', 'P18206')"
"('P07900', 'P14625')"
"('P42336', 'P49418')"
"('Q13077', 'P41273')"
"('Q09472', 'P62805')"
"('Q9UQB3', 'P06241')"
"('P0CG48', 'Q9Y4E8')"
"('P53778', 'P28324')"
"('P31947', 'P15056')"
"('Q13255', 'P63092')"
"('Q9H5J8', 'Q16891')"
"('Q06323', 'Q92979')"
"('Q12933', 'Q8TBE0')"
"('P14373', 'O14933')"
"('Q9BT40', 'Q8TBB1')"
"('Q8IY92', 'P43246')"
"('Q8IYL3', 'P26641')"
"('P31371', 'P35968')"
"('P08246', 'P06132')"
"('P29597', 'P48736')"
"('P59768', 'Q92569')"
"('Q13838', 'O75928')"
"('Q99459', 'Q9BTC0')"
"('Q7Z3T8', 'P36894')"
"('P17980', 'P62333')"
"('P54725', 'Q99460')"
"('Q13242', 'Q08170')"
"('Q13418', 'Q96T76')"
"('P31946', 'P16871')"
"('P20809', 'P26992')"
"('P61927', 'P30050')"
"('Q99459', 'Q9NRZ9')"
"('P17980', 'P35998')"
"('Q9NWA0', 'O75448')"
"('Q8IX12', 'Q9HAU4')"
"('P34741', 'P01137')"
"('Q9UK53', 'Q16576')"
"('O00571', 'O15264')"
"('P30050', 'P83881')"
"('Q9Y4P8', 'Q9NWF9')"
"('P36897', 'Q96D21')"
"('P63104', 'Q0VF96')"
"('P35222', 'P23470')"
"('P11171', 'P24941')"
"('P08047', 'P41221')"
"('P52798', 'P16234')"
"('P04278', 'P63267')"
"('O95989', 'Q9H063')"
"('P31946', 'Q02241')"
"('P23258', 'O15169')"
"('Q15393', 'P01106')"
"('Q99832', 'Q6WCQ1')"
"('Q9NQU5', 'P45985')"
"('Q8TF21', 'Q9BY11')"
"('Q04206', 'Q3ZCQ8')"
"('Q9UBV8', 'O75340')"
"('Q15759', 'Q13541')"
"('P08047', 'P10826')"
"('O75448', 'Q92731')"
"('P01243', 'Q05209')"
"('P49792', 'Q99567')"
"('P15153', 'Q13153')"
"('Q96AP0', 'P12956')"
"('Q13748', 'Q9H4B7')"
"('Q9Y3T9', 'P54259')"
"('Q9H6J7', 'P62917')"
"('Q13445', 'P84022')"
"('P36894', 'Q7Z3T8')"
"('O77932', 'Q9NPD3')"
"('Q13535', 'O60271')"
"('P35610', 'P27824')"
"('P21917', 'P16520')"
"('O95169', 'O14561')"
"('Q13330', 'Q16665')"
"('Q99759', 'P58107')"
"('Q86Y56', 'Q9HC98')"
"('P62993', 'P63167')"
"('P04141', 'Q01196')"
"('P35968', 'P35916')"
"('Q9Y5I7', 'O95484')"
"('P04406', 'P28482')"
"('P61077', 'P01241')"
"('Q96GM8', 'P52597')"
"('Q01814', 'P01258')"
"('P18146', 'O15090')"
"('O15131', 'Q9NYR8')"
"('P08637', 'Q8NHJ6')"
"('Q15428', 'O75934')"
"('Q5SQH8', 'P53350')"
"('O75581', 'Q9ULV1')"
"('Q5VVX9', 'Q9UPQ4')"
"('P31943', 'P38159')"
"('Q969G2', 'Q16385')"
"('Q99504', 'P67870')"
"('P0CG48', 'O14964')"
"('P56537', 'Q9UQ80')"
"('Q14164', 'P29401')"
"('P68400', 'P14316')"
"('P22626', 'Q13573')"
"('P62993', 'Q86V48')"
"('Q15365', 'P52272')"
"('Q9P286', 'Q02750')"
"('Q8IWF7', 'Q9Y508')"
"('P54646', 'Q9BUM1')"
"('Q5VTD9', 'P62760')"
"('Q92956', 'Q9H008')"
"('P78560', 'Q13546')"
"('O96019', 'O43257')"
"('Q13464', 'P35080')"
"('Q9P0M6', 'Q5QNW6')"
"('Q8N5R6', 'Q9BQD3')"
"('Q9Y5B9', 'P0C5Y9')"
"('P41240', 'P04626')"
"('Q13315', 'Q92547')"
"('P05067', 'P02766')"
"('Q13111', 'P61981')"
"('O43294', 'Q13485')"
"('Q99873', 'Q5UIP0')"
"('Q13007', 'Q14626')"
"('Q13185', 'Q5T6C5')"
"('P25105', 'P29597')"
"('P47914', 'P50914')"
"('P15036', 'P11831')"
"('Q13268', 'P45880')"
"('P60520', 'P28340')"
"('P99999', 'Q96HR8')"
"('Q8IXH7', 'Q9NX55')"
"('P61077', 'Q9UPP5')"
"('Q9P003', 'Q9BRT8')"
"('Q16659', 'Q9Y617')"
"('P62140', 'Q9BZL4')"
"('P04908', 'P58876')"
"('P29372', 'Q9Y3B8')"
"('P07900', 'P43403')"
"('Q06787', 'Q5JVS0')"
"('P22392', 'Q15435')"
"('Q92569', 'P01111')"
"('Q9UPN3', 'Q9NV70')"
"('Q9H0R8', 'Q15042')"
"('P49023', 'Q15262')"
"('P68363', 'Q9BUF5')"
"('Q9Y3U8', 'P62917')"
"('Q03701', 'P02741')"
"('Q13546', 'P63261')"
"('P01106', 'Q14204')"
"('Q9H8Y8', 'Q15370')"
"('Q9P2W3', 'P48051')"
"('Q9H2X0', 'P43026')"
"('Q86U42', 'Q13573')"
"('P62263', 'P22090')"
"('O60934', 'Q9UER7')"
"('Q6P1M3', 'P46937')"
"('P62750', 'P46778')"
"('P0C0L4', 'P01031')"
"('Q9BYM8', 'Q14653')"
"('Q05516', 'Q9NP79')"
"('P16885', 'P42768')"
"('P83731', 'P62945')"
"('P42336', 'P31751')"
"('Q9P0M6', 'Q9Y5B9')"
"('P01009', 'Q8IY92')"
"('Q99547', 'P51693')"
"('P15018', 'Q8N6P7')"
"('P62314', 'Q15428')"
"('P26373', 'Q9Y3U8')"
"('Q13905', 'P22681')"
"('O43521', 'Q29RF7')"
"('P21246', 'Q96SN8')"
"('Q04941', 'Q14164')"
"('Q8NBQ5', 'Q9HAW0')"
"('Q13227', 'Q9BZK7')"
"('Q96S96', 'Q02750')"
"('P51784', 'Q9H492')"
"('Q13555', 'P28482')"
"('P49760', 'P61981')"
"('O75593', 'Q15583')"
"('Q9UBP9', 'Q9NY15')"
"('P78369', 'O95049')"
"('P49842', 'P62487')"
"('P62753', 'P62266')"
"('Q12933', 'P04350')"
"('Q9C000', 'P55211')"
"('P42224', 'P11309')"
"('P06493', 'Q01538')"
"('Q92530', 'Q12933')"
"('Q96RU3', 'Q05193')"
"('Q06190', 'P53041')"
"('Q8TBB1', 'Q13155')"
"('Q9HBG4', 'P36544')"
"('Q92574', 'Q8NI35')"
"('P12236', 'Q9NTM9')"
"('P20309', 'Q5JWF2')"
"('P63211', 'P40145')"
"('Q13033', 'Q9Y6E0')"
