negatives
"('P07355', 'O75815')"
"('P55259', 'P04746')"
"('Q14204', 'Q9NY65')"
"('Q9Y5J5', 'O00159')"
"('Q13107', 'P04183')"
"('P36639', 'P78549')"
"('P22694', 'P45983')"
"('P54652', 'P53779')"
"('O95835', 'O43464')"
"('P03886', 'O75251')"
"('Q8N2W9', 'Q99684')"
"('Q92793', 'Q13472')"
"('P08238', 'P49327')"
"('Q16695', 'Q99525')"
"('Q99677', 'P63211')"
"('P01579', 'Q03060')"
"('Q9UK22', 'P62877')"
"('O60721', 'P00519')"
"('P08173', 'Q9UBI6')"
"('Q9Y490', 'P04626')"
"('P49662', 'Q04323')"
"('Q9BQ66', 'P50222')"
"('Q99848', 'Q9UL18')"
"('O60262', 'Q13698')"
"('Q9H1Y0', 'P25788')"
"('Q8NBV4', 'P54259')"
"('P21266', 'Q9H1Y0')"
"('P63279', 'P42224')"
"('Q9ULE0', 'Q96JB5')"
"('P56199', 'P46109')"
"('P11308', 'P15036')"
"('Q07890', 'P17081')"
"('P41134', 'Q99856')"
"('P84022', 'P17275')"
"('Q9BXR0', 'Q9NRX3')"
"('Q86UL8', 'Q08043')"
"('Q15653', 'P15924')"
"('Q13368', 'O60262')"
"('P11532', 'P60709')"
"('Q14563', 'O14786')"
"('P24821', 'P26012')"
"('P54253', 'Q9UGR2')"
"('Q9GZQ8', 'Q15545')"
"('P15153', 'Q9UQB8')"
"('Q14197', 'O15091')"
"('P62316', 'Q9UHI6')"
"('Q9BT78', 'Q9P2S5')"
"('P29992', 'Q9UP65')"
"('Q8N2W9', 'Q6Q0C0')"
"('P16871', 'P07195')"
"('Q99880', 'P0C5Y9')"
"('P22455', 'Q9NQ66')"
"('P56750', 'Q8NI35')"
"('O95084', 'P12236')"
"('Q8TE67', 'P48023')"
"('Q86WV6', 'P51617')"
"('Q15653', 'P15104')"
"('Q09028', 'O00422')"
"('O14965', 'Q17RY0')"
"('P62877', 'P24385')"
"('Q71U36', 'O95989')"
"('Q9NS69', 'P18146')"
"('406983', 'Q9Y2M5')"
"('P11171', 'Q9NR31')"
"('P62314', 'Q01081')"
"('Q15583', 'O75593')"
"('O00237', 'Q9Y2X8')"
"('P35442', 'P18084')"
"('Q12933', 'P62158')"
"('P62854', 'P62993')"
"('P62826', 'Q9HAU4')"
"('Q15582', 'P11215')"
"('Q9NWQ8', 'P17844')"
"('Q15459', 'P49841')"
"('P84243', 'Q9Y5B9')"
"('O75554', 'Q07666')"
"('P0C5Y9', 'P06899')"
"('Q96B18', 'O94806')"
"('Q9UBD0', 'P54253')"
"('O15519', 'Q99558')"
"('Q9HAV0', 'P27986')"
"('P49765', 'P17948')"
"('O15533', 'P10321')"
"('O95996', 'P20823')"
"('Q9NZA1', 'P15311')"
"('Q13131', 'Q16526')"
"('Q09472', 'P35638')"
"('P62136', 'Q9NZT1')"
"('Q15047', 'Q9H4M7')"
"('P28906', 'P14151')"
"('Q9NY59', 'Q5UIP0')"
"('O00585', 'P51685')"
"('P63218', 'P08172')"
"('P18146', 'P22223')"
"('P56945', 'Q05397')"
"('Q15648', 'Q07869')"
"('P55157', 'Q8NFP9')"
"('Q99490', 'Q92569')"
"('Q9BRQ0', 'Q92830')"
"('P04179', 'P29372')"
"('P38398', 'Q96CW5')"
"('P32121', 'O00203')"
"('Q9Y5L4', 'Q13617')"
"('P63096', 'Q68DD2')"
"('Q969Y2', 'Q16401')"
"('P51970', 'Q9Y6M9')"
"('P17676', 'Q9Y2D1')"
"('Q9UHA4', 'Q5VU43')"
"('Q13077', 'P17844')"
"('Q9Y261', 'P67870')"
"('P05230', 'P11362')"
"('Q92993', 'P29590')"
"('P62316', 'Q9Y333')"
"('Q9BQI3', 'P46734')"
"('Q92769', 'P10244')"
"('P61981', 'Q9NSB4')"
"('Q14012', 'P29474')"
"('P62993', 'O00254')"
"('P49720', 'P01889')"
"('P58876', 'Q9BTM1')"
"('Q00978', 'P10147')"
"('P35658', 'Q9UKX7')"
"('P62249', 'P62633')"
"('P29353', 'Q13233')"
"('Q9H2X6', 'Q92793')"
"('Q96C03', 'O00429')"
"('P16885', 'Q9NZT1')"
"('P20618', 'Q14164')"
"('Q16539', 'P07197')"
"('Q9NQC3', 'O43639')"
"('P51679', 'P32121')"
"('O43251', 'P26599')"
"('P12110', 'P16144')"
"('Q9UBU7', 'O96017')"
"('P18146', 'O00165')"
"('P38936', 'P39748')"
"('P84103', 'Q01130')"
"('P05014', 'P10912')"
"('P55072', 'Q9P2S5')"
"('Q9UKB1', 'P46937')"
"('Q00839', 'P09651')"
"('P38398', 'Q99728')"
"('P17947', 'Q15306')"
"('P35968', 'P06241')"
"('O75448', 'O60244')"
"('P62158', 'P29474')"
"('P04406', 'O00141')"
"('O60381', 'Q5VSY0')"
"('P63000', 'Q9Y6W5')"
"('P05386', 'P62888')"
"('P60709', 'P60228')"
"('P35637', 'Q9NX58')"
"('Q92597', 'P05023')"
"('P62316', 'Q8WXD5')"
"('Q13573', 'Q9H4B7')"
"('P49321', 'Q9UET6')"
"('P51617', 'Q9Y616')"
"('O14978', 'O95967')"
"('Q01081', 'P52272')"
"('Q05655', 'P04049')"
"('O15269', 'Q9Y5V3')"
"('P16234', 'P16885')"
"('P52597', 'P51991')"
"('O00471', 'P63104')"
"('Q99623', 'Q9NZU0')"
"('O95433', 'Q9Y2J2')"
"('Q9UM73', 'P21709')"
"('Q02556', 'P15884')"
"('Q14566', 'Q8WYH8')"
"('Q8N9B5', 'Q09472')"
"('O15444', 'P51686')"
"('Q99460', 'Q99459')"
"('Q96L91', 'Q96Q83')"
"('Q92904', 'Q15038')"
"('Q8IUQ4', 'Q13702')"
"('P68032', 'Q16658')"
"('P62330', 'P36406')"
"('P02462', 'P16070')"
"('P17480', 'O95602')"
"('P33991', 'Q92794')"
"('P42575', 'O95831')"
"('P09874', 'P78527')"
"('P12532', 'P01889')"
"('406911', 'Q16611')"
"('P23443', 'Q05195')"
"('P32121', 'Q14137')"
"('P35527', 'P01871')"
"('P57088', 'Q9P1U1')"
"('Q8N3U4', 'Q9NP77')"
"('P63104', 'Q9Y4F9')"
"('P78524', 'P31947')"
"('P28482', 'P46695')"
"('Q86X55', 'Q01201')"
"('Q9UKI9', 'P41182')"
"('Q99819', 'P08138')"
"('P01106', 'Q9BZE1')"
"('Q99592', 'Q13153')"
"('Q15369', 'Q15714')"
"('Q96NY8', 'Q9NQS3')"
"('Q13554', 'Q14934')"
"('P25445', 'P17931')"
"('O14744', 'P08621')"
"('O75626', 'Q9Y6W6')"
"('P83916', 'P30050')"
"('Q9UHV7', 'Q9NVC6')"
"('P04141', 'Q5VWK5')"
"('Q9Y6K9', 'P62263')"
"('Q9UKR5', 'Q9UQB8')"
"('Q9H9G7', 'P04350')"
"('O14576', 'Q96FJ2')"
"('Q9H2G2', 'Q8NFP9')"
"('Q9HCP0', 'Q13422')"
"('O43900', 'P55157')"
"('P47898', 'P62879')"
"('Q9NYJ8', 'P62158')"
"('P19338', 'Q99558')"
"('P04792', 'Q9UJY1')"
"('Q96PM5', 'Q9UQM7')"
"('P04150', 'Q05086')"
"('P01106', 'Q96AA3')"
"('Q9Y6K9', 'Q15653')"
"('P00519', 'O14746')"
"('Q07869', 'P05413')"
"('P12757', 'Q7LFL8')"
"('Q8IY92', 'Q53RT3')"
"('P41227', 'Q15637')"
"('Q8TD86', 'P48454')"
"('Q9UBF6', 'Q9NQX7')"
"('P10451', 'P26010')"
"('P0CG47', 'P60900')"
"('Q93063', 'P41235')"
"('P29459', 'P26951')"
"('P56559', 'P61421')"
"('Q9HC52', 'P68431')"
"('Q13255', 'Q12879')"
"('Q9H467', 'O75807')"
"('P61218', 'Q9BTT4')"
"('Q6P4Q7', 'Q12974')"
"('P61981', 'Q14155')"
"('P02654', 'P02647')"
"('Q99816', 'Q9NS91')"
"('Q92905', 'Q99828')"
"('O95402', 'O75586')"
"('Q52LW3', 'Q07890')"
"('P68133', 'P35221')"
"('Q86Z02', 'P04637')"
"('P17252', 'Q15109')"
"('O95831', 'Q96HA7')"
"('O00571', 'O95786')"
"('P49810', 'Q92542')"
"('P04899', 'Q00722')"
"('O15067', 'Q9H173')"
"('P63279', 'P23497')"
"('Q09472', 'P68104')"
"('Q3SY69', 'Q14197')"
"('P51955', 'Q96PX6')"
"('P38936', 'P07858')"
"('Q9Y5P8', 'O00305')"
"('P00519', 'P15586')"
"('Q16236', 'Q16621')"
"('Q9NRS6', 'Q96BY9')"
"('P61073', 'P40939')"
"('P98177', 'O43521')"
"('Q9NRR5', 'Q92956')"
"('P52294', 'P63104')"
"('Q96ST3', 'Q9UI36')"
"('Q86UX7', 'P08514')"
"('O43639', 'P21860')"
"('P04141', 'P16871')"
"('Q92973', 'Q9UBU9')"
"('Q15012', 'P04350')"
"('Q01844', 'Q9H467')"
"('Q01844', 'P62899')"
"('Q9ULK4', 'P49336')"
"('P20936', 'Q13480')"
"('Q6ZVK8', 'Q8N5Z5')"
"('P28067', 'P01903')"
"('P62258', 'Q6PEY2')"
"('Q13573', 'P14625')"
"('Q04206', 'P78556')"
"('O60506', 'P62195')"
"('P29692', 'P01241')"
"('Q96F24', 'Q9UQE7')"
"('P40763', 'Q14192')"
"('P04629', 'P98077')"
"('P09619', 'P98077')"
"('P78527', 'Q02539')"
"('Q13573', 'Q13148')"
"('Q13467', 'Q9NQ66')"
"('P04083', 'Q9Y600')"
"('P35579', 'Q02045')"
"('P63261', 'Q9UKX3')"
"('P01023', 'O95059')"
"('P27635', 'P40429')"
"('P30491', 'P61769')"
"('Q96L34', 'Q92614')"
"('Q15415', 'P18146')"
"('P34931', 'Q9UBR2')"
"('O60244', 'P10827')"
"('P51671', 'P46092')"
"('Q9H6Z4', 'P50053')"
"('O95251', 'Q14566')"
"('Q8N2W9', 'Q16891')"
"('P13645', 'P49642')"
"('P42575', 'P99999')"
"('P40938', 'P01106')"
"('O95049', 'Q9P2M7')"
"('Q13277', 'P18206')"
"('P12109', 'P16144')"
"('Q14683', 'Q15365')"
"('P32121', 'Q8NGX5')"
"('P62070', 'P27986')"
"('Q9UBN7', 'P06241')"
"('O94850', 'Q96B97')"
"('P01889', 'P61604')"
"('P18146', 'O75309')"
"('Q6WCQ1', 'P09493')"
"('P00519', 'P63244')"
"('Q13432', 'Q7L099')"
"('Q92614', 'Q15287')"
"('Q9Y5Q3', 'O75444')"
"('P31946', 'Q9Y2H1')"
"('Q92831', 'P63241')"
"('Q96F07', 'O60861')"
"('P52948', 'Q99567')"
"('O75626', 'Q9HB58')"
"('P09874', 'Q01094')"
"('Q99558', 'P61353')"
"('P06396', 'P68133')"
"('Q13469', 'P01375')"
"('Q13535', 'P24928')"
"('O60437', 'Q9UMD9')"
"('P60520', 'P07355')"
"('P05106', 'P46109')"
"('Q15834', 'Q96LL4')"
"('Q02447', 'Q06546')"
"('P58753', 'Q29RF7')"
"('P01009', 'P10114')"
"('Q92797', 'Q05048')"
"('P27695', 'Q16665')"
"('A8MT69', 'Q9NPI8')"
"('P16401', 'Q13185')"
"('P46100', 'P29590')"
"('P55157', 'Q9H0X9')"
"('Q969T4', 'O15111')"
"('Q02878', 'P30050')"
"('Q16659', 'Q8TAW3')"
"('P27037', 'P84022')"
"('Q13315', 'Q9Y6J9')"
"('Q92900', 'Q92540')"
"('P20042', 'Q9P2H0')"
"('Q9Y244', 'P28070')"
"('P49716', 'P63165')"
"('P21333', 'P63261')"
"('P40424', 'O00470')"
"('P22090', 'P23396')"
"('P12532', 'O60739')"
"('Q14103', 'P26368')"
"('P62979', 'P62269')"
"('Q15910', 'O75530')"
"('P01579', 'P40238')"
"('P63279', 'Q9NPI1')"
"('Q86WV6', 'P0CG48')"
"('P39023', 'Q14164')"
"('Q14197', 'Q8NI60')"
"('O15105', 'Q15796')"
"('Q70EL1', 'Q7LBR1')"
"('Q13315', 'Q8ND56')"
"('P98082', 'O75581')"
"('Q9H0E2', 'Q9NP58')"
"('Q13976', 'Q13936')"
"('P55774', 'P51679')"
"('Q99717', 'Q15797')"
"('Q16363', 'Q8IWV7')"
"('P19174', 'Q9UN19')"
"('Q9H3P7', 'Q9UBF8')"
"('Q92901', 'P62899')"
"('Q04206', 'P13500')"
"('Q9UKR5', 'P49903')"
"('P16333', 'Q9BQ89')"
"('P62993', 'P55157')"
"('O60674', 'P50570')"
"('P42768', 'P23470')"
"('P11171', 'Q15691')"
"('Q14643', 'Q9UQM7')"
"('Q8WUY8', 'Q9NRH1')"
"('P0CG48', 'O75886')"
"('Q8IZE3', 'P22888')"
"('O00422', 'Q16740')"
"('O15519', 'P22087')"
"('Q04864', 'P04141')"
"('Q16539', 'Q66LE6')"
"('Q9P246', 'Q96D31')"
"('Q13569', 'P10276')"
"('O94979', 'P55735')"
"('Q09472', 'Q92585')"
"('P22681', 'Q99962')"
"('P40933', 'Q9HBE5')"
"('O14625', 'P46092')"
"('Q9H1A4', 'Q9UJX3')"
"('Q9BWW9', 'P12931')"
"('Q92769', 'P62805')"
"('Q03014', 'O95967')"
"('O00567', 'Q16594')"
"('O43390', 'Q15366')"
"('Q00325', 'Q9Y572')"
"('Q13315', 'Q96QE3')"
"('P29400', 'Q13683')"
"('Q9NR33', 'P78537')"
"('P25101', 'Q03113')"
"('Q9BZI7', 'Q9UBU9')"
"('Q00653', 'P01584')"
"('O95816', 'O95391')"
"('P02776', 'P13611')"
"('P04406', 'P63167')"
"('Q9UQ80', 'Q9NR46')"
"('P62081', 'P60866')"
"('Q562F6', 'Q15172')"
"('406906', 'Q86SR1')"
"('P33240', 'Q16630')"
"('P35625', 'Q9UNA0')"
"('P55103', 'P01137')"
"('O60602', 'P27986')"
"('Q92769', 'Q99877')"
"('Q07955', 'P26599')"
"('Q16644', 'Q15910')"
"('Q99496', 'Q14781')"
"('O60674', 'P03372')"
"('P18146', 'O14776')"
"('Q676U5', 'Q5SXM2')"
"('Q9UET6', 'P13804')"
"('Q12933', 'P63261')"
"('Q12778', 'Q15848')"
"('A8K6C2', 'Q99665')"
"('P01137', 'P09486')"
"('Q03701', 'O75569')"
"('Q13315', 'Q9ULL1')"
"('Q9NZT1', 'Q08828')"
"('Q12933', 'P0CG48')"
"('Q09472', 'P33991')"
"('O95400', 'Q2TAY7')"
"('P27658', 'P49023')"
"('Q8IY92', 'P36952')"
"('Q99459', 'P31943')"
"('P09543', 'Q9Y4K3')"
"('P51965', 'P78317')"
"('Q13554', 'Q08462')"
"('P15884', 'P50553')"
"('P34998', 'P63096')"
"('P41250', 'P63104')"
"('Q92769', 'Q96BD5')"
"('Q9BY84', 'P27361')"
"('P62714', 'P48643')"
"('Q15102', 'P32456')"
"('P30480', 'P61604')"
"('Q9BU40', 'Q9UGN5')"
"('P30559', 'Q02641')"
"('Q9NY65', 'P16871')"
"('Q15811', 'Q9BYC9')"
"('O15162', 'P05413')"
"('Q86YJ6', 'O15145')"
"('P53350', 'Q9UBS3')"
"('P48050', 'Q9HAP6')"
"('P63104', 'Q13191')"
"('Q96A00', 'Q02156')"
"('P10721', 'Q9NR46')"
"('P55040', 'Q9NR12')"
"('Q9BZL4', 'Q96A32')"
"('Q9Y5J5', 'Q8TEX9')"
"('P63104', 'Q8IVF6')"
"('P62269', 'P22090')"
"('Q9NP31', 'Q9Y2U5')"
"('P25116', 'P50148')"
"('P17612', 'Q12879')"
"('O15111', 'P68431')"
"('P63092', 'Q99459')"
"('Q9HBI1', 'P60709')"
"('O15234', 'P61326')"
"('P33240', 'Q9P2I0')"
"('Q9HAW4', 'P63146')"
"('Q9H2G9', 'P18146')"
"('P27348', 'O14746')"
"('Q9HAU4', 'Q9H160')"
"('O14686', 'Q6UXN9')"
"('Q7L2H7', 'O15372')"
"('P51572', 'Q07817')"
"('Q01130', 'Q99590')"
"('Q8IYH5', 'Q92830')"
"('Q13164', 'P50549')"
"('P26012', 'P53708')"
"('O95415', 'P46977')"
"('P01889', 'P26038')"
"('Q8WVZ9', 'Q9H0R8')"
"('P62269', 'Q9UKV8')"
"('Q9NPC1', 'P50148')"
"('Q693B1', 'Q13547')"
"('P63267', 'P14649')"
"('P19419', 'Q6SJ96')"
"('P0CG48', 'Q9UL18')"
"('Q16587', 'P18146')"
"('Q13480', 'Q9GZY6')"
"('Q8N5I3', 'O75909')"
"('Q13151', 'Q86V81')"
"('P08047', 'P49716')"
"('P39019', 'P35544')"
"('P05387', 'P50914')"
"('Q13535', 'Q9H6F5')"
"('P50914', 'P18124')"
"('P01568', 'P10912')"
"('P52630', 'P52294')"
"('Q9Y6N8', 'P21246')"
"('Q9Y478', 'O00253')"
"('Q6UXN9', 'Q9UBL3')"
"('Q96LM6', 'Q93062')"
"('P36897', 'P15882')"
"('P22681', 'P19235')"
"('Q53EZ4', 'Q9H9H4')"
"('Q9Y4K3', 'Q16836')"
"('P47897', 'Q9Y5J5')"
"('P22392', 'P62745')"
"('Q9BUJ2', 'P08579')"
"('Q8WVD5', 'Q9HCE7')"
"('P25025', 'Q8TE73')"
"('Q8TAP4', 'Q9NS73')"
"('Q8N668', 'P51168')"
"('Q14181', 'Q9H8T0')"
"('P05019', 'P27986')"
"('Q15796', 'P26368')"
"('O95831', 'Q6WCQ1')"
"('Q13077', 'P25942')"
"('Q99624', 'P42285')"
"('P08047', 'Q15573')"
"('P35080', 'Q9Y4K3')"
"('P01106', 'Q13177')"
"('P10276', 'Q96T58')"
"('Q13573', 'Q13416')"
"('O15551', 'P57739')"
"('O95047', 'P38405')"
"('Q9NWA0', 'Q71SY5')"
"('P19012', 'O14639')"
"('Q13573', 'Q96FV9')"
"('P32121', 'Q6IF36')"
"('Q15759', 'P63151')"
"('P14625', 'Q14573')"
"('P01242', 'P48551')"
"('P00403', 'P22681')"
"('P32927', 'P63244')"
"('P05387', 'P63104')"
"('P41182', 'Q9NQT8')"
"('P01889', 'P67812')"
"('O95471', 'Q8N6F1')"
"('P53007', 'P18206')"
"('Q9NYF0', 'Q16513')"
"('Q6PEY2', 'Q92974')"
"('Q13077', 'P11142')"
"('P46937', 'Q15796')"
"('Q92993', 'Q9NV56')"
"('Q07890', 'P62993')"
"('Q9UHD2', 'P42226')"
"('O43765', 'P35080')"
"('P05129', 'P27361')"
"('P49841', 'Q13163')"
"('Q9H9D4', 'Q86SE5')"
"('P13637', 'Q96EB6')"
"('Q9NZT1', 'P15735')"
"('Q00536', 'Q15436')"
"('P62714', 'Q5FBB7')"
"('Q9ULV8', 'P19235')"
"('P25205', 'O76070')"
"('P45984', 'O60239')"
"('P63104', 'Q96HR9')"
"('Q9H1B7', 'Q7Z7E8')"
"('P15880', 'P39019')"
"('Q5VTD9', 'Q8IXK0')"
"('O75369', 'Q9HAU4')"
"('P36897', 'Q9C0J8')"
"('Q9HBE4', 'P40763')"
"('P62987', 'Q15034')"
"('Q9BRC7', 'Q9UI26')"
"('P38646', 'P25963')"
"('P0CG06', 'Q9NRR5')"
"('Q8IYD1', 'Q13310')"
"('P23497', 'Q13185')"
"('P62308', 'O95400')"
"('P54253', 'Q14671')"
"('Q9NRW7', 'Q9H1K0')"
"('Q13352', 'P05091')"
"('Q14872', 'O15131')"
"('O00154', 'P54253')"
"('A6NHT5', 'O75674')"
"('Q96I25', 'Q8IWZ8')"
"('P43405', 'Q13393')"
"('Q00987', 'P21802')"
"('Q96GQ7', 'P32121')"
"('Q16777', 'Q16778')"
"('Q9ULV8', 'P26951')"
"('Q6IE81', 'O95251')"
"('P46778', 'O00442')"
"('Q9C026', 'Q9NV70')"
"('P11532', 'P68133')"
"('P42338', 'P60953')"
"('P05556', 'Q13753')"
"('Q14289', 'Q00005')"
"('Q07021', 'Q9UKV8')"
"('O14639', 'Q12772')"
"('O00221', 'P49642')"
"('P54253', 'P48634')"
"('Q07889', 'P38936')"
"('P48454', 'Q9NZT1')"
"('Q15811', 'O15357')"
"('P27986', 'P01111')"
"('P11171', 'Q9Y237')"
"('P35998', 'P01106')"
"('Q15555', 'P25791')"
"('P08107', 'P50502')"
"('O00241', 'P43405')"
"('Q15047', 'Q14181')"
"('407028', 'P24385')"
"('P10909', 'P35222')"
"('Q9Y2J4', 'Q9Y6D9')"
"('Q15714', 'O60762')"
"('P62136', 'O14727')"
"('P62714', 'Q9Y624')"
"('P49023', 'Q9HBI1')"
"('Q99578', 'P18206')"
"('Q13554', 'P27815')"
"('P29400', 'P13612')"
"('Q03426', 'Q01844')"
"('P61956', 'Q92844')"
"('P35626', 'P32246')"
"('P10415', 'Q07820')"
"('P62910', 'P30480')"
"('Q9Y4K3', 'Q9NVA2')"
"('P27986', 'P26373')"
"('O76064', 'P06899')"
"('P62851', 'P08708')"
"('Q15185', 'P30480')"
"('Q06330', 'P48544')"
"('P03901', 'O95299')"
"('P19087', 'P18545')"
"('Q8TD86', 'O60503')"
"('P25786', 'Q13137')"
"('P46779', 'P32969')"
"('P63000', 'P48736')"
"('P62136', 'Q13936')"
"('Q01085', 'Q13573')"
"('P24385', 'P17535')"
"('Q12796', 'P13631')"
"('Q05516', 'P20042')"
"('Q9BXM7', 'Q14194')"
"('O15519', 'P19838')"
"('P55735', 'Q5JSH3')"
"('P17252', 'Q96B18')"
"('P18669', 'Q14203')"
"('Q5JWF2', 'P61952')"
"('Q92793', 'P68431')"
"('O15273', 'Q969Q1')"
"('O43809', 'P01023')"
"('P25024', 'P25025')"
"('Q08345', 'O43639')"
"('Q13242', 'Q08211')"
"('P63208', 'P62877')"
"('Q9Y297', 'O15055')"
"('P56556', 'O96000')"
"('P51955', 'Q9H254')"
"('P05412', 'P53779')"
"('P63027', 'O14810')"
"('P62993', 'P10644')"
"('P98170', 'Q15750')"
"('Q9Y617', 'Q9UKE5')"
"('Q96RG2', 'P16118')"
"('Q92922', 'O15360')"
"('P55103', 'P36896')"
"('P29084', 'P07332')"
"('P41743', 'Q16543')"
"('O75486', 'Q9Y6J9')"
"('Q9UPT5', 'Q15834')"
"('P54727', 'Q13148')"
"('P49674', 'Q96B18')"
"('Q14289', 'Q01844')"
"('P42566', 'Q9H2G2')"
"('P63104', 'O00506')"
"('O95400', 'Q8IX12')"
"('O75159', 'P15509')"
"('P13498', 'O15264')"
"('P26441', 'P38484')"
"('Q6ZNA4', 'P51668')"
"('P62244', 'P62273')"
"('Q16629', 'Q01081')"
"('O14798', 'Q9Y2P4')"
"('P06239', 'O60880')"
"('P62324', 'P12956')"
"('P63165', 'P56693')"
"('P0CG47', 'O75581')"
"('Q13315', 'Q14807')"
"('P22607', 'P43235')"
"('P62910', 'P27635')"
"('O00232', 'P43686')"
"('P62249', 'P19438')"
"('P06493', 'Q9BQQ3')"
"('Q9Y3I1', 'P30281')"
"('O95750', 'P11362')"
"('O94907', 'Q96MU8')"
"('Q9NQT4', 'P14618')"
"('P62854', 'Q9HCK5')"
"('P61978', 'Q86X55')"
"('Q86V24', 'Q15831')"
"('Q99759', 'P48643')"
"('Q15475', 'Q15834')"
"('P03372', 'P07339')"
"('P48551', 'P05013')"
"('P01850', 'P01848')"
"('P12956', 'P11142')"
"('Q14669', 'Q13573')"
"('P31943', 'Q15637')"
"('O60518', 'Q15796')"
"('P58107', 'Q13573')"
"('P62805', 'P56524')"
"('Q9HAV0', 'P63096')"
"('Q9NRD5', 'Q9H492')"
"('P14735', 'P10147')"
"('P05412', 'P49407')"
"('P56817', 'P05067')"
"('Q08209', 'Q53ET0')"
"('P84022', 'P11940')"
"('P07900', 'O15530')"
"('Q13017', 'P17081')"
"('Q9Y2W2', 'Q15811')"
"('Q15714', 'Q9UNN5')"
"('P68400', 'P55010')"
"('Q9Y2I6', 'O15015')"
"('Q5VVX9', 'Q9C040')"
"('P51911', 'P62158')"
"('Q96T21', 'Q14CW9')"
"('P55201', 'O95696')"
"('P46778', 'P46777')"
"('Q15306', 'P51617')"
"('Q16665', 'P61244')"
"('Q9BZ29', 'P61587')"
"('P27361', 'P17535')"
"('P25054', 'P47755')"
"('P03372', 'Q13547')"
"('P63279', 'O75030')"
"('P28482', 'Q9NZK7')"
"('P38646', 'P49642')"
"('Q13952', 'P16035')"
"('Q99558', 'P19838')"
"('Q9Y397', 'P01112')"
"('P83916', 'P16402')"
"('P04114', 'P08107')"
"('P14136', 'Q9UGJ1')"
"('P62140', 'Q9H788')"
"('A6NIT4', 'P16871')"
"('O15350', 'O15151')"
"('O15287', 'P07992')"
"('O43504', 'Q9H063')"
"('O60500', 'P02768')"
"('Q9NX14', 'Q86Y39')"
"('P52747', 'Q9Y333')"
"('Q8IWA4', 'Q15714')"
"('O43504', 'Q9BVJ6')"
"('Q13023', 'Q15788')"
"('P23396', 'O15264')"
"('P24821', 'P08648')"
"('O60739', 'P05198')"
"('Q8IVF7', 'O75400')"
"('Q9UQE7', 'O95072')"
"('O00499', 'P61106')"
"('P56524', 'Q9BTM1')"
"('O15357', 'Q9BX66')"
"('Q86Y39', 'O43677')"
"('O75554', 'P08621')"
"('P60709', 'Q9Y2K3')"
"('P37108', 'P62330')"
"('Q9H082', 'Q676U5')"
"('Q13573', 'P19338')"
"('Q14164', 'Q15691')"
"('Q99619', 'Q9UBF6')"
"('P45983', 'P30305')"
"('P29320', 'P20936')"
"('P59998', 'P60709')"
"('P62714', 'P51617')"
"('Q9UPR3', 'Q969Q6')"
"('P36402', 'P28347')"
"('407008', 'Q06413')"
"('P33991', 'O95251')"
"('Q9Y5H9', 'P46108')"
"('O14733', 'P53779')"
"('P0CG48', 'O43583')"
"('P62987', 'P18124')"
"('Q16890', 'Q96J77')"
"('Q12873', 'P12757')"
"('Q96N66', 'Q86WV6')"
"('O14649', 'P53618')"
"('P43307', 'Q9BVJ6')"
"('P42229', 'Q07817')"
"('P04637', 'P58004')"
"('Q9Y4E8', 'O15519')"
"('Q969W0', 'P04350')"
"('Q9GZM7', 'Q99750')"
"('P57730', 'Q9ULZ3')"
"('Q9Y6D5', 'Q9NZ08')"
"('P18084', 'O00622')"
"('P35626', 'Q8NGJ5')"
"('P62333', 'P19438')"
"('P28799', 'P52790')"
"('P63215', 'P51828')"
"('Q9NR96', 'P60002')"
"('Q5VTD9', '26012')"
"('P62877', 'Q9UKB1')"
"('Q92793', 'Q99941')"
"('Q9Y2T4', 'Q13698')"
"('Q03591', 'P08603')"
"('P46934', 'Q9H469')"
"('P56746', 'O95832')"
"('P04234', 'P42338')"
"('P20226', 'Q06587')"
"('P30101', 'Q8N8Z6')"
"('Q15319', 'Q99684')"
"('Q99879', 'Q8IUE6')"
"('Q5SRE5', 'Q99567')"
"('Q9BUB5', 'Q04637')"
"('P60709', 'O95793')"
"('P01100', 'Q16520')"
"('O14543', 'Q5H9I0')"
"('Q09472', 'Q02930')"
"('P27797', 'P16104')"
"('P04844', 'P62330')"
"('Q9UHC7', 'Q96B26')"
"('Q7L5N1', 'Q13098')"
"('Q9UHD2', 'Q99832')"
"('P21246', 'P21695')"
"('Q8WXI2', 'Q9UKE5')"
"('Q8TCW9', 'P61081')"
"('P17252', 'P12830')"
"('P50914', 'P27635')"
"('Q2I0M4', 'Q8TDR0')"
"('O75400', 'Q8N2W9')"
"('Q9H4L4', 'Q6VMQ6')"
"('P01137', 'Q06265')"
"('Q01658', 'Q9ULM3')"
"('P13942', 'P20073')"
"('P62140', 'Q9BUA6')"
"('P06756', 'O75369')"
"('Q9BUJ2', 'Q16637')"
"('Q16539', 'P09211')"
"('Q06609', 'Q96B01')"
"('O95757', 'P56537')"
"('P27348', 'O15198')"
"('Q9Y620', 'P49674')"
"('Q13573', 'Q96PK6')"
"('Q9NS98', 'O14786')"
"('Q3KP66', 'P31947')"
"('Q04206', 'Q07325')"
"('Q9GZQ8', 'Q9BT49')"
"('O75448', 'Q9NX70')"
"('O95049', 'Q96B33')"
"('P06241', 'Q13432')"
"('Q07866', 'P63104')"
"('Q99759', 'Q9UDY4')"
"('P51149', 'P29372')"
