negatives
"('Q8IU85', 'Q96NX5')"
"('Q9H4L7', 'Q96CS4')"
"('Q9ULX6', 'Q9BTL3')"
"('P30153', 'P22830')"
"('P31943', 'Q92945')"
"('P31946', 'P27448')"
"('Q8IXQ6', 'Q99523')"
"('P23229', 'P53708')"
"('Q7Z5K2', 'Q14694')"
"('P26640', 'Q12948')"
"('P35520', 'O95166')"
"('P22830', 'P0DP24')"
"('Q9UL03', 'O00422')"
"('Q13618', 'P11172')"
"('P62857', 'P13612')"
"('Q8TC76', 'Q86SQ0')"
"('O15371', 'Q13347')"
"('P03915', 'O15239')"
"('Q9Y4B4', 'P19793')"
"('Q13435', 'Q9BWJ5')"
"('P62913', 'Q13867')"
"('Q8NEB9', 'Q9P2Y5')"
"('Q9BW71', 'P54198')"
"('O95411', 'Q13485')"
"('Q00653', 'Q15029')"
"('Q6P1J9', 'P36406')"
"('Q9UJV9', 'P43243')"
"('Q86T90', 'O95684')"
"('Q96MT4', 'Q6ZRY4')"
"('P46781', 'P05362')"
"('Q9Y2W2', 'P06241')"
"('Q6IBS0', 'O14980')"
"('P23443', 'Q15382')"
"('P54886', 'Q6RW13')"
"('Q9NRD1', 'P21980')"
"('P00533', 'Q71U36')"
"('Q96D03', 'Q49AR2')"
"('Q15750', 'Q9Y2G2')"
"('P04629', 'P49915')"
"('Q8N3V7', 'Q00610')"
"('Q13492', 'P36543')"
"('P54619', 'Q9BYR5')"
"('P40692', 'Q12974')"
"('Q8IVT2', 'P26367')"
"('Q8TEW0', 'P62136')"
"('P19784', 'Q86TI2')"
"('Q8NC51', 'Q9H7E2')"
"('P17483', 'P22415')"
"('O14807', 'Q8WWW0')"
"('Q6P1K8', 'Q13888')"
"('Q0D2K3', 'Q04864')"
"('P36578', 'Q9BVP2')"
"('Q92905', 'Q15046')"
"('Q7Z7F0', 'P26368')"
"('P49639', 'P10745')"
"('O00743', 'P12694')"
"('Q9Y4D1', 'Q9UHW5')"
"('Q7Z6E9', 'P03372')"
"('P09234', 'Q96GG9')"
"('P51116', 'O95171')"
"('O43390', 'Q12874')"
"('Q86V48', 'O60308')"
"('Q9BRS2', 'Q13573')"
"('P12814', 'P05556')"
"('P80297', 'O75376')"
"('P62258', 'P10398')"
"('P49639', 'Q8NAJ2')"
"('P11532', 'O14980')"
"('P06730', 'O94903')"
"('P10276', 'Q13501')"
"('O14862', 'P12956')"
"('P05412', 'Q12968')"
"('Q93100', 'Q96GE6')"
"('P40337', 'O75608')"
"('P20618', 'P14373')"
"('Q15389', 'Q16620')"
"('P50914', 'Q9NQ55')"
"('P17535', 'Q06945')"
"('O94916', 'P05181')"
"('A8MW92', 'Q13330')"
"('O15467', 'P41597')"
"('Q96A72', 'O14641')"
"('O00165', 'P10909')"
"('Q15018', 'Q9NR09')"
"('P01100', 'P23771')"
"('Q5T7N3', 'P41240')"
"('Q7Z3C6', 'Q92609')"
"('Q8N9N2', 'P01024')"
"('P08865', 'P62847')"
"('Q07890', 'P06241')"
"('Q86X19', 'Q86Y07')"
"('Q15393', 'O75940')"
"('O43513', 'O43251')"
"('P04629', 'P82930')"
"('P78524', 'P55157')"
"('Q13257', 'Q6XUX3')"
"('P07814', 'Q7Z6Z7')"
"('Q9BYR5', 'Q9UGL9')"
"('P25963', 'P18848')"
"('Q08379', 'O95171')"
"('Q14241', 'O95073')"
"('P68400', 'Q15672')"
"('P15924', 'Q92817')"
"('Q9NYW8', 'Q8N9N8')"
"('Q6N069', 'P49715')"
"('Q66GS9', 'Q6ZRV2')"
"('P41743', 'Q16543')"
"('Q5UIP0', 'P23921')"
"('P16152', 'O60739')"
"('P55209', 'Q5C9Z4')"
"('Q9HAN9', 'P24863')"
"('Q13153', 'P15153')"
"('O43242', 'P62191')"
"('P43243', 'Q9Y3I0')"
"('Q04771', 'Q9Y2X0')"
"('P51587', 'Q9NXR7')"
"('P27635', 'P46779')"
"('Q9C0C9', 'P05412')"
"('Q9P0N5', 'O14654')"
"('P16144', 'Q99500')"
"('P26373', 'P63173')"
"('Q9NWB7', 'Q8IUH5')"
"('P15336', 'P29590')"
"('Q01105', 'O95071')"
"('Q9BYZ6', 'Q9UGL1')"
"('Q02297', 'Q86X29')"
"('Q9UNS2', 'P35638')"
"('P06400', 'Q09472')"
"('O14775', 'Q9UGJ0')"
"('P52594', 'Q9HCN4')"
"('Q15468', 'Q8NFD5')"
"('Q16543', 'Q6ZN16')"
"('Q14671', 'Q96GD4')"
"('Q92614', 'Q6NXT4')"
"('P80404', 'Q9BRL7')"
"('P11229', 'P38405')"
"('Q96AE4', 'Q96G23')"
"('P42694', 'Q99856')"
"('O75449', 'Q13509')"
"('Q03060', 'P17947')"
"('Q9NP64', 'Q6NYC1')"
"('Q9C026', 'Q8NI38')"
"('Q8N6W0', 'Q9BYP8')"
"('Q92922', 'Q02880')"
"('P62241', 'Q9Y2R9')"
"('P15336', 'P08195')"
"('Q8N1F7', 'Q99459')"
"('Q96GX5', 'Q9GZP9')"
"('P31689', 'Q14CZ7')"
"('P06493', 'P49450')"
"('Q53G59', 'Q8N205')"
"('Q9UNL2', 'Q9HAW0')"
"('P61019', 'P60660')"
"('Q8TCC3', 'Q6XE24')"
"('P19784', 'P11387')"
"('P49450', 'Q16778')"
"('P05141', 'O75955')"
"('P78362', 'Q63ZY3')"
"('P39687', 'P37231')"
"('Q99963', 'P35367')"
"('P04637', 'Q06587')"
"('O60762', 'Q9P2X0')"
"('Q16620', 'Q10567')"
"('Q13114', 'Q13627')"
"('Q9Y625', 'Q401N2')"
"('Q06323', 'P48556')"
"('Q8WUM4', 'O75365')"
"('P62280', 'O00567')"
"('Q13838', 'P38919')"
"('Q9H0R8', 'P60842')"
"('Q96SK2', 'Q6NUS6')"
"('P56706', 'Q9H461')"
"('Q16548', 'P51532')"
"('O14936', 'Q9BZL6')"
"('P34931', 'Q13619')"
"('Q13315', 'Q9NYF8')"
"('O14508', 'P31785')"
"('Q9UK85', 'P55157')"
"('P05067', 'Q9H7U1')"
"('P78358', 'P51687')"
"('O60244', 'P08833')"
"('Q9UK99', 'P63208')"
"('Q969S8', 'O43809')"
"('P18084', 'P06756')"
"('O95182', 'Q9NR12')"
"('Q9HAW8', 'O60437')"
"('P04040', 'P00441')"
"('Q09028', 'Q9BSJ6')"
"('Q16666', 'Q9UIG0')"
"('Q9Y6K9', 'P60510')"
"('Q13761', 'P36402')"
"('O15524', 'Q9BXN2')"
"('Q96HA8', 'Q9NTM9')"
"('P22681', 'Q9NSB2')"
"('O75604', 'Q5TA45')"
"('P42167', 'O14862')"
"('P09651', 'Q13247')"
"('P19174', 'O75167')"
"('O95999', 'P27487')"
"('Q00610', 'O94875')"
"('O95155', 'P54252')"
"('Q96RU7', 'P41182')"
"('Q13469', 'P54886')"
"('P07900', 'Q96BD6')"
"('P42167', 'O14646')"
"('Q13233', 'O15169')"
"('Q13490', 'Q13546')"
"('P04198', 'Q13547')"
"('O75376', 'Q01196')"
"('P68431', 'Q13129')"
"('Q01415', 'Q96C23')"
"('P38398', 'Q96I51')"
"('Q9BY49', 'Q9GZZ9')"
"('Q9H2G2', 'Q9BWF2')"
"('P08246', 'P06132')"
"('Q9NYN1', 'Q96PE2')"
"('Q6ZNA4', 'Q5TA78')"
"('O14920', 'P0DP23')"
"('Q9H814', 'P15498')"
"('O14986', 'O43791')"
"('Q9UFE4', 'Q13618')"
"('Q15025', 'Q15750')"
"('Q14653', 'P45983')"
"('Q92569', 'P60763')"
"('Q15056', 'P52209')"
"('O43586', 'P49589')"
"('Q8TCT8', 'O00214')"
"('Q13501', 'O75487')"
"('Q9NYZ4', 'P04155')"
"('Q13526', 'O00571')"
"('Q15369', 'Q9UHV2')"
"('Q5VU43', 'O60925')"
"('O75409', 'P42858')"
"('P17936', 'Q14181')"
"('Q4G0J3', 'O60563')"
"('O60763', 'O15078')"
"('Q9UIV1', 'P42224')"
"('P29508', 'P45983')"
"('Q9NRD1', 'Q15645')"
"('Q9UHI8', 'Q9UI38')"
"('P60371', 'Q9UK13')"
"('O15479', 'P35637')"
"('P27695', 'O00505')"
"('O75400', 'O00422')"
"('Q8NG75', 'O95817')"
"('Q01860', 'Q15369')"
"('Q09472', 'P61201')"
"('P51668', 'Q8IYW5')"
"('Q5S007', 'P35354')"
"('Q9BXF6', 'Q9H6Z9')"
"('P61764', 'P41134')"
"('P28749', 'Q15022')"
"('Q08117', 'Q8WV44')"
"('Q9BUH8', 'O14639')"
"('O14530', 'Q13748')"
"('P19438', 'P09936')"
"('Q9NZJ5', 'O75956')"
"('P49736', 'Q96IU4')"
"('Q96P16', 'Q2NL67')"
"('Q13469', 'Q00987')"
"('P47928', 'P12931')"
"('P35637', 'O00459')"
"('Q96EY1', 'Q7Z2Y5')"
"('P13637', 'Q9Y3U8')"
"('Q13617', 'P04075')"
"('Q15370', 'P63244')"
"('Q99612', 'Q96KQ7')"
"('P07947', 'P49407')"
"('P82933', 'P07910')"
"('P30153', 'P06493')"
"('Q14151', 'O15379')"
"('O60673', 'P50914')"
"('Q15459', 'P21796')"
"('Q8WYL5', 'P63104')"
"('P35579', 'Q8TCJ0')"
"('Q9BW04', 'P84022')"
"('Q9Y2J4', 'Q15323')"
"('P26599', 'P57721')"
"('Q8WXE1', 'Q5VWN6')"
"('Q658P3', 'Q86X19')"
"('Q9BV73', 'P50914')"
"('P46109', 'P49023')"
"('P68104', 'P60842')"
"('O15379', 'Q9P2K3')"
"('Q9UNN5', 'P04183')"
"('P03372', 'P82979')"
"('O95379', 'P00966')"
"('Q9H0H5', 'P63010')"
"('Q10567', 'P49286')"
"('O60613', 'Q6NUS6')"
"('Q13133', 'Q99728')"
"('Q06945', 'O60869')"
"('Q9BZJ0', 'Q9Y3I1')"
"('P40306', 'P28070')"
"('P04629', 'P40925')"
"('P48048', 'P13569')"
"('Q13761', 'Q13951')"
"('Q567U6', 'Q9NP66')"
"('P63279', 'P23246')"
"('Q9NRD5', 'P98172')"
"('P09471', 'Q92997')"
"('Q13309', 'Q9H211')"
"('Q00839', 'Q9NPD3')"
"('P61978', 'Q9NRD1')"
"('P00441', 'Q01469')"
"('Q6VAB6', 'Q96EB6')"
"('Q9H2C0', 'P34931')"
"('Q9NYK5', 'Q8IUR7')"
"('P34897', 'P46736')"
"('Q9UKL0', 'Q53HC9')"
"('P62714', 'P36507')"
"('Q96JM7', 'Q9P2P5')"
"('Q15696', 'P49760')"
"('P43356', 'P29590')"
"('Q02241', 'P61204')"
"('Q9H2F5', 'Q96Q83')"
"('Q9UKW4', 'P27986')"
"('P00338', 'P19320')"
"('O75718', 'Q8IVT5')"
"('P15311', 'Q01726')"
"('P01106', 'Q8WW01')"
"('Q9HBE4', 'P31785')"
"('Q16543', 'P15056')"
"('Q8N0U8', 'Q15717')"
"('Q96FZ7', 'Q14004')"
"('Q92905', 'Q00839')"
"('P62191', 'O60341')"
"('P19875', 'P49682')"
"('Q92466', 'Q6IN85')"
"('P55196', 'Q15796')"
"('O15146', 'Q13451')"
"('P06748', 'O75165')"
"('O14744', 'P85299')"
"('Q9H0R8', 'Q9P0N9')"
"('Q9NX63', 'Q96D09')"
"('Q9BPZ2', 'Q9H967')"
"('Q96L08', 'Q6UWP8')"
"('Q9BXC9', 'Q93062')"
"('Q12906', 'Q93034')"
"('O60262', 'O60266')"
"('P06241', 'Q92529')"
"('O00410', 'Q86VP6')"
"('Q00577', 'Q01860')"
"('Q96MU7', 'P12931')"
"('Q5VTD9', 'Q15834')"
"('Q8N142', 'Q9NX58')"
"('Q01432', 'O60216')"
"('P46782', 'B5ME19')"
"('Q13608', 'Q86YD3')"
"('Q92569', 'P47897')"
"('O00526', 'O14788')"
"('Q9UI26', 'Q05086')"
"('Q14134', 'Q9Y6K9')"
"('P27824', 'P08697')"
"('P48039', 'B2RTY4')"
"('Q16623', 'Q8IXM6')"
"('O00567', 'Q9BRJ6')"
"('Q9NPI1', 'P14316')"
"('P0DP23', 'Q9P2Y5')"
"('P55072', 'O15264')"
"('Q96GD4', 'Q09472')"
"('Q5JVF3', 'O95801')"
"('P46108', 'Q14296')"
"('P53355', 'P68032')"
"('Q96T49', 'P07196')"
"('Q9UBU9', 'Q14703')"
"('Q9BTP7', 'Q00597')"
"('P04626', 'Q13387')"
"('O43505', 'Q8N3Y3')"
"('P21246', 'Q9Y383')"
"('Q9NX55', 'Q2NKX9')"
"('Q92729', 'P42768')"
"('Q12913', 'P42680')"
"('O75369', 'P02751')"
"('P19838', 'O00626')"
"('O60934', 'Q99708')"
"('P53007', 'O75208')"
"('O76071', 'Q96GM8')"
"('Q9Y5J5', 'Q9BUV8')"
"('Q7Z6Z7', 'Q14974')"
"('Q7Z3B4', 'P57740')"
"('Q9NQ39', 'P18621')"
"('Q13557', 'P0DP23')"
"('Q9H492', 'P55036')"
"('P05067', 'Q92667')"
"('Q08050', 'P61024')"
"('Q06187', 'P00519')"
"('Q8WXI9', 'P62805')"
"('Q32MZ4', 'Q14204')"
"('Q8TD10', 'P00540')"
"('Q9Y5K5', 'P54578')"
"('Q13573', 'P41212')"
"('Q9NRM7', 'Q13309')"
"('O75558', 'O75909')"
"('Q96GF1', 'P05067')"
"('Q9NR80', 'P60763')"
"('Q9UPW0', 'Q9NPJ6')"
"('Q12824', 'Q4VC05')"
"('Q02156', 'P00533')"
"('O43741', 'Q96KQ4')"
"('Q08050', 'P35575')"
"('P24385', 'P62140')"
"('P35268', 'P25398')"
"('Q16629', 'Q13616')"
"('P34932', 'O94966')"
"('P22694', 'O15143')"
"('O95721', 'O95229')"
"('Q9BRK5', 'P18754')"
"('Q96EY7', 'P21860')"
"('Q16763', 'Q15172')"
"('P55001', 'P01023')"
"('Q13432', 'P04083')"
"('Q99541', 'Q05469')"
"('P20336', 'Q01968')"
"('Q8TES7', 'Q9BX66')"
"('O60308', 'Q8IZH2')"
"('O00571', 'Q15843')"
"('P20290', 'Q9UPV0')"
"('P22314', 'Q92598')"
"('P23258', 'Q08554')"
"('Q08117', 'Q15014')"
"('Q9Y2K6', 'Q9UH99')"
"('P05386', 'P18077')"
"('Q9NR56', 'Q8IWL3')"
"('Q13635', 'Q9HBH1')"
"('O14980', 'P61962')"
"('Q99750', 'O43439')"
"('Q6QNY0', 'O14980')"
"('P06493', 'P98082')"
"('P36542', 'P04626')"
"('P63151', 'Q9UQL6')"
"('P23511', 'P32519')"
"('Q63ZY3', 'Q9BUZ4')"
"('P07910', 'P43243')"
"('Q9HAV7', 'P31948')"
"('Q8IUH5', 'Q13322')"
"('P08238', 'P13612')"
"('Q92858', 'Q9Y485')"
"('Q99460', 'P20807')"
"('P04062', 'Q9HDC5')"
"('Q92784', 'Q9BQE9')"
"('P84103', 'Q15434')"
"('P11216', 'P06737')"
"('P09913', 'P05161')"
"('O75426', 'Q8WVJ2')"
"('Q15102', 'Q7L5N1')"
"('P0C1Z6', 'Q96JC9')"
"('P41208', 'Q0VDD8')"
"('P62987', 'P62081')"
"('Q8NHG8', 'Q9Y487')"
"('P43354', 'P55273')"
"('Q6UWZ7', 'O15287')"
"('Q8NFD5', 'O96019')"
"('P17600', 'Q8TDY2')"
"('Q93009', 'Q8NEV4')"
"('Q9UBN7', 'Q8WYK2')"
"('Q8N201', 'Q9H0H0')"
"('Q9HCE7', 'P07437')"
"('Q5T200', 'Q15648')"
"('Q9UKB1', 'Q6ZRV2')"
"('O15056', 'P55157')"
"('Q9NP77', 'P62136')"
"('P19838', 'P07900')"
"('Q04637', 'P11171')"
"('Q9Y263', 'Q9BZV1')"
"('Q8TDR0', 'Q15555')"
"('Q92673', 'Q9UJY5')"
"('Q8N4C6', 'Q8TEP8')"
"('Q969X2', 'P05067')"
"('Q96L50', 'Q99627')"
"('P25788', 'Q9UMS4')"
"('P31645', 'Q16623')"
"('Q92993', 'Q01113')"
"('Q93034', 'P46782')"
"('P63316', 'P13805')"
"('Q9Y574', 'P10809')"
"('P34931', 'Q8NHV4')"
"('Q9NQW6', 'Q9Y2D5')"
"('O00264', 'P28288')"
"('Q13151', 'Q14999')"
"('Q13137', 'P47897')"
"('P30480', 'Q9UNM6')"
"('P49257', 'P08574')"
"('Q9BX66', 'Q9UKZ4')"
"('Q86WU2', 'Q9NVF7')"
"('P27361', 'P43146')"
"('Q16665', 'Q9UNE7')"
"('P62333', 'Q15019')"
"('Q9H4L7', 'Q00839')"
"('Q9H1I8', 'P18206')"
"('P50395', 'A6NK89')"
"('O43325', 'Q13126')"
"('Q9UBP9', 'P26010')"
"('P19338', 'P62847')"
"('Q99853', 'P52790')"
"('Q5XPI4', 'Q8NDZ4')"
"('Q9H2C0', 'Q9Y262')"
"('P01106', 'P23246')"
"('Q9UJZ1', 'Q8WUK0')"
"('P31273', 'Q99471')"
"('Q12874', 'Q99459')"
"('Q13573', 'P46459')"
"('Q6ZNE5', 'Q9H0R8')"
"('P04049', 'Q92569')"
"('P61247', 'P30050')"
"('Q12967', 'Q92963')"
"('P62913', 'P62851')"
"('Q8N163', 'Q5U5Q3')"
"('Q49A88', 'Q96ST8')"
"('O75190', 'Q13451')"
"('Q96KQ7', 'P57682')"
"('O14832', 'P43364')"
"('Q9HCE1', 'Q9Y4P1')"
"('Q9NQW6', 'Q15149')"
"('Q7L2J0', 'O43687')"
"('P01860', 'Q9Y6K9')"
"('P57076', 'Q16610')"
"('Q9C002', 'Q07812')"
"('Q15717', 'P37287')"
"('Q08AN1', 'Q9H2C0')"
"('Q9Y572', 'P14649')"
"('Q9BT49', 'P61254')"
"('Q86X19', 'Q9P0I2')"
"('O75528', 'Q09472')"
"('Q5JTD0', 'P50222')"
"('O14980', 'Q9NX31')"
"('Q02880', 'P63279')"
"('P60411', 'Q8TBP0')"
"('P22612', 'Q9GZK7')"
"('P57078', 'Q13616')"
"('O76064', 'O75164')"
"('Q9H0W5', 'Q9NYU2')"
"('P01127', 'P04085')"
"('P17812', 'Q8NCN4')"
"('O00442', 'P35606')"
"('Q0VD86', 'O95817')"
"('P62263', 'Q49AN0')"
"('Q15038', 'Q9UMX0')"
"('Q15717', 'P32856')"
"('P08571', 'Q9H6U6')"
"('Q96T58', 'P63172')"
"('A5PLL7', 'Q9Y5P6')"
"('Q13620', 'Q07955')"
"('Q96FW1', 'Q14978')"
"('P23246', 'P78347')"
"('Q86YB8', 'P07237')"
"('P13612', 'Q93079')"
"('P63104', 'Q7Z6Z7')"
"('P0DP23', 'P51787')"
"('O75828', 'P61221')"
"('P05111', 'P27797')"
"('O76071', 'P61964')"
"('P30154', 'Q96Q15')"
"('Q9H2F3', 'Q6A162')"
"('Q14814', 'P54198')"
"('Q93079', 'Q8WUI4')"
"('Q07020', 'P35244')"
"('Q9Y5Y7', 'P15692')"
"('Q9HC52', 'Q6W2J9')"
"('O95785', 'P78346')"
"('Q15084', 'P27824')"
"('O15111', 'Q96EY1')"
"('P31939', 'Q9H993')"
"('Q9BRG1', 'P16298')"
"('O00217', 'Q9Y4W6')"
"('O14980', 'Q96EZ8')"
"('Q9NUX5', 'P09467')"
"('P51149', 'Q5T4F4')"
"('P42768', 'P23470')"
"('Q96RR4', 'P0DP25')"
"('P01106', 'O76094')"
"('Q16658', 'P32119')"
"('Q13144', 'P41091')"
"('Q8IZ69', 'O95257')"
"('Q9Y5K6', 'Q99816')"
"('Q15392', 'Q00765')"
"('Q92685', 'Q9Y282')"
"('P30511', 'Q9NU53')"
"('P39880', 'Q86X76')"
"('P55072', 'Q96IV0')"
"('Q6QHK4', 'Q9UPM6')"
"('O43586', 'P46779')"
"('P08637', 'P43405')"
"('P05388', 'P30050')"
"('O43617', 'Q9H8W4')"
"('Q53S33', 'P43360')"
"('P54296', 'Q15327')"
"('Q9NRG9', 'P08754')"
"('P25786', 'Q16531')"
"('Q9BVA1', 'Q9NRR3')"
"('Q9UPT8', 'Q99496')"
"('Q96BN2', 'P68431')"
"('P24278', 'P38432')"
"('Q9BQE9', 'Q92785')"
"('Q8WZ42', 'Q53EP0')"
"('O60336', 'Q6PEX3')"
"('P04222', 'P49591')"
"('O96019', 'P52565')"
"('P32121', 'P22888')"
"('Q96T37', 'Q9BTC0')"
"('Q8NCM8', 'Q71U36')"
"('Q9H4L7', 'Q14103')"
"('Q13148', 'Q13347')"
"('Q6UXH1', 'O43463')"
"('P36969', 'P48163')"
"('Q9NR20', 'Q13618')"
"('Q05952', 'Q9BYR9')"
"('P41182', 'Q9NQT8')"
"('Q96GD4', 'Q9P2N7')"
"('Q8WYP5', 'P02545')"
"('P30480', 'P55072')"
"('Q13480', 'Q99759')"
"('Q15102', 'Q13885')"
"('Q9H4E7', 'A6NI28')"
"('Q92731', 'P03372')"
"('Q9UBU9', 'Q6GMV2')"
"('P05161', 'P63244')"
"('Q9H0R8', 'P11387')"
"('P12830', 'P49336')"
"('Q8TEX9', 'Q9UKV8')"
"('O94805', 'P49841')"
"('O75478', 'Q96HP0')"
"('Q7Z698', 'Q5TCM9')"
"('Q9NQ39', 'P46777')"
"('P63104', 'P26599')"
"('O95749', 'P46940')"
"('Q13136', 'P04629')"
"('P45983', 'Q96FI4')"
"('O95551', 'Q08379')"
"('Q9BZS1', 'P60568')"
"('Q16665', 'P25205')"
"('P55854', 'Q96EV2')"
"('Q969G3', 'Q8TAQ2')"
"('P14317', 'Q96PU8')"
"('P10599', 'Q96GG9')"
"('P09972', 'P34897')"
"('O60294', 'Q9Y2T3')"
"('Q9UBU9', 'O43837')"
"('P42771', 'P17980')"
"('A6NK89', 'O75223')"
"('Q96G04', 'Q13099')"
"('P61513', 'Q9NR30')"
"('Q969S3', 'P11413')"
"('P32121', 'O00505')"
"('Q6NUQ4', 'Q9NRD1')"
"('P08865', 'Q14999')"
"('Q00403', 'P20749')"
"('Q5T5U3', 'P32121')"
"('Q08211', 'P62753')"
"('Q96B02', 'Q99496')"
"('Q15233', 'P19320')"
"('P19320', 'Q15637')"
"('P62979', 'P62249')"
"('O75298', 'Q96EZ8')"
"('P53778', 'P28324')"
"('O00555', 'Q9NZV1')"
"('Q96P70', 'P0DMS8')"
"('P02533', 'Q13616')"
"('O75884', 'O95199')"
"('P36406', 'Q8NFF5')"
"('Q49A26', 'Q02880')"
"('Q13363', 'P41182')"
"('O00459', 'P42345')"
"('Q9H040', 'O60506')"
"('P54253', 'Q06203')"
"('Q8NEG7', 'Q13404')"
"('O60307', 'Q6IQ23')"
"('P42704', 'P62330')"
"('Q14677', 'Q92734')"
"('P55786', 'P30480')"
"('Q6ZRQ5', 'Q969H0')"
"('O95405', 'P36897')"
"('P25788', 'P54727')"
"('Q86UU5', 'O00308')"
"('Q9NWT1', 'P27635')"
"('P35080', 'P62736')"
"('Q7Z3K3', 'Q96JM3')"
"('Q96HT8', 'Q9UBU8')"
"('Q8TCJ0', 'Q562R1')"
"('Q92621', 'Q8WYP5')"
"('Q01860', 'Q9BRK5')"
"('P27708', 'P67870')"
"('P12755', 'P50914')"
"('Q8WYB5', 'P54259')"
"('P49411', 'P13489')"
"('Q14204', 'Q96T51')"
"('P12268', 'P46934')"
"('Q96B97', 'O94855')"
"('Q07020', 'P46781')"
"('P30281', 'Q15596')"
"('Q15008', 'P54725')"
"('Q9UNN5', 'P05187')"
"('Q13315', 'Q9UPP5')"
"('P05412', 'Q12873')"
"('O95714', 'Q9UNH7')"
"('P17612', 'Q8NH01')"
"('P62318', 'P52732')"
"('P62081', 'Q07020')"
"('P09132', 'O75152')"
"('Q99569', 'Q8N5M1')"
"('P0C1Z6', 'Q96C92')"
"('Q9UPU5', 'O00308')"
"('Q9NQ38', 'Q9Y337')"
"('Q9UKX5', 'P05556')"
"('Q8NEV1', 'P51610')"
"('P09651', 'Q86V81')"
"('Q06830', 'Q13620')"
"('Q9BUY7', 'Q9UBU9')"
"('P45983', 'Q14697')"
"('P09429', 'P04150')"
"('P35637', 'Q8IVU3')"
"('P04808', 'A6NEM1')"
"('P17482', 'O00358')"
"('Q00839', 'Q9UHD9')"
"('P27986', 'Q9Y6Q6')"
"('Q09472', 'P43364')"
"('P17568', 'O43676')"
"('Q92764', 'P42566')"
"('P61221', 'P21333')"
"('Q06609', 'Q9NRH3')"
"('Q6UY14', 'Q8TCE9')"
"('Q04917', 'Q9Y6X8')"
"('Q8IWQ3', 'Q8WVZ9')"
"('A8K8P3', 'P23434')"
"('P43246', 'Q9NSU2')"
"('P11166', 'O94768')"
"('O95166', 'P63241')"
"('P50749', 'Q8WWW0')"
"('Q96MU7', 'Q08379')"
"('Q5T440', 'P20336')"
"('Q969Y2', 'Q6QNY1')"
"('P18146', 'Q99972')"
"('Q15466', 'P11473')"
"('Q9H5N1', 'Q92837')"
"('P17612', 'Q8NH93')"
"('P10415', 'Q15257')"
"('Q15811', 'O60437')"
"('Q92956', 'P14866')"
"('Q14164', 'Q08257')"
"('P50750', 'Q58FF6')"
"('Q15717', 'O95104')"
"('P39019', 'Q8TCJ2')"
"('Q8N7H5', 'Q92541')"
"('O60341', 'Q96CN9')"
"('Q5XPI4', 'O95299')"
"('P68104', 'Q9UQ35')"
"('Q13049', 'P63104')"
"('P25098', 'Q8NGP3')"
"('Q9UI14', 'P20338')"
"('Q9Y3X0', 'P61326')"
"('Q96G25', 'Q9NWA0')"
"('Q7L5Y6', 'P50549')"
"('Q9UMX0', 'Q86VU5')"
"('O14829', 'O43823')"
"('P05067', 'Q7Z3G6')"
"('Q9BPU9', 'Q9Y3A3')"
"('O95169', 'P05023')"
"('P09651', 'P00491')"
"('Q96A72', 'Q14558')"
"('Q9UFB7', 'Q8IX06')"
"('P63104', 'Q6ZN04')"
"('P17096', 'P26583')"
"('P48047', 'O00483')"
"('P33992', 'P11387')"
"('Q9Y2J2', 'Q9BU76')"
"('Q13310', 'Q07864')"
"('P43243', 'Q9C0B0')"
"('Q8WXG8', 'P60903')"
"('Q14140', 'O00311')"
"('A2RTX5', 'Q02833')"
"('P12004', 'P61970')"
"('Q86YD7', 'Q8NCE2')"
"('Q9UJV3', 'P17028')"
"('P16157', 'P48751')"
"('O00567', 'Q49A26')"
"('Q9H9S4', 'Q9Y376')"
"('O94906', 'Q9H492')"
"('Q92731', 'O15226')"
"('Q13164', 'P01225')"
"('Q8IWL3', 'P11233')"
"('P04843', 'Q99832')"
"('Q9UBN6', 'P35580')"
"('Q96EB6', 'Q96RI1')"
"('Q9BQS8', 'O95822')"
"('P28288', 'Q9HCE1')"
"('Q9HCJ0', 'Q9UKV8')"
"('Q8WXA9', 'Q9UHX1')"
"('Q15084', 'Q9BUE6')"
"('Q15154', 'O00267')"
"('Q8IYB8', 'Q13618')"
"('P00747', 'P84022')"
"('Q8NC69', 'P51784')"
"('Q99497', 'P47710')"
"('A5D8V6', 'O94875')"
"('P12956', 'P35548')"
"('Q58EX7', 'P13727')"
"('Q92995', 'P45974')"
"('Q9H190', 'Q9BRT7')"
"('P11387', 'Q8IW19')"
"('Q9BUV8', 'O43291')"
"('Q13555', 'P84022')"
"('Q7Z7F0', 'Q01844')"
"('O75449', 'P49759')"
"('O95816', 'P04637')"
"('Q14802', 'O43889')"
"('Q15596', 'P42226')"
"('P36578', 'Q96GG9')"
"('Q9HCD6', 'Q8TEJ3')"
"('Q6PEY2', 'P17302')"
"('P54709', 'P13637')"
"('Q68CQ4', 'Q9NV31')"
"('Q9P2X3', 'P51148')"
"('Q9H6T3', 'Q9Y265')"
"('Q9Y2P4', 'Q12873')"
"('P60953', 'Q99683')"
"('Q15717', 'Q03252')"
"('Q9BVA1', 'P13612')"
"('Q92633', 'Q9UK08')"
"('P62993', 'Q13163')"
"('Q13492', 'Q13573')"
"('P01258', 'Q01814')"
"('P17612', 'Q8NH53')"
"('O14979', 'Q92905')"
"('P24394', 'Q05513')"
"('P61968', 'O15066')"
"('P17544', 'Q8N6L0')"
"('Q6PI78', 'P42765')"
"('Q9BZE1', 'P04183')"
