negatives
"('Q9GZW8', 'P35914')"
"('Q99767', 'P05067')"
"('O43395', 'P55081')"
"('O75044', 'P52198')"
"('P62424', 'P62829')"
"('O14641', 'Q96H20')"
"('Q70SY1', 'Q9UDV6')"
"('Q969D9', 'Q969J5')"
"('Q15672', 'Q92597')"
"('Q9NXF1', 'Q9H4L4')"
"('Q16254', 'P20248')"
"('O95819', 'P15104')"
"('P10071', 'P62258')"
"('O15379', 'Q9UQR1')"
"('Q05397', 'P05106')"
"('P03923', 'P03886')"
"('P00505', 'Q9UKS6')"
"('O95989', 'P18621')"
"('Q9P2H0', 'P63104')"
"('P18146', 'Q14761')"
"('Q9UHD0', 'P24394')"
"('Q9H1D9', 'O15160')"
"('P52594', 'P25054')"
"('Q14247', 'P59998')"
"('Q92793', 'Q12772')"
"('Q8TDY2', 'P49815')"
"('P62140', 'Q05397')"
"('Q86TM6', 'Q15059')"
"('P49642', 'Q14181')"
"('P0CG48', 'Q9BXM7')"
"('P52597', 'Q13151')"
"('Q8N163', 'Q9Y2Q3')"
"('Q92574', 'P51948')"
"('Q00013', 'P24522')"
"('Q93084', 'P13569')"
"('P63218', 'Q92806')"
"('O60287', 'Q16659')"
"('P24941', 'P30307')"
"('O75475', 'P63165')"
"('P33993', 'O95696')"
"('O15303', 'P63096')"
"('Q7L266', 'Q13163')"
"('Q02750', 'P53004')"
"('P13639', 'P08238')"
"('Q9UKA9', 'P09012')"
"('Q93034', 'P62877')"
"('P29371', 'O95837')"
"('P33151', 'P35968')"
"('P59768', 'Q92633')"
"('P18846', 'P61073')"
"('P28360', 'Q92793')"
"('Q14494', 'Q9Y5Q3')"
"('Q15906', 'P16104')"
"('Q96L92', 'P23508')"
"('P51817', 'Q8NER1')"
"('P43246', 'P23025')"
"('P01579', 'Q99062')"
"('Q96BK5', 'P16949')"
"('P19793', 'Q14686')"
"('P56537', 'Q9NZI2')"
"('P35222', 'P07195')"
"('Q8IYF1', 'O14641')"
"('P05388', 'Q9Y6K9')"
"('Q9Y6K9', 'Q9UNM6')"
"('P49715', 'P10275')"
"('P22694', 'Q05586')"
"('O43187', 'Q9H0E2')"
"('P08069', 'P09471')"
"('Q15797', 'Q15052')"
"('P56524', 'Q96A08')"
"('O14497', 'P06400')"
"('O00231', 'Q5UIP0')"
"('P27348', 'P46527')"
"('O60658', 'Q01201')"
"('O76093', 'P08581')"
"('Q9Y3M9', 'P36542')"
"('O14493', 'P56880')"
"('Q9Y4B5', 'Q96L34')"
"('P11021', 'Q9Y572')"
"('P05067', 'Q02410')"
"('Q96PM5', 'Q96KC2')"
"('Q9H173', 'Q3ZCQ8')"
"('P18206', 'Q9GZM8')"
"('P04637', '406970')"
"('Q9UM47', 'Q92585')"
"('Q9BUQ8', 'Q15428')"
"('P18146', 'Q8TAX9')"
"('P51668', 'Q9ULK6')"
"('P13987', 'P13569')"
"('Q16611', 'Q05086')"
"('Q9P2R6', 'Q9ULU4')"
"('Q9NQW1', 'Q15436')"
"('P61247', 'P01243')"
"('Q8IZI9', 'Q99062')"
"('Q13309', 'Q16589')"
"('P38919', 'Q86V81')"
"('P98177', 'P35222')"
"('P63165', 'P11831')"
"('O14493', 'P56856')"
"('P41595', 'O75970')"
"('O15551', 'O95471')"
"('O75478', 'O94864')"
"('O00762', 'P51965')"
"('Q9UHX1', 'P10155')"
"('Q8TAP4', 'P07910')"
"('P19883', 'Q12841')"
"('Q15788', 'Q9Y3R0')"
"('P40225', 'Q6UXL0')"
"('Q9NYV4', 'Q13573')"
"('Q99963', 'Q9Y675')"
"('P14784', 'Q14765')"
"('Q30201', 'P11021')"
"('Q9P2G9', 'O95149')"
"('Q9BRX5', 'Q9BRT9')"
"('P09919', 'P42702')"
"('P20936', 'P43403')"
"('Q96HR3', 'Q9BWU1')"
"('P49711', 'O60216')"
"('Q9NPI1', 'P05386')"
"('P29350', 'P52735')"
"('Q6IE81', 'P33993')"
"('Q9UI14', 'Q96HA8')"
"('Q9ULV8', 'P62256')"
"('Q9BST9', 'Q9HCE7')"
"('Q00610', 'O94973')"
"('Q13362', 'Q8IZS8')"
"('P26678', 'P16615')"
"('Q9HD33', 'Q14197')"
"('P53667', 'P63104')"
"('Q16537', 'P67775')"
"('P49959', 'P12956')"
"('Q9Y2V2', 'Q15418')"
"('145781', 'Q9P298')"
"('P28221', 'P04899')"
"('P01106', 'O15143')"
"('Q5UIP0', 'P13385')"
"('Q969M7', 'P42224')"
"('Q15435', 'P41236')"
"('O94992', 'Q8TAX7')"
"('Q12860', 'Q92823')"
"('P52797', 'P17948')"
"('Q96T37', 'P45983')"
"('P17948', 'Q05397')"
"('Q9NPF7', 'Q969J5')"
"('Q15276', 'O75843')"
"('P08621', 'Q13573')"
"('P00519', 'Q9Y6Q9')"
"('P01243', 'Q15796')"
"('Q8N2W9', 'O75400')"
"('P46777', 'P05386')"
"('P30281', 'Q7L590')"
"('Q07889', 'P52198')"
"('P49770', 'P49368')"
"('Q9Y2F5', 'Q9Y297')"
"('P02792', 'Q12852')"
"('Q6PEY2', 'Q96AH8')"
"('P10828', 'O75448')"
"('P12931', 'O00459')"
"('O15020', 'P25054')"
"('O00139', 'Q8IUQ4')"
"('Q16539', 'P05412')"
"('Q9HCK5', 'P07437')"
"('Q14197', 'Q99623')"
"('P55345', 'P10276')"
"('Q9UK08', 'Q99677')"
"('P06213', 'P40763')"
"('P10809', 'Q9Y6K9')"
"('Q15777', 'P10589')"
"('O60784', 'Q96KM6')"
"('P19429', 'P67936')"
"('P49841', 'Q9UJW3')"
"('Q96G25', 'O60244')"
"('Q9NYF0', 'Q8TAA9')"
"('Q9Y3C5', 'Q9Y2X8')"
"('P35998', 'Q9Y5K5')"
"('Q13315', 'Q5H9F3')"
"('Q99873', 'O75525')"
"('P67809', 'P35637')"
"('Q9UJW3', 'Q9UBC3')"
"('O14640', 'Q15257')"
"('P06241', 'P31273')"
"('Q7Z2T5', 'Q99459')"
"('Q8IY92', 'Q96D46')"
"('P01570', 'Q14626')"
"('P61254', 'P32969')"
"('Q16627', 'P61073')"
"('P53041', 'P56945')"
"('O15530', 'Q8TBF2')"
"('P57740', 'P37198')"
"('O15525', 'P26367')"
"('P01857', 'P49327')"
"('P62877', 'Q92765')"
"('P14778', 'Q9NWZ3')"
"('P29074', 'P27986')"
"('P21554', 'O60262')"
"('Q07021', 'Q9NW64')"
"('P35637', 'P52565')"
"('Q9HAU5', 'P62851')"
"('Q14469', 'P40763')"
"('Q9H0S4', 'Q9UL18')"
"('O00628', 'P41182')"
"('Q96PV7', 'P30304')"
"('O14830', 'P62158')"
"('O60674', 'P19235')"
"('P58753', 'Q29RF7')"
"('Q13485', 'Q13761')"
"('O75448', 'O60244')"
"('P62805', 'O14744')"
"('Q9BRQ0', 'Q92830')"
"('P00533', 'Q86YW0')"
"('O43913', 'Q99459')"
"('P62917', 'P62891')"
"('P16104', 'Q13547')"
"('406991', 'O43597')"
"('Q16637', 'P14678')"
"('P55957', 'O15111')"
"('P55268', 'Q13683')"
"('P35626', 'O76000')"
"('Q92633', 'P50148')"
"('Q15262', 'P19022')"
"('P50750', 'Q03111')"
"('P53350', 'Q92574')"
"('Q8NHR9', 'Q07890')"
"('Q8N5W9', 'Q05516')"
"('Q04759', 'P63261')"
"('Q13263', 'P04150')"
"('Q9BRT9', 'Q7L590')"
"('Q8WVM7', 'O60216')"
"('Q9HBE5', 'P29597')"
"('P46776', 'Q02543')"
"('P51955', 'Q3B7T1')"
"('Q8NG27', 'Q9H4K1')"
"('Q9UJU2', 'Q15561')"
"('P28482', 'P10275')"
"('P28702', 'Q71F56')"
"('Q05655', 'P15056')"
"('Q96JJ3', 'Q14185')"
"('Q9HBG4', 'Q92870')"
"('Q14919', 'P20226')"
"('O00160', 'Q01844')"
"('P06748', 'P01241')"
"('Q13535', 'P46937')"
"('407014', 'P45985')"
"('Q13526', 'P49815')"
"('Q00005', 'O94761')"
"('P18146', 'Q96A47')"
"('P36957', 'P62993')"
"('P05412', 'P35222')"
"('Q8TB24', 'P41220')"
"('Q9UET6', 'O00232')"
"('Q9UBS3', 'O95907')"
"('P62324', 'P10828')"
"('Q9UBI6', 'P51828')"
"('P35568', 'P17252')"
"('Q8IWZ3', 'P0CAP1')"
"('O43676', 'P03891')"
"('P17844', 'P50616')"
"('P52565', 'P35637')"
"('Q86WJ1', 'P35244')"
"('P61978', 'P38936')"
"('P31151', 'P13569')"
"('P14678', 'P62304')"
"('P61077', 'O15344')"
"('Q9NRL3', 'P14174')"
"('P60953', 'P60763')"
"('O60739', 'Q01105')"
"('P49757', 'Q05513')"
"('Q8N474', 'Q13467')"
"('P04406', 'P11166')"
"('P23490', 'P08670')"
"('P61981', 'O75494')"
"('Q969T4', 'Q9UII4')"
"('P49642', 'Q14204')"
"('Q04912', 'P36873')"
"('Q13976', 'P18848')"
"('P52735', 'Q04695')"
"('Q99879', 'P16104')"
"('Q6ZN30', 'P98175')"
"('Q9C0K7', 'Q9UGI9')"
"('Q8TED0', 'P01106')"
"('Q16659', 'Q96GZ6')"
"('Q8TAM1', 'O14788')"
"('Q14164', 'O43242')"
"('P15880', 'Q9H4L4')"
"('Q96RS0', 'P22087')"
"('O15105', 'Q9BZK7')"
"('Q12931', 'P36897')"
"('O60318', 'P63000')"
"('Q13557', 'Q96BA8')"
"('Q13362', 'P04637')"
"('Q13418', 'P62328')"
"('O75340', 'Q8NDC0')"
"('P04626', 'Q13387')"
"('O95639', 'P51003')"
"('P31689', 'P30480')"
"('Q9H492', 'O95352')"
"('Q9H8T0', 'Q12789')"
"('P62993', 'P26196')"
"('O75438', 'O15239')"
"('Q07021', 'Q13243')"
"('P08238', 'Q00653')"
"('P10415', 'P12956')"
"('P19838', 'Q3ZCQ8')"
"('P17612', 'P27815')"
"('P01730', 'P06239')"
"('Q8IU54', 'P10914')"
"('P07099', 'P49715')"
"('O75469', 'Q12778')"
"('Q9NSB8', 'Q14643')"
"('Q9BZL6', 'Q9Y483')"
"('P62136', 'P12830')"
"('P37173', 'P27986')"
"('Q9UHV7', 'A0JLT2')"
"('P20333', 'Q14257')"
"('Q13573', 'Q16594')"
"('O43809', 'Q9Y6H5')"
"('Q9NZT1', 'P29474')"
"('Q96Q83', 'Q9H0E9')"
"('Q9NTM9', 'Q9H1I8')"
"('Q7L5N1', 'P51864')"
"('P46777', 'Q9HAU5')"
"('O14795', 'Q96GM8')"
"('P13500', 'P46094')"
"('P01106', 'Q92802')"
"('Q8N5V2', 'Q9BPY3')"
"('Q13007', 'P17181')"
"('Q9HCU9', 'P51681')"
"('P15622', 'P13805')"
"('Q9UBK2', 'P11474')"
"('P49418', 'O43426')"
"('O15235', 'Q13432')"
"('P41594', 'P84996')"
"('P13569', 'P29992')"
"('P06241', 'P40189')"
"('Q8WZA2', 'P30291')"
"('O14978', 'O95967')"
"('P28340', 'Q9P2H0')"
"('Q14494', 'P07384')"
"('P04406', 'Q96RI1')"
"('Q96LD8', 'Q15843')"
"('P18621', 'P18124')"
"('P20073', 'Q8WTW4')"
"('Q96GX9', 'Q8TBB1')"
"('Q16560', 'Q13418')"
"('O43707', 'P38432')"
"('O60566', 'Q9UJX4')"
"('O75832', 'P17980')"
"('P10415', 'Q9Y287')"
"('O75351', 'Q9NP79')"
"('Q13107', 'P40818')"
"('Q9Y478', 'Q96QK1')"
"('P00403', 'Q96BK5')"
"('P05114', 'Q86U86')"
"('O60573', 'Q9NRA8')"
"('O60499', 'O14662')"
"('Q9UBU9', 'Q9UKK6')"
"('Q14164', 'O60506')"
"('Q9H0M0', 'Q9Y5W3')"
"('P25098', 'P46092')"
"('Q13200', 'Q16401')"
"('P51692', 'P46108')"
"('O15264', 'P18669')"
"('Q13643', 'Q00587')"
"('P10275', 'P43694')"
"('P16333', 'P42768')"
"('Q9H422', 'Q9UGP4')"
"('P38646', 'O14920')"
"('O14641', 'Q96EZ8')"
"('P18583', 'Q8TAD8')"
"('P01106', 'O95980')"
"('Q13490', 'Q15628')"
"('Q14164', 'P19623')"
"('Q01094', 'Q16875')"
"('P11142', 'P49407')"
"('P12004', 'Q00534')"
"('P47736', 'P35080')"
"('P28222', 'O14610')"
"('Q9H1C0', 'P84996')"
"('P53618', 'Q9UH99')"
"('P10415', 'Q8IVG9')"
"('P22301', 'Q9HC73')"
"('P42677', 'P02775')"
"('O94915', 'P31946')"
"('Q16186', 'Q96IX5')"
"('P12236', 'P45880')"
"('Q8TAQ2', 'Q92769')"
"('P08581', 'P07585')"
"('P42263', 'Q13224')"
"('P38936', 'P68104')"
"('Q9HAW0', 'Q86Y56')"
"('P21580', 'Q99683')"
"('Q9BRP4', 'Q13200')"
"('P12319', 'P06241')"
"('O95229', 'Q6P1K2')"
"('O96014', 'O14904')"
"('P61978', 'Q7L2J0')"
"('P18124', 'Q9UL18')"
"('Q9UHD2', 'P49368')"
"('P42345', 'O00141')"
"('P26441', 'Q05084')"
"('Q9BTC0', 'O00308')"
"('Q9UKL0', 'Q8TAQ2')"
"('P42229', 'P62879')"
"('P55884', 'Q14152')"
"('P21462', 'P04083')"
"('Q92914', 'P21802')"
"('P56556', 'O95182')"
"('Q9UER7', 'P14672')"
"('Q99590', 'P08621')"
"('P53041', 'P08107')"
"('Q13322', 'Q99558')"
"('Q6UXN9', 'Q9NPF4')"
"('Q96ID5', 'Q13765')"
"('Q9Y478', 'P37108')"
"('O75955', 'P61073')"
"('P68431', 'O95931')"
"('Q7L2E3', 'Q9UKV8')"
"('Q07889', 'O95267')"
"('Q9C019', 'Q5VVX9')"
"('O00141', 'P39023')"
"('Q15306', 'P29459')"
"('P27797', 'P30101')"
"('P12111', 'P08514')"
"('O60739', 'P30153')"
"('P18077', 'P40429')"
"('Q99460', 'P25054')"
"('P38398', 'Q9UGJ1')"
"('Q02156', 'P30405')"
"('O75940', 'Q13435')"
"('Q96FZ7', 'Q9H0T7')"
"('Q8IXL7', 'P49716')"
"('P48357', 'P54646')"
"('O75015', 'P24071')"
"('P05091', 'Q9NTG7')"
"('P05556', 'P27824')"
"('P07900', 'O14920')"
"('Q15843', 'Q8WXE9')"
"('Q9Y4P1', 'O75385')"
"('Q15796', 'C9J442')"
"('P35251', 'Q9UJX2')"
"('P43629', 'O43921')"
"('Q9HAU0', 'Q5VT06')"
"('Q14566', 'Q9Y5N6')"
"('P54619', 'P04637')"
"('Q9UJU2', 'P28347')"
"('P03372', 'O15054')"
"('Q13480', 'Q8WYR1')"
"('Q9NRR5', 'P58417')"
"('Q9BT49', 'Q99750')"
"('P46776', 'P62750')"
"('Q9Y4K3', 'P55061')"
"('Q8IV63', 'Q02413')"
"('P18077', 'P05386')"
"('P52797', 'P06213')"
"('P05106', 'Q13418')"
"('Q9BVJ6', 'O15169')"
"('Q08380', 'Q13233')"
"('P62993', 'P08729')"
"('Q15276', 'P20339')"
"('Q99418', 'P36406')"
"('O94776', 'O60341')"
"('P13637', 'O00168')"
"('Q9UP38', 'Q15147')"
"('Q15910', 'O75367')"
"('P62979', 'P33993')"
"('O15144', 'Q07889')"
"('P20700', 'P01889')"
"('Q92569', 'P06400')"
"('Q9UBI6', 'Q08828')"
"('Q9H211', 'Q99741')"
"('P48436', 'Q93074')"
"('P68431', 'P45973')"
"('P43403', 'P46108')"
"('Q9NZW5', 'P50570')"
"('P18848', 'P08243')"
"('P54105', 'P62316')"
"('P61224', 'P42336')"
"('P28566', 'P63096')"
"('Q15628', 'Q07021')"
"('O75306', 'Q16718')"
"('P20674', 'Q9HC24')"
"('Q12860', 'Q16659')"
"('P13232', 'O60674')"
"('Q9Y294', 'Q9UKI8')"
"('O14543', 'Q01113')"
"('Q96B02', 'P62841')"
"('Q52LW3', 'P15153')"
"('Q99612', 'Q9HCU4')"
"('Q9P2K5', 'P61978')"
"('O00463', 'Q9Y6Q6')"
"('Q9P2E9', 'Q8IY92')"
"('P28562', 'P62979')"
"('P62140', 'Q7Z3S7')"
"('P61353', 'P32969')"
"('Q9BSM1', 'Q13137')"
"('Q15714', 'P12004')"
"('P15927', 'P13686')"
"('P08908', 'P28222')"
"('P15509', 'P27986')"
"('P01106', 'P08195')"
"('Q13242', 'Q08211')"
"('Q86SX6', 'P40337')"
"('O95758', 'Q99459')"
"('O60262', 'Q99677')"
"('P21246', 'Q14508')"
"('P32881', 'P01589')"
"('P09104', 'O43768')"
"('Q9Y2U5', 'Q9H4A3')"
"('O95467', 'Q3MJ16')"
"('P24941', 'Q01094')"
"('P62258', 'Q9H6E5')"
"('P23508', 'Q14165')"
"('P20248', 'Q13111')"
"('P18206', 'O60506')"
"('P05112', 'Q15306')"
"('O75093', 'P54259')"
"('P06213', 'P62745')"
"('Q7L5N1', 'Q6P1K2')"
"('O94817', 'Q969H6')"
"('O75955', 'Q8NBJ4')"
"('Q99708', 'Q92878')"
"('P12956', 'Q96RP7')"
"('O43795', 'Q99759')"
"('P37231', 'Q9Y618')"
"('P16220', 'Q9Y4K1')"
"('Q01628', 'P42224')"
"('Q96GC5', 'Q14197')"
"('P60953', 'Q9UKR5')"
"('P08670', 'P07196')"
"('P62277', 'Q04206')"
"('Q9H0E9', 'P68133')"
"('Q8NEZ4', 'Q9C005')"
"('Q9NX14', 'P03901')"
"('Q13164', 'P19838')"
"('Q5XPI4', 'Q9BSL1')"
"('Q9Y2D9', 'Q06455')"
"('P19875', 'P51677')"
"('Q9UBU3', 'O15552')"
"('P46109', 'P22681')"
"('P32927', 'P49715')"
"('P62241', 'P62263')"
"('P67809', 'Q14103')"
"('Q14738', 'Q9NY47')"
"('P04637', 'Q658P3')"
"('Q9NRR5', 'P01282')"
"('P43897', 'P23508')"
"('P68032', 'P10916')"
"('Q9Y5K5', 'Q16186')"
"('P21127', 'Q9BTM9')"
"('P54257', 'P17028')"
"('P23508', 'P33993')"
"('Q14469', 'Q9HB96')"
"('Q13485', 'O00212')"
"('Q9UBM7', 'O14656')"
"('P35226', 'Q9P2H0')"
"('P19388', 'Q9NWA0')"
"('Q14790', 'O00220')"
"('Q9UBU3', 'P30939')"
"('Q13432', 'P05091')"
"('O14640', 'P98172')"
"('Q07817', 'P04637')"
"('P42702', 'Q92569')"
"('Q96JC1', 'Q13485')"
"('P02768', 'P06727')"
"('O75815', 'Q13263')"
"('Q9NZJ5', 'P30825')"
"('P08631', 'Q99816')"
"('P05067', 'Q13867')"
"('Q86SQ0', 'Q7Z460')"
"('O95500', 'O00501')"
"('O15169', 'Q14134')"
"('P34947', 'P32246')"
"('Q9Y5X2', 'P00519')"
"('Q09472', 'P03372')"
"('Q9BPX7', 'P21246')"
"('P62324', 'P11940')"
"('O14965', 'O14920')"
"('Q96BK5', 'Q14444')"
"('O43809', 'O14576')"
"('P61088', 'Q92993')"
"('P67809', 'P52272')"
"('P32121', 'P25116')"
"('Q9GZV5', 'P63104')"
"('P49736', 'Q00534')"
"('Q8N6T7', 'Q9UKW6')"
"('P35637', 'Q07817')"
"('O60739', 'P42766')"
"('P17612', 'Q05586')"
"('P62945', 'P05386')"
"('Q96KM6', 'Q9NRG4')"
"('P48047', 'Q9Y478')"
"('P49137', 'P18848')"
"('O75800', 'Q13049')"
"('P49703', 'Q8N129')"
"('Q9BUN8', 'Q99942')"
"('P67870', 'Q13216')"
"('P26641', 'O95376')"
"('Q05209', 'P56945')"
"('P62899', 'P18077')"
"('P67870', 'P13807')"
"('P38159', 'P14866')"
"('Q8ND30', 'Q99816')"
"('Q6W2J9', 'Q96FN4')"
"('P78527', 'P15924')"
"('Q09028', 'Q12873')"
"('Q9ULM3', 'O75478')"
"('O43353', 'Q9BVA1')"
"('Q9NZT1', 'P27348')"
"('P08123', 'P56199')"
"('C9J798', 'P01112')"
"('Q9NP95', 'P35968')"
"('O43678', 'P03901')"
"('P30408', 'P68366')"
"('P40197', 'O00329')"
"('P43405', 'P78324')"
"('Q16787', 'Q13683')"
"('P04406', 'P63104')"
"('O43555', 'P30968')"
"('Q07955', 'P61981')"
"('P57737', 'P49427')"
"('P50150', 'P48549')"
"('Q13526', 'P07199')"
"('O43281', 'P00519')"
"('P23508', 'Q00610')"
"('P46527', 'P78396')"
"('P98164', 'Q96QZ7')"
"('P31751', 'Q68CJ9')"
"('Q00839', 'Q13573')"
"('Q9P212', 'Q02156')"
"('P63096', 'Q92806')"
"('O75446', 'Q86X95')"
"('P50750', 'Q13573')"
"('O76071', 'Q9UHI6')"
"('O94776', 'O14980')"
"('Q14203', 'P31749')"
"('O95551', 'P63165')"
"('P04637', 'P42345')"
"('Q9UKJ5', 'P49639')"
"('Q15172', 'P31314')"
"('P13010', 'P10275')"
"('Q9Y4K3', 'Q9BVN2')"
"('P62241', 'P25398')"
"('Q9UJU6', 'P78314')"
"('P11021', 'Q14790')"
"('P62070', 'Q9NS23')"
"('O75159', 'Q6UXL0')"
"('Q86UL8', 'P24928')"
"('P63279', 'P41227')"
"('Q15149', 'Q13191')"
"('Q01081', 'Q14683')"
"('P48047', 'O60739')"
"('P19087', 'P18545')"
"('Q12931', 'P01889')"
"('O60508', 'Q15365')"
"('P51970', 'O43674')"
"('Q12874', 'O75940')"
"('O15379', 'Q13547')"
"('Q9UNL4', 'P16220')"
"('Q9NZ42', 'P46531')"
"('P61457', 'Q8TBB1')"
"('O75528', 'P06899')"
"('P25788', 'Q13177')"
"('P62136', 'P46019')"
"('Q14258', 'P03372')"
"('Q7L190', 'P23443')"
"('Q6UWE0', 'P62837')"
"('Q16695', 'P16104')"
"('P01236', 'Q14627')"
"('Q03112', 'P45984')"
"('P17542', 'P12980')"
"('Q15398', 'Q9Y297')"
"('P84022', 'Q16254')"
"('P14625', 'O00206')"
"('Q96NA2', 'Q9H4B7')"
"('Q00765', 'Q9UI14')"
"('P20073', 'Q09013')"
"('P19838', 'Q00610')"
"('Q9UPN9', 'Q13485')"
"('Q9Y5S9', 'Q9H0W8')"
"('P60709', 'P19338')"
"('P05556', 'O14713')"
"('P52907', 'P01889')"
"('P27635', 'Q02543')"
"('Q13573', 'Q92769')"
"('P62258', 'P23396')"
"('P35372', 'P50150')"
"('Q9NX58', 'O60832')"
"('P17301', 'Q9UKX5')"
"('P19838', 'Q04206')"
"('P06454', 'Q15717')"
"('O75578', 'Q9UKX5')"
"('Q99880', 'Q8IUE6')"
"('Q99613', 'Q96PM5')"
"('Q6W2J9', 'P56524')"
"('P01568', 'Q13651')"
"('P12544', 'Q96RI0')"
"('P08246', 'Q92802')"
"('Q9C000', 'Q9HC29')"
"('Q9Y6Q1', 'P15311')"
"('O75015', 'P53778')"
"('P03372', 'O60563')"
"('Q03135', 'Q05193')"
"('Q93062', 'Q8NE01')"
"('P01100', 'P29590')"
"('Q13547', 'Q9BTM1')"
"('P18206', 'P35579')"
"('P31947', 'Q8TEW0')"
"('P05783', 'P02671')"
"('Q9Y265', 'Q92993')"
"('Q9BUZ4', 'P12814')"
"('A1L0T0', 'P12956')"
"('P04921', 'Q00013')"
"('P62993', 'Q9Y613')"
"('O15264', 'Q96RP9')"
"('Q15375', 'P00519')"
"('P62854', 'Q9UKV8')"
"('P35626', 'Q9H343')"
"('P31947', 'Q07812')"
"('Q15256', 'Q13164')"
"('P35626', 'P30953')"
"('O60583', 'P24928')"
"('P0CG48', 'P16104')"
"('O00231', 'Q04724')"
"('P28221', 'P21453')"
"('Q99836', 'P11473')"
"('Q96J92', 'O95747')"
"('P68366', 'Q9H0H5')"
"('Q9UKV0', 'Q16777')"
"('Q92747', 'O15511')"
"('Q96GX9', 'Q9BRG1')"
"('P51608', 'O75376')"
"('Q9BT76', 'Q14790')"
"('P17844', 'Q9Y6E0')"
"('O43320', 'P29317')"
"('Q01844', 'Q9NRR4')"
"('Q9UBS5', 'P06241')"
"('O60216', 'Q14683')"
"('P60673', 'P68133')"
"('P08254', 'P16035')"
"('Q9UM73', 'P01243')"
"('P15104', 'Q6WCQ1')"
"('Q10587', 'Q9NR55')"
"('P47992', 'P51679')"
"('P04003', 'P20851')"
"('Q07817', 'O15304')"
"('P98175', 'Q13123')"
"('Q6UX53', 'P18146')"
"('P62847', 'P63220')"
"('Q05397', 'O75578')"
"('P21333', 'P05556')"
"('P09544', 'Q9UP38')"
"('Q16254', 'Q14188')"
"('P32881', 'Q8IU57')"
"('Q5VTD9', 'P46531')"
"('P14635', 'P38398')"
"('P29350', 'P04629')"
"('Q32MK0', 'P62993')"
"('P19012', 'Q6PKC3')"
"('P05198', 'Q13573')"
"('P40937', 'O75943')"
"('Q15020', 'O43395')"
"('O00257', 'P35227')"
"('Q00005', 'P62158')"
"('Q01718', 'O95467')"
"('P56945', 'P18031')"
"('Q13077', 'P20333')"
"('O60506', 'Q9H3D4')"
"('P05787', 'P11532')"
"('Q13287', 'Q9HCU9')"
"('Q9BUF5', 'Q8NCM8')"
"('P54253', 'Q13303')"
"('Q01362', 'Q13547')"
"('Q16849', 'Q8WXG6')"
"('Q8NI35', 'P56748')"
"('Q99942', 'Q969T4')"
"('Q9BY41', 'Q5QNW6')"
"('Q13573', 'P52735')"
"('P34903', 'Q15111')"
"('Q9UGN5', 'P05015')"
"('O96020', 'Q9UJX2')"
"('Q9NVX0', 'Q9H6D7')"
"('O15264', 'O95644')"
"('P62258', 'P10398')"
"('P26992', 'P00519')"
"('P63279', 'P05549')"
"('P03956', 'P15407')"
"('P08107', 'P25208')"
"('Q14573', 'Q13554')"
"('P62879', 'P48544')"
"('P46379', 'O95163')"
"('P35555', 'P28300')"
"('P61981', 'Q15942')"
"('Q9H1Y0', 'Q9Y266')"
"('Q9UL42', 'Q8IY92')"
"('Q7Z6Z7', 'P04637')"
"('Q9NZT1', 'P54750')"
"('O00186', 'P18146')"
"('O00148', 'Q13573')"
"('Q00534', 'Q16543')"
"('Q14197', 'Q96EY1')"
"('Q13009', 'P15153')"
"('O75800', 'Q8IUQ4')"
"('Q8NHQ8', 'Q04917')"
"('O75116', 'Q04206')"
"('Q9H2C0', 'Q676U5')"
"('P62834', 'O14798')"
"('Q8WXI9', 'O95983')"
"('Q5RL73', 'Q9NPF4')"
"('P22626', 'Q8IYB3')"
"('O14641', 'P17252')"
"('O15111', 'P04350')"
"('P12980', 'Q96AY2')"
"('P16220', 'O94868')"
"('Q7Z4Q2', 'P01106')"
"('P05154', 'P00749')"
"('Q15648', 'Q14994')"
"('Q04771', 'O15198')"
"('B1A4H9', 'P15509')"
"('P25054', 'Q8TF01')"
"('P30281', 'P24864')"
"('P02751', 'P04085')"
"('Q13315', 'P63027')"
"('P20273', 'P15391')"
"('Q96KC8', 'P80294')"
"('P02787', 'Q92900')"
"('P61981', 'P17812')"
"('P62877', 'Q01831')"
"('Q9Y262', 'P55884')"
"('O00488', 'P62820')"
"('O43353', 'O14818')"
"('P35221', 'P19022')"
"('P62873', 'P16520')"
"('Q15714', 'Q9NRP0')"
"('Q9BQ83', 'Q9GZT3')"
"('Q13043', 'Q9H4B6')"
"('P39023', 'O00141')"
"('Q9H9Y6', '100008587')"
"('O95299', 'O75438')"
"('Q9BQE3', 'Q8NCM8')"
"('P52597', 'Q07955')"
"('Q9H0R8', 'Q13137')"
"('P27361', 'P01243')"
"('Q01094', 'O43521')"
"('Q9HAW0', 'Q9NVI1')"
"('Q99759', 'P0CG47')"
"('O00267', 'Q9P2H0')"
"('P04637', 'Q13547')"
"('Q15648', 'Q9NWA0')"
"('O00267', 'Q92561')"
"('P63027', 'P32856')"
"('Q9Y2T4', 'Q13698')"
"('P56545', 'Q06330')"
"('O00217', 'Q9P0J0')"
"('P12111', 'P31431')"
"('Q9Y4K3', 'Q92985')"
"('P52429', 'P08559')"
"('Q92574', 'P07196')"
"('Q8IUH5', 'Q12772')"
"('P67870', 'P62241')"
"('A5D8V6', 'Q9UGN5')"
"('P05556', 'P37173')"
"('Q07869', 'Q02928')"
"('O75832', 'O60496')"
